,Company(1),Business Description,Investment,Interest(6)(12),Acquisition  Date,Amortized  Cost,Fair Value
33,"Correctional Medical Group Companies, Inc.",Correctional facility healthcare operator,"First lien senior secured loan ($4,093 par due 9/2021)",9.39% (Libor + 8.39%/Q),9/29/2015,4093.0,4011
34,"Correctional Medical Group Companies, Inc.",Correctional facility healthcare operator,"First lien senior secured loan ($44,707 par due 9/2021)",9.39% (Libor + 8.39%/Q),9/29/2015,44707.0,43813
35,"DCA Investment Holding, LLC (25)",Multi-branded dental practice management,"First lien senior secured revolving loan ($5,774 par due 7/2021)",7.75%(Base Rate + 4.25%/Q),7/2/2015,5774.0,5659
36,"DCA Investment Holding, LLC (25)",Multi-branded dental practice management,"First lien senior secured loan ($18,945 par due 7/2021)",6.25% (Libor + 5.25%/Q),7/2/2015,18831.0,18566
37,"DNAnexus, Inc.",Bioinformatics company,"First lien senior secured loan ($10,075 par due 10/2018)",9.25% (Libor + 8.25%/M),3/21/2014,9861.0,10075
38,"DNAnexus, Inc.",Bioinformatics company,"Warrant to purchase up to 909,092 units of Series C preferred stock (expires 3/2024)",0,3/21/2014,0.0,121
39,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,"Second lien senior secured loan ($47,500 par due 8/2023)",9.75% (Libor + 8.75%/Q),8/18/2016,46787.0,47500
40,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,"Class A common stock (1,788 shares)",0,3/11/2014,1788.0,1788
41,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,Class B common stock (980 shares),0,3/11/2014,30.0,5244
42,"Greenphire, Inc. and RMCF III CIV XXIX, L.P (25)",Software provider for clinical trial management,"First lien senior secured loan ($1,500 par due 12/2018)",9.00% (Libor + 8.00%/M),12/19/2014,1500.0,1500
43,"Greenphire, Inc. and RMCF III CIV XXIX, L.P (25)",Software provider for clinical trial management,"First lien senior secured loan ($3,800 par due 12/2018)",9.00% (Libor + 8.00%/M),12/19/2014,3800.0,3800
44,"Greenphire, Inc. and RMCF III CIV XXIX, L.P (25)",Software provider for clinical trial management,Limited partnership interest (99.90% interest),0,12/19/2014,999.0,1590
45,Hygiena Borrower LLC (25),Adenosine triphosphate testing technology provider,"Second lien senior secured loan ($10,000 par due 8/2023)",10.00% (Libor + 9.00%/Q),8/26/2016,10000.0,10000
46,"INC Research Mezzanine Co-Invest, LLC",Pharmaceutical and biotechnology consulting services,"Common units (1,410,000 units)",0,9/27/2010,0.0,738
47,Intermedix Corporation,Revenue cycle management provider to the emergency healthcare industry,"Second lien senior secured loan ($112,000 par due 6/2020)",9.25% (Libor + 8.25%/Q),12/27/2012,112000.0,107520
48,"Island Medical Management Holdings, LLC (25)",Provider of physician management services,First lien senior secured revolving loan ($250 par due 9/2021),6.00% (Libor + 5.00%/Q),9/1/2016,250.0,250
49,"Island Medical Management Holdings, LLC (25)",Provider of physician management services,First lien senior secured loan ($382 par due 9/2022),6.00% (Libor + 5.00%/Q),9/1/2016,382.0,382
50,"Island Medical Management Holdings, LLC (25)",Provider of physician management services,"First lien senior secured loan ($6,228 par due 9/2022)",6.00% (Libor + 5.00%/Q),9/1/2016,6228.0,6228
51,"MC Acquisition Holdings I, LLC",Healthcare professional provider,"Class A units (1,338,314 shares)",0,1/17/2014,1338.0,1170
52,MW Dental Holding Corp. (25),Dental services provider,"First lien senior secured revolving loan ($1,000 par due 4/2018)",8.50% (Libor + 7.00%/Q),4/12/2011,1000.0,1000
53,MW Dental Holding Corp. (25),Dental services provider,"First lien senior secured loan ($44,972 par due 4/2018)",8.50% (Libor + 7.00%/Q),4/12/2011,44972.0,44972
54,MW Dental Holding Corp. (25),Dental services provider,"First lien senior secured loan ($47,373 par due 4/2018)",8.50% (Libor + 7.00%/Q),4/12/2011,47373.0,47373
55,MW Dental Holding Corp. (25),Dental services provider,"First lien senior secured loan ($19,591 par due 4/2018)",8.50% (Libor + 7.00%/Q),4/12/2011,19591.0,19591
56,"My Health Direct, Inc. (25)",Healthcare scheduling exchange software solution provider,"First lien senior secured loan ($1,600 par due 1/2018)",10.75%,9/18/2014,1581.0,1600
57,"My Health Direct, Inc. (25)",Healthcare scheduling exchange software solution provider,"Warrant to purchase up to 4,548 shares of Series D preferred stock (expires 9/2024)",0,9/18/2014,39.0,40
58,"New Trident Holdcorp, Inc.",Outsourced mobile diagnostic healthcare service provider,"Second lien senior secured loan ($80,000 par due 7/2020)",10.25% (Libor + 9.00%/Q),8/6/2013,79085.0,76000
59,"NMSC Holdings, Inc. and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Second lien senior secured loan ($72,796 par due 10/2023)",11.00% (Libor + 10.00%/Q),4/19/2016,72796.0,72796
60,"NMSC Holdings, Inc. and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Class A units (25,277 units)",0,4/19/2016,2528.0,2488
61,"Nodality, Inc.",Biotechnology company,"First lien senior secured loan ($2,743 par due 8/2016)",0,11/12/2015,2533.0,2585
62,"Nodality, Inc.",Biotechnology company,"First lien senior secured loan ($10,885 par due 8/2016)",0,4/25/2014,9694.0,773
63,"Nodality, Inc.",Biotechnology company,"Common stock (3,736,255 shares)",0,5/1/2016,0.0,0
64,"nThrive, Inc. (fka Precyse Acquisition Corp.)",Provider of healthcare information management technology and services,"Second lien senior secured loan ($10,000 par due 4/2023)",10.75% (Libor + 9.75%/Q),4/20/2016,9624.0,10000
65,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC (25)",Provider of technology-enabled solutions to pharmacies,"First lien senior secured loan ($5,899 par due 11/2018)",8.50% (Libor + 7.50%/Q),11/21/2013,5899.0,5899
66,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC (25)",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),0,11/21/2013,1000.0,679
67,"Patterson Medical Supply, Inc.",Distributor of rehabilitation supplies and equipment,"Second lien senior secured loan ($78,000 par due 8/2023)",9.50% (Libor + 8.50%/Q),9/2/2015,76070.0,78000
68,"PerfectServe, Inc. (25)",Communications software platform provider for hospitals and physician practices,"First lien senior secured loan ($9,000 par due 3/2020)",9.00% (Libor + 8.00%/M),9/15/2015,8714.0,9000
69,"PerfectServe, Inc. (25)",Communications software platform provider for hospitals and physician practices,"First lien senior secured loan ($2,000 par due 6/2020)",9.00% (Libor + 8.00%/M),9/15/2015,1965.0,2000
70,"PerfectServe, Inc. (25)",Communications software platform provider for hospitals and physician practices,"First lien senior secured loan ($3,000 par due 6/2021)",9.00% (Libor + 8.00%/M),9/15/2015,2960.0,3000
71,"PerfectServe, Inc. (25)",Communications software platform provider for hospitals and physician practices,"Warrant to purchase up to 28,428 shares of Series C preferred stock (expires 9/2025)",0,9/15/2015,180.0,256
72,"PerfectServe, Inc. (25)",Communications software platform provider for hospitals and physician practices,"Warrant to purchase up to 34,113 units of Series C preferred stock (expires 12/2023)",0,12/26/2013,0.0,307
73,PhyMED Management LLC,Provider of anesthesia services,"Second lien senior secured loan ($47,239 par due 5/2021)",9.75% (Libor + 8.75%/Q),12/18/2015,46616.0,45821
74,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",0,6/28/2012,38.0,28
75,"Sarnova HC, LLC, Tri-Anim Health Services, Inc., and BEMS Holdings, LLC",Distributor of emergency medical service and respiratory products,"Second lien senior secured loan ($54,000 par due 7/2022)",10.50% (Libor + 9.50%/Q),1/29/2016,54000.0,54000
76,"Transaction Data Systems, Inc.",Pharmacy management software provider,"Second lien senior secured loan ($27,500 par due 6/2022)",10.00% (Libor + 9.00%/Q),6/15/2015,27500.0,27500
77,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,"Second lien senior secured loan ($23,500 par due 9/2020)",10.25% (Libor + 9.25%/Q),12/14/2015,23500.0,23500
78,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,"Second lien senior secured loan ($50,000 par due 9/2020)",10.25% (Libor + 9.25%/Q),9/24/2014,50000.0,50000
79,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC (25)",Operator of urgent care clinics,"First lien senior secured loan ($13,895 par due 12/2022)",7.00% (Libor + 6.00%/Q),12/1/2015,13895.0,12644
80,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC (25)",Operator of urgent care clinics,"First lien senior secured loan ($54,314 par due 12/2022)",7.00% (Libor + 6.00%/Q),12/1/2015,54313.0,49426
81,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC (25)",Operator of urgent care clinics,"Preferred units (7,696,613 units)",0,6/11/2015,7697.0,8616
82,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC (25)",Operator of urgent care clinics,"Series A common units (2,000,000 units)",0,6/11/2015,2000.0,522
83,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC (25)",Operator of urgent care clinics,"Series C common units (1,026,866 units)",0,6/11/2015,0.0,219
84,"VistaPharm, Inc. and Vertice Pharma UK Parent Limited",Manufacturer and distributor of generic pharmaceutical products,"Preferred shares (40,662 shares)",0,12/21/2015,407.0,407
85,"Young Innovations, Inc.",Dental supplies and equipment manufacturer,"Second lien senior secured loan ($45,000 par due 7/2019)",9.00% (Libor + 8.00%/Q),5/30/2014,45000.0,45000
86,American Residential Services L.L.C.,"Heating, ventilation and air conditioning services provider","Second lien senior secured loan ($67,000 par due 12/2021)",9.00% (Libor + 8.00%/Q),6/30/2014,66657.0,67000
87,"Community Education Centers, Inc. and CEC Parent Holdings LLC (8)",Offender re-entry and in-prison treatment services provider,"First lien senior secured loan ($13,579 par due 12/2017)",6.25% (Libor + 5.25%/Q),12/10/2010,13579.0,13579
88,"Community Education Centers, Inc. and CEC Parent Holdings LLC (8)",Offender re-entry and in-prison treatment services provider,First lien senior secured loan ($707 par due 12/2017),7.75%(Base Rate + 4.25%/Q),12/10/2010,707.0,707
89,"Community Education Centers, Inc. and CEC Parent Holdings LLC (8)",Offender re-entry and in-prison treatment services provider,"Second lien senior secured loan ($21,895 par due 6/2018)",15.75% (Libor + 15.00%/Q),12/10/2010,21895.0,21895
90,"Community Education Centers, Inc. and CEC Parent Holdings LLC (8)",Offender re-entry and in-prison treatment services provider,"Class A senior preferred units (7,846 units)",0,3/27/2015,9384.0,10918
91,"Community Education Centers, Inc. and CEC Parent Holdings LLC (8)",Offender re-entry and in-prison treatment services provider,"Class A junior preferred units (26,154 units)",0,3/27/2015,20168.0,18850
92,"Community Education Centers, Inc. and CEC Parent Holdings LLC (8)",Offender re-entry and in-prison treatment services provider,Class A common units (134 units),0,3/27/2015,0.0,0
93,"Competitor Group, Inc., Calera XVI, LLC and Champion Parent Corporation (8)(25)",Endurance sports media and event operator,"First lien senior secured revolving loan ($4,602 par due 11/2018)",5.00% (Libor + 3.75%/Q),11/30/2012,4473.0,4602
94,"Competitor Group, Inc., Calera XVI, LLC and Champion Parent Corporation (8)(25)",Endurance sports media and event operator,First lien senior secured revolving loan ($600 par due 11/2018),5.00% (Libor + 3.75%/Q),9/29/2016,600.0,600
95,"Competitor Group, Inc., Calera XVI, LLC and Champion Parent Corporation (8)(25)",Endurance sports media and event operator,"First lien senior secured loan ($39,098 par due 11/2018)",5.00% (Libor + 3.75%/Q),11/30/2012,37993.0,39098
96,"Competitor Group, Inc., Calera XVI, LLC and Champion Parent Corporation (8)(25)",Endurance sports media and event operator,"Preferred shares (18,875 shares)",0,3/25/2016,15966.0,1245
97,"Competitor Group, Inc., Calera XVI, LLC and Champion Parent Corporation (8)(25)",Endurance sports media and event operator,"Membership units (2,522,512 units)",0,11/30/2012,2523.0,0
98,"Competitor Group, Inc., Calera XVI, LLC and Champion Parent Corporation (8)(25)",Endurance sports media and event operator,"Common shares (114,000 shares)",0,3/25/2016,0.0,0
99,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC (7)(25)",Provider of outsourced healthcare linen management solutions,"First lien senior secured revolving loan ($3,800 par due 3/2019)",7.25% (Libor + 6.00%/Q),3/13/2014,3800.0,3800
100,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC (7)(25)",Provider of outsourced healthcare linen management solutions,"First lien senior secured loan ($5,261 par due 3/2019)",7.25% (Libor + 6.00%/Q),3/13/2014,5261.0,5261
101,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC (7)(25)",Provider of outsourced healthcare linen management solutions,"Class A preferred units (2,475,000 units)",0,3/13/2014,2475.0,2952
102,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC (7)(25)",Provider of outsourced healthcare linen management solutions,"Class B common units (275,000 units)",0,3/13/2014,275.0,328
103,"Dwyer Acquisition Parent, Inc. and TDG Group Holding Company",Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Senior subordinated loan ($31,500 par due 2/2020)",11.00%,6/12/2015,31500.0,31500
104,"Dwyer Acquisition Parent, Inc. and TDG Group Holding Company",Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Senior subordinated loan ($52,670 par due 2/2020)",11.00%,8/15/2014,52670.0,52670
105,"Dwyer Acquisition Parent, Inc. and TDG Group Holding Company",Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Common stock (32,843 shares)",0,8/15/2014,3378.0,4986
106,"Massage Envy, LLC (25)",Franchisor in the massage industry,"First lien senior secured loan ($38,987 par due 9/2018)",8.50% (Libor + 7.25%/Q),9/27/2012,38987.0,38988
107,"Massage Envy, LLC (25)",Franchisor in the massage industry,"First lien senior secured loan ($18,945 par due 9/2018)",8.50% (Libor + 7.25%/Q),9/27/2012,18945.0,18945
108,"Massage Envy, LLC (25)",Franchisor in the massage industry,"Common stock (3,000,000 shares)",0,9/27/2012,3000.0,5762
109,"McKenzie Sports Products, LLC (25)","Designer, manufacturer and distributor of hunting-related supplies","First lien senior secured loan ($5,500 par due 9/2020)",6.75% (Libor + 5.75%/Q),9/18/2014,5500.0,5390
110,"McKenzie Sports Products, LLC (25)","Designer, manufacturer and distributor of hunting-related supplies","First lien senior secured loan ($39,500 par due 9/2020)",6.75% (Libor + 5.75%/Q),9/18/2014,39500.0,38710
111,"McKenzie Sports Products, LLC (25)","Designer, manufacturer and distributor of hunting-related supplies","First lien senior secured loan ($45,000 par due 9/2020)",6.75% (Libor + 5.75%/Q),9/18/2014,45000.0,44100
112,"OpenSky Project, Inc. and OSP Holdings, Inc.",Social commerce platform operator,"First lien senior secured loan ($1,200 par due 9/2017)",10.00%,6/4/2014,1195.0,1200
113,"OpenSky Project, Inc. and OSP Holdings, Inc.",Social commerce platform operator,"Warrant to purchase up to 159,496 shares of Series D preferred stock (expires 4/2025)",0,6/29/2015,48.0,0
114,"Osmose Holdings, Inc.",Provider of structural integrity management services to transmission and distribution infrastructure,"Second lien senior secured loan ($25,000 par due 8/2023)",8.75% (Libor + 7.75%/Q),9/3/2015,24568.0,24500
115,"SocialFlow, Inc.",Social media optimization platform provider,"First lien senior secured loan ($4,000 par due 8/2019)",9.50% (Libor + 8.50%/M),1/29/2016,3919.0,4000
116,"SocialFlow, Inc.",Social media optimization platform provider,"Warrant to purchase up to 215,331 shares of Series C preferred stock (expires 1/2026)",0,1/29/2016,0.0,25
117,Spin HoldCo Inc.,Laundry service and equipment provider,"Second lien senior secured loan ($140,000 par due 5/2020)",8.00% (Libor + 7.00%/Q),5/14/2013,140000.0,137200
118,"Surface Dive, Inc.",SCUBA diver training and certification provider,"Second lien senior secured loan ($31,591 par due 1/2022)",9.00% (Libor + 8.00%/Q),7/28/2015,31591.0,31591
119,"Surface Dive, Inc.",SCUBA diver training and certification provider,"Second lien senior secured loan ($94,094 par due 1/2022)",10.25% (Libor + 9.25%/Q),1/29/2015,93753.0,94094
120,"TWH Water Treatment Industries, Inc., TWH Filtration Industries, Inc. and TWH Infrastructure Industries, Inc. (25)","Wastewater infrastructure repair, treatment and filtration holding company","First lien senior secured loan ($5,370 par due 10/2019)",10.25% (Libor + 9.25%/Q),10/10/2014,5370.0,5370
121,"TWH Water Treatment Industries, Inc., TWH Filtration Industries, Inc. and TWH Infrastructure Industries, Inc. (25)","Wastewater infrastructure repair, treatment and filtration holding company","First lien senior secured loan ($36,400 par due 10/2019)",10.25% (Libor + 9.25%/Q),10/10/2014,36400.0,36400
122,"U.S. Security Associates Holdings, Inc",Security guard service provider,"Second lien senior secured loan ($25,000 par due 7/2018)",11.00%,11/24/2015,25000.0,25000
123,WASH Multifamily Acquisition Inc. and Coinamatic Canada Inc.,Laundry service and equipment provider,"Second lien senior secured loan ($3,726 par due 5/2023)",8.00% (Libor + 7.00%/Q),5/14/2015,3664.0,3689
124,WASH Multifamily Acquisition Inc. and Coinamatic Canada Inc.,Laundry service and equipment provider,"Second lien senior secured loan ($21,274 par due 5/2023)",8.00% (Libor + 7.00%/Q),5/14/2015,20920.0,21061
125,"Accruent, LLC and Athena Parent, Inc. (25)",Real estate and facilities management software provider,"First lien senior secured loan ($15,000 par due 5/2022)",6.25% (Libor + 5.25%/Q),9/13/2016,15000.0,15000
126,"Accruent, LLC and Athena Parent, Inc. (25)",Real estate and facilities management software provider,"First lien senior secured loan ($4,500 par due 5/2022)",6.25% (Libor + 5.25%/Q),9/19/2016,4500.0,4500
127,"Accruent, LLC and Athena Parent, Inc. (25)",Real estate and facilities management software provider,"Second lien senior secured loan ($10,500 par due 11/2022)",12.25%(Base Rate + 8.75%/Q),9/19/2016,10500.0,10500
128,"Accruent, LLC and Athena Parent, Inc. (25)",Real estate and facilities management software provider,"Second lien senior secured loan ($42,500 par due 11/2022)",10.75% (Libor + 9.75%/Q),9/19/2016,42500.0,42500
129,"Accruent, LLC and Athena Parent, Inc. (25)",Real estate and facilities management software provider,Series A preferred stock (778 shares),0,9/19/2016,778.0,800
130,"Accruent, LLC and Athena Parent, Inc. (25)",Real estate and facilities management software provider,"Common stock (3,000 shares)",0,5/16/2016,3000.0,3084
131,Brandtone Holdings Limited (9),Mobile communications and marketing services provider,"First lien senior secured loan ($4,676 par due 11/2018)","12.50% (Libor + 10.50% Cash, 1.00% PIK/M)",5/11/2015,4591.0,3975
132,Brandtone Holdings Limited (9),Mobile communications and marketing services provider,"First lien senior secured loan ($3,098 par due 2/2019)","12.50% (Libor + 10.50% Cash, 1.00% PIK/M)",5/11/2015,3035.0,2633
133,Brandtone Holdings Limited (9),Mobile communications and marketing services provider,"Warrant to purchase up to 184,003 units of Series Three participating convertible preferred shares (expires 8/2026)",0,5/11/2015,0.0,0
134,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Second lien senior secured loan ($2,424 par due 5/2018)",10.50% (Libor + 9.50%/M),7/23/2014,2417.0,2424
135,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Second lien senior secured loan ($1,394 par due 8/2018)",10.50% (Libor + 9.50%/M),7/23/2014,1389.0,1394
136,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",0,7/23/2014,0.0,0
137,"CIBT Holdings, Inc. and CIBT Investment Holdings, LLC",Expedited travel document processing services,"Class A shares (2,500 shares)",0,12/15/2011,2500.0,6015
138,"Clearwater Analytics, LLC (25)","Provider of integrated cloud-based investment portfolio management, accounting, reporting and analytics software","First lien senior secured loan ($25,500 par due 9/2022)",8.50% (Libor + 7.50%/Q),9/1/2016,25500.0,25500
139,"CMW Parent LLC (fka Black Arrow, Inc.)",Multiplatform media firm,Series A units (32 units),0,9/11/2015,0.0,0
140,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,"Second lien senior secured loan ($10,000 par due 8/2020)",9.25% (Libor + 8.25%/Q),9/28/2012,10000.0,10000
141,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,"Second lien senior secured loan ($11,500 par due 8/2020)",9.44% (Libor + 8.25%/Q),9/28/2012,11500.0,11500
142,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,"Second lien senior secured loan ($26,500 par due 8/2020)",9.25% (Libor + 8.25%/Q),9/28/2012,26500.0,26500
143,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,"Senior subordinated loan ($22,542 par due 8/2021)",14.00% PIK,8/8/2014,22542.0,22542
144,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class A-1 common stock (4,132 units)",0,12/15/2014,2250.0,2113
145,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class B-1 common stock (4,132 units)",0,12/15/2014,450.0,422
146,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class C-1 common stock (4,132 units)",0,12/15/2014,300.0,282
147,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class A-2 common stock (4,132 units)",0,12/15/2014,0.0,0
148,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class B-2 common stock (4,132 units)",0,12/15/2014,0.0,0
149,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class C-2 common stock (4,132 units)",0,12/15/2014,0.0,0
150,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,"First lien senior secured loan ($1,917 par due 4/2018)",10.25% (Libor + 9.25%/M),12/19/2014,1863.0,1782
151,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,"Warrant to purchase up to 1,875,000 shares of Series 1 preferred stock (expires 12/2024)",0,12/19/2014,0.0,0
152,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (25)",Provider of legal process outsourcing and managed services,"First lien senior secured loan ($4,167 par due 9/2023)",6.25% (Libor + 5.25%/Q),9/23/2016,4125.0,4166
153,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (25)",Provider of legal process outsourcing and managed services,"Class A common stock (7,500 shares)",0,8/19/2014,7500.0,4323
154,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (25)",Provider of legal process outsourcing and managed services,"Class B common stock (7,500 shares)",0,8/19/2014,0.0,4323
