,Industry,Company(1),Business Description,Investment,Interest(5)(9),,Acquisition  Date,,Amortized  Cost,Fair  Value
23,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",,Second lien senior secured loan ($5.3 par due 7/2027),10.20% (Libor + 8.25%/Q),,7/9/2019,,5.3,5.2
24,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",,Second lien senior secured loan ($12.7 par due 7/2027),10.20% (Libor + 8.25%/Q),,9/10/2019,,12.7,12.6
25,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",,"Class B common units (4,211 units)",,,7/9/2019,,4.2,4.2
26,Health Care Services,"CCS-CMGC Holdings, Inc. (17)",Correctional facility healthcare operator,First lien senior secured revolving loan ($0.9 par due 10/2023),7.05% (Libor + 5.25%/M),,10/1/2018,,0.9,0.9
27,Health Care Services,"CCS-CMGC Holdings, Inc. (17)",,First lien senior secured loan ($34.7 par due 10/2025),7.35% (Libor + 5.50%/M),,9/25/2018,,34.4,33.6
28,Health Care Services,"Center for Autism and Related Disorders, LLC (17)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan,0,,11/21/2018,,0.0,0.0
29,Health Care Services,"Comprehensive EyeCare Partners, LLC (17)",Vision care practice management company,First lien senior secured revolving loan ($0.4 par due 2/2024),6.45% (Libor + 4.50%/Q),,2/14/2018,,0.4,0.4
30,Health Care Services,"Comprehensive EyeCare Partners, LLC (17)",,First lien senior secured loan ($5.4 par due 2/2024),6.60% (Libor + 4.50%/Q),,2/14/2018,,5.4,5.3
31,Health Care Services,"Comprehensive EyeCare Partners, LLC (17)",,First lien senior secured loan ($2.4 par due 2/2024),6.45% (Libor + 4.50%/Q),,2/14/2018,,2.4,2.4
32,Health Care Services,"Convey Health Solutions, Inc.",Workforce management solutions provider,First lien senior secured loan ($20.1 par due 9/2026),6.94% (Libor + 5.25%/M),,9/4/2019,,20.1,19.9
33,Health Care Services,"CVP Holdco, Inc. and OMERS Wildcats Holdings Inc. (17)",Veterinary hospital operator,First lien senior secured revolving loan ($0.1 par due 10/2024),8.41% (Libor + 5.75%/Q),,10/31/2019,,0.1,0.1
34,Health Care Services,"CVP Holdco, Inc. and OMERS Wildcats Holdings Inc. (17)",,First lien senior secured loan ($66.3 par due 10/2025),7.66% (Libor + 5.75%/Q),,10/31/2019,,66.3,65.6
35,Health Care Services,"CVP Holdco, Inc. and OMERS Wildcats Holdings Inc. (17)",,First lien senior secured loan ($12.5 par due 10/2025),7.63% (Libor + 5.75%/Q),,10/31/2019,,12.5,12.4
36,Health Care Services,"CVP Holdco, Inc. and OMERS Wildcats Holdings Inc. (17)",,"Common stock (31,005 shares)",,,10/31/2019,,9.6,9.8
37,Health Care Services,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (17)",Dental services provider,First lien senior secured revolving loan ($0.6 par due 12/2022),10.00% (Base Rate + 5.25%/Q),,12/21/2016,,0.6,0.6
38,Health Care Services,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (17)",,"Class A preferred units (1,000,000 units)",,,12/21/2016,,1.0,1.0
39,Health Care Services,"DCA Investment Holding, LLC (17)",Multi-branded dental practice management,First lien senior secured revolving loan ($1.7 par due 7/2021),9.00% (Base Rate + 4.25%/Q),,7/2/2015,,1.7,1.7
40,Health Care Services,"DCA Investment Holding, LLC (17)",,First lien senior secured loan ($18.3 par due 7/2021),7.20% (Libor + 5.25%/Q),,7/2/2015,,18.3,18.3
41,Health Care Services,"Emerus Holdings, Inc.",Freestanding 24-hour emergency care micro-hospitals operator,First lien senior secured loan ($16.5 par due 2/2022),14.00%,,2/21/2019,,16.5,16.5
42,Health Care Services,"Evolent Health LLC and Evolent Health, Inc. (17)",Medical technology company focused on value based care services and payment solutions,First lien senior secured loan ($67.1 par due 12/2024),9.96% (Libor + 8.00%/Q),,12/30/2019,,61.2,63.6
43,Health Care Services,"Evolent Health LLC and Evolent Health, Inc. (17)",,"Warrant to purchase up to 1,354,968 shares of common stock (expires 1/2025)",,,12/30/2019,,5.9,5.9
44,Health Care Services,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($34.5 par due 6/2025),9.95% (Libor + 8.00%/Q),,6/30/2017,,34.2,34.5
45,Health Care Services,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",,"Series A preferred stock (110,425 shares)",12.66% PIK (Libor + 10.75%/Q),,6/30/2017,,152.3,152.3
46,Health Care Services,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",,"Class A units (14,013,303 units)",,,6/30/2017,,14.0,16.8
47,Health Care Services,Hygiena Borrower LLC (17),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($2.5 par due 8/2023),9.70% (Libor + 7.75%/Q),,8/26/2016,,2.5,2.5
48,Health Care Services,Hygiena Borrower LLC (17),,Second lien senior secured loan ($10.7 par due 8/2023),9.70% (Libor + 7.75%/Q),,2/27/2017,,10.7,10.6
49,Health Care Services,Hygiena Borrower LLC (17),,Second lien senior secured loan ($11.1 par due 8/2023),9.70% (Libor + 7.75%/Q),,6/29/2018,,11.1,11.0
50,Health Care Services,Hygiena Borrower LLC (17),,Second lien senior secured loan ($0.6 par due 8/2023),9.70% (Libor + 7.75%/Q),,6/29/2018,,0.6,0.6
51,Health Care Services,"JDC Healthcare Management, LLC (17)",Dental services provider,First lien senior secured revolving loan ($4.0 par due 4/2022),9.53% (Libor + 7.75%/M),,4/10/2017,,4.0,3.3
52,Health Care Services,"JDC Healthcare Management, LLC (17)",,First lien senior secured loan ($29.6 par due 4/2023),"9.55% (Libor + 6.75% Cash, 1.00% PIK/M)",,4/10/2017,,29.6,24.3
53,Health Care Services,"JDC Healthcare Management, LLC (17)",,First lien senior secured loan ($4.2 par due 4/2023),"9.55% (Libor + 6.75% Cash, 1.00% PIK/M)",,4/10/2017,,4.2,3.4
54,Health Care Services,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (17)",Provider of behavioral health services,First lien senior secured revolving loan ($2.0 par due 3/2022),6.80% (Libor + 5.00%/M),,3/17/2017,,2.0,1.8
55,Health Care Services,Key Surgical LLC (17),"Provider of sterile processing, operating room and instrument care supplies for hospitals",First lien senior secured loan ($16.5 par due 6/2023),6.00% (EURIBOR + 5.00%/Q),,6/1/2017,,16.5,16.5
56,Health Care Services,Key Surgical LLC (17),,First lien senior secured loan ($5.5 par due 6/2023),6.00% (Libor + 5.00%/M),,8/28/2019,,5.4,5.5
57,Health Care Services,"MB2 Dental Solutions, LLC (17)",Dental services provider,First lien senior secured revolving loan ($4.6 par due 9/2023),8.75% (Base Rate + 4.00%/Q),,9/29/2017,,4.6,4.6
58,Health Care Services,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,First lien senior secured loan ($116.9 par due 7/2020),7.31% (Libor + 5.50%/M),,7/26/2017,,116.9,116.9
59,Health Care Services,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",,"Class A units (1,438,643 shares)",,,1/17/2014,,1.5,1.3
60,Health Care Services,"Minerva Surgical, Inc. (17)",Medical device company focused on women's health,First lien senior secured loan ($29.6 par due 12/2022),11.50% (Libor + 9.50%/Q),,12/30/2019,,28.4,29.3
61,Health Care Services,MW Dental Holding Corp. (17),Dental services provider,First lien senior secured revolving loan ($10.0 par due 4/2021),9.15% (Libor + 6.75%/Q),,4/12/2011,,10.0,10.0
62,Health Care Services,MW Dental Holding Corp. (17),,First lien senior secured loan ($122.4 par due 4/2021),8.69% (Libor + 6.75%/Q),,4/12/2011,,122.4,122.4
63,Health Care Services,MW Dental Holding Corp. (17),,First lien senior secured loan ($23.8 par due 4/2021),8.69% (Libor + 6.75%/Q),,3/19/2018,,23.8,23.8
64,Health Care Services,NMN Holdings III Corp. and NMN Holdings LP (17),Provider of complex rehab technology solutions for patients with mobility loss,"Partnership units (30,000 units)",,,11/13/2018,,3.0,3.4
65,Health Care Services,"NMSC Holdings, Inc. and ASP NAPA Holdings, LLC",Anesthesia management services provider,Second lien senior secured loan ($72.8 par due 10/2023),11.80% (Libor + 10.00%/M),,4/19/2016,,72.8,72.8
66,Health Care Services,"NMSC Holdings, Inc. and ASP NAPA Holdings, LLC",,"Class A units (25,790 units)",,,4/19/2016,,2.6,1.6
67,Health Care Services,"NueHealth Performance, LLC (17)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($9.9 par due 9/2023),8.30% (Libor + 6.50%/M),,9/27/2018,,9.9,9.9
68,Health Care Services,"NueHealth Performance, LLC (17)",,First lien senior secured loan ($1.5 par due 9/2023),8.30% (Libor + 6.50%/M),,9/27/2018,,1.5,1.5
69,Health Care Services,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (17)",Behavioral health and special education platform provider,First lien senior secured loan ($43.0 par due 9/2026),7.30% (Libor + 5.50%/M),,9/24/2019,,43.0,42.5
70,Health Care Services,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (17)",,"Class A common units (9,549,000 units)",,,9/24/2019,,9.5,9.5
71,Health Care Services,"OMH-HealthEdge Holdings, LLC (17)",Revenue cycle management provider for healthcare companies,First lien senior secured loan ($26.7 par due 10/2025),7.30% (Libor + 5.50%/M),,10/24/2019,,26.7,26.4
72,Health Care Services,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),,,11/21/2013,,1.0,0.6
73,Health Care Services,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),Veterinary hospital operator,First lien senior secured revolving loan,0,,12/21/2018,,0.0,0.0
74,Health Care Services,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),,First lien senior secured loan ($57.1 par due 12/2024),6.30% (Libor + 4.50%/M),,12/21/2018,,56.6,56.5
75,Health Care Services,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),,First lien senior secured loan ($23.0 par due 12/2024),6.30% (Libor + 4.50%/M),,12/21/2018,,23.0,22.8
76,Health Care Services,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),,First lien senior secured loan ($13.8 par due 12/2024),6.30% (Libor + 4.50%/M),,10/11/2019,,13.8,13.7
77,Health Care Services,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),,Second lien senior secured loan ($163.9 par due 12/2025),10.30% (Libor + 8.50%/M),,12/21/2018,,163.9,163.1
78,Health Care Services,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),,Second lien senior secured loan ($54.9 par due 12/2025),10.30% (Libor + 8.50%/M),,12/21/2018,,54.9,54.7
79,Health Care Services,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),,Second lien senior secured loan ($12.6 par due 12/2025),10.30% (Libor + 8.50%/M),,10/11/2019,,12.6,12.5
80,Health Care Services,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),,"Preferred subscription units (1,507,384 units)",,,12/21/2018,,4.9,10.6
81,Health Care Services,"Patterson Medical Supply, Inc.",Distributor of rehabilitation supplies and equipment,Second lien senior secured loan ($78.0 par due 8/2023),10.43% (Libor + 8.50%/Q),,9/2/2015,,77.0,62.4
82,Health Care Services,"PetIQ, LLC",Distributor and manufacturer of pet prescription medications and health products,First lien senior secured loan ($21.0 par due 7/2025),6.30% (Libor + 4.50%/M),,1/17/2018,,21.0,20.8
83,Health Care Services,"PetVet Care Centers, LLC",Veterinary hospital operator,First lien senior secured loan ($26.3 par due 2/2025),6.05% (Libor + 4.25%/M),,10/31/2019,,25.8,26.0
84,Health Care Services,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($47.2 par due 5/2021),10.55% (Libor + 8.75%/M),,12/18/2015,,47.1,46.8
85,Health Care Services,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (17),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured revolving loan,0,,7/10/2018,,0.0,0.0
86,Health Care Services,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (17),,First lien senior secured loan ($10.8 par due 7/2025),5.45% (Libor + 3.50%/Q),,7/10/2018,,10.8,10.7
87,Health Care Services,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (17),,Second lien senior secured loan ($67.1 par due 7/2026),9.45% (Libor + 7.50%/Q),,7/10/2018,,66.6,66.4
88,Health Care Services,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (17),,"Class A units (9,775 units)",,,7/10/2018,,9.8,11.5
89,Health Care Services,"ProVation Medical, Inc.",Provider of documentation and coding software for GI physicians,First lien senior secured loan ($12.9 par due 3/2024),8.98% (Libor + 7.00%/Q),,3/9/2018,,12.7,12.9
90,Health Care Services,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",,,6/28/2012,,0.0,0.0
91,Health Care Services,"RTI Surgical, Inc.","Manufacturer of biologic, metal and synthetic implants/devices",Second lien senior secured loan ($94.8 par due 12/2023),10.49% (Libor + 8.75%/M),,3/8/2019,,94.8,94.8
92,Health Care Services,"SCSG EA Acquisition Company, Inc. (17)",Provider of outsourced clinical services to hospitals and health systems,First lien senior secured revolving loan,0,,9/1/2017,,0.0,0.0
93,Health Care Services,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (17)",Outsourced anesthesia provider,First lien senior secured loan ($17.1 par due 3/2024),6.70% (Libor + 4.75%/Q),,3/26/2018,,17.1,16.3
94,Health Care Services,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (17)",,"Common units (684,854 units)",,,3/26/2018,,4.8,2.9
95,Health Care Services,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (17)",Breast cancer screening provider,First lien senior secured revolving loan ($4.4 par due 8/2024),7.30% (Libor + 5.50%/Q),,8/1/2018,,4.4,4.4
96,Health Care Services,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (17)",,First lien senior secured loan ($7.1 par due 8/2024),7.30% (Libor + 5.50%/M),,8/1/2018,,7.1,7.1
97,Health Care Services,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (17)",,"Series A preferred stock (44,975 shares)",12.16% PIK (Libor + 10.25%/Q),,8/1/2018,,53.8,53.8
98,Health Care Services,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (17)",,"Series A units (7,475 units)",,,8/1/2018,,7.5,8.9
99,Health Care Services,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (17)",,"Series B units (747,500 units)",,,8/1/2018,,0.0,0.0
100,Health Care Services,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (17)",Franchisor of private-pay home care for the elderly,First lien senior secured loan ($15.9 par due 4/2024),7.70% (Libor + 5.75%/Q),,4/2/2018,,15.9,15.9
101,Health Care Services,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (17)",,Common units (550 units),,,4/2/2018,,0.6,0.7
102,Health Care Services,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($50.9 par due 6/2024),"10.64% (Libor + 7.75% Cash, 1.00% PIK/Q)",,12/13/2018,,50.9,45.8
103,Health Care Services,"Teligent, Inc.",,Second lien senior secured loan ($29.6 par due 6/2024),"10.68% (Libor + 7.75% Cash, 1.00% PIK/Q)",,12/13/2018,,29.6,26.6
104,Health Care Services,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P. (17)","Manufacturer of consumable products in the dental, medical, cosmetic and CPG/industrial end-markets",First lien senior secured loan ($25.5 par due 11/2025),6.55% (Libor + 4.75%/M),,11/15/2018,,25.5,25.2
105,Health Care Services,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P. (17)",,"Class A preferred units (2,149 units)",8.00% PIK,,11/15/2018,,2.3,2.3
106,Health Care Services,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,Second lien senior secured loan ($71.8 par due 6/2025),9.05% (Libor + 7.25%/M),,6/16/2017,,71.1,71.8
107,Health Care Services,"United Digestive MSO Parent, LLC (17)",Gastroenterology physician group,First lien senior secured loan ($12.5 par due 12/2024),6.43% (Libor + 4.50%/Q),,12/14/2018,,12.5,12.5
108,Health Care Services,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Preferred units (7,696,613 units)",,,6/11/2015,,7.7,0.0
109,Health Care Services,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",,"Series A common units (2,000,000 units)",,,6/11/2015,,2.0,0.0
110,Health Care Services,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",,"Series C common units (5,288,427 units)",,,6/11/2015,,0.0,0.0
111,Health Care Services,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",Urology private practice,First lien senior secured loan ($9.8 par due 8/2024),6.80% (Libor + 5.00%/M),,8/31/2018,,9.6,9.8
112,Health Care Services,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",,Limited partnership interests (3.64% interest),,,8/31/2018,,4.8,5.6
113,Health Care Services,"West Dermatology, LLC (17)",Dermatology practice platform,First lien senior secured revolving loan ($1.0 par due 4/2022),7.70% (Libor + 5.75%/Q),,2/8/2018,,1.0,1.0
114,Health Care Services,"West Dermatology, LLC (17)",,First lien senior secured loan ($7.5 par due 4/2023),7.70% (Libor + 5.75%/Q),,4/2/2018,,7.5,7.5
115,Health Care Services,"West Dermatology, LLC (17)",,First lien senior secured loan ($12.5 par due 4/2023),7.70% (Libor + 5.75%/Q),,9/5/2018,,12.5,12.5
116,Health Care Services,"West Dermatology, LLC (17)",,First lien senior secured loan ($6.4 par due 4/2023),7.70% (Libor + 5.75%/Q),,6/28/2019,,6.4,6.4
117,Health Care Services,"WIRB - Copernicus Group, Inc. (17)","Provider of regulatory, ethical, and safety review services for clinical research involving human subjects",First lien senior secured revolving loan,0,,2/8/2018,,0.0,0.0
118,Health Care Services,WSHP FC Acquisition LLC (17),Provider of biospecimen products for pharma research,First lien senior secured loan ($28.2 par due 3/2024),8.20% (Libor + 6.25%/Q),,3/30/2018,,28.2,28.2
119,Health Care Services,WSHP FC Acquisition LLC (17),,First lien senior secured loan ($5.9 par due 3/2024),8.20% (Libor + 6.25%/Q),,3/30/2018,,5.9,5.9
120,Health Care Services,WSHP FC Acquisition LLC (17),,First lien senior secured loan ($4.6 par due 3/2024),8.20% (Libor + 6.25%/Q),,2/11/2019,,4.6,4.6
121,Health Care Services,WSHP FC Acquisition LLC (17),,First lien senior secured loan ($5.8 par due 3/2024),8.20% (Libor + 6.25%/Q),,2/11/2019,,5.8,5.8
122,Health Care Services,WSHP FC Acquisition LLC (17),,First lien senior secured loan ($8.7 par due 3/2024),8.20% (Libor + 6.25%/Q),,8/30/2019,,8.7,8.7
123,Health Care Services,WSHP FC Acquisition LLC (17),,First lien senior secured loan ($11.1 par due 3/2024),8.20% (Libor + 6.25%/Q),,10/31/2019,,11.1,11.1
124,Health Care Services,WSHP FC Acquisition LLC (17),,,,,,,2999.6,2926.9
125,Software & Services,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (17)",Provider of IP management lifecycle software,First lien senior secured loan ($4.7 par due 4/2026),5.50% (Euribor + 5.50%/Q),,4/10/2019,,4.7,4.7
126,Software & Services,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (17)",,First lien senior secured loan ($7.7 par due 4/2026),7.26% (Libor + 5.25%/Q),,4/10/2019,,7.7,7.7
127,Software & Services,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (17)",,"Limited partnership units (4,400,000 units)",,,6/13/2019,,5.0,5.9
128,Software & Services,"Apptio, Inc. (17)",Provider of cloud-based technology business management solutions,First lien senior secured loan ($62.2 par due 1/2025),8.96% (Libor + 7.25%/M),,1/10/2019,,62.2,62.2
129,Software & Services,"Avetta, LLC (17)",Supply chain risk management SaaS platform for global enterprise clients,First lien senior secured loan ($36.1 par due 4/2024),7.55% (Libor + 5.75%/M),,4/10/2018,,36.1,36.1
130,Software & Services,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (17)",Provider of software and services for fundraising and organizing efforts to non-profits and political campaigns,First lien senior secured loan ($40.8 par due 8/2023),8.65% (Libor + 6.75%/Q),,8/20/2018,,40.8,40.8
131,Software & Services,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (17)",,"Series A preferred stock (150,000 shares)",,,9/26/2018,,1.5,1.9
132,Software & Services,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",,,7/23/2014,,0.0,0.0
133,Software & Services,"Clearwater Analytics, LLC (17)","Provider of integrated cloud-based investment portfolio management, accounting, reporting and analytics software",First lien senior secured loan ($3.9 par due 12/2025),7.20% (Libor + 5.50%/Q),,12/3/2019,,3.9,3.9
134,Software & Services,Command Alkon Incorporated (17),Software solutions provider to the ready-mix concrete industry,First lien senior secured revolving loan ($1.5 par due 9/2022),9.75% (Base Rate + 5.00%/Q),,9/1/2017,,1.5,1.4
135,Software & Services,Command Alkon Incorporated (17),,First lien senior secured loan ($20.2 par due 9/2023),7.71% (Libor + 6.00%/M),,9/1/2017,,20.2,19.8
136,Software & Services,Command Alkon Incorporated (17),,Second lien senior secured loan ($33.9 par due 3/2024),11.71% (Libor + 10.00%/M),,9/1/2017,,33.9,32.5
137,Software & Services,Compuware Software Group LLC,Web and mobile cloud performance testing and monitoring services provider,"Preferred units (4,132 units)",9.00% PIK,,7/31/2019,,0.8,2.2
138,Software & Services,Compuware Software Group LLC,,"Common units (744,569 units)",,,7/31/2019,,0.0,0.8
139,Software & Services,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (17)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($14.4 par due 7/2026),7.59% (Libor + 5.50%/Q),,7/2/2019,,14.4,14.2
140,Software & Services,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (17)",,First lien senior secured loan ($4.5 par due 7/2026),7.50% (Libor + 5.50%/Q),,10/15/2019,,4.5,4.4
141,Software & Services,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (17)",,Preferred equity (198 shares),9.00% PIK,,7/2/2019,,0.2,0.2
142,Software & Services,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (17)",,"Common equity (190,143 shares)",,,7/2/2019,,0.0,0.0
143,Software & Services,Datix Bidco Limited,Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($5.8 par due 4/2025),6.43% (Libor + 4.50%/Q),,4/27/2018,,5.7,5.8
144,Software & Services,Datix Bidco Limited,,First lien senior secured loan ($10.0 par due 4/2025),6.43% (Libor + 4.50%/Q),,5/28/2019,,9.9,10.0
145,Software & Services,Datix Bidco Limited,,First lien senior secured loan ($3.1 par due 4/2025),6.43% (Libor + 4.50%/Q),,10/7/2019,,3.0,3.1
