,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,Fair  Value
18,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($17.0 par due 7/2026),5.25% (Libor + 4.25%/Q),9/10/2019,17.0,17.0
19,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($64.2 par due 7/2027),9.25% (Libor + 8.25%/Q),7/9/2019,64.2,64.2
20,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($5.3 par due 7/2027),9.25% (Libor + 8.25%/Q),7/9/2019,5.3,5.3
21,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($12.7 par due 7/2027),9.25% (Libor + 8.25%/Q),9/10/2019,12.7,12.7
22,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,"Class B common units (4,211 units)",0,7/9/2019,4.2,6.8
23,"CCS-CMGC Holdings, Inc. (15)",Correctional facility healthcare operator,First lien senior secured revolving loan,0,10/1/2018,0.0,0.0
24,"CCS-CMGC Holdings, Inc. (15)",Correctional facility healthcare operator,First lien senior secured loan ($34.4 par due 10/2025),5.76% (Libor + 5.50%/Q),9/25/2018,34.1,32.7
25,"Center for Autism and Related Disorders, LLC (15)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan ($7.5 par due 11/2023),4.75% (Libor + 4.50%/Q),11/21/2018,7.5,7.0
26,"Comprehensive EyeCare Partners, LLC (15)",Vision care practice management company,First lien senior secured revolving loan ($1.8 par due 2/2024),6.00% (Libor + 4.75%/Q),2/14/2018,1.8,1.7
27,"Comprehensive EyeCare Partners, LLC (15)",Vision care practice management company,First lien senior secured loan ($5.3 par due 2/2024),6.00% (Libor + 4.75%/Q),2/14/2018,5.3,5.1
28,"Comprehensive EyeCare Partners, LLC (15)",Vision care practice management company,First lien senior secured loan ($1.0 par due 2/2024),7.00% (Base Rate + 3.75%/Q),2/14/2018,1.0,1.0
29,"Comprehensive EyeCare Partners, LLC (15)",Vision care practice management company,First lien senior secured loan ($2.4 par due 2/2024),6.00% (Libor + 4.75%/Q),2/14/2018,2.4,2.2
30,"Convey Health Solutions, Inc.",Healthcare workforce management software provider,First lien senior secured loan ($3.1 par due 9/2026),6.25% (Libor + 5.25%/Q),9/4/2019,3.1,3.1
31,"Convey Health Solutions, Inc.",Healthcare workforce management software provider,First lien senior secured loan ($2.3 par due 9/2026),10.00% (Libor + 9.00%/Q),4/8/2020,2.3,2.3
32,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (15)",Veterinary hospital operator,First lien senior secured loan ($53.3 par due 10/2025),6.75% (Libor + 5.75%/Q),10/31/2019,53.3,52.8
33,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (15)",Veterinary hospital operator,First lien senior secured loan ($21.8 par due 10/2025),6.75% (Libor + 5.75%/Q),10/31/2019,21.8,21.6
34,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (15)",Veterinary hospital operator,"Common stock (32,429 shares)",0,10/31/2019,10.0,9.7
35,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (15)",Dental services provider,First lien senior secured revolving loan ($0.1 par due 12/2022),"8.25% (Libor + 2.50% Cash, 4.75% PIK/Q)",12/21/2016,0.1,0.1
36,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (15)",Dental services provider,"Class A preferred units (1,000,000 units)",0,12/21/2016,1.0,1.0
37,DCA Investment Holding LLC (15),Multi-branded dental practice management,First lien senior secured revolving loan ($5.7 par due 7/2021),6.25% (Libor + 5.25%/Q),7/2/2015,5.7,5.4
38,DCA Investment Holding LLC (15),Multi-branded dental practice management,First lien senior secured loan ($18.2 par due 7/2021),6.25% (Libor + 5.25%/Q),7/2/2015,18.2,17.3
39,"Emerus Holdings, Inc.",Freestanding 24-hour emergency care micro-hospitals operator,First lien senior secured loan ($16.9 par due 2/2022),"10.00% Cash, 4.00% PIK",2/21/2019,16.9,16.9
40,"Evolent Health LLC and Evolent Health, Inc. (15)",Medical technology company focused on value based care services and payment solutions,First lien senior secured loan ($67.1 par due 12/2024),9.00% (Libor + 8.00%/Q),12/30/2019,61.2,65.1
41,"Evolent Health LLC and Evolent Health, Inc. (15)",Medical technology company focused on value based care services and payment solutions,"Warrant to purchase up to 1,354,968 shares of common stock (expires 1/2025)",0,12/30/2019,5.9,13.1
42,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($34.5 par due 6/2025),9.00% (Libor + 8.00%/Q),6/30/2017,34.2,34.5
43,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($55.0 par due 6/2025),9.00% (Libor + 8.00%/Q),1/13/2020,55.0,55.0
44,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,"Series A preferred stock (110,425 shares)",11.75% PIK (Libor + 10.75%/Q),6/30/2017,166.9,166.9
45,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,"Class A units (14,013,303 units)",0,6/30/2017,14.0,17.6
46,"HealthEdge Software, Inc. (15)","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured revolving loan,0,4/9/2020,0.0,0.0
47,"HealthEdge Software, Inc. (15)","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured loan ($3.7 par due 4/2026),7.25% (Libor + 6.25%/M),4/9/2020,3.7,3.6
48,"HealthEdge Software, Inc. (15)","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured loan ($7.1 par due 4/2026),7.25% (Libor + 6.25%/M),4/9/2020,7.1,7.1
49,Hygiena Borrower LLC (15),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($2.5 par due 8/2023),8.75% (Libor + 7.75%/Q),8/26/2016,2.5,2.5
50,Hygiena Borrower LLC (15),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($10.7 par due 8/2023),8.75% (Libor + 7.75%/Q),2/27/2017,10.7,10.7
51,Hygiena Borrower LLC (15),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($11.1 par due 8/2023),8.75% (Libor + 7.75%/Q),6/29/2018,11.1,11.1
52,Hygiena Borrower LLC (15),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($0.6 par due 8/2023),8.75% (Libor + 7.75%/Q),6/29/2018,0.6,0.6
53,"JDC Healthcare Management, LLC (15)",Dental services provider,First lien senior secured revolving loan ($4.1 par due 4/2022),0,4/10/2017,3.9,3.1
54,"JDC Healthcare Management, LLC (15)",Dental services provider,First lien senior secured loan ($29.6 par due 4/2023),0,4/10/2017,28.3,22.5
55,"JDC Healthcare Management, LLC (15)",Dental services provider,First lien senior secured loan ($4.2 par due 4/2023),0,4/10/2017,4.0,3.2
56,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (15)",Provider of behavioral health services,First lien senior secured revolving loan ($0.6 par due 3/2022),"6.00% (Libor + 4.00% Cash, 1.00% PIK/M)",3/17/2017,0.6,0.6
57,Key Surgical LLC (15),"Provider of sterile processing, operating room and instrument care supplies for hospitals",First lien senior secured loan ($17.1 par due 6/2023),6.00% (EURIBOR + 5.00%/Q),6/1/2017,16.3,17.1
58,Key Surgical LLC (15),"Provider of sterile processing, operating room and instrument care supplies for hospitals",First lien senior secured loan ($5.7 par due 6/2023),6.00% (Libor + 5.00%/Q),8/28/2019,5.4,5.7
59,LivaNova USA Inc.,Medical device company focused on treating cardiovascular and neurological diseases,First lien senior secured loan ($42.5 par due 6/2025),7.50% (Libor + 6.50%/Q),6/10/2020,42.5,41.2
60,"MB2 Dental Solutions, LLC (15)",Dental services provider,First lien senior secured revolving loan ($2.2 par due 9/2023),7.50% (Libor + 6.50%/Q),9/29/2017,2.2,2.2
61,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,First lien senior secured loan ($114.4 par due 7/2021),8.50% (Libor + 7.00%/M),7/26/2017,114.4,114.4
62,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,"Class A units (1,438,643 shares)",0,1/17/2014,1.5,1.1
63,"Minerva Surgical, Inc. (15)",Medical device company focused on women's health,First lien senior secured loan ($31.0 par due 12/2022),"11.50% (Libor + 3.50% Cash, 6.00% PIK/Q)",12/30/2019,30.1,31.0
64,MW Dental Holding Corp. (15),Dental services provider,First lien senior secured revolving loan ($10.5 par due 4/2021),8.25% (Libor + 6.75%/B),4/12/2011,10.5,9.8
65,MW Dental Holding Corp. (15),Dental services provider,First lien senior secured loan ($152.9 par due 4/2021),8.25% (Libor + 6.75%/B),4/12/2011,152.9,142.2
66,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,Second lien senior secured loan ($75.0 par due 10/2023),12.00% PIK (Libor + 11.00%/Q),4/19/2016,75.0,67.5
67,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Senior preferred units (5,320 units)",8.00% PIK,6/29/2020,0.3,0.3
68,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Preferred units (1,842 units)",15.00% PIK,6/29/2020,0.1,0.1
69,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Class A units (25,277 units)",0,4/19/2016,2.5,0.5
70,NMN Holdings III Corp. and NMN Holdings LP (15),Provider of complex rehabilitation technology solutions for patients with mobility loss,First lien senior secured revolving loan,0,11/13/2018,0.0,0.0
71,NMN Holdings III Corp. and NMN Holdings LP (15),Provider of complex rehabilitation technology solutions for patients with mobility loss,"Partnership units (30,000 units)",0,11/13/2018,3.0,4.9
72,"NueHealth Performance, LLC (15)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($11.1 par due 9/2023),8.25% (Libor + 7.25%/M),9/27/2018,11.1,11.0
73,"NueHealth Performance, LLC (15)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($1.5 par due 9/2023),8.25% (Libor + 7.25%/M),9/27/2018,1.5,1.5
74,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (15)",Behavioral health and special education platform provider,First lien senior secured revolving loan ($10.1 par due 9/2024),6.50% (Libor + 5.50%/Q),9/24/2019,10.1,9.1
75,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (15)",Behavioral health and special education platform provider,First lien senior secured loan ($42.6 par due 9/2026),6.50% (Libor + 5.50%/M),9/24/2019,42.6,38.4
76,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (15)",Behavioral health and special education platform provider,"Class A common units (9,549,000 units)",0,9/24/2019,9.5,3.8
77,"OMH-HealthEdge Holdings, LLC","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured loan ($26.5 par due 10/2025),6.50% (Libor + 5.50%/Q),10/24/2019,26.5,26.5
78,"OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),0,11/21/2013,1.0,0.6
79,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (15),Veterinary hospital operator,Second lien senior secured loan ($76.3 par due 3/2028),8.75% (Libor + 7.75%/M),3/31/2020,76.3,76.3
80,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (15),Veterinary hospital operator,"Class R common units (6,004,768 units)",0,3/31/2020,6.0,7.2
81,"Performance Health Supply, Inc.",Distributor of rehabilitation supplies and equipment,Second lien senior secured loan ($81.8 par due 8/2023),11.50% PIK (Libor + 10.50%/Q),9/2/2015,81.0,69.5
82,"PetVet Care Centers, LLC",Veterinary hospital operator,First lien senior secured loan ($26.1 par due 2/2025),5.25% (Libor + 4.25%/M),10/31/2019,25.6,26.1
83,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($47.2 par due 5/2021),"9.75% (Libor + 0.25% Cash, 8.50% PIK/Q)",12/18/2015,47.2,43.5
84,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (15),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured revolving loan ($21.0 par due 7/2023),3.52% (Libor + 3.25%/Q),7/10/2018,21.0,20.4
85,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (15),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured loan ($10.8 par due 7/2025),3.72% (Libor + 3.50%/Q),7/10/2018,10.7,10.4
86,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (15),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,Second lien senior secured loan ($67.1 par due 7/2026),7.72% (Libor + 7.50%/Q),7/10/2018,66.6,65.8
87,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (15),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,"Class A units (9,775 units)",0,7/10/2018,9.8,13.2
88,"ProVation Medical, Inc.",Provider of documentation and coding software for gastroenterology physicians,First lien senior secured loan ($12.8 par due 3/2024),7.15% (Libor + 7.00%/M),3/9/2018,12.7,12.7
89,"ProVation Medical, Inc.",Provider of documentation and coding software for gastroenterology physicians,First lien senior secured loan ($3.1 par due 3/2024),8.00% (Libor + 7.00%/M),9/15/2020,3.0,3.1
90,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",0,6/28/2012,0.0,0.0
91,"RTI Surgical, Inc. and Pioneer Surgical Technology, Inc. (15)","Manufacturer of biologic, metal and synthetic implants/devices",First lien senior secured loan ($38.2 par due 7/2026),8.25% (Libor + 6.75%/Q),7/20/2020,38.2,37.4
92,"SCSG EA Acquisition Company, Inc. (15)",Provider of outsourced clinical services to hospitals and health systems,First lien senior secured revolving loan,0,9/1/2017,0.0,0.0
93,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (15)",Outsourced anesthesia provider,First lien senior secured loan ($13.9 par due 3/2024),5.75% (Libor + 4.75%/Q),3/26/2018,13.9,11.8
94,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (15)",Outsourced anesthesia provider,"Common units (684,854 units)",0,3/26/2018,4.8,0.2
95,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (15)",Breast cancer screening provider,First lien senior secured revolving loan ($5.5 par due 8/2024),6.47% (Libor + 6.25%/Q),8/1/2018,5.5,5.3
96,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (15)",Breast cancer screening provider,First lien senior secured loan ($7.0 par due 8/2024),6.47% (Libor + 6.25%/Q),8/1/2018,7.0,6.7
97,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (15)",Breast cancer screening provider,"Series A preferred stock (44,975 shares)",10.55% PIK (Libor + 10.25%/Q),8/1/2018,58.6,58.6
98,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (15)",Breast cancer screening provider,"Series A units (7,475 units)",0,8/1/2018,7.5,0.0
99,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (15)",Breast cancer screening provider,"Series B units (747,500 units)",0,8/1/2018,0.0,3.8
100,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (15)",Franchisor of private-pay home care for the elderly,First lien senior secured loan ($15.7 par due 4/2024),6.75% (Libor + 5.75%/Q),4/2/2018,15.7,15.7
101,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (15)",Franchisor of private-pay home care for the elderly,Common units (550 units),0,4/2/2018,0.6,0.8
102,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($57.2 par due 6/2024),0,12/13/2018,52.3,44.6
103,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($32.7 par due 6/2024),0,12/13/2018,30.4,25.5
104,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products","Warrant to purchase up to 490,492 shares of common stock (expires 4/2025)",0,4/6/2020,0.0,0.0
105,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products","Warrant to purchase up to 122,548 shares of common stock (expires 7/2025)",0,7/20/2020,0.0,0.0
106,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P.","Manufacturer of consumable products in the dental, medical, cosmetic and consumer/industrial end-markets",First lien senior secured loan ($25.3 par due 11/2025),4.90% (Libor + 4.75%/M),11/15/2018,25.3,24.8
107,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P.","Manufacturer of consumable products in the dental, medical, cosmetic and consumer/industrial end-markets",First lien senior secured loan ($11.2 par due 11/2025),4.90% (Libor + 4.75%/M),11/15/2018,11.2,11.0
108,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P.","Manufacturer of consumable products in the dental, medical, cosmetic and consumer/industrial end-markets","Class A preferred units (2,149 units)",8.00% PIK,11/15/2018,2.5,2.5
109,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,Second lien senior secured loan ($71.8 par due 6/2025),8.25% (Libor + 7.25%/Q),6/16/2017,71.2,68.9
110,"United Digestive MSO Parent, LLC (15)",Gastroenterology physician group,First lien senior secured revolving loan ($5.6 par due 12/2023),5.00% (Libor + 4.00%/Q),12/14/2018,5.6,5.6
111,"United Digestive MSO Parent, LLC (15)",Gastroenterology physician group,First lien senior secured loan ($1.1 par due 12/2024),5.00% (Libor + 4.00%/Q),12/14/2018,1.1,1.1
112,"United Digestive MSO Parent, LLC (15)",Gastroenterology physician group,First lien senior secured loan ($2.4 par due 12/2024),5.00% (Libor + 4.00%/Q),12/14/2018,2.4,2.4
113,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Preferred units (7,696,613 units)",0,6/11/2015,7.7,0.0
114,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Series A common units (2,000,000 units)",0,6/11/2015,2.0,0.0
115,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Series C common units (5,288,427 units)",0,6/11/2015,0.0,0.0
116,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",Urology private practice,First lien senior secured loan ($9.7 par due 8/2024),6.00% (Libor + 5.00%/M),8/31/2018,9.6,9.7
117,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",Urology private practice,Limited partnership interests (3.64% interest),0,8/31/2018,4.8,5.2
118,WSHP FC Acquisition LLC (15),Provider of biospecimen products for pharma research,First lien senior secured revolving loan ($1.4 par due 3/2024),7.25% (Libor + 6.25%/Q),3/30/2018,1.4,1.4
119,WSHP FC Acquisition LLC (15),Provider of biospecimen products for pharma research,First lien senior secured loan ($28.0 par due 3/2024),7.25% (Libor + 6.25%/Q),3/30/2018,28.0,28.0
120,WSHP FC Acquisition LLC (15),Provider of biospecimen products for pharma research,First lien senior secured loan ($5.9 par due 3/2024),7.25% (Libor + 6.25%/Q),3/30/2018,5.9,5.9
121,WSHP FC Acquisition LLC (15),Provider of biospecimen products for pharma research,First lien senior secured loan ($4.6 par due 3/2024),7.25% (Libor + 6.25%/Q),2/11/2019,4.6,4.6
122,WSHP FC Acquisition LLC (15),Provider of biospecimen products for pharma research,First lien senior secured loan ($8.6 par due 3/2024),7.25% (Libor + 6.25%/Q),8/30/2019,8.6,8.6
123,WSHP FC Acquisition LLC (15),Provider of biospecimen products for pharma research,First lien senior secured loan ($11.0 par due 3/2024),7.25% (Libor + 6.25%/Q),10/31/2019,11.0,11.0
124,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (15)",Payment processing solution provider,First lien senior secured loan ($64.8 par due 3/2026),6.75% (Libor + 5.50%/Q),2/28/2020,64.8,64.8
125,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (15)",Payment processing solution provider,Senior subordinated loan ($23.4 par due 2/2028),12.75% PIK,2/28/2020,23.4,23.4
126,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (15)",Provider of intellectual property management lifecycle software,First lien senior secured loan ($4.9 par due 4/2026),5.50% (Euribor + 5.50%/Q),4/10/2019,4.7,4.9
127,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (15)",Provider of intellectual property management lifecycle software,"Limited partnership units (4,400,000 units)",0,6/13/2019,5.0,8.3
128,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(15)",Aircraft performance software provider,First lien senior secured loan ($12.9 par due 1/2025),6.75% (Libor + 5.25%/Q),1/3/2020,12.9,12.9
129,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(15)",Aircraft performance software provider,First lien senior secured loan ($0.8 par due 1/2025),6.75% (Libor + 5.25%/Q),1/3/2020,0.8,0.8
130,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(15)",Aircraft performance software provider,"Class A membership units (9,750,000 units)",0,1/3/2020,9.8,9.9
131,"Apptio, Inc. (15)",Provider of cloud-based technology business management solutions,First lien senior secured loan ($62.2 par due 1/2025),8.25% (Libor + 7.25%/Q),1/10/2019,62.2,61.6
132,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (15)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,First lien senior secured revolving loan,0,8/20/2018,0.0,0.0
133,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (15)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,First lien senior secured loan ($40.6 par due 8/2023),8.50% (Libor + 6.75%/Q),8/20/2018,40.6,40.6
134,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (15)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,"Series A preferred stock (150,000 shares)",0,9/26/2018,1.5,2.0
135,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",0,7/23/2014,0.0,0.0
136,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (15)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($6.4 par due 7/2026),6.25% (Libor + 5.25%/Q),7/2/2019,6.4,6.4
137,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (15)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($4.5 par due 7/2026),6.25% (Libor + 5.25%/Q),10/15/2019,4.5,4.5
138,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (15)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($1.1 par due 7/2026),8.25% (Libor + 7.25%/Q),9/3/2020,1.1,1.1
139,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (15)","Provider of environmental, health and safety software to track compliance data",Preferred equity (198 shares),9.00% PIK,7/2/2019,0.2,0.2
140,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (15)","Provider of environmental, health and safety software to track compliance data","Common equity (190,143 shares)",0,7/2/2019,0.0,0.2
141,Datix Bidco Limited,Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($0.1 par due 4/2025),5.36% (Libor + 4.50%/Q),10/7/2019,0.0,0.1
142,Diligent Corporation (15),Provider of secure SaaS solutions for board and leadership teams documents,First lien senior secured loan ($33.5 par due 8/2025),7.25% (Libor + 6.25%/Q),8/4/2020,32.6,32.6
143,"Drilling Info Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,Second lien senior secured loan ($25.0 par due 7/2026),8.40% (Libor + 8.25%/M),2/11/2020,25.0,23.8
144,"Drilling Info Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,Preferred stock (29.53 shares),13.50% PIK,2/11/2020,31.2,32.2
