,Company(1),Business Description,Investment,Interest(5)(12),Acquisition  Date,Amortized  Cost,Fair Value
35,Napa Management Services Corporation,0,"Senior secured loan ($7,801 par due 4/2016)",8.50% (Libor + 7.00%/Q),4/15/2011,7801.0,7801
36,Napa Management Services Corporation,0,"Common units (5,000 units)",0,0,5000.0,5000
37,"NS Merger Sub. Inc. and NS Holdings, Inc.",Healthcare technology provider,Senior subordinated loan ($579 par due 6/2017),13.50%,6/21/2010,579.0,579
38,"NS Merger Sub. Inc. and NS Holdings, Inc.",0,"Senior subordinated loan ($50,000 par due 6/2017)",13.50%,6/21/2010,50000.0,50000
39,"NS Merger Sub. Inc. and NS Holdings, Inc.",0,"Common stock (2,500,000 shares)",0,6/21/2010,2500.0,2388
40,OnCURE Medical Corp.,Radiation oncology care provider,"Common stock (857,143 shares)",0,8/18/2006,3000.0,3038
41,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",Healthcare technology provider,"Senior secured loan ($10,202 par due 5/2014)",8.25% (Libor + 7.00%/M),5/9/2008,10202.0,10202
42,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,"Senior secured loan ($9,417 par due 5/2014)",8.25% (Libor + 7.00%/M),5/9/2008,9417.0,9417
43,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,"Series A preferred stock (1,594,457 shares)",0,7/30/2008,11156.0,8550
44,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,"Common stock (16,106 shares)",0,7/30/2008,100.0,0
45,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Senior secured loan ($9,131 par due 11/2015)",6.75% (Libor + 5.00%/Q),11/3/2010,9106.0,9131
46,"PG Mergersub, Inc. and PGA Holdings, Inc.",0,"Senior subordinated loan ($4,000 par due 3/2016)",12.50%,3/12/2008,3954.0,4000
47,"PG Mergersub, Inc. and PGA Holdings, Inc.",0,Preferred stock (333 shares),0,3/12/2008,125.0,14
48,"PG Mergersub, Inc. and PGA Holdings, Inc.",0,"Common stock (16,667 shares)",0,3/12/2008,167.0,705
49,"PRA Holdings, Inc.",Drug testing services,"Senior secured loan ($11,330 par due 12/2014)",4.35% (Libor + 4.00%/Q),12/14/2007,11011.0,11103
50,"PRA Holdings, Inc.",0,"Senior secured loan ($12,000 par due 12/2014)",4.35% (Libor + 4.00%/Q),12/14/2007,11657.0,11760
51,"Reed Group, Ltd.",Medical disability management services provider,"Senior secured revolving loan ($1,250 par due 12/2013)",0,4/1/2010,1097.0,1062
52,"Reed Group, Ltd.",0,"Senior secured loan ($10,755 par due 12/2013)",0,4/1/2010,9129.0,9142
53,"Reed Group, Ltd.",0,"Senior secured loan ($20,576 par due 12/2013)",0,4/1/2010,15918.0,4242
54,"Reed Group, Ltd.",0,Equity interests,0,4/1/2010,203.0,0
55,"Soteria Imaging Services, LLC (6)",Outpatient medical imaging provider,"Junior secured loan ($1,275 par due 11/2010)",14.50%,4/1/2010,1134.0,914
56,"Soteria Imaging Services, LLC (6)",0,"Junior secured loan ($1,822 par due 11/2010)",12.50%,4/1/2010,1640.0,1305
57,"Soteria Imaging Services, LLC (6)",0,"Preferred member units (1,823,179 units)",0,4/1/2010,0.0,0
58,"Sunquest Information Systems, Inc.",Laboratory software solutions provider,"Junior secured loan ($75,000 par due 6/2017)",9.75% (Libor + 8.50%/Q),12/16/2010,75000.0,74250
59,"Sunquest Information Systems, Inc.",0,"Junior secured loan ($50,000 par due 6/2017)",9.75% (Libor + 8.50%/Q),12/16/2010,50000.0,49500
60,"U.S. Renal Care, Inc.",Dialysis provider,"Senior secured loan ($7,462 par due 12/2016)",5.50% (Libor + 4.00%/Q),6/9/2011,7425.0,7164
61,"U.S. Renal Care, Inc.",0,"Senior subordinated loan ($50,314 par due 6/2017)","11.25% Cash, 2.00% PIK",5/24/2010,50314.0,50314
62,"Vantage Oncology, Inc.",Radiation oncology care provider,"Common stock (62,157 shares)",0,2/3/2011,4670.0,6005
63,Aviation Properties Corporation (7),Aviation services,Common stock (100 shares),0,4/1/2010,0.0,0
64,BenefitMall Holdings Inc. (7),Employee benefits broker services company,"Senior subordinated loan ($40,326 par due 6/2014)",18.00%,4/1/2010,40326.0,40326
65,BenefitMall Holdings Inc. (7),0,"Common stock (39,274,290 shares)",0,4/1/2010,53510.0,53871
66,BenefitMall Holdings Inc. (7),0,Warrants,0,4/1/2010,0.0,0
67,CitiPostal Inc. (7),Document storage and management services,"Senior secured revolving loan ($1,950 par due 12/2013)",6.50% (Libor + 4.50%/Q),4/1/2010,1950.0,1950
68,CitiPostal Inc. (7),0,"Senior secured revolving loan ($1,250 par due 12/2013)",6.75% (Base Rate + 3.25%/Q),4/1/2010,1250.0,1250
69,CitiPostal Inc. (7),0,Senior secured loan ($492 par due 12/2013),"8.50% Cash, 5.50% PIK",4/1/2010,492.0,492
70,CitiPostal Inc. (7),0,"Senior secured loan ($50,437 par due 12/2013)","8.50% Cash, 5.50% PIK",4/1/2010,50437.0,50437
71,CitiPostal Inc. (7),0,"Senior subordinated loan ($14,108 par due 12/2015)",0,4/1/2010,13038.0,2880
72,CitiPostal Inc. (7),0,"Common stock (37,024 shares)",0,4/1/2010,0.0,0
73,"Cook Inlet Alternative Risk, LLC",Risk management services,"Senior subordinated note ($4,000 par due 9/2015)",9.00%,9/30/2011,4000.0,4000
74,"Cook Inlet Alternative Risk, LLC",0,Member interest (3.17%),0,4/1/2010,0.0,0
75,"Cornerstone Records Management, LLC",Physical records storage and management service provider,"Senior secured loan ($16,277 par due 8/2016)",8.50% (Libor + 7.00%/M),8/12/2011,16277.0,15951
76,"Coverall North America, Inc. (7)",Commercial janitorial service provider,"Subordinated notes ($9,386 par due 2/2016)","10.00% Cash, 2.00% PIK",2/22/2011,9386.0,9386
77,"Diversified Collections Services, Inc.",Collections services,"Senior secured loan ($34,000 par due 9/2012)",13.75% (Libor + 11.75%/M),6/25/2010,34000.0,34000
78,"Diversified Collections Services, Inc.",0,"Senior secured loan ($5,719 par due 3/2012)",7.50% (Libor + 5.50%/M),6/25/2010,5719.0,5719
79,"Diversified Collections Services, Inc.",0,"Senior secured loan ($2,000 par due 9/2012)",13.75% (Libor + 11.75%/M),6/25/2010,2000.0,2000
80,"Diversified Collections Services, Inc.",0,"Preferred stock (14,927 shares)",0,5/18/2006,169.0,304
81,"Diversified Collections Services, Inc.",0,"Common stock (478,816 shares)",0,4/1/2010,1478.0,3091
82,"Diversified Collections Services, Inc.",0,"Common stock (114,004 shares)",0,2/5/2005,295.0,1171
83,"Impact Innovations Group, LLC",IT consulting and outsourcing services,Member interest (50.00% interest),0,4/1/2010,0.0,200
84,"Interactive Technology Solutions, LLC",IT services provider,"Senior secured loan ($7,391 par due 6/2015)",8.75% (Base Rate + 5.50%/Q),10/21/2010,7391.0,7391
85,"Interactive Technology Solutions, LLC",0,"Senior secured loan ($8,281 par due 6/2015)",8.75% (Base Rate + 5.50%/Q),10/21/2010,8281.0,8281
86,"Investor Group Services, LLC (6)",Business consulting for private equity and corporate clients,Senior secured revolving loan ($500 par due 6/2013),5.75% (Libor + 5.50%/M),6/22/2006,500.0,500
87,"Investor Group Services, LLC (6)",0,Limited liability company membership interest (10.00% interest),0,6/22/2006,0.0,649
88,Microstar Logistics LLC,Keg management solutions provider,"Junior secured loan ($85,000 par due 8/2016)",10.00% (Libor + 9.00%/Q),8/5/2011,85000.0,85000
89,"Multi-Ad Services, Inc. (6)",Marketing services and software provider,"Preferred units (1,725,280 units)",0,4/1/2010,788.0,1379
90,"Multi-Ad Services, Inc. (6)",0,"Common units (1,725,280 units)",0,4/1/2010,0.0,0
91,"MVL Group, Inc. (7)",Marketing research provider,"Senior secured loan ($22,772 par due 7/2012)",12.00%,4/1/2010,22772.0,22772
92,"MVL Group, Inc. (7)",0,"Senior subordinated loan ($35,619 par due 7/2012)","12.00% Cash, 2.50% PIK",4/1/2010,35050.0,35619
93,"MVL Group, Inc. (7)",0,Junior subordinated loan ($144 par due 7/2012),10.00%,4/1/2010,0.0,12
94,"MVL Group, Inc. (7)",0,"Common stock (560,716 shares)",0,4/1/2010,0.0,0
95,Pillar Processing LLC and PHL Holding Co. (6),Mortgage services,"Senior secured loan ($1,875 par due 5/2014)",14.50%,7/31/2008,1875.0,1875
96,Pillar Processing LLC and PHL Holding Co. (6),0,"Senior secured loan ($5,500 par due 5/2014)",14.50%,7/31/2008,5500.0,5500
97,Pillar Processing LLC and PHL Holding Co. (6),0,"Senior secured loan ($7,253 par due 11/2013)",5.73% (Libor + 5.50%/M),11/20/2007,7253.0,7253
98,Pillar Processing LLC and PHL Holding Co. (6),0,"Senior secured loan ($4,527 par due 11/2013)",5.73% (Libor + 5.50%/M),11/20/2007,4527.0,4527
99,Pillar Processing LLC and PHL Holding Co. (6),0,Common stock (85 shares),0,0,3768.0,2729
100,"Prommis Solutions, LLC, E-Default Services, LLC, Statewide Tax and Title Services, LLC & Statewide Publishing Services, LLC",Bankruptcy and foreclosure processing services,"Senior subordinated loan ($17,126 par due 2/2014)",0,2/9/2007,16788.0,5819
101,"Prommis Solutions, LLC, E-Default Services, LLC, Statewide Tax and Title Services, LLC & Statewide Publishing Services, LLC",0,"Senior subordinated loan ($27,576 par due 2/2014)",0,2/9/2007,27032.0,9371
102,"Prommis Solutions, LLC, E-Default Services, LLC, Statewide Tax and Title Services, LLC & Statewide Publishing Services, LLC",0,"Preferred units (30,000 units)",0,4/11/2006,3000.0,0
103,"Promo Works, LLC",Marketing services,"Senior secured loan ($8,655 par due 12/2013)",0,4/1/2010,4463.0,3404
104,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",0,5/29/2007,250.0,192
105,Summit Business Media Parent Holding Company LLC,Business media consulting services,Limited liability company membership interest (45.98% interest),0,5/20/2011,0.0,754
106,"Tradesmen International, Inc.",Construction labor support,"Junior secured loan ($14,014 par due 5/2014)","13.00% Cash, 1.00% PIK",4/1/2010,10718.0,14014
107,"Tradesmen International, Inc.",0,"Warrants to purchase up to 771,036 shares",0,4/1/2010,0.0,3411
108,"Tripwire, Inc.",IT security software provider,"Senior secured loan ($30,000 par due 5/2018)",10.50% (Libor + 9.25%/Q),5/23/2011,30000.0,30000
109,"Tripwire, Inc.",0,"Senior secured loan ($50,000 par due 5/2018)",10.50% (Libor + 9.25%/Q),5/23/2011,50000.0,50000
110,"Tripwire, Inc.",0,"Class A common stock (2,970 shares)",0,5/23/2011,2970.0,2976
111,"Tripwire, Inc.",0,"Class B common stock (2,655,638 shares)",0,5/23/2011,30.0,30
112,"Venturehouse-Cibernet Investors, LLC",Financial settlement services for intercarrier wireless roaming,Equity interest,0,4/1/2010,0.0,0
113,"VSS-Tranzact Holdings, LLC (6)",Management consulting services,Common membership interest (8.51% interest),0,10/26/2007,10204.0,2108
114,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","Senior secured revolving loan ($1,000 par due 3/2016)",9.50% (Libor + 8.50%/Q),3/18/2011,1000.0,1000
115,"American Academy Holdings, LLC",0,"Senior secured loan ($31,466 par due 3/2016)",9.50% (Libor + 8.50%/Q),3/18/2011,31466.0,31466
116,"American Academy Holdings, LLC",0,"Senior secured loan ($49,012 par due 3/2016)",9.50% (Libor + 8.50%/Q),3/18/2011,49012.0,49012
117,Campus Management Corp. and Campus Management Acquisition Corp. (6),Education software developer,"Preferred stock (485,159 shares)",0,2/8/2008,10520.0,13231
118,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Senior secured loan ($18,571 par due 12/2014)",6.25% (Libor + 5.25%/Q),12/10/2010,18571.0,18571
119,"Community Education Centers, Inc.",0,"Junior secured loan ($31,506 par due 12/2015)","15.25% (Libor + 11.00% Cash, 4.00% PIK /Q)",12/10/2010,31506.0,31191
120,"Community Education Centers, Inc.",0,"Junior secured loan ($9,485 par due 12/2015)","15.29% (Libor + 11.00% Cash, 4.00% PIK /Q)",12/10/2010,9485.0,9391
121,"Community Education Centers, Inc.",0,"Warrants to purchase up to 578,427 shares",0,12/10/2010,0.0,389
122,eInstruction Corporation,"Developer, manufacturer and retailer of educational products","Junior secured loan ($17,000 par due 7/2014)",7.74% (Libor + 7.50%/M),4/1/2010,15002.0,12580
123,eInstruction Corporation,0,"Senior subordinated loan ($26,209 par due 1/2015)",0,4/1/2010,24151.0,13425
124,eInstruction Corporation,0,"Common stock (2,406 shares)",0,4/1/2010,926.0,0
125,"ELC Acquisition Corp., ELC Holdings Corporation, and Excelligence Learning Corporation (6)","Developer, manufacturer and retailer of educational products","Preferred stock (99,492 shares)",12.00% PIK,8/1/2011,10149.0,10149
126,"ELC Acquisition Corp., ELC Holdings Corporation, and Excelligence Learning Corporation (6)",0,"Common stock (50,800 shares)",0,8/1/2011,51.0,51
127,"Infilaw Holding, LLC",Law school operator,"Senior secured loan ($30,000 par due 8/2016)",10.75% (Base Rate + 7.50%/Q),8/25/2011,30000.0,30000
128,"Infilaw Holding, LLC",0,"Series A preferred units (131,000 units)",10.75% (Base Rate + 7.50%/Q),8/25/2011,131000.0,128380
129,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",Private school operator,"Series B preferred stock (1,750,000 shares)",0,8/5/2010,5000.0,5926
130,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,"Series C preferred stock (2,512,586 shares)",0,6/7/2010,689.0,0
131,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,Common stock (20 shares),0,6/7/2010,0.0,0
132,"JTC Education Holdings, Inc.",Postsecondary school operator,"Senior secured loan ($20,302 par due 12/2014)",12.50% (Libor + 9.50%/M),12/31/2009,20302.0,20302
133,"JTC Education Holdings, Inc.",0,"Senior secured loan ($9,833 par due 12/2014)",12.50% (Libor + 9.50%/M),12/31/2009,9833.0,9833
134,"R3 Education, Inc. and EIC Acquisitions Corp. (8)",Medical school operator,"Senior secured loan ($9,261 par due 4/2013)",9.00% (Libor + 6.00%/Q),9/21/2007,9261.0,15091
135,"R3 Education, Inc. and EIC Acquisitions Corp. (8)",0,"Senior secured loan ($3,663 par due 4/2013)",9.00% (Libor + 6.00%/Q),9/21/2007,3663.0,5969
136,"R3 Education, Inc. and EIC Acquisitions Corp. (8)",0,"Senior secured loan ($4,331 par due 4/2013)",9.00% (Libor + 6.00%/Q),5/24/2007,4331.0,7058
137,"R3 Education, Inc. and EIC Acquisitions Corp. (8)",0,"Senior secured loan ($6,304 par due 4/2013)",13.00% PIK,12/8/2009,3542.0,10273
138,"R3 Education, Inc. and EIC Acquisitions Corp. (8)",0,"Preferred stock (8,800 shares)",0,7/30/2008,2200.0,1100
139,"R3 Education, Inc. and EIC Acquisitions Corp. (8)",0,Common membership interest (26.27% interest),0,9/21/2007,15800.0,18433
140,"R3 Education, Inc. and EIC Acquisitions Corp. (8)",0,"Warrants to purchase up to 27,890 shares",0,12/8/2009,0.0,0
141,"ADF Capital, Inc. & ADF Restaurant Group, LLC",Restaurant owner and operator,"Senior secured revolving loan ($2,010 par due 11/2013)",6.50% (Libor + 3.50%/Q),11/27/2006,2010.0,2010
142,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,Senior secured revolving loan ($608 par due 11/2013),6.50% (Base Rate + 2.50%/Q),11/27/2006,608.0,608
143,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,Senior secured loan ($66 par due 11/2013),6.50% (Base Rate + 2.50%/Q),11/27/2006,66.0,66
144,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,"Senior secured loan ($7,449 par due 11/2013)",6.50% (Libor + 3.50%/Q),11/27/2006,7449.0,7449
145,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,"Senior secured loan ($11,315 par due 11/2014)",12.50% (Libor + 9.50%/Q),11/27/2006,11318.0,11315
146,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,"Senior secured loan ($9,434 par due 11/2014)",12.50% (Libor + 9.50%/Q),11/27/2006,9434.0,9434
147,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,"Promissory note ($14,897 par due 11/2016)",0,6/1/2006,14886.0,8562
148,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,Warrants to purchase up to 0.61 shares,0,6/1/2006,0.0,0
149,Fulton Holdings Corp.,Airport restaurant operator,"Senior secured loan ($40,000 par due 5/2016)",12.50%,5/28/2010,40000.0,40000
150,Fulton Holdings Corp.,0,"Common stock (19,672 shares)",0,5/28/2010,1967.0,1776
151,"Huddle House, Inc. (7)",Restaurant owner and operator,"Senior subordinated loan ($20,765 par due 12/2015)","12.00% Cash, 3.00% PIK",4/1/2010,20481.0,19772
152,"Huddle House, Inc. (7)",0,"Common stock (358,279 shares)",0,4/1/2010,0.0,0
153,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"Senior secured revolving loan ($3,300 par due 9/2014)",10.75% (Base Rate + 7.50%/M),4/1/2010,3300.0,3300
154,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Senior secured loan ($34,027 par due 9/2014)",10.00% (Libor + 8.50%/Q),4/1/2010,34027.0,34027
155,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Junior secured loan ($37,552 par due 9/2014)",14.00%,4/1/2010,25976.0,28163
156,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Preferred units (10,000 units)",0,10/28/2010,0.0,0
157,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Class A common units (25,001 units)",0,4/1/2010,0.0,0
158,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Class B common units (1,122,452 units)",0,4/1/2010,0.0,0
159,"OTG Management, Inc.",Airport restaurant operator,Senior secured revolving loan ($937 par due 8/2016),8.50% (Libor + 7.00%/Q),8/9/2011,937.0,937
160,"OTG Management, Inc.",0,"Senior secured loan ($19,687 par due 8/2016)",8.50% (Libor + 7.00%/M),8/9/2011,19687.0,19687
161,"OTG Management, Inc.",0,"Junior secured loan ($34,285 par due 8/2016)",14.50% (Libor + 13.00%/Q),8/9/2011,34285.0,34285
162,"OTG Management, Inc.",0,"Common units (3,000,000 units)",0,1/5/2011,3000.0,3175
163,"OTG Management, Inc.",0,"Warrants to purchase up to 100,866 shares of common stock",0,6/19/2008,100.0,5527
164,"PMI Holdings, Inc.",Restaurant owner and operator,"Senior secured loan ($9,022 par due 5/2015)",10.00% (Libor + 8.00%/M),5/5/2010,9022.0,9022
165,"PMI Holdings, Inc.",0,Senior secured loan ($36 par due 5/2015),10.25% (Base Rate + 7.00%/M),5/5/2010,36.0,36
166,"PMI Holdings, Inc.",0,"Senior secured loan ($9,022 par due 5/2015)",10.00% (Libor + 8.00%/M),5/5/2010,9022.0,9022
167,"PMI Holdings, Inc.",0,Senior secured loan ($36 par due 5/2015),10.25% (Base Rate + 7.00%/M),5/5/2010,36.0,36
168,S.B. Restaurant Company,Restaurant owner and operator,"Senior secured loan ($34,712 par due 7/2012)","13.00% (Libor + 9.00% Cash, 2.00% PIK /Q)",4/1/2010,29970.0,34712
169,S.B. Restaurant Company,0,"Preferred stock (46,690 shares)",0,4/1/2010,0.0,117
170,S.B. Restaurant Company,0,"Warrants to purchase up to 257,429 shares of common stock",0,4/1/2010,0.0,0
171,Vistar Corporation and Wellspring Distribution Corp.,Food service distributor,"Junior secured loan ($80,250 par due 5/2015)",11.00%,5/23/2008,78800.0,80250
172,Vistar Corporation and Wellspring Distribution Corp.,0,"Junior secured loan ($30,000 par due 5/2015)",11.00%,5/23/2008,30000.0,30000
173,Vistar Corporation and Wellspring Distribution Corp.,0,"Class A non-voting common stock (1,366,120 shares)",0,5/3/2008,7500.0,5957
174,"AllBridge Financial, LLC (7)",Asset management services,Equity interests,0,4/1/2010,11395.0,12607
175,Callidus Capital Corporation (7),Asset management services,Common stock (100 shares),0,4/1/2010,6000.0,2798
176,Ciena Capital LLC (7),Real estate and small business loan servicer,"Senior secured revolving loan ($14,000 par due 12/2013)",6.00%,11/29/2010,14000.0,14000
177,Ciena Capital LLC (7),0,"Senior secured loan ($32,000 par due 12/2015)",12.00%,11/29/2010,32000.0,32000
178,Ciena Capital LLC (7),0,Equity interests,0,11/29/2010,53374.0,30400
179,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,"Senior subordinated loan ($19,500 par due 6/2015)",15.00%,4/1/2010,19500.0,19500
180,"Compass Group Diversified Holdings, LLC (10)",Middle market business manager,"Senior secured revolving loan ($16,176 par due 12/2012)",2.73% (Libor + 2.50%/M),4/1/2010,16176.0,16176
181,Financial Pacific Company,Commercial finance leasing,"Preferred stock (6,500 shares)",8.00% PIK,10/13/2010,7020.0,8028
182,Financial Pacific Company,0,"Common stock (650,000 shares)",0,10/13/2010,0.0,0
183,"Imperial Capital Group, LLC",Investment services,"Class A common units (15,420 units)",0,5/10/2007,14997.0,19944
184,"Imperial Capital Group, LLC",0,"2006 Class B common units (5,052 units)",0,5/10/2007,3.0,4
185,"Imperial Capital Group, LLC",0,2007 Class B common units (630 units),0,5/10/2007,0.0,0
186,"Ivy Hill Asset Management, L.P. (7)(9)",Asset management services,Member interest (100.00% interest),0,6/15/2009,112876.0,186823
187,"AP Global Holdings, Inc.",Safety and security equipment manufacturer,"Senior secured loan ($209,475 par due 7/2017)",7.25% (Libor + 5.75%/M),7/22/2011,209475.0,202667
188,"AP Global Holdings, Inc.",0,"Senior secured loan ($49,875 par due 7/2017)",7.25% (Libor + 5.75%/M),7/22/2011,49875.0,48254
189,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.","Provider of specialized engineering, scientific and technical services",Senior preferred stock (775 shares),8.00% PIK,1/17/2008,93.0,93
190,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.",0,"Common stock (1,885,195 shares)",0,1/17/2008,2291.0,1873
191,"Augusta Sportswear, Inc.",Manufacturer of athletic apparel,"Senior secured loan ($9,113 par due 7/2015)",8.50% (Libor + 7.50%/Q),9/3/2010,9113.0,9113
192,"Gilchrist & Soames, Inc.",Personal care manufacturer,"Senior secured loan ($21,941 par due 10/2013)",13.44%,4/1/2010,21372.0,21941
193,Insight Pharmaceuticals Corporation (6),OTC drug products manufactuer,"Junior secured loan ($25,000 par due 8/2017)",13.25% (Libor + 11.75%/Q),8/26/2011,24733.0,24000
