,Company(1),Business Description,Investment,Interest(5)(12),Acquisition  Date,Amortized  Cost,Fair Value
45,"NS Merger Sub. Inc. and NS Holdings, Inc.",Healthcare technology provider,Senior subordinated loan ($579 par due 6/2017),13.50%,6/21/2010,579.0,579
46,"NS Merger Sub. Inc. and NS Holdings, Inc.",0,"Senior subordinated loan ($50,000 par due 6/2017)",13.50%,6/21/2010,50000.0,50000
47,"NS Merger Sub. Inc. and NS Holdings, Inc.",0,"Common stock (2,500,000 shares)",0,6/21/2010,2500.0,2338
48,OnCURE Medical Corp.,Radiation oncology care provider,"Common stock (857,143 shares)",0,8/18/2006,3000.0,3312
49,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",Healthcare technology provider,"Senior secured loan ($10,562 par due 5/2014)",8.25% (Libor + 7.00%/Q),5/9/2008,10562.0,10562
50,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,"Senior secured loan ($9,750 par due 5/2014)",8.25% (Libor + 7.00%/Q),5/9/2008,9750.0,9750
51,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,"Series A preferred stock (1,594,457 shares)",0,7/30/2008,11156.0,8355
52,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,"Common stock (16,106 shares)",0,7/30/2008,100.0,0
53,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Senior secured loan ($1,095 par due 11/2015)",6.75% (Libor + 5.00%/Q),11/3/2010,1093.0,1095
54,"PG Mergersub, Inc. and PGA Holdings, Inc.",0,"Senior secured loan ($9,154 par due 11/2015)",6.75% (Libor + 5.00%/Q),11/3/2010,9128.0,9154
55,"PG Mergersub, Inc. and PGA Holdings, Inc.",0,"Senior subordinated loan ($4,000 par due 3/2016)",12.50%,3/12/2008,3952.0,4000
56,"PG Mergersub, Inc. and PGA Holdings, Inc.",0,Preferred stock (333 shares),0,3/12/2008,125.0,14
57,"PG Mergersub, Inc. and PGA Holdings, Inc.",0,"Common stock (16,667 shares)",0,3/12/2008,167.0,693
58,"Reed Group, Ltd.",Medical disability management services provider,"Senior secured revolving loan ($1,250 par due 12/2013)",0,4/1/2010,1097.0,1063
59,"Reed Group, Ltd.",0,"Senior secured loan ($10,755 par due 12/2013)",0,4/1/2010,9129.0,9142
60,"Reed Group, Ltd.",0,"Senior subordinated loan ($20,382 par due 12/2013)",0,4/1/2010,15918.0,11387
61,"Reed Group, Ltd.",0,Equity interests,0,4/1/2010,203.0,0
62,"Soteria Imaging Services, LLC (6)",Outpatient medical imaging provider,"Junior secured loan ($1,356 par due 11/2010)",14.50%,4/1/2010,1205.0,973
63,"Soteria Imaging Services, LLC (6)",0,"Junior secured loan ($1,937 par due 11/2010)",12.50%,4/1/2010,1744.0,1391
64,"Soteria Imaging Services, LLC (6)",0,"Preferred member units (1,823,179 units)",0,4/1/2010,0.0,0
65,"Sunquest Information Systems, Inc.",Laboratory software solutions provider,"Junior secured loan ($75,000 par due 6/2017)",9.75% (Libor + 8.50%/Q),12/16/2010,75000.0,75000
66,"Sunquest Information Systems, Inc.",0,"Junior secured loan ($50,000 par due 6/2017)",9.75% (Libor + 8.50%/Q),12/16/2010,50000.0,50000
67,"U.S. Renal Care, Inc.",Dialysis provider,"Senior secured loan ($7,481 par due 12/2016)",5.50% (Libor + 4.00%/Q),6/9/2011,7444.0,7481
68,"U.S. Renal Care, Inc.",0,"Senior subordinated loan ($50,058 par due 6/2017)","11.25% Cash, 2.00% PIK",5/24/2010,50058.0,50058
69,"Vantage Oncology, Inc.",Radiation oncology care provider,"Common stock (62,157 shares)",0,2/3/2011,4670.0,6218
70,Aviation Properties Corporation (7),Aviation services,Common stock (100 shares),0,4/1/2010,0.0,0
71,BenefitMall Holdings Inc. (7),Employee benefits broker services company,"Senior subordinated loan ($40,326 par due 6/2014)",18.00%,4/1/2010,40326.0,40326
72,BenefitMall Holdings Inc. (7),0,"Common stock (39,274,290 shares)",0,4/1/2010,53510.0,54430
73,BenefitMall Holdings Inc. (7),0,Warrants,0,4/1/2010,0.0,0
74,CitiPostal Inc. (7),Document storage and management services,"Senior secured revolving loan ($1,950 par due 12/2013)",6.50% (Libor + 4.50%/M),4/1/2010,1950.0,1950
75,CitiPostal Inc. (7),0,"Senior secured revolving loan ($1,250 par due 12/2013)",6.75% (Base Rate + 3.25%/M),4/1/2010,1250.0,1250
76,CitiPostal Inc. (7),0,Senior secured loan ($486 par due 12/2013),"8.50% Cash, 5.50% PIK",4/1/2010,486.0,486
77,CitiPostal Inc. (7),0,"Senior secured loan ($49,745 par due 12/2013)","8.50% Cash, 5.50% PIK",4/1/2010,49745.0,49745
78,CitiPostal Inc. (7),0,"Senior subordinated loan ($13,560 par due 12/2015)",0,4/1/2010,13038.0,5897
79,CitiPostal Inc. (7),0,"Common stock (37,024 shares)",0,4/1/2010,0.0,0
80,"Cook Inlet Alternative Risk, LLC",Risk management services,"Senior secured loan ($87,000 par due 4/2013)",8.50%,4/1/2010,51789.0,37500
81,"Cook Inlet Alternative Risk, LLC",0,Member interest (3.17%),0,4/1/2010,0.0,0
82,"Coverall North America, Inc. (7)",Commercial janitorial service provider,"Subordinated notes ($9,338 par due 2/2016)","10.00% Cash, 2.00% PIK",2/22/2011,9338.0,9338
83,"Digital Videostream, LLC",Media content supply chain services company,Senior secured loan ($250 par due 2/2012),"10.00% Cash, 1.00% PIK",4/1/2010,250.0,250
84,"Digital Videostream, LLC",0,Senior secured loan ($10 par due 2/2012),"10.00% Cash, 1.00% PIK",4/1/2010,10.0,10
85,"Digital Videostream, LLC",0,"Senior secured loan ($3,950 par due 2/2012)","10.00% Cash, 1.00% PIK",4/1/2010,3939.0,3950
86,"Digital Videostream, LLC",0,"Convertible subordinated loan ($5,818 par due 2/2016)",10.00% PIK,4/1/2010,6258.0,5818
87,"Diversified Collections Services, Inc.",Collections services,"Senior secured loan ($6,175 par due 3/2012)",7.50% (Libor + 5.50%/Q),6/25/2010,6175.0,6175
88,"Diversified Collections Services, Inc.",0,"Senior secured loan ($34,000 par due 9/2012)",13.75% (Libor + 11.75%/Q),6/25/2010,34000.0,34000
89,"Diversified Collections Services, Inc.",0,"Senior secured loan ($2,000 par due 9/2012)",13.75% (Libor + 11.75%/Q),6/25/2010,2000.0,2000
90,"Diversified Collections Services, Inc.",0,"Preferred stock (14,927 shares)",0,5/18/2006,169.0,299
91,"Diversified Collections Services, Inc.",0,"Common stock (478,816 shares)",0,4/1/2010,1478.0,1980
92,"Diversified Collections Services, Inc.",0,"Common stock (114,004 shares)",0,2/5/2005,295.0,555
93,"Diversified Mercury Communications, LLC",Business media consulting services,"Senior secured loan ($1,407 par due 3/2013)",10.00% (Base Rate + 6.50%/Q),4/1/2010,1305.0,1407
94,"Impact Innovations Group, LLC",IT consulting and outsourcing services,Member interest (50.00% interest),0,4/1/2010,0.0,200
95,"Interactive Technology Solutions, LLC",IT services provider,"Senior secured loan ($7,451 par due 6/2015)",9.50% (Base Rate + 5.50%/Q),10/21/2010,7451.0,7451
96,"Interactive Technology Solutions, LLC",0,"Senior secured loan ($8,348 par due 6/2015)",9.50% (Base Rate + 5.50%/Q),10/21/2010,8348.0,8348
97,"Investor Group Services, LLC (6)",Business consulting for private equity and corporate clients,Limited liability company membership interest (10.00% interest),0,6/22/2006,0.0,594
98,"Multi-Ad Services, Inc. (6)",Marketing services and software provider,"Preferred units (1,725,280 units)",0,4/1/2010,788.0,1827
99,"Multi-Ad Services, Inc. (6)",0,"Common units (1,725,280 units)",0,4/1/2010,0.0,0
100,"MVL Group, Inc. (7)",Marketing research provider,"Senior secured loan ($22,772 par due 7/2012)",12.00%,4/1/2010,22772.0,22772
101,"MVL Group, Inc. (7)",0,"Senior subordinated loan ($35,395 par due 7/2012)","12.00% Cash, 2.50% PIK",4/1/2010,34656.0,35395
102,"MVL Group, Inc. (7)",0,Junior subordinated loan ($144 par due 7/2012),10.00%,4/1/2010,0.0,144
103,"MVL Group, Inc. (7)",0,"Common stock (560,716 shares)",0,4/1/2010,0.0,1225
104,Pillar Processing LLC and PHL Holding Co. (6),Mortgage services,"Senior secured loan ($1,875 par due 5/2014)",14.50%,7/31/2008,1875.0,1875
105,Pillar Processing LLC and PHL Holding Co. (6),0,"Senior secured loan ($5,500 par due 5/2014)",14.50%,7/31/2008,5500.0,5500
106,Pillar Processing LLC and PHL Holding Co. (6),0,"Senior secured loan ($9,540 par due 11/2013)",5.75% (Libor + 5.50%/Q),11/20/2007,9540.0,9540
107,Pillar Processing LLC and PHL Holding Co. (6),0,"Senior secured loan ($5,955 par due 11/2013)",5.75% (Libor + 5.50%/Q),11/20/2007,5955.0,5955
108,Pillar Processing LLC and PHL Holding Co. (6),0,Common stock (85 shares),0,11/20/2007,3768.0,3814
109,"Primis Marketing Group, Inc. and Primis Holdings, LLC (6)",Database marketing services,"Senior subordinated loan ($11,223 par due 2/2013)",0,8/24/2006,10222.0,102
110,"Primis Marketing Group, Inc. and Primis Holdings, LLC (6)",0,"Preferred units (4,000 units)",0,8/24/2006,3600.0,0
111,"Primis Marketing Group, Inc. and Primis Holdings, LLC (6)",0,"Common units (4,000,000 units)",0,8/24/2006,400.0,0
112,"Prommis Solutions, LLC, E-Default Services, LLC, Statewide Tax and Title Services, LLC & Statewide Publishing Services, LLC",Bankruptcy and foreclosure processing services,"Senior subordinated loan ($17,041 par due 2/2014)",0,2/9/2007,16788.0,9798
113,"Prommis Solutions, LLC, E-Default Services, LLC, Statewide Tax and Title Services, LLC & Statewide Publishing Services, LLC",0,"Senior subordinated loan ($27,439 par due 2/2014)",0,2/9/2007,27032.0,15777
114,"Prommis Solutions, LLC, E-Default Services, LLC, Statewide Tax and Title Services, LLC & Statewide Publishing Services, LLC",0,"Preferred units (30,000 units)",0,4/11/2006,3000.0,0
115,"Promo Works, LLC",Marketing services,"Senior secured loan ($8,655 par due 12/2013)",0,4/1/2010,4706.0,3419
116,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",0,5/29/2007,250.0,263
117,Summit Business Media Parent Holding Company LLC,Business media consulting services,Limited liability company membership interest (45.98% interest),0,5/20/2011,0.0,563
118,"Tradesmen International, Inc.",Construction labor support,"Junior secured loan ($14,000 par due 5/2014)",14.00%,4/1/2010,10496.0,14000
119,"Tradesmen International, Inc.",0,"Warrants to purchase up to 771,036 shares",0,4/1/2010,0.0,3448
120,"Tripwire, Inc.",IT security software provider,"Senior secured loan ($30,000 par due 5/2018)",10.50% (Libor + 9.25%/Q),5/23/2011,30000.0,30000
121,"Tripwire, Inc.",0,"Senior secured loan ($50,000 par due 5/2018)",10.50% (Libor + 9.25%/Q),5/23/2011,50000.0,50000
122,"Tripwire, Inc.",0,"Class A common stock (2,970 shares)",0,5/23/2011,2970.0,2970
123,"Tripwire, Inc.",0,"Class B common stock (2,655,638 shares)",0,5/23/2011,30.0,30
124,"Venturehouse-Cibernet Investors, LLC",Financial settlement services for intercarrier wireless roaming,Equity interest,0,4/1/2010,0.0,0
125,"VSS-Tranzact Holdings, LLC (6)",Management consulting services,Common membership interest (8.51% interest),0,10/26/2007,10204.0,1991
126,"Anthony, Inc.",Manufacturer of refrigeration glass doors and related products,"Senior secured revolving loan ($3,000 par due 6/2017)",5.13% (Libor + 4.00%/M),6/15/2011,3000.0,3000
127,"Anthony, Inc.",0,"Senior secured revolving loan ($3,400 par due 6/2017)",6.25% (Base Rate + 3.00%/Q),6/15/2011,3400.0,3400
128,"Anthony, Inc.",0,"Senior secured loan ($245,000 par due 6/2017)",8.25% (Base Rate + 5.00%/Q),6/15/2011,245000.0,245000
129,"Component Hardware Group, Inc.",Commercial equipment manufacturer,"Junior secured loan ($3,060 par due 12/2014)","7.00% Cash, 3.00% PIK",8/4/2010,3060.0,3060
130,"Component Hardware Group, Inc.",0,"Senior subordinated loan ($10,333 par due 12/2014)","7.50% Cash, 5.00% PIK",4/1/2010,6322.0,10333
131,"Component Hardware Group, Inc.",0,"Warrants to purchase up to 1,462,500 shares of common stock",0,8/4/2010,0.0,2360
132,"Emerald Performance Materials, LLC",Polymers and performance materials manufacturer,Senior secured loan ($716 par due 11/2013),8.25% (Libor + 4.25%/M),5/22/2006,717.0,717
133,"Emerald Performance Materials, LLC",0,Senior secured loan ($35 par due 11/2013),8.50% (Base Rate + 1.75%/Q),5/22/2006,35.0,35
134,"Emerald Performance Materials, LLC",0,"Senior secured loan ($7,840 par due 11/2013)",8.25% (Libor + 4.25%/M),5/22/2006,7840.0,7840
135,"Emerald Performance Materials, LLC",0,Senior secured loan ($387 par due 11/2013),8.50% (Base Rate + 1.75%/Q),5/22/2006,387.0,387
136,"Emerald Performance Materials, LLC",0,"Senior secured loan ($6,639 par due 11/2013)",10.00% (Libor + 6.00%/M),6/29/2011,6639.0,6639
137,"Emerald Performance Materials, LLC",0,"Senior secured loan ($9,967 par due 11/2013)",10.25% (Base Rate + 3.50%/Q),6/29/2011,9967.0,9967
138,"Emerald Performance Materials, LLC",0,Senior secured loan ($610 par due 11/2013),10.00% (Libor + 6.00%/M),6/29/2011,610.0,610
139,"Emerald Performance Materials, LLC",0,Senior secured loan ($915 par due 11/2013),10.25% (Base Rate + 3.50%/Q),6/29/2011,915.0,915
140,"Emerald Performance Materials, LLC",0,"Senior secured loan ($3,555 par due 11/2013)","13.00% Cash, 3.00% PIK",5/22/2006,3555.0,3555
141,"Emerald Performance Materials, LLC",0,"Senior secured loan ($5,167 par due 11/2013)","13.00% Cash, 3.00% PIK",5/22/2006,5167.0,5167
142,HOPPY Holdings Corp.,Manufacturer of automotive and recreational vehicle aftermarket products,"Senior secured loan ($15,000 par due 6/2016)",5.25% (Libor + 4.00%/Q),6/3/2011,15000.0,15000
143,"Industrial Air Tool, LP and Affiliates d/b/a Industrial Air Tool (7)",Industrial products,"Class B common units (37,125 units)",0,4/1/2010,6000.0,15312
144,"Industrial Air Tool, LP and Affiliates d/b/a Industrial Air Tool (7)",0,Member units (375 units),0,4/1/2010,7419.0,155
145,"NetShape Technologies, Inc.",Metal precision engineered components manufacturer,Senior secured revolving loan ($907 par due 2/2013),4.00% (Libor + 3.75%/M),4/1/2010,456.0,564
146,"NetShape Technologies, Inc.",0,"Common units (1,000 units)",0,1/30/2007,1000.0,0
147,"Protective Industries, Inc.",Manufacturer of plastic protection products,"Senior secured loan ($25,667 par due 5/2017)",5.75% (Libor + 4.25%/M),5/23/2011,25667.0,25667
148,"Protective Industries, Inc.",0,Senior subordinated loan ($693 par due 5/2018),15.25%,5/23/2011,693.0,693
149,"Protective Industries, Inc.",0,"Preferred equity (2,379,361 shares)",0,5/23/2011,2307.0,2307
150,Reflexite Corporation (7),Developer and manufacturer of high-visibility reflective products,"Senior subordinated loan ($3,282 par due 11/2014)",18.00% (Libor + 13.50%/Q),2/26/2008,3282.0,3282
151,Reflexite Corporation (7),0,"Senior subordinated loan ($5,999 par due 11/2014)",18.00% (Libor + 13.50%/Q),2/26/2008,5999.0,5999
152,Reflexite Corporation (7),0,"Common stock (1,821,860 shares)",0,3/28/2006,27435.0,64826
153,"UL Holding Co., LLC",Petroleum product manufacturer,"Junior secured loan ($2,000 par due 12/2012)",14.00%,6/17/2011,2000.0,2000
154,"UL Holding Co., LLC",0,"Junior secured loan ($2,000 par due 12/2012)",9.12% (Libor + 8.88%/Q),6/17/2011,2000.0,2000
155,"UL Holding Co., LLC",0,"Junior secured loan ($5,000 par due 12/2012)",15.00%,8/13/2010,5000.0,5000
156,"UL Holding Co., LLC",0,"Junior secured loan ($2,098 par due 12/2012)",9.15% (Libor + 8.88%/Q),12/21/2007,2098.0,2098
157,"UL Holding Co., LLC",0,Junior secured loan ($835 par due 12/2012),9.15% (Libor + 8.88%/Q),12/21/2007,835.0,835
158,"UL Holding Co., LLC",0,"Junior secured loan ($2,109 par due 12/2012)",14.00%,12/21/2007,2109.0,2109
159,"UL Holding Co., LLC",0,Junior secured loan ($840 par due 12/2012),14.00%,12/21/2007,840.0,840
160,"UL Holding Co., LLC",0,Junior secured loan ($983 par due 12/2012),14.00%,12/21/2007,983.0,983
161,"UL Holding Co., LLC",0,"Junior secured loan ($10,755 par due 12/2012)",9.14% (Libor + 8.88%/Q ),12/21/2007,10755.0,10755
162,"UL Holding Co., LLC",0,"Junior secured loan ($2,948 par due 12/2012)",14.00%,12/21/2007,2948.0,2948
163,"UL Holding Co., LLC",0,"Class A common units (8,982 units)",0,6/17/2011,90.0,47
164,"UL Holding Co., LLC",0,"Class B-4 common units (50,000 units)",0,4/25/2008,500.0,264
165,"UL Holding Co., LLC",0,"Class B-5 common units (499,000 units)",0,6/17/2011,4990.0,2636
166,"UL Holding Co., LLC",0,"Class C common units (549,491 units)",0,4/25/2008,0.0,2903
167,"ADF Capital, Inc. & ADF Restaurant Group, LLC",Restaurant owner and operator,"Senior secured revolving loan ($2,010 par due 11/2013)",6.50% (Libor + 3.50%/Q),11/27/2006,2010.0,2010
168,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,Senior secured revolving loan ($108 par due 11/2013),6.50% (Base Rate + 2.50%/Q),11/27/2006,108.0,108
169,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,"Senior secured loan ($13,692 par due 11/2013)",6.50% (Libor + 3.50%/Q),11/27/2006,13692.0,13692
170,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,Senior secured loan ($85 par due 11/2013),6.50% (Base Rate + 2.50%/Q),11/27/2006,85.0,85
171,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,"Senior secured loan ($11,353 par due 11/2014)",12.50% (Libor + 9.50%/Q),11/27/2006,11356.0,11353
172,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,"Senior secured loan ($9,466 par due 11/2014)",12.50% (Libor + 9.50%/Q),11/27/2006,9466.0,9466
173,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,"Promissory note ($14,897 par due 11/2016)",0,6/1/2006,14886.0,12560
174,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,Warrants to purchase up to 0.61 shares,0,6/1/2006,0.0,0
175,Fulton Holdings Corp.,Airport restaurant operator,"Senior secured loan ($40,000 par due 5/2016)",12.50%,5/28/2010,40000.0,40000
176,Fulton Holdings Corp.,0,"Common stock (19,672 shares)",0,5/28/2010,1967.0,2062
177,"Huddle House, Inc. (7)",Restaurant owner and operator,"Senior subordinated loan ($20,607 par due 12/2015)","12.00% Cash, 3.00% PIK",4/1/2010,20323.0,18077
178,"Huddle House, Inc. (7)",0,"Common stock (358,279 shares)",0,4/1/2010,0.0,0
179,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"Senior secured revolving loan ($3,300 par due 9/2014)",10.75% (Base Rate + 7.50%/M),4/1/2010,3300.0,3300
180,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Senior secured loan ($34,137 par due 9/2014)",10.00% (Libor + 8.50%/Q),4/1/2010,34137.0,34137
181,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Junior secured loan ($37,552 par due 9/2014)",14.00%,4/1/2010,25674.0,31529
182,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Preferred units (10,000 units)",0,10/28/2010,0.0,0
183,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Class A common units (25,001 units)",0,4/1/2010,0.0,0
184,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Class B common units (1,122,452 units)",0,4/1/2010,0.0,0
185,"OTG Management, Inc.",Airport restaurant operator,"Junior secured loan ($20,274 par due 6/2013)","16.00% (Libor + 11.00% Cash, 2.00% PIK/M)",6/19/2008,20274.0,20274
186,"OTG Management, Inc.",0,"Junior secured loan ($42,882 par due 6/2013)","18.00% (Libor + 11.00% Cash, 4.00% PIK/M)",6/19/2008,42882.0,42882
187,"OTG Management, Inc.",0,"Common units (3,000,000 units)",0,1/5/2011,3000.0,3099
188,"OTG Management, Inc.",0,"Warrants to purchase up to 189,857 shares of common stock",0,6/19/2008,100.0,5395
189,"PMI Holdings, Inc.",Restaurant owner and operator,"Senior secured loan ($9,117 par due 5/2015)",10.00% (Libor + 8.00%/M),5/5/2010,9117.0,9117
190,"PMI Holdings, Inc.",0,"Senior secured loan ($9,117 par due 5/2015)",10.00% (Libor + 8.00%/M),5/5/2010,9117.0,9117
191,"PMI Holdings, Inc.",0,Senior secured loan ($9 par due 5/2015),10.25% (Base Rate + 7.00%/M),5/5/2010,9.0,9
192,"PMI Holdings, Inc.",0,Senior secured loan ($9 par due 5/2015),10.25% (Base Rate + 7.00%/M),5/5/2010,9.0,9
193,S.B. Restaurant Company,Restaurant owner and operator,"Senior secured loan ($34,884 par due 7/2012)","13.00% (Libor + 9.00% Cash, 2.00% PIK/Q)",4/1/2010,28816.0,34884
194,S.B. Restaurant Company,0,"Preferred stock (46,690 shares)",0,4/1/2010,0.0,117
195,S.B. Restaurant Company,0,"Warrants to purchase up to 257,429 shares of common stock",0,4/1/2010,0.0,0
