,Company (1),Business Description,Investment,Interest (3)(7),Acquisition Date,Amortized Cost,Fair Value
21,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured revolving loan ($1.3 par due 11/2025),7.00% (Base Rate + 3.50%/Q),11/12/2020,1.3,1.3
22,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Second lien senior secured loan ($59.9 par due 11/2028),8.50% (LIBOR + 7.75%/Q),11/12/2020,59.9,59.9
23,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,"Series A-2 preferred shares (8,963 shares)",11.25% PIK (LIBOR + 11.00%/Q),12/23/2020,10.3,10.4
24,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,"Series A-3 preferred shares (11,952 shares)",11.00% PIK,11/24/2021,12.4,13.8
25,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,"Series A preferred shares (24,898 shares)",11.21% PIK (LIBOR + 11.00%/Q),11/12/2020,29.1,28.8
26,"Community Brands ParentCo, LLC (16)",Software and payment services provider to non-profit institutions,First lien senior secured loan ($10.7 par due 02/2028),6.50% (SOFR + 5.75%/Q),2/24/2022,10.7,10.6
27,"Community Brands ParentCo, LLC (16)",Software and payment services provider to non-profit institutions,"Class A units (500,000 units)",0,12/2/2016,5.0,7.0
28,"Consilio Midco Limited and Consilio Investment Holdings, L.P. (16)",Provider of sales software for the interior design industry,First lien senior secured loan ($75.4 par due 05/2028),6.75% (LIBOR + 5.75%/Q),5/28/2021,75.4,75.4
29,"Consilio Midco Limited and Consilio Investment Holdings, L.P. (16)",Provider of sales software for the interior design industry,First lien senior secured loan ($27.0 par due 05/2028),6.25% (Euribor + 6.25%/Q),11/30/2021,27.7,27.0
30,"Consilio Midco Limited and Consilio Investment Holdings, L.P. (16)",Provider of sales software for the interior design industry,"Common units (4,799,000 units)",0,5/28/2021,4.8,6.1
31,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP (16)","Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",Second lien senior secured loan ($155.7 par due 06/2029),7.00% (LIBOR + 6.50%/M),6/3/2021,155.7,154.1
32,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP (16)","Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors","Limited partnership units (59,665,989 units)",0,4/29/2021,59.7,82.5
33,"Cority Software Inc., IQS, Inc. and Cority Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($6.3 par due 07/2026),6.00% (LIBOR + 5.00%/Q),7/2/2019,6.3,6.3
34,"Cority Software Inc., IQS, Inc. and Cority Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($4.4 par due 07/2026),6.00% (LIBOR + 5.00%/Q),10/15/2019,4.4,4.4
35,"Cority Software Inc., IQS, Inc. and Cority Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($1.1 par due 07/2026),8.00% (LIBOR + 7.00%/Q),9/3/2020,1.1,1.1
36,"Cority Software Inc., IQS, Inc. and Cority Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data",Preferred equity (198 shares),9.00% PIK,7/2/2019,0.3,0.6
37,"Cority Software Inc., IQS, Inc. and Cority Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data","Common equity (190,143 shares)",0,7/2/2019,0.0,0.0
38,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (16)","Provider of a cloud-based, SaaS platform for talent management",First lien senior secured revolving loan,0,10/15/2021,0.0,0.0
39,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (16)","Provider of a cloud-based, SaaS platform for talent management",Second lien senior secured loan ($137.5 par due 10/2029),7.00% (LIBOR + 6.50%/M),10/15/2021,137.5,135.4
40,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (16)","Provider of a cloud-based, SaaS platform for talent management","Series A preferred shares (116,413 shares)",10.50% PIK,10/15/2021,119.0,119.0
41,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (16)","Provider of a cloud-based, SaaS platform for talent management","Class A-1 common stock (1,360,100 shares)",0,10/15/2021,13.6,12.8
42,Datix Bidco Limited (16),Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($0.1 par due 04/2025),4.68% (LIBOR + 4.50%/S),10/7/2019,0.0,0.1
43,"DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",Provider of internet security tools and solutions,"Series A preferred shares (129,822 shares)",10.50% PIK,5/25/2021,138.1,138.1
44,"DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",Provider of internet security tools and solutions,"Series A units (817,194 units)",0,5/27/2021,13.3,13.2
45,Denali Holdco LLC and Denali Apexco LP (16),Provider of cybersecurity audit and assessment services,First lien senior secured loan ($37.2 par due 09/2027),7.13% (LIBOR + 6.00%/Q),9/15/2021,37.2,37.2
46,Denali Holdco LLC and Denali Apexco LP (16),Provider of cybersecurity audit and assessment services,"Class A units (2,549,000 units)",0,2/22/2022,2.5,2.5
47,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured revolving loan,0,8/4/2020,0.0,0.0
48,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured loan ($32.9 par due 08/2025),7.26% (LIBOR + 6.25%/Q),8/4/2020,32.4,32.9
49,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured loan ($2.0 par due 08/2025),7.26% (LIBOR + 6.25%/Q),7/30/2021,2.0,2.0
50,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured loan ($3.2 par due 08/2025),7.26% (LIBOR + 6.25%/Q),8/4/2020,3.2,3.2
51,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured loan ($0.1 par due 08/2025),6.76% (LIBOR + 5.75%/Q),3/4/2021,0.1,0.1
52,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured loan ($0.1 par due 08/2025),6.76% (LIBOR + 5.75%/Q),4/6/2021,0.1,0.1
53,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,"Preferred stock (13,140 shares)",10.50% PIK,4/6/2021,14.2,14.6
54,"Drilling Info Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,Second lien senior secured loan ($25.0 par due 07/2026),8.71% (LIBOR + 8.25%/M),2/11/2020,25.0,24.8
55,"Drilling Info Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,Preferred stock (29.53 shares),13.50% PIK,2/11/2020,38.3,39.2
56,"DS Admiral Bidco, LLC (16)",Tax return software provider for government institutions,First lien senior secured loan ($0.1 par due 03/2028),6.75% (LIBOR + 5.75%/Q),3/16/2021,0.1,0.1
57,Dye & Durham Corporation (16),Provider of cloud-based software and technology solutions for the legal industry,First lien senior secured loan ($43.4 par due 12/2027),6.50% (CDOR + 5.75%/Q),12/3/2021,42.2,43.4
58,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured revolving loan ($1.7 par due 09/2025),6.50% (LIBOR + 5.50%/M),9/18/2019,1.7,1.7
59,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured loan ($50.4 par due 09/2025),6.50% (LIBOR + 5.50%/Q),9/18/2019,50.4,50.4
60,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured loan ($11.4 par due 09/2025),6.50% (LIBOR + 5.50%/Q),9/18/2019,11.4,11.4
61,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured loan ($20.4 par due 09/2025),6.50% (LIBOR + 5.50%/Q),12/15/2020,20.4,20.4
62,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,"Preferred equity (4,599 shares)",0,9/18/2019,4.6,7.0
63,"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.",Provider of entertainment workforce and production management solutions,Second lien senior secured loan ($177.9 par due 11/2029),7.51% (LIBOR + 6.50%/Q),11/4/2021,177.9,176.1
64,"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.",Provider of entertainment workforce and production management solutions,"Partnership units (5,034,483 units)",0,5/10/2019,3.2,9.8
65,EpiServer Inc. and Episerver Sweden Holdings AB (16),Provider of web content management and digital commerce solutions,First lien senior secured loan ($5.9 par due 04/2026),5.75 % (Euribor + 5.75%/Q),3/22/2019,5.9,5.9
66,EpiServer Inc. and Episerver Sweden Holdings AB (16),Provider of web content management and digital commerce solutions,First lien senior secured loan ($0.1 par due 04/2026),6.51% (LIBOR + 5.50%/Q),10/9/2018,0.1,0.1
67,EpiServer Inc. and Episerver Sweden Holdings AB (16),Provider of web content management and digital commerce solutions,First lien senior secured loan ($0.1 par due 04/2026),6.51% (LIBOR + 5.50%/Q),12/21/2021,0.1,0.1
68,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (16)","Provider of mission-critical, software-enabled clinical research solutions",Second lien senior secured loan ($2.5 par due 02/2028),8.50% (LIBOR + 8.00%/M),2/4/2020,2.5,2.5
69,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (16)","Provider of mission-critical, software-enabled clinical research solutions",Second lien senior secured loan ($14.6 par due 02/2028),8.50% (LIBOR + 8.00%/M),2/4/2020,14.3,14.6
70,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (16)","Provider of mission-critical, software-enabled clinical research solutions",Second lien senior secured loan ($30.6 par due 02/2028),8.50% (LIBOR + 8.00%/M),4/27/2021,29.6,30.6
71,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (16)","Provider of mission-critical, software-enabled clinical research solutions","Limited partnership interest (3,988,000 shares)",0,1/31/2020,4.5,4.4
72,"Extrahop Networks, Inc. (16)",Provider of real-time wire data analytics solutions for application and infrastructure monitoring,First lien senior secured loan ($16.6 par due 07/2027),8.51% (LIBOR + 7.50%/Q),7/22/2021,16.6,16.6
73,"Extrahop Networks, Inc. (16)",Provider of real-time wire data analytics solutions for application and infrastructure monitoring,First lien senior secured loan ($1.7 par due 07/2027),8.50% (LIBOR + 7.50%/Q),7/20/2021,1.7,1.7
74,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",0,3/20/2014,0.0,0.0
75,"FM:Systems Group, LLC (16)",Provider of facilities and space management software solutions,First lien senior secured loan ($1.4 par due 12/2024),7.50% (LIBOR + 6.50%/Q),6/15/2021,1.4,1.4
76,"FM:Systems Group, LLC (16)",Provider of facilities and space management software solutions,First lien senior secured loan ($3.2 par due 12/2024),7.50% (LIBOR + 6.50%/Q),12/2/2019,3.2,3.2
77,"Forescout Technologies, Inc. (16)",Network access control solutions provider,First lien senior secured loan ($22.1 par due 08/2026),10.50% PIK (LIBOR + 9.50%/Q),8/17/2020,21.8,22.1
78,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,First lien senior secured loan ($14.9 par due 09/2023),6.25% (LIBOR + 5.25%/Q),12/30/2020,14.9,14.9
79,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,First lien senior secured loan ($0.1 par due 09/2023),6.25% (LIBOR + 5.25%/Q),6/15/2021,0.1,0.1
80,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,"Class A preferred units (4,574 units)",9.00% PIK,9/18/2017,6.3,6.9
81,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,"Class B common units (499,050 units)",0,9/18/2017,0.0,6.9
82,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,First lien senior secured revolving loan ($1.5 par due 07/2024),5.01% (LIBOR + 4.00%/Q),7/31/2018,1.5,1.5
83,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,First lien senior secured loan ($0.2 par due 07/2024),5.01% (LIBOR + 4.00%/Q),7/31/2018,0.2,0.2
84,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,First lien senior secured loan ($9.1 par due 07/2024),5.51% (LIBOR + 4.50%/Q),11/16/2021,9.1,9.1
85,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,Second lien senior secured loan ($7.5 par due 07/2025),7.81% (LIBOR + 7.50%/Q),6/9/2021,7.5,7.5
86,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,Second lien senior secured loan ($32.4 par due 07/2025),7.71% (LIBOR + 7.50%/Q),7/31/2018,32.4,32.4
87,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,Second lien senior secured loan ($21.1 par due 07/2025),8.25% (LIBOR + 7.50%/Q),11/16/2021,21.1,21.1
88,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,Class A common stock (8.39 shares),0,7/31/2018,0.8,1.0
89,GI Ranger Intermediate LLC (16),Provider of payment processing services and software to healthcare providers,First lien senior secured revolving loan ($0.4 par due 10/2027),6.75% (SOFR + 6.00%/Q),10/29/2021,0.4,0.4
90,GI Ranger Intermediate LLC (16),Provider of payment processing services and software to healthcare providers,First lien senior secured loan ($35.0 par due 10/2028),6.75% (SOFR + 6.00%/Q),10/29/2021,35.0,34.7
91,GI Ranger Intermediate LLC (16),Provider of payment processing services and software to healthcare providers,First lien senior secured loan ($5.4 par due 10/2028),6.75% (SOFR + 6.00%/Q),10/29/2021,5.4,5.3
92,"GraphPAD Software, LLC, Insightful Science Intermediate I, LLC and Insightful Science Holdings, LLC (16)","Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured loan ($7.9 par due 04/2027),6.50% (LIBOR + 5.50%/Q),10/14/2021,7.9,7.9
93,"GraphPAD Software, LLC, Insightful Science Intermediate I, LLC and Insightful Science Holdings, LLC (16)","Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured loan ($0.5 par due 04/2027),7.00% (LIBOR + 6.00%/Q),12/21/2017,0.5,0.5
94,"GraphPAD Software, LLC, Insightful Science Intermediate I, LLC and Insightful Science Holdings, LLC (16)","Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured loan ($7.6 par due 04/2027),6.50% (LIBOR + 5.50%/Q),11/29/2021,7.6,7.6
95,"GraphPAD Software, LLC, Insightful Science Intermediate I, LLC and Insightful Science Holdings, LLC (16)","Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured loan ($16.1 par due 04/2027),6.50% (LIBOR + 5.50%/Q),4/28/2021,16.1,16.1
96,"GraphPAD Software, LLC, Insightful Science Intermediate I, LLC and Insightful Science Holdings, LLC (16)","Provider of data analysis, statistics, and visualization software solutions for scientific research applications",Senior subordinated loan ($41.3 par due 04/2032),10.50% PIK,4/28/2021,41.3,41.3
97,"GraphPAD Software, LLC, Insightful Science Intermediate I, LLC and Insightful Science Holdings, LLC (16)","Provider of data analysis, statistics, and visualization software solutions for scientific research applications","Preferred units (1,828,644 units)",14.00% PIK,4/28/2021,50.5,50.5
98,"Heavy Construction Systems Specialists, LLC (16)",Provider of construction software,First lien senior secured loan ($15.9 par due 11/2028),6.50% (LIBOR + 5.75%/M),11/16/2021,15.9,15.7
99,"Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP (16)",Insurance software provider,First lien senior secured revolving loan ($5.5 par due 11/2027),6.25% (LIBOR + 5.50%/Q),11/3/2021,5.5,5.4
100,"Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP (16)",Insurance software provider,First lien senior secured loan ($60.8 par due 11/2028),6.25% (LIBOR + 5.50%/Q),11/3/2021,60.8,59.6
101,"Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP (16)",Insurance software provider,Senior subordinated loan ($92.4 par due 11/2031),10.00% PIK,11/3/2021,92.4,89.6
102,"Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP (16)",Insurance software provider,"Company units (4,243,657 units)",0,11/3/2021,8.8,7.4
103,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",0,10/15/2012,0.1,0.0
104,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",Second lien senior secured loan ($28.3 par due 05/2025),9.01% (LIBOR + 8.00%/Q),4/25/2017,28.1,28.3
105,"IV Rollover Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services","Class B units (170,490 units)",0,5/31/2017,0.0,0.1
106,"IV Rollover Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services","Class X units (5,000,000 units)",0,5/31/2017,2.1,2.2
107,"Majesco and Magic Topco, L.P. (16)",Insurance software provider,First lien senior secured loan ($30.6 par due 09/2027),8.26% (LIBOR + 7.25%/Q),9/21/2020,30.6,30.6
108,"Majesco and Magic Topco, L.P. (16)",Insurance software provider,"Class A units (2,539 units)",9.00% PIK,9/21/2020,2.9,3.7
109,"Majesco and Magic Topco, L.P. (16)",Insurance software provider,"Class B units (570,625 units)",0,9/21/2020,0.0,0.0
110,"Ministry Brands Holdings, LLC and RCP MB Investments B, L.P. (16)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($32.7 par due 12/2028),6.51% (LIBOR + 5.50%/Q),12/30/2021,32.7,32.4
111,"Ministry Brands Holdings, LLC and RCP MB Investments B, L.P. (16)",Software and payment services provider to faith-based institutions,"Limited partner interests (9,574,000 interests)",0,12/30/2021,9.6,9.3
112,"Mitchell International, Inc.","Provider of technology, connectivity, and information solutions to the property and casualty insurance industry",Second lien senior secured loan ($91.2 par due 10/2029),7.00% (LIBOR + 6.50%/Q),10/1/2021,90.4,90.1
113,"MMIT Holdings, LLC (16)",Provider of market intelligence and analysis for the pharmaceutical industry,First lien senior secured loan ($2.8 par due 09/2027),7.25% (LIBOR + 6.25%/Q),9/15/2021,2.8,2.8
114,"MMIT Holdings, LLC (16)",Provider of market intelligence and analysis for the pharmaceutical industry,First lien senior secured loan ($13.7 par due 09/2027),7.25% (LIBOR + 6.25%/Q),10/21/2021,13.7,13.7
115,MRI Software LLC (16),Provider of real estate and investment management software,First lien senior secured loan ($51.4 par due 02/2026),6.51% (LIBOR + 5.50%/Q),2/10/2020,51.4,51.4
116,MRI Software LLC (16),Provider of real estate and investment management software,First lien senior secured loan ($9.8 par due 02/2026),6.51 % (LIBOR + 5.50%/Q),8/28/2020,9.8,9.8
117,"n2y Holding, LLC (16)",Developer of cloud-based special education platform,First lien senior secured revolving loan ($0.1 par due 11/2025),6.75% (LIBOR + 5.75%/Q),11/15/2019,0.1,0.1
118,OpenMarket Inc.,Provider of cloud-based mobile engagement platform,First lien senior secured loan ($52.0 par due 09/2026),7.26% (LIBOR + 6.25%/Q),9/17/2021,51.9,50.9
119,"Paya, Inc and GTCR-Ultra Holdings LLC (16)",Provider of payment processing and merchant acquiring solutions,"Class B units (2,878,372 units)",0,8/1/2017,0.0,1.9
120,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",0,3/11/2016,0.2,0.0
121,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured loan ($53.3 par due 10/2024),5.50% (LIBOR + 4.50%/Q),3/19/2019,53.3,53.3
122,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($7.2 par due 10/2025),9.50% (LIBOR + 8.50%/Q),12/7/2021,7.2,7.2
123,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($70.1 par due 10/2025),9.50% (LIBOR + 8.50%/Q),3/19/2019,70.1,70.1
124,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($8.3 par due 10/2025),9.50% (LIBOR + 8.50%/Q),12/17/2020,8.3,8.3
125,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($8.7 par due 10/2025),9.50% (LIBOR + 8.50%/Q),4/27/2021,8.7,8.7
126,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,"Series A preferred stock (13,656 shares)",13.25% PIK,3/19/2019,20.1,20.4
127,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,"Class A units (2,062,493 units)",0,3/19/2019,2.1,3.4
128,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($0.2 par due 05/2025),6.26% (LIBOR + 5.25%/Q),5/29/2019,0.2,0.2
129,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($0.1 par due 05/2025),6.76% (LIBOR + 5.75%/Q),6/24/2020,0.1,0.1
130,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($31.8 par due 05/2025),6.75% (LIBOR + 5.75%/Q),10/16/2020,31.8,31.8
131,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,"Class A units (5,000 units)",0,5/29/2019,5.0,15.0
