,Industry,Company(1),Business Description,Investment,Interest(5)(9),Acquisition  Date,Amortized  Cost,Fair  Value
18,Business Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (19)",,First lien senior secured loan ($31.0 par due 7/2026),6.35% (Libor + 4.25%/Q),7/9/2019,31.0,30.7
19,Business Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (19)",,Second lien senior secured loan ($12.7 par due 7/2027),10.35% (Libor + 8.25%/Q),9/10/2019,12.7,12.6
20,Business Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (19)",,Second lien senior secured loan ($5.3 par due 7/2027),10.35% (Libor + 8.25%/Q),7/9/2019,5.3,5.2
21,Business Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (19)",,Second lien senior secured loan ($64.2 par due 7/2027),10.35% (Libor + 8.25%/Q),7/9/2019,64.2,63.5
22,Business Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (19)",,"Common stock (4,211 shares)",,7/9/2019,4.2,4.2
23,Business Services,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (19)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,First lien senior secured loan ($40.8 par due 8/2023),8.89% (Libor + 6.75%/Q),8/20/2018,40.8,40.8
24,Business Services,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (19)",,"Series A preferred stock (150,000 shares)",,9/26/2018,1.5,1.8
25,Business Services,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",,7/23/2014,0.0,0.0
26,Business Services,"Clearwater Analytics, LLC (19)","Provider of integrated cloud-based investment portfolio management, accounting, reporting and analytics software",First lien senior secured loan ($8.0 par due 9/2022),9.22% (Libor + 7.00%/Q),7/3/2019,8.0,8.0
27,Business Services,"CMW Parent LLC (fka Black Arrow, Inc.)",Multiplatform media firm,Series A units (32 units),,9/11/2015,0.0,0.0
28,Business Services,Command Alkon Incorporated (19),Software solutions provider to the ready-mix concrete industry,First lien senior secured revolving loan ($1.5 par due 9/2022),10.25% (Base Rate + 5.00%/Q),9/1/2017,1.5,1.4
29,Business Services,Command Alkon Incorporated (19),,First lien senior secured loan ($20.2 par due 9/2023),8.09% (Libor + 6.00%/M),9/1/2017,20.2,19.6
30,Business Services,Command Alkon Incorporated (19),,Second lien senior secured loan ($33.8 par due 3/2024),12.09% (Libor + 10.00%/M),9/1/2017,33.8,31.8
31,Business Services,Compuware Software Group LLC,Web and mobile cloud performance testing and monitoring services provider,"Preferred units (4,132 units)",9.00% PIK,7/31/2019,0.8,0.8
32,Business Services,Compuware Software Group LLC,,"Common units (744,569 units)",,7/31/2019,0.0,2.4
33,Business Services,"Cority Software Inc. and Project Falcon Parent, Inc. (8)(19)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($14.4 par due 7/2026),7.82% (Libor + 5.50%/Q),7/2/2019,14.4,14.2
34,Business Services,"Cority Software Inc. and Project Falcon Parent, Inc. (8)(19)",,Preferred stock (198 shares),9.00% PIK,7/2/2019,0.2,0.2
35,Business Services,"Cority Software Inc. and Project Falcon Parent, Inc. (8)(19)",,"Common stock (190,143 shares)",,7/2/2019,0.0,0.0
36,Business Services,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,First lien senior secured loan ($1.8 par due 4/2018),,12/19/2014,1.3,0.0
37,Business Services,"Directworks, Inc. and Co-Exprise Holdings, Inc.",,"Warrant to purchase up to 1,875,000 shares of Series 1 preferred stock (expires 12/2024)",,12/19/2014,0.0,0.0
38,Business Services,"Display Holding Company, Inc., Saldon Holdings, Inc. and Fastsigns Holdings Inc. (19)",Provider of visual communications solutions,First lien senior secured loan ($2.6 par due 3/2025),7.69% (Libor + 5.65%/M),8/27/2019,2.6,2.6
39,Business Services,"Display Holding Company, Inc., Saldon Holdings, Inc. and Fastsigns Holdings Inc. (19)",,First lien senior secured loan ($16.4 par due 3/2025),7.69% (Libor + 5.65%/M),3/13/2019,16.4,16.2
40,Business Services,"Display Holding Company, Inc., Saldon Holdings, Inc. and Fastsigns Holdings Inc. (19)",,Common units (600 units),,3/13/2019,0.6,0.7
41,Business Services,Doxim Inc. (8),Enterprise content management provider,First lien senior secured loan ($6.8 par due 2/2024),8.15% (Libor + 6.00%/Q),2/28/2018,6.8,6.8
42,Business Services,Doxim Inc. (8),,First lien senior secured loan ($10.2 par due 2/2024),8.33% (Libor + 6.00%/Q),2/28/2018,10.1,10.2
43,Business Services,"DRB Holdings, LLC (19)",Provider of integrated technology solutions to car wash operators,First lien senior secured revolving loan ($2.0 par due 10/2023),8.31% (Libor + 6.00%/Q),10/6/2017,2.0,1.9
44,Business Services,"DRB Holdings, LLC (19)",,First lien senior secured loan ($23.5 par due 10/2023),8.20% (Libor + 6.00%/Q),10/6/2017,23.5,22.8
45,Business Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (19)",Provider of legal process outsourcing and managed services,First lien senior secured revolving loan ($1.3 par due 9/2021),6.54% (Libor + 4.50%/M),9/23/2016,1.3,1.2
46,Business Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (19)",,First lien senior secured revolving loan ($2.2 par due 9/2021),6.54% (Libor + 4.50%/M),9/23/2016,2.2,2.0
47,Business Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (19)",,First lien senior secured revolving loan ($1.3 par due 9/2021),8.50% (Base Rate + 3.50%/M),9/23/2016,1.3,1.2
48,Business Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (19)",,"Class A common stock (7,500 shares)",,8/19/2014,7.5,6.2
49,Business Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (19)",,"Class B common stock (7,500 shares)",,8/19/2014,0.0,0.0
50,Business Services,"Dynatrace, Inc.",Web and mobile cloud performance testing and monitoring services provider,"Common stock (917,855 shares)",,8/5/2019,3.4,17.1
51,Business Services,"Emergency Communications Network, LLC (19)",Provider of mission critical emergency mass notification solutions,First lien senior secured revolving loan ($5.4 par due 6/2022),8.32% (Libor + 6.25%/M),6/1/2017,5.4,4.9
52,Business Services,"Emergency Communications Network, LLC (19)",,First lien senior secured revolving loan ($1.1 par due 6/2022),10.25% (Base Rate + 5.25%/M),6/1/2017,1.1,1.0
53,Business Services,"Emergency Communications Network, LLC (19)",,First lien senior secured loan ($24.9 par due 6/2023),8.29% (Libor + 6.25%/M),6/1/2017,24.8,22.4
54,Business Services,"Emergency Communications Network, LLC (19)",,First lien senior secured loan ($19.6 par due 6/2023),8.29% (Libor + 6.25%/M),6/1/2017,19.5,17.6
55,Business Services,Episerver Inc. and Goldcup 17308 AB (19),Provider of web content management and digital commerce solutions,First lien senior secured loan ($5.9 par due 10/2024),6.00% (EURIBOR + 6.00%/M),3/22/2019,6.1,5.9
56,Business Services,Episerver Inc. and Goldcup 17308 AB (19),,First lien senior secured loan ($27.5 par due 10/2024),7.79% (Libor + 5.75%/M),10/9/2018,27.5,27.2
57,Business Services,"EZ Elemica Holdings, Inc. & Elemica Parent, Inc (19)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured revolving loan ($0.7 par due 9/2025),7.55% (Libor + 5.50%/M),9/18/2019,0.7,0.7
58,Business Services,"EZ Elemica Holdings, Inc. & Elemica Parent, Inc (19)",,First lien senior secured revolving loan ($3.5 par due 9/2025),7.65% (Libor + 5.50%/M),9/18/2019,3.5,3.4
59,Business Services,"EZ Elemica Holdings, Inc. & Elemica Parent, Inc (19)",,First lien senior secured loan ($59.7 par due 9/2025),7.65% (Libor + 5.50%/Q),9/18/2019,59.7,59.1
60,Business Services,"EZ Elemica Holdings, Inc. & Elemica Parent, Inc (19)",,"Preferred Equity (4,599 shares)",,9/18/2019,4.6,4.6
61,Business Services,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",,3/20/2014,0.0,0.0
62,Business Services,"Foundation Risk Partners, Corp. (19)",Full service independent insurance agency,First lien senior secured revolving loan ($4.2 par due 11/2023),6.79% (Libor + 4.75%/M),11/10/2017,4.2,4.2
63,Business Services,"Foundation Risk Partners, Corp. (19)",,First lien senior secured loan ($6.0 par due 11/2023),6.85% (Libor + 4.75%/Q),5/1/2019,6.0,6.0
64,Business Services,"Foundation Risk Partners, Corp. (19)",,First lien senior secured loan ($0.7 par due 11/2023),6.93% (Libor + 4.75%/Q),5/1/2019,0.7,0.7
65,Business Services,"Foundation Risk Partners, Corp. (19)",,First lien senior secured loan ($9.0 par due 11/2023),6.88% (Libor + 4.75%/Q),5/1/2019,9.0,9.0
66,Business Services,"Foundation Risk Partners, Corp. (19)",,First lien senior secured loan ($1.4 par due 11/2023),6.85% (Libor + 4.75%/Q),5/1/2019,1.4,1.4
67,Business Services,"Foundation Risk Partners, Corp. (19)",,First lien senior secured loan ($7.7 par due 11/2023),6.85% (Libor + 4.75%/Q),5/1/2019,7.7,7.7
68,Business Services,"Foundation Risk Partners, Corp. (19)",,First lien senior secured loan ($22.1 par due 11/2023),6.85% (Libor + 4.75%/Q),11/10/2017,22.1,22.1
69,Business Services,"Foundation Risk Partners, Corp. (19)",,Second lien senior secured loan ($21.7 par due 11/2024),10.60% (Libor + 8.50%/Q),8/9/2018,21.7,21.7
70,Business Services,"Foundation Risk Partners, Corp. (19)",,Second lien senior secured loan ($19.1 par due 11/2024),10.60% (Libor + 8.50%/Q),8/9/2018,19.1,19.1
71,Business Services,"Foundation Risk Partners, Corp. (19)",,Second lien senior secured loan ($0.3 par due 11/2024),10.68% (Libor + 8.50%/Q),5/1/2019,0.3,0.3
72,Business Services,"Foundation Risk Partners, Corp. (19)",,Second lien senior secured loan ($6.8 par due 11/2024),10.63% (Libor + 8.50%/Q),5/1/2019,6.8,6.8
73,Business Services,"Foundation Risk Partners, Corp. (19)",,Second lien senior secured loan ($1.1 par due 11/2024),10.60% (Libor + 8.50%/Q),5/1/2019,1.1,1.1
74,Business Services,"Foundation Risk Partners, Corp. (19)",,Second lien senior secured loan ($2.3 par due 11/2024),10.60% (Libor + 8.50%/Q),5/1/2019,2.3,2.3
75,Business Services,"Foundation Risk Partners, Corp. (19)",,Second lien senior secured loan ($5.6 par due 11/2024),10.60% (Libor + 8.50%/Q),5/1/2019,5.6,5.6
76,Business Services,"Foundation Risk Partners, Corp. (19)",,Second lien senior secured loan ($27.5 par due 11/2024),10.60% (Libor + 8.50%/Q),11/10/2017,27.5,27.5
77,Business Services,Genesis Acquisition Co. and Genesis Holding Co. (19),Child care management software and services provider,First lien senior secured revolving loan ($0.5 par due 7/2024),6.11% (Libor + 4.00%/Q),7/31/2018,0.5,0.5
78,Business Services,Genesis Acquisition Co. and Genesis Holding Co. (19),,Second lien senior secured loan ($25.8 par due 7/2025),9.82% (Libor + 7.50%/Q),7/31/2018,25.8,25.8
79,Business Services,Genesis Acquisition Co. and Genesis Holding Co. (19),,Class A common stock (8 shares),,7/31/2018,0.8,1.0
80,Business Services,"Graphpad Software, LLC (19)","Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured loan ($3.7 par due 12/2023),8.20% (Libor + 6.00%/Q),12/21/2017,3.7,3.7
81,Business Services,"Graphpad Software, LLC (19)",,First lien senior secured loan ($1.5 par due 12/2023),8.30% (Libor + 6.00%/Q),12/21/2017,1.5,1.5
82,Business Services,"GTCR-Ultra Holdings III, LLC and GTCR-Ultra Holdings LLC (19)",Provider of payment processing and merchant acquiring solutions,Class A-2 units (911 units),,8/1/2017,0.9,2.4
83,Business Services,"GTCR-Ultra Holdings III, LLC and GTCR-Ultra Holdings LLC (19)",,"Class B units (2,878,372 units)",,8/1/2017,0.0,0.0
84,Business Services,"HAI Acquisition Corporation and Aloha Topco, LLC (19)","Professional employer organization offering human resources, compliance and risk management services",First lien senior secured loan ($62.4 par due 11/2024),7.71% (Libor + 5.50%/Q),11/1/2017,62.4,62.4
85,Business Services,"HAI Acquisition Corporation and Aloha Topco, LLC (19)",,"Class A units (16,980 units)",,11/1/2017,1.7,2.6
86,Business Services,"Huskies Parent, Inc. (19)",Insurance software provider,First lien senior secured loan ($0.8 par due 7/2026),6.26% (Libor + 4.00%/Q),7/18/2019,0.8,0.8
87,Business Services,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",,10/15/2012,0.1,0.1
88,Business Services,"Infinite Electronics International, Inc. (19)",Manufacturer and distributor of radio frequency and microwave electronic components,First lien senior secured revolving loan ($0.3 par due 7/2023),6.09% (Libor + 4.00%/Q),7/2/2018,0.3,0.3
89,Business Services,"Infinite Electronics International, Inc. (19)",,First lien senior secured loan ($16.3 par due 7/2025),6.33% (Libor + 4.00%/Q),7/2/2018,16.3,16.2
90,Business Services,"Infogix, Inc. and Infogix Parent Corporation (19)",Enterprise data analytics and integrity software solutions provider,First lien senior secured revolving loan ($1.6 par due 4/2024),8.65% (Libor + 6.50%/Q),4/18/2018,1.6,1.5
91,Business Services,"Infogix, Inc. and Infogix Parent Corporation (19)",,"Series A preferred stock (2,475 shares)",,1/3/2017,2.6,1.5
92,Business Services,"Infogix, Inc. and Infogix Parent Corporation (19)",,"Common stock (1,297,768 shares)",,1/3/2017,0.0,0.0
93,Business Services,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",First lien senior secured loan ($15.7 par due 5/2024),6.10% (Libor + 4.00%/Q),1/31/2019,15.0,14.9
94,Business Services,"Inmar, Inc.",,Second lien senior secured loan ($28.3 par due 5/2025),10.10% (Libor + 8.00%/Q),4/25/2017,28.0,27.5
95,Business Services,"InterVision Systems, LLC and InterVision Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services",First lien senior secured loan ($41.2 par due 5/2022),8.54% (Libor + 6.50%/M),5/31/2017,41.2,39.1
96,Business Services,"InterVision Systems, LLC and InterVision Holdings, LLC",,First lien senior secured loan ($10.0 par due 5/2022),8.54% (Libor + 6.50%/M),5/31/2017,10.0,9.5
97,Business Services,"InterVision Systems, LLC and InterVision Holdings, LLC",,"Class A membership units (1,000 units)",,5/31/2017,1.0,0.0
98,Business Services,"Invoice Cloud, Inc. (19)",Provider of electronic payment processing solutions,First lien senior secured loan ($32.9 par due 2/2024),8.68% (Libor + 6.50%/Q),2/11/2019,32.9,32.9
99,Business Services,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,First lien senior secured loan ($34.7 par due 12/2025),6.62% (Libor + 4.50%/Q),11/30/2018,34.4,34.7
100,Business Services,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",,First lien senior secured loan ($21.5 par due 12/2025),6.62% (Libor + 4.50%/Q),11/30/2018,21.4,21.5
101,Business Services,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",,Second lien senior secured loan ($86.8 par due 11/2026),10.12% (Libor + 8.00%/Q),11/30/2018,85.4,86.8
102,Business Services,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",,"Series A-1 preferred shares (46,900 shares)",12.62% PIK (Libor + 10.50%/Q),11/30/2018,51.6,52.3
103,Business Services,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",,"Class A-1 common units (90,500 units)",,11/30/2018,9.1,9.4
104,Business Services,"K2 Insurance Services, LLC and K2 Holdco LP (19)",Specialty insurance and managing general agency,First lien senior secured revolving loan,,7/1/2019,0.0,0.0
105,Business Services,"K2 Insurance Services, LLC and K2 Holdco LP (19)",,First lien senior secured loan ($61.1 par due 7/2024),7.21% (Libor + 5.00%/Q),7/1/2019,61.1,60.5
106,Business Services,"K2 Insurance Services, LLC and K2 Holdco LP (19)",,"Common Equity (799,000 units)",,7/1/2019,0.8,0.9
107,Business Services,"Kaufman, Hall & Associates, LLC (19)",Provider of specialty advisory services and software solutions to the healthcare market,First lien senior secured loan ($8.1 par due 5/2025),7.28% (Libor + 5.25%/M),11/9/2018,8.1,8.1
108,Business Services,"Kaufman, Hall & Associates, LLC (19)",,First lien senior secured loan ($6.8 par due 5/2025),7.29% (Libor + 5.25%/M),11/9/2018,6.8,6.8
109,Business Services,"Kene Acquisition, Inc. and Kene Holdings, L.P. (19)",National utility services consulting firm,First lien senior secured revolving loan ($1.1 par due 8/2024),6.44% (Libor + 4.25%/Q),8/8/2019,1.1,1.1
110,Business Services,"Kene Acquisition, Inc. and Kene Holdings, L.P. (19)",,First lien senior secured loan ($59.9 par due 8/2026),6.44% (Libor + 4.25%/Q),8/8/2019,59.9,59.3
111,Business Services,"Kene Acquisition, Inc. and Kene Holdings, L.P. (19)",,"Class A units (4,549,000 units)",,8/8/2019,4.5,4.5
112,Business Services,Labstat International Inc. (8)(19),Lab testing services for nicotine containing products,First lien senior secured loan ($5.1 par due 6/2024),8.22% (CIBOR + 6.25%/Q),10/19/2018,5.1,5.1
113,Business Services,Labstat International Inc. (8)(19),,First lien senior secured loan ($19.6 par due 6/2024),8.22% (CIBOR + 6.25%/Q),6/25/2018,19.5,19.6
114,Business Services,LLSC Holdings Corporation (dba Lawrence Merchandising Services) (7),Marketing services provider,"Series A preferred stock (9,000 shares)",,1/3/2017,1.8,0.4
115,Business Services,LLSC Holdings Corporation (dba Lawrence Merchandising Services) (7),,"Common stock (1,000 shares)",,1/3/2017,0.0,0.0
116,Business Services,"Masergy Holdings, Inc. (19)","Provider of software-defined solutions for enterprise global networks, cyber security, and cloud communications",First lien senior secured revolving loan ($0.2 par due 12/2021),8.00% (Base Rate + 2.50%/Q),2/8/2018,0.2,0.2
117,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (19)",Software and payment services provider to faith-based institutions,First lien senior secured revolving loan ($2.2 par due 12/2022),7.04% (Libor + 5.00%/M),12/2/2016,2.2,2.2
118,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (19)",,First lien senior secured loan ($4.9 par due 12/2022),6.04% (Libor + 4.00%/M),8/22/2017,4.9,4.8
119,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (19)",,First lien senior secured loan ($9.4 par due 12/2022),6.04% (Libor + 4.00%/M),4/6/2017,9.4,9.3
120,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (19)",,Second lien senior secured loan ($16.6 par due 6/2023),11.34% (Libor + 9.25%/Q),12/2/2016,16.6,16.3
121,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (19)",,Second lien senior secured loan ($17.9 par due 6/2023),11.34% (Libor + 9.25%/Q),8/22/2017,17.9,17.5
122,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (19)",,Second lien senior secured loan ($4.7 par due 6/2023),11.34% (Libor + 9.25%/Q),4/6/2017,4.7,4.6
123,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (19)",,Second lien senior secured loan ($10.3 par due 6/2023),10.09% (Libor + 8.00%/Q),4/18/2018,10.3,10.1
124,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (19)",,Second lien senior secured loan ($9.2 par due 6/2023),11.34% (Libor + 9.25%/Q),4/6/2017,9.2,9.0
125,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (19)",,Second lien senior secured loan ($38.6 par due 6/2023),10.09% (Libor + 8.00%/Q),4/18/2018,38.6,37.9
126,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (19)",,Second lien senior secured loan ($75.0 par due 6/2023),11.34% (Libor + 9.25%/Q),12/2/2016,74.6,73.5
127,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (19)",,Second lien senior secured loan ($15.0 par due 6/2023),11.34% (Libor + 9.25%/Q),12/2/2016,14.9,14.7
128,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (19)",,"Class A units (500,000 units)",,12/2/2016,5.0,6.9
129,Business Services,"MVL Group, Inc. (7)",Marketing research provider,"Common stock (560,716 shares)",,4/1/2010,0.0,0.0
130,Business Services,"NAS, LLC, Nationwide Marketing Group, LLC and Nationwide Administrative Services, Inc.","Buying and marketing services organization for appliance, furniture and consumer electronics dealers",Second lien senior secured loan ($6.0 par due 12/2021),11.08% (Libor + 8.75%/Q),6/1/2015,6.0,6.0
131,Business Services,"NAS, LLC, Nationwide Marketing Group, LLC and Nationwide Administrative Services, Inc.",,Second lien senior secured loan ($25.1 par due 12/2021),11.08% (Libor + 8.75%/Q),6/1/2015,25.1,25.1
132,Business Services,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",First lien senior secured loan ($8.6 par due 10/2022),7.05% (Libor + 5.00%/M),1/3/2017,8.4,8.3
133,Business Services,"Novetta Solutions, LLC",,Second lien senior secured loan ($31.0 par due 10/2023),10.55% (Libor + 8.50%/M),1/3/2017,29.3,27.9
134,Business Services,"NSM Insurance Group, LLC",Insurance program administrator,First lien senior secured loan ($4.5 par due 5/2024),6.60% (Libor + 4.50%/Q),3/27/2019,4.5,4.5
135,Business Services,"NSM Insurance Group, LLC",,First lien senior secured loan ($13.0 par due 5/2024),6.60% (Libor + 4.50%/Q),5/11/2018,13.0,13.0
136,Business Services,"NSM Insurance Group, LLC",,First lien senior secured loan ($5.6 par due 5/2024),6.60% (Libor + 4.50%/Q),6/28/2019,5.6,5.6
137,Business Services,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",,3/11/2016,0.2,0.0
138,Business Services,"PaySimple, Inc. (19)",Provider of business management solutions,First lien senior secured loan ($11.3 par due 8/2025),7.55% (Libor + 5.50%/M),8/23/2019,11.1,11.2
139,Business Services,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (19)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured revolving loan ($1.8 par due 10/2024),6.65% (Libor + 4.50%/Q),3/19/2019,1.8,1.8
140,Business Services,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (19)",,First lien senior secured revolving loan ($5.8 par due 10/2024),8.50% (Base Rate + 3.50%/Q),3/19/2019,5.8,5.8
141,Business Services,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (19)",,First lien senior secured loan ($54.7 par due 10/2024),6.66% (Libor + 4.50%/Q),3/19/2019,54.7,54.7
142,Business Services,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (19)",,Second lien senior secured loan ($70.1 par due 10/2025),10.66% (Libor + 8.50%/Q),3/19/2019,70.1,70.1
143,Business Services,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (19)",,"Series A preferred shares (13,656 shares)",13.25% PIK,3/19/2019,14.4,14.7
144,Business Services,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (19)",,"Class A units (1,942,225 units)",,3/19/2019,1.9,2.0
145,Business Services,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (19)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($20.2 par due 5/2025),7.79% (Libor + 5.75%/M),5/29/2019,20.2,20.0
146,Business Services,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (19)",,"Class A units (5,000 units)",,5/29/2019,5.0,5.0
147,Business Services,Petroleum Service Group LLC (19),Provider of operational services for US petrochemical and refining companies,First lien senior secured revolving loan,,7/23/2019,0.0,0.0
148,Business Services,Petroleum Service Group LLC (19),,First lien senior secured loan ($37.0 par due 7/2025),7.76% (Libor + 5.50%/Q),7/23/2019,37.0,36.3
