,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,Fair  Value
14,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",0,7/23/2014,0.0,0.0
15,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Second lien senior secured loan ($48.1 par due 11/2028),8.50% (Libor + 7.75%/Q),11/12/2020,48.1,47.2
16,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,"Series A-2 preferred shares (8,963 shares)",11.25% PIK (Libor + 11.00%/Q),12/23/2020,9.2,9.3
17,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,"Series A preferred shares (24,898 shares)",11.21% PIK (Libor + 11.00%/Q),11/12/2020,26.0,25.8
18,"Clearwater Analytics, LLC (16)","Provider of integrated cloud-based investment portfolio management, accounting, reporting and analytics software",First lien senior secured loan ($45.8 par due 10/2025),7.25% (Libor + 6.25%/Q),10/19/2020,45.8,45.8
19,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($6.4 par due 7/2026),6.25% (Libor + 5.25%/Q),7/2/2019,6.4,6.4
20,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($4.4 par due 7/2026),6.25% (Libor + 5.25%/Q),10/15/2019,4.4,4.4
21,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($1.1 par due 7/2026),8.25% (Libor + 7.25%/Q),9/3/2020,1.1,1.1
22,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data",Preferred equity (198 shares),9.00% PIK,7/2/2019,0.2,0.2
23,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data","Common equity (190,143 shares)",0,7/2/2019,0.0,0.2
24,Datix Bidco Limited,Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($0.1 par due 4/2025),4.74% (Libor + 4.50%/Q),10/7/2019,0.1,0.1
25,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured revolving loan,0,8/4/2020,0.0,0.0
26,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured loan ($33.3 par due 8/2025),7.25% (Libor + 6.25%/Q),8/4/2020,32.6,33.3
27,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured loan ($9.0 par due 8/2025),6.75% (Libor + 5.75%/Q),3/4/2021,9.0,9.0
28,"Drilling Info Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,Second lien senior secured loan ($25.0 par due 7/2026),8.36% (Libor + 8.25%/Q),2/11/2020,25.0,25.0
29,"Drilling Info Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,Preferred stock (29.53 shares),13.50% PIK,2/11/2020,33.4,34.4
30,"DS Admiral Bidco, LLC (16)",Tax return software provider for government institutions,First lien senior secured revolving loan ($0.8 par due 3/2026),6.75% (Libor + 5.75%/Q),3/16/2021,0.7,0.7
31,"DS Admiral Bidco, LLC (16)",Tax return software provider for government institutions,First lien senior secured loan ($25.8 par due 3/2028),6.75% (Libor + 5.75%/Q),3/16/2021,25.0,25.6
32,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured revolving loan ($3.0 par due 9/2025),7.00% (Libor + 6.00%/Q),9/18/2019,3.0,3.0
33,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured loan ($14.9 par due 9/2025),7.00% (Libor + 6.00%/Q),12/15/2020,14.9,14.9
34,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured loan ($50.9 par due 9/2025),7.00% (Libor + 6.00%/Q),9/18/2019,50.9,50.9
35,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured loan ($11.5 par due 9/2025),7.00% (Libor + 6.00%/Q),9/18/2019,11.5,11.5
36,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured loan ($5.7 par due 9/2025),7.00% (Libor + 6.00%/Q),12/15/2020,5.7,5.7
37,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,"Preferred equity (4,599 shares)",0,9/18/2019,4.6,5.9
38,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (16)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($29.1 par due 5/2026),6.45% (Libor + 6.25%/Q),5/10/2019,29.1,27.4
39,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (16)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($20.5 par due 5/2026),6.50% (Libor + 6.25%/Q),5/10/2019,20.5,19.3
40,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (16)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($10.7 par due 5/2026),6.45% (Libor + 6.25%/Q),5/10/2019,10.7,10.0
41,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (16)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($4.1 par due 5/2026),6.45% (Libor + 6.25%/Q),5/10/2019,4.1,3.8
42,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (16)",Provider of entertainment workforce and production management solutions,"Partnership units (5,034,483 units)",0,5/10/2019,5.0,5.8
43,Episerver Inc. and Goldcup 17308 AB (16),Provider of web content management and digital commerce solutions,First lien senior secured loan ($6.3 par due 10/2024),6.00% (Euribor + 6.00%/Q),3/22/2019,6.0,6.3
44,Episerver Inc. and Goldcup 17308 AB (16),Provider of web content management and digital commerce solutions,First lien senior secured loan ($27.1 par due 10/2024),6.75% (Libor + 5.75%/Q),10/9/2018,27.1,27.1
45,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (16)","Provider of mission-critical, software-enabled clinical research solutions",Second lien senior secured loan ($19.9 par due 2/2028),8.50% (Libor + 8.00%/M),2/4/2020,19.5,19.9
46,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (16)","Provider of mission-critical, software-enabled clinical research solutions","Limited partnership interest (3,300,000 shares)",0,1/31/2020,3.7,3.9
47,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",0,3/20/2014,0.0,0.0
48,FM: Systems Group LLC (16),Provider of facilities and space management software solutions,First lien senior secured loan ($3.2 par due 12/2024),7.50% (Libor + 6.50%/Q),12/2/2019,3.2,3.2
49,"Forescout Technologies, Inc. (16)",Network access control solutions provider,First lien senior secured loan ($17.4 par due 8/2026),10.50% PIK (Libor + 9.50%/Q),8/17/2020,17.1,17.4
50,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,First lien senior secured loan ($17.3 par due 9/2023),6.75% (Libor + 5.75%/Q),12/30/2020,17.3,17.3
51,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,"Class A preferred units (4,574 units)",9.00% PIK,9/18/2017,5.7,6.3
52,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,"Class B common units (499,050 units)",0,9/18/2017,0.0,4.0
53,Genesis Acquisition Co. and Genesis Holding Co. (16),Child care management software and services provider,First lien senior secured revolving loan ($1.5 par due 7/2024),4.20% (Libor + 4.00%/Q),7/31/2018,1.5,1.4
54,Genesis Acquisition Co. and Genesis Holding Co. (16),Child care management software and services provider,First lien senior secured loan ($0.2 par due 7/2024),4.20% (Libor + 4.00%/Q),7/31/2018,0.2,0.2
55,Genesis Acquisition Co. and Genesis Holding Co. (16),Child care management software and services provider,Second lien senior secured loan ($25.8 par due 7/2025),7.74% (Libor + 7.50%/Q),7/31/2018,25.8,24.0
56,Genesis Acquisition Co. and Genesis Holding Co. (16),Child care management software and services provider,Second lien senior secured loan ($6.6 par due 7/2025),7.74% (Libor + 7.50%/Q),7/31/2018,6.6,6.1
57,Genesis Acquisition Co. and Genesis Holding Co. (16),Child care management software and services provider,Class A common stock (8 shares),0,7/31/2018,0.8,0.6
58,"GraphPAD Software, LLC (16)","Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured loan ($0.5 par due 12/2023),7.00% (Libor + 6.00%/Q),12/21/2017,0.5,0.5
59,"GTCR-Ultra Holdings III, LLC and GTCR-Ultra Holdings LLC (16)",Provider of payment processing and merchant acquiring solutions,"Class B units (2,878,372 units)",0,8/1/2017,0.0,0.0
60,"Help/Systems Holdings, Inc. (16)",Provider of IT operations management and cybersecurity software,First lien senior secured loan ($25.9 par due 11/2026),5.75% (Libor + 4.75%/Q),11/22/2019,25.9,25.9
61,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",0,10/15/2012,0.1,0.0
62,"Infogix, Inc. and Infogix Parent Corporation (16)",Enterprise data analytics and integrity software solutions provider,First lien senior secured revolving loan ($5.3 par due 4/2024),7.00% (Libor + 6.00%/Q),4/18/2018,5.3,5.3
63,"Infogix, Inc. and Infogix Parent Corporation (16)",Enterprise data analytics and integrity software solutions provider,"Series A preferred stock (2,475 shares)",0,1/3/2017,2.6,3.8
64,"Infogix, Inc. and Infogix Parent Corporation (16)",Enterprise data analytics and integrity software solutions provider,"Common stock (1,297,768 shares)",0,1/3/2017,0.0,0.0
65,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",First lien senior secured loan ($15.5 par due 5/2024),5.00% (Libor + 4.00%/Q),1/31/2019,15.0,15.3
66,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",Second lien senior secured loan ($28.3 par due 5/2025),9.00% (Libor + 8.00%/Q),4/25/2017,28.1,28.3
67,"Huskies Parent, Inc. (16)",Insurance software provider,First lien senior secured revolving loan ($0.6 par due 7/2024),4.11% (Libor + 4.00%/M),7/18/2019,0.6,0.6
68,"Invoice Cloud, Inc. (16)",Provider of electronic payment processing solutions,First lien senior secured revolving loan,0,2/11/2019,0.0,0.0
69,"Invoice Cloud, Inc. (16)",Provider of electronic payment processing solutions,First lien senior secured loan ($34.6 par due 2/2024),"7.50% (Libor + 3.25% Cash, 3.25% PIK/Q)",2/11/2019,34.6,34.6
70,"Invoice Cloud, Inc. (16)",Provider of electronic payment processing solutions,First lien senior secured loan ($14.0 par due 2/2024),"7.50% (Libor + 3.25% Cash, 3.25% PIK/Q)",2/11/2019,14.0,14.0
71,"IV Rollover Holdings, LLC",Solar power generation facility developer and operator,"Class X units (5,000,000 units)",0,5/31/2017,2.3,2.2
72,"IV Rollover Holdings, LLC",Solar power generation facility developer and operator,"Class B units (170,490 units)",0,5/31/2017,0.0,0.0
73,"Majesco and Magic Topco, L.P. (16)",Insurance software provider,First lien senior secured loan ($43.9 par due 9/2027),8.75% (Libor + 7.75%/Q),9/21/2020,43.9,43.9
74,"Majesco and Magic Topco, L.P. (16)",Insurance software provider,"Class A units (2,199 units)",9.00% PIK,9/21/2020,2.3,2.3
75,"Majesco and Magic Topco, L.P. (16)",Insurance software provider,"Class B units (494,157 units)",0,9/21/2020,0.0,0.4
76,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($9.3 par due 12/2022),5.00% (Libor + 4.00%/M),4/6/2017,9.3,9.3
77,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($4.8 par due 12/2022),5.00% (Libor + 4.00%/M),8/22/2017,4.8,4.8
78,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($90.0 par due 6/2023),10.25% (Libor + 9.25%/M),12/2/2016,89.7,90.0
79,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($16.6 par due 6/2023),10.25% (Libor + 9.25%/M),12/2/2016,16.6,16.6
80,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($9.2 par due 6/2023),10.25% (Libor + 9.25%/M),4/6/2017,9.2,9.2
81,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($4.7 par due 6/2023),10.25% (Libor + 9.25%/M),4/6/2017,4.7,4.7
82,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($17.9 par due 6/2023),10.25% (Libor + 9.25%/M),8/22/2017,17.9,17.9
83,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($10.3 par due 6/2023),9.00% (Libor + 8.00%/M),4/18/2018,10.3,10.3
84,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($38.6 par due 6/2023),9.00% (Libor + 8.00%/M),4/18/2018,38.6,38.6
85,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to faith-based institutions,"Class A units (500,000 units)",0,12/2/2016,5.0,5.8
86,MRI Software LLC (16),Provider of real estate and investment management software,First lien senior secured revolving loan ($0.2 par due 2/2026),6.50% (Libor + 5.50%/Q),2/10/2020,0.2,0.2
87,MRI Software LLC (16),Provider of real estate and investment management software,First lien senior secured loan ($50.2 par due 2/2026),6.50% (Libor + 5.50%/Q),2/10/2020,50.2,50.2
88,MRI Software LLC (16),Provider of real estate and investment management software,First lien senior secured loan ($1.9 par due 2/2026),6.50% PIK (Libor + 5.50%/Q),8/28/2020,1.9,1.9
89,"n2y Holding, LLC (16)",Developer of cloud-based special education platform,First lien senior secured revolving loan ($0.0 par due 11/2025),7.00% (Libor + 6.00%/Q),11/15/2019,0.0,0.0
90,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",First lien senior secured loan ($8.4 par due 10/2022),6.00% (Libor + 5.00%/Q),1/3/2017,8.3,8.4
91,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",Second lien senior secured loan ($31.0 par due 10/2023),9.50% (Libor + 8.50%/Q),1/3/2017,30.0,31.0
92,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",0,3/11/2016,0.2,0.0
93,"PaySimple, Inc. (16)",Provider of business management solutions,First lien senior secured loan ($49.7 par due 8/2025),5.61% (Libor + 5.50%/M),9/23/2020,49.7,49.2
94,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured loan ($53.9 par due 10/2024),5.50% (Libor + 4.50%/Q),3/19/2019,53.9,53.9
95,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($70.1 par due 10/2025),9.50% (Libor + 8.50%/Q),3/19/2019,70.1,70.1
96,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($8.3 par due 10/2025),9.50% (Libor + 8.50%/Q),12/17/2020,8.3,8.3
97,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,"Series A preferred stock (13,656 shares)",13.25% PIK,3/19/2019,17.6,17.9
98,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,"Class A units (2,062,493 units)",0,3/19/2019,2.1,2.6
99,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($19.9 par due 5/2025),6.75% (Libor + 5.75%/Q),5/29/2019,19.9,19.9
100,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($5.8 par due 5/2025),6.75% (Libor + 5.75%/Q),5/29/2019,5.8,5.8
101,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($5.8 par due 5/2025),7.25% (Libor + 6.25%/Q),6/24/2020,5.8,5.8
102,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($48.5 par due 5/2025),7.25% (Libor + 6.25%/Q),10/16/2020,48.5,48.5
103,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($1.8 par due 5/2025),7.25% (Libor + 6.25%/Q),10/16/2020,1.8,1.8
104,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,"Class A units (5,000 units)",0,5/29/2019,5.0,9.4
105,"Perforce Software, Inc. (16)",Developer of software used for application development,First lien senior secured revolving loan ($0.1 par due 7/2024),4.61% (Libor + 4.50%/M),7/1/2019,0.1,0.1
106,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",0,6/25/2015,0.1,0.0
107,"PracticeTek Purchaser, LLC and GSV PracticeTek Holdings, LLC (16)",Software provider for medical practitioners,First lien senior secured loan ($2.1 par due 3/2027),7.00% (Libor + 6.00%/Q),3/31/2021,2.1,2.1
108,"PracticeTek Purchaser, LLC and GSV PracticeTek Holdings, LLC (16)",Software provider for medical practitioners,First lien senior secured loan ($4.7 par due 3/2027),7.00% (Libor + 6.00%/Q),3/31/2021,4.7,4.7
109,"PracticeTek Purchaser, LLC and GSV PracticeTek Holdings, LLC (16)",Software provider for medical practitioners,"Class A units (2,724,000 units)",8.00% PIK,3/31/2021,2.7,2.7
110,"ProfitSolv Purchaser, Inc. and PS Co-Invest, L.P. (16)",Provider of practice management software to law firms,First lien senior secured loan ($28.3 par due 3/2027),6.25% (Libor + 5.25%/Q),3/5/2021,28.3,28.0
111,"ProfitSolv Purchaser, Inc. and PS Co-Invest, L.P. (16)",Provider of practice management software to law firms,"Limited partnership units (1,624,000 units)",0,3/5/2021,1.6,1.6
112,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class A common stock (7,445 shares)",0,8/22/2016,7.4,10.8
113,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class B common stock (1,841,609 shares)",0,8/22/2016,0.1,0.1
114,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured revolving loan,0,4/23/2020,0.0,0.0
115,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($44.4 par due 4/2027),9.25% (Libor + 8.25%/M),4/23/2020,44.4,44.4
116,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($13.0 par due 4/2027),9.25% (Libor + 8.25%/M),10/30/2020,13.0,13.0
117,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($14.6 par due 4/2027),9.25% (Libor + 8.25%/M),11/18/2020,14.6,14.6
118,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($4.9 par due 4/2027),9.25% (Libor + 8.25%/M),11/18/2020,4.9,4.9
119,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,"Class A units (1,599 units)",9.00% PIK,4/23/2020,1.7,1.6
120,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,"Class B units (588,636 units)",0,4/23/2020,0.0,0.0
121,"QF Holdings, Inc. (16)",SaaS based electronic health record software provider,First lien senior secured loan ($24.4 par due 9/2024),7.50% (Libor + 6.50%/Q),9/19/2019,24.4,24.4
122,"QF Holdings, Inc. (16)",SaaS based electronic health record software provider,First lien senior secured loan ($4.9 par due 9/2024),7.50% (Libor + 6.50%/Q),9/19/2019,4.9,4.9
123,"Raptor Technologies, LLC and Rocket Parent, LLC (16)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured revolving loan ($0.8 par due 12/2023),7.00% (Libor + 6.00%/M),12/17/2018,0.8,0.8
124,"Raptor Technologies, LLC and Rocket Parent, LLC (16)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured loan ($15.6 par due 12/2024),7.00% (Libor + 6.00%/Q),12/17/2018,15.6,15.2
125,"Raptor Technologies, LLC and Rocket Parent, LLC (16)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured loan ($5.3 par due 12/2024),7.00% (Libor + 6.00%/Q),12/17/2018,5.3,5.2
126,"Raptor Technologies, LLC and Rocket Parent, LLC (16)",Provider of SaaS-based safety and security software to the K-12 school market,"Class A common units (2,294,000 units)",0,12/17/2018,2.3,1.8
127,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,"Warrant to purchase up to 5,393,194 shares of common stock (expires 12/2026)",0,12/23/2016,0.0,0.0
128,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,Warrant to purchase up to 987 shares of common stock (expires 12/2026),0,12/23/2016,0.0,0.0
129,"Retriever Medical/Dental Payments LLC, FSDC Holdings, LLC, Rectangle Ware-Ever Pay LLC and Retriever Enterprises, LLC (16)",Provider of payment processing services and software to healthcare providers,First lien senior secured loan ($26.5 par due 2/2023),6.25% (Libor + 5.25%/Q),3/14/2019,26.5,26.5
130,"RMCF III CIV XXIX, L.P",Software provider for clinical trial management,Limited partnership interest (99.90% interest),0,12/19/2014,1.0,21.4
131,"Severin Acquisition, LLC, PeopleAdmin, Inc., Promachos Holding, Inc. and Performance Matters LLC (16)",Provider of student information system software solutions to the K-12 education market,First lien senior secured revolving loan ($4.3 par due 8/2023),3.38% (Libor + 3.25%/M),8/1/2018,4.3,4.2
132,"Severin Acquisition, LLC, PeopleAdmin, Inc., Promachos Holding, Inc. and Performance Matters LLC (16)",Provider of student information system software solutions to the K-12 education market,First lien senior secured loan ($4.0 par due 8/2025),5.50% (Libor + 4.50%/M),11/22/2019,4.0,4.0
133,"Severin Acquisition, LLC, PeopleAdmin, Inc., Promachos Holding, Inc. and Performance Matters LLC (16)",Provider of student information system software solutions to the K-12 education market,Second lien senior secured loan ($80.0 par due 8/2026),6.86% (Libor + 6.75%/M),6/12/2018,79.5,80.0
