,Industry,Company(1),Business Description,Investment,Interest(6)(12),Acquisition  Date,Amortized  Cost,Fair Value
26,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (25)",Correctional facility healthcare operator,"First lien senior secured loan ($6,635 par due 7/2021)",5.00% (Libor + 4.00%/Q),7/23/2014,6610.0,6170
27,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (25)",Correctional facility healthcare operator,"Second lien senior secured loan ($135,000 par due 7/2022)",9.38% (Libor + 8.38%/Q),7/23/2014,133932.0,121500
28,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (25)",Correctional facility healthcare operator,"Class A units (601,937 units)",,8/19/2010,0.0,661
29,Healthcare Services,"Correctional Medical Group Companies, Inc. (25)",Correctional facility healthcare operator,"First lien senior secured loan ($3,088 par due 9/2021)",9.59% (Libor + 8.59%/Q),9/29/2015,3088.0,3088
30,Healthcare Services,"Correctional Medical Group Companies, Inc. (25)",Correctional facility healthcare operator,"First lien senior secured loan ($4,093 par due 9/2021)",9.59% (Libor + 8.59%/Q),9/29/2015,4093.0,4093
31,Healthcare Services,"Correctional Medical Group Companies, Inc. (25)",Correctional facility healthcare operator,"First lien senior secured loan ($44,707 par due 9/2021)",9.59% (Libor + 8.59%/Q),9/29/2015,44707.0,44707
32,Healthcare Services,"DCA Investment Holding, LLC (25)",Multi-branded dental practice management,"First lien senior secured revolving loan ($1,605 par due 7/2021)",7.75%(Base Rate + 4.25%/Q),7/2/2015,1605.0,1572
33,Healthcare Services,"DCA Investment Holding, LLC (25)",Multi-branded dental practice management,"First lien senior secured loan ($19,041 par due 7/2021)",6.25% (Libor + 5.25%/Q),7/2/2015,18887.0,18660
34,Healthcare Services,"DNAnexus, Inc.",Bioinformatics company,"First lien senior secured loan ($10,500 par due 10/2018)",9.25% (Libor + 8.25%/M),3/21/2014,10232.0,10500
35,Healthcare Services,"DNAnexus, Inc.",Bioinformatics company,"Warrant to purchase up to 909,092 units of Series C preferred stock",,3/21/2014,0.0,250
36,Healthcare Services,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,"Class A common stock (2,991 shares)",,3/11/2014,2991.0,2991
37,Healthcare Services,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,Class B common stock (980 shares),,3/11/2014,30.0,4735
38,Healthcare Services,"Greenphire, Inc. and RMCF III CIV XXIX, L.P (25)",Software provider for clinical trial management,"First lien senior secured loan ($4,000 par due 12/2018)",9.00% (Libor + 8.00%/M),12/19/2014,4000.0,4000
39,Healthcare Services,"Greenphire, Inc. and RMCF III CIV XXIX, L.P (25)",Software provider for clinical trial management,Limited partnership interest (99.90% interest),,12/19/2014,999.0,999
40,Healthcare Services,"INC Research Mezzanine Co-Invest, LLC",Pharmaceutical and biotechnology consulting services,"Common units (1,410,000 units)",,9/27/2010,0.0,2796
41,Healthcare Services,Intermedix Corporation,Revenue cycle management provider to the emergency healthcare industry,"Second lien senior secured loan ($112,000 par due 6/2020)",9.25% (Libor + 8.25%/Q),12/27/2012,112000.0,107520
42,Healthcare Services,"LM Acquisition Holdings, LLC (9)",Developer and manufacturer of medical equipment,Class A units (426 units),,9/27/2013,660.0,1725
43,Healthcare Services,"MC Acquisition Holdings I, LLC",Healthcare professional provider,"Class A units (1,338,314 shares)",,1/17/2014,1338.0,1352
44,Healthcare Services,MW Dental Holding Corp. (25),Dental services provider,"First lien senior secured revolving loan ($2,000 par due 4/2018)",8.50% (Libor + 7.00%/Q),4/12/2011,2000.0,2000
45,Healthcare Services,MW Dental Holding Corp. (25),Dental services provider,"First lien senior secured loan ($50,219 par due 4/2018)",8.50% (Libor + 7.00%/Q),4/12/2011,50219.0,50219
46,Healthcare Services,MW Dental Holding Corp. (25),Dental services provider,"First lien senior secured loan ($47,620 par due 4/2018)",8.50% (Libor + 7.00%/Q),4/12/2011,47620.0,47620
47,Healthcare Services,MW Dental Holding Corp. (25),Dental services provider,"First lien senior secured loan ($19,693 par due 4/2018)",8.50% (Libor + 7.00%/Q),4/12/2011,19693.0,19693
48,Healthcare Services,"My Health Direct, Inc. (25)",Healthcare scheduling exchange software solution provider,"First lien senior secured loan ($2,200 par due 1/2018)",10.75%,9/18/2014,2162.0,2200
49,Healthcare Services,"My Health Direct, Inc. (25)",Healthcare scheduling exchange software solution provider,"Warrant to purchase up to 4,548 shares of Series D preferred stock",,9/18/2014,39.0,40
50,Healthcare Services,Napa Management Services Corporation,Anesthesia management services provider,"First lien senior secured loan ($16,000 par due 2/2019)",9.95% (Libor + 8.95%/Q),4/15/2011,16000.0,16000
51,Healthcare Services,Napa Management Services Corporation,Anesthesia management services provider,"First lien senior secured loan ($54,000 par due 2/2019)",9.95% (Libor + 8.95%/Q),4/15/2011,53967.0,54000
52,Healthcare Services,Napa Management Services Corporation,Anesthesia management services provider,"Common units (5,345 units)",,4/15/2011,5764.0,20035
53,Healthcare Services,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"Second lien senior secured loan ($90,000 par due 8/2019)",10.50% (Libor + 9.50%/Q),2/27/2015,90000.0,90000
54,Healthcare Services,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"Common stock (2,500,000 shares)",,6/21/2010,760.0,8891
55,Healthcare Services,"New Trident Holdcorp, Inc.",Outsourced mobile diagnostic healthcare service provider,"Second lien senior secured loan ($80,000 par due 7/2020)",10.25% (Libor + 9.00%/Q),8/6/2013,78965.0,76800
56,Healthcare Services,"Nodality, Inc.",Biotechnology company,"First lien senior secured loan ($2,266 par due 5/2016)",,11/12/2015,2173.0,2266
57,Healthcare Services,"Nodality, Inc.",Biotechnology company,"First lien senior secured loan ($10,365 par due 5/2016)",,4/25/2014,9694.0,1555
58,Healthcare Services,"Nodality, Inc.",Biotechnology company,"Warrant to purchase up to 225,746 shares of Series B preferred stock",,4/25/2014,0.0,0
59,Healthcare Services,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC (25)",Provider of technology-enabled solutions to pharmacies,"First lien senior secured loan ($12,204 par due 11/2018)",8.50% (Libor + 7.50%/Q),11/21/2013,12204.0,12204
60,Healthcare Services,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC (25)",Provider of technology-enabled solutions to pharmacies,"First lien senior secured loan ($6,858 par due 11/2018)",8.50% (Libor + 7.50%/Q),11/21/2013,6858.0,6858
61,Healthcare Services,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC (25)",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),,11/21/2013,1000.0,1051
62,Healthcare Services,"Patterson Medical Supply, Inc.",Distributor of rehabilitation supplies and equipment,"Second lien senior secured loan ($19,000 par due 8/2023)",8.75% (Libor + 7.75%/Q),9/2/2015,18822.0,18430
63,Healthcare Services,"PerfectServe, Inc. (25)",Communications software platform provider for hospitals and physician practices,"First lien senior secured loan ($9,000 par due 3/2020)",9.00% (Libor + 8.00%/M),9/15/2015,8680.0,9000
64,Healthcare Services,"PerfectServe, Inc. (25)",Communications software platform provider for hospitals and physician practices,"First lien senior secured loan ($2,000 par due 7/2020)",9.00% (Libor + 8.00%/M),9/15/2015,1962.0,2000
65,Healthcare Services,"PerfectServe, Inc. (25)",Communications software platform provider for hospitals and physician practices,"First lien senior secured loan ($1,000 par due 6/2021)",9.00% (Libor + 8.00%/M),9/15/2015,980.0,1000
66,Healthcare Services,"PerfectServe, Inc. (25)",Communications software platform provider for hospitals and physician practices,"Warrant to purchase up to 28,428 shares of Series C preferred stock",,9/15/2015,180.0,211
67,Healthcare Services,"PerfectServe, Inc. (25)",Communications software platform provider for hospitals and physician practices,"Warrant to purchase up to 34,113 units of Series C preferred stock",,12/26/2013,0.0,253
68,Healthcare Services,PhyMED Management LLC,Provider of anesthesia services,"Second lien senior secured loan ($47,239 par due 5/2021)",9.75% (Libor + 8.75%/Q),12/18/2015,46549.0,44877
69,Healthcare Services,"POS I Corp. (fka Vantage Oncology, Inc.)",Radiation oncology care provider,"Common stock (62,157 shares)",,2/3/2011,4670.0,3254
70,Healthcare Services,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock",,6/28/2012,38.0,28
71,Healthcare Services,"Sage Products Holdings III, LLC",Patient infection control and preventive care solutions provider,"Second lien senior secured loan ($108,679 par due 6/2020)",9.25% (Libor + 8.00%/Q),12/13/2012,108523.0,108679
72,Healthcare Services,"Sarnova HC, LLC, Tri-Anim Health Services, Inc., and BEMS Holdings, LLC",Distributor of emergency medical service and respiratory products,"Second lien senior secured loan ($54,000 par due 7/2022)",10.50% (Libor + 9.50%/Q),1/29/2016,54000.0,54000
73,Healthcare Services,"Transaction Data Systems, Inc.",Pharmacy management software provider,"Second lien senior secured loan ($27,500 par due 6/2022)",9.25% (Libor + 8.25%/Q),6/15/2015,27500.0,26950
74,Healthcare Services,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,"Second lien senior secured loan ($23,500 par due 9/2020)",10.25% (Libor + 9.25%/Q),12/14/2015,23500.0,23500
75,Healthcare Services,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,"Second lien senior secured loan ($50,000 par due 9/2020)",10.25% (Libor + 9.25%/Q),9/24/2014,50000.0,50000
76,Healthcare Services,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC (25)",Operator of urgent care clinics,"First lien senior secured loan ($13,965 par due 12/2022)",7.00% (Libor + 6.00%/Q),12/1/2015,13965.0,13685
77,Healthcare Services,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC (25)",Operator of urgent care clinics,"First lien senior secured loan ($54,588 par due 12/2022)",7.00% (Libor + 6.00%/Q),12/1/2015,54588.0,53496
78,Healthcare Services,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC (25)",Operator of urgent care clinics,"Preferred units (7,494,819 units)",,6/11/2015,7495.0,7907
79,Healthcare Services,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC (25)",Operator of urgent care clinics,"Series A common units (2,000,000 units)",,6/11/2015,2000.0,1262
80,Healthcare Services,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC (25)",Operator of urgent care clinics,"Series C common units (999,943 units)",,6/11/2015,0.0,516
81,Healthcare Services,"VistaPharm, Inc. and Vertice Pharma UK Parent Limited",Manufacturer and distributor of generic pharmaceutical products,"First lien senior secured loan ($5,137 par due 12/2021)",6.50% (Libor + 5.50%/Q),12/21/2015,5137.0,5137
82,Healthcare Services,"VistaPharm, Inc. and Vertice Pharma UK Parent Limited",Manufacturer and distributor of generic pharmaceutical products,"Preferred shares (40,662 shares)",,12/21/2015,407.0,418
83,Healthcare Services,"Young Innovations, Inc.",Dental supplies and equipment manufacturer,"Second lien senior secured loan ($45,000 par due 7/2019)",9.00% (Libor + 8.00%/Q),5/30/2014,45000.0,45000
84,Healthcare Services,"Young Innovations, Inc.",Dental supplies and equipment manufacturer,,,,1336184.0,1335501
85,Other Services,American Residential Services L.L.C.,"Heating, ventilation and air conditioning services provider","Second lien senior secured loan ($50,000 par due 12/2021)",8.50% (Libor + 7.50%/Q),6/30/2014,49617.0,50000
86,Other Services,"Community Education Centers, Inc. and CEC Parent Holdings LLC (8)",Offender re-entry and in-prison treatment services provider,"First lien senior secured loan ($13,612 par due 12/2017)",6.25% (Libor + 5.25%/Q),12/10/2010,13612.0,13612
87,Other Services,"Community Education Centers, Inc. and CEC Parent Holdings LLC (8)",Offender re-entry and in-prison treatment services provider,First lien senior secured loan ($673 par due 12/2017),7.75%(Base Rate + 4.25%/Q),12/10/2010,673.0,673
88,Other Services,"Community Education Centers, Inc. and CEC Parent Holdings LLC (8)",Offender re-entry and in-prison treatment services provider,"Second lien senior secured loan ($21,895 par due 6/2018)",15.62% (Libor + 15.00%/Q),12/10/2010,21895.0,21895
89,Other Services,"Community Education Centers, Inc. and CEC Parent Holdings LLC (8)",Offender re-entry and in-prison treatment services provider,"Class A senior preferred units (7,846 units)",,3/27/2015,9384.0,10150
90,Other Services,"Community Education Centers, Inc. and CEC Parent Holdings LLC (8)",Offender re-entry and in-prison treatment services provider,"Class A junior preferred units (26,154 units)",,3/27/2015,20168.0,16310
91,Other Services,"Community Education Centers, Inc. and CEC Parent Holdings LLC (8)",Offender re-entry and in-prison treatment services provider,Class A common units (134 units),,3/27/2015,0.0,0
92,Other Services,"Competitor Group, Inc., Calera XVI, LLC and Champion Parent Corporation (8)(25)",Endurance sports media and event operator,"First lien senior secured revolving loan ($4,476 par due 11/2018)",5.00% (Libor + 3.75%/Q),11/30/2012,4472.0,4476
93,Other Services,"Competitor Group, Inc., Calera XVI, LLC and Champion Parent Corporation (8)(25)",Endurance sports media and event operator,"First lien senior secured loan ($38,063 par due 11/2018)",5.00% (Libor + 3.75%/Q),11/30/2012,38028.0,38063
94,Other Services,"Competitor Group, Inc., Calera XVI, LLC and Champion Parent Corporation (8)(25)",Endurance sports media and event operator,"Preferred shares (18,875 shares)",,3/25/2016,15966.0,508
95,Other Services,"Competitor Group, Inc., Calera XVI, LLC and Champion Parent Corporation (8)(25)",Endurance sports media and event operator,"Membership units (2,522,512 units)",,11/30/2012,2523.0,0
96,Other Services,"Competitor Group, Inc., Calera XVI, LLC and Champion Parent Corporation (8)(25)",Endurance sports media and event operator,"Common shares (114,000 shares)",,3/25/2016,0.0,0
97,Other Services,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC (7)(25)",Provider of outsourced healthcare linen management solutions,"First lien senior secured revolving loan ($1,700 par due 3/2019)",7.25% (Libor + 6.00%/Q),3/13/2014,1700.0,1700
98,Other Services,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC (7)(25)",Provider of outsourced healthcare linen management solutions,"First lien senior secured loan ($18,323 par due 3/2019)",7.25% (Libor + 6.00%/Q),3/13/2014,18323.0,18323
99,Other Services,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC (7)(25)",Provider of outsourced healthcare linen management solutions,"Class A preferred units (2,475,000 units)",,3/13/2014,2475.0,3112
100,Other Services,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC (7)(25)",Provider of outsourced healthcare linen management solutions,"Class B common units (275,000 units)",,3/13/2014,275.0,345
101,Other Services,"Dwyer Acquisition Parent, Inc. and TDG Group Holding Company",Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Senior subordinated loan ($31,500 par due 2/2020)",11.00%,6/12/2015,31500.0,31500
102,Other Services,"Dwyer Acquisition Parent, Inc. and TDG Group Holding Company",Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Senior subordinated loan ($52,670 par due 2/2020)",11.00%,8/15/2014,52670.0,52670
103,Other Services,"Dwyer Acquisition Parent, Inc. and TDG Group Holding Company",Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Common stock (32,843 shares)",,8/15/2014,3378.0,4403
104,Other Services,"Massage Envy, LLC (25)",Franchisor in the massage industry,"First lien senior secured loan ($8,016 par due 9/2018)",8.50% (Libor + 7.25%/Q),9/27/2012,8016.0,8016
105,Other Services,"Massage Envy, LLC (25)",Franchisor in the massage industry,"First lien senior secured loan ($46,429 par due 9/2018)",8.50% (Libor + 7.25%/Q),9/27/2012,46429.0,46429
106,Other Services,"Massage Envy, LLC (25)",Franchisor in the massage industry,"First lien senior secured loan ($19,467 par due 9/2018)",8.50% (Libor + 7.25%/Q),9/27/2012,19467.0,19467
107,Other Services,"Massage Envy, LLC (25)",Franchisor in the massage industry,"Common stock (3,000,000 shares)",,9/27/2012,3000.0,5378
108,Other Services,"McKenzie Sports Products, LLC (25)","Designer, manufacturer and distributor of hunting-related supplies","First lien senior secured loan ($39,500 par due 9/2020)",6.75% (Libor + 5.75%/Q),9/18/2014,39500.0,37920
109,Other Services,"McKenzie Sports Products, LLC (25)","Designer, manufacturer and distributor of hunting-related supplies","First lien senior secured loan ($45,000 par due 9/2020)",6.75% (Libor + 5.75%/Q),9/18/2014,45000.0,43200
110,Other Services,"OpenSky Project, Inc. and OSP Holdings, Inc.",Social commerce platform operator,"First lien senior secured loan ($1,800 par due 9/2017)",10.00%,6/4/2014,1788.0,1800
111,Other Services,"OpenSky Project, Inc. and OSP Holdings, Inc.",Social commerce platform operator,"Warrant to purchase up to 159,496 shares of Series D preferred stock",,6/29/2015,48.0,0
112,Other Services,"Osmose Holdings, Inc.",Provider of structural integrity management services to transmission and distribution infrastructure,"Second lien senior secured loan ($25,000 par due 8/2023)",8.75% (Libor + 7.75%/Q),9/3/2015,24536.0,24250
113,Other Services,"PODS, LLC",Storage and warehousing,"Second lien senior secured loan ($17,500 par due 2/2023)",9.25% (Libor + 8.25%/Q),2/2/2015,17349.0,17500
114,Other Services,"SocialFlow, Inc.",Social media optimization platform provider,"First lien senior secured loan ($4,000 par due 8/2019)",9.50% (Libor + 8.50%/M),1/29/2016,3905.0,4000
115,Other Services,"SocialFlow, Inc.",Social media optimization platform provider,"Warrant to purchase up to 215,331 shares of Series C preferred stock",,1/29/2016,0.0,25
116,Other Services,Spin HoldCo Inc.,Laundry service and equipment provider,"Second lien senior secured loan ($140,000 par due 5/2020)",8.00% (Libor + 7.00%/Q),5/14/2013,140000.0,133000
117,Other Services,"Surface Dive, Inc.",SCUBA diver training and certification provider,"Second lien senior secured loan ($53,686 par due 1/2022)",9.00% (Libor + 8.00%/Q),7/28/2015,53686.0,53686
118,Other Services,"Surface Dive, Inc.",SCUBA diver training and certification provider,"Second lien senior secured loan ($72,000 par due 1/2022)",10.25% (Libor + 9.25%/Q),1/29/2015,71628.0,72000
119,Other Services,"TWH Water Treatment Industries, Inc., TWH Filtration Industries, Inc. and TWH Infrastructure Industries, Inc. (25)","Wastewater infrastructure repair, treatment and filtration holding company","First lien senior secured loan ($5,370 par due 10/2019)",10.25% (Libor + 9.25%/Q),10/10/2014,5370.0,5370
120,Other Services,"TWH Water Treatment Industries, Inc., TWH Filtration Industries, Inc. and TWH Infrastructure Industries, Inc. (25)","Wastewater infrastructure repair, treatment and filtration holding company","First lien senior secured loan ($36,400 par due 10/2019)",10.25% (Libor + 9.25%/Q),10/10/2014,36400.0,36400
121,Other Services,"U.S. Security Associates Holdings, Inc",Security guard service provider,"Second lien senior secured loan ($25,000 par due 7/2018)",11.00%,11/24/2015,25000.0,25000
122,Other Services,WASH Multifamily Acquisition Inc. and Coinamatic Canada Inc.,Laundry service and equipment provider,"Second lien senior secured loan ($3,726 par due 5/2023)",8.00% (Libor + 7.00%/Q),5/14/2015,3659.0,3539
123,Other Services,WASH Multifamily Acquisition Inc. and Coinamatic Canada Inc.,Laundry service and equipment provider,"Second lien senior secured loan ($21,274 par due 5/2023)",8.00% (Libor + 7.00%/Q),5/14/2015,20893.0,20210
124,Other Services,Wrench Group LLC,Provider of essential home services to residential customers,"First lien senior secured loan ($10,000 par due 3/2022)",7.75%(Base Rate + 4.25%/Q),3/2/2016,10000.0,10000
125,Other Services,Wrench Group LLC,Provider of essential home services to residential customers,,,,862333.0,834930
126,Consumer Products,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,"First lien senior secured loan ($4,500 par due 3/2019)",4.00% (Libor + 3.00%/Q),4/24/2014,4500.0,4365
127,Consumer Products,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,"First lien senior secured loan ($9,500 par due 3/2019)",6.55% (Libor + 5.55%/Q),4/24/2014,9500.0,9120
128,Consumer Products,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,"First lien senior secured loan ($6,710 par due 3/2019)",4.00% (Libor + 3.00%/Q),4/24/2014,6710.0,6508
129,Consumer Products,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,"First lien senior secured loan ($50,100 par due 3/2019)",6.55% (Libor + 5.55%/Q),4/24/2014,50100.0,48096
130,Consumer Products,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,Common units (300 units),,4/24/2014,3733.0,3574
131,Consumer Products,Indra Holdings Corp.,"Designer, marketer, and distributor of rain and cold weather products","Second lien senior secured loan ($80,000 par due 11/2021)",8.50% (Libor + 7.50%/Q),5/1/2014,79030.0,66400
132,Consumer Products,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of OTC healthcare products,"Warrant to purchase up to 1,120 shares of preferred stock",,7/27/2011,0.0,1369
133,Consumer Products,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of OTC healthcare products,"Warrant to purchase up to 1,654,678 shares of common stock",,7/27/2011,0.0,613
134,Consumer Products,"Oak Parent, Inc.",Manufacturer of athletic apparel,"First lien senior secured loan ($2,493 par due 4/2018)",7.61% (Libor + 7.00%/Q),4/2/2012,2490.0,2493
135,Consumer Products,"Oak Parent, Inc.",Manufacturer of athletic apparel,"First lien senior secured loan ($7,937 par due 4/2018)",7.61% (Libor + 7.00%/Q),4/2/2012,7923.0,7937
136,Consumer Products,"PG-ACP Co-Invest, LLC","Supplier of medical uniforms, specialized medical footwear and accessories","Class A membership units (1,000,0000 units)",,8/29/2012,1000.0,2151
137,Consumer Products,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"Second lien senior secured loan ($2,000 par due 6/2021)",9.54% (Libor + 8.54%/Q),12/23/2014,1996.0,2000
138,Consumer Products,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"Second lien senior secured loan ($54,000 par due 6/2021)",9.54% (Libor + 8.54%/Q),12/23/2014,53749.0,54000
139,Consumer Products,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"Second lien senior secured loan ($10,000 par due 6/2021)",9.54% (Libor + 8.54%/Q),12/23/2014,9957.0,10000
140,Consumer Products,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"Common stock (30,000 shares)",,12/23/2014,3000.0,4623
141,Consumer Products,SHO Holding I Corporation,Manufacturer and distributor of slip resistant footwear,"Second lien senior secured loan ($100,000 par due 4/2023)",9.50% (Libor + 8.50%/Q),10/27/2015,97582.0,98000
142,Consumer Products,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (7)","Developer, marketer and distributor of sports protection equipment and accessories.","Second lien senior secured loan ($35,425 par due 10/2021)",11.50% (Libor + 10.50%/Q),4/22/2015,35425.0,35425
143,Consumer Products,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (7)","Developer, marketer and distributor of sports protection equipment and accessories.","Second lien senior secured loan ($54,000 par due 10/2021)",11.50% (Libor + 10.50%/Q),4/22/2015,54000.0,54000
144,Consumer Products,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (7)","Developer, marketer and distributor of sports protection equipment and accessories.","Class A preferred units (50,000 units)",,3/14/2014,5000.0,5245
