,Company(1),Industry,,Investment,Interest(5)(10),Acquisition  Date,,Amortized  Cost,Fair Value
46,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",Healthcare technology provider,0,Senior secured loan ($250 par due 5/2014),8.25% (Libor + 7.00%/Q),5/9/2008,0,250.0,250.0
47,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,0,"Senior secured loan ($10,877 par due 5/2014)",8.25% (Libor + 7.00%/Q ),5/9/2008,0,10877.0,10877.0
48,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,0,Senior secured loan ($231 par due 5/2014),8.25% (Libor + 7.00%/Q ),5/9/2008,0,231.0,231.0
49,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,0,"Senior secured loan ($10,041 par due 5/2014)",8.25% (Libor + 7.00%/Q ),5/9/2008,0,10041.0,10041.0
50,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,0,"Series A preferred stock (1,594,457 shares)",0,7/30/2008,0,11156.0,8191.0
51,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,0,"Common stock (16,106 shares)",0,7/30/2008,0,100.0,0.0
52,"PG Mergersub, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system",0,"Senior secured loan ($1,097 par due 11/2015)",6.75% (Libor + 5.00%/Q),11/3/2010,0,1096.0,1097.0
53,"PG Mergersub, Inc.",0,0,"Senior secured loan ($9,177 par due 11/2015)",6.75% (Libor + 5.00%/Q ),11/3/2010,0,9150.0,9177.0
54,"PG Mergersub, Inc.",0,0,"Senior subordinated loan ($4,000 par due 3/2016)",12.50%,3/12/2008,0,3950.0,4000.0
55,"PG Mergersub, Inc.",0,0,Preferred stock (333 shares),0,3/12/2008,0,125.0,12.0
56,"PG Mergersub, Inc.",0,0,"Common stock (16,667 shares)",0,3/12/2008,0,167.0,601.0
57,"Reed Group, Ltd.",Medical disability management services provider,0,"Senior secured revolving loan ($1,250 par due 12/2013)",0,4/1/2010,0,1097.0,1063.0
58,"Reed Group, Ltd.",0,0,"Senior secured loan ($10,755 par due 12/2013)",0,4/1/2010,0,9129.0,9142.0
59,"Reed Group, Ltd.",0,0,"Senior subordinated loan ($19,625 par due 12/2013)",0,4/1/2010,0,15918.0,10725.0
60,"Reed Group, Ltd.",0,0,Equity interests,0,4/1/2010,0,203.0,0.0
61,"Regency Healthcare Group, LLC (6)",Hospice provider,0,"Preferred member interest (1,293,960 units)",0,4/1/2010,0,2007.0,2310.0
62,"Soteria Imaging Services, LLC (6)",Outpatient medical imaging provider,0,"Junior secured loan ($1,352 par due 11/2010)",0,4/1/2010,0,1309.0,971.0
63,"Soteria Imaging Services, LLC (6)",0,0,"Junior secured loan ($1,955 par due 11/2010)",0,4/1/2010,0,1894.0,1404.0
64,"Soteria Imaging Services, LLC (6)",0,0,"Preferred member interest (1,823,179 units)",0,4/1/2010,0,0.0,0.0
65,"Sunquest Information Systems, Inc.",Laboratory software solutions provider,0,"Junior secured loan ($38,000 par due 6/2017)",9.75% (Libor + 8.50%/Q),12/16/2010,0,38000.0,38000.0
66,"Sunquest Information Systems, Inc.",0,0,"Junior secured loan ($57,000 par due 6/2017)",9.75% (Libor + 8.50%/M),12/16/2010,0,57000.0,57000.0
67,"Sunquest Information Systems, Inc.",0,0,"Junior secured loan ($20,000 par due 6/2017)",9.75% (Libor + 8.50%/M),12/16/2010,0,20000.0,20000.0
68,"Sunquest Information Systems, Inc.",0,0,"Junior secured loan ($30,000 par due 6/2017)",9.75% (Libor + 8.50%/M),12/16/2010,0,30000.0,30000.0
69,"U.S. Renal Care, Inc.",Dialysis provider,0,"Senior subordinated loan ($20,336 par due 5/2017)","11.25% Cash, 2.00% PIK",5/24/2010,0,20336.0,20336.0
70,Univita Health Inc.,Outsourced services provider,0,"Senior subordinated loan ($21,252 par due 12/2014)","12.00% Cash, 3.00% PIK",12/22/2009,0,21252.0,21252.0
71,"Vantage Oncology, Inc.",Radiation oncology care provider,0,"Common stock (62,157 shares)",0,2/3/2011,0,4670.0,6218.0
72,Aviation Properties Corporation (7),Aviation services,0,Common stock (100 shares),0,4/1/2010,0,0.0,0.0
73,BenefitMall Holdings Inc. (7),Employee benefits broker services company,0,"Senior subordinated loan ($40,326 par due 6/2014)",18.00%,4/1/2010,0,40326.0,40326.0
74,BenefitMall Holdings Inc. (7),0,0,"Common stock (39,274,290 shares)",0,4/1/2010,0,53510.0,51321.0
75,BenefitMall Holdings Inc. (7),0,0,Warrants,0,4/1/2010,0,0.0,0.0
76,CitiPostal Inc. (7),Document storage and management services,0,Senior secured revolving loan ($691 par due 12/2013),6.50% (Libor + 4.50%/M),4/1/2010,0,691.0,691.0
77,CitiPostal Inc. (7),0,0,Senior secured revolving loan ($900 par due 12/2013),6.50% (Libor + 4.50%/M ),4/1/2010,0,900.0,900.0
78,CitiPostal Inc. (7),0,0,"Senior secured revolving loan ($1,250 par due 12/2013)",6.75% (Base Rate + 3.25%/M ),4/1/2010,0,1250.0,1250.0
79,CitiPostal Inc. (7),0,0,Senior secured loan ($479 par due 12/2013),"11.00% Cash, 2.00% PIK",4/1/2010,0,479.0,479.0
80,CitiPostal Inc. (7),0,0,"Senior secured loan ($49,086 par due 12/2013)","11.00% Cash, 2.00% PIK",4/1/2010,0,49086.0,49086.0
81,CitiPostal Inc. (7),0,0,"Senior subordinated loan ($13,038 par due 12/2015)",0,4/1/2010,0,13038.0,6971.0
82,CitiPostal Inc. (7),0,0,"Common stock (37,024 shares)",0,4/1/2010,0,0.0,0.0
83,"Cook Inlet Alternative Risk, LLC",Risk management services,0,"Senior secured loan ($40,000 par due 4/2013)",8.50%,4/1/2010,0,25124.0,24423.0
84,"Cook Inlet Alternative Risk, LLC",0,0,"Senior secured loan ($44,346 par due 4/2013)",8.50%,4/1/2010,0,26665.0,27077.0
85,"Cook Inlet Alternative Risk, LLC",0,0,Member interest (3.17%),0,4/1/2010,0,0.0,0.0
86,"Coverall North America, Inc.",Commercial janitorial service provider,0,"Senior subordinated loan ($9,291 par due 2/2016)","10.00% Cash, 2.00% PIK",2/22/2011,0,9291.0,9291.0
87,"Digital Videostream, LLC",Media content supply chain services company,0,Senior secured loan ($253 par due 2/2012),"10.00% Cash, 1.00% PIK",4/1/2010,0,253.0,253.0
88,"Digital Videostream, LLC",0,0,Senior secured loan ($10 par due 2/2012),"10.00% Cash, 1.00% PIK",4/1/2010,0,10.0,10.0
89,"Digital Videostream, LLC",0,0,"Senior secured loan ($4,179 par due 2/2012)","10.00% Cash, 1.00% PIK",4/1/2010,0,4159.0,4179.0
90,"Digital Videostream, LLC",0,0,"Convertible subordinated loan ($5,676 par due 2/2016)",10.00% PIK,4/1/2010,0,6116.0,5772.0
91,"Diversified Collections Services, Inc.",Collections services,0,"Senior secured loan ($6,921 par due 3/2012)",7.50% (Libor + 5.50%/Q),4/1/2010,0,6921.0,6921.0
92,"Diversified Collections Services, Inc.",0,0,"Senior secured loan ($34,000 par due 9/2012)",13.75% (Libor + 11.75%/Q ),4/1/2010,0,34000.0,34000.0
93,"Diversified Collections Services, Inc.",0,0,"Senior secured loan ($2,000 par due 9/2012)",13.75% (Libor + 11.75%/Q),4/1/2010,0,2000.0,2000.0
94,"Diversified Collections Services, Inc.",0,0,"Preferred stock (14,927 shares)",0,5/18/2006,0,169.0,294.0
95,"Diversified Collections Services, Inc.",0,0,"Common stock (478,816 shares)",0,4/1/2010,0,1478.0,1537.0
96,"Diversified Collections Services, Inc.",0,0,"Common stock (114,004 shares)",0,2/5/2005,0,295.0,426.0
97,"Diversified Mercury Communications, LLC",Business media consulting services,0,"Senior secured loan ($1,590 par due 3/2013)",8.00% (Base Rate + 4.50%/Q),4/1/2010,0,1460.0,1431.0
98,"Impact Innovations Group, LLC (7)",IT consulting and outsourcing services,0,Member interest (50% interest),0,4/1/2010,0,0.0,0.0
99,"Investor Group Services, LLC (6)",Business consulting for private equity and corporate clients,0,Limited liability company membership interest (10.00% interest),0,6/22/2006,0,0.0,558.0
100,"Multi-Ad Services, Inc. (6)",Marketing services and software provider,0,"Preferred stock (1,725,280 units)",0,4/1/2010,0,788.0,2159.0
101,"Multi-Ad Services, Inc. (6)",0,0,"Common stock (1,725,280 units)",0,4/1/2010,0,0.0,0.0
102,"MVL Group, Inc. (7)",Marketing research provider,0,"Senior secured loan ($22,772 par due 7/2012)",12.00%,4/1/2010,0,22772.0,22772.0
103,"MVL Group, Inc. (7)",0,0,"Senior subordinated loan ($35,180 par due 7/2012)","12.00% Cash, 2.50% PIK",4/1/2010,0,34280.0,35180.0
104,"MVL Group, Inc. (7)",0,0,Junior subordinated loan ($144 par due 7/2012),8.00%,4/1/2010,0,0.0,105.0
105,"MVL Group, Inc. (7)",0,0,"Common stock (560,716 shares)",0,4/1/2010,0,0.0,0.0
106,"PC Helps Support, LLC",Technology support provider,0,"Senior secured loan ($6,106 par due 12/2013)",3.56% (Libor + 3.25%/Q),4/1/2010,0,6106.0,6106.0
107,"PC Helps Support, LLC",0,0,"Senior subordinated loan ($19,956 par due 12/2013)",12.76%,4/1/2010,0,19956.0,19956.0
108,Pillar Processing LLC and PHL Holding Co. (6),Mortgage services,0,"Senior secured loan ($1,875 par due 5/2014)",14.50%,7/31/2008,0,1875.0,1875.0
109,Pillar Processing LLC and PHL Holding Co. (6),0,0,"Senior secured loan ($5,500 par due 5/2014)",14.50%,7/31/2008,0,5500.0,5500.0
110,Pillar Processing LLC and PHL Holding Co. (6),0,0,"Senior secured loan ($9,730 par due 11/2013)",5.81% (Libor + 5.50%/Q),11/20/2007,0,9730.0,9730.0
111,Pillar Processing LLC and PHL Holding Co. (6),0,0,"Senior secured loan ($6,074 par due 11/2013)",5.81% (Libor + 5.50%/Q),11/20/2007,0,6074.0,6074.0
112,Pillar Processing LLC and PHL Holding Co. (6),0,0,Common stock (85 shares),0,11/20/2007,0,3768.0,4256.0
113,"Primis Marketing Group, Inc. and Primis Holdings, LLC (6)",Database marketing services,0,"Senior subordinated loan ($10,222 par due 2/2013)",0,8/24/2006,0,10222.0,102.0
114,"Primis Marketing Group, Inc. and Primis Holdings, LLC (6)",0,0,"Preferred units (4,000 units)",0,8/24/2006,0,3600.0,0.0
115,"Primis Marketing Group, Inc. and Primis Holdings, LLC (6)",0,0,"Common units (4,000,000 units)",0,8/24/2006,0,400.0,0.0
116,"Prommis Solutions, LLC, E-Default Services, LLC, Statewide Tax and Title Services, LLC &",Bankruptcy and foreclosure processing services,0,"Senior subordinated loan ($16,788 par due 2/2014)",0,2/8/2007,0,16788.0,15109.0
117,"Statewide Publishing Services, LLC (formerly known as MR Processing Holding Corp.)",0,0,"Senior subordinated loan ($27,032 par due 2/2014)",0,2/8/2007,0,27032.0,24328.0
118,"Statewide Publishing Services, LLC (formerly known as MR Processing Holding Corp.)",0,0,"Preferred units (30,000 units)",0,4/11/2006,0,3000.0,0.0
119,"Promo Works, LLC",Marketing services,0,"Senior secured loan ($8,498 par due 12/2013)",0,4/1/2010,0,4949.0,4630.0
120,R2 Acquisition Corp.,Marketing services,0,"Common stock (250,000 shares)",0,5/29/2007,0,250.0,281.0
121,"Summit Business Media, LLC",Business media consulting services,0,"Junior secured loan ($11,930 par due 7/2014)",0,8/3/2007,0,10276.0,239.0
122,"Summit Energy Services, Inc.",Energy management consulting services,0,"Common stock (38,796 shares)",0,4/1/2010,0,222.0,2088.0
123,"Summit Energy Services, Inc.",0,0,"Common stock (385,608 shares)",0,4/1/2010,0,2336.0,1897.0
124,"Tradesmen International, Inc.",Construction labor support,0,"Junior secured loan ($20,000 par due 5/2014)",10.00%,4/1/2010,0,14648.0,20000.0
125,"Tradesmen International, Inc.",0,0,"Warrants to purchase up to 771,036 shares",0,4/1/2010,0,0.0,2818.0
126,"Venturehouse-Cibernet Investors, LLC",Financial settlement services for intercarrier wireless roaming,0,Equity interest,0,4/1/2010,0,0.0,0.0
127,"Venturehouse-Cibernet Investors, LLC",0,0,Equity interest,0,4/1/2010,0,0.0,0.0
128,"VSS-Tranzact Holdings, LLC (6)",Management consulting services,0,Common membership interest (8.51% interest),0,10/26/2007,0,10204.0,6650.0
129,"ADF Capital, Inc. & ADF Restaurant Group, LLC",Restaurant owner and operator,0,"Senior secured revolving loan ($2,010 par due 11/2012)",6.50% (Libor + 3.50%/Q ),11/27/2006,0,2010.0,2010.0
130,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,0,Senior secured revolving loan ($108 par due 11/2012),6.50% (Base Rate + 2.50%/Q ),11/27/2006,0,108.0,108.0
131,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,0,"Senior secured loan ($12,598 par due 11/2013)",12.50% (Libor + 9.50%/Q ),11/27/2006,0,12601.0,12598.0
132,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,0,"Senior secured loan ($10,504 par due 11/2013)",12.50% (Libor + 9.50%/Q ),11/27/2006,0,10504.0,10504.0
133,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,0,"Promissory note ($14,897 par due 11/2016)",0,6/1/2006,0,14886.0,15069.0
134,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,0,Warrants to purchase up to 0.61 shares,0,6/1/2006,0,0.0,0.0
135,"Encanto Restaurants, Inc.",Restaurant owner and operator,0,"Junior secured loan ($20,997 par due 8/2013)",11.00%,8/16/2006,0,20997.0,20997.0
136,"Encanto Restaurants, Inc.",0,0,"Junior secured loan ($3,999 par due 8/2013)",11.00%,8/16/2006,0,3999.0,3999.0
137,Fulton Holdings Corp.,Airport restaurant operator,0,"Senior secured loan ($40,000 par due 5/2016)",12.50%,5/28/2010,0,40000.0,40000.0
138,Fulton Holdings Corp.,0,0,"Common stock (19,672 shares)",0,5/28/2010,0,1967.0,2076.0
139,"Huddle House, Inc. (7)",Restaurant owner and operator,0,"Senior subordinated loan ($20,455 par due 12/2015)","12.00% Cash, 3.00% PIK",4/1/2010,0,20172.0,16325.0
140,"Huddle House, Inc. (7)",0,0,"Common stock (358,428 shares)",0,4/1/2010,0,0.0,0.0
141,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,0,"Senior secured revolving loan ($2,000 par due 9/2014)",10.75% (Base Rate + 7.50%/M),4/1/2010,0,2000.0,2000.0
142,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,0,"Senior secured loan ($34,247 par due 9/2014)",10.00% (Libor + 8.50%/Q),4/1/2010,0,34247.0,34247.0
143,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,0,"Junior secured loan ($37,552 par due 9/2014)",14.00%,4/1/2010,0,25146.0,35864.0
144,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,0,"Preferred units (10,000 units)",0,10/28/2010,0,0.0,0.0
145,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,0,"Class A common units (25,001 units)",0,4/1/2010,0,0.0,0.0
146,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,0,"Class B common units (1,122,452 units)",0,4/1/2010,0,0.0,0.0
147,"OTG Management, Inc.",Airport restaurant operator,0,"Junior secured loan ($17,678 par due 6/2013)","16.00% (Libor + 11.00% Cash, 2.00% PIK/M)",6/19/2008,0,17678.0,17678.0
148,"OTG Management, Inc.",0,0,"Junior secured loan ($42,452 par due 6/2013)","18.00% (Libor + 11.00% Cash, 4.00% PIK/M)",6/19/2008,0,42452.0,42452.0
149,"OTG Management, Inc.",0,0,"Common stock (1,500,000 shares)",0,1/5/2011,0,1500.0,1523.0
150,"OTG Management, Inc.",0,0,"Warrants to purchase up to 100,857 shares of common stock",0,6/19/2008,0,100.0,5303.0
151,"OTG Management, Inc.",0,0,Warrants to purchase up to 9 shares of common stock,0,6/19/2008,0,0.0,0.0
152,"PMI Holdings, Inc.",Restaurant owner and operator,0,"Senior secured loan ($9,470 par due 5/2015)",10.00% (Libor + 8.00%/M),5/5/2010,0,9470.0,9470.0
153,"PMI Holdings, Inc.",0,0,"Senior secured loan ($9,470 par due 5/2015)",10.00% (Libor + 8.00%/M),5/5/2010,0,9470.0,9470.0
154,"PMI Holdings, Inc.",0,0,Senior secured loan ($88 par due 5/2015),10.25% (Base Rate + 7.00%/M),5/5/2010,0,88.0,88.0
155,"PMI Holdings, Inc.",0,0,Senior secured loan ($88 par due 5/2015),10.25% (Base Rate + 7.00%/M),5/5/2010,0,88.0,88.0
156,S.B. Restaurant Company,Restaurant owner and operator,0,"Senior secured loan ($35,203 par due 7/2012)",13.00% (Libor + 11.00%/Q),4/1/2010,0,27838.0,35203.0
157,S.B. Restaurant Company,0,0,"Preferred stock (46,690 shares)",0,4/1/2010,0,0.0,148.0
158,S.B. Restaurant Company,0,0,"Warrants to purchase up to 257,429 shares of common stock",0,4/1/2010,0,0.0,0.0
159,Vistar Corporation and Wellspring Distribution Corp.,Food service distributor,0,"Senior subordinated loan ($31,625 par due 5/2015)",13.50%,5/23/2008,0,31625.0,31625.0
160,Vistar Corporation and Wellspring Distribution Corp.,0,0,"Senior subordinated loan ($30,000 par due 5/2015)",13.50%,5/23/2008,0,30000.0,30000.0
161,Vistar Corporation and Wellspring Distribution Corp.,0,0,"Class A non-voting common stock (1,366,120 shares)",0,5/3/2008,0,7500.0,6184.0
162,"AllBridge Financial, LLC (7)",Asset management services,0,Equity interests,0,4/1/2010,0,11395.0,15552.0
163,Callidus Capital Corporation (7),Asset management services,0,Common stock (100 shares),0,4/1/2010,0,6000.0,2655.0
164,Ciena Capital LLC (7),Real estate and small business loan servicer,0,"Senior secured revolving loan ($14,000 par due 12/2013)",6.00%,11/23/2010,0,14000.0,14000.0
165,Ciena Capital LLC (7),0,0,"Senior secured loan ($10,000 par due 12/2015)",12.00%,11/29/2010,0,10000.0,10000.0
166,Ciena Capital LLC (7),0,0,"Senior secured loan ($2,000 par due 12/2015)",12.00%,11/29/2010,0,2000.0,2000.0
167,Ciena Capital LLC (7),0,0,"Senior secured loan ($20,000 par due 12/2015)",12.00%,11/29/2010,0,20000.0,20000.0
168,Ciena Capital LLC (7),0,0,Equity interests,0,11/29/2010,0,53374.0,39312.0
169,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,0,"Senior subordinated loan ($6,000 par due 6/2015)",15.00%,4/1/2010,0,6000.0,6000.0
170,"Commercial Credit Group, Inc.",0,0,"Senior subordinated loan ($4,000 par due 6/2015)",15.00%,4/1/2010,0,4000.0,4000.0
171,"Commercial Credit Group, Inc.",0,0,"Senior subordinated loan ($9,500 par due 6/2015)",15.00%,4/1/2010,0,9500.0,9500.0
172,"Compass Group Diversified Holdings, LLC (16)",Middle market business manager,0,Senior secured revolving loan ($515 par due 12/2012),4.75% (Base Rate + 1.50%/M),4/1/2010,0,515.0,515.0
173,Financial Pacific Company,Commercial finance leasing,0,"Preferred stock (6,500 shares)",8.00% PIK,10/13/2010,0,6743.0,7292.0
174,Financial Pacific Company,0,0,"Common stock (650,000 shares)",0,10/13/2010,0,0.0,0.0
175,"Imperial Capital Group, LLC (6)",Investment services,0,"Common units (2,526 units)",0,5/10/2007,0,3.0,4824.0
176,"Imperial Capital Group, LLC (6)",0,0,Common units (315 units),0,5/10/2007,0,0.0,602.0
177,"Imperial Capital Group, LLC (6)",0,0,"Common units (7,710 units)",0,5/10/2007,0,14997.0,14724.0
178,"Ivy Hill Asset Management, L.P. (7)(9)",Asset management services,0,Member interest (100% interest),0,6/15/2009,0,112876.0,170462.0
179,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals",0,"Senior secured revolving loan ($1,000 par due 3/2016)",9.50% (Libor + 8.50%/Q),3/18/2011,0,1000.0,1000.0
180,"American Academy Holdings, LLC",0,0,Senior secured revolving loan (400 par due 3/2016),10.75% (Base Rate + 7.50%/Q),3/18/2011,0,400.0,400.0
181,"American Academy Holdings, LLC",0,0,"Senior secured loan ($82,100 par due 3/2016)",9.50% (Libor + 8.50%/Q),3/18/2011,0,82100.0,82100.0
182,Campus Management Corp. and Campus Management Acquisition Corp. (6),Education software developer,0,"Preferred stock (485,159 shares)",0,2/8/2008,0,10520.0,14516.0
183,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,0,"Senior secured loan ($20,000 par due 12/2014)",6.25% (Libor + 5.25%/Q),12/10/2010,0,20000.0,20000.0
