,Industry,Company(1),Business Description,Investment,Interest(6)(12),Acquisition  Date,Amortized  Cost,Fair  Value
76,Business Services,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,Second lien senior secured loan ($26.5 par due 8/2020),9.48% (Libor + 8.25%/Q),9/28/2012,26.5,26.5
77,Business Services,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,Senior subordinated loan ($25.0 par due 8/2021),14.00% PIK,8/8/2014,25.0,25.0
78,Business Services,"Compusearch Software Systems, Inc.",Provider of enterprise software and services for organizations in the public sector,Second lien senior secured loan ($51.0 par due 11/2021),9.93% (Libor + 8.75%/Q),1/3/2017,51.0,51.0
79,Business Services,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class A-1 common stock (4,132 units)",,12/15/2014,2.3,1.8
80,Business Services,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class B-1 common stock (4,132 units)",,12/15/2014,0.5,0.4
81,Business Services,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class C-1 common stock (4,132 units)",,12/15/2014,0.3,0.2
82,Business Services,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class A-2 common stock (4,132 units)",,12/15/2014,0.0,0.0
83,Business Services,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class B-2 common stock (4,132 units)",,12/15/2014,0.0,0.0
84,Business Services,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class C-2 common stock (4,132 units)",,12/15/2014,0.0,0.0
85,Business Services,Convergint Technologies LLC (22),"Integrated services provider for security, fire and life safety",Second lien senior secured loan ($11.0 par due 12/2020),9.82% (Libor + 8.50%/Q),1/3/2017,11.0,11.0
86,Business Services,Convergint Technologies LLC (22),"Integrated services provider for security, fire and life safety",Second lien senior secured loan ($6.0 par due 12/2020),9.91% (Libor + 8.50%/Q),1/3/2017,6.0,6.0
87,Business Services,Convergint Technologies LLC (22),"Integrated services provider for security, fire and life safety",Second lien senior secured loan ($11.0 par due 12/2020),9.92% (Libor + 8.50%/Q),1/3/2017,11.0,11.0
88,Business Services,Convergint Technologies LLC (22),"Integrated services provider for security, fire and life safety",Second lien senior secured loan ($75.0 par due 12/2020),9.43% (Libor + 8.00%/Q),1/3/2017,75.0,75.0
89,Business Services,"Datapipe, Inc.",Data center provider,Second lien senior secured loan ($29.5 par due 9/2019),9.17% (Libor + 8.00%/Q),1/3/2017,28.5,28.6
90,Business Services,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,First lien senior secured loan ($1.9 par due 4/2018),10.25% (Libor + 9.25%/M),12/19/2014,1.9,1.7
91,Business Services,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,"Warrant to purchase up to 1,875,000 shares of Series 1 preferred stock (expires 12/2024)",,12/19/2014,0.0,0.0
92,Business Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (22)",Provider of legal process outsourcing and managed services,First lien senior secured loan ($4.1 par due 9/2023),6.42% (Libor + 5.25%/Q),9/23/2016,4.1,4.1
93,Business Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (22)",Provider of legal process outsourcing and managed services,"Class A common stock (7,500 shares)",,8/19/2014,7.5,6.8
94,Business Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (22)",Provider of legal process outsourcing and managed services,"Class B common stock (7,500 shares)",,8/19/2014,0.0,0.0
95,Business Services,"Emergency Communications Network, LLC (22)",Provider of mission critical emergency mass notification solutions,First lien senior secured loan ($61.2 par due 6/2023),7.30% (Libor + 6.25%/Q),6/1/2017,60.7,60.6
96,Business Services,"Entertainment Partners, LLC and Entertainment Partners Canada Inc. (22)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($7.7 par due 5/2022),6.50% (Libor + 5.50%/Q),5/8/2017,7.3,7.6
97,Business Services,"Entertainment Partners, LLC and Entertainment Partners Canada Inc. (22)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($12.8 par due 5/2023),6.81% (Libor + 5.75%/Q),5/8/2017,12.8,12.7
98,Business Services,"Entertainment Partners, LLC and Entertainment Partners Canada Inc. (22)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($15.2 par due 5/2023),6.81% (Libor + 5.75%/Q),5/8/2017,15.2,15.1
99,Business Services,"Entertainment Partners, LLC and Entertainment Partners Canada Inc. (22)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($14.6 par due 5/2023),6.93% (Libor + 5.75%/Q),5/8/2017,14.6,14.5
100,Business Services,"Entertainment Partners, LLC and Entertainment Partners Canada Inc. (22)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($17.4 par due 5/2023),6.93% (Libor + 5.75%/Q),5/8/2017,17.4,17.2
101,Business Services,"Entertainment Partners, LLC and Entertainment Partners Canada Inc. (22)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($14.6 par due 5/2023),7.19% (Libor + 5.75%/Q),5/8/2017,14.6,14.5
102,Business Services,"Entertainment Partners, LLC and Entertainment Partners Canada Inc. (22)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($17.4 par due 5/2023),7.19% (Libor + 5.75%/Q),5/8/2017,17.4,17.2
103,Business Services,"EN Engineering, L.L.C. (22)","National utility services firm providing engineering and consulting services to natural gas, electric power and other energy and industrial end markets",First lien senior secured revolving loan,0,6/30/2015,0.0,0.0
104,Business Services,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (22)",Wholesaler of cloud-based software applications and services,First lien senior secured loan ($8.0 par due 1/2021),10.41% (Libor + 9.25%/M),1/6/2017,8.0,8.0
105,Business Services,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (22)",Wholesaler of cloud-based software applications and services,"Warrant to purchase up to 5,185 shares of Series A preferred stock (expires 1/2027)",,1/6/2017,0.0,0.2
106,Business Services,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (22)",Wholesaler of cloud-based software applications and services,"Warrant to purchase up to 1,481 shares of Series A preferred stock (expires 12/2025)",,12/3/2015,0.0,0.1
107,Business Services,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (22)",Wholesaler of cloud-based software applications and services,"Warrant to purchase up to 2,037 shares of Series A preferred stock (expires 11/2024)",,11/3/2014,0.1,0.1
108,Business Services,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",,3/20/2014,0.0,0.0
109,Business Services,Flexera Software LLC,"Provider of software and software applications that manages application usage, compliance and security risk",Second lien senior secured loan ($5.0 par due 4/2021),8.30% (Libor + 7.00%/Q),1/3/2017,4.8,5.0
110,Business Services,"GTCR Valor Companies, Inc.",Public relations software as service provider,Second lien senior secured loan ($100.0 par due 6/2024),10.69% (Libor + 9.50%/Q),1/3/2017,98.1,100.0
111,Business Services,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",,10/15/2012,0.1,0.1
112,Business Services,"Infogix, Inc. and Infogix Parent Corporation",Enterprise data analytics and integrity software solutions provider,First lien senior secured loan ($54.6 par due 12/2021),7.80% (Libor + 6.50%/Q),1/3/2017,54.6,54.6
113,Business Services,"Infogix, Inc. and Infogix Parent Corporation",Enterprise data analytics and integrity software solutions provider,First lien senior secured loan ($34.9 par due 12/2021),7.80% (Libor + 6.50%/Q),1/3/2017,34.9,34.9
114,Business Services,"Infogix, Inc. and Infogix Parent Corporation",Enterprise data analytics and integrity software solutions provider,"Series A preferred stock (2,475 shares)",,1/3/2017,2.5,2.8
115,Business Services,"Infogix, Inc. and Infogix Parent Corporation",Enterprise data analytics and integrity software solutions provider,"Common stock (1,297,768 shares)",,1/3/2017,0.0,1.7
116,Business Services,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",Second lien senior secured loan ($28.3 par due 5/2025),11.25% (Base Rate + 7.00%/Q),4/25/2017,27.9,27.9
117,Business Services,Interactions Corporation,Developer of a speech recognition software based customer interaction system,Second lien senior secured loan ($5.9 par due 3/2021),9.85% (Libor + 8.60%/M),6/16/2015,5.8,5.9
118,Business Services,Interactions Corporation,Developer of a speech recognition software based customer interaction system,Second lien senior secured loan ($19.1 par due 3/2021),9.85% (Libor + 8.60%/M),6/16/2015,18.9,19.2
119,Business Services,Interactions Corporation,Developer of a speech recognition software based customer interaction system,"Warrant to purchase up to 68,187 shares of Series G-3 convertible preferred stock (expires 6/2022)",,6/16/2015,0.3,0.3
120,Business Services,"InterVision Systems, LLC and InterVision Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services",First lien senior secured loan ($32.5 par due 5/2022),10.06% (Libor + 8.65%/Q),5/31/2017,32.5,32.5
121,Business Services,"InterVision Systems, LLC and InterVision Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services","Class A membership units (1,000 units)",,5/31/2017,1.0,1.0
122,Business Services,"iParadigms Holdings, LLC",Anti-plagiarism software provider to the education market,Second lien senior secured loan ($39.5 par due 7/2022),8.55% (Libor + 7.25%/Q),1/3/2017,38.8,38.7
123,Business Services,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (22)",Provider of SaaS-based software solutions to the insurance and financial services industry,First lien senior secured loan ($6.7 par due 8/2022),7.42% (Libor + 6.25%/Q),6/15/2017,6.7,6.7
124,Business Services,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (22)",Provider of SaaS-based software solutions to the insurance and financial services industry,First lien senior secured loan ($46.4 par due 8/2022),8.48% (Libor + 7.25%/Q),8/4/2015,46.4,46.4
125,Business Services,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (22)",Provider of SaaS-based software solutions to the insurance and financial services industry,First lien senior secured loan ($14.7 par due 8/2022),8.48% (Libor + 7.25%/Q),8/4/2015,14.7,14.7
126,Business Services,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (22)",Provider of SaaS-based software solutions to the insurance and financial services industry,"Preferred stock (1,100 shares)",,8/4/2015,1.1,2.9
127,Business Services,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (22)",Provider of SaaS-based software solutions to the insurance and financial services industry,"Common stock (668,781 shares)",,8/4/2015,0.0,0.0
128,Business Services,IQMS,Provider of enterprise resource planning and manufacturing execution software for small and midsized manufacturers,First lien senior secured loan ($27.8 par due 3/2022),9.48% (Libor + 8.25%/Q),3/28/2017,27.8,27.8
129,Business Services,IQMS,Provider of enterprise resource planning and manufacturing execution software for small and midsized manufacturers,First lien senior secured loan ($10.0 par due 3/2022),9.48% (Libor + 8.25%/Q),3/28/2017,10.0,10.0
130,Business Services,"Iron Bow Technologies, LLC",Provider and value added reseller of information technology products and solutions,Second lien senior secured loan ($9.9 par due 2/2021),12.80% (Libor + 11.75%/Q),1/3/2017,9.9,9.9
131,Business Services,"IronPlanet, Inc.",Online auction platform provider for used heavy equipment,"Warrant to purchase to up to 133,333 shares of Series C preferred stock (expires 9/2023)",,9/23/2013,0.2,0.2
132,Business Services,"Itel Laboratories, Inc. (22)",Data services provider for building materials to property insurance industry,"Preferred units (1,798,391 units)",,6/29/2012,1.0,1.6
133,Business Services,LLSC Holdings Corporation (dba Lawrence Merchandising Services) (8),Marketing services provider,"Series A preferred stock (9,000 shares)",,1/3/2017,19.2,20.6
134,Business Services,LLSC Holdings Corporation (dba Lawrence Merchandising Services) (8),Marketing services provider,"Common stock (1,000 shares)",,1/3/2017,0.0,0.0
135,Business Services,LLSC Holdings Corporation (dba Lawrence Merchandising Services) (8),Marketing services provider,Warrant to purchase up to 675 shares of common stock (expires 9/2017),,1/3/2017,0.0,0.0
136,Business Services,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,First lien senior secured loan ($1.6 par due 9/2018),6.75% (Libor + 6.50%/Q),1/3/2017,1.5,1.6
137,Business Services,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,First lien senior secured loan ($3.9 par due 9/2018),6.75% (Libor + 6.50%/Q),1/3/2017,3.7,3.9
138,Business Services,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,Senior subordinated loan ($16.3 par due 9/2021),4.75% (Libor + 4.50%/Q),1/3/2017,9.5,16.0
139,Business Services,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,"Preferred stock (19,500,000 shares)",,1/3/2017,0.0,0.0
140,Business Services,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,"Preferred stock (900,000 shares)",,1/3/2017,0.0,0.0
141,Business Services,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,"Common stock (600,000 shares)",,1/3/2017,0.0,0.0
142,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (22)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($6.5 par due 12/2022),6.23% (Libor + 5.00%/Q),4/6/2017,6.5,6.5
143,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (22)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($16.7 par due 12/2022),6.23% (Libor + 5.00%/Q),4/6/2017,16.6,16.7
144,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (22)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($2.9 par due 6/2023),10.48% (Libor + 9.25%/Q),4/6/2017,2.9,2.9
145,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (22)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($9.2 par due 6/2023),10.48% (Libor + 9.25%/Q),4/6/2017,9.2,9.2
146,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (22)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($16.6 par due 6/2023),10.48% (Libor + 9.25%/Q),12/2/2016,16.6,16.6
147,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (22)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($90.0 par due 6/2023),10.48% (Libor + 9.25%/Q),12/2/2016,89.3,90.0
