,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,Fair  Value
122,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($17.9 par due 6/2023),10.25% (Libor + 9.25%/M),8/22/2017,17.9,17.9
123,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($48.9 par due 6/2023),9.00% (Libor + 8.00%/M),4/18/2018,48.9,48.9
124,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,"Class A units (500,000 units)",0,12/2/2016,5.0,6.4
126,MRI Software LLC (17),Provider of real estate and investment management software,First lien senior secured loan ($2.9 par due 2/2026),6.50% (Libor + 5.50%/Q),8/28/2020,2.9,2.9
127,MRI Software LLC (17),Provider of real estate and investment management software,First lien senior secured loan ($50.1 par due 2/2026),6.50% (Libor + 5.50%/Q),2/10/2020,50.1,50.1
129,"n2y Holding, LLC (17)",Developer of cloud-based special education platform,First lien senior secured revolving loan ($0.1 par due 11/2025),7.00% (Libor + 6.00%/Q),11/15/2019,0.1,0.1
130,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",First lien senior secured loan ($8.4 par due 10/2022),6.00% (Libor + 5.00%/M),1/3/2017,8.3,8.4
131,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",Second lien senior secured loan ($25.5 par due 10/2023),9.50% (Libor + 8.50%/M),1/3/2017,24.8,25.5
134,"Paya, Inc and GTCR-Ultra Holdings LLC (17)",Provider of payment processing and merchant acquiring solutions,"Class B units (2,878,372 units)",0,8/1/2017,0.0,0.0
135,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",0,3/11/2016,0.2,0.0
136,"PaySimple, Inc. (17)",Provider of business management solutions,First lien senior secured loan ($49.6 par due 8/2025),5.61% (Libor + 5.50%/M),9/23/2020,49.6,49.6
137,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured loan ($53.7 par due 10/2024),5.50% (Libor + 4.50%/Q),3/19/2019,53.7,53.7
138,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($8.3 par due 10/2025),9.50% (Libor + 8.50%/Q),12/17/2020,8.3,8.3
139,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($70.1 par due 10/2025),9.50% (Libor + 8.50%/Q),3/19/2019,70.1,70.1
140,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,"Series A preferred stock (13,656 shares)",13.25% PIK,3/19/2019,18.2,18.5
141,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,"Class A units (2,062,493 units)",0,3/19/2019,2.1,2.8
143,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (17)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($50.2 par due 5/2025),7.25% (Libor + 6.25%/Q),10/16/2020,50.2,50.2
144,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (17)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($25.7 par due 5/2025),6.75% (Libor + 5.75%/Q),5/29/2019,25.7,25.7
145,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (17)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($5.8 par due 5/2025),7.25% (Libor + 6.25%/Q),6/24/2020,5.8,5.8
146,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (17)",Provider of plant maintenance and scheduling software,"Class A units (5,000 units)",0,5/29/2019,5.0,10.5
148,"Pluralsight, Inc. (17)",Online education learning platform,First lien senior secured loan ($100.8 par due 4/2027),9.00% (Libor + 8.00%/Q),4/6/2021,100.8,99.8
149,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",0,6/25/2015,0.1,0.0
150,"PracticeTek Purchaser, LLC and GSV PracticeTek Holdings, LLC (17)",Software provider for medical practitioners,First lien senior secured loan ($10.2 par due 3/2027),7.00% (Libor + 6.00%/M),3/31/2021,10.2,10.1
151,"PracticeTek Purchaser, LLC and GSV PracticeTek Holdings, LLC (17)",Software provider for medical practitioners,"Class A units (2,724,000 units)",8.00%,3/31/2021,2.7,2.7
153,"ProfitSolv Purchaser, Inc. and PS Co-Invest, L.P. (17)",Provider of practice management software to law firms,"Limited partnership units (1,624,000 units)",0,3/5/2021,1.6,1.6
154,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class A common stock (7,445 shares)",0,8/22/2016,7.4,12.3
155,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class B common stock (1,841,609 shares)",0,8/22/2016,0.1,0.1
157,"Project Essential Bidco, Inc. and Project Essential Super Parent, Inc. (17)",Saas provider of automated crew callout and scheduling software for the utility industry,First lien senior secured loan ($36.6 par due 4/2028),6.75% (Libor + 5.75%/Q),4/20/2021,36.6,36.3
158,"Project Essential Bidco, Inc. and Project Essential Super Parent, Inc. (17)",Saas provider of automated crew callout and scheduling software for the utility industry,"Preferred shares (26,436 shares)",10.50% PIK (Libor + 9.50%/Q),4/20/2021,27.0,26.2
160,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (17)",Software solutions provider to the ready-mix concrete industry,First lien senior secured revolving loan,0,4/23/2020,0.0,0.0
161,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (17)",Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($13.0 par due 4/2027),9.25% (Libor + 8.25%/M),10/30/2020,13.0,13.0
162,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (17)",Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($19.5 par due 4/2027),9.25% (Libor + 8.25%/M),11/18/2020,19.5,19.5
163,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (17)",Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($44.3 par due 4/2027),9.25% (Libor + 8.25%/M),4/23/2020,44.3,44.3
164,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (17)",Software solutions provider to the ready-mix concrete industry,"Class A units (1,599 units)",9.00% PIK,4/23/2020,1.8,1.7
165,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (17)",Software solutions provider to the ready-mix concrete industry,"Class B units (588,636 units)",0,4/23/2020,0.0,0.0
168,"Proofpoint, Inc. (17)",Cybersecurity solutions provider,First lien senior secured loan ($1.0 par due 6/2028),3.75% (Libor + 3.25%/Q),6/9/2021,1.0,1.0
169,"Proofpoint, Inc. (17)",Cybersecurity solutions provider,Second lien senior secured loan ($34.6 par due 6/2029),6.75% (Libor + 6.25%/Q),6/9/2021,34.4,34.9
171,"QF Holdings, Inc. (17)",SaaS based electronic health record software provider,First lien senior secured loan ($29.3 par due 9/2024),7.50% (Libor + 6.50%/Q),9/19/2019,29.3,29.3
172,"Raptor Technologies, LLC and Rocket Parent, LLC (17)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured revolving loan ($0.8 par due 12/2023),7.00% (Libor + 6.00%/M),12/17/2018,0.8,0.8
173,"Raptor Technologies, LLC and Rocket Parent, LLC (17)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured loan ($20.9 par due 12/2024),7.00% (Libor + 6.00%/Q),12/17/2018,20.9,20.4
174,"Raptor Technologies, LLC and Rocket Parent, LLC (17)",Provider of SaaS-based safety and security software to the K-12 school market,"Class A common units (2,294,000 units)",0,12/17/2018,2.3,2.1
