,Industry,Company(1),Business Description,Investment,Interest(6)(12),Acquisition  Date,Amortized  Cost,Fair  Value
77,Business Services,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,Second lien senior secured loan ($26.5 par due 8/2020),9.25% (Libor + 8.25%/Q),9/28/2012,26.5,26.5
78,Business Services,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,Senior subordinated loan ($24.2 par due 8/2021),14.00% PIK,8/8/2014,24.2,24.2
79,Business Services,"Compusearch Software Systems, Inc.",Provider of enterprise software and services for organizations in the public sector,Second lien senior secured loan ($51.0 par due 11/2021),9.78% (Libor + 8.75%/Q),1/3/2017,51.0,51.0
80,Business Services,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class A-1 common stock (4,132 units)",,12/15/2014,2.3,1.8
81,Business Services,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class B-1 common stock (4,132 units)",,12/15/2014,0.5,0.4
82,Business Services,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class C-1 common stock (4,132 units)",,12/15/2014,0.3,0.2
83,Business Services,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class A-2 common stock (4,132 units)",,12/15/2014,0.0,0.0
84,Business Services,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class B-2 common stock (4,132 units)",,12/15/2014,0.0,0.0
85,Business Services,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class C-2 common stock (4,132 units)",,12/15/2014,0.0,0.0
86,Business Services,Convergint Technologies LLC,"Integrated services provider for security, fire and life safety",Second lien senior secured loan ($8.0 par due 12/2017),9.82% (Libor + 8.50%/Q),1/3/2017,8.0,8.0
87,Business Services,Convergint Technologies LLC,"Integrated services provider for security, fire and life safety",Second lien senior secured loan ($11.0 par due 12/2017),9.92% (Libor + 8.50%/Q),1/3/2017,11.0,11.0
88,Business Services,Convergint Technologies LLC,"Integrated services provider for security, fire and life safety",Second lien senior secured loan ($75.0 par due 12/2020),9.32% (Libor + 8.00%/Q),1/3/2017,75.0,75.0
89,Business Services,"Datapipe, Inc.",Data center provider,Second lien senior secured loan ($29.5 par due 9/2019),9.00% (Libor + 8.00%/Q),1/3/2017,28.4,28.6
90,Business Services,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,First lien senior secured loan ($1.9 par due 4/2018),10.34% (Libor + 9.25%/M),12/19/2014,1.9,1.7
91,Business Services,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,"Warrant to purchase up to 1,875,000 shares of Series 1 preferred stock (expires 12/2024)",,12/19/2014,0.0,0.0
92,Business Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (25)",Provider of legal process outsourcing and managed services,First lien senior secured loan ($4.1 par due 9/2023),6.29% (Libor + 5.25%/Q),9/23/2016,4.1,4.1
93,Business Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (25)",Provider of legal process outsourcing and managed services,"Class A common stock (7,500 shares)",,8/19/2014,7.5,6.8
94,Business Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (25)",Provider of legal process outsourcing and managed services,"Class B common stock (7,500 shares)",,8/19/2014,0.0,0.0
95,Business Services,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (25)",Wholesaler of cloud-based software applications and services,First lien senior secured loan ($8.0 par due 1/2021),10.26% (Libor + 9.25%/Q),1/6/2017,8.0,7.8
96,Business Services,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (25)",Wholesaler of cloud-based software applications and services,"Warrant to purchase up to 5,185 shares of Series A preferred stock (expires 1/2027)",,1/6/2017,0.0,0.2
97,Business Services,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (25)",Wholesaler of cloud-based software applications and services,"Warrant to purchase up to 1,481 shares of Series A preferred stock (expires 12/2025)",,12/3/2015,0.0,0.1
98,Business Services,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (25)",Wholesaler of cloud-based software applications and services,"Warrant to purchase up to 2,037 shares of Series A preferred stock (expires 11/2024)",,11/3/2014,0.1,0.1
99,Business Services,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",,3/20/2014,0.0,0.0
100,Business Services,Flexera Software LLC,"Provider of software and software applications that manages application usage, compliance and security risk",Second lien senior secured loan ($5.0 par due 4/2021),8.00% (Libor + 7.00%/Q),1/3/2017,4.8,4.9
101,Business Services,"GTCR Valor Companies, Inc.",Public relations software as service provider,Second lien senior secured loan ($100.0 par due 6/2024),10.52% (Libor + 9.50%/Q),1/3/2017,98.1,100.0
102,Business Services,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",,10/15/2012,0.1,0.1
103,Business Services,"Infogix, Inc. and Infogix Parent Corporation",Enterprise data analytics and integrity software solutions provider,First lien senior secured loan ($89.8 par due 12/2021),7.90% (Libor + 6.75%/Q),1/3/2017,89.8,89.8
104,Business Services,"Infogix, Inc. and Infogix Parent Corporation",Enterprise data analytics and integrity software solutions provider,"Series A preferred stock (2,475 shares)",,1/3/2017,2.5,2.7
105,Business Services,"Infogix, Inc. and Infogix Parent Corporation",Enterprise data analytics and integrity software solutions provider,"Common stock (1,297,768 shares)",,1/3/2017,0.0,1.3
106,Business Services,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",Second lien senior secured loan ($20.0 par due 1/2022),8.15% (Libor + 7.00%/Q),1/3/2017,20.0,20.0
107,Business Services,Interactions Corporation,Developer of a speech recognition software based customer interaction system,Second lien senior secured loan ($5.9 par due 3/2021),9.85% (Libor + 8.85%/M),6/16/2015,5.7,5.9
108,Business Services,Interactions Corporation,Developer of a speech recognition software based customer interaction system,Second lien senior secured loan ($19.1 par due 3/2021),9.85% (Libor + 8.85%/M),6/16/2015,18.9,19.2
109,Business Services,Interactions Corporation,Developer of a speech recognition software based customer interaction system,"Warrant to purchase up to 68,187 shares of Series G-3 convertible preferred stock (expires 6/2022)",,6/16/2015,0.3,0.3
110,Business Services,"iParadigms Holdings, LLC",Anti-plagiarism software provider to the education market,Second lien senior secured loan ($39.5 par due 7/2022),8.40% (Libor + 7.25%/Q),1/3/2017,38.7,38.7
111,Business Services,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (25)",Provider of SaaS-based software solutions to the insurance and financial services industry,First lien senior secured loan ($46.8 par due 8/2022),8.25% (Libor + 7.25%/Q),8/4/2015,46.8,46.8
112,Business Services,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (25)",Provider of SaaS-based software solutions to the insurance and financial services industry,First lien senior secured loan ($14.8 par due 8/2022),8.25% (Libor + 7.25%/Q),8/4/2015,14.8,14.8
113,Business Services,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (25)",Provider of SaaS-based software solutions to the insurance and financial services industry,"Preferred stock (1,485 shares)",,8/4/2015,1.5,3.1
114,Business Services,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (25)",Provider of SaaS-based software solutions to the insurance and financial services industry,"Common stock (647,542 shares)",,8/4/2015,0.0,0.0
115,Business Services,IQMS,Provider of enterprise resource planning and manufacturing execution software for small and midsized manufacturers,First lien senior secured loan ($37.8 par due 3/2022),9.25% (Libor + 8.25%/Q),3/28/2017,37.8,37.8
116,Business Services,"Iron Bow Technologies, LLC",Provider and value added reseller of information technology products and solutions,Second lien senior secured loan ($15.4 par due 2/2021),12.53% (Libor + 11.75%/Q),1/3/2017,15.4,15.4
117,Business Services,"IronPlanet, Inc.",Online auction platform provider for used heavy equipment,"Warrant to purchase to up to 133,333 shares of Series C preferred stock (expires 9/2023)",,9/24/2013,0.2,0.4
118,Business Services,"Itel Laboratories, Inc. (25)",Data services provider for building materials to property insurance industry,"Preferred units (1,798,391 units)",,6/29/2012,1.0,1.4
119,Business Services,LLSC Holdings Corporation (dba Lawrence Merchandising Services) (8),Marketing services provider,"Series A preferred stock (9,000 shares)",,1/3/2017,19.2,19.6
120,Business Services,LLSC Holdings Corporation (dba Lawrence Merchandising Services) (8),Marketing services provider,"Common stock (1,000 shares)",,1/3/2017,0.0,0.0
121,Business Services,LLSC Holdings Corporation (dba Lawrence Merchandising Services) (8),Marketing services provider,Warrant to purchase up to 675 shares of common stock (expires 9/2017),,1/3/2017,0.0,0.0
122,Business Services,"Market Track Holdings, LLC",Business media consulting services company,"Preferred stock (1,685 shares)",,12/13/2013,2.2,2.7
123,Business Services,"Market Track Holdings, LLC",Business media consulting services company,"Common stock (16,251 shares)",,12/13/2013,2.2,5.1
124,Business Services,"Maximus Holdings, LLC",Provider of software simulation tools and related services,"Warrant to purchase up to 1,050,013 shares of common stock (expires 10/2019)",,12/13/2013,0.0,2.4
125,Business Services,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,First lien senior secured loan ($2.2 par due 9/2018),6.76% (Libor + 6.50%/Q),1/3/2017,2.1,2.2
126,Business Services,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,First lien senior secured loan ($3.7 par due 9/2018),6.76% (Libor + 6.50%/Q),1/3/2017,3.6,3.7
127,Business Services,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,Senior subordinated loan ($15.7 par due 9/2021),4.76% (Libor + 4.50%/Q),1/3/2017,9.5,9.8
128,Business Services,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,"Preferred stock (19,500,000 shares)",,1/3/2017,0.0,0.0
129,Business Services,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,"Preferred stock (900,000 shares)",,1/3/2017,0.0,0.0
130,Business Services,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,"Common stock (600,000 shares)",,1/3/2017,0.0,0.0
131,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (25)",Software and payment services provider to faith-based institutions,First lien senior secured revolving loan ($3.8 par due 12/2022),6.00% (Libor + 5.00%/Q),12/2/2016,3.8,3.8
132,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (25)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($16.6 par due 6/2023),10.25% (Libor + 9.25%/Q),12/2/2016,16.6,16.6
133,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (25)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($90.0 par due 6/2023),10.25% (Libor + 9.25%/Q),12/2/2016,89.2,90.0
134,Business Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (25)",Software and payment services provider to faith-based institutions,"Class A units (500,000 units)",,12/2/2016,5.0,5.4
135,Business Services,"Mitchell International, Inc.",Provider of mission-critical software and solutions to the property and casualty claims industry,Second lien senior secured loan ($17.0 par due 10/2021),8.54% (Libor + 7.50%/Q),1/3/2017,17.0,17.0
136,Business Services,"MVL Group, Inc. (8)",Marketing research provider,Senior subordinated loan ($0.5 par due 7/2017),,4/1/2010,0.2,0.2
137,Business Services,"MVL Group, Inc. (8)",Marketing research provider,"Common stock (560,716 shares)",,4/1/2010,0.0,0.0
138,Business Services,"NAS, LLC, Nationwide Marketing Group, LLC and Nationwide Administrative Services, Inc.","Buying and marketing services organization for appliance, furniture and consumer electronics dealers",Second lien senior secured loan ($24.1 par due 12/2021),9.75% (Libor + 8.75%/Q),6/1/2015,24.1,23.4
139,Business Services,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",First lien senior secured loan ($12.8 par due 10/2022),6.15% (Libor + 5.00%/Q),1/3/2017,12.3,12.3
140,Business Services,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",Second lien senior secured loan ($31.0 par due 10/2023),9.65% (Libor + 8.50%/Q),1/3/2017,28.3,28.2
141,Business Services,"Park Place Technologies, LLC",Provider of third party hardware maintenance and support services for IT data centers,Second lien senior secured loan ($41.5 par due 12/2022),10.11% (Libor + 9.00%/Q),1/3/2017,41.5,41.5
142,Business Services,"PayNearMe, Inc.",Electronic cash payment system provider,First lien senior secured loan ($10.0 par due 9/2019),9.50% (Libor + 8.50%/M),3/11/2016,9.6,10.0
143,Business Services,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",,3/11/2016,0.2,0.0
144,Business Services,"Pegasus Intermediate Holdings, LLC (25)",Plant maintenance and scheduling process software provider,First lien senior secured loan ($1.3 par due 11/2022),7.25% (Libor + 6.25%/Q),11/7/2016,1.3,1.3
145,Business Services,"PHNTM Holdings, Inc. and Planview Parent, Inc.",Provider of project and portfolio management software,First lien senior secured loan ($36.9 par due 1/2023),6.25% (Libor + 5.25%/Q),1/27/2017,36.2,36.9
146,Business Services,"PHNTM Holdings, Inc. and Planview Parent, Inc.",Provider of project and portfolio management software,Second lien senior secured loan ($62.0 par due 7/2023),10.75% (Libor + 9.75%/Q),1/27/2017,61.1,62.0
147,Business Services,"PHNTM Holdings, Inc. and Planview Parent, Inc.",Provider of project and portfolio management software,Class A common shares (990 shares),,1/27/2017,1.0,1.0
148,Business Services,"PHNTM Holdings, Inc. and Planview Parent, Inc.",Provider of project and portfolio management software,"Class B common shares (168,329 shares)",,1/27/2017,0.0,0.0
149,Business Services,"Pillar Processing LLC and PHL Investors, Inc. (8)",Mortgage services,Class A common stock (576 shares),,7/31/2012,3.8,0.0
150,Business Services,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,First lien senior secured loan ($5.4 par due 1/2018),,6/25/2015,4.7,2.9
151,Business Services,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",,6/25/2015,0.1,0.0
152,Business Services,"PowerPlan, Inc. and Project Torque Ultimate Parent Corporation",Fixed asset financial management software provider,Second lien senior secured loan ($30.0 par due 2/2023),10.00% (Libor + 9.00%/Q),2/23/2015,29.8,30.0
