,Company(1),Business Description,Investment,Interest (5)(10),Acquisition  Date,Amortized  Cost,Fair Value
24,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,"Senior secured loan ($43,616 par due 3/2018)",9.75% (Libor + 8.75%/Q),9/15/2010,43616.0,43616
25,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,"Senior secured loan ($4,956 par due 3/2018)",9.75% (Libor + 8.75%/Q),9/15/2010,4956.0,4956
26,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,"Senior secured loan ($56,301 par due 3/2018)",9.75% (Libor + 8.75%/Q),3/16/2012,56301.0,56301
27,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,"Senior secured loan ($15,859 par due 3/2018)",9.75% (Libor + 8.75%/Q),3/16/2012,15859.0,15859
28,MW Dental Holding Corp.,Dental services,"Senior secured revolving loan ($1,000 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,1000.0,1000
29,MW Dental Holding Corp.,0,"Senior secured loan ($45,563 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,45563.0,45563
30,MW Dental Holding Corp.,0,"Senior secured loan ($49,501 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,49501.0,49501
31,MW Dental Holding Corp.,0,"Senior secured loan ($9,950 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,9950.0,9950
32,Napa Management Services Corporation,Anesthesia management services provider,Senior secured revolving loan ($600 par due 4/2016),7.50% (Libor + 6.00%/M),4/15/2011,600.0,600
33,Napa Management Services Corporation,0,Senior secured revolving loan ($75 par due 4/2016),8.25% (Base Rate + 5.00%/Q),4/15/2011,75.0,75
34,Napa Management Services Corporation,0,"Senior secured loan ($21,966 par due 4/2016)",7.50% (Libor + 6.00%/M),4/15/2011,21668.0,21966
35,Napa Management Services Corporation,0,"Senior secured loan ($28,875 par due 4/2016)",7.50% (Libor + 6.00%/Q),4/15/2011,28875.0,28875
36,Napa Management Services Corporation,0,"Common units (5,000 units)",0,4/15/2011,5000.0,5692
37,"NS Merger Sub. Inc. and NS Holdings, Inc.",Healthcare technology provider,Senior subordinated loan ($579 par due 6/2017),13.50%,6/21/2010,579.0,579
38,"NS Merger Sub. Inc. and NS Holdings, Inc.",0,"Senior subordinated loan ($50,000 par due 6/2017)",13.50%,6/21/2010,50000.0,50000
39,"NS Merger Sub. Inc. and NS Holdings, Inc.",0,"Common stock (2,500,000 shares)",0,6/21/2010,2500.0,3015
40,OnCURE Medical Corp.,Radiation oncology care provider,"Common stock (857,143 shares)",0,8/18/2006,3000.0,707
41,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",Healthcare technology provider,"Series A preferred stock (1,594,457 shares)",0,7/30/2008,11156.0,10144
42,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,"Common stock (16,106 shares)",0,7/30/2008,100.0,0
43,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Junior secured loan ($45,000 par due 10/2018)",8.25% (Libor + 7.00%/S),4/19/2012,45000.0,45000
44,"PG Mergersub, Inc. and PGA Holdings, Inc.",0,Preferred stock (333 shares),0,3/12/2008,125.0,16
45,"PG Mergersub, Inc. and PGA Holdings, Inc.",0,"Common stock (16,667 shares)",0,3/12/2008,167.0,786
46,"PRA Holdings, Inc.",Drug testing services,"Senior secured loan ($11,330 par due 12/2014)",4.25% (Libor + 4.00%/M),12/14/2007,11081.0,11103
47,"PRA Holdings, Inc.",0,"Senior secured loan ($12,000 par due 12/2014)",4.25% (Libor + 4.00%/M),12/14/2007,11732.0,11760
48,"RCHP, Inc.",Operator of general acute care hospitals,"Junior secured loan ($15,000 par due 5/2019)",11.50% (Libor + 10.00%/Q),11/4/2011,15000.0,15000
49,"RCHP, Inc.",0,"Junior secured loan ($50,000 par due 5/2019)",11.50% (Libor + 10.00%/Q),11/4/2011,50000.0,50000
50,"Reed Group, Ltd.",Medical disability management services provider,"Senior secured revolving loan ($1,482 par due 12/2013)",0,4/1/2010,1080.0,1260
51,"Reed Group, Ltd.",0,"Senior secured loan ($12,753 par due 12/2013)",0,4/1/2010,9285.0,10840
52,"Reed Group, Ltd.",0,"Senior secured loan ($27,528 par due 12/2013)",0,4/1/2010,16658.0,1533
53,"Reed Group, Ltd.",0,Equity interests,0,4/1/2010,203.0,0
54,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Senior secured loan ($6,000 par due 7/2015)",11.00% (11.00%/Q),6/28/2012,5962.0,6000
55,"Respicardia, Inc.",0,"Warrants to purchase up to 99,094 shares of series C preferred stock",0,6/28/2012,38.0,38
56,"Soteria Imaging Services, LLC (6)",Outpatient medical imaging provider,"Junior secured loan ($2,809 par due 11/2010)",0,4/1/2010,2326.0,1683
57,"Soteria Imaging Services, LLC (6)",0,"Preferred member units (1,823,179 units)",0,4/1/2010,0.0,0
58,"Sunquest Information Systems, Inc.",Laboratory software solutions provider,"Junior secured loan ($67,000 par due 6/2017)",9.75% (Libor + 8.50%/Q),12/16/2010,67000.0,67000
59,"Sunquest Information Systems, Inc.",0,"Junior secured loan ($58,000 par due 6/2017)",9.75% (Libor + 8.50%/Q),12/16/2010,58000.0,58000
60,"U.S. Renal Care, Inc.",Dialysis provider,"Senior secured loan ($7,406 par due 12/2016)",6.25% (Libor + 3.00%/Q),6/9/2011,7369.0,7406
61,"U.S. Renal Care, Inc.",0,"Senior subordinated loan ($51,081 par due 6/2018)","11.25% Cash, 2.00% PIK",5/24/2010,51081.0,53124
62,"Vantage Oncology, Inc.",Radiation oncology care provider,"Common stock (62,157 shares)",0,2/3/2011,4670.0,4560
63,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","Senior secured loan ($16,177 par due 3/2016)",9.50% (Libor + 8.50%/Q),3/18/2011,16177.0,16177
64,"American Academy Holdings, LLC",0,"Senior secured loan ($54,633 par due 3/2016)",9.50% (Libor + 8.50%/Q),3/18/2011,54633.0,54633
65,"American Academy Holdings, LLC",0,"Senior secured loan ($4,927 par due 3/2016)",9.50% (Libor + 8.50%/Q),3/18/2011,4927.0,4927
66,Campus Management Corp. and Campus Management Acquisition Corp. (6),Education software developer,"Preferred stock (485,159 shares)",0,2/8/2008,10520.0,13330
67,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Senior secured loan ($16,429 par due 12/2014)",6.25% (Libor + 5.25%/Q),12/10/2010,16429.0,16429
68,"Community Education Centers, Inc.",0,Senior secured loan ($714 par due 12/2014),7.50% (Base Rate + 4.25%/M),12/10/2010,714.0,714
69,"Community Education Centers, Inc.",0,"Junior secured loan ($42,263 par due 12/2015)","15.47% (Libor + 11.47% Cash, 4.00% PIK /Q)",12/10/2010,42263.0,38036
70,"Community Education Centers, Inc.",0,"Warrants to purchase up to 578,427 shares",0,12/10/2010,0.0,0
71,eInstruction Corporation,"Developer, manufacturer and retailer of educational products","Junior secured loan ($17,000 par due 7/2014)",0,4/1/2010,15257.0,372
72,eInstruction Corporation,0,"Senior subordinated loan ($29,545 par due 1/2015)",0,4/1/2010,24151.0,0
73,eInstruction Corporation,0,"Common stock (2,406 shares)",0,4/1/2010,926.0,0
74,"ELC Acquisition Corp., ELC Holdings Corporation, and","Developer, manufacturer and retailer of educational","Preferred stock (99,492 shares)",12.00% PIK,8/1/2011,10149.0,8934
75,"ELC Acquisition Corp., ELC Holdings Corporation, and",0,"Common stock (50,800 shares)",0,8/1/2011,51.0,0
76,"Infilaw Holding, LLC",Operator of for-profit law schools,"Senior secured loan ($28,847 par due 8/2016)",9.50% (Libor + 8.50%/Q),8/25/2011,28847.0,28847
77,"Infilaw Holding, LLC",0,"Series A preferred units (126,928 units)",9.50% (Libor + 8.50%/Q),8/25/2011,126928.0,126928
78,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",Private school operator,"Series B preferred stock (1,750,000 shares)",0,8/5/2010,5000.0,6628
79,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,"Series C preferred stock (2,512,586 shares)",0,6/7/2010,689.0,949
80,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,Common stock (20 shares),0,6/7/2010,0.0,0
81,"Lakeland Tours, LLC",Educational travel provider,"Senior secured revolving loan ($13,875 par due 12/2016)",6.00% (Libor + 4.50%/S),10/4/2011,13875.0,13875
82,"Lakeland Tours, LLC",0,"Senior secured revolving loan ($7,875 par due 12/2016)",6.75% (Base Rate + 3.50%/Q),10/4/2011,7875.0,7875
83,"Lakeland Tours, LLC",0,"Senior secured loan ($10,512 par due 12/2016)",6.00% (Libor + 4.50%/M),10/4/2011,10481.0,10512
84,"Lakeland Tours, LLC",0,"Senior secured loan ($53,765 par due 12/2016)",10.00% (Libor + 8.50%/M),10/4/2011,53608.0,53765
85,"Lakeland Tours, LLC",0,"Senior secured loan ($9,303 par due 12/2016)",6.00% (Libor + 4.50%/M),10/4/2011,9275.0,9303
86,"Lakeland Tours, LLC",0,"Senior secured loan ($40,362 par due 12/2016)",10.00% (Libor + 8.50%/M),10/4/2011,40243.0,40362
87,"Lakeland Tours, LLC",0,"Senior secured loan ($1,861 par due 12/2016)",6.00% (Libor + 4.50%/M),10/4/2011,1855.0,1861
88,"Lakeland Tours, LLC",0,"Senior secured loan ($8,072 par due 12/2016)",10.00% (Libor + 8.50%/M),10/4/2011,8048.0,8072
89,"Lakeland Tours, LLC",0,"Common stock (5,000 shares)",0,10/4/2011,5000.0,4750
90,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,"Senior secured loan ($3,442 par due 4/2013)",9.00% (Libor + 6.00%/Q),9/21/2007,3442.0,8688
91,"R3 Education, Inc. and EIC Acquisitions Corp.",0,"Senior secured loan ($6,940 par due 4/2013)",13.00% PIK,12/8/2009,5168.0,17516
92,"R3 Education, Inc. and EIC Acquisitions Corp.",0,"Preferred stock (8,800 shares)",0,7/30/2008,2200.0,1760
93,"R3 Education, Inc. and EIC Acquisitions Corp.",0,Common membership interest (26.27% interest),0,9/21/2007,15800.0,25156
94,"R3 Education, Inc. and EIC Acquisitions Corp.",0,"Warrants to purchase up to 27,890 shares",0,12/8/2009,0.0,0
95,"ADF Capital, Inc. & ADF Restaurant Group, LLC",Restaurant owner and operator,"Senior secured revolving loan ($1,868 par due 11/2013)",6.50% (Libor + 3.50%/Q),11/27/2006,1868.0,1868
96,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,"Senior secured loan ($7,060 par due 11/2013)",6.50% (Libor + 3.50%/Q),11/27/2006,7060.0,7060
97,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,"Senior secured loan ($11,200 par due 11/2014)",12.50% (Libor + 9.50%/Q),11/27/2006,11203.0,11200
98,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,"Senior secured loan ($9,338 par due 11/2014)",12.50% (Libor + 9.50%/Q),11/27/2006,9338.0,9338
99,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,"Promissory note ($14,897 par due 11/2016)",0,11/27/2006,14887.0,17724
100,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,Warrants to purchase up to 0.61 shares,0,6/1/2006,0.0,1897
101,"Hojeij Branded Foods, Inc.",Airport restaurant operator,"Senior secured loan ($4,000 par due 2/2017)",10.25% (Base Rate + 7.00%/Q),2/15/2012,4000.0,3920
102,"Hojeij Branded Foods, Inc.",0,"Senior secured loan ($15,000 par due 2/2017)",9.00% (Libor + 8.00%/Q),2/15/2012,14370.0,14700
103,"Hojeij Branded Foods, Inc.",0,Warrants to purchase up to 324 shares of Class A common stock,0,2/15/2012,669.0,808
104,"Hojeij Branded Foods, Inc.",0,Warrants to purchase up to 7.5% of membership interest,0,2/15/2012,0.0,0
105,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"Senior secured revolving loan ($9,800 par due 9/2014)",10.75% (Base Rate + 7.50%/M),4/1/2010,9800.0,9800
106,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Senior secured loan ($33,697 par due 9/2014)",10.00% (Libor + 8.50%/Q),4/1/2010,33697.0,33697
107,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Junior secured loan ($37,552 par due 9/2014)",14.00%,4/1/2010,26397.0,20370
108,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Preferred units (10,000 units)",0,10/28/2010,0.0,0
109,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Class A common units (25,001 units)",0,4/1/2010,0.0,0
110,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Class B common units (1,122,452 units)",0,4/1/2010,0.0,0
111,"OTG Management, Inc.",Airport restaurant operator,Senior secured revolving loan ($937 par due 8/2016),8.50% (Libor + 7.00%/Q),8/9/2011,937.0,937
112,"OTG Management, Inc.",0,"Senior secured loan ($22,437 par due 8/2016)",8.50% (Libor + 7.00%/Q),8/9/2011,22437.0,22437
113,"OTG Management, Inc.",0,"Junior secured loan ($29,285 par due 8/2016)",14.50% (Libor + 13.00%/M),8/9/2011,29285.0,29285
114,"OTG Management, Inc.",0,"Junior secured loan ($2,143 par due 8/2016)",14.50% (Libor + 13.00%/M),8/9/2011,2143.0,2143
115,"OTG Management, Inc.",0,"Junior secured loan ($6,000 par due 8/2016)",15.25% (Base Rate + 12.00%/Q),8/9/2011,6000.0,6000
116,"OTG Management, Inc.",0,"Common units (3,000,000 units)",0,1/5/2011,3000.0,2801
117,"OTG Management, Inc.",0,"Warrants to purchase up to 189,857 shares of common stock",0,6/19/2008,100.0,4877
118,"Restaurant Holding Company, LLC",Fast food restaurant operator,"Senior secured loan ($1,903 par due 2/2017)",9.75% (Base Rate + 6.50%/Q),2/15/2012,1867.0,1903
119,"Restaurant Holding Company, LLC",0,"Senior secured loan ($51,097 par due 2/2017)",9.00% (Libor + 7.50%/M),2/15/2012,50148.0,51097
120,"Restaurant Holding Company, LLC",0,Senior secured loan ($431 par due 2/2017),9.75% (Base Rate + 6.50%/Q),2/15/2012,422.0,431
121,"Restaurant Holding Company, LLC",0,"Senior secured loan ($11,569 par due 2/2017)",9.00% (Libor + 7.50%/M),2/15/2012,11345.0,11569
122,"Restaurant Holding Company, LLC",0,Senior secured loan ($359 par due 2/2017),9.75% (Base Rate + 6.50%/Q),2/15/2012,352.0,359
123,"Restaurant Holding Company, LLC",0,"Senior secured loan ($9,641 par due 2/2017)",9.00% (Libor + 7.50%/M),2/15/2012,9457.0,9641
124,S.B. Restaurant Company,Restaurant owner and operator,"Senior secured loan ($34,173 par due 7/2012)","13.00% (Libor + 11.00% Cash, 2.00% PIK /Q)",4/1/2010,33899.0,34173
125,S.B. Restaurant Company,0,"Preferred stock (46,690 shares)",0,4/1/2010,0.0,0
126,S.B. Restaurant Company,0,"Warrants to purchase up to 257,429 shares of common stock",0,4/1/2010,0.0,0
127,Vistar Corporation and Wellspring Distribution Corp.,Food service distributor,"Junior secured loan ($50,250 par due 5/2015)",11.00%,5/23/2008,49402.0,50250
128,Vistar Corporation and Wellspring Distribution Corp.,0,"Junior secured loan ($50,000 par due 5/2015)",11.00%,5/23/2008,49653.0,50000
129,Vistar Corporation and Wellspring Distribution Corp.,0,"Class A non-voting common stock (1,366,120 shares)",0,5/3/2008,7500.0,7247
130,Aviation Properties Corporation (7),Aviation services,Common stock (100 shares),0,4/1/2010,0.0,0
131,"Cast & Crew Payroll, LLC",Payroll services provider to the entertainment industry,"Senior secured loan ($70,000 par due 6/2017)",8.50% (Libor + 7.00%/Q),6/13/2012,70000.0,70000
132,"Cast & Crew Payroll, LLC",0,"Senior secured loan ($10,000 par due 6/2017)",8.50% (Libor + 7.00%/Q),6/13/2012,10000.0,10000
133,"CIBT Investment Holdings, LLC",Expedited travel document processing services,"Class A shares (2,500 shares)",0,12/15/2011,2500.0,2886
134,CitiPostal Inc. (7),Document storage and management services,"Senior secured revolving loan ($1,400 par due 12/2013)",6.75% (Base Rate + 3.25%/Q),4/1/2010,1400.0,1400
135,CitiPostal Inc. (7),0,Senior secured loan ($513 par due 12/2013),"8.50% Cash, 5.50% PIK",4/1/2010,513.0,513
136,CitiPostal Inc. (7),0,"Senior secured loan ($52,594 par due 12/2013)","8.50% Cash, 5.50% PIK",4/1/2010,52594.0,52594
137,CitiPostal Inc. (7),0,"Senior subordinated loan ($15,911 par due 12/2015)",0,4/1/2010,13038.0,2109
138,CitiPostal Inc. (7),0,"Common stock (37,024 shares)",0,4/1/2010,0.0,0
139,"Cornerstone Records Management, LLC",Physical records storage and management service provider,"Senior secured loan ($18,573 par due 8/2016)",8.50% (Libor + 7.00%/M),8/12/2011,18573.0,18202
140,"Coverall North America, Inc.",Commercial janitorial service provider,"Subordinated notes ($9,529 par due 2/2016)","10.00% Cash, 2.00% PIK",2/22/2011,9529.0,9529
141,"Diversified Collections Services, Inc.",Collections services,"Common stock (478,816 shares)",0,4/1/2010,1478.0,4319
142,"Diversified Collections Services, Inc.",0,"Common stock (128,931 shares)",0,2/5/2005,306.0,1163
143,"HCP Acquisition Holdings, LLC (7)",Healthcare compliance advisory services,"Class A units (12,287,082 units)",0,6/26/2008,12287.0,3437
144,"Impact Innovations Group, LLC",IT consulting and outsourcing services,Member interest (50.00% interest),0,4/1/2010,0.0,200
145,"Investor Group Services, LLC (6)",Business consulting for private equity and corporate clients,Limited liability company membership interest (10.00% interest),0,6/22/2006,0.0,1009
146,"Itel Laboratories, Inc.",Data services provider for building materials to property insurance industry,Senior secured revolving loan ($175 par due 6/2018),6.25% (Libor + 5.00%/Q),6/29/2012,175.0,175
147,"Itel Laboratories, Inc.",0,"Senior secured loan ($22,350 par due 6/2018)",7.00% (Base Rate + 3.75%/Q),6/29/2012,22350.0,22350
148,"Itel Laboratories, Inc.",0,"Preferred units (1,798,391 units)",0,6/29/2012,1000.0,1000
149,"Multi-Ad Services, Inc. (6)",Marketing services and software provider,"Preferred units (1,725,280 units)",0,4/1/2010,788.0,2329
150,"Multi-Ad Services, Inc. (6)",0,"Common units (1,725,280 units)",0,4/1/2010,0.0,0
151,"MVL Group, Inc. (7)",Marketing research provider,Senior secured revolving loan ($940 par due 6/2012),4.75% (Base Rate + 1.50%/M),6/28/2012,940.0,940
152,"MVL Group, Inc. (7)",0,"Senior secured loan ($22,772 par due 7/2012)",12.00%,4/1/2010,22772.0,22772
153,"MVL Group, Inc. (7)",0,"Senior subordinated loan ($36,306 par due 7/2012)","12.00% Cash, 2.50% PIK",4/1/2010,35737.0,28716
154,"MVL Group, Inc. (7)",0,Junior subordinated loan ($144 par due 7/2012),10.00%,4/1/2010,0.0,0
155,"MVL Group, Inc. (7)",0,"Common stock (560,716 shares)",0,4/1/2010,0.0,0
156,Pillar Processing LLC and PHL Holding Co. (6),Mortgage services,"Senior secured loan ($11,600 par due 11/2013)",0,7/31/2008,11473.0,10672
157,Pillar Processing LLC and PHL Holding Co. (6),0,"Senior secured loan ($7,375 par due 5/2014)",0,11/20/2007,7375.0,757
158,Pillar Processing LLC and PHL Holding Co. (6),0,Common stock (85 shares),0,11/20/2007,3768.0,0
159,"Powersport Auctioneer Holdings, LLC",Powersport vehicle auction operator,"Common Units (1,972 units)",0,3/2/2012,1000.0,915
160,"Prommis Holdings, LLC",Bankruptcy and foreclosure processing services,"Class B common units (1,727 units)",0,6/12/2012,0.0,0
161,"Promo Works, LLC",Marketing services,"Senior secured loan ($8,655 par due 12/2013)",0,4/1/2010,3738.0,2281
162,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",0,5/29/2007,250.0,89
163,Summit Business Media Parent Holding Company LLC,Business media consulting services,Limited liability company membership interest (22.99% interest),0,5/20/2011,0.0,757
164,"Tradesmen International, Inc.",Construction labor support,"Junior secured loan ($3,126 par due 5/2014)","13.00% Cash, 1.00% PIK",4/1/2010,2599.0,3126
165,"Tradesmen International, Inc.",0,"Warrants to purchase up to 771,036 shares",0,4/1/2010,0.0,7279
166,"Tripwire, Inc.",IT security software provider,"Senior secured loan ($20,000 par due 5/2018)",6.00% (Libor + 4.75%/Q),5/23/2011,20000.0,20000
167,"Tripwire, Inc.",0,"Senior secured loan ($50,000 par due 5/2018)",6.00% (Libor + 4.75%/Q),5/23/2011,50000.0,50000
168,"Tripwire, Inc.",0,"Senior secured loan ($10,000 par due 5/2018)",6.00% (Libor + 4.75%/Q),5/23/2011,10000.0,10000
169,"Tripwire, Inc.",0,"Class A common stock (2,970 shares)",0,5/23/2011,2970.0,6727
170,"Tripwire, Inc.",0,"Class B common stock (2,655,638 shares)",0,5/23/2011,30.0,68
171,"Venturehouse-Cibernet Investors, LLC",Financial settlement services for intercarrier wireless roaming,Equity interest,0,4/1/2010,0.0,0
172,"VSS-Tranzact Holdings, LLC (6)",Management consulting services,Series B preferred units (854 units),0,11/7/2011,867.0,921
173,"VSS-Tranzact Holdings, LLC (6)",0,Common membership interest (8.54% interest),0,10/26/2007,10204.0,388
174,"VSS-Tranzact Holdings, LLC (6)",0,"Warrants to purchase up to 4,206 units",0,11/7/2011,0.0,191
175,"AllBridge Financial, LLC (7)",Asset management services,Equity interests,0,4/1/2010,8435.0,11009
176,Callidus Capital Corporation (7),Asset management services,Common stock (100 shares),0,4/1/2010,3000.0,1005
177,Ciena Capital LLC (7),Real estate and small business loan servicer,"Senior secured revolving loan ($14,000 par due 12/2013)",6.00%,11/29/2010,14000.0,14000
178,Ciena Capital LLC (7),0,"Senior secured loan ($32,000 par due 12/2015)",12.00%,11/29/2010,32000.0,32000
179,Ciena Capital LLC (7),0,Equity interests,0,11/29/2010,53374.0,21622
180,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,"Senior subordinated loan ($28,000 par due 5/2018)",12.75%,5/10/2012,28000.0,28000
181,"Cook Inlet Alternative Risk, LLC",Risk management services,"Senior subordinated loan ($3,250 par due 9/2015)",9.00%,9/30/2011,3250.0,3250
182,Financial Pacific Company,Commercial finance leasing,"Preferred stock (6,500 shares)",8.00% PIK,10/13/2010,5181.0,8453
183,Financial Pacific Company,0,"Common stock (650,000 shares)",0,10/13/2010,0.0,0
184,Imperial Capital Group LLC,Investment services,"Class A common units (7,710 units)",0,5/10/2007,14997.0,21100
185,Imperial Capital Group LLC,0,"2006 Class B common units (2,526 units)",0,5/10/2007,3.0,4
186,Imperial Capital Group LLC,0,2007 Class B common units (315 units),0,5/10/2007,0.0,0
187,"Ivy Hill Asset Management, L.P. (7)(9)",Asset management services,Member interest (100.00% interest),0,6/15/2009,112876.0,204977
188,"Gilchrist & Soames, Inc.",Personal care manufacturer,"Senior secured revolving loan ($3,500 par due 10/2013)",6.25% (Libor + 5.00%/Q),4/1/2010,3500.0,3500
189,"Gilchrist & Soames, Inc.",0,"Senior secured loan ($21,941 par due 10/2013)",13.44%,4/1/2010,21564.0,20844
190,"Implus Footcare, LLC",Provider of footwear and other accessories,Preferred stock (455 shares),6.00% PIK,10/31/2011,4729.0,4729
191,"Implus Footcare, LLC",0,Common stock (455 shares),0,10/31/2011,455.0,357
192,Insight Pharmaceuticals Corporation (6),OTC drug products manufactuer,"Junior secured loan ($25,000 par due 8/2017)",13.25% (Libor + 11.75%/Q),8/26/2011,24756.0,24500
193,Insight Pharmaceuticals Corporation (6),0,"Class A common stock (155,000 shares)",0,8/26/2011,6035.0,8950
194,Insight Pharmaceuticals Corporation (6),0,"Class B common stock (155,000 shares)",0,8/26/2011,6035.0,8950
195,"Making Memories Wholesale, Inc. (7)",Scrapbooking branded products manufacturer,"Senior secured revolving loan ($2,250 par due 8/2014)",0,8/21/2009,2229.0,805
196,"Making Memories Wholesale, Inc. (7)",0,Common stock (100 shares),0,8/21/2009,0.0,0
197,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of over-the-counter healthcare products,"Senior secured revolving loan ($5,500 par due 6/2016)",13.00% (Libor + 12.00%/Q),6/30/2011,5500.0,5060
198,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",0,"Senior secured loan ($40,375 par due 6/2016)",13.00% (Libor + 12.00%/Q),6/30/2011,40144.0,37145
