,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,Fair  Value
21,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (16)",Revenue cycle management provider to the physician practices and acute care hospitals,Class A interests (0.39% interest),0,2/11/2019,9.0,14.2
23,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,First lien senior secured revolving loan ($0.4 par due 7/2024),5.25% (Libor + 4.25%/M),7/9/2019,0.4,0.4
24,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($30.8 par due 7/2026),5.70% (Libor + 4.25%/Q),7/9/2019,30.8,29.9
25,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($2.0 par due 7/2026),5.70% (Libor + 4.25%/Q),7/9/2019,2.0,2.0
26,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($17.1 par due 7/2026),5.70% (Libor + 4.25%/Q),9/10/2019,17.1,16.6
27,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($64.2 par due 7/2027),9.70% (Libor + 8.25%/Q),7/9/2019,64.2,62.9
28,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($5.3 par due 7/2027),9.70% (Libor + 8.25%/Q),7/9/2019,5.3,5.2
29,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($12.7 par due 7/2027),9.70% (Libor + 8.25%/Q),9/10/2019,12.7,12.4
30,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,"Class B common units (4,211 units)",0,7/9/2019,4.2,5.3
33,"CCS-CMGC Holdings, Inc. (16)",Correctional facility healthcare operator,First lien senior secured revolving loan ($7.5 par due 10/2023),7.50% (Base Rate + 4.25%/M),10/1/2018,7.5,7.0
34,"CCS-CMGC Holdings, Inc. (16)",Correctional facility healthcare operator,First lien senior secured revolving loan ($0.9 par due 10/2023),6.24% (Libor + 5.25%/M),10/1/2018,0.9,0.9
35,"CCS-CMGC Holdings, Inc. (16)",Correctional facility healthcare operator,First lien senior secured loan ($34.6 par due 10/2025),6.84% (Libor + 5.50%/Q),9/25/2018,34.3,32.1
37,"Center for Autism and Related Disorders, LLC (16)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan ($7.8 par due 11/2023),5.40% (Libor + 4.00%/Q),11/21/2018,7.8,7.0
38,"Comprehensive EyeCare Partners, LLC (16)",Vision care practice management company,First lien senior secured revolving loan ($1.8 par due 2/2024),5.75% (Libor + 4.50%/Q),2/14/2018,1.8,1.6
39,"Comprehensive EyeCare Partners, LLC (16)",Vision care practice management company,First lien senior secured loan ($5.3 par due 2/2024),5.95% (Libor + 4.50%/Q),2/14/2018,5.3,5.0
40,"Comprehensive EyeCare Partners, LLC (16)",Vision care practice management company,First lien senior secured loan ($1.0 par due 2/2024),6.75% (Base Rate + 3.50%/Q),2/14/2018,1.0,1.0
41,"Comprehensive EyeCare Partners, LLC (16)",Vision care practice management company,First lien senior secured loan ($2.4 par due 2/2024),5.95% (Libor + 4.50%/Q),2/14/2018,2.4,2.2
43,"Convey Health Solutions, Inc.",Workforce management solutions provider,First lien senior secured loan ($20.1 par due 9/2026),7.01% (Libor + 5.25%/Q),9/4/2019,20.1,19.5
44,"CVP Holdco, Inc. and OMERS Wildcats Holdings Inc. (16)",Veterinary hospital operator,First lien senior secured revolving loan ($0.7 par due 10/2024),6.87% (Libor + 5.75%/M),10/31/2019,0.7,0.7
45,"CVP Holdco, Inc. and OMERS Wildcats Holdings Inc. (16)",Veterinary hospital operator,First lien senior secured loan ($66.1 par due 10/2025),7.34% (Libor + 5.75%/Q),10/31/2019,66.1,62.1
46,"CVP Holdco, Inc. and OMERS Wildcats Holdings Inc. (16)",Veterinary hospital operator,First lien senior secured loan ($14.1 par due 10/2025),7.34% (Libor + 5.75%/Q),10/31/2019,14.1,13.3
47,"CVP Holdco, Inc. and OMERS Wildcats Holdings Inc. (16)",Veterinary hospital operator,"Common stock (31,005 shares)",0,10/31/2019,9.6,9.7
49,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (16)",Dental services provider,First lien senior secured revolving loan ($4.8 par due 12/2022),9.50% (Base Rate + 6.25%/Q),12/21/2016,4.8,4.6
50,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (16)",Dental services provider,"Class A preferred units (1,000,000 units)",0,12/21/2016,1.0,1.0
52,"DCA Investment Holding, LLC (16)",Multi-branded dental practice management,First lien senior secured revolving loan ($5.7 par due 7/2021),6.25% (Libor + 5.25%/M),7/2/2015,5.7,5.4
53,"DCA Investment Holding, LLC (16)",Multi-branded dental practice management,First lien senior secured loan ($18.3 par due 7/2021),6.32% (Libor + 5.25%/Q),7/2/2015,18.2,17.5
55,"Emerus Holdings, Inc.",Freestanding 24-hour emergency care micro-hospitals operator,First lien senior secured loan ($16.5 par due 2/2022),14.00%,2/21/2019,16.5,16.5
56,"Evolent Health LLC and Evolent Health, Inc. (16)",Medical technology company focused on value based care services and payment solutions,First lien senior secured loan ($67.1 par due 12/2024),9.45% (Libor + 8.00%/Q),12/30/2019,61.2,61.1
57,"Evolent Health LLC and Evolent Health, Inc. (16)",Medical technology company focused on value based care services and payment solutions,"Warrant to purchase up to 1,354,968 shares of common stock (expires 1/2025)",0,12/30/2019,5.9,5.9
59,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($34.5 par due 6/2025),9.37% (Libor + 8.00%/Q),6/30/2017,34.2,33.2
60,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($55.0 par due 6/2025),9.37% (Libor + 8.00%/Q),1/13/2020,55.0,52.8
61,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,"Series A preferred stock (110,425 shares)",12.20% PIK (Libor + 10.75%/Q),6/30/2017,157.2,150.9
63,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,"Class A units (14,013,303 units)",0,6/30/2017,14.0,16.9
65,Hygiena Borrower LLC (16),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($2.5 par due 8/2023),9.20% (Libor + 7.75%/Q),8/26/2016,2.5,2.4
66,Hygiena Borrower LLC (16),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($10.7 par due 8/2023),9.20% (Libor + 7.75%/Q),2/27/2017,10.7,10.2
67,Hygiena Borrower LLC (16),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($11.1 par due 8/2023),9.20% (Libor + 7.75%/Q),6/29/2018,11.1,10.7
68,Hygiena Borrower LLC (16),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($0.6 par due 8/2023),9.20% (Libor + 7.75%/Q),6/29/2018,0.6,0.6
70,"JDC Healthcare Management, LLC (16)",Dental services provider,First lien senior secured revolving loan ($4.0 par due 4/2022),8.75% (Libor + 7.75%/M),4/10/2017,4.0,3.2
71,"JDC Healthcare Management, LLC (16)",Dental services provider,First lien senior secured loan ($29.6 par due 4/2023),"8.75% (Libor + 6.75% Cash, 1.00% PIK/M)",4/10/2017,29.6,23.7
72,"JDC Healthcare Management, LLC (16)",Dental services provider,First lien senior secured loan ($4.2 par due 4/2023),"8.75% (Libor + 6.75% Cash, 1.00% PIK/M)",4/10/2017,4.2,3.3
74,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (16)",Provider of behavioral health services,First lien senior secured revolving loan ($4.5 par due 3/2022),6.00% (Libor + 5.00%/M),3/17/2017,4.5,4.1
75,Key Surgical LLC (16),"Provider of sterile processing, operating room and instrument care supplies for hospitals",First lien senior secured revolving loan ($1.1 par due 6/2022),5.75% (Libor + 4.75%/Q),6/1/2017,1.1,1.0
76,Key Surgical LLC (16),"Provider of sterile processing, operating room and instrument care supplies for hospitals",First lien senior secured loan ($16.1 par due 6/2023),6.00% (EURIBOR + 5.00%/Q),6/1/2017,16.4,15.7
77,Key Surgical LLC (16),"Provider of sterile processing, operating room and instrument care supplies for hospitals",First lien senior secured loan ($5.4 par due 6/2023),6.00% (Libor + 5.00%/M),8/28/2019,5.4,5.2
79,"MB2 Dental Solutions, LLC (16)",Dental services provider,First lien senior secured revolving loan ($4.6 par due 9/2023),7.25% (Base Rate + 4.00%/Q),9/29/2017,4.6,4.3
80,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,First lien senior secured loan ($0.8 par due 7/2020),7.75% (Base Rate + 4.50%/M),7/26/2017,0.8,0.8
81,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,First lien senior secured loan ($115.2 par due 7/2020),7.00% (Libor + 5.50%/M),7/26/2017,115.2,114.0
82,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,"Class A units (1,438,643 shares)",0,1/17/2014,1.5,1.2
84,"Minerva Surgical, Inc. (16)",Medical device company focused on women's health,First lien senior secured loan ($30.1 par due 12/2022),11.50% (Libor + 9.50%/Q),12/30/2019,29.0,28.9
85,MW Dental Holding Corp. (16),Dental services provider,First lien senior secured revolving loan ($10.2 par due 4/2021),8.25% (Libor + 6.75%/Q),4/12/2011,10.2,9.9
86,MW Dental Holding Corp. (16),Dental services provider,First lien senior secured loan ($125.4 par due 4/2021),8.25% (Libor + 6.75%/Q),4/12/2011,125.4,121.6
87,MW Dental Holding Corp. (16),Dental services provider,First lien senior secured loan ($24.4 par due 4/2021),8.25% (Libor + 6.75%/Q),3/19/2018,24.4,23.6
89,NMN Holdings III Corp. and NMN Holdings LP (16),Provider of complex rehab technology solutions for patients with mobility loss,First lien senior secured revolving loan ($8.8 par due 11/2023),4.42% (Libor + 3.50%/M),11/13/2018,8.8,8.3
90,NMN Holdings III Corp. and NMN Holdings LP (16),Provider of complex rehab technology solutions for patients with mobility loss,"Partnership units (30,000 units)",0,11/13/2018,3.0,3.1
92,"NMSC Holdings, Inc. and ASP NAPA Holdings, LLC",Anesthesia management services provider,Second lien senior secured loan ($72.8 par due 10/2023),11.62% (Libor + 10.00%/B),4/19/2016,72.8,68.4
94,"NMSC Holdings, Inc. and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Class A units (25,790 units)",0,4/19/2016,2.6,0.7
96,"NueHealth Performance, LLC (16)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($9.9 par due 9/2023),7.50% (Libor + 6.50%/M),9/27/2018,9.9,9.6
97,"NueHealth Performance, LLC (16)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($1.5 par due 9/2023),8.10% (Libor + 6.50%/M),9/27/2018,1.5,1.4
99,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (16)",Behavioral health and special education platform provider,First lien senior secured revolving loan ($10.1 par due 9/2024),6.50% (Libor + 5.50%/Q),9/24/2019,10.1,9.4
100,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (16)",Behavioral health and special education platform provider,First lien senior secured loan ($42.9 par due 9/2026),6.50% (Libor + 5.50%/M),9/24/2019,42.9,39.9
101,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (16)",Behavioral health and special education platform provider,"Class A common units (9,549,000 units)",0,9/24/2019,9.5,7.4
103,"OMH-HealthEdge Holdings, LLC (16)",Revenue cycle management software provider for healthcare companies,First lien senior secured loan ($26.6 par due 10/2025),6.50% (Libor + 5.50%/M),10/24/2019,26.6,25.8
104,"OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),0,11/21/2013,1.0,0.6
105,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (16),Veterinary hospital operator,First lien senior secured loan ($10.9 par due 3/2027),4.24% (Libor + 3.25%/M),3/31/2020,10.9,10.3
106,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (16),Veterinary hospital operator,Second lien senior secured loan ($76.3 par due 3/2028),8.75% (Libor + 7.75%/M),3/31/2020,76.3,73.5
107,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (16),Veterinary hospital operator,"Class R common units (6,004,768 units)",0,3/31/2020,6.0,6.0
109,"Patterson Medical Supply, Inc.",Distributor of rehabilitation supplies and equipment,Second lien senior secured loan ($78.0 par due 8/2023),10.28% (Libor + 8.50%/Q),9/2/2015,77.1,60.1
110,"PetIQ, LLC",Distributor and manufacturer of pet prescription medications and health products,First lien senior secured revolving loan ($21.0 par due 7/2025),5.50% (Libor + 4.50%/M),1/17/2018,21.0,20.3
111,"PetVet Care Centers, LLC",Veterinary hospital operator,First lien senior secured loan ($26.2 par due 2/2025),5.25% (Libor + 4.25%/M),10/31/2019,25.8,24.5
112,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($47.2 par due 5/2021),9.83% (Libor + 8.75%/Q),12/18/2015,47.1,46.3
113,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (16),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured revolving loan ($34.4 par due 7/2023),4.12% (Libor + 3.25%/B),7/10/2018,34.4,32.7
114,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (16),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured loan ($10.8 par due 7/2025),4.95% (Libor + 3.50%/Q),7/10/2018,10.8,10.3
115,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (16),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,Second lien senior secured loan ($67.1 par due 7/2026),8.95% (Libor + 7.50%/Q),7/10/2018,66.6,64.4
116,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (16),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,"Class A units (9,775 units)",0,7/10/2018,9.8,10.6
118,"ProVation Medical, Inc.",Provider of documentation and coding software for GI physicians,First lien senior secured loan ($12.9 par due 3/2024),8.85% (Libor + 7.00%/Q),3/9/2018,12.7,12.7
119,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",0,6/28/2012,0.0,0.0
120,"RTI Surgical, Inc.","Manufacturer of biologic, metal and synthetic implants/devices",Second lien senior secured loan ($96.1 par due 12/2023),"9.75% (Libor + 4.375% Cash, 4.375% PIK/Q)",3/8/2019,96.1,96.1
121,"SCSG EA Acquisition Company, Inc. (16)",Provider of outsourced clinical services to hospitals and health systems,First lien senior secured revolving loan ($0.9 par due 9/2022),5.00% (Libor + 4.00%/M),9/1/2017,0.9,0.9
122,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (16)",Outsourced anesthesia provider,First lien senior secured loan ($17.1 par due 3/2024),6.20% (Libor + 4.75%/Q),3/26/2018,17.1,16.5
123,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (16)",Outsourced anesthesia provider,"Common units (684,854 units)",0,3/26/2018,4.9,3.0
126,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (16)",Breast cancer screening provider,First lien senior secured revolving loan ($5.5 par due 8/2024),5.95% (Libor + 4.50%/Q),8/1/2018,5.5,5.3
127,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (16)",Breast cancer screening provider,First lien senior secured loan ($7.0 par due 8/2024),6.95% (Libor + 5.50%/Q),8/1/2018,7.0,6.8
128,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (16)",Breast cancer screening provider,"Series A preferred stock (44,975 shares)",11.70% PIK (Libor + 10.25%/Q),8/1/2018,55.5,55.5
129,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (16)",Breast cancer screening provider,"Series A units (7,475 units)",0,8/1/2018,7.5,0.1
130,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (16)",Breast cancer screening provider,"Series B units (747,500 units)",0,8/1/2018,0.0,6.1
132,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (16)",Franchisor of private-pay home care for the elderly,First lien senior secured revolving loan ($2.5 par due 4/2024),6.75% (Libor + 5.75%/M),4/2/2018,2.5,2.5
133,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (16)",Franchisor of private-pay home care for the elderly,First lien senior secured loan ($15.8 par due 4/2024),7.20% (Libor + 5.75%/Q),4/2/2018,15.8,15.8
134,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (16)",Franchisor of private-pay home care for the elderly,Common units (550 units),0,4/2/2018,0.6,0.8
136,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($52.3 par due 6/2024),"9.75% (Libor + 7.75% Cash, 1.00% PIK/Q)",12/13/2018,52.3,48.1
137,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($29.8 par due 6/2024),"10.06% (Libor + 7.75% Cash, 1.00% PIK/Q)",12/13/2018,29.8,27.5
139,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P. (16)","Manufacturer of consumable products in the dental, medical, cosmetic and CPG/industrial end-markets",First lien senior secured loan ($25.4 par due 11/2025),5.82% (Libor + 4.75%/Q),11/15/2018,25.4,24.6
140,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P. (16)","Manufacturer of consumable products in the dental, medical, cosmetic and CPG/industrial end-markets","Class A preferred units (2,149 units)",8.00% PIK,11/15/2018,2.4,1.9
142,"U.S. Acute Care Solutions, LLC (16)",Provider of physician management services,First lien senior secured revolving loan ($0.9 par due 11/2020),6.00% (Libor + 5.00%/M),2/8/2018,0.9,0.9
143,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,Second lien senior secured loan ($71.8 par due 6/2025),8.85% (Libor + 7.25%/M),6/16/2017,71.1,68.9
144,"United Digestive MSO Parent, LLC (16)",Gastroenterology physician group,First lien senior secured revolving loan ($8.4 par due 12/2023),5.50% (Libor + 4.50%/Q),12/14/2018,8.4,8.4
145,"United Digestive MSO Parent, LLC (16)",Gastroenterology physician group,First lien senior secured loan ($12.4 par due 12/2024),6.28% (Libor + 4.50%/Q),12/14/2018,12.4,12.4
147,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Preferred units (7,696,613 units)",0,6/11/2015,7.7,0.0
148,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Series A common units (2,000,000 units)",0,6/11/2015,2.0,0.0
149,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Series C common units (5,288,427 units)",0,6/11/2015,0.0,0.0
151,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",Urology private practice,First lien senior secured loan ($9.7 par due 8/2024),6.00% (Libor + 5.00%/M),8/31/2018,9.6,9.4
152,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",Urology private practice,Limited partnership interests (3.64% interest),0,8/31/2018,4.8,4.2
154,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured revolving loan ($3.5 par due 3/2024),7.70% (Libor + 6.25%/Q),3/30/2018,3.5,3.5
155,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($28.1 par due 3/2024),7.70% (Libor + 6.25%/Q),3/30/2018,28.1,27.8
156,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($5.9 par due 3/2024),7.70% (Libor + 6.25%/Q),3/30/2018,5.9,5.9
158,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($4.6 par due 3/2024),7.70% (Libor + 6.25%/Q),2/11/2019,4.6,4.6
159,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($5.8 par due 3/2024),7.70% (Libor + 6.25%/Q),2/11/2019,5.8,5.8
160,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($8.7 par due 3/2024),7.70% (Libor + 6.25%/Q),8/30/2019,8.7,8.6
161,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($11.0 par due 3/2024),7.70% (Libor + 6.25%/Q),10/31/2019,11.0,10.9
165,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (16)",Payment processing solution provider,First lien senior secured revolving loan ($1.8 par due 3/2026),6.75% (Libor + 5.50%/Q),2/28/2020,1.8,1.7
166,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (16)",Payment processing solution provider,First lien senior secured loan ($65.0 par due 3/2026),6.95% (Libor + 5.50%/Q),2/28/2020,65.0,62.4
167,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (16)",Payment processing solution provider,Senior subordinated loan ($22.0 par due 2/2028),12.75% PIK,2/28/2020,22.0,20.9
169,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (16)",Provider of IP management lifecycle software,First lien senior secured loan ($4.6 par due 4/2026),5.50% (Euribor + 5.50%/Q),4/10/2019,4.7,4.6
170,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (16)",Provider of IP management lifecycle software,First lien senior secured loan ($7.7 par due 4/2026),7.07% (Libor + 5.25%/Q),4/10/2019,7.7,7.7
171,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (16)",Provider of IP management lifecycle software,"Limited partnership units (4,400,000 units)",0,6/13/2019,5.0,5.9
173,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(16)",Aircraft performance software provider,First lien senior secured loan ($12.9 par due 1/2025),6.75% (Libor + 5.25%/Q),1/3/2020,12.9,12.6
174,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(16)",Aircraft performance software provider,First lien senior secured loan ($0.5 par due 1/2025),6.75% (Libor + 5.25%/Q),1/3/2020,0.5,0.5
175,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(16)",Aircraft performance software provider,"Class A Membership units (9,750,000 units)",0,1/3/2020,9.8,9.0
177,"Apptio, Inc. (16)",Provider of cloud-based technology business management solutions,First lien senior secured loan ($62.2 par due 1/2025),8.25% (Libor + 7.25%/M),1/10/2019,62.2,60.9
178,"Avetta, LLC (16)",Supply chain risk management SaaS platform for global enterprise clients,First lien senior secured loan ($36.0 par due 4/2024),6.82% (Libor + 5.75%/Q),4/10/2018,36.0,34.9
179,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (16)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,First lien senior secured revolving loan ($2.3 par due 8/2023),10.00% (Base Rate + 6.75%/M),8/20/2018,2.3,2.2
180,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (16)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,First lien senior secured loan ($40.8 par due 8/2023),8.45% (Libor + 6.75%/Q),8/20/2018,40.8,40.0
181,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (16)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,"Series A preferred stock (150,000 shares)",0,9/26/2018,1.5,1.7
183,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",0,7/23/2014,0.0,0.0
184,"Clearwater Analytics, LLC (16)","Provider of integrated cloud-based investment portfolio management, accounting, reporting and analytics software",First lien senior secured loan ($3.9 par due 12/2025),7.41% (Libor + 5.50%/Q),12/3/2019,3.9,3.9
185,Command Alkon Incorporated (16),Software solutions provider to the ready-mix concrete industry,First lien senior secured revolving loan,0,9/1/2017,0.0,0.0
186,Command Alkon Incorporated (16),Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($20.2 par due 9/2023),"7.58% (Libor + 5.00% Cash, 1.00% PIK/M)",9/1/2017,20.2,20.2
188,Command Alkon Incorporated (16),Software solutions provider to the ready-mix concrete industry,Second lien senior secured loan ($34.0 par due 3/2024),"11.58% (Libor + 9.00% Cash, 1.00% PIK/M)",9/1/2017,34.0,34.0
