,Company(1),Business Description,Investment,Interest (5)(11),Acquisition  Date,Amortized  Cost,Fair Value
18,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",0,"Senior secured loan ($7,190 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7190.0,6759
19,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",0,"Class A common stock (9,679 shares)",0,6/15/2007,4000.0,3864
20,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",0,"Class C common stock (1,546 shares)",0,6/15/2007,0.0,617
21,"INC Research, Inc.",Pharmaceutical and biotechnology consulting services,"Common stock (1,410,000 shares)",0,9/27/2010,1512.0,1015
22,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($15,436 par due 3/2018)",9.75% (Libor + 8.75%/Q),9/15/2010,15436.0,15436
23,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,"Senior secured loan ($43,231 par due 3/2018)",9.75% (Libor + 8.75%/Q),9/15/2010,43231.0,43231
24,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,"Senior secured loan ($4,912 par due 3/2018)",9.75% (Libor + 8.75%/Q),9/15/2010,4912.0,4912
25,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,"Senior secured loan ($55,804 par due 3/2018)",9.75% (Libor + 8.75%/Q),3/16/2012,55804.0,55804
26,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",0,"Senior secured loan ($15,719 par due 3/2018)",9.75% (Libor + 8.75%/Q),3/16/2012,15719.0,15719
27,MW Dental Holding Corp.,Dental services,"Senior secured revolving loan ($2,000 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,2000.0,2000
28,MW Dental Holding Corp.,0,"Senior secured loan ($49,948 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,49948.0,49948
29,MW Dental Holding Corp.,0,"Senior secured loan ($49,377 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,49377.0,49377
30,MW Dental Holding Corp.,0,"Senior secured loan ($9,925 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,9925.0,9925
31,Napa Management Services Corporation,Anesthesia management services provider,"Secured secured revolving loan ($2,400 par due 4/2016)",7.50% (Libor + 6.00%/M),4/15/2011,2400.0,2400
32,Napa Management Services Corporation,0,"Senior secured loan ($21,682 par due 4/2016)",7.50% (Libor + 6.00%/Q),4/15/2011,21404.0,21682
33,Napa Management Services Corporation,0,"Senior secured loan ($28,500 par due 4/2016)",7.50% (Libor + 6.00%/Q),4/15/2011,28500.0,28500
34,Napa Management Services Corporation,0,"Common units (5,000 units)",0,4/15/2011,5000.0,6264
35,"NS Merger Sub. Inc. and NS Holdings, Inc.",Healthcare technology provider,Senior subordinated loan ($579 par due 6/2017),13.50%,6/21/2010,579.0,579
36,"NS Merger Sub. Inc. and NS Holdings, Inc.",0,"Senior subordinated loan ($50,000 par due 6/2017)",13.50%,6/21/2010,50000.0,50000
37,"NS Merger Sub. Inc. and NS Holdings, Inc.",0,"Common stock (2,500,000 shares)",0,6/21/2010,2500.0,3237
38,OnCURE Medical Corp.,Radiation oncology care provider,"Common stock (857,143 shares)",0,8/18/2006,3000.0,0
39,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",Healthcare technology provider,"Series A preferred stock (1,594,457 shares)",0,7/30/2008,11156.0,10875
40,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",0,"Common stock (16,106 shares)",0,7/30/2008,100.0,0
41,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Junior secured loan ($45,000 par due 10/2018)",8.25% (Libor + 7.00%/Q),4/19/2012,45000.0,45000
42,"PG Mergersub, Inc. and PGA Holdings, Inc.",0,Preferred stock (333 shares),0,3/12/2008,125.0,15
43,"PG Mergersub, Inc. and PGA Holdings, Inc.",0,"Common stock (16,667 shares)",0,3/12/2008,167.0,767
44,"PRA Holdings, Inc.",Drug testing services,"Senior secured loan ($12,000 par due 12/2014)",4.39% (Libor + 4.00%/Q),12/14/2007,11759.0,11761
45,"PRA Holdings, Inc.",0,"Senior secured loan ($11,330 par due 12/2014)",4.39% (Libor + 4.00%/Q),12/14/2007,11106.0,11104
46,"RCHP, Inc.",Operator of general acute care hospitals,"Junior secured loan ($15,000 par due 5/2019)",11.50% (Libor + 10.00%/Q),11/4/2011,15000.0,15000
47,"RCHP, Inc.",0,"Junior secured loan ($50,000 par due 5/2019)",11.50% (Libor + 10.00%/Q),11/4/2011,50000.0,50000
48,"Reed Group, Ltd.",Medical disability management services provider,Senior secured revolving loan ($155 par due 12/2013),11.50% (Libor + 9.00% Cash/Q),4/1/2010,116.0,147
49,"Reed Group, Ltd.",0,"Senior secured revolving loan ($1,327 par due 12/2013)",9.50% (Libor + 7.00% Cash/Q),4/1/2010,990.0,1261
50,"Reed Group, Ltd.",0,"Senior secured loan ($12,753 par due 12/2013)",9.50% (Libor + 7.00% Cash/Q),4/1/2010,9503.0,12115
51,"Reed Group, Ltd.",0,"Senior secured loan ($28,641 par due 12/2013)",0,4/1/2010,16658.0,10108
52,"Reed Group, Ltd.",0,Equity interests,0,4/1/2010,203.0,37
53,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Senior secured loan ($6,000 par due 7/2015)",11.00%,6/28/2012,5965.0,6000
54,"Respicardia, Inc.",0,"Warrants to purchase up to 99,094 shares of Series C Preferred Stock",0,6/28/2012,38.0,38
55,"Soteria Imaging Services, LLC (6)",Outpatient medical imaging provider,"Junior secured loan ($2,794 par due 11/2010)",0,4/1/2010,2272.0,1350
56,"Soteria Imaging Services, LLC (6)",0,"Preferred member units (1,823,179 units)",0,4/1/2010,0.0,0
57,"SurgiQuest, Inc.",Medical device company,"Senior secured loan ($7,000 par due 10/2016)",10.00%,9/28/2012,7000.0,7000
58,"SurgiQuest, Inc.",0,"Warrants to purchase up to 54,672 shares of Series D-4 convertible preferred stock",0,9/28/2012,0.0,0
59,"Vantage Oncology, Inc.",Radiation oncology care provider,"Common stock (62,157 shares)",0,2/3/2011,4670.0,3256
60,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","Senior secured loan ($8,549 par due 3/2016)",9.50% (Libor + 8.50%/Q),3/18/2011,8549.0,8549
61,"American Academy Holdings, LLC",0,"Senior secured loan ($53,828 par due 3/2016)",9.50% (Libor + 8.50%/Q),3/18/2011,53828.0,53828
62,"American Academy Holdings, LLC",0,"Senior secured loan ($4,855 par due 3/2016)",9.50% (Libor + 8.50%/Q),3/18/2011,4855.0,4855
63,Campus Management Corp. and Campus Management Acquisition Corp. (6),Education software developer,"Preferred stock (485,159 shares)",0,2/8/2008,10520.0,12945
64,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Senior secured loan ($15,714 par due 12/2014)",6.25% (Libor + 5.25%/Q),12/10/2010,15714.0,15714
65,"Community Education Centers, Inc.",0,"Junior secured loan ($32,814 par due 12/2015)","15.46% (Libor + 11.46% Cash, 4.00% PIK /Q)",12/10/2010,32814.0,29534
66,"Community Education Centers, Inc.",0,"Junior secured loan ($9,877 par due 12/2015)","15.44% (Libor + 11.44% Cash, 4.00% PIK /Q)",12/10/2010,9877.0,8889
67,"Community Education Centers, Inc.",0,"Warrants to purchase up to 578,427 shares",0,12/10/2010,0.0,0
68,eInstruction Corporation,"Developer, manufacturer and retailer of educational products","Junior secured loan ($17,000 par due 7/2014)",0,4/1/2010,15257.0,0
69,eInstruction Corporation,0,"Senior subordinated loan ($30,740 par due 1/2015)",0,4/1/2010,24151.0,0
70,eInstruction Corporation,0,"Common stock (2,406 shares)",0,4/1/2010,926.0,0
71,"ELC Acquisition Corp., ELC Holdings Corporation, and Excelligence Learning Corporation (6)","Developer, manufacturer and retailer of educational products","Preferred stock (99,492 shares)",0,8/1/2011,10149.0,11090
72,"ELC Acquisition Corp., ELC Holdings Corporation, and Excelligence Learning Corporation (6)",0,"Common stock (50,800 shares)",0,8/1/2011,51.0,1372
73,"Infilaw Holding, LLC",Operator of three for-profit law schools,Senior secured loan ($2 par due 8/2016),9.50% (Libor + 8.50%/Q),8/25/2011,2.0,2
74,"Infilaw Holding, LLC",0,"Senior secured loan ($28,311 par due 8/2016)",9.50% (Libor + 8.50%/Q),8/25/2011,28311.0,28311
75,"Infilaw Holding, LLC",0,"Series A preferred units (124,890 units)",9.50% (Libor + 8.50%/Q),8/25/2011,124890.0,124890
76,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",Private school operator,"Series B preferred stock (1,750,000 shares)",0,8/5/2010,5000.0,6883
77,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,"Series C preferred stock (2,512,586 shares)",0,6/7/2010,689.0,1146
78,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,Common stock (20 shares),0,6/7/2010,0.0,0
79,"Lakeland Tours, LLC",Educational travel provider,"Senior secured revolving loan ($12,375 par due 12/2016)",6.00% (Libor + 4.50%/Q),10/4/2011,12375.0,12375
80,"Lakeland Tours, LLC",0,"Senior secured revolving loan ($6,722 par due 12/2016)",6.75% (Base Rate + 3.50%/Q),10/4/2011,6722.0,6722
81,"Lakeland Tours, LLC",0,"Senior secured loan ($50,753 par due 12/2016)",10.00% (Libor + 8.50%/Q),10/4/2011,50612.0,50753
82,"Lakeland Tours, LLC",0,"Senior secured loan ($9,135 par due 12/2016)",6.00% (Libor + 4.50%/Q),10/4/2011,9109.0,9135
83,"Lakeland Tours, LLC",0,"Senior secured loan ($40,362 par due 12/2016)",10.00% (Libor + 8.50%/Q),10/4/2011,40249.0,40362
84,"Lakeland Tours, LLC",0,"Senior secured loan ($1,827 par due 12/2016)",6.00% (Libor + 4.50%/Q),10/4/2011,1822.0,1827
85,"Lakeland Tours, LLC",0,"Senior secured loan ($8,072 par due 12/2016)",10.00% (Libor + 8.50%/Q),10/4/2011,8049.0,8072
86,"Lakeland Tours, LLC",0,"Common stock (5,000 shares)",0,10/4/2011,5000.0,4670
87,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,"Senior secured loan ($2,468 par due 4/2013)",9.00% (Libor + 6.00%/Q),9/21/2007,2468.0,6825
88,"R3 Education, Inc. and EIC Acquisitions Corp.",0,"Senior secured loan ($7,162 par due 4/2013)",13.00% PIK,12/8/2009,5837.0,19806
89,"R3 Education, Inc. and EIC Acquisitions Corp.",0,"Preferred stock (8,800 shares)",0,7/30/2008,2200.0,1760
90,"R3 Education, Inc. and EIC Acquisitions Corp.",0,Common membership interest (26.27% interest),0,9/21/2007,15800.0,27284
91,"R3 Education, Inc. and EIC Acquisitions Corp.",0,"Warrants to purchase up to 27,890 shares",0,12/8/2009,0.0,0
92,Capital Investments and Ventures Corp.,SCUBA diver training and certification provider,"Senior secured loan ($85,000 par due 8/2018)",8.50% (Libor + 7.25%/Q),8/9/2012,85000.0,85000
93,CCC Information Services Inc.,Developer and marketer of information and software solutions to the automobile claims industry,"Senior secured loan ($40,000 par due 11/2015)",5.75% (Libor + 4.25%/Q),8/20/2012,39710.0,40000
94,CCC Information Services Inc.,0,"Senior subordinated loan ($65,000 par due 2/2016)",10.50%,8/20/2012,65158.0,65000
95,"Competitor Group, Inc.",Endurance sports media and event operator,"Senior secured loan ($29,304 par due 1/2017)",9.50% (Libor + 8.00%/M),1/30/2012,29304.0,29304
96,"Competitor Group, Inc.",0,"Senior secured loan ($4,937 par due 1/2017)",9.50% (Libor + 8.00%/M),1/30/2012,4937.0,4937
97,"Massage Envy, LLC",Massage and spa services franchisor,Senior secured revolving loan ($300 par due 9/2018),8.50% (Libor + 7.25%/Q),9/27/2012,300.0,300
98,"Massage Envy, LLC",0,"Senior secured loan ($81,000 par due 9/2018)",8.50% (Libor + 7.25%/Q),9/27/2012,81000.0,81000
99,"Massage Envy, LLC",0,"Common stock (3,000,000 shares)",0,9/27/2012,3000.0,3000
100,"McKenzie Sports Products, LLC","Designer, manufacturer and distributor of taxidermy forms and supplies",Senior secured revolving loan ($389 par due 3/2017),7.00% (Libor + 5.50%/Q),3/30/2012,389.0,389
101,"McKenzie Sports Products, LLC",0,Senior secured revolving loan ($61 par due 3/2017),7.75% (Base Rate + 4.50%/M),3/30/2012,61.0,61
102,"McKenzie Sports Products, LLC",0,"Senior secured loan ($21,784 par due 3/2017)",7.00% (Libor + 5.50%/S),3/30/2012,21784.0,21784
103,"McKenzie Sports Products, LLC",0,Senior secured loan ($161 par due 3/2017),7.75% (Base Rate + 4.50%/M),3/30/2012,161.0,161
104,"McKenzie Sports Products, LLC",0,"Senior secured loan ($9,902 par due 3/2017)",7.00% (Libor + 5.50%/S),3/30/2012,9902.0,9902
105,"McKenzie Sports Products, LLC",0,Senior secured loan ($73 par due 3/2017),7.75% (Base Rate + 4.50%/M),3/30/2012,73.0,73
106,The Dwyer Group (6),Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Senior subordinated loan ($25,303 par due 6/2018)","12.00% Cash, 1.50% PIK",12/22/2010,25303.0,25303
107,The Dwyer Group (6),0,"Series A preferred units (13,292,377 units)",8.00% PIK,12/22/2010,6212.0,13027
108,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",Laundry service and equipment provider,"Senior secured loan ($27,312 par due 8/2014)",7.00% (Base Rate + 3.75%/Q),6/26/2012,27219.0,27312
109,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",0,"Junior secured loan ($40,000 par due 8/2015)",10.88% (Libor + 9.38%/Q),1/25/2011,40000.0,40000
110,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",0,"Junior secured loan ($50,000 par due 8/2015)",10.88% (Libor + 9.38%/Q),1/25/2011,50000.0,50000
111,"ADF Capital, Inc. & ADF Restaurant Group, LLC",Restaurant owner and operator,"Senior secured revolving loan ($1,468 par due 11/2013)",6.50% (Libor + 3.50%/Q),11/27/2006,1468.0,1468
112,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,Senior secured revolving loan ($260 par due 11/2013),6.50% (Base Rate + 2.50%/Q),11/27/2006,260.0,260
113,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,"Senior secured loan ($9,232 par due 11/2014)",12.50% (Libor + 9.50%/Q),11/27/2006,9232.0,9232
114,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,"Senior secured loan ($11,072 par due 11/2014)",12.50% (Libor + 9.50%/Q),11/27/2006,11075.0,11072
115,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,"Promissory note ($14,897,360 par due 11/2016)",12.00% PIK,11/27/2006,15435.0,18216
116,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,Warrants to purchase up to 0.61 shares,0,6/1/2006,0.0,4994
117,"Benihana, Inc.",Restaurant owner and operator,Senior secured revolving loan ($862 par due 2/2018),9.25% (Libor + 8.00%/Q),8/21/2012,862.0,862
118,"Benihana, Inc.",0,"Senior secured loan ($31,769 par due 2/2018)",9.25% (Libor + 8.00%/Q),8/21/2012,31769.0,31769
119,"Hojeij Branded Foods, Inc.",Airport restaurant operator,Senior secured revolving loan ($900 par due 2/2017),9.00% (Libor + 8.00%/Q),2/15/2012,900.0,900
120,"Hojeij Branded Foods, Inc.",0,"Senior secured loan ($19,000 par due 2/2017)",9.00% (Libor + 8.00%/Q),2/15/2012,18397.0,19000
121,"Hojeij Branded Foods, Inc.",0,Warrants to purchase up to 7.5% of membership interest,0,2/15/2012,0.0,89
122,"Hojeij Branded Foods, Inc.",0,Warrants to purchase up to 324 shares of Class A common stock,0,2/15/2012,669.0,1287
123,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"Senior secured revolving loan ($9,800 par due 9/2014)",10.75% (Base Rate + 7.50%/M),4/1/2010,9800.0,9800
124,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Senior secured loan ($33,587 par due 9/2014)",10.00% (Libor + 8.50%/Q),4/1/2010,33587.0,33587
125,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Junior secured loan ($37,552 par due 9/2014)",0,4/1/2010,25068.0,16672
126,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Preferred units (10,000 units)",0,10/28/2010,0.0,0
127,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Class A common units (25,001 units)",0,4/1/2010,0.0,0
128,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",0,"Class B common units (1,122,452 units)",0,4/1/2010,0.0,0
129,"OTG Management, Inc.",Airport restaurant operator,"Senior secured revolving loan ($2,437 par due 8/2016)",8.50% (Libor + 7.00%/Q),8/9/2011,2437.0,2437
130,"OTG Management, Inc.",0,"Senior secured loan ($24,687 par due 8/2016)",8.50% (Libor + 7.00%/Q),8/9/2011,24687.0,24687
131,"OTG Management, Inc.",0,"Junior secured loan ($36,142 par due 8/2016)",14.50% (Libor + 13.00%/Q),8/9/2011,36142.0,36142
132,"OTG Management, Inc.",0,"Junior secured loan ($6,000 par due 8/2016)",15.25% (Base Rate + 12.00%/Q),8/9/2011,6000.0,6000
133,"OTG Management, Inc.",0,"Common units (3,000,000 units)",0,1/5/2011,3000.0,3079
134,"OTG Management, Inc.",0,"Warrants to purchase up to 189,857 shares of common stock",0,6/19/2008,100.0,5360
135,"Restaurant Holding Company, LLC",Fast food restaurant operator,"Senior secured loan ($20,554 par due 2/2017)",9.00% (Libor + 7.50%/M),2/15/2012,20197.0,20554
136,"Restaurant Holding Company, LLC",0,"Senior secured loan ($41,446 par due 2/2017)",9.00% (Libor + 7.50%/M),2/15/2012,40694.0,41446
137,"Restaurant Holding Company, LLC",0,"Senior secured loan ($9,538 par due 2/2017)",9.00% (Libor + 7.50%/M),2/15/2012,9365.0,9538
138,S.B. Restaurant Company,Restaurant owner and operator,"Preferred stock (46,690 shares)",0,4/1/2010,0.0,0
139,S.B. Restaurant Company,0,"Warrants to purchase up to 257,429 shares of common stock",0,4/1/2010,0.0,0
140,Vistar Corporation and Wellspring Distribution Corp.,Food service distributor,"Junior secured loan ($50,250 par due 5/2015)",11.00%,5/23/2008,49464.0,50250
141,Vistar Corporation and Wellspring Distribution Corp.,0,"Junior secured loan ($50,000 par due 5/2015)",11.00%,5/23/2008,49678.0,50000
142,Vistar Corporation and Wellspring Distribution Corp.,0,"Class A non-voting common stock (1,366,120 shares)",0,5/3/2008,7500.0,7579
143,"Cast & Crew Payroll, LLC",Payroll and accounting services provider to the entertainment industry,"Senior secured loan ($54,312 par due 6/2017)",8.50% (Libor + 7.00%/Q),6/13/2012,54312.0,54312
144,"Cast & Crew Payroll, LLC",0,"Senior secured loan ($9,875 par due 6/2017)",8.50% (Libor + 7.00%/Q),6/13/2012,9875.0,9875
145,"CIBT Investment Holdings, LLC",Expedited travel document processing services,"Class A shares (2,500 shares)",0,12/15/2011,2500.0,3314
146,CitiPostal Inc. (7),Document storage and management services,"Senior secured revolving loan ($1,000 par due 12/2013)",6.75% (Base Rate + 3.25%/Q),4/1/2010,1000.0,1000
147,CitiPostal Inc. (7),0,Senior secured loan ($521 par due 12/2013),"8.50% Cash, 5.50% PIK",4/1/2010,521.0,521
148,CitiPostal Inc. (7),0,"Senior secured loan ($53,325 par due 12/2013)","8.50% Cash, 5.50% PIK",4/1/2010,53325.0,53325
149,CitiPostal Inc. (7),0,"Senior subordinated loan ($16,554 par due 12/2015)",0,4/1/2010,13038.0,2392
150,CitiPostal Inc. (7),0,"Common stock (37,024 shares)",0,4/1/2010,0.0,0
151,"Command Alkon, Inc.",Software solutions provider to the ready-mix concrete industry,"Junior secured loan ($29,130 par due 3/2018)",9.75% (Libor + 8.50%/Q),9/28/2012,29130.0,29130
152,"Cornerstone Records Management, LLC",Physical records storage and management service provider,"Senior secured loan ($18,573 par due 8/2016)",8.50% (Libor + 7.00%/Q),8/12/2011,18573.0,17828
153,"Coverall North America, Inc.",Commercial janitorial service provider,"Subordinated notes ($9,577 par due 2/2016)","10.00% Cash, 2.00% PIK",2/22/2011,9577.0,9577
154,"Diversified Collections Services, Inc.",Collections services,"Common stock (478,816 shares)",0,4/1/2010,1191.0,8285
155,"Diversified Collections Services, Inc.",0,"Common stock (128,931 shares)",0,2/5/2005,241.0,2231
156,"HCP Acquisition Holdings, LLC (7)",Healthcare compliance advisory services,"Class A units (12,287,082 units)",0,6/26/2008,12347.0,3014
157,"Impact Innovations Group, LLC",IT consulting and outsourcing services,Member interest (50.00% interest),0,4/1/2010,0.0,200
158,"Investor Group Services, LLC (6)",Business consulting for private equity and corporate clients,Limited liability company membership interest (10.00% interest),0,6/22/2006,0.0,1032
159,"Itel Laboratories, Inc.",Data services provider for building materials to property insurance industry,"Senior secured loan ($22,294 par due 6/2018)",6.25% (Libor + 5.00%/Q),6/29/2012,22294.0,22294
160,"Itel Laboratories, Inc.",0,"Preferred units (1,798,391 units)",0,6/29/2012,1000.0,1030
161,"Multi-Ad Services, Inc. (6)",Marketing services and software provider,"Preferred units (1,725,280 units)",0,4/1/2010,788.0,2334
162,"Multi-Ad Services, Inc. (6)",0,"Common units (1,725,280 units)",0,4/1/2010,0.0,0
163,"MVL Group, Inc. (7)",Marketing research provider,Senior secured revolving loan ($940 par due 6/2012),6.75% (Base Rate + 3.50%/M),6/28/2012,940.0,940
164,"MVL Group, Inc. (7)",0,"Senior secured revolving loan ($1,600 par due 6/2012)",4.94% (Libor + 4.50%/Q),6/28/2012,1600.0,1600
165,"MVL Group, Inc. (7)",0,"Senior secured loan ($22,772 par due 7/2012)",15.00%,4/1/2010,22772.0,22772
166,"MVL Group, Inc. (7)",0,"Senior subordinated loan ($36,535 par due 7/2012)",0,4/1/2010,34636.0,10098
167,"MVL Group, Inc. (7)",0,Junior subordinated loan ($185 par due 7/2012),0,4/1/2010,0.0,0
168,"MVL Group, Inc. (7)",0,"Common stock (560,716 shares)",0,4/1/2010,0.0,0
169,"Pillar Processing LLC and PHL Investors, Inc. (6)",Mortgage services,"Senior secured loan ($9,414 par due 11/2018)",0,7/31/2008,9222.0,9414
170,"Pillar Processing LLC and PHL Investors, Inc. (6)",0,"Senior secured loan ($7,375 par due 5/2019)",0,11/20/2007,6936.0,615
171,"Pillar Processing LLC and PHL Investors, Inc. (6)",0,Class A common stock (576 shares),0,7/31/2012,3768.0,0
172,"Powersport Auctioneer Holdings, LLC",Powersport vehicle auction operator,"Common Units (1,972 units)",0,3/2/2012,1000.0,921
173,Prommis Fin Co.,Bankruptcy and foreclosure processing services,"Class B common units (1,727 units)",0,6/12/2012,0.0,0
174,"Promo Works, LLC",Marketing services,"Senior secured loan ($8,655 par due 12/2013)",0,4/1/2010,3487.0,2625
175,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",0,5/29/2007,250.0,122
176,"Strident Holding, Inc.",Recovery audit services provider to commercial and governmental healthcare payors,"Senior secured loan ($17,955 par due 7/2018)",6.50% (Libor + 5.25%/Q),7/26/2012,17955.0,17955
177,Summit Business Media Parent Holding Company LLC,Business media consulting services,Limited liability company membership interest (45.98% interest),0,5/20/2011,0.0,864
178,"Tradesmen International, Inc.",Construction labor support,"Junior secured loan ($3,118 par due 5/2014)","13.00% Cash, 1.00% PIK",4/1/2010,2649.0,3118
179,"Tradesmen International, Inc.",0,"Warrants to purchase up to 771,036 shares",0,4/1/2010,0.0,7956
180,"Tripwire, Inc.",IT security software provider,"Senior secured loan ($50,000 par due 5/2018)",6.00% (Libor + 4.75%/Q),5/23/2011,50000.0,50000
181,"Tripwire, Inc.",0,"Senior secured loan ($10,000 par due 5/2018)",6.00% (Libor + 4.75%/Q),5/23/2011,10000.0,10000
182,"Tripwire, Inc.",0,"Class B common stock (2,655,638 shares)",0,5/23/2011,30.0,64
183,"Tripwire, Inc.",0,"Class A common stock (2,970 shares)",0,5/23/2011,2970.0,6332
184,"Venturehouse-Cibernet Investors, LLC",Financial settlement services for intercarrier wireless roaming,Equity interest,0,4/1/2010,0.0,0
185,"VSS-Tranzact Holdings, LLC (6)",Management consulting services,Series B preferred units (854 units),0,11/7/2011,867.0,964
186,"VSS-Tranzact Holdings, LLC (6)",0,Common membership interest (8.54% interest),0,10/26/2007,10204.0,804
187,"VSS-Tranzact Holdings, LLC (6)",0,"Warrants to purchase up to 4,206 units",0,11/7/2011,0.0,396
188,"AllBridge Financial, LLC (7)",Asset management services,Equity interests,0,4/1/2010,8435.0,10035
189,Callidus Capital Corporation (7),Asset management services,Common stock (100 shares),0,4/1/2010,3000.0,1012
190,Ciena Capital LLC (7),Real estate and small business loan servicer,"Senior secured revolving loan ($14,000 par due 12/2013)",6.00%,11/29/2010,14000.0,14000
191,Ciena Capital LLC (7),0,"Senior secured loan ($32,000 par due 12/2015)",12.00%,11/29/2010,32000.0,32000
192,Ciena Capital LLC (7),0,Equity interests,0,11/29/2010,53374.0,20456
193,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,"Senior subordinated loan ($28,000 par due 5/2018)",12.75%,5/10/2012,28000.0,28000
