,Industry,Company(1),Business Description,Investment,Interest(5)(11),Acquisition  Date,Amortized  Cost,Fair Value
30,Healthcare-Services,"JHP Group Holdings, Inc.",Marketer and manufacturer of branded and generic specialty pharmaceutical products,"Series A preferred stock (1,000,000 shares)",6.00% PIK,2/19/2013,1000.0,1470
31,Healthcare-Services,"LM Acquisition Holdings, LLC",Developer and manufacturer of medical equipment,Class A units (426 units),,9/27/2013,1000.0,1000
32,Healthcare-Services,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"First lien senior secured loan ($135,610 par due 3/2018)",9.00% (Libor + 8.00%/Q),9/15/2010,136251.0,135610
33,Healthcare-Services,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",,"First lien senior secured loan ($57,017 par due 3/2018)",9.00% (Libor + 8.00%/Q),9/15/2010,57017.0,57017
34,Healthcare-Services,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",,"First lien senior secured loan ($4,747 par due 3/2018)",9.00% (Libor + 8.00%/Q),3/16/2012,4747.0,4747
35,Healthcare-Services,MW Dental Holding Corp.,Dental services provider,"First lien senior secured revolving loan ($3,500 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,3500.0,3500
36,Healthcare-Services,MW Dental Holding Corp.,,"First lien senior secured loan ($57,605 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,57605.0,57605
37,Healthcare-Services,MW Dental Holding Corp.,,"First lien senior secured loan ($48,881 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,48881.0,48881
38,Healthcare-Services,MW Dental Holding Corp.,,"First lien senior secured loan ($9,825 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,9825.0,9825
39,Healthcare-Services,Napa Management Services Corporation,Anesthesia management services provider,"First lien senior secured loan ($23,555 par due 4/2018)",6.50% (Libor + 5.25%/Q),4/15/2011,23555.0,23555
40,Healthcare-Services,Napa Management Services Corporation,,"First lien senior secured loan ($33,350 par due 4/2018)",6.50% (Libor + 5.25%/Q),4/15/2011,33283.0,33350
41,Healthcare-Services,Napa Management Services Corporation,,"Common units (5,000 units)",,4/15/2011,5000.0,7140
42,Healthcare-Services,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"First lien senior secured loan ($2,851 par due 12/2017)",7.25% (Libor + 6.00%/Q),12/18/2012,2851.0,2851
43,Healthcare-Services,"Netsmart Technologies, Inc. and NS Holdings, Inc.",,"First lien senior secured loan ($36,492 par due 12/2017)",7.25% (Libor + 6.00%/Q),12/18/2012,36492.0,36492
44,Healthcare-Services,"Netsmart Technologies, Inc. and NS Holdings, Inc.",,"Common stock (2,500,000 shares)",,6/21/2010,2500.0,2539
45,Healthcare-Services,"New Trident Holdcorp, Inc.",Provider of outsourced mobile diagnostic healthcare services,"Second lien senior secured loan ($80,000 par due 7/2020)",10.25% (Libor + 9.00%/Q),8/6/2013,78425.0,80000
46,Healthcare-Services,OnCURE Medical Corp.,Radiation oncology care provider,"Common stock (857,143 shares)",,8/18/2006,3000.0,0
47,Healthcare-Services,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",Healthcare technology provider,"Series A preferred stock (1,594,457 shares)",10.00% PIK,7/30/2008,5560.0,7025
48,Healthcare-Services,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",,"Common stock (16,106 shares)",,7/30/2008,100.0,0
49,Healthcare-Services,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Second lien senior secured loan ($21,316 par due 10/2018)",8.25% (Libor + 7.00%/Q),4/19/2012,21316.0,21316
50,Healthcare-Services,"PG Mergersub, Inc. and PGA Holdings, Inc.",,Preferred stock (333 shares),,3/12/2008,125.0,16
51,Healthcare-Services,"PG Mergersub, Inc. and PGA Holdings, Inc.",,"Common stock (16,667 shares)",,3/12/2008,167.0,821
52,Healthcare-Services,"PG Mergersub, Inc. and PGA Holdings, Inc.",,,,,21608.0,22153
53,Healthcare-Services,"POS I Corp. (fka Vantage Oncology, Inc.)",Radiation oncology care provider,"Common stock (62,157 shares)",,2/3/2011,4670.0,2263
54,Healthcare-Services,"RCHP, Inc.",Operator of general acute care hospitals,"First lien senior secured loan ($14,925 par due",7.00% (Libor + 5.75%/Q),11/4/2011,14925.0,14925
55,Healthcare-Services,"RCHP, Inc.",,"First lien senior secured loan ($60,670 par due 11/2018)",7.00% (Libor + 5.75%/Q),11/4/2011,60647.0,60670
56,Healthcare-Services,"RCHP, Inc.",,"Second lien senior secured loan ($85,000 par due 5/2019)",11.50% (Libor + 10.00%/Q),11/4/2011,85000.0,85000
57,Healthcare-Services,"Reed Group, Ltd.",Medical disability management services provider,Equity interests,,4/1/2010,0.0,0
58,Healthcare-Services,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"First lien senior secured loan ($4,400 par due 7/2015)",11.00%,6/28/2012,4383.0,4400
59,Healthcare-Services,"Respicardia, Inc.",,"Warrants to purchase up to 99,094 shares of Series C preferred stock",,6/28/2012,38.0,29
60,Healthcare-Services,"Sage Products Holdings III, LLC",Patient infection control and preventive care solutions provider,"Second lien senior secured loan ($75,000 par due 6/2020)",9.25% (Libor + 8.00%/Q),12/13/2012,75000.0,75000
61,Healthcare-Services,"Sorbent Therapeutics, Inc.",Orally-administered drug developer,"First lien senior secured loan ($6,500 par due 9/2016)",10.25%,4/23/2013,6500.0,6500
62,Healthcare-Services,"Sorbent Therapeutics, Inc.",,"Warrant to purchase up to 727,272 shares of Series C preferred stock",,4/23/2013,0.0,25
63,Healthcare-Services,"Soteria Imaging Services, LLC (6)",Outpatient medical imaging provider,Second lien senior secured loan ($916 par due 11/2010),,4/1/2010,714.0,71
64,Healthcare-Services,"Soteria Imaging Services, LLC (6)",,"Second lien senior secured loan ($1,309 par due 11/2010)",,4/1/2010,1095.0,101
65,Healthcare-Services,"Soteria Imaging Services, LLC (6)",,"Preferred member units (1,823,179 units)",,4/1/2010,0.0,0
66,Healthcare-Services,"SurgiQuest, Inc.",Medical device company,"First lien senior secured loan ($6,767 par due 10/2016)",10.00%,9/28/2012,6596.0,6767
67,Healthcare-Services,"SurgiQuest, Inc.",,"First lien senior secured loan ($2,000 par due 10/2017)",10.69%,9/28/2012,1950.0,2000
68,Healthcare-Services,"SurgiQuest, Inc.",,"Warrants to purchase up to 54,672 shares of Series D-4 convertible preferred stock",,9/28/2012,0.0,0
69,Healthcare-Services,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,"First lien senior secured loan ($14,925 par due 12/2018)",6.50% (Libor + 5.50%/Q),12/27/2012,14925.0,14925
70,Healthcare-Services,"Young Innovations, Inc.",Dental supplies and equipment manufacturer,First lien senior secured loan ($30 par due 1/2019),6.75% (Base Rate + 3.50%/Q),1/31/2013,30.0,30
71,Healthcare-Services,"Young Innovations, Inc.",,First lien senior secured loan ($20 par due 1/2019),6.75% (Base Rate + 3.50%/Q),1/31/2013,20.0,20
72,Healthcare-Services,"Young Innovations, Inc.",,"First lien senior secured loan ($20,576 par due 1/2019)",5.75% (Libor + 4.50%/M),1/31/2013,20576.0,20576
73,Healthcare-Services,"Young Innovations, Inc.",,"First lien senior secured loan ($13,938 par due 1/2019)",5.75% (Libor + 4.50%/M),1/31/2013,13938.0,13938
74,Healthcare-Services,"Young Innovations, Inc.",,,,,1124986.0,1128962
75,Business Services,"Access CIG, LLC",Records and information management services provider,First lien senior secured loan ($992 par due 10/2017),7.00% (Libor + 5.75%/Q),10/5/2012,992.0,992
76,Business Services,"BluePay Processing, Inc.",Technology-enabled payment processing solutions provider,"First lien senior secured loan ($7,500 par due 8/2019)",5.00% (Libor + 4.00%/Q),8/30/2013,7500.0,7500
77,Business Services,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",Payroll and accounting services provider to the entertainment industry,"First lien senior secured loan ($18,360 par due 12/2017)",7.50% (Libor + 6.50%/Q),12/24/2012,18360.0,18360
78,Business Services,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",,First lien senior secured loan ($890 par due 12/2017),8.75% (Base Rate + 5.50%/Q),12/24/2012,890.0,890
79,Business Services,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",,"First lien senior secured loan ($45,900 par due 12/2017)",7.50% (Libor + 6.50%/Q),12/24/2012,45900.0,45900
80,Business Services,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",,"First lien senior secured loan ($2,225 par due",8.75% (Base Rate + 5.50%/Q),12/24/2012,2225.0,2225
81,Business Services,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",,"Class A membership units (2,500,000 units)",,12/24/2012,2500.0,2748
82,Business Services,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",,"Class B membership units (2,500,000 units)",,12/24/2012,2500.0,2748
83,Business Services,"CIBT Investment Holdings, LLC",Expedited travel document processing services,"Class A shares (2,500 shares)",,12/15/2011,2500.0,3587
84,Business Services,CitiPostal Inc. (7),Document storage and management services,First lien senior secured revolving loan ($500 par due 12/2013),6.50% (Libor + 4.50%/M),4/1/2010,500.0,500
85,Business Services,CitiPostal Inc. (7),,"First lien senior secured loan ($53,623 par due 12/2013)","8.50% Cash, 5.50% PIK",4/1/2010,53623.0,53623
86,Business Services,CitiPostal Inc. (7),,"Senior subordinated loan ($19,399 par due 12/2015)",,4/1/2010,13038.0,1655
87,Business Services,CitiPostal Inc. (7),,"Common stock (37,024 shares)",,4/1/2010,0.0,0
88,Business Services,"Command Alkon, Inc.",Software solutions provider to the ready-mix concrete industry,"Second lien senior secured loan ($39,130 par due 3/2018)",9.75% (Libor + 8.50%/Q),9/28/2012,39130.0,39130
89,Business Services,"Cornerstone Records Management, LLC",Physical records storage and management service provider,"First lien senior secured loan ($16,397 par due 12/2015)",9.50% (Libor + 8.00%/Q),8/12/2011,16397.0,16397
90,Business Services,"Coverall North America, Inc.",Commercial janitorial services provider,Letter of credit facility,,1/17/2013,0.0,0
91,Business Services,"HCPro, Inc. and HCP Acquisition Holdings, LLC (7)",Healthcare compliance advisory services,"Senior subordinated loan ($8,907 par due 8/2014)",,3/5/2013,2691.0,552
92,Business Services,"HCPro, Inc. and HCP Acquisition Holdings, LLC (7)",,"Class A units (14,293,110 units)",,6/26/2008,12793.0,0
93,Business Services,IfByPhone Inc.,Voice-based marketing automation software provider,"First lien senior secured loan ($1,733 par due 11/2015)",11.00%,10/15/2012,1678.0,1733
94,Business Services,IfByPhone Inc.,,First lien senior secured loan ($933 par due 1/2016),11.00%,10/15/2012,933.0,933
95,Business Services,IfByPhone Inc.,,"Warrant to purchase up to 124,300 shares of Series C preferred stock",,10/15/2012,88.0,71
96,Business Services,"Impact Innovations Group, LLC",IT consulting and outsourcing services,Member interest (50.00% interest),,4/1/2010,0.0,200
97,Business Services,"Investor Group Services, LLC (6)",Business consulting for private equity and corporate clients,Limited liability company membership interest (8.5% interest),,6/22/2006,0.0,624
98,Business Services,"IronPlanet, Inc.",Online auction platform provider for used heavy equipment,"First lien senior secured loan ($5,000 par due 7/2017)",9.25%,9/24/2013,4687.0,4800
99,Business Services,"IronPlanet, Inc.",,"Warrant to purchase to up to 133,333 shares of Series C preferred stock",,9/24/2013,214.0,214
100,Business Services,"Itel Laboratories, Inc.",Data services provider for building materials to property insurance industry,"Preferred units (1,798,391 units)",,6/29/2012,1000.0,1052
101,Business Services,"Keynote Systems, Inc. and Hawaii Ultimate Parent Corp., Inc.",Web and mobile cloud performance testing and monitoring services provider,"First lien senior secured loan ($175,000 par due 2/2020)",9.50% (Libor + 8.50%/S),8/22/2013,175000.0,175000
102,Business Services,"Keynote Systems, Inc. and Hawaii Ultimate Parent Corp., Inc.",,"Class A common stock (2,970 shares)",,8/22/2013,2970.0,2970
103,Business Services,"Keynote Systems, Inc. and Hawaii Ultimate Parent Corp., Inc.",,"Class B common stock (1,956,522 shares)",,8/22/2013,30.0,30
104,Business Services,"Multi-Ad Services, Inc. (6)",Marketing services and software provider,"Preferred units (1,725,280 units)",,4/1/2010,788.0,2102
105,Business Services,"Multi-Ad Services, Inc. (6)",,"Common units (1,725,280 units)",,4/1/2010,0.0,0
106,Business Services,"MVL Group, Inc. (7)",Marketing research provider,"Senior subordinated loan ($37,467 par due 7/2012)",,4/1/2010,34636.0,6952
107,Business Services,"MVL Group, Inc. (7)",,Junior subordinated loan ($185 par due 7/2012),,4/1/2010,0.0,0
108,Business Services,"MVL Group, Inc. (7)",,"Common stock (560,716 shares)",,4/1/2010,0.0,0
109,Business Services,"NComputing, Inc.",Desktop virtualization hardware and software,"First lien senior secured loan ($6,500 par due",10.50%,3/20/2013,6500.0,6500
110,Business Services,"NComputing, Inc.",,"Warrant to purchase up to 462,726 shares of Series C preferred stock",,3/20/2013,0.0,6
111,Business Services,"Pillar Processing LLC and PHL Investors, Inc. (6)",Mortgage services,"First lien senior secured loan ($6,262 par due 11/2018)",,7/31/2008,5688.0,4764
112,Business Services,"Pillar Processing LLC and PHL Investors, Inc. (6)",,"First lien senior secured loan ($7,375 par due 5/2019)",,11/20/2007,5862.0,0
113,Business Services,"Pillar Processing LLC and PHL Investors, Inc. (6)",,Class A common stock (576 shares),,7/31/2012,3768.0,0
114,Business Services,"Powersport Auctioneer Holdings, LLC",Powersport vehicle auction operator,"Common units (1,972 units)",,3/2/2012,1000.0,816
115,Business Services,"PSSI Holdings, LLC",Provider of mission-critical outsourced cleaning and sanitation services to the food processing industry,"First lien senior secured loan ($1,000 par due 6/2018)",6.00% (Libor + 5.00%/Q),8/7/2013,1000.0,1000
116,Business Services,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",,5/29/2007,250.0,141
117,Business Services,"Rainstor, Inc.",Database solutions provider,"First lien senior secured loan ($3,000 par due 4/2016)",11.25%,3/28/2013,2925.0,3000
118,Business Services,"Rainstor, Inc.",,"Warrant to purchase up to 142,210 shares of Series C preferred stock",,3/28/2013,88.0,70
119,Business Services,"Strident Holding, Inc.",Recovery audit services provider to commercial and governmental healthcare payors,"First lien senior secured loan ($7,639 par due 7/2018)",6.50% (Libor + 5.25%/Q),7/26/2012,7639.0,7639
120,Business Services,"Strident Holding, Inc.",,"First lien senior secured loan ($9,603 par due 7/2018)",6.50% (Libor + 5.25%/Q),7/26/2012,9603.0,9603
121,Business Services,Summit Business Media Parent Holding Company LLC,Business media consulting services,Limited liability company membership interest (45.98% interest),,5/20/2011,0.0,1489
122,Business Services,"TOA Technologies, Inc.","Cloud based, mobile workforce management applications provider","First lien senior secured loan ($12,892 par due 11/2016)",10.25%,10/31/2012,12404.0,12892
123,Business Services,"TOA Technologies, Inc.",,"Warrant to purchase up to 2,509,770 shares of Series D preferred stock",,10/31/2012,605.0,1032
124,Business Services,"Tripwire, Inc.",IT security software provider,"First lien senior secured loan ($104,950 par due 5/2018)",8.00% (Libor + 6.75%/Q),5/23/2011,104950.0,104950
125,Business Services,"Tripwire, Inc.",,"First lien senior secured loan ($49,875 par due 5/2018)",8.00% (Libor + 6.75%/Q),5/23/2011,49875.0,49875
126,Business Services,"Tripwire, Inc.",,"First lien senior secured loan ($9,975 par due 5/2018)",8.00% (Libor + 6.75%/Q),5/23/2011,9975.0,9975
127,Business Services,"Tripwire, Inc.",,"Class A common stock (2,970 shares)",,5/23/2011,2970.0,7555
128,Business Services,"Tripwire, Inc.",,"Class B common stock (2,655,638 shares)",,5/23/2011,30.0,76
129,Business Services,"Venturehouse-Cibernet Investors, LLC",Financial settlement services for intercarrier wireless roaming,Equity interest,,4/1/2010,0.0,0
130,Business Services,"VSS-Tranzact Holdings, LLC (6)",Management consulting services,Common membership interest (5.98% interest),,10/26/2007,10204.0,3479
131,Business Services,"X Plus Two Solutions, Inc. and X Plus One Solutions, Inc.",Provider of open and integrated software for digital marketing optimization,"First lien senior secured revolving loan ($5,640 par due 9/2014)",8.50%,4/1/2013,5640.0,5640
132,Business Services,"X Plus Two Solutions, Inc. and X Plus One Solutions, Inc.",,"First lien senior secured loan ($7,000 par due 10/2016)",10.00%,4/1/2013,6618.0,6720
133,Business Services,"X Plus Two Solutions, Inc. and X Plus One Solutions, Inc.",,"Warrant to purchase up to 999,167 shares of Series C preferred stock",,4/1/2013,284.0,284
134,Business Services,"X Plus Two Solutions, Inc. and X Plus One Solutions, Inc.",,,,,691441.0,630994
135,Education,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured revolving loan ($4,850 par due 3/2019)",6.00% (Libor + 5.00%/Q),3/18/2011,4850.0,4850
136,Education,"American Academy Holdings, LLC",,"First lien senior secured loan ($59,236 par due 3/2019)",6.00% (Libor + 5.00%/Q),3/18/2011,59236.0,59236
137,Education,"American Academy Holdings, LLC",,"First lien senior secured loan ($4,651 par due 3/2019)",6.00% (Libor + 5.00%/Q),3/18/2011,4651.0,4651
138,Education,Campus Management Corp. and Campus Management Acquisition Corp. (6),Education software developer,"Preferred stock (485,159 shares)",,2/8/2008,10520.0,1942
139,Education,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"First lien senior secured loan ($14,643 par due 12/2014)",6.25% (Libor + 5.25%/Q),12/10/2010,14643.0,14643
140,Education,"Community Education Centers, Inc.",,"Second lien senior secured loan ($34,706 par due 12/2015)","15.27% (Libor + 8.50% Cash, 6.50% PIK/Q)",12/10/2010,34706.0,33665
141,Education,"Community Education Centers, Inc.",,"Second lien senior secured loan ($10,475 par due 12/2015)","15.28% (Libor + 8.50% Cash, 6.50% PIK/Q)",12/10/2010,10475.0,10161
142,Education,"Community Education Centers, Inc.",,"Warrants to purchase up to 654,618 shares",,12/10/2010,0.0,1090
143,Education,"ELC Acquisition Corp., ELC Holdings Corporation, and Excelligence Learning Corporation (6)","Developer, manufacturer and retailer of educational products","Preferred stock (99,492 shares)",12.00% PIK,8/1/2011,9949.0,9949
144,Education,"ELC Acquisition Corp., ELC Holdings Corporation, and Excelligence Learning Corporation (6)",,"Common stock (50,800 shares)",,8/1/2011,0.0,2307
145,Education,"Infilaw Holding, LLC",Operator of for-profit law schools,First lien senior secured revolving loan,,8/25/2011,0.0,0
146,Education,"Infilaw Holding, LLC",,First lien senior secured loan ($1 par due 8/2016),9.50% (Libor + 8.50%/Q),8/25/2011,1.0,1
147,Education,"Infilaw Holding, LLC",,"First lien senior secured loan ($18,943 par due 8/2016)",9.50% (Libor + 8.50%/Q),8/25/2011,18943.0,18943
148,Education,"Infilaw Holding, LLC",,"Series A preferred units (124,890 units)",9.50% (Libor + 8.50%/Q),8/25/2011,124890.0,124890
149,Education,"Infilaw Holding, LLC",,Series B preferred units (3.91 units),,10/19/2012,9245.0,10652
150,Education,"Instituto de Banca y Comercio, Inc.",Private school operator,"First lien senior secured loan ($39,760 par due 6/2015)",10.50% (Libor + 8.25%/Q),4/24/2013,39681.0,38965
151,Education,"Instituto de Banca y Comercio, Inc.",,"First lien senior secured loan ($14,887 par due 6/2015)",10.50% (Libor + 8.25%/Q),4/24/2013,14858.0,14589
152,Education,"Instituto de Banca y Comercio, Inc.",,"Series B preferred stock (1,750,000 shares)",,8/5/2010,5000.0,7990
153,Education,"Instituto de Banca y Comercio, Inc.",,"Series C preferred stock (2,512,586 shares)",,6/7/2010,689.0,0
154,Education,"Instituto de Banca y Comercio, Inc.",,Common stock (20 shares),,6/7/2010,0.0,0
155,Education,"Lakeland Tours, LLC",Educational travel provider,"First lien senior secured revolving loan ($18,000 par due 12/2016)",5.25% (Libor + 4.25%/Q),10/4/2011,18000.0,18000
156,Education,"Lakeland Tours, LLC",,"First lien senior secured loan ($27,000 par due 12/2016)",8.50% (Libor + 7.50%/Q),10/4/2011,27000.0,27000
157,Education,"Lakeland Tours, LLC",,"First lien senior secured loan ($61,326 par due 12/2016)",8.50% (Libor + 7.50%/Q),10/4/2011,61244.0,61326
158,Education,"Lakeland Tours, LLC",,"First lien senior secured loan ($3,968 par due 12/2016)",5.25% (Libor + 4.25%/Q),10/4/2011,3963.0,3968
159,Education,"Lakeland Tours, LLC",,"First lien senior secured loan ($40,362 par due 12/2016)",8.50% (Libor + 7.50%/Q),10/4/2011,40271.0,40362
160,Education,"Lakeland Tours, LLC",,"First lien senior secured loan ($8,465 par due 12/2016)",5.25% (Libor + 4.25%/Q),10/4/2011,8446.0,8465
161,Education,"Lakeland Tours, LLC",,"Common stock (5,000 shares)",,10/4/2011,5000.0,5336
162,Education,"R3 Education, Inc. and EIC",Medical school operator,"Preferred stock (8,800",,7/30/2008,2200.0,1936
163,Education,"R3 Education, Inc. and EIC",,Common membership interest (26.27% interest),,9/21/2007,15800.0,30205
164,Education,"R3 Education, Inc. and EIC",,"Warrants to purchase up to 27,890 shares",,12/8/2009,0.0,0
165,Education,"RuffaloCODY, LLC",Provider of student fundraising and enrollment management services,"First lien senior secured loan ($30,693 par due 5/2019)",5.50% (Libor + 4.25%/Q),5/29/2013,30693.0,30693
166,Education,"RuffaloCODY, LLC",,,,,574954.0,585815
167,Services-Other,Capital Investments and Ventures Corp.,SCUBA diver training and certification provider,"First lien senior secured loan ($26,956 par due 8/2018)",7.00% (Libor + 5.75%/Q),8/9/2012,26956.0,26956
168,Services-Other,Capital Investments and Ventures Corp.,,"First lien senior secured loan ($34,719 par due 8/2018)",7.00% (Libor + 5.75%/Q),8/9/2012,34719.0,34719
169,Services-Other,Capital Investments and Ventures Corp.,,"First lien senior secured loan ($9,488 par due 8/2018)",7.00% (Libor + 5.75%/Q),8/9/2012,9488.0,9488
170,Services-Other,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"First lien senior secured revolving loan ($2,850 par due 11/2018)",10.00% (Base Rate + 6.75%/Q),11/30/2012,2850.0,2565
171,Services-Other,"Competitor Group, Inc. and Calera XVI, LLC",,First lien senior secured revolving loan ($900 par due 11/2018),9.00% (Libor + 7.75%/Q),11/30/2012,900.0,810
172,Services-Other,"Competitor Group, Inc. and Calera XVI, LLC",,"First lien senior secured loan ($24,379 par due 11/2018)","10.00% (Libor + 7.75% Cash, 1.00% PIK/Q)",11/30/2012,24379.0,21941
173,Services-Other,"Competitor Group, Inc. and Calera XVI, LLC",,"First lien senior secured loan ($29,851 par due 11/2018)","10.00% (Libor + 7.75% Cash, 1.00% PIK/Q)",11/30/2012,29851.0,26866
174,Services-Other,"Competitor Group, Inc. and Calera XVI, LLC",,"Membership units (2,500,000 units)",,11/30/2012,2510.0,658
