,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
48,"Experity, Inc.",Health Care Technology,7.42,L + 5.75,0.75,02/24/28,,914,,,910,,,910,,(2) (3),,,,17927,,,,17618,,,,17523,,,(2) (3),,
49,"Experity, Inc.",Health Care Technology,,L + 5.75,0.75,02/24/28,,81,,,0,,,0,,(2) (3) (4),,,,802,,,,775,,,,784,,,(2) (3),,
50,Investment *#,Industry,InterestRate (+),Reference Rateand Spread (+),Floor(+),Maturity,Par(++),,Cost,,FairValue,,Footnotes,,,,,,,180,,,,61,,,,59,,,(2) (3) (4),,
51,Four Seasons Heating And Air Conditioning Inc,Diversified Consumer Services,7.27,L + 5.75,0.75,11/17/26,,34158,,,33701,,,33561,,(2) (3),,,,19729,,,,19288,,,,19384,,,(2) (3),,
52,Fullsteam Operations LLC,Diversified Financial Services,9.75,L + 7.50(Incl. 4.50PIK),1.50,10/04/27,,57693,,,56440,,,56251,,(2) (3),,Cost,,,FairValue,,,Footnotes,,,,,,,,,
53,Fullsteam Operations LLC,Diversified Financial Services,9.75,L + 7.50,1.50,10/04/27,,22131,,,21628,,,21578,,(2) (3),,3424,,,,3315,,,,3364,,,(2) (3),,,,
54,Fullsteam Operations LLC,Diversified Financial Services,9.75,L + 7.50(Incl. 4.50PIK),1.50,10/04/27,,3380,,,1104,,,1094,,(2) (3) (4),,2012,,,,1994,,,,1977,,,(2) (3),,,,
55,"Gainsight, Inc.",Software,7.99,L + 6.75PIK,0.75,07/30/27,,42727,,,42094,,,41338,,(2) (3),,31336,,,,30752,,,,30788,,,(2) (3),,,,
56,"Gainsight, Inc.",Software,,L + 6.75,0.75,07/30/27,,5320,,,(79,,,(173,,(2) (3) (4),,3140,,,,(58,,,,(55,,,(2) (3) (4),,,,
57,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,8.67,L + 7.00,1.00,06/24/25,,14775,,,14568,,,14480,,(2) (3),,16911,,,,16068,,,,16911,,,(2),,,,
58,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,8.67,L + 7.00,1.00,06/24/25,,2593,,,2556,,,2541,,(2) (3),,11229,,,,10918,,,,11229,,,(2),,,,
59,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,8.67,L + 7.00,1.00,06/24/25,,1880,,,1354,,,1341,,(2) (3) (4),,11052,,,,10774,,,,11052,,,(2),,,,
60,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,8.67,L + 7.00,1.00,06/24/25,,966,,,948,,,947,,(2) (3),,7123,,,,6767,,,,7123,,,(2),,,,
61,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,8.75,L + 6.50,1.00,01/29/27,,29219,,,28629,,,29073,,(2),,4753,,,,(107,,,,0,,,(2) (4),,,,
62,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,8.25,L + 6.00,1.00,01/29/27,,3789,,,2233,,,2265,,(2) (4),,6300,,,,6173,,,,6158,,,(2) (3),,,,
63,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,,L + 6.50,1.00,01/29/27,,2583,,,(30,,,(13,,(2) (4),,6247,,,,6122,,,,6106,,,(2) (3),,,,
64,"Governmentjobs.com, Inc. (dba NeoGov)",Software,7.17,L + 5.50,0.75,12/01/28,,42281,,,42183,,,41541,,(2) (3),,2960,,,,2898,,,,2893,,,(2) (3),,,,
65,"Governmentjobs.com, Inc. (dba NeoGov)",Software,,L + 5.50,0.75,12/02/27,,4710,,,(11,,,(82,,(2) (3) (4),,1217,,,,(24,,,,(27,,,(2) (3) (4),,,,
66,"Governmentjobs.com, Inc. (dba NeoGov)",Software,,L + 5.50,0.75,12/01/28,,14718,,,(17,,,(258,,(2) (3) (4),,28376,,,,26741,,,,27879,,,(2) (3),,,,
67,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Diversified Financial Services,7.25,L + 5.75,1.00,05/22/26,,23973,,,23722,,,23313,,(2),,12900,,,,(516,,,,(226,,,(2) (3) (4),,,,
68,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Diversified Financial Services,8.63,L + 5.75,1.00,05/22/26,,982,,,234,,,219,,(2) (4),,14867,,,,14574,,,,14569,,,(2),,,,
69,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Diversified Financial Services,,L + 5.75,1.00,05/22/26,,2025,,,(7,,,(56,,(2) (4),,2120,,,,(41,,,,(42,,,(2) (4),,,,
70,"Halo Branded Solutions, Inc.",Commercial Services & Supplies,6.17,L + 4.50,1.00,06/30/25,,6324,,,6293,,,5631,,,,4460,,,,(44,,,,(45,,,(2) (4),,,,
71,"HealthEdge Software, Inc.",Health Care Technology,9.00,L + 7.00,1.00,04/09/26,,35400,,,34769,,,34603,,(2) (3),,22549,,,,22261,,,,22042,,,(2) (3),,,,
72,"HealthEdge Software, Inc.",Health Care Technology,9.00,L + 7.00,1.00,04/09/26,,5030,,,1449,,,1336,,(2) (3) (4),,8897,,,,324,,,,182,,,(2) (3) (4),,,,
73,"HealthEdge Software, Inc.",Health Care Technology,,L + 6.25,1.00,04/09/26,,3800,,,(67,,,(86,,(2) (3) (4),,25223,,,,24771,,,,24656,,,(1) (2) (3),,,,
74,"HealthEdge Software, Inc.",Health Care Technology,,L + 6.25,1.00,04/09/26,,9500,,,(83,,,(214,,(2) (3) (4),,2461,,,,(42,,,,(55,,,(1) (2) (3) (4),,,,
75,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,7.62,L + 6.00,1.00,12/15/26,,19084,,,18819,,,18893,,(2) (3),,25612,,,,23629,,,,20938,,,(2) (3),,,,
76,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,7.67,L + 6.00,1.00,12/15/26,,14924,,,14793,,,14775,,(2) (3),,1687,,,,(106,,,,(308,,,(2) (3) (4),,,,
77,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,7.67,L + 6.00,1.00,12/15/26,,7864,,,7730,,,7785,,(2) (3),,28163,,,,27444,,,,27881,,,(2) (3),,,,
78,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,7.12,L + 6.00,1.00,12/15/26,,2363,,,212,,,225,,(2) (3) (4),,14781,,,,14546,,,,14634,,,(2) (3),,,,
79,Hollander Sleep & Décor (dba SureFit),Household Products,14.01,L + 9.75,1.00,07/13/23,,39138,,,37760,,,37768,,(2) (3),,2170,,,,(10,,,,(22,,,(2) (3) (4),,,,
80,"Honor HN Buyer, Inc",Health Care Providers & Services,8.25,L + 6.00,1.00,10/15/27,,24235,,,23797,,,23689,,(2) (3),,21507,,,,21119,,,,20647,,,(2) (3),,,,
81,"Honor HN Buyer, Inc",Health Care Providers & Services,8.25,L + 6.00,1.00,10/15/27,,15262,,,6860,,,6720,,(2) (3) (4),,7396,,,,2177,,,,1968,,,(2) (3) (4),,,,
82,"Honor HN Buyer, Inc",Health Care Providers & Services,,L + 6.00,1.00,10/15/27,,2802,,,(50,,,(63,,(2) (3) (4),,1711,,,,541,,,,502,,,(2) (3) (4),,,,
83,HowlCO LLC (dba Lone Wolf),Real Estate Mgmt. & Development,7.32,L + 6.00,1.00,10/23/26,,35135,,,34672,,,34345,,(1) (2) (3),,37869,,,,42861,,,,39883,,,(2) (3),,,,
84,HowlCO LLC (dba Lone Wolf),Real Estate Mgmt. & Development,7.50,L + 6.00,1.00,10/23/26,,11370,,,11273,,,11115,,(1) (2) (3),,24477,,,,23655,,,,24599,,,(2) (3),,,,
85,HowlCO LLC (dba Lone Wolf),Real Estate Mgmt. & Development,7.61,L + 6.00,1.00,10/23/26,,10777,,,10689,,,10535,,(1) (2) (3),,3100,,,,1505,,,,1566,,,(2) (3) (4),,,,
86,"HS4 AcquisitionCo, Inc. (dba HotSchedules & Fourth)","Hotels, Restaurants & Leisure",9.00,L + 6.75,1.00,07/09/25,,57082,,,54106,,,55226,,(2) (3),,29826,,,,0,,,,0,,,(2) (4),,,,
87,"HS4 AcquisitionCo, Inc. (dba HotSchedules & Fourth)","Hotels, Restaurants & Leisure",8.98,L + 6.75,1.00,07/09/25,,4688,,,557,,,551,,(2) (3) (4),,7849,,,,0,,,,0,,,(2) (4),,,,
88,"iCIMS, Inc.",Software,6.72,L + 5.50,1.00,09/12/24,,72489,,,70533,,,72489,,(2) (3),,2616,,,,0,,,,0,,,(2) (4),,,,
89,"iCIMS, Inc.",Software,6.72,L + 5.50,1.00,09/12/24,,13350,,,12985,,,13350,,(2) (3),,6984,,,,6607,,,,6844,,,(2) (3),,,,
90,"iCIMS, Inc.",Software,6.72,L + 5.50,1.00,09/12/24,,4531,,,4488,,,4531,,(2) (3),,1489,,,,1457,,,,1459,,,(2) (3),,,,
91,"iCIMS, Inc.",Software,,L + 5.50,1.00,05/02/28,,5797,,,0,,,0,,(2) (4),,1369,,,,1313,,,,1342,,,(2) (3),,,,
92,"iCIMS, Inc.",Software,,L + 5.50,1.00,05/02/28,,60870,,,0,,,0,,(2) (4),,558,,,,546,,,,546,,,(2) (3),,,,
93,"Intelligent Medical Objects, Inc.",Health Care Technology,7.65,S + 6.00,0.75,05/11/29,,12525,,,12278,,,12275,,(2),,930,,,,419,,,,432,,,(2) (3) (4),,,,
94,"Intelligent Medical Objects, Inc.",Health Care Technology,7.24,S + 6.00,0.75,05/11/28,,1490,,,120,,,119,,(2) (4),,10422,,,,10049,,,,10318,,,(2) (3),,,,
95,"Intelligent Medical Objects, Inc.",Health Care Technology,,S + 6.00,0.75,05/11/29,,2985,,,(29,,,(30,,(2) (4),,4903,,,,4836,,,,4854,,,(2) (3),,,,
96,"Internet Truckstop Group, LLC (dba Truckstop)",Transportation Infrastructure,7.76,L + 5.50,1.00,04/02/25,,52467,,,50695,,,52336,,(2) (3),,4492,,,,4406,,,,4447,,,(2) (3),,,,
97,"Internet Truckstop Group, LLC (dba Truckstop)",Transportation Infrastructure,,L + 5.50,1.00,04/02/25,,4400,,,(61,,,(11,,(2) (3) (4),,2269,,,,1508,,,,1565,,,(2) (3) (4),,,,
98,"Iracore International Holdings, Inc.",Energy Equipment & Services,11.38,L + 9.00,1.00,04/12/24,,2361,,,2361,,,2361,,^ (3),,39908,,,,39231,,,,39309,,,(2) (3),,,,
99,Jill Acquisition LLC (dba J. Jill),Specialty Retail,6.00,L + 5.00,1.00,05/08/24,,5825,,,5790,,,5338,,,,3620,,,,(59,,,,(54,,,(2) (3) (4),,,,
100,Kaseya Inc.,IT Services,8.29,S + 5.75,0.75,06/25/29,,18500,,,18223,,,18223,,(2),,914,,,,910,,,,910,,,(2) (3),,,,
101,Investment *#,Industry,InterestRate (+),Reference Rateand Spread (+),Floor(+),Maturity,Par(++),,Cost,,FairValue,,Footnotes,,,,,81,,,,0,,,,0,,,(2) (3) (4),,,,
102,Kaseya Inc.,IT Services,,S + 5.75,0.75,06/25/29,,1100,,,(8,,,(8,,(2) (4),,Cost,,,FairValue,,,Footnotes,,,,,,,,,
103,Kaseya Inc.,IT Services,,S + 5.75,0.75,06/25/29,,1100,,,(16,,,(17,,(2) (4),,34158,,,,33701,,,,33561,,,(2) (3),,,,
104,Kawa Solar Holdings Limited,Construction & Engineering,,,,12/31/22,,3917,,,3603,,,1308,,^ (1) (3) (5),,57693,,,,56440,,,,56251,,,(2) (3),,,,
105,Kawa Solar Holdings Limited,Construction & Engineering,,,,12/31/22,,3318,,,800,,,0,,^ (1) (3) (5),,22131,,,,21628,,,,21578,,,(2) (3),,,,
106,"Lithium Technologies, Inc.",Interactive Media & Services,9.03,L + 8.00,1.00,10/03/22,,89013,,,88267,,,87678,,(2) (3),,3380,,,,1104,,,,1094,,,(2) (3) (4),,,,
107,"Lithium Technologies, Inc.",Interactive Media & Services,9.00,L + 8.00,1.00,10/03/22,,5110,,,2022,,,1967,,(2) (3) (4),,42727,,,,42094,,,,41338,,,(2) (3),,,,
108,"LS Clinical Services Holdings, Inc (dba CATO)",Pharmaceuticals,8.42,L + 6.75,1.00,12/16/27,,15320,,,14965,,,14937,,(2) (3),,5320,,,,(79,,,,(173,,,(2) (3) (4),,,,
109,"LS Clinical Services Holdings, Inc (dba CATO)",Pharmaceuticals,,L + 6.75,1.00,12/16/26,,2200,,,(49,,,(55,,(2) (3) (4),,14775,,,,14568,,,,14480,,,(2) (3),,,,
110,"MedeAnalytics, Inc.",Health Care Technology,10.20,S + 8.00(incl. 1.50PIK),1.00,10/09/26,,966,,,927,,,915,,(2) (3),,2593,,,,2556,,,,2541,,,(2) (3),,,,
111,"MerchantWise Solutions, LLC (dba HungerRush)",Diversified Financial Services,7.40,S + 6.00,0.75,06/01/28,,21746,,,21316,,,21311,,(2),,1880,,,,1354,,,,1341,,,(2) (3) (4),,,,
112,"MerchantWise Solutions, LLC (dba HungerRush)",Diversified Financial Services,7.40,S + 6.00,0.75,06/01/28,,2718,,,626,,,625,,(2) (4),,966,,,,948,,,,947,,,(2) (3),,,,
113,"MerchantWise Solutions, LLC (dba HungerRush)",Diversified Financial Services,,S + 6.00,0.75,06/01/28,,5436,,,(54,,,(54,,(2) (4),,29219,,,,28629,,,,29073,,,(2),,,,
114,"Mervin Manufacturing, Inc.",Leisure Products,9.17,L + 7.50,1.00,09/30/22,,10613,,,10613,,,10560,,(3),,3789,,,,2233,,,,2265,,,(2) (4),,,,
115,"Millstone Medical Outsourcing, LLC",Health Care Providers & Services,8.75,P + 4.00,,12/15/27,,10322,,,10131,,,10116,,(2) (3),,2583,,,,(30,,,,(13,,,(2) (4),,,,
116,"Millstone Medical Outsourcing, LLC",Health Care Providers & Services,8.75,P + 4.00,,12/15/27,,2217,,,292,,,288,,(2) (3) (4),,42281,,,,42183,,,,41541,,,(2) (3),,,,
117,"MMIT Holdings, LLC (dba Managed Markets Insight & Technology)",Health Care Technology,8.50,L + 6.25,1.00,09/15/27,,65971,,,64796,,,64652,,(2) (3),,4710,,,,(11,,,,(82,,,(2) (3) (4),,,,
118,"MMIT Holdings, LLC (dba Managed Markets Insight & Technology)",Health Care Technology,8.50,L + 6.25,1.00,09/15/27,,6878,,,6754,,,6740,,(2) (3),,14718,,,,(17,,,,(258,,,(2) (3) (4),,,,
119,"MMIT Holdings, LLC (dba Managed Markets Insight & Technology)",Health Care Technology,,L + 6.25,1.00,09/15/27,,5923,,,(103,,,(118,,(2) (3) (4),,23973,,,,23722,,,,23313,,,(2),,,,
120,MRI Software LLC,Real Estate Mgmt. & Development,7.75,L + 5.50,1.00,02/10/26,,23338,,,22433,,,23153,,,,982,,,,234,,,,219,,,(2) (4),,,,
121,MRI Software LLC,Real Estate Mgmt. & Development,7.75,L + 5.50,1.00,02/10/26,,6569,,,6542,,,6517,,,,2025,,,,(7,,,,(56,,,(2) (4),,,,
122,MRI Software LLC,Real Estate Mgmt. & Development,,L + 5.50,1.00,02/10/26,,1612,,,(27,,,(13,,(4),,6324,,,,6293,,,,5631,,,,,,,
123,"NFM & J, L.P. (dba the Facilities Group)",Professional Services,7.42,L + 5.75,1.00,11/30/27,,17167,,,16852,,,16823,,(2) (3),,35400,,,,34769,,,,34603,,,(2) (3),,,,
124,"NFM & J, L.P. (dba the Facilities Group)",Professional Services,7.30,L + 5.75,1.00,11/30/27,,17406,,,9626,,,9528,,(2) (3) (4),,5030,,,,1449,,,,1336,,,(2) (3) (4),,,,
125,"NFM & J, L.P. (dba the Facilities Group)",Professional Services,7.15,L + 5.75,1.00,11/30/27,,2992,,,394,,,389,,(2) (3) (4),,3800,,,,(67,,,,(86,,,(2) (3) (4),,,,
126,One GI LLC,Health Care Providers & Services,8.42,L + 6.75,1.00,12/22/25,,22760,,,22420,,,21963,,(2) (3),,9500,,,,(83,,,,(214,,,(2) (3) (4),,,,
127,One GI LLC,Health Care Providers & Services,8.42,L + 6.75,1.00,12/22/25,,12147,,,11932,,,11722,,(2) (3),,19084,,,,18819,,,,18893,,,(2) (3),,,,
128,One GI LLC,Health Care Providers & Services,8.42,L + 6.75,1.00,12/22/25,,9358,,,9220,,,9030,,(2) (3),,14924,,,,14793,,,,14775,,,(2) (3),,,,
129,One GI LLC,Health Care Providers & Services,,L + 6.75,1.00,12/22/25,,3610,,,(54,,,(126,,(2) (3) (4),,7864,,,,7730,,,,7785,,,(2) (3),,,,
130,One GI LLC,Health Care Providers & Services,,L + 6.75,1.00,12/22/25,,6659,,,(58,,,(233,,(2) (3) (4),,2363,,,,212,,,,225,,,(2) (3) (4),,,,
131,"Output Services Group, Inc.",Diversified Consumer Services,6.01,L + 4.50,1.00,03/27/24,,3842,,,3836,,,2835,,,,39138,,,,37760,,,,37768,,,(2) (3),,,,
132,"PDDS Holdco, Inc. (dba Planet DDS)",Health Care Technology,,S + 6.75,0.75,06/01/29,,26700,,,0,,,0,,(2) (4),,24235,,,,23797,,,,23689,,,(2) (3),,,,
133,"PDDS Holdco, Inc. (dba Planet DDS)",Health Care Technology,,S + 6.75,0.75,06/01/29,,3080,,,0,,,0,,(2) (4),,15262,,,,6860,,,,6720,,,(2) (3) (4),,,,
134,"PDDS Holdco, Inc. (dba Planet DDS)",Health Care Technology,,S + 6.75,0.75,06/01/29,,3080,,,0,,,0,,(2) (4),,2802,,,,(50,,,,(63,,,(2) (3) (4),,,,
135,"PDDS Holdco, Inc. (dba Planet DDS)",Health Care Technology,,S + 6.75,0.75,06/01/27,,2050,,,0,,,0,,(2) (4),,35135,,,,34672,,,,34345,,,(1) (2) (3),,,,
136,Picture Head Midco LLC,Entertainment,8.28,S + 6.75,1.00,08/31/23,,45536,,,43785,,,44967,,(2) (3),,11370,,,,11273,,,,11115,,,(1) (2) (3),,,,
137,"Pioneer Buyer I, LLC",Software,9.25,L + 7.00PIK,0.75,11/01/28,,24977,,,24541,,,24477,,(2) (3),,10777,,,,10689,,,,10535,,,(1) (2) (3),,,,
138,"Pioneer Buyer I, LLC",Software,,L + 6.50,0.75,11/01/27,,4300,,,(77,,,(86,,(2) (3) (4),,57082,,,,54106,,,,55226,,,(2) (3),,,,
139,"PlanSource Holdings, Inc.",Health Care Technology,7.25,L + 6.25,1.00,04/22/25,,56720,,,54488,,,56011,,(2) (3),,4688,,,,557,,,,551,,,(2) (3) (4),,,,
140,"PlanSource Holdings, Inc.",Health Care Technology,7.25,L + 6.25,1.00,04/22/25,,905,,,893,,,893,,(2) (3),,72489,,,,70533,,,,72489,,,(2) (3),,,,
