,0,1,2,3,4,5,6,7,8
67,"KHKI Acquisition, Inc.",Senior loan,P + 5.00,8.50,03/2017,2547.0,2547,0.2,1401
68,Cargo Transport,,,,,,,,
69,RP Crown Parent (RedPrairie Corp)*,Senior loan,L + 5.50,6.75,12/2018,1985.0,1950,0.3,2003
70,"Chemicals, Plastics and Rubber",,,,,,,,
71,"Integrated DNA Technologies, Inc.",Subordinated debt,No Value,12.00 cash/  2.00 PIK,04/2015,450.0,447,0.1,450
72,"Integrated DNA Technologies, Inc.",Subordinated debt,No Value,12.00 cash/  2.00 PIK,04/2015,1267.0,1246,0.2,1267
73,"Integrated DNA Technologies, Inc.",Subordinated debt,No Value,12.00 cash/  2.00 PIK,04/2015,450.0,442,0.1,450
74,"Road Infrastructure Investment, LLC",Senior loan,L + 5.00,5.18,03/2017,49.0,17,0.0,48
75,"Road Infrastructure Investment, LLC*",Senior loan,L + 5.00,6.25,03/2018,4515.0,4469,0.7,4557
76,"Containers, Packaging and Glass",,,,,,,,
77,Fort Dearborn Company*,Senior loan,L + 4.25,5.25,10/2017,39.0,39,0.0,39
78,Fort Dearborn Company*,Senior loan,L + 4.75,5.75,10/2018,156.0,155,0.0,156
79,Fort Dearborn Company*,Senior loan,L + 4.25,5.25,10/2017,559.0,555,0.1,559
80,Fort Dearborn Company*,Senior loan,L + 4.75,5.75,10/2018,2202.0,2187,0.3,2202
81,"Packaging Coordinators, Inc.*",Senior loan,L + 4.25,5.50,05/2020,6810.0,6778,1.0,6776
82,"Packaging Coordinators, Inc.",Second lien,L + 8.25,9.50,11/2020,29098.0,28539,4.4,28807
83,Diversified Conglomerate Manufacturing,,,,,,,,
84,"Chase Industries, Inc.*",One stop,L + 5.66,6.91,11/2017,13815.0,13622,2.1,13815
85,"Metal Spinners, Inc.*",Senior loan,L + 6.50,8.00,12/2014,1352.0,1333,0.2,1352
86,"Metal Spinners, Inc.*",Senior loan,L + 6.50,8.00,12/2014,2684.0,2649,0.4,2684
87,Onicon Incorporated  (4),One stop,L + 6.75,(5),12/2017,0.0,(14,0.0,0
88,Onicon Incorporated,One stop,L + 6.75,8.25,12/2017,3606.0,3544,0.5,3606
89,"Pasternack Enterprises,  Inc.*",Senior loan,L + 5.00,6.25,12/2017,1208.0,1198,0.2,1208
90,"Plex Systems, Inc.  (4)",Senior loan,L + 7.50,(5),06/2018,0.0,(26,0.0,(26
91,"Plex Systems, Inc.*",Senior loan,L + 7.50,8.75,06/2018,13670.0,13375,2.0,13465
92,"Sunless Merger Sub, Inc.",Senior loan,P + 4.00,7.25,07/2016,56.0,55,0.0,24
93,"Sunless Merger Sub,  Inc.*",Senior loan,L + 5.25,6.50,07/2016,2171.0,2165,0.3,1910
94,Tecomet Inc.  (4),Senior loan,L + 4.50,(5),12/2016,0.0,(5,0.0,0
95,Tecomet Inc.*,Senior loan,L + 4.50,5.75,12/2016,5610.0,5546,0.9,5610
96,"TIDI Products, LLC  (4)",Senior loan,L + 7.00,(5),07/2017,0.0,(10,0.0,0
97,"TIDI Products, LLC*",Senior loan,L + 7.00,8.25,07/2018,8703.0,8552,1.3,8703
98,"Vintage Parts, Inc.*",One stop,L + 4.50,5.75,12/2013,4865.0,4836,0.7,4865
99,"Vintage Parts, Inc.*",One stop,L + 4.50,5.75,12/2013,68.0,67,0.0,68
100,"Vintage Parts, Inc.*",One stop,L + 4.50,5.75,12/2013,1016.0,1008,0.2,1016
101,Diversified Conglomerate Service,,,,,,,,
102,"Aderant North America, Inc.*",Senior loan,L + 5.00,6.25,12/2018,4506.0,4467,0.7,4506
103,Agility Recovery Solutions Inc.  (4),One stop,L + 7.00,(5),12/2017,0.0,(7,0.0,0
104,Agility Recovery Solutions Inc.*,One stop,L + 7.00,8.25,12/2017,9409.0,9221,1.4,9409
105,API Healthcare Corporation*,One stop,L + 8.63,9.88,04/2018,34156.0,33882,5.2,34156
106,"Consona Holdings,  Inc.  (4)",Senior loan,L + 5.50,(5),08/2017,0.0,(2,0.0,0
107,"Consona Holdings, Inc.*",Senior loan,L + 5.50,6.75,08/2018,1037.0,1008,0.2,1037
108,"Consona Holdings, Inc.*",Senior loan,L + 6.00,7.25,08/2018,1551.0,1538,0.2,1551
109,"Document Technologies, LLC  (4)",Senior loan,L + 4.25,(5),12/2018,0.0,(13,0.0,0
110,"Document Technologies, LLC*",Senior loan,L + 4.25,5.50,12/2018,6724.0,6659,1.0,6724
111,"EAG, INC. (Evans Analytical Group)*",Senior loan,L + 4.50,6.00,07/2017,2459.0,2432,0.4,2459
112,HighJump Acquisition  LLC,One stop,L + 7.50,8.75,07/2016,7142.0,7075,1.1,7142
113,"Integration Appliance,  Inc.",Senior loan,P + 7.00,10.25,09/2018,719.0,709,0.1,709
114,"Integration Appliance,  Inc.",Senior loan,P + 7.00,10.25,09/2018,5396.0,5261,0.8,5315
115,"Marathon Data Operating Co., LLC  (4)",One stop,L + 6.25,(5),08/2017,0.0,(8,0.0,0
116,"Marathon Data Operating Co., LLC",One stop,L + 6.25,7.50,08/2017,4772.0,4679,0.7,4772
117,MSC.Software Corporation*,One stop,L + 7.15,8.40,11/2017,10028.0,9867,1.5,10028
118,"Navex Global, Inc.  (4)",One stop,L + 7.50,(5),12/2016,0.0,(16,0.0,(25
119,"Navex Global, Inc.*",One stop,L + 7.50,9.00,12/2016,17758.0,17460,2.7,17403
120,"NetSmart Technologies, Inc.",Senior loan,L + 7.50,8.75,12/2017,654.0,642,0.1,654
121,"NetSmart Technologies, Inc.*",Senior loan,L + 7.50,8.75,12/2017,8377.0,8302,1.3,8377
122,"PC Helps Support,  LLC  (4)",Senior loan,L + 5.25,(5),09/2017,0.0,(2,0.0,0
123,"PC Helps Support, LLC",Senior loan,L + 5.25,6.50,09/2017,2007.0,1984,0.3,2007
124,"Secure-24, LLC  (4)",One stop,L + 7.00,(5),08/2017,0.0,(6,0.0,0
125,"Secure-24, LLC*",One stop,L + 7.00,8.25,08/2017,10539.0,10290,1.6,10539
126,"Secure-24, LLC",One stop,L + 7.00,8.25,03/2015,1541.0,1520,0.2,1541
127,"Source Medical Solutions, Inc.",Second lien,L + 9.50,10.75,03/2018,9294.0,9104,1.4,9201
128,"Vericlaim, Inc.  (4)",Senior loan,L + 4.75,(5),05/2018,0.0,(3,0.0,(4
129,"Vericlaim, Inc.",Senior loan,L + 4.75,6.00,05/2018,5822.0,5795,0.9,5793
130,Electronics,,,,,,,,
131,"Ecommerce Industries, Inc.  (4)",One stop,L + 6.75,(5),10/2016,0.0,(20,0.0,0
132,"Ecommerce Industries, Inc.*",One stop,L + 8.39,9.64,10/2016,12519.0,12378,1.9,12519
133,"Entrust, Inc./Entrust Limited*",Second lien,L + 9.50,10.75,04/2019,5204.0,5159,0.7,5204
134,"Entrust, Inc./Entrust Limited*",Second lien,L + 9.50,10.75,04/2019,11523.0,11424,1.8,11523
135,"Rogue Wave Holdings, Inc.*",One stop,L + 9.28,10.53,11/2017,7249.0,7162,1.1,7249
136,"Sparta Systems, Inc.  (4)",Senior loan,L + 5.25,(5),12/2017,0.0,(7,0.0,0
137,"Sparta Systems, Inc.",Senior loan,L + 5.25,6.50,12/2017,6375.0,6307,1.0,6375
138,Syncsort Incorporated,Senior loan,P + 4.25,7.50,03/2015,160.0,158,0.0,160
139,Syncsort Incorporated*,Senior loan,P + 4.25,7.50,03/2015,6365.0,6291,1.0,6365
140,"Time-O-Matic, Inc.",Subordinated debt,No Value,12.00 cash/  1.25 PIK,12/2016,11709.0,11576,1.8,11709
141,Farming and Agriculture,,,,,,,,
142,"AGData, L.P.",One stop,L + 6.00,7.25,08/2016,3837.0,3799,0.6,3837
143,Finance,,,,,,,,
144,"Ascensus, Inc.*",Senior loan,L + 6.75,8.00,12/2018,17958.0,17643,2.7,17958
145,Bonddesk Group LLC*,Senior loan,L + 5.00,6.50,09/2016,869.0,864,0.2,869
146,Pillar Processing LLC*,Senior loan,L + 5.50,5.78,11/2018,1604.0,1601,0.2,1524
147,Pillar Processing  LLC*  (3),Senior loan,No Value,14.50,05/2019,2478.0,2483,0.1,625
148,Grocery,,,,,,,,
149,"MyWebGrocer,  Inc.  (4)",Senior loan,L + 8.75,(5),05/2018,0.0,(15,0.0,(16
150,"MyWebGrocer, Inc.",Senior loan,L + 8.75,6.00 cash/  4.00 PIK,05/2018,14271.0,14036,2.1,14128
151,"Teasdale Quality Foods, Inc.*",Senior loan,L + 4.50,5.75,05/2018,2800.0,2773,0.4,2772
152,"Healthcare, Education and Childcare",,,,,,,,
153,"Advanced Pain Management Holdings, Inc.  (4)",Senior loan,L + 5.00,(5),02/2018,0.0,(7,0.0,0
154,"Advanced Pain Management Holdings, Inc.  (4)",Senior loan,L + 5.00,(5),02/2018,0.0,(10,0.0,0
155,"Advanced Pain Management Holdings, Inc.*",Senior loan,L + 5.00,6.25,02/2018,7364.0,7299,1.1,7364
156,"Avatar International, LLC",Senior loan,L + 8.00,9.25,09/2016,1651.0,1638,0.2,1618
157,"Avatar International, LLC  (4)",One stop,L + 7.50,(5),09/2016,0.0,(6,0.0,(24
158,"Avatar International, LLC*",One stop,L + 7.50,8.75,09/2016,7653.0,7575,1.1,7424
159,DDC Center Inc.,One stop,L + 6.25,(5),10/2013,0.0,0,0.0,0
160,DDC Center Inc.*,One stop,L + 6.25,9.25,10/2014,7920.0,7913,1.2,7920
161,Delta Educational Systems*,Senior loan,P + 4.75,8.00,12/2016,1806.0,1778,0.3,1806
162,"Dialysis Newco, Inc.",Senior loan,L + 4.25,5.25,08/2020,6346.0,6283,1.0,6314
163,"Dialysis Newco, Inc.  (4)",Second lien,L + 8.50,(5),02/2021,0.0,(25,0.0,(22
164,"Dialysis Newco, Inc.*",Second lien,L + 8.50,9.75,02/2021,23901.0,23490,3.6,23543
165,"Encore Rehabilitation Services, LLC  (4)",One stop,L + 6.25,(5),06/2017,0.0,(12,0.0,0
166,"Encore Rehabilitation Services, LLC",One stop,L + 6.25,7.50,06/2017,5099.0,4994,0.8,5099
167,"G & H Wire Company,  Inc.  (4)",Senior loan,L + 5.50,(5),11/2016,0.0,(9,0.0,0
168,"G & H Wire Company,  Inc.*",Senior loan,L + 5.50,7.00,11/2016,8555.0,8452,1.3,8555
169,"Healogics, Inc.*",Second lien,L + 8.00,9.25,02/2020,16454.0,16304,2.6,16851
170,"Hospitalists Management Group, LLC",Senior loan,L + 5.00,6.50,05/2017,438.0,433,0.1,403
171,"Hospitalists Management Group, LLC",Senior loan,P + 4.00,7.25,05/2017,888.0,878,0.1,815
172,"Hospitalists Management Group, LLC",Senior loan,L + 5.00,6.50,05/2017,3694.0,3629,0.5,3398
173,"IntegraMed America, Inc.  (4)",One stop,L + 7.25,(5),09/2017,0.0,(15,0.0,0
174,"IntegraMed America, Inc.*",One stop,L + 7.25,8.50,09/2017,14457.0,14196,2.2,14457
175,"Maverick Healthcare Group, LLC *",Senior loan,L + 5.50,7.25,12/2016,2030.0,2011,0.3,2030
176,"NeuroTherm, Inc.",Senior loan,P + 4.00,7.25,02/2016,64.0,60,0.0,64
177,"NeuroTherm, Inc.*",Senior loan,L + 5.00,6.50,02/2016,1332.0,1318,0.2,1332
178,"Northwestern Management Services, LLC  (4)",Senior loan,L + 5.25,(5),10/2017,0.0,(13,0.0,0
179,"Northwestern Management Services, LLC  (4)",Senior loan,L + 5.25,(5),10/2017,0.0,(5,0.0,0
180,"Northwestern Management Services, LLC*",Senior loan,L + 5.25,6.50,10/2017,4031.0,3963,0.6,4031
181,"Pentec Acquisition Sub,  Inc.  (4)",Senior loan,L + 5.25,(5),05/2017,0.0,(3,0.0,(6
182,"Pentec Acquisition Sub,  Inc.*",Senior loan,L + 5.25,6.50,05/2018,1895.0,1865,0.3,1819
183,"Precision Dermatology,  Inc.  (4)",Senior loan,L + 6.00,(5),09/2018,0.0,(9,0.0,(4
184,"Precision Dermatology, Inc.",Senior loan,L + 6.00,7.25,09/2018,11086.0,10977,1.7,11031
185,"Reliant Pro ReHab, LLC",Senior loan,L + 4.75,6.00,06/2016,949.0,943,0.1,949
186,"Reliant Pro ReHab, LLC",Senior loan,P + 3.75,7.00,06/2016,185.0,179,0.0,185
187,"Reliant Pro ReHab, LLC*",Senior loan,L + 4.75,6.00,06/2016,3409.0,3376,0.5,3409
188,Renaissance Pharma (U.S.) Holdings Inc.  (4),Senior loan,L + 5.25,(5),05/2018,0.0,(4,0.0,0
189,Renaissance Pharma (U.S.) Holdings Inc.*,Senior loan,L + 5.25,6.75,05/2018,4493.0,4436,0.7,4493
190,Southern Anesthesia and Surgical  (4),One stop,L + 7.00,(5),11/2017,0.0,(13,0.0,0
191,Southern Anesthesia and Surgical,One stop,L + 7.00,8.25,11/2017,6217.0,6090,0.9,6217
192,"Surgical Information Systems, LLC",Second lien,L + 3.00,4.00,09/2018,1714.0,1714,0.3,1714
193,"WIL Research Company,  Inc.*",Senior loan,L + 4.50,5.75,02/2018,784.0,775,0.1,776
194,"Young Innovations, Inc.  (4)",Senior loan,L + 4.50,(5),01/2018,0.0,(2,0.0,0
195,"Young Innovations, Inc.",Senior loan,L + 4.50,5.75,01/2019,4594.0,4564,0.7,4594
196,"Home and Office Furnishings, Housewares, and Durable Consumer",,,,,,,,
197,"WII Components,  Inc.",Senior loan,P + 3.75,7.00,07/2016,26.0,25,0.0,26
198,"WII Components,  Inc.*",Senior loan,L + 4.75,6.25,07/2016,1639.0,1626,0.3,1639
199,Zenith Products Corporation,One stop,P + 1.75,5.00,09/2013,29.0,29,0.0,24
200,Zenith Products Corporation*,One stop,P + 3.50,6.75,09/2013,3684.0,3684,0.4,2947
201,Insurance,,,,,,,,
202,"AssuredPartners Capital, Inc.  (4)",Senior loan,L + 4.75,(5),06/2019,0.0,(4,0.0,0
203,"AssuredPartners Capital, Inc.  (4)",Senior loan,L + 4.75,(5),12/2019,0.0,(22,0.0,0
204,"AssuredPartners Capital, Inc.*",Senior loan,L + 4.50,5.75,12/2018,2377.0,2358,0.4,2377
205,"Captive Resources Midco, LLC  (4)",Senior loan,L + 5.50,(5),10/2017,0.0,(3,0.0,0
206,"Captive Resources Midco, LLC*",Senior loan,L + 5.50,6.75,10/2018,3552.0,3522,0.5,3552
207,"Evolution1, Inc.  (4)",Senior loan,L + 4.75,(5),06/2016,0.0,(14,0.0,0
208,"Evolution1, Inc.",Senior loan,P + 3.75,7.00,06/2016,89.0,86,0.0,89
209,"Evolution1, Inc.*",Senior loan,L + 4.75,6.25,06/2016,4561.0,4523,0.7,4561
210,Investment Funds and Vehicles,,,,,,,,
211,Senior Loan Fund LLC  (7),Senior loan,L + 4.00,4.20,05/2020,4140.0,4140,0.6,4066
212,"Leisure, Amusement, Motion Pictures and Entertainment",,,,,,,,
213,"Competitor Group, Inc.  (4)",One stop,L + 7.75,(5),11/2018,0.0,(44,0.0,0
214,"Competitor Group,  Inc.",One stop,P + 6.75,10.00,11/2018,884.0,871,0.1,796
215,"Competitor Group,  Inc.*",One stop,L + 8.75,7.75 cash/  1.00 PIK,11/2018,12774.0,12581,1.8,11496
216,"Octane Fitness,  LLC*",One stop,L + 5.50,7.00,12/2015,4675.0,4590,0.7,4675
217,"Pride Manufacturing Company, LLC*",Senior loan,L + 6.00,7.75,11/2015,591.0,586,0.1,591
218,"Service Companies,  The",Senior loan,P + 5.25,10.25,03/2014,155.0,155,0.0,155
219,"Service Companies, The*",Senior loan,L + 6.50,9.00,03/2014,6354.0,6336,1.0,6354
220,"Starplex Operating, L.L.C.",One stop,L + 7.50,9.00,12/2017,958.0,940,0.1,958
221,"Starplex Operating, L.L.C.*",One stop,L + 7.50,9.00,12/2017,17432.0,17171,2.6,17432
222,"Titan Fitness, LLC  (4)",One stop,L + 6.50,(5),09/2019,0.0,(26,0.0,(26
223,"Titan Fitness, LLC",One stop,P + 5.25,8.50,09/2019,687.0,661,0.1,661
224,"Titan Fitness, LLC",One stop,P + 5.25,8.50,09/2019,13740.0,13421,2.1,13533
225,"Mining, Steel, Iron and Non-Precious Metals",,,,,,,,
226,"Benetech, Inc.  (4)",One stop,L + 6.00,(5),10/2017,0.0,(5,0.0,0
227,"Benetech, Inc.*",One stop,L + 6.00,7.25,10/2017,5506.0,5484,0.8,5506
228,Oil and Gas,,,,,,,,
229,"Drilling Info, Inc.  (4)",One stop,L + 5.50,(5),06/2018,0.0,(1,0.0,(1
230,"Drilling Info, Inc.",One stop,L + 5.50,6.75,06/2018,1368.0,1355,0.2,1354
231,"Drilling Info, Inc.  (4)",One stop,L + 5.50,(5),06/2018,0.0,(5,0.0,(5
232,Personal and Non-Durable Consumer Products,,,,,,,,
233,"Hygenic Corporation, The  (4)",Senior loan,L + 4.50,(5),10/2017,0.0,(3,0.0,0
234,"Hygenic Corporation,  The*",Senior loan,L + 4.50,5.75,10/2018,3534.0,3492,0.6,3534
235,"Massage Envy, LLC  (4)",One stop,L + 7.25,(5),09/2018,0.0,(15,0.0,0
236,"Massage Envy, LLC",One stop,L + 7.25,8.50,09/2018,16634.0,16291,2.5,16634
237,Team Technologies Acquisition  Company  (4),Senior loan,L + 4.75,(5),12/2017,0.0,(4,0.0,0
238,Team Technologies Acquisition Company,Senior loan,L + 4.75,6.00,12/2017,3519.0,3490,0.6,3519
239,"Personal, Food and Miscellaneous Services",,,,,,,,
240,Affordable Care Inc.  (4),Senior loan,L + 4.75,(5),12/2017,0.0,(2,0.0,0
241,Affordable Care Inc.,Senior loan,L + 4.75,6.00,12/2018,3541.0,3510,0.5,3541
242,"Automatic Bar Controls, Inc.  (4)",Senior loan,L + 5.75,(5),03/2016,0.0,(1,0.0,0
243,"Automatic Bar Controls, Inc.*",Senior loan,L + 5.50,7.00,03/2016,904.0,897,0.1,904
244,Focus Brands Inc.,Second lien,L + 9.00,10.25,08/2018,11195.0,11076,1.7,11418
245,"National Veterinary Associates, Inc.",Senior loan,L + 5.00,6.25,12/2017,955.0,943,0.2,955
246,"National Veterinary Associates, Inc.  (4)",Senior loan,L + 5.00,(5),12/2017,0.0,(1,0.0,0
247,"National Veterinary Associates, Inc.",Senior loan,L + 5.00,6.25,12/2017,6006.0,5963,0.9,6006
248,"PMI Holdings, Inc.  (4)",Senior loan,L + 4.75,(5),06/2017,0.0,(2,0.0,0
249,"PMI Holdings, Inc.",Senior loan,L + 4.75,5.75,06/2017,2629.0,2609,0.4,2629
250,Vetcor Merger Sub LLC,Senior loan,L + 6.50,7.75,12/2017,377.0,356,0.1,377
251,Vetcor Merger Sub LLC,Senior loan,L + 6.50,7.75,12/2017,520.0,513,0.1,520
252,Vetcor Merger Sub  LLC*,Senior loan,L + 6.50,7.75,12/2017,5938.0,5881,0.9,5938
253,Personal Transportation,,,,,,,,
254,PODS Funding Corp. II,Subordinated debt,No Value,21.00,11/2017,702.0,702,0.1,702
255,PODS Funding Corp. II,Subordinated debt,No Value,21.00,11/2017,3400.0,3400,0.5,3400
256,PODS Funding Corp. II,Subordinated debt,No Value,10.50 cash/  5.00 PIK,05/2017,1217.0,1267,0.2,1278
257,PODS Funding Corp. II,Subordinated debt,No Value,10.50 cash/  5.00 PIK,05/2017,4829.0,4980,0.8,5070
258,PODS Funding Corp. II,Senior loan,L + 6.00,7.25,11/2016,691.0,678,0.1,691
259,PODS Funding Corp. II*,Senior loan,L + 6.00,7.25,11/2016,6091.0,5978,0.9,6091
260,Printing and Publishing,,,,,,,,
261,"Market Track, LLC  (4)",Senior loan,L + 6.11,(5),08/2018,0.0,(5,0.0,0
262,"Market Track, LLC*",Senior loan,L + 6.11,7.36,08/2018,3114.0,3076,0.5,3114
263,"Market Track, LLC  (4)",Senior loan,L + 7.65,(5),08/2018,0.0,(3,0.0,0
264,Retail Stores,,,,,,,,
265,"Barcelona Restaurants, LLC  (4)  (6)",One stop,L + 8.25,(5),03/2017,0.0,(4,0.0,0
266,"Barcelona Restaurants, LLC*  (6)",One stop,L + 8.25,9.50,03/2017,5707.0,5623,0.9,5707
267,"Benihana, Inc.  (4)",One stop,L + 5.50,(5),07/2018,0.0,(42,0.0,0
268,"Benihana, Inc.*",One stop,L + 5.50,6.75,01/2019,14106.0,13679,2.1,14106
269,"Boot Barn, Inc.*",One stop,L + 5.75,7.00,05/2019,24677.0,24327,3.7,24430
270,"Capital Vision Services, LLC  (4)",One stop,L + 7.25,(5),12/2017,0.0,(16,0.0,0
271,"Capital Vision Services, LLC",One stop,P + 6.25,9.50,12/2017,323.0,311,0.1,323
272,"Capital Vision Services, LLC*",One stop,L + 7.25,8.50,12/2017,13358.0,13190,2.0,13358
273,"DTLR, Inc.*",One stop,L + 8.00,11.00,12/2015,16757.0,16625,2.6,16757
274,"Floor & Decor Outlets of America, Inc.*",One stop,L + 6.50,7.75,05/2019,11358.0,11226,1.7,11216
275,"Marshall Retail Group, LLC, The  (4)",Senior loan,L + 6.50,(5),10/2016,0.0,(11,0.0,0
276,"Marshall Retail Group, LLC, The*",Senior loan,L + 6.50,8.00,10/2016,9495.0,9370,1.4,9495
277,"Paper Source, Inc.",One stop,L + 6.25,7.25,09/2018,169.0,157,0.0,157
278,"Paper Source, Inc.*",One stop,L + 6.25,7.25,09/2018,12703.0,12562,1.9,12576
279,"Restaurant Holding Company, LLC",Senior loan,L + 7.50,9.00,02/2017,9274.0,9149,1.4,9298
280,"Rubio's Restaurants,  Inc.*",One stop,L + 7.25,8.75 cash/  0.25 PIK,06/2015,7695.0,7637,1.2,7695
281,"Sneaker Villa, Inc.",One stop,L + 8.50,10.00,12/2017,626.0,619,0.1,626
