,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
139,"Sunless Merger Sub, Inc.",Senior loan,L + 5.00,(a)(f),7.20,07/2019,1291.0,,1291,,,0.1,,,1291,,
140,"Sunless Merger Sub, Inc.",Senior loan,P + 3.75,(f),9.25,07/2019,142.0,,142,,,0.0,,,142,,
141,"Togetherwork Holdings, LLC  *",One stop,L + 6.25,(a),8.65,03/2025,9089.0,,8977,,,0.9,,,9089,,
142,"Togetherwork Holdings, LLC  *",One stop,L + 6.25,(a),8.65,03/2025,553.0,,546,,,0.1,,,553,,
143,"Togetherwork Holdings, LLC",One stop,L + 6.25,(a),8.65,03/2025,149.0,,147,,,0.0,,,149,,
144,"Togetherwork Holdings, LLC  ~",One stop,L + 6.25,(a),8.65,03/2025,121.0,,120,,,0.0,,,121,,
145,"Togetherwork Holdings, LLC  *~",One stop,L + 6.25,(a),8.65,03/2025,115.0,,113,,,0.0,,,115,,
146,"Togetherwork Holdings, LLC  *",One stop,L + 6.25,(a),8.65,03/2025,107.0,,106,,,0.0,,,107,,
147,"Togetherwork Holdings, LLC",One stop,L + 6.25,(a),8.65,03/2024,73.0,,71,,,0.0,,,73,,
148,"Togetherwork Holdings, LLC",One stop,L + 6.25,(a),8.65,03/2025,67.0,,66,,,0.0,,,67,,
149,"Togetherwork Holdings, LLC  ~",One stop,L + 6.25,(a),8.65,03/2025,4.0,,4,,,0.0,,,4,,
150,"Togetherwork Holdings, LLC",One stop,L + 6.25,,N/A  (6),03/2025,0.0,,0,,,0.0,,,0,,
151,Diversified/Conglomerate Service,,,,,,,,,,,,,,,,
152,"3ES Innovation, Inc.  ~(8)(12)",One stop,L + 5.75,(c),8.29,05/2025,4908.0,,4800,,,0.5,,,4798,,
153,"3ES Innovation, Inc.  (5)(8)(12)",One stop,L + 5.75,,N/A  (6),05/2025,0.0,,(2,,,0.0,,,(2,,
154,"Accela, Inc.  *",One stop,L + 6.25,(c),8.58,09/2023,5260.0,,5202,,,0.5,,,4682,,
155,"Accela, Inc.",One stop,L + 6.25,(a),8.65,08/2019,440.0,,439,,,0.1,,,440,,
156,"Accela, Inc.",One stop,L + 6.25,(c),8.58,09/2023,52.0,,51,,,0.0,,,48,,
157,Agility Recovery Solutions Inc.  ^*,One stop,L + 6.00,(a),8.40,03/2023,15748.0,,15576,,,1.6,,,15748,,
158,Agility Recovery Solutions Inc.,One stop,L + 6.00,(b),8.53,03/2023,139.0,,130,,,0.0,,,139,,
159,"Apptio, Inc.  ~",One stop,L + 7.25,(a),9.67,01/2025,27224.0,,26716,,,2.8,,,26680,,
160,"Apptio, Inc.  (5)",One stop,L + 7.25,,N/A  (6),01/2025,0.0,,(2,,,0.0,,,(2,,
161,Arch Global CCT Holdings Corp.  ~,Senior loan,L + 4.75,(a)(c),7.15,04/2026,1564.0,,1549,,,0.2,,,1548,,
162,Arch Global CCT Holdings Corp.,Senior loan,L + 4.75,,N/A  (6),04/2026,0.0,,0,,,0.0,,,0,,
163,Arch Global CCT Holdings Corp.,Senior loan,L + 4.75,,N/A  (6),04/2025,0.0,,0,,,0.0,,,0,,
164,"Astute Holdings, Inc.  ~",One stop,L + 6.00,(a),8.42,04/2025,4725.0,,4634,,,0.5,,,4678,,
165,"Astute Holdings, Inc.",One stop,L + 6.00,(a),8.40,04/2025,10.0,,9,,,0.0,,,9,,
166,"Astute Holdings, Inc.  (5)",One stop,L + 6.00,,N/A  (6),04/2025,0.0,,(2,,,0.0,,,(2,,
167,"AutoQuotes, LLC  ~",One stop,L + 6.00,(c),8.53,11/2024,4636.0,,4562,,,0.5,,,4636,,
168,"AutoQuotes, LLC",One stop,L + 6.00,,N/A  (6),11/2024,0.0,,0,,,0.0,,,0,,
169,Axiom Merger Sub Inc.  ~,One stop,L + 5.50,(b)(c),7.99,04/2026,3339.0,,3282,,,0.3,,,3305,,
170,Axiom Merger Sub Inc.  ~(8)(9),One stop,E + 5.75,(g),5.75,04/2026,1391.0,,1367,,,0.1,,,1384,,
171,Axiom Merger Sub Inc.  (5),One stop,L + 5.50,,N/A  (6),04/2026,0.0,,(1,,,0.0,,,0,,
172,Axiom Merger Sub Inc.  (5),One stop,L + 5.50,,N/A  (6),04/2026,0.0,,(3,,,0.0,,,(2,,
173,"Bazaarvoice, Inc.  *~",One stop,L + 5.75,(a),8.15,02/2024,19270.0,,19049,,,2.0,,,19270,,
174,"Bazaarvoice, Inc.",One stop,L + 5.75,(a)(c),8.12,02/2024,130.0,,127,,,0.0,,,130,,
175,"Calabrio, Inc.  ~",One stop,L + 6.50,(c),8.83,06/2025,4940.0,,4891,,,0.5,,,4891,,
176,"Calabrio, Inc.  (5)",One stop,L + 6.50,,N/A  (6),06/2025,0.0,,(1,,,0.0,,,(1,,
177,Diversified/Conglomerate Service - (continued),,,,,,,,,,,,,,,,
178,"Caliper Software, Inc.  ~",One stop,L + 6.00,(c)(f),8.33,11/2025,,11069,,,10937,,,1.1,,,11069.0
179,"Caliper Software, Inc.",One stop,L + 6.00,(c),8.33,11/2023,100.0,,98,,,0.0,,,100,,
180,Centrify Corporation  *,One stop,L + 6.25,(c),8.58,08/2024,10892.0,,10751,,,1.1,,,10674,,
181,Centrify Corporation,One stop,P + 5.25,(f),10.75,08/2024,150.0,,148,,,0.0,,,147,,
182,"Clearwater Analytics, LLC  ^*",One stop,L + 5.00,(a),7.4,09/2022,8532.0,,8358,,,0.9,,,8319,,
183,"Clearwater Analytics, LLC  (5)",One stop,L + 5.00,,N/A  (6),09/2022,0.0,,(2,,,0.0,,,(3,,
184,"Cloudbees, Inc.",One stop,L + 9.00,(a),10.94 cash/0.50 PIK,05/2023,1905.0,,1857,,,0.2,,,1905,,
185,"Cloudbees, Inc.",One stop,L + 8.50,,N/A  (6),05/2023,0.0,,0,,,0.0,,,0,,
186,"Confluence Technologies, Inc.",One stop,L + 5.50,(a),7.91,03/2024,6980.0,,6857,,,0.7,,,6980,,
187,"Confluence Technologies, Inc.  (5)",One stop,L + 5.50,,N/A  (6),03/2024,0.0,,(1,,,0.0,,,0,,
188,"Connexin Software, Inc.  ~",One stop,L + 8.50,(c),10.83,02/2024,2488.0,,2441,,,0.3,,,2488,,
189,"Connexin Software, Inc.",One stop,L + 8.50,,N/A  (6),02/2024,0.0,,0,,,0.0,,,0,,
190,"Conservice, LLC  ~",One stop,L + 5.25,(c),7.58,12/2024,1783.0,,1767,,,0.2,,,1783,,
191,"Conservice, LLC",One stop,L + 5.25,,N/A  (6),12/2024,0.0,,0,,,0.0,,,0,,
192,Daxko Acquisition Corporation  ^*,One stop,L + 4.75,(b),7.10,09/2023,11160.0,,10963,,,1.2,,,11160,,
193,Daxko Acquisition Corporation  (5),One stop,L + 4.75,,N/A  (6),09/2023,0.0,,(1,,,0.0,,,0,,
194,"Digital Guardian, Inc.",One stop,L + 9.50,(c),9.09 cash/3.00 PIK,06/2023,4030.0,,3991,,,0.4,,,4198,,
195,"Digital Guardian, Inc.",Subordinated debt,No Value,,8.00 PIK,06/2023,4.0,,0,,,0.0,,,4,,
196,"Digital Guardian, Inc.",One stop,L + 6.50,,N/A  (6),06/2023,0.0,,0,,,0.0,,,1,,
197,"Digital Guardian, Inc.",One stop,L + 5.00,,N/A  (6),06/2023,0.0,,0,,,0.0,,,0,,
198,DISA Holdings Acquisition Subsidiary Corp.  ~,Senior loan,L + 4.00,(c)(f),6.68,06/2022,2104.0,,2095,,,0.2,,,2104,,
199,DISA Holdings Acquisition Subsidiary Corp.,Senior loan,L + 4.00,(c)(f),6.85,06/2022,7.0,,7,,,0.0,,,7,,
200,DISA Holdings Acquisition Subsidiary Corp.,Senior loan,L + 4.00,,N/A  (6),06/2022,0.0,,0,,,0.0,,,0,,
201,DISA Holdings Acquisition Subsidiary Corp.,Senior loan,L + 4.00,,N/A  (6),06/2022,0.0,,0,,,0.0,,,0,,
202,"E2open, LLC  *~",One stop,L + 5.00,(c),7.52,11/2024,36765.0,,36268,,,3.8,,,36398,,
203,"E2open, LLC",One stop,L + 5.00,(c),7.52,11/2024,624.0,,615,,,0.1,,,617,,
204,"E2open, LLC  (5)",One stop,L + 5.00,,N/A  (6),11/2024,0.0,,(3,,,0.0,,,(2,,
205,"EGD Security Systems, LLC  ^*",One stop,L + 5.75,(c),8.34,06/2023,14952.0,,14750,,,1.5,,,14802,,
206,"EGD Security Systems, LLC",One stop,L + 5.75,(c),8.34,06/2023,25.0,,23,,,0.0,,,23,,
207,"EGD Security Systems, LLC  (5)",One stop,L + 5.75,,N/A  (6),06/2023,0.0,,(2,,,0.0,,,(3,,
208,"GS Acquisitionco, Inc.  *~",One stop,L + 5.25,(a),7.66,05/2024,27670.0,,27431,,,2.9,,,27670,,
209,"GS Acquisitionco, Inc.  *",One stop,L + 5.25,(a),7.66,05/2024,871.0,,864,,,0.1,,,871,,
210,"GS Acquisitionco, Inc.",One stop,L + 5.25,(a),7.66,05/2024,200.0,,198,,,0.0,,,200,,
211,"GS Acquisitionco, Inc.  ~",One stop,L + 5.25,(a),7.66,05/2024,184.0,,183,,,0.0,,,184,,
212,"GS Acquisitionco, Inc.  (5)",One stop,L + 5.00,,N/A  (6),05/2024,0.0,,(1,,,0.0,,,0,,
213,"GS Acquisitionco, Inc.  (5)",One stop,L + 5.25,,N/A  (6),05/2024,0.0,,(1,,,0.0,,,0,,
214,"HealthcareSource HR, Inc.  *",One stop,L + 5.25,(c),7.58,05/2023,23209.0,,22786,,,2.4,,,23209,,
215,"HealthcareSource HR, Inc.  (5)",One stop,L + 5.25,,N/A  (6),05/2023,0.0,,(2,,,0.0,,,0,,
216,Hydraulic Authority III Limited  (8)(9)(10),One stop,L + 6.00,(h)(j),7.00,11/2025,5915.0,,5860,,,0.6,,,5876,,
217,Hydraulic Authority III Limited  (8)(9)(10),One stop,No Value,,11.00 PIK,11/2028,85.0,,85,,,0.0,,,85,,
218,Hydraulic Authority III Limited  (8)(9)(10),One stop,L + 6.00,(h),7.00,11/2025,8.0,,8,,,0.0,,,8,,
219,"ICIMS, Inc.  ~",One stop,L + 6.50,(a),8.90,09/2024,5413.0,,5319,,,0.6,,,5413,,
220,"ICIMS, Inc.  ~",One stop,L + 6.50,(a),8.91,06/2025,2000.0,,1980,,,0.2,,,2000,,
221,"ICIMS, Inc.  (5)",One stop,L + 6.50,,N/A  (6),09/2024,0.0,,(1,,,0.0,,,0,,
222,Diversified/Conglomerate Service - (continued),,,,,,,,,,,,,,,,
223,"III US Holdings, LLC",One stop,L + 6.00,,N/A  (6),09/2022,,0,,,0,,,0.0,,,0.0
224,"Imprivata, Inc.  *~",Senior loan,L + 4.00,(c),6.33,10/2023,8149.0,,8050,,,0.8,,,8149,,
225,"Imprivata, Inc.  (5)",Senior loan,L + 4.00,,N/A  (6),10/2023,0.0,,(2,,,0.0,,,0,,
226,"Infogix, Inc.  *",One stop,L + 6.00,(c),8.33,04/2024,3305.0,,3292,,,0.3,,,3305,,
227,"Infogix, Inc.  *",One stop,L + 6.00,(c),8.33,04/2024,510.0,,504,,,0.1,,,510,,
228,"Infogix, Inc.",One stop,L + 6.00,(c),8.15,04/2024,14.0,,13,,,0.0,,,14,,
229,"Integral Ad Science, Inc.  ~",One stop,L + 7.25,(a),8.41 cash/1.25 PIK,07/2024,5047.0,,4963,,,0.5,,,5047,,
230,"Integral Ad Science, Inc.  (5)",One stop,L + 6.00,,N/A  (6),07/2023,0.0,,(1,,,0.0,,,(2,,
