,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value,10
72,"Beverage, Food and Tobacco - (continued)","Mid-America Pet Food, L.L.C.",One stop,L + 5.50,N/A  (6),12/2021,0.0,0.0,0.0,0.0,
73,"Beverage, Food and Tobacco - (continued)","NBC Intermediate, LLC  ^&",Senior loan,L + 4.25(d),5.33,09/2023,4589.0,4577.0,0.2,4176.0,
74,"Beverage, Food and Tobacco - (continued)","NBC Intermediate, LLC  #~",Senior loan,L + 4.25(a)(d),5.33,09/2023,2353.0,2385.0,0.1,2142.0,
75,"Beverage, Food and Tobacco - (continued)","NBC Intermediate, LLC  *#",Senior loan,L + 4.25(d),5.33,09/2023,2309.0,2342.0,0.1,2101.0,
76,"Beverage, Food and Tobacco - (continued)","NBC Intermediate, LLC  #",Senior loan,L + 4.25(d),5.33,09/2023,666.0,660.0,0.0,607.0,
77,"Beverage, Food and Tobacco - (continued)","NBC Intermediate, LLC",Senior loan,L + 4.25(a),5.25,09/2023,46.0,46.0,0.0,42.0,
78,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  #",One stop,L + 5.50(a),6.50,05/2021,16108.0,16301.0,0.8,16108.0,
79,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  *",One stop,L + 5.50(a),6.50,05/2021,540.0,555.0,0.0,540.0,
80,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^*",One stop,L + 5.50(a),6.50,05/2021,389.0,400.0,0.0,389.0,
81,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  *~",One stop,L + 5.50(a),6.50,05/2021,294.0,301.0,0.0,294.0,
82,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  *~",One stop,L + 5.50(a),6.50,05/2021,294.0,301.0,0.0,294.0,
83,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  *",One stop,L + 5.50(a),6.50,05/2021,293.0,301.0,0.0,293.0,
84,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  *",One stop,L + 5.50(a),6.50,05/2021,253.0,254.0,0.0,253.0,
85,"Beverage, Food and Tobacco - (continued)","Beverage, Food and Tobacco - (continued)",One stop,,,,,,,,
86,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,No Value,7.00 PIK,05/2026,241.0,246.0,0.0,241.0,
87,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 5.50(a)(c),6.50,05/2021,150.0,151.0,0.0,150.0,
88,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  *",One stop,L + 5.50(a),6.50,05/2021,148.0,152.0,0.0,148.0,
89,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC",One stop,L + 6.00(a),7.00,05/2021,120.0,119.0,0.0,120.0,
90,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^",One stop,L + 5.50(a),6.50,05/2021,46.0,47.0,0.0,46.0,
91,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^",One stop,L + 5.50(a),6.50,05/2021,30.0,30.0,0.0,30.0,
92,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^",One stop,L + 5.50(a),6.50,05/2021,30.0,30.0,0.0,30.0,
93,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^",One stop,L + 5.50(a),6.50,05/2021,28.0,28.0,0.0,28.0,
94,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^",One stop,L + 5.50(a),6.50,05/2021,22.0,22.0,0.0,22.0,
95,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^",One stop,L + 5.50(a),6.50,05/2021,22.0,22.0,0.0,22.0,
96,"Beverage, Food and Tobacco - (continued)","Purfoods, LLC  ^",One stop,L + 5.50(a),6.50,05/2021,20.0,20.0,0.0,20.0,
97,"Beverage, Food and Tobacco - (continued)","Rubio's Restaurants, Inc.  ^*#(7)&",Senior loan,L + 5.00(c),2.27 cash/4.00 PIK,04/2021,17944.0,17838.0,0.5,9278.0,
98,"Beverage, Food and Tobacco - (continued)","Rubio's Restaurants, Inc.  (7)",Senior loan,L + 7.50(a),8.75,04/2021,162.0,159.0,0.0,82.0,
99,"Beverage, Food and Tobacco - (continued)","SSRG Holdings, LLC",One stop,L + 5.25(c),6.32,11/2025,923.0,905.0,0.1,803.0,
100,"Beverage, Food and Tobacco - (continued)","SSRG Holdings, LLC",One stop,L + 5.25(c),6.30,11/2025,75.0,74.0,0.0,65.0,
101,"Beverage, Food and Tobacco - (continued)","Velvet Taco Holdings, Inc.  ~",One stop,L + 7.00(c),7.84,03/2026,1778.0,1761.0,0.1,1672.0,
102,"Beverage, Food and Tobacco - (continued)","Velvet Taco Holdings, Inc.  (5)",One stop,L + 7.00,N/A  (6),03/2026,0.0,0.0,0.0,,
103,"Beverage, Food and Tobacco - (continued)","Velvet Taco Holdings, Inc.  (5)",One stop,L + 7.00,N/A  (6),03/2026,0.0,,0.0,,
104,"Beverage, Food and Tobacco - (continued)",Wood Fired Holding Corp.  *#,One stop,L + 5.75,7.67,12/2023,14108.0,14348.0,0.7,12980.0,
105,"Beverage, Food and Tobacco - (continued)",Wood Fired Holding Corp.,One stop,L + 5.75(c),6.95,12/2023,697.0,697.0,0.0,641.0,
106,"Beverage, Food and Tobacco - (continued)",Wood Fired Holding Corp.,One stop,L + 5.75(c),6.98,12/2023,198.0,197.0,0.0,182.0,
107,Buildings and Real Estate,Buildings and Real Estate,One stop,,,,,,,,
108,Buildings and Real Estate,"Brooks Equipment Company, LLC  ^*#",One stop,L + 5.00(a)(c),6.60,08/2020,25703.0,25794.0,1.3,24674.0,
109,Buildings and Real Estate,"Brooks Equipment Company, LLC",One stop,L + 5.00(a),6.00,08/2020,3384.0,3382.0,0.2,3249.0,
110,Buildings and Real Estate,Groundworks LLC  +Senior loan,One stop,L + 5.50(c),7.34,01/2026,4733.0,4676.0,0.2,4165.0,
111,Buildings and Real Estate,Groundworks LLC,Senior loan,L + 5.50(c)(d),6.50,01/2026,36.0,36.0,0.0,32.0,
112,Buildings and Real Estate,Groundworks LLC  (5),Senior loan,L + 5.50,N/A  (6),01/2026,0.0,,0.0,0.0,
113,Buildings and Real Estate,"Jensen Hughes, Inc  .&",Senior loan,L + 4.50(a)(f),5.50,03/2024,4213.0,4213.0,0.2,3791.0,
114,Buildings and Real Estate,"Jensen Hughes, Inc.",Senior loan,L + 4.50(a)(f),5.50,03/2024,1010.0,1047.0,0.1,910.0,
115,Buildings and Real Estate,"Jensen Hughes, Inc.  +Senior loan",Senior loan,L + 4.50(a)(f),5.50,03/2024,919.0,934.0,0.0,826.0,
116,Buildings and Real Estate,"Jensen Hughes, Inc.",Senior loan,L + 4.50(a)(f),5.50,03/2024,441.0,457.0,0.0,397.0,
117,Buildings and Real Estate,"Jensen Hughes, Inc.  +Senior loan",Senior loan,L + 4.50(a)(f),5.50,03/2024,281.0,285.0,0.0,253.0,
118,Buildings and Real Estate,"Jensen Hughes, Inc.",Senior loan,L + 4.50(a)(f),5.50,03/2024,219.0,219.0,0.0,197.0,
119,Buildings and Real Estate,"Jensen Hughes, Inc  .&",Senior loan,L + 4.50(a)(f),5.50,03/2024,117.0,117.0,0.0,106.0,
120,Buildings and Real Estate,MRI Software LLC  ~,One stop,L + 5.50(d),6.57,02/2026,14440.0,14300.0,0.7,13862.0,
121,Buildings and Real Estate,MRI Software LLC,One stop,L + 5.50(d),6.57,02/2026,136.0,133.0,0.0,125.0,
122,Buildings and Real Estate,MRI Software LLC  (5),One stop,L + 5.50,N/A  (6),02/2026,0.0,,0.0,,
123,Buildings and Real Estate,"Paradigm DKD Group, LLC  +(7)",Senior loan,L + 6.25(c),7.70,05/2022,3243.0,2118.0,0.1,1692.0,
124,Buildings and Real Estate,"Paradigm DKD Group, LLC  (5)(7)",Senior loan,L + 6.25(c),7.70,05/2022,1.0,,0.0,2.0,
125,"Chemicals, Plastics and Rubber","Chemicals, Plastics and Rubber",Senior loan,,,,,,,,
126,"Chemicals, Plastics and Rubber","Flexan, LLC  &",One stop,L + 5.25(c),6.70,02/2021,8495.0,8478.0,0.4,8070.0,
127,"Chemicals, Plastics and Rubber - (continued)","Chemicals, Plastics and Rubber - (continued)",One stop,,,,,,,,
128,"Chemicals, Plastics and Rubber - (continued)","Flexan, LLC  *#",One stop,L + 5.25(c),6.70,02/2021,3290.0,3283.0,0.2,3125.0,
129,"Chemicals, Plastics and Rubber - (continued)","Flexan, LLC  &",One stop,L + 5.25(c),6.70,02/2021,2359.0,2355.0,0.1,2242.0,
130,"Chemicals, Plastics and Rubber - (continued)","Flexan, LLC  ^#",One stop,L + 5.25(c),6.70,02/2021,1547.0,1544.0,0.1,1471.0,
131,"Chemicals, Plastics and Rubber - (continued)","Flexan, LLC",One stop,L + 5.25(c),6.70,02/2021,1052.0,1051.0,0.0,998.0,
132,"Chemicals, Plastics and Rubber - (continued)",Inhance Technologies Holdings LLC  #,One stop,L + 5.50(c),7.41,07/2024,12766.0,12901.0,0.6,11597.0,
133,"Chemicals, Plastics and Rubber - (continued)",Inhance Technologies Holdings LLC,One stop,L + 5.50(c),7.15,07/2024,1937.0,1968.0,0.1,1760.0,
134,"Chemicals, Plastics and Rubber - (continued)",Inhance Technologies Holdings LLC,One stop,L + 5.50(a)(c)(f),7.32,07/2024,160.0,160.0,0.0,140.0,
135,"Containers, Packaging and Glass","Containers, Packaging and Glass",One stop,,,,,,,,
136,"Containers, Packaging and Glass",AmerCareRoyal LLC  +(8)(9),Senior loan,L + 5.00(c)(f),6.81,11/2025,847.0,839.0,0.1,762.0,
137,"Containers, Packaging and Glass",AmerCareRoyal LLC  +(8)(9),Senior loan,P + 4.00(f),8.75,11/2025,153.0,152.0,0.0,138.0,
138,"Containers, Packaging and Glass",Fortis Solutions Group LLC  +Senior loan,Senior loan,L + 4.50(a),5.50,12/2023,1594.0,1579.0,0.1,1499.0,
139,"Containers, Packaging and Glass",Fortis Solutions Group LLC  +Senior loan,Senior loan,L + 4.50(a),5.50,12/2023,636.0,630.0,0.0,598.0,
140,"Containers, Packaging and Glass",Fortis Solutions Group LLC  +Senior loan,Senior loan,L + 4.50(a),5.50,12/2023,610.0,604.0,0.0,574.0,
141,"Containers, Packaging and Glass",Fortis Solutions Group LLC,Senior loan,L + 4.50(a),5.50,12/2023,41.0,40.0,0.0,38.0,
142,Diversified/Conglomerate Manufacturing,Diversified/Conglomerate Manufacturing,Senior loan,,,,,,,,
143,Diversified/Conglomerate Manufacturing,"Blackbird Purchaser, Inc.  +~",Senior loan,L + 4.50(c)(f),5.95,04/2026,15603.0,15898.0,0.7,13731.0,
144,Diversified/Conglomerate Manufacturing,"Blackbird Purchaser, Inc.",Senior loan,L + 4.50(c),5.95,04/2024,116.0,114.0,0.0,88.0,
145,Diversified/Conglomerate Manufacturing,"Blackbird Purchaser, Inc.",Senior loan,L + 4.50,N/A  (6),04/2026,0.0,22.0,0.0,0.0,
146,Diversified/Conglomerate Manufacturing,"Chase Industries, Inc.  +~",Senior loan,L + 5.50(a),5.45 cash/1.50 PIK,05/2025,12059.0,12193.0,0.5,10612.0,
147,Diversified/Conglomerate Manufacturing,"Chase Industries, Inc.",Senior loan,L + 5.50(a),5.45 cash/1.50 PIK,05/2025,985.0,1024.0,0.0,868.0,
148,Diversified/Conglomerate Manufacturing,"Chase Industries, Inc.",Senior loan,L + 5.50(a),5.45 cash/1.50 PIK,05/2023,354.0,358.0,0.0,310.0,
149,Diversified/Conglomerate Manufacturing,"Inventus Power, Inc.  ^*+One stop",Senior loan,L + 6.50(a),N/A  (6),04/2021,14449.0,13830.0,0.7,13726.0,
150,Diversified/Conglomerate Manufacturing,"Inventus Power, Inc.  (5)",One stop,L + 6.50,N/A  (6),04/2021,0.0,,0.0,,
151,Diversified/Conglomerate Manufacturing,Madison Safety & Flow LLC  +Senior loan,One stop,L + 4.50(a),5.52,03/2025,505.0,504.0,0.0,485.0,
152,Diversified/Conglomerate Manufacturing,Madison Safety & Flow LLC,Senior loan,P + 3.50(a)(f),6.39,03/2025,6.0,6.0,0.0,6.0,
153,Diversified/Conglomerate Manufacturing,"Pasternack Enterprises, Inc. and Fairview Microwave, Inc  +~&",Senior loan,L + 4.00(a),4.99,07/2025,23758.0,24007.0,1.1,21382.0,
154,Diversified/Conglomerate Manufacturing,"Pasternack Enterprises, Inc. and Fairview Microwave, Inc",Senior loan,L + 4.00(c),4.82,07/2023,36.0,36.0,0.0,28.0,
155,Diversified/Conglomerate Manufacturing,"PetroChoice Holdings, Inc  .^#",Senior loan,L + 5.00(c),6.78,08/2022,3292.0,3301.0,0.1,2963.0,
156,Diversified/Conglomerate Manufacturing,"Protective Industrial Products, Inc.  +Senior loan",Senior loan,L + 4.50(a),6.10,01/2024,998.0,988.0,0.0,928.0,
157,Diversified/Conglomerate Manufacturing,"Reladyne, Inc.  ^*#&",Senior loan,L + 5.00(c),6.91,07/2022,33034.0,33313.0,1.6,31051.0,
158,Diversified/Conglomerate Manufacturing,"Reladyne, Inc.  ~",Senior loan,L + 5.00(c),6.91,07/2022,3500.0,3575.0,0.2,3289.0,
159,Diversified/Conglomerate Manufacturing,"Reladyne, Inc.  ^#",Senior loan,L + 5.00(c),6.91,07/2022,1896.0,1936.0,0.1,1781.0,
160,Diversified/Conglomerate Manufacturing,"Reladyne, Inc.",Senior loan,L + 5.00(c),6.91,07/2022,1728.0,1788.0,0.1,1624.0,
161,Diversified/Conglomerate Manufacturing,"Reladyne, Inc.  #~",Senior loan,L + 5.00(c),6.91,07/2022,1633.0,1669.0,0.1,1536.0,
162,Diversified/Conglomerate Manufacturing,"Reladyne, Inc.  #",Senior loan,L + 5.00(c),6.91,07/2022,1553.0,1606.0,0.1,1460.0,
163,Diversified/Conglomerate Manufacturing,"Reladyne, Inc.  #~",Senior loan,L + 5.00(c),6.91,07/2022,745.0,761.0,0.0,700.0,
164,Diversified/Conglomerate Manufacturing,"Togetherwork Holdings, LLC  *#",One stop,L + 6.25(a),7.25,03/2025,15644.0,15802.0,0.7,13297.0,
165,Diversified/Conglomerate Manufacturing,"Togetherwork Holdings, LLC  +~",One stop,L + 6.25(a),7.25,03/2025,1812.0,1881.0,0.1,1540.0,
166,Diversified/Conglomerate Manufacturing,"Togetherwork Holdings, LLC",One stop,L + 6.25(a),7.25,03/2025,1759.0,1823.0,0.1,1495.0,
167,Diversified/Conglomerate Manufacturing,"Togetherwork Holdings, LLC  *#",One stop,L + 6.25(a),7.25,03/2025,1715.0,1779.0,0.1,1458.0,
168,Diversified/Conglomerate Manufacturing,"Togetherwork Holdings, LLC  +~",One stop,L + 6.25(a),7.25,03/2025,1656.0,1692.0,0.1,1408.0,
169,Diversified/Conglomerate Manufacturing,Diversified/Conglomerate Manufacturing,One stop,,,,,,,,
170,Diversified/Conglomerate Manufacturing,"Togetherwork Holdings, LLC  *+One stop",One stop,L + 6.25(a),7.25,03/2025,1596.0,1657.0,0.1,1357.0,
171,Diversified/Conglomerate Manufacturing,"Togetherwork Holdings, LLC",One stop,L + 6.25(a),7.25,03/2025,1488.0,1542.0,0.1,1265.0,
172,Diversified/Conglomerate Manufacturing,"Togetherwork Holdings, LLC  *#",One stop,L + 6.25(a),7.25,03/2025,1219.0,1239.0,0.1,1037.0,
173,Diversified/Conglomerate Manufacturing,"Togetherwork Holdings, LLC",One stop,L + 6.25(a),7.25,03/2025,672.0,696.0,0.0,571.0,
174,Diversified/Conglomerate Manufacturing,"Togetherwork Holdings, LLC  +One stop",One stop,L + 6.25(a),7.25,03/2025,449.0,445.0,0.0,382.0,
175,Diversified/Conglomerate Manufacturing,"Togetherwork Holdings, LLC",One stop,L + 6.25(a),7.25,03/2024,300.0,298.0,0.0,256.0,
176,Diversified/Conglomerate Manufacturing,"Togetherwork Holdings, LLC",One stop,L + 6.25(a),7.25,03/2025,65.0,67.0,0.0,55.0,
177,Diversified/Conglomerate Manufacturing,"Togetherwork Holdings, LLC  ~",One stop,L + 6.25(a),7.25,03/2025,59.0,62.0,0.0,50.0,
178,Diversified/Conglomerate Service,Diversified/Conglomerate Service,One stop,,,,,,,,
179,Diversified/Conglomerate Service,"3ES Innovation, Inc.  +~(8)(12)",One stop,L + 5.75(c),7.48,05/2025,13830.0,14101.0,0.7,13138.0,
180,Diversified/Conglomerate Service,"3ES Innovation, Inc.  (5)(8)(12)",One stop,L + 5.75,N/A  (6),05/2025,0.0,,0.0,,
181,Diversified/Conglomerate Service,"Accela, Inc  .*#",One stop,L + 3.25(a),4.25 cash/1.65 PIK,09/2023,4442.0,4442.0,0.2,4309.0,
182,Diversified/Conglomerate Service,"Accela, Inc.  (5)",One stop,L + 7.00,N/A  (6),09/2023,0.0,0.0,0.0,,
183,Diversified/Conglomerate Service,"Acquia, Inc.  !~",One stop,L + 7.00(c),8.58,10/2025,7118.0,7052.0,0.4,6975.0,
184,Diversified/Conglomerate Service,"Acquia, Inc.  (5)",One stop,L + 7.00,N/A  (6),10/2025,0.0,,0.0,,
185,Diversified/Conglomerate Service,Agility Recovery Solutions Inc.  ^*#,One stop,L + 6.00(c)(f),7.23,03/2023,22591.0,22737.0,1.1,21686.0,
186,Diversified/Conglomerate Service,Agility Recovery Solutions Inc.  (5),One stop,L + 6.00,N/A  (6),03/2023,0.0,,0.0,0.0,
187,Diversified/Conglomerate Service,"Apptio, Inc.  !~",One stop,L + 7.25(a),8.25,01/2025,57009.0,57804.0,2.9,57009.0,
188,Diversified/Conglomerate Service,"Apptio, Inc.  (5)",One stop,L + 7.25,N/A  (6),01/2025,0.0,,0.0,0.0,
