,0,1,2,3,4,5,6,7,8,9
91,Containers & Packaging,Containers & Packaging,Senior loan,,,,,,,
92,Containers & Packaging,AmerCareRoyal LLC+Senior loan,Senior loan,L + 5.00(a),6.00,11/2025,822,815,0.1,806
93,Containers & Packaging,AmerCareRoyal LLC+(8),Senior loan,L + 5.00(a),6.00,11/2025,152,151,0,149
94,Containers & Packaging,Fortis Solutions Group LLC+Senior loan,Senior loan,L + 5.00(a),6.00,12/2023,1586,1573,0.1,1586
95,Containers & Packaging,Fortis Solutions Group LLC+Senior loan,Senior loan,L + 5.00(a),6.00,12/2023,632,626,0,632
96,Containers & Packaging,Fortis Solutions Group LLC+Senior loan,Senior loan,L + 5.00(a),6.00,12/2023,607,602,0,607
97,Containers & Packaging,Fortis Solutions Group LLC,Senior loan,L + 5.00,N/A(6),12/2023,0,0,0,0
98,Containers & Packaging,"Plano Molding Company, LLC+One stop",Senior loan,L + 9.00(c),8.50 cash/1.50 PIK,05/2022,14634,14585,0.5,11707
99,Containers & Packaging,"Plano Molding Company, LLC",One stop,L + 9.00(c),8.50 cash/1.50 PIK,05/2022,1182,1171,0,1182
100,Distributors,Distributors,One stop,,,,,,,
101,Distributors,"PetroChoice Holdings, Inc.#^",Senior loan,L + 5.00(c),6.00,08/2022,3276,3282,0.1,3046
102,Diversified Consumer Services,Diversified Consumer Services,Senior loan,,,,,,,
103,Diversified Consumer Services,EWC Growth Partners LLC,One stop,L + 5.50(c),6.50,03/2026,914,897,0.1,795
104,Diversified Consumer Services,EWC Growth Partners LLC,One stop,L + 5.50(c),6.50,03/2026,30,29,0,26
105,Diversified Consumer Services,EWC Growth Partners LLC,One stop,L + 5.50(c),6.50,03/2026,18,18,0,15
106,Diversified Consumer Services,Excelligence Learning Corporation#,One stop,L + 7.00(c),8.00,04/2023,10347,10088,0.3,7760
107,Diversified Consumer Services,"Learn-it Systems, LLC!",Senior loan,L + 5.00(c),5.00 cash/0.50 PIK,03/2025,2545,2594,0.1,2494
108,Diversified Consumer Services,"Learn-it Systems, LLC",Senior loan,L + 5.00(c),5.00 cash/0.50 PIK,03/2025,345,344,0,338
109,Diversified Consumer Services - (continued),Diversified Consumer Services - (continued),Senior loan,,,,,,,
110,Diversified Consumer Services - (continued),"Learn-it Systems, LLC",Senior loan,L + 5.00(c),N/A(6),03/2025,0,0,0,0.0
111,Diversified Consumer Services - (continued),Litera Bidco LLC+^,One stop,L + 5.25(a),6.25,05/2026,3749,3771,0.2,3749
112,Diversified Consumer Services - (continued),Litera Bidco LLC,One stop,L + 5.25(a),6.25,05/2026,702,728,0,702
113,Diversified Consumer Services - (continued),Litera Bidco LLC,One stop,L + 5.25(a),6.25,05/2026,702,728,0,702
114,Diversified Consumer Services - (continued),Litera Bidco LLC,One stop,L + 5.25(a),6.25,05/2025,16,15,0,16
115,Diversified Consumer Services - (continued),"PADI Holdco, Inc.*#",One stop,L + 5.75(c),6.75,04/2024,21763,21958,0.8,18498
116,Diversified Consumer Services - (continued),"PADI Holdco, Inc.+~(8)(9)",One stop,E + 5.75(g),5.75,04/2024,20675,20964,0.7,17608
117,Diversified Consumer Services - (continued),"PADI Holdco, Inc.~",One stop,L + 5.75(c),6.75,04/2024,801,795,0,681
118,Diversified Consumer Services - (continued),"PADI Holdco, Inc.",One stop,L + 5.75(c),6.75,04/2023,298,298,0,254
119,Diversified Consumer Services - (continued),"PADI Holdco, Inc.",One stop,L + 5.75(c),6.75,04/2024,166,164,0,141
120,Diversified Financial Services,Diversified Financial Services,One stop,,,,,,,
121,Diversified Financial Services,Institutional Shareholder Services*!,Senior loan,L + 4.50(c),4.72,03/2026,18775,19161,0.8,18775
122,Diversified Financial Services,Institutional Shareholder Services,Senior loan,L + 4.50(c),4.72,03/2024,150,147,0,150
123,Diversified Financial Services,Sovos Compliance*+^,One stop,L + 4.75(a),5.75,04/2024,19614,20156,0.8,19221
124,Diversified Financial Services,Sovos Compliance!,Second lien,No Value,12.00 PIK,04/2025,8947,9187,0.4,8947
125,Diversified Financial Services,Sovos Compliance,One stop,L + 4.75(a),5.75,04/2024,4322,4236,0.2,4235
126,Diversified Financial Services,Sovos Compliance*#,One stop,L + 4.75(a),5.75,04/2024,1903,1956,0.1,1864
127,Diversified Financial Services,Sovos Compliance,Second lien,No Value,12.00 PIK,04/2025,1222,1261,0,1222
128,Diversified Financial Services,Sovos Compliance*#,One stop,L + 4.75(a),5.75,04/2024,768,789,0,752
129,Diversified Financial Services,Sovos Compliance,One stop,L + 4.75(a),5.75,04/2024,85,83,0,83
130,Diversified Financial Services,Sovos Compliance(5),One stop,L + 4.75,N/A(6),04/2024,0,(1),0,(4)
131,Diversified Financial Services,Sovos Compliance(5),One stop,L + 4.75,N/A(6),04/2024,0,(22),0,(22)
132,Electric Utilities,Electric Utilities,One stop,,,,,,,
133,Electric Utilities,"Arcos, LLC#^",One stop,L + 5.00(c),6.00,02/2021,13228,13311,0.6,13228.0
134,Electric Utilities,"Arcos, LLC",One stop,L + 5.00,N/A(6),02/2021,0,0,0,0
135,"Electronic Equipment, Instruments & Components","Electronic Equipment, Instruments & Components",One stop,,,,,,,
136,"Electronic Equipment, Instruments & Components",CST Buyer Company+~,One stop,L + 5.25(a),6.25,10/2025,10189,10106,0.4,10189
137,"Electronic Equipment, Instruments & Components",CST Buyer Company,One stop,L + 5.25,N/A(6),10/2025,0,0,0,0
138,"Electronic Equipment, Instruments & Components",ES Acquisition LLC,Senior loan,L + 5.00(c),6.00,11/2025,662,650,0,660
139,"Electronic Equipment, Instruments & Components","ES Acquisition, LLC",Senior loan,L + 5.50(c),6.50,11/2025,89,87,0,91
140,"Electronic Equipment, Instruments & Components","ES Acquisition, LLC",Senior loan,L + 5.00(d),6.22,11/2025,47,46,0,47
141,"Electronic Equipment, Instruments & Components",ES Acquisition LLC,Senior loan,L + 5.00(c),6.00,11/2025,45,44,0,45
142,"Electronic Equipment, Instruments & Components",ES Acquisition LLC,Second lien,L + 5.00(c),6.00,11/2025,36,36,0,36
143,"Electronic Equipment, Instruments & Components",ES Acquisition LLC(5),Senior loan,L + 5.00,N/A(6),11/2025,0,(1),0,0
144,"Electronic Equipment, Instruments & Components","Inventus Power, Inc.*+One stop",Senior loan,L + 5.50(a),6.50,04/2021,14352,13988,0.6,14352
145,"Electronic Equipment, Instruments & Components","Inventus Power, Inc.(5)",One stop,L + 5.50,N/A(6),04/2021,0,(16),0,0
146,"Electronic Equipment, Instruments & Components","Pasternack Enterprises, Inc. and Fairview Microwave, Inc+~",Senior loan,L + 4.00(a),4.15,07/2025,23638,23862,1.0,23165
147,"Electronic Equipment, Instruments & Components","Pasternack Enterprises, Inc. and Fairview Microwave, Inc(5)",Senior loan,L + 4.00,N/A(6),07/2023,0,0,0,(2)
148,"Electronic Equipment, Instruments & Components","Watchfire Enterprises, Inc.",Second lien,L + 8.00(a),9.00,10/2021,9435,9402,0.4,9435
149,Food & Staples Retailing,Food & Staples Retailing,Second lien,,,,,,,
150,Food & Staples Retailing,"Cafe Rio Holding, Inc.#",One stop,L + 5.50(c),6.50,09/2023,18610,18806,0.8,18237.0
151,Food & Staples Retailing,"Cafe Rio Holding, Inc.",One stop,L + 5.50(c),6.50,09/2023,2420,2419,0.1,2354
152,Food & Staples Retailing,"Cafe Rio Holding, Inc.#",One stop,L + 5.50(c),6.50,09/2023,2248,2320,0.1,2203
153,Food & Staples Retailing,"Cafe Rio Holding, Inc.*#",One stop,L + 5.50(c),6.50,09/2023,1427,1472,0.1,1399
154,Food & Staples Retailing,"Cafe Rio Holding, Inc.#",One stop,L + 5.50(c),6.50,09/2023,1260,1300,0.1,1235
155,Food & Staples Retailing,"Cafe Rio Holding, Inc.",One stop,L + 5.50(c),6.50,09/2023,181,181,0,178
156,Food & Staples Retailing,"Cafe Rio Holding, Inc.(5)",One stop,L + 5.50,N/A(6),09/2023,0,0,0,(6)
157,Food & Staples Retailing,"Captain D's, LLC#",Senior loan,L + 4.50(c),5.50,12/2023,13962,14006,0.6,13962
158,Food & Staples Retailing,"Captain D's, LLC",Senior loan,L + 4.50(c),5.50,12/2023,120,121,0,120
159,Food & Staples Retailing,"Feeders Supply Company, LLC#",One stop,L + 5.75(a),6.75,04/2021,8564,8619,0.4,8564
160,Food & Staples Retailing,"Feeders Supply Company, LLC",Subordinated debt,No Value,12.50 cash/7.00 PIK,04/2021,153,154,0,153
161,Food & Staples Retailing,"Feeders Supply Company, LLC",One stop,L + 5.75,N/A(6),04/2021,0,0,0,0
162,Food & Staples Retailing,FWR Holding Corporation#,One stop,L + 7.00(c),6.50 cash/1.50 PIK,08/2023,10385,10368,0.4,9867
163,Food & Staples Retailing,FWR Holding Corporation#,One stop,L + 7.00(c),6.50 cash/1.50 PIK,08/2023,1816,1874,0.1,1726
164,Food & Staples Retailing,FWR Holding Corporation#,One stop,L + 7.00(c),6.50 cash/1.50 PIK,08/2023,1148,1185,0.1,1091
165,Food & Staples Retailing,FWR Holding Corporation#,One stop,L + 7.00(c),6.50 cash/1.50 PIK,08/2023,364,373,0,346
166,Food & Staples Retailing,FWR Holding Corporation,One stop,L + 7.00(c),6.50 cash/1.50 PIK,08/2023,274,273,0,260
167,Food & Staples Retailing,FWR Holding Corporation#,One stop,L + 7.00(c),6.50 cash/1.50 PIK,08/2023,272,279,0,259
168,Food & Staples Retailing,FWR Holding Corporation,One stop,L + 7.00(c)(d),6.50 cash/1.50 PIK,08/2023,131,130,0,125
169,Food & Staples Retailing,FWR Holding Corporation(5),One stop,L + 5.50,N/A(6),08/2023,0,0,0,(6)
170,Food & Staples Retailing,FWR Holding Corporation,One stop,L + 5.50,N/A(6),08/2023,0,0,0,0
171,Food & Staples Retailing,"Mendocino Farms, LLC",One stop,L + 8.50(a),2.00 cash/7.50 PIK,06/2023,820,843,0,820
172,Food & Staples Retailing,"Mendocino Farms, LLC",One stop,L + 8.50(a),2.00 cash/7.50 PIK,06/2023,645,663,0,645
173,Food & Staples Retailing,"Mendocino Farms, LLC",One stop,L + 8.50(a),2.00 cash/7.50 PIK,06/2023,633,630,0,633
174,Food & Staples Retailing,"Mendocino Farms, LLC",One stop,L + 8.50(a),2.00 cash/7.50 PIK,06/2023,311,310,0,311
175,Food & Staples Retailing,"Mendocino Farms, LLC",One stop,L + 8.50(a),2.00 cash/7.50 PIK,06/2023,311,309,0,311
176,Food & Staples Retailing,"Mendocino Farms, LLC",One stop,L + 8.50(a),2.00 cash/7.50 PIK,06/2023,153,153,0,153
177,Food & Staples Retailing,"Mendocino Farms, LLC",One stop,L + 8.50(a),2.00 cash/7.50 PIK,06/2023,93,93,0,93
178,Food & Staples Retailing,"Mendocino Farms, LLC(5)",One stop,L + 8.50,N/A(6),06/2023,0,(2),0,0
179,Food & Staples Retailing,"NBC Intermediate, LLC",Senior loan,L + 4.25(c),5.25,09/2023,4589,4579,0.2,4589
180,Food & Staples Retailing,"NBC Intermediate, LLC*#",Senior loan,L + 4.25(c),5.25,09/2023,2309,2337,0.1,2309
181,Food & Staples Retailing,"NBC Intermediate, LLC#",Senior loan,L + 4.25(a)(c),5.25,09/2023,1963,2019,0.1,1963
182,Food & Staples Retailing,"NBC Intermediate, LLC#",Senior loan,L + 4.25(a),5.25,09/2023,667,662,0,667
183,Food & Staples Retailing,"NBC Intermediate, LLC",Senior loan,L + 4.25,N/A(6),09/2023,0,0,0,0
184,Food & Staples Retailing,"Rubio's Restaurants, Inc.(7)",Senior loan,L + 11.50(c),8.75 cash/4.00 PIK,04/2021,17898,17678,0.4,10004
185,Food & Staples Retailing,"Rubio's Restaurants, Inc.(5)(7)",Senior loan,L + 11.50(a)(c),8.75 cash/4.00 PIK,04/2021,71,68,0,(5)
186,Food & Staples Retailing,"Ruby Slipper Cafe LLC, The*",One stop,L + 8.50(c),8.50 cash/1.00 PIK,01/2023,2046,2039,0.1,1801
187,Food & Staples Retailing,"Ruby Slipper Cafe LLC, The",One stop,L + 8.50(c),8.50 cash/1.00 PIK,01/2023,414,427,0,365
188,Food & Staples Retailing,"Ruby Slipper Cafe LLC, The",One stop,L + 8.50(c),8.50 cash/1.00 PIK,01/2023,30,30,0,27
189,Food & Staples Retailing,"Wetzel's Pretzels, LLC*#",One stop,L + 7.25(c),7.75 cash/0.50 PIK,09/2021,16955,17094,0.7,16107
190,Food & Staples Retailing,"Wetzel's Pretzels, LLC",One stop,L + 7.25(c),7.75 cash/0.50 PIK,09/2021,100,101,0,96
191,Food & Staples Retailing,Wood Fired Holding Corp.*#,One stop,L + 7.75(c),6.75 cash/2.00 PIK,12/2023,14103,14310,0.5,12970
192,Food & Staples Retailing,Wood Fired Holding Corp.,One stop,L + 7.75(c),6.75 cash/2.00 PIK,12/2023,698,698,0,642
193,Food & Staples Retailing,Wood Fired Holding Corp.,One stop,L + 7.75(c),6.75 cash/2.00 PIK,12/2023,200,199,0,184
194,Food Products,Food Products,One stop,,,,,,,
195,Food Products,"Flavor Producers, LLC#~",Senior loan,L + 5.75(c),5.75 cash/1.00 PIK,12/2023,5006,4898,0.2,4605.0
196,Food Products,"Flavor Producers, LLC(5)",Senior loan,L + 5.75(c),5.75 cash/1.00 PIK,12/2022,4,(1),0,0
197,Food Products,Global ID Corporation*#+^,One stop,L + 6.50(c),6.72,11/2025,19197,18995,0.8,18910
198,Food Products,Global ID Corporation(5),One stop,L + 6.50,N/A(6),11/2025,0,(2),0,(1)
199,Food Products,Global ID Corporation(5),One stop,L + 6.50,N/A(6),11/2025,0,(4),0,(5)
200,Food Products,"Mid-America Pet Food, L.L.C.*#^",One stop,L + 5.50(b),6.50,12/2021,22120,22385,0.9,22120
201,Food Products,"Mid-America Pet Food, L.L.C.",One stop,L + 5.50,N/A(6),12/2021,0,0,0,0
202,Food Products,"Purfoods, LLC",One stop,No Value,7.00 PIK,05/2026,76,80,0,76
203,Food Products,"Teasdale Quality Foods, Inc.",Senior loan,L + 5.25(a),6.25,04/2021,3798,3769,0.2,3722
204,Food Products,"Teasdale Quality Foods, Inc.",Senior loan,L + 5.25(a),6.25,04/2021,3071,3048,0.1,3010
205,Food Products,"Teasdale Quality Foods, Inc.",Senior loan,L + 5.25(a),6.25,04/2021,494,491,0,485
206,Food Products,"Teasdale Quality Foods, Inc.",Senior loan,L + 5.25(a),6.25,04/2021,370,366,0,362
207,Food Products,"Teasdale Quality Foods, Inc.+Senior loan",Senior loan,L + 5.25(a),6.25,04/2021,251,251,0,246
208,Food Products,"Teasdale Quality Foods, Inc.",Senior loan,L + 5.25(a),6.25,04/2021,184,182,0,180
209,Health Care Technology,Health Care Technology,Senior loan,,,,,,,
210,Health Care Technology,"Caliper Software, Inc.#!~^",One stop,L + 5.50(c),5.72,11/2025,27934,28374,1.1,26785.0
211,Health Care Technology,"Caliper Software, Inc.",One stop,L + 6.00(c),6.23,11/2025,1503,1473,0.1,1474
212,Health Care Technology,"Caliper Software, Inc.(5)",One stop,L + 5.50,N/A(6),11/2023,0,1,0,(10)
213,Health Care Technology,"Connexin Software, Inc.!~",One stop,L + 8.50(a),9.50,02/2024,7550,7617,0.3,7550
214,Health Care Technology,"Connexin Software, Inc.",One stop,L + 8.50,N/A(6),02/2024,0,0,0,0
215,Health Care Technology,"HealthcareSource HR, Inc.*#",One stop,L + 6.25(c),7.25,05/2023,33662,33692,1.4,33662
216,Health Care Technology,"HealthcareSource HR, Inc.(5)",One stop,L + 6.25,N/A(6),05/2023,0,(1),0,0
217,Health Care Technology,"HealthEdge Software, Inc.",One stop,L + 6.25(a),7.25,04/2026,2000,1959,0.1,2000
218,Health Care Technology,"HealthEdge Software, Inc.",One stop,L + 6.25(a),7.25,04/2026,151,148,0,151
219,Health Care Technology,"HealthEdge Software, Inc.(5)",One stop,L + 6.25,N/A(6),04/2026,0,(1),0,0
220,Health Care Technology,"HSI Halo Acquisition, Inc.+~",One stop,L + 5.75(c),6.75,08/2026,6330,6289,0.3,6266
221,Health Care Technology,"HSI Halo Acquisition, Inc.",One stop,L + 5.75(c),6.75,08/2026,648,642,0,641
222,Health Care Technology,"HSI Halo Acquisition, Inc.",One stop,P + 4.75(f),8.00,09/2025,35,34,0,35
223,Health Care Technology,"Imprivata, Inc.*#^",Senior loan,L + 4.00(c),5.00,10/2023,9163,9345,0.4,9163
224,Health Care Technology,"Imprivata, Inc.(5)",Senior loan,L + 4.00,N/A(6),10/2023,0,(1),0,0
225,Health Care Technology,"Kareo, Inc.",One stop,L + 9.00(a),10.00,06/2022,10273,10387,0.4,10360
226,Health Care Technology,"Kareo, Inc.!",One stop,L + 9.00(a),10.00,06/2022,941,955,0,949
227,Health Care Technology,"Kareo, Inc.",One stop,L + 9.00(a),10.00,06/2022,753,765,0,759
228,Health Care Technology,"Kareo, Inc.",One stop,P + 8.00(f),11.25,06/2022,80,80,0,80
229,Health Care Technology,"Netsmart Technologies, Inc.(5)",Senior loan,L + 4.75,N/A(6),04/2021,0,(1),0,(2)
230,Health Care Technology,"Nextech Holdings, LLC^",One stop,L + 5.50(c),5.76,06/2025,4012,4078,0.2,3851
231,Health Care Technology,"Nextech Holdings, LLC",One stop,L + 5.50(c),5.76,06/2025,1957,1941,0.1,1878
232,Health Care Technology,"Nextech Holdings, LLC",One stop,L + 5.50(c),5.76,06/2025,500,497,0,476
233,Health Care Technology,"Nextech Holdings, LLC(5)",One stop,L + 5.50,N/A(6),06/2025,0,(3),0,(16)
234,Health Care Technology,"Qgenda Intermediate Holdings, LLC^",One stop,L + 4.75(c),5.75,06/2025,15277,15296,0.6,15277
