,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
22,T5 Merger Corporation  *,One stop,,L + 6.50,(a),,7.86,,03/2022,,190,,,188,,,-,,,190,,,,,,,,,,,,,,,,,,,,,
23,T5 Merger Corporation  *,One stop,,L + 6.50,(a),,7.86,,03/2022,,60,,,59,,,-,,,60,,,,,,,,,,,,,,,,,,,,,
24,T5 Merger Corporation,One stop,,L + 6.50,(a),,7.99,,03/2022,,48,,,46,,,-,,,48,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,14086,,,13934,,,1.5,,,14034,,,,,,,,,,,,,,,,,,,,,
26,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,HedgeServ Holding L.P.  *#,One stop,,L + 8.00,(a),,7.50 cash/2.00 PIK,,02/2019,,17270,,,17242,,,1.8,,,17270,,,,,,,,,,,,,,,,,,,,,
28,HedgeServ Holding L.P.  (5),One stop,,L + 8.00,,,N/A  (6),,02/2019,,-,,,(2,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,17270,,,17240,,,1.8,,,17270,,,,,,,,,,,,,,,,,,,,,
30,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Abita Brewing Co., L.L.C.",One stop,,L + 5.75,(a),,7.32,,04/2021,,7645,,,7546,,,0.8,,,7645,,,,,,,,,,,,,,,,,,,,,
32,"Abita Brewing Co., L.L.C.  (5)",One stop,,L + 5.75,,,N/A  (6),,04/2021,,-,,,(1,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
33,ABP Corporation  (5),Senior loan,,L + 4.75,,,N/A  (6),,12/2018,,-,,,(1,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
34,"Benihana, Inc.  *^",One stop,,L + 7.00,(c)(e),,8.59,,01/2019,,16058,,,15935,,,1.7,,,16058,,,,,,,,,,,,,,,,,,,,,
35,"Benihana, Inc.",One stop,,L + 7.00,(a)(c)(e),,9.25,,07/2018,,1726,,,1717,,,0.2,,,1726,,,,,,,,,,,,,,,,,,,,,
36,"C. J. Foods, Inc.  *^",One stop,,L + 6.25,(a),,7.82,,05/2019,,5191,,,5157,,,0.5,,,5191,,,,,,,,,,,,,,,,,,,,,
37,"C. J. Foods, Inc.",One stop,,L + 6.25,(a),,7.82,,05/2019,,654,,,650,,,0.1,,,654,,,,,,,,,,,,,,,,,,,,,
38,"C. J. Foods, Inc.",One stop,,L + 6.25,(a),,7.82,,05/2019,,129,,,126,,,-,,,129,,,,,,,,,,,,,,,,,,,,,
39,"Cafe Rio Holding, Inc.  *^",One stop,,L + 5.75,(c),,7.44,,09/2023,,10449,,,10276,,,1.1,,,10449,,,,,,,,,,,,,,,,,,,,,
40,"Cafe Rio Holding, Inc.",One stop,,P + 4.75,(e),,9.25,,09/2023,,30,,,28,,,-,,,30,,,,,,,,,,,,,,,,,,,,,
41,"Cafe Rio Holding, Inc.  (5)",One stop,,L + 5.75,,,N/A  (6),,09/2023,,-,,,(5,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
42,"Firebirds International, LLC  *",One stop,,L + 5.75,(c),,7.42,,05/2018,,1057,,,1054,,,0.1,,,1057,,,,,,,,,,,,,,,,,,,,,
43,"Firebirds International, LLC  *",One stop,,L + 5.75,(c),,7.42,,05/2018,,298,,,297,,,-,,,298,,,,,,,,,,,,,,,,,,,,,
44,"Firebirds International, LLC  ^",One stop,,L + 5.75,(c),,7.42,,12/2018,,96,,,95,,,-,,,96,,,,,,,,,,,,,,,,,,,,,
45,"Firebirds International, LLC",One stop,,L + 5.75,,,N/A  (6),,05/2018,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
46,"Firebirds International, LLC",One stop,,L + 5.75,,,N/A  (6),,12/2018,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
47,"Flavor Producers, LLC  #",Senior loan,,L + 4.75,(c),,6.32,,12/2023,,2172,,,2139,,,0.2,,,2139,,,,,,,,,,,,,,,,,,,,,
48,"Flavor Producers, LLC  (5)",Senior loan,,L + 4.75,,,N/A  (6),,12/2022,,-,,,(1,,,-,,,(1,,,,,,,,,,,,,,,,,,,,,
49,FWR Holding Corporation  ^,One stop,,L + 6.00,(d),,7.66,,08/2023,,5299,,,5224,,,0.6,,,5299,,,,,,,,,,,,,,,,,,,,,
50,FWR Holding Corporation,One stop,,L + 6.00,(c),,7.60,,08/2023,,27,,,24,,,-,,,27,,,,,,,,,,,,,,,,,,,,,
51,FWR Holding Corporation,One stop,,L + 6.00,(a),,7.57,,08/2023,,8,,,7,,,-,,,8,,,,,,,,,,,,,,,,,,,,,
52,"Global Franchise Group, LLC  *",Senior loan,,L + 5.75,(c),,7.44,,12/2019,,3522,,,3491,,,0.4,,,3522,,,,,,,,,,,,,,,,,,,,,
53,"Global Franchise Group, LLC",Senior loan,,L + 5.75,,,N/A  (6),,12/2019,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
54,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,
55,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Global ID Corporation  *#,One stop,,L + 6.50,(c),,8.11,,11/2021,,,5183,,,,5133,,,0.5,,,,5131,,,,,,,,,,,,,,,,,,
57,Global ID Corporation,One stop,,L + 6.50,,,N/A  (6),,11/2021,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
58,Global ID Corporation  (5),One stop,,L + 6.50,,,N/A  (6),,11/2021,,-,,,(2,,,-,,,(2,,,,,,,,,,,,,,,,,,,,,
59,"Hopdoddy Holdings, LLC",One stop,,L + 8.00,(c),,9.48,,08/2020,,651,,,644,,,0.1,,,651,,,,,,,,,,,,,,,,,,,,,
60,"Hopdoddy Holdings, LLC",One stop,,L + 8.00,(c),,9.48,,08/2020,,400,,,398,,,-,,,400,,,,,,,,,,,,,,,,,,,,,
61,"Hopdoddy Holdings, LLC",One stop,,L + 8.00,(c),,9.48,,08/2020,,3,,,2,,,0.1,,,3,,,,,,,,,,,,,,,,,,,,,
62,Julio & Sons Company,One stop,,L + 5.50,,,N/A  (6),,12/2018,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
63,"Mid-America Pet Food, L.L.C.  ^",One stop,,L + 5.50,(c),,7.19,,12/2021,,5626,,,5559,,,0.6,,,5626,,,,,,,,,,,,,,,,,,,,,
64,"Mid-America Pet Food, L.L.C.  (5)",One stop,,L + 5.50,,,N/A  (6),,12/2021,,-,,,(1,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
65,"NBC Intermediate, LLC  #",Senior loan,,L + 4.50,(a),,6.07,,09/2023,,2169,,,2148,,,0.2,,,2169,,,,,,,,,,,,,,,,,,,,,
66,"NBC Intermediate, LLC",Senior loan,,L + 4.50,,,N/A  (6),,09/2023,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
67,"Purfoods, LLC",One stop,,L + 6.25,(c),,7.73,,05/2021,,8539,,,8397,,,0.9,,,8539,,,,,,,,,,,,,,,,,,,,,
68,"Purfoods, LLC",One stop,,No Value,,,7.00 PIK,,05/2026,,109,,,109,,,-,,,113,,,,,,,,,,,,,,,,,,,,,
69,"Purfoods, LLC",One stop,,L + 6.25,(a),,7.73,,05/2021,,60,,,59,,,-,,,60,,,,,,,,,,,,,,,,,,,,,
70,"Purfoods, LLC",One stop,,L + 6.25,(c),,7.94,,05/2021,,24,,,24,,,-,,,24,,,,,,,,,,,,,,,,,,,,,
71,"Purfoods, LLC",One stop,,L + 6.25,(c),,7.94,,05/2021,,15,,,15,,,-,,,15,,,,,,,,,,,,,,,,,,,,,
72,"Purfoods, LLC",One stop,,L + 6.25,(c),,7.94,,05/2021,,15,,,15,,,-,,,15,,,,,,,,,,,,,,,,,,,,,
73,"Purfoods, LLC",One stop,,L + 6.25,(c),,7.94,,05/2021,,14,,,14,,,-,,,14,,,,,,,,,,,,,,,,,,,,,
74,"Purfoods, LLC",One stop,,L + 6.25,(c),,7.94,,05/2021,,11,,,11,,,-,,,11,,,,,,,,,,,,,,,,,,,,,
75,"Purfoods, LLC",One stop,,L + 6.25,(c),,7.94,,05/2021,,11,,,11,,,-,,,11,,,,,,,,,,,,,,,,,,,,,
76,"Purfoods, LLC",One stop,,L + 6.25,(c),,7.94,,05/2021,,10,,,10,,,-,,,10,,,,,,,,,,,,,,,,,,,,,
77,"Restaurant Holding Company, LLC  #",Senior loan,,L + 7.75,(a),,9.32,,02/2019,,4216,,,4204,,,0.4,,,4132,,,,,,,,,,,,,,,,,,,,,
78,"Rubio's Restaurants, Inc.  *^",Senior loan,,L + 4.75,(c),,6.44,,11/2018,,8805,,,8778,,,0.9,,,8805,,,,,,,,,,,,,,,,,,,,,
79,Smashburger Finance LLC,Senior loan,,L + 5.50,(c),,7.19,,05/2018,,78,,,78,,,-,,,74,,,,,,,,,,,,,,,,,,,,,
80,Smashburger Finance LLC,Senior loan,,L + 5.50,,,N/A  (6),,05/2018,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
81,Surfside Coffee Company LLC  #,One stop,,L + 5.25,(c),,6.94,,06/2020,,4413,,,4391,,,0.5,,,4413,,,,,,,,,,,,,,,,,,,,,
82,Surfside Coffee Company LLC,One stop,,L + 5.25,(c),,6.93,,06/2020,,334,,,332,,,-,,,334,,,,,,,,,,,,,,,,,,,,,
83,Surfside Coffee Company LLC,One stop,,L + 5.25,(c),,6.81,,06/2020,,30,,,30,,,-,,,30,,,,,,,,,,,,,,,,,,,,,
84,"Tate's Bake Shop, Inc.  ^",One stop,,L + 6.25,(c),,7.94,,08/2019,,4313,,,4256,,,0.4,,,4281,,,,,,,,,,,,,,,,,,,,,
85,Uinta Brewing Company  ^,One stop,,L + 8.50,(a),,10.07,,08/2019,,3734,,,3722,,,0.4,,,3734,,,,,,,,,,,,,,,,,,,,,
86,Uinta Brewing Company,One stop,,L + 8.50,(a),,10.07,,08/2019,,539,,,536,,,0.1,,,539,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,103663,,,102631,,,10.8,,,103459,,,,,,,,,,,,,,,,,,,,,
88,Broadcasting and Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"TouchTunes Interactive Networks, Inc.  ^",Senior loan,,L + 4.75,(a),,6.32,,05/2021,,1458,,,1454,,,0.2,,,1470,,,,,,,,,,,,,,,,,,,,,
90,Building and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Brooks Equipment Company, LLC  *^",One stop,,L + 5.00,(c),,6.48,,08/2020,,21470,,,21329,,,2.3,,,21470,,,,,,,,,,,,,,,,,,,,,
92,"Brooks Equipment Company, LLC  *",One stop,,L + 5.00,(b)(c),,6.49,,08/2020,,5268,,,5238,,,0.6,,,5268,,,,,,,,,,,,,,,,,,,,,
93,"Brooks Equipment Company, LLC  (5)",One stop,,L + 5.00,,,N/A  (6),,08/2020,,-,,,(9,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
94,"Jensen Hughes, Inc.  #",Senior loan,,L + 5.00,(a),,6.57,,12/2021,,153,,,152,,,-,,,153,,,,,,,,,,,,,,,,,,,,,
95,MRI Software LLC  ^,One stop,,L + 6.25,(c),,7.95,,06/2023,,23863,,,23281,,,2.5,,,23863,,,,,,,,,,,,,,,,,,,,,
96,MRI Software LLC  #,One stop,,L + 6.25,(c),,7.95,,06/2023,,13848,,,13716,,,1.4,,,13848,,,,,,,,,,,,,,,,,,,,,
97,MRI Software LLC  ^,One stop,,L + 6.25,(c),,7.95,,06/2023,,360,,,356,,,-,,,360,,,,,,,,,,,,,,,,,,,,,
98,MRI Software LLC,One stop,,L + 6.25,(c),,7.83,,06/2023,,166,,,164,,,-,,,166,,,,,,,,,,,,,,,,,,,,,
99,MRI Software LLC  (5),One stop,,L + 6.00,,,N/A  (6),,06/2023,,-,,,(3,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
100,MRI Software LLC  (5),One stop,,L + 6.00,,,N/A  (6),,06/2023,,-,,,(7,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,65128,,,64217,,,6.8,,,65128,,,,,,,,,,,,,,,,,,,,,
102,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Flexan, LLC  *",One stop,,L + 5.75,(c),,7.44,,02/2020,,2327,,,2312,,,0.2,,,2327,,,,,,,,,,,,,,,,,,,,,
104,"Flexan, LLC",One stop,,P + 4.50,(e),,9.00,,02/2020,,10,,,10,,,-,,,10,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,2337,,,2322,,,0.2,,,2337,,,,,,,,,,,,,,,,,,,,,
106,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,
107,Diversified/Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"Chase Industries, Inc.  *^#",One stop,,L + 5.75,(c),,7.09,,09/2020,,,31292,,,,31102,,,3.3,,,,31292,,,,,,,,,,,,,,,,,,
109,"Chase Industries, Inc.  #",One stop,,L + 5.75,(c),,7.09,,09/2020,,4759,,,4737,,,0.5,,,4759,,,,,,,,,,,,,,,,,,,,,
110,"Chase Industries, Inc.",One stop,,L + 5.75,(a),,7.16,,09/2020,,755,,,745,,,0.1,,,755,,,,,,,,,,,,,,,,,,,,,
111,"Inventus Power, Inc.  *^",One stop,,L + 6.50,(a),,8.07,,04/2020,,8128,,,8090,,,0.7,,,6909,,,,,,,,,,,,,,,,,,,,,
112,"Inventus Power, Inc.",One stop,,L + 6.50,(a),,8.07,,04/2020,,251,,,248,,,-,,,172,,,,,,,,,,,,,,,,,,,,,
113,Onicon Incorporated  *^#,One stop,,L + 6.00,(c),,7.69,,04/2020,,12794,,,12708,,,1.3,,,12794,,,,,,,,,,,,,,,,,,,,,
114,Onicon Incorporated  (5),One stop,,L + 6.00,,,N/A  (6),,04/2020,,-,,,(4,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
115,"PetroChoice Holdings, Inc.  ^",Senior loan,,L + 5.00,(b),,6.42,,08/2022,,1746,,,1707,,,0.2,,,1746,,,,,,,,,,,,,,,,,,,,,
116,"Plex Systems, Inc.  *^",One stop,,L + 7.50,(d),,8.96,,06/2020,,18797,,,18555,,,2.0,,,18797,,,,,,,,,,,,,,,,,,,,,
117,"Plex Systems, Inc.  (5)",One stop,,L + 7.50,,,N/A  (6),,06/2020,,-,,,(20,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
118,"Reladyne, Inc.  *^#",Senior loan,,L + 5.00,(a),,6.36,,07/2022,,17007,,,16781,,,1.8,,,17007,,,,,,,,,,,,,,,,,,,,,
119,"Reladyne, Inc.  (5)",Senior loan,,L + 5.00,,,N/A  (6),,07/2022,,-,,,(2,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
120,"Reladyne, Inc.  (5)",Senior loan,,L + 5.00,,,N/A  (6),,07/2022,,-,,,(5,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
121,"Sunless Merger Sub, Inc.  #",Senior loan,,L + 5.00,(a)(e),,6.59,,07/2019,,1442,,,1447,,,0.1,,,1442,,,,,,,,,,,,,,,,,,,,,
122,"Sunless Merger Sub, Inc.",Senior loan,,P + 3.75,(e),,8.25,,07/2019,,374,,,374,,,-,,,374,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,97345,,,96463,,,10.0,,,96047,,,,,,,,,,,,,,,,,,,,,
124,Diversified/Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"Accela, Inc.  #",One stop,,L + 6.25,(c),,7.94,,09/2023,,5827,,,5743,,,0.6,,,5827,,,,,,,,,,,,,,,,,,,,,
126,"Accela, Inc.",One stop,,P + 5.25,(e),,9.75,,09/2023,,23,,,22,,,-,,,23,,,,,,,,,,,,,,,,,,,,,
127,Agility Recovery Solutions Inc.  *^,One stop,,L + 6.50,(c),,7.88,,03/2020,,13924,,,13833,,,1.4,,,13924,,,,,,,,,,,,,,,,,,,,,
128,Agility Recovery Solutions Inc.  (5),One stop,,L + 6.50,,,N/A  (6),,03/2020,,-,,,(4,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
129,"Anaqua, Inc.  #",One stop,,L + 6.50,(c),,7.86,,07/2022,,7001,,,6905,,,0.7,,,7001,,,,,,,,,,,,,,,,,,,,,
130,"Anaqua, Inc.  (5)",One stop,,L + 6.50,,,N/A  (6),,07/2022,,-,,,(1,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
131,Bomgar Corporation  ^,One stop,,L + 7.50,(c),,9.19,,06/2022,,4827,,,4754,,,0.5,,,4827,,,,,,,,,,,,,,,,,,,,,
132,Bomgar Corporation  (5),One stop,,L + 7.50,,,N/A  (6),,06/2022,,-,,,(1,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
133,"Clearwater Analytics, LLC  *^",One stop,,L + 7.50,(a),,9.07,,09/2022,,9494,,,9359,,,1.0,,,9494,,,,,,,,,,,,,,,,,,,,,
134,"Clearwater Analytics, LLC",One stop,,L + 7.50,(a),,9.00,,09/2022,,9,,,8,,,-,,,9,,,,,,,,,,,,,,,,,,,,,
135,"Datto, Inc.",One Stop,,L + 8.00,(a),,9.41,,12/2022,,11155,,,10936,,,1.1,,,10933,,,,,,,,,,,,,,,,,,,,,
136,"Datto, Inc.  (5)",One stop,,L + 8.00,,,N/A  (6),,12/2022,,-,,,(1,,,-,,,(1,,,,,,,,,,,,,,,,,,,,,
137,Daxko Acquisition Corporation  *^,One stop,,L + 6.50,(c),,8.19,,09/2022,,9045,,,8935,,,0.9,,,9045,,,,,,,,,,,,,,,,,,,,,
138,Daxko Acquisition Corporation,One stop,,L + 6.50,,,N/A  (6),,09/2022,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
139,"EGD Security Systems, LLC",One stop,,L + 6.25,(c),,7.81,,06/2022,,11114,,,10928,,,1.2,,,11114,,,,,,,,,,,,,,,,,,,,,
140,"EGD Security Systems, LLC  ^",One stop,,L + 6.25,(c),,7.73,,06/2022,,98,,,97,,,-,,,98,,,,,,,,,,,,,,,,,,,,,
141,"EGD Security Systems, LLC",One stop,,L + 6.25,(c),,7.81,,06/2022,,50,,,49,,,-,,,50,,,,,,,,,,,,,,,,,,,,,
142,"EGD Security Systems, LLC",One stop,,L + 6.25,,,N/A  (6),,06/2022,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
143,"HealthcareSource HR, Inc.  *",One stop,,L + 6.75,(c),,8.44,,05/2020,,23570,,,23297,,,2.4,,,23570,,,,,,,,,,,,,,,,,,,,,
144,"HealthcareSource HR, Inc.  (5)",One stop,,L + 6.75,,,N/A  (6),,05/2020,,-,,,(1,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
145,"Host Analytics, Inc.",One stop,,No Value,,,8.50 cash/2.25 PIK,,08/2021,,3116,,,3075,,,0.3,,,3116,,,,,,,,,,,,,,,,,,,,,
146,"Host Analytics, Inc.",One stop,,No Value,,,8.50 cash/2.25 PIK,,08/2021,,2611,,,2493,,,0.3,,,2611,,,,,,,,,,,,,,,,,,,,,
147,"Host Analytics, Inc.",One stop,,No Value,,,8.50 cash/2.25 PIK,,08/2021,,734,,,728,,,0.1,,,734,,,,,,,,,,,,,,,,,,,,,
148,"III US Holdings, LLC  (5)",One stop,,L + 6.50,,,N/A  (6),,09/2022,,-,,,(1,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
149,"Imprivata, Inc.  #",Senior loan,,L + 4.50,(c),,5.86,,10/2023,,13144,,,12985,,,1.3,,,13012,,,,,,,,,,,,,,,,,,,,,
150,"Imprivata, Inc.  (5)",Senior loan,,L + 4.50,,,N/A  (6),,10/2023,,-,,,(2,,,-,,,(2,,,,,,,,,,,,,,,,,,,,,
151,"Integration Appliance, Inc.  *^",One stop,,L + 8.25,(c),,9.73,,09/2020,,16123,,,16029,,,1.7,,,16123,,,,,,,,,,,,,,,,,,,,,
152,"Integration Appliance, Inc.",One stop,,L + 8.25,(c),,9.73,,09/2020,,7914,,,7815,,,0.8,,,7914,,,,,,,,,,,,,,,,,,,,,
153,"Integration Appliance, Inc.",One stop,,L + 8.25,(c),,9.73,,09/2020,,5396,,,5335,,,0.6,,,5396,,,,,,,,,,,,,,,,,,,,,
154,"Integration Appliance, Inc.",One stop,,L + 8.25,(c),,9.73,,09/2020,,2484,,,2464,,,0.3,,,2484,,,,,,,,,,,,,,,,,,,,,
155,"Integration Appliance, Inc.",One stop,,L + 8.25,(c),,9.73,,09/2020,,924,,,918,,,0.1,,,924,,,,,,,,,,,,,,,,,,,,,
156,"Integration Appliance, Inc.  *",One stop,,L + 8.25,(c),,9.73,,09/2020,,719,,,712,,,0.1,,,719,,,,,,,,,,,,,,,,,,,,,
157,"JAMF Holdings, Inc.",One stop,,L + 8.00,(c),,9.41,,11/2022,,4550,,,4461,,,0.5,,,4504,,,,,,,,,,,,,,,,,,,,,
158,"JAMF Holdings, Inc.  (5)",One stop,,L + 8.00,,,N/A  (6),,11/2022,,-,,,(1,,,-,,,(1,,,,,,,,,,,,,,,,,,,,,
159,Maverick Bidco Inc.  *#,One stop,,L + 6.25,(c),,7.94,,04/2023,,17600,,,17283,,,1.8,,,17600,,,,,,,,,,,,,,,,,,,,,
160,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,
161,Diversified/Conglomerate Service - (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Maverick Bidco Inc.,One stop,,L + 6.25,(a),,7.71,,04/2023,,,27,,,,25,,,-,,,,27,,,,,,,,,,,,,,,,,,
163,Maverick Bidco Inc.  (5),One stop,,L + 6.25,,,N/A  (6),,04/2023,,-,,,(2,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
164,MMan Acquisition Co.  #,One stop,,L + 6.00,(c),,7.69,,08/2023,,9800,,,9662,,,1.0,,,9800,,,,,,,,,,,,,,,,,,,,,
165,MMan Acquisition Co.,One stop,,L + 6.00,(c),,7.69,,08/2023,,26,,,25,,,-,,,26,,,,,,,,,,,,,,,,,,,,,
166,Net Health Acquisition Corp.  #,One stop,,L + 5.50,(b),,7.06,,12/2023,,3886,,,3847,,,0.4,,,3847,,,,,,,,,,,,,,,,,,,,,
167,Net Health Acquisition Corp.  (5),One stop,,L + 5.50,,,N/A  (6),,12/2023,,-,,,(1,,,-,,,(1,,,,,,,,,,,,,,,,,,,,,
168,"Netsmart Technologies, Inc.  #",Senior loan,,L + 4.50,(c),,6.19,,04/2023,,1750,,,1737,,,0.2,,,1772,,,,,,,,,,,,,,,,,,,,,
169,"Netsmart Technologies, Inc.  (5)",Senior loan,,L + 4.75,,,N/A  (6),,04/2023,,-,,,(8,,,-,,,-,,,,,,,,,,,,,,,,,,,,,
170,"Nexus Brands Group, Inc.  #",One stop,,L + 6.00,(c),,7.57,,11/2023,,5779,,,5708,,,0.6,,,5721,,,,,,,,,,,,,,,,,,,,,
171,"Nexus Brands Group, Inc.",One stop,,L + 6.00,(a),,7.53,,11/2023,,2,,,1,,,-,,,1,,,,,,,,,,,,,,,,,,,,,
172,"Nexus Brands Group, Inc.  (5)",One stop,,L + 6.00,,,N/A  (6),,11/2023,,-,,,(2,,,-,,,(3,,,,,,,,,,,,,,,,,,,,,
