,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
17,,"Grease Monkey International, LLC+~",Senior loan,,L + 5.00,(c),,6.45,,11/2022,,,1095,,,,1132,,,,0.1,,,,1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,"Grease Monkey International, LLC",Senior loan,,L + 5.00,(c),,6.45,,11/2022,,,1000,,,,1003,,,,0.1,,,,940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,"Grease Monkey International, LLC",Senior loan,,P + 4.00,(a)(f),,6.71,,11/2022,,,123,,,,124,,,,-,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,"Grease Monkey International, LLC",Senior loan,,L + 5.00,,,N/A(6),,11/2022,,,-,,,,-,,,,-,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,JHCC Holdings LLC,One stop,,L + 5.50,(a),,6.50,,09/2025,,,15709,,,,15424,,,,0.7,,,,13824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,JHCC Holdings LLC,One stop,,P + 4.50,(f),,7.75,,09/2025,,,79,,,,76,,,,-,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,JHCC Holdings LLC,One stop,,P + 4.50,(f),,7.75,,09/2025,,,13,,,,12,,,,-,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Polk Acquisition Corp.*#&,Senior loan,,L + 5.25,(c),,6.70,,06/2022,,,17680,,,,17443,,,,0.8,,,,16265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Polk Acquisition Corp.,Senior loan,,L + 5.25,(c),,6.69,,06/2022,,,170,,,,167,,,,-,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Polk Acquisition Corp.&,Senior loan,,L + 5.25,(c),,6.70,,06/2022,,,104,,,,102,,,,-,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"Power Stop, LLC+~",Senior loan,,L + 4.50,(c)(f),,5.95,,10/2025,,,2857,,,,2915,,,,0.1,,,,2514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,"Quick Quack Car Wash Holdings, LLC*#",One stop,,L + 6.50,(a),,7.50,,04/2023,,,13151,,,,13260,,,,0.6,,,,12493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,"Quick Quack Car Wash Holdings, LLC#",One stop,,L + 6.50,(a),,7.50,,04/2023,,,2372,,,,2351,,,,0.1,,,,2254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,"Quick Quack Car Wash Holdings, LLC*+",One stop,,L + 6.50,(a),,7.50,,04/2023,,,2073,,,,2147,,,,0.1,,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,"Quick Quack Car Wash Holdings, LLC*+",One stop,,L + 6.50,(a),,7.50,,04/2023,,,1386,,,,1435,,,,0.1,,,,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,"Quick Quack Car Wash Holdings, LLC",One stop,,L + 6.50,(a),,7.50,,04/2023,,,1122,,,,1187,,,,0.1,,,,1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,"Quick Quack Car Wash Holdings, LLC",One stop,,L + 6.50,(a),,7.50,,04/2023,,,80,,,,82,,,,-,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,71322,,,71368,,,3.4,,,65719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,"Abita Brewing Co., L.L.C.+",One stop,,L + 7.00,(c),,8.61,,04/2021,,,9983,,,10030,,1,0.5,,,9184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,"Abita Brewing Co., L.L.C.",One stop,,L + 7.00,(c),,8.74,,,04/2021,,,20,,,20,,1,-,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,BJH Holdings III Corp.+~,One stop,,L + 5.75,(c),,7.20,,,08/2025,,,46168,,,47636,,1,2.2,,,42937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,BJH Holdings III Corp.,One stop,,L + 5.75,(a)(c),,6.95,,08/2025,,800,,,793,,1,0.1,,,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,"Cafe Rio Holding, Inc.^#",One stop,,L + 5.50,(c),,6.57,,09/2023,,18706,,,18936,,1,0.9,,,17209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,"Cafe Rio Holding, Inc.#",One stop,,L + 5.50,(d),,6.57,,09/2023,,2259,,,2342,,1,0.1,,,2079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,"Cafe Rio Holding, Inc.",One stop,,L + 5.50,(c)(d),,6.51,,09/2023,,2007,,,2005,,1,0.1,,,1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,"Cafe Rio Holding, Inc.*#",One stop,,L + 5.50,(d),,6.57,,09/2023,,1435,,,1488,,1,0.1,,,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,InvestmentType,,SpreadAboveIndex(1),,,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,"Cafe Rio Holding, Inc.#",One stop,,L + 5.50,(d),,6.57,,09/2023,,,1266,,,,1314,,1,0.1,,,,1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,"Cafe Rio Holding, Inc.",One stop,,L + 5.50,(c),,6.77,,09/2023,,250,,,250,,,-,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,"Cafe Rio Holding, Inc.",One stop,,L + 5.50,(d),,6.77,,09/2023,,182,,,182,,,-,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,"Fintech Midco, LLC*#!",One stop,,L + 5.00,(c)(d),,6.46,,08/2024,,24535,,,24925,,,1.2,,,23309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,"Fintech Midco, LLC#",One stop,,L + 5.00,(c)(d),,6.65,,08/2024,,1136,,,1179,,,0.1,,,1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,"Fintech Midco, LLC",One stop,,L + 5.00,(a),,6.00,,08/2024,,200,,,199,,,-,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,"Flavor Producers, LLC#~",Senior loan,,L + 4.75,(c),,6.12,,12/2023,,5006,,,4881,,,0.2,,,4605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,"Flavor Producers, LLC",Senior loan,,L + 4.75,(c)(d),,6.13,,12/2022,,28,,,24,,,-,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,FWR Holding Corporation^#,One stop,,L + 5.50,(c),,6.77,,08/2023,,9156,,,9270,,,0.4,,,8424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,FWR Holding Corporation#,One stop,,L + 5.50,(c),,6.77,,08/2023,,1830,,,1898,,,0.1,,,1683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,FWR Holding Corporation#,One stop,,L + 5.50,(c),,6.77,,08/2023,,1157,,,1199,,,0.1,,,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,FWR Holding Corporation#,One stop,,L + 5.50,(c),,6.77,,08/2023,,365,,,377,,,-,,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,FWR Holding Corporation,One stop,,L + 5.50,(c),,6.77,,08/2023,,275,,,274,,,-,,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,FWR Holding Corporation#,One stop,,L + 5.50,(c),,6.77,,08/2023,,274,,,282,,,-,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,FWR Holding Corporation,One stop,,L + 5.50,(a),,6.50,,08/2023,,132,,,131,,,-,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,FWR Holding Corporation,One stop,,L + 5.50,(c),,6.77,,08/2023,,90,,,89,,,-,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,Global ID Corporation*#+~,One stop,,L + 6.50,(c),,7.57,,11/2021,,14323,,,14478,,,0.7,,,14037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,Global ID Corporation*#,One stop,,L + 6.50,(c),,7.57,,11/2021,,816,,,842,,,0.1,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,Global ID Corporation#,One stop,,L + 6.50,(c),,7.57,,11/2021,,714,,,736,,,-,,,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,Global ID Corporation#,One stop,,L + 6.50,(c),,7.57,,11/2021,,490,,,506,,,-,,,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,Global ID Corporation,One stop,,L + 6.50,(c),,7.62,,11/2021,,60,,,60,,,-,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,Global ID Corporation(5),One stop,,L + 6.50,,,N/A(6),,11/2021,,-,,,-,,,-,,,(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.00 cash/7.50 PIK,,06/2023,,794,,,821,,,0.1,,,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.00 cash/7.50 PIK,,06/2023,,624,,,645,,,-,,,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.00 cash/7.50 PIK,,06/2023,,612,,,608,,,-,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.00 cash/7.50 PIK,,06/2023,,301,,,299,,,-,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.00 cash/7.50 PIK,,06/2023,,300,,,299,,,-,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.00 cash/7.50 PIK,,06/2023,,148,,,148,,,-,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.00 cash/7.50 PIK,,06/2023,,90,,,87,,,-,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,"Mid-America Pet Food, L.L.C.^*#",One stop,,L + 5.50,(a),,6.50,,12/2021,,22398,,,22771,,,1.2,,,22398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,"Mid-America Pet Food, L.L.C.",One stop,,L + 5.50,,,N/A(6),,12/2021,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,"NBC Intermediate, LLC^&",Senior loan,,L + 4.25,(d),,5.33,,09/2023,,4589,,,4577,,,0.2,,,4176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,"NBC Intermediate, LLC#~",Senior loan,,L + 4.25,(a)(d),,5.33,,09/2023,,2353,,,2385,,,0.1,,,2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,"NBC Intermediate, LLC*#",Senior loan,,L + 4.25,(d),,5.33,,09/2023,,2309,,,2342,,,0.1,,,2101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,"NBC Intermediate, LLC#",Senior loan,,L + 4.25,(d),,5.33,,09/2023,,666,,,660,,,-,,,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,"NBC Intermediate, LLC",Senior loan,,L + 4.25,(a),,5.25,,09/2023,,46,,,46,,,-,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,"Purfoods, LLC#",One stop,,L + 5.50,(a),,6.50,,05/2021,,16108,,,16301,,,0.8,,,16108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,"Purfoods, LLC*",One stop,,L + 5.50,(a),,6.50,,05/2021,,540,,,555,,,-,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,"Purfoods, LLC^*",One stop,,L + 5.50,(a),,6.50,,05/2021,,389,,,400,,,-,,,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,"Purfoods, LLC*~",One stop,,L + 5.50,(a),,6.50,,05/2021,,294,,,301,,,-,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,"Purfoods, LLC*~",One stop,,L + 5.50,(a),,6.50,,05/2021,,294,,,301,,,-,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,"Purfoods, LLC*",One stop,,L + 5.50,(a),,6.50,,05/2021,,293,,,301,,,-,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,"Purfoods, LLC*",One stop,,L + 5.50,(a),,6.50,,05/2021,,253,,,254,,,-,,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,InvestmentType,,SpreadAboveIndex(1),,,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,"Purfoods, LLC",One stop,,No Value,,,7.00 PIK,,05/2026,,,241,,,,246,,,-,,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,"Purfoods, LLC",One stop,,L + 5.50,(a)(c),,6.50,,05/2021,,150,,,151,,,-,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,"Purfoods, LLC*",One stop,,L + 5.50,(a),,6.50,,05/2021,,148,,,152,,,-,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,"Purfoods, LLC",One stop,,L + 6.00,(a),,7.00,,05/2021,,120,,,119,,,-,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,"Purfoods, LLC^",One stop,,L + 5.50,(a),,6.50,,05/2021,,46,,,47,,,-,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,"Purfoods, LLC^",One stop,,L + 5.50,(a),,6.50,,05/2021,,30,,,30,,,-,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,"Purfoods, LLC^",One stop,,L + 5.50,(a),,6.50,,05/2021,,30,,,30,,,-,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,"Purfoods, LLC^",One stop,,L + 5.50,(a),,6.50,,05/2021,,28,,,28,,,-,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,"Purfoods, LLC^",One stop,,L + 5.50,(a),,6.50,,05/2021,,22,,,22,,,-,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,"Purfoods, LLC^",One stop,,L + 5.50,(a),,6.50,,05/2021,,22,,,22,,,-,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,"Purfoods, LLC^",One stop,,L + 5.50,(a),,6.50,,05/2021,,20,,,20,,,-,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,"Rubio's Restaurants, Inc.^*#(7)&",Senior loan,,L + 5.00,(c),,2.27 cash/4.00 PIK,,04/2021,,17944,,,17838,,,0.5,,,9278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,"Rubio's Restaurants, Inc.(7)",Senior loan,,L + 7.50,(a),,8.75,,04/2021,,162,,,159,,,-,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,"SSRG Holdings, LLC",One stop,,L + 5.25,(c),,6.32,,11/2025,,923,,,905,,,0.1,,,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,"SSRG Holdings, LLC",One stop,,L + 5.25,(c),,6.30,,11/2025,,75,,,74,,,-,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,"Velvet Taco Holdings, Inc.~",One stop,,L + 7.00,(c),,7.84,,03/2026,,1778,,,1761,,,0.1,,,1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,"Velvet Taco Holdings, Inc.(5)",One stop,,L + 7.00,,,N/A(6),,03/2026,,-,,,-,,,-,,,(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,"Velvet Taco Holdings, Inc.(5)",One stop,,L + 7.00,,,N/A(6),,03/2026,,-,,,(1),,,-,,,(6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,Wood Fired Holding Corp.*#,One stop,,L + 5.75,,,7.67,,12/2023,,14108,,,14348,,,0.7,,,12980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,Wood Fired Holding Corp.,One stop,,L + 5.75,(c),,6.95,,12/2023,,697,,,697,,,-,,,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,Wood Fired Holding Corp.,One stop,,L + 5.75,(c),,6.98,,12/2023,,198,,,197,,,-,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,233806,,,237292,,,10.9,,,213389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,Buildings and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,"Brooks Equipment Company, LLC^*#",One stop,,L + 5.00,(a)(c),,6.60,,08/2020,,25703,,,25794,,,1.3,,,24674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,"Brooks Equipment Company, LLC",One stop,,L + 5.00,(a),,6.00,,08/2020,,3384,,,3382,,,0.2,,,3249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,Groundworks LLC+,Senior loan,,L + 5.50,(c),,7.34,,01/2026,,4733,,,4676,,,0.2,,,4165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,Groundworks LLC,Senior loan,,L + 5.50,(c)(d),,6.50,,01/2026,,36,,,36,,,-,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,Groundworks LLC(5),Senior loan,,L + 5.50,,,N/A(6),,01/2026,,-,,,(1),,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,"Jensen Hughes, Inc.&",Senior loan,,L + 4.50,(a)(f),,5.50,,03/2024,,4213,,,4213,,,0.2,,,3791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,"Jensen Hughes, Inc.",Senior loan,,L + 4.50,(a)(f),,5.50,,03/2024,,1010,,,1047,,,0.1,,,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,"Jensen Hughes, Inc.+",Senior loan,,L + 4.50,(a)(f),,5.50,,03/2024,,919,,,934,,,-,,,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,"Jensen Hughes, Inc.",Senior loan,,L + 4.50,(a)(f),,5.50,,03/2024,,441,,,457,,,-,,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,"Jensen Hughes, Inc.+",Senior loan,,L + 4.50,(a)(f),,5.50,,03/2024,,281,,,285,,,-,,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,"Jensen Hughes, Inc.",Senior loan,,L + 4.50,(a)(f),,5.50,,03/2024,,219,,,219,,,-,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,"Jensen Hughes, Inc.&",Senior loan,,L + 4.50,(a)(f),,5.50,,03/2024,,117,,,117,,,-,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,MRI Software LLC~,One stop,,L + 5.50,(d),,6.57,,02/2026,,14440,,,14300,,,0.7,,,13862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,MRI Software LLC,One stop,,L + 5.50,(d),,6.57,,02/2026,,136,,,133,,,-,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,MRI Software LLC(5),One stop,,L + 5.50,,,N/A(6),,02/2026,,-,,,(1),,,-,,,(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,"Paradigm DKD Group, LLC+(7)",Senior loan,,L + 6.25,(c),,7.70,,05/2022,,3243,,,2118,,,0.1,,,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,"Paradigm DKD Group, LLC(5)(7)",Senior loan,,L + 6.25,(c),,7.70,,05/2022,,1,,,(142),,,-,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
