,0,1,2,3,4,5,6,7,8,9,10,11,12,13
36,"Businessolver.com, Inc.",Health Care Technology,8.50%,L + 7.50%,1.00%,05/15/23,11175,11036,11175,(2) (3),,,,
37,"BusinesSolver.com, Inc.",Health Care Technology,8.50%,L + 7.50%,1.00%,05/15/23,6394,6128,6394,(2) (3),,,,
38,"Businessolver.com, Inc.",Health Care Technology,L + 7.50%,1.00%,05/15/23,5328,(80,),—,(2) (3) (4),,,,
39,Capitol Imaging Acquisition Corp.,Health Care Providers & Services,7.50%,L + 6.50%,1.00%,10/01/26,810,777,802,(2) (3),,,,
40,Capitol Imaging Acquisition Corp.,Health Care Providers & Services,7.81%,L + 6.50%,1.00%,10/01/25,180,177,178,(2) (3),,,,
41,"CFS Management, LLC (dba Center for Sight Management)",Health Care Providers & Services,6.25%,L + 5.25%,1.00%,07/01/24,11612,11107,11467,(2) (3),,,,
42,"CFS Management, LLC (dba Center for Sight Management)",Health Care Providers & Services,6.25%,L + 5.25%,1.00%,07/01/24,3459,3309,3416,(2) (3),,,,
43,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00%,L + 6.00%,1.00%,11/14/25,17041,16192,16785,(2) (3),,,,
44,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00%,L + 6.00%,1.00%,11/14/25,11315,11063,11145,(2) (3),,,,
45,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00%,L + 6.00%,1.00%,11/14/25,7178,6819,7070,(2) (3),,,,
46,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00%,L + 6.00%,1.00%,11/14/25,11120,6408,6405,(2) (3) (4),,,,
47,Chronicle Bidco Inc. (dba Lexitas),Professional Services,L + 6.00%,1.00%,11/14/25,2180,(47,),(33,),(2) (3) (4),,,
48,"ConnectWise, LLC",IT Services,6.25%,L + 5.25%,1.00%,02/28/25,33018,31822,32770,(2) (3),,,,
49,"ConnectWise, LLC",IT Services,6.25%,L + 5.25%,1.00%,02/28/25,2561,133,141,(2) (3) (4),,,,
50,"Convene 237 Park Avenue, LLC (dba Convene)",Real Estate Mgmt. & Development,11.00%,L + 9.50% (incl. 2.00% PIK),1.50%,08/30/24,53925,48563,39365,(2) (3),,,,
51,"Convene 237 Park Avenue, LLC (dba Convene)",Real Estate Mgmt. & Development,11.00%,L + 9.50% (incl. 2.00% PIK),1.50%,08/30/24,16224,14642,11844,(2) (3),,,,
52,Investment *#,Industry,Interest  Rate (+),Reference Rate  and Spread (+),Floor  (+),Maturity,Par/Shares  (++),Cost,Fair  Value,Footnotes,,,,
53,CORA Health Holdings Corp,Health Care Providers & Services,6.75%,L + 5.75%,1.00%,06/15/27,$,22777,$,22437,$,22435,(2),
54,CORA Health Holdings Corp,Health Care Providers & Services,L + 5.75%,1.00%,06/15/27,8897,(66,),(133,),(2) (4),,,
55,CorePower Yoga LLC,Diversified Consumer Services,7.00%,L + 6.00% (incl. 1.25% PIK),1.00%,05/14/25,24128,21584,20267,(2) (3),,,,
56,CorePower Yoga LLC,Diversified Consumer Services,L + 6.00% (incl. 1.25% PIK),1.00%,05/14/25,1687,(140,),(270,),(2) (3) (4),,,
57,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,7.00%,L + 6.00%,1.00%,10/03/25,28301,27389,28017,(2) (3),,,,
58,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,7.00%,L + 6.00%,1.00%,11/03/25,15005,14697,14855,(2) (3),,,,
59,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,L + 6.00%,1.00%,10/03/25,2170,(13,),(22,),(2) (3) (4),,,
60,Diligent Corporation,Professional Services,7.25%,L + 6.25%,1.00%,08/04/25,€,38255,42900,45814,(2),,,
61,Diligent Corporation,Professional Services,7.25%,L + 6.25%,1.00%,08/04/25,24726,23670,24974,(2),,,,
62,Diligent Corporation,Professional Services,L + 6.25%,1.00%,08/04/25,3100,(59,),31,(2) (4),,,,
63,"DocuTAP, Inc.",Health Care Technology,6.50%,L + 5.50%,1.00%,05/12/25,58270,55591,57978,(2) (3),,,,
64,"Elemica Parent, Inc.",Chemicals,6.50%,L + 5.50%,1.00%,09/18/25,7055,6574,6879,(2) (3),,,,
65,"Elemica Parent, Inc.",Chemicals,6.50%,L + 5.50%,1.00%,09/18/25,1504,1463,1467,(2) (3),,,,
66,"Elemica Parent, Inc.",Chemicals,6.50%,L + 5.50%,1.00%,09/18/25,1383,1312,1348,(2) (3),,,,
67,"Elemica Parent, Inc.",Chemicals,6.50%,L + 5.50%,1.00%,09/18/25,563,548,549,(2) (3),,,,
68,"Elemica Parent, Inc.",Chemicals,6.50%,L + 5.50%,1.00%,09/18/25,930,515,532,(2) (3) (4),,,,
69,"Elemica Parent, Inc.",Chemicals,L + 5.50%,1.00%,09/18/25,380,(5,),(10,),(2) (3) (4),,,
70,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,6.50%,L + 5.50%,1.00%,12/06/25,10529,10059,10345,(2) (3),,,,
71,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,6.50%,L + 5.50%,1.00%,12/06/25,4952,4868,4866,(2) (3),,,,
72,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,6.50%,L + 5.50%,1.00%,12/06/25,4537,4430,4458,(2) (3),,,,
73,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,6.50%,L + 5.50%,1.00%,12/06/25,2269,353,414,(2) (3) (4),,,,
74,"ESO Solutions, Inc",Health Care Technology,8.00%,L + 7.00%,1.00%,05/03/27,30408,29812,29799,(2),,,,
75,"ESO Solutions, Inc",Health Care Technology,L + 7.00%,1.00%,05/03/27,9500,—,—,(2) (4),,,,,
76,"ESO Solutions, Inc",Health Care Technology,L + 7.00%,1.00%,05/03/27,3620,(71,),(72,),(2) (4),,,
77,Fenergo Finance 3 Limited,Diversified Financial Services,7.00%,L + 6.00%,1.00%,09/05/24,€,43100,48823,50850,(1) (2) (3),,,
78,Fenergo Finance 3 Limited,Diversified Financial Services,L + 6.00%,1.00%,09/05/24,2865,(28,),(14,),(1) (2) (3) (4),,,
79,Fenergo Finance 3 Limited,Diversified Financial Services,L + 6.00%,1.00%,09/05/24,€,3700,(1,),(22,),(1) (2) (3) (4),,
80,FWR Holding Corporation (dba First Watch Restaurants),"Hotels, Restaurants & Leisure",8.00%,L + 7.00% (incl. 1.50% PIK),1.00%,08/21/23,15760,14993,15523,(3),,,,
81,FWR Holding Corporation (dba First Watch Restaurants),"Hotels, Restaurants & Leisure",8.00%,L + 7.00% (incl. 1.50% PIK),1.00%,08/21/23,4019,3764,3959,(3),,,,
82,FWR Holding Corporation (dba First Watch Restaurants),"Hotels, Restaurants & Leisure",8.00%,L + 7.00% (incl. 1.50% PIK),1.00%,08/21/23,3149,2997,3102,(3),,,,
83,FWR Holding Corporation (dba First Watch Restaurants),"Hotels, Restaurants & Leisure",8.00%,L + 7.00% (incl. 1.50% PIK),1.00%,08/21/23,3022,2830,2977,(3),,,,
84,FWR Holding Corporation (dba First Watch Restaurants),"Hotels, Restaurants & Leisure",8.00%,L + 7.00% (incl. 1.50% PIK),1.00%,08/21/23,3007,2815,2962,(3),,,,
85,FWR Holding Corporation (dba First Watch Restaurants),"Hotels, Restaurants & Leisure",8.00%,L + 7.00% (incl. 1.50% PIK),1.00%,08/21/23,1991,1894,1961,(3),,,,
86,FWR Holding Corporation (dba First Watch Restaurants),"Hotels, Restaurants & Leisure",L + 7.00% (incl. 1.50% PIK),1.00%,08/21/23,118,(3,),(2,),(3) (4),,,
87,FWR Holding Corporation (dba First Watch Restaurants),"Hotels, Restaurants & Leisure",L + 7.00% (incl. 1.50% PIK),1.00%,08/21/23,2093,(45,),(31,),(3) (4),,,
88,"Gastro Health Holdco, LLC",Health Care Providers & Services,9.25%,P + 6.00%,09/04/24,23296,22143,23296,(2) (3),,,,,
89,"Gastro Health Holdco, LLC",Health Care Providers & Services,9.25%,P + 6.00%,09/04/24,12077,11480,12077,(2) (3),,,,,
90,"Gastro Health Holdco, LLC",Health Care Providers & Services,9.25%,P + 6.00%,09/04/24,11640,11072,11640,(2) (3),,,,,
91,"Gastro Health Holdco, LLC",Health Care Providers & Services,9.25%,P + 6.00%,09/04/24,5616,5514,5616,(2) (3),,,,,
92,"Gastro Health Holdco, LLC",Health Care Providers & Services,9.25%,P + 6.00%,09/04/23,4900,3318,3430,(2) (3) (4),,,,,
93,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,9.00%,L + 7.00%,2.00%,06/24/25,14925,14657,14626,(2) (3),,,,
94,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,9.00%,L + 7.00%,2.00%,06/24/25,2807,2570,2563,(2) (3) (4),,,,
95,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,L + 7.00%,2.00%,06/24/25,1880,(33,),(38,),(2) (3) (4),,,
96,"GlobalTranz Enterprises, Inc.",Road & Rail,5.10%,L + 5.00%,05/15/26,18837,16531,18678,(2),,,,,
97,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,7.25%,L + 6.25%,1.00%,01/29/27,28378,27703,27598,(2),,,,
98,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,L + 6.50%,1.00%,01/29/27,1136,(16,),(31,),(2) (4),,,
99,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,L + 6.25%,1.00%,01/29/27,2583,(36,),(71,),(2) (4),,,
100,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,L + 6.00%,1.00%,01/29/27,3800,(38,),(105,),(2) (4),,,
101,"Governmentjobs.com, Inc. (dba NeoGov)",Software,7.50%,L + 6.50%,1.00%,02/05/26,47457,45441,46745,(2) (3),,,,
102,"Governmentjobs.com, Inc. (dba NeoGov)",Software,8.00%,L + 7.00%,1.00%,02/05/26,23975,23536,23975,(2) (3),,,,
103,Investment *#,Industry,Interest  Rate (+),Reference Rate  and Spread (+),Floor  (+),Maturity,Par/Shares  (++),Cost,Fair  Value,Footnotes,,,,
104,"Governmentjobs.com, Inc. (dba NeoGov)",Software,7.50%,L + 6.50%,1.00%,02/05/26,$,6328,$,378,$,380.0,(2) (3) (4),
105,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Diversified Financial Services,6.75%,L + 5.75%,1.00%,05/24/24,9631,9508,9559,(2),,,,
106,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Diversified Financial Services,6.75%,L + 5.75%,1.00%,05/24/24,8046,7941,7986,(2),,,,
107,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Diversified Financial Services,6.75%,L + 5.75%,1.00%,05/24/24,807,366,370,(2) (4),,,,
108,"Halo Branded Solutions, Inc.",Commercial Services & Supplies,5.50%,L + 4.50%,1.00%,06/30/25,6391,6350,6103,,,,,
109,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,7.00%,L + 6.00%,1.00%,12/15/26,14572,14302,14426,(2) (3),,,,
110,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,7.00%,L + 6.00%,1.00%,12/15/26,7943,7907,7864,(2) (3),,,,
111,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,7.00%,L + 6.00%,1.00%,12/15/26,2482,1265,1286,(2) (3) (4),,,,
112,Hollander Sleep & Décor (dba SureFit),Household Products,10.75%,L + 9.75%,1.00%,07/13/23,40650,38005,39431,(2) (3),,,,
113,HowlCO LLC (dba Lone Wolf),Real Estate Mgmt. & Development,7.00%,L + 6.00%,1.00%,10/23/26,35491,34935,34781,(1) (2) (3),,,,
114,HowlCO LLC (dba Lone Wolf),Real Estate Mgmt. & Development,7.00%,L + 6.00%,1.00%,10/23/26,10886,4751,4578,(1) (2) (3) (4),,,,
115,"HS4 AcquisitionCo, Inc. (dba HotSchedules & Fourth)","Hotels, Restaurants & Leisure",7.75%,L + 6.75%,1.00%,07/09/25,57658,53825,55352,(2) (3),,,,
116,"HS4 AcquisitionCo, Inc. (dba HotSchedules & Fourth)","Hotels, Restaurants & Leisure",L + 6.75%,1.00%,07/09/25,4688,(193,),(188,),(2) (3) (4),,,
117,"iCIMS, Inc.",Software,7.50%,L + 6.50%,1.00%,09/12/24,72489,69755,71583,(2) (3),,,,
118,"iCIMS, Inc.",Software,7.50%,L + 6.50%,1.00%,09/12/24,13350,12839,13183,(2) (3),,,,
119,"iCIMS, Inc.",Software,7.50%,L + 6.50%,1.00%,09/12/24,4531,4471,4474,(2) (3),,,,
120,Instructure Holdings,Diversified Consumer Services,6.50%,L + 5.50%,1.00%,03/24/26,60223,58058,59772,(2) (3),,,,
121,Instructure Holdings,Diversified Consumer Services,L + 5.50%,1.00%,03/24/26,5000,(46,),(38,),(2) (3) (4),,,
122,"Integral Ad Science, Inc.",Interactive Media & Services,6.00%,L + 5.00%,1.00%,07/19/24,63071,60162,63071,(2) (3),,,,
123,"Integral Ad Science, Inc.",Interactive Media & Services,L + 5.00%,1.00%,07/19/23,4402,(87,),—,(2) (3) (4),,,,
124,"Internet Truckstop Group, LLC (dba Truckstop)",Transportation Infrastructure,6.75%,L + 5.75%,1.00%,04/02/25,53763,51377,53225,(2) (3),,,,
125,"Internet Truckstop Group, LLC (dba Truckstop)",Transportation Infrastructure,L + 5.75%,1.00%,04/02/25,4400,(83,),(44,),(2) (3) (4),,,
126,"Iracore International Holdings, Inc.",Energy Equipment & Services,10.00%,L + 9.00%,1.00%,04/12/24,2361,2361,2361,^ (3),,,,
127,Jill Acquisition LLC (dba J. Jill),Specialty Retail,6.00%,L + 5.00%,1.00%,05/08/24,6582,6525,5387,,,,,
128,Kawa Solar Holdings Limited,Construction & Engineering,12/31/21,3917,3603,1344,^ (1) (3) (6),,,,,,,
129,Kawa Solar Holdings Limited,Construction & Engineering,12/31/21,3318,800,—,^ (1) (3) (6),,,,,,,
130,"Lithium Technologies, Inc.",Interactive Media & Services,9.00%,L + 8.00%,1.00%,10/03/22,89013,85507,86788,(2) (3),,,,
131,"Lithium Technologies, Inc.",Interactive Media & Services,L + 8.00%,1.00%,10/03/22,5110,(108,),(128,),(2) (3) (4),,,
132,"Mailgun Technologies, Inc.",Interactive Media & Services,6.00%,L + 5.00%,1.00%,03/26/25,38477,37287,38477,(2) (3),,,,
133,"Mailgun Technologies, Inc.",Interactive Media & Services,6.00%,L + 5.00%,1.00%,03/26/25,3038,2978,3038,(2) (3),,,,
134,"Mailgun Technologies, Inc.",Interactive Media & Services,L + 5.00%,1.00%,03/26/25,2441,—,—,(2) (3) (4),,,,,
135,"MedeAnalytics, Inc.",Health Care Technology,7.50%,L + 6.50%,1.00%,10/09/26,953,906,938,(2) (3),,,,
136,"Mervin Manufacturing, Inc.",Leisure Products,8.50%,L + 7.50%,1.00%,09/30/22,10722,10722,10615,(3),,,,
137,"MMIT Holdings, LLC (dba Managed Markets Insight & Technology)",Health Care Technology,6.50%,L + 5.50%,1.00%,11/14/25,49683,47836,48814,(2) (3),,,,
138,"MMIT Holdings, LLC (dba Managed Markets Insight & Technology)",Health Care Technology,L + 5.50%,1.00%,11/14/25,7713,(94,),(135,),(2) (3) (4),,,
139,MRI Software LLC,Real Estate Mgmt. & Development,6.50%,L + 5.50%,1.00%,02/10/26,22914,21810,22857,,,,,
140,MRI Software LLC,Real Estate Mgmt. & Development,L + 5.50%,1.00%,02/10/26,661,(16,),(2,),(4),,,
141,MRI Software LLC,Real Estate Mgmt. & Development,L + 5.50%,1.00%,02/10/26,1612,(35,),(4,),(4),,,
142,MRI Software LLC,Real Estate Mgmt. & Development,L + 5.50%,1.00%,02/10/26,6600,(16,),(17,),(4),,,
143,Netvoyage Corporation (dba NetDocuments),Software,8.00%,L + 7.00%,1.00%,03/22/24,16200,15608,16200,(2) (3),,,,
144,Netvoyage Corporation (dba NetDocuments),Software,8.00%,L + 7.00%,1.00%,03/22/24,9825,9384,9825,(2) (3),,,,
145,Netvoyage Corporation (dba NetDocuments),Software,8.00%,L + 7.00%,1.00%,03/22/24,1664,1595,1664,(2) (3),,,,
146,Netvoyage Corporation (dba NetDocuments),Software,L + 7.00%,1.00%,03/24/22,1264,(12,),—,(2) (3) (4),,,,
147,One GI LLC,Health Care Providers & Services,8.00%,L + 7.00%,1.00%,12/22/25,22991,22566,22588,(2) (3),,,,
148,One GI LLC,Health Care Providers & Services,8.00%,L + 7.00%,1.00%,12/22/25,9453,9280,9287,(2) (3),,,,
149,One GI LLC,Health Care Providers & Services,L + 7.00%,1.00%,12/22/25,2500,(45,),(44,),(2) (3) (4),,,
150,"Output Services Group, Inc.",Diversified Consumer Services,5.50%,L + 4.50%,1.00%,03/27/24,3882,3873,3309,,,,,
151,Picture Head Midco LLC,Entertainment,9.25%,L + 8.25% (incl. 1.50% PIK),1.00%,08/31/23,45847,42728,42409,(2) (3),,,,
152,"PlanSource Holdings, Inc.",Health Care Technology,7.25%,L + 6.25%,1.00%,04/22/25,56720,53966,56153,(2) (3),,,,
153,"PlanSource Holdings, Inc.",Health Care Technology,L + 6.25%,1.00%,04/22/25,7824,(179,),(78,),(2) (3) (4),,,
154,Investment *#,Industry,Interest  Rate (+),Reference Rate  and Spread (+),Floor  (+),Maturity,Par/Shares  (++),Cost,Fair  Value,Footnotes,,,,
155,"Pluralsight, Inc",Professional Services,9.00%,L + 8.00%,1.00%,04/06/27,$,59700,$,58542,$,58506.0,(2),
156,"Pluralsight, Inc",Professional Services,L + 8.00%,1.00%,04/06/27,5100,(98,),(102,),(2) (4),,,
157,"Power Stop, LLC",Auto Components,4.60%,L + 4.50%,10/19/25,18038,17122,17609,(2),,,,,
158,"Premier Imaging, LLC (dba Lucid Health)",Health Care Providers & Services,6.75%,L + 5.75%,1.00%,01/02/25,27277,25880,26868,(2) (3),,,,
159,"Premier Imaging, LLC (dba Lucid Health)",Health Care Providers & Services,6.75%,L + 5.75%,1.00%,01/02/25,7616,7509,7502,(2) (3),,,,
160,Professional Physical Therapy,Health Care Providers & Services,9.00%,L + 8.00% (incl. 2.00% PIK),1.00%,12/16/22,5919,5568,5505,(3),,,,
161,"Project Eagle Holdings, LLC (dba Exostar)",Aerospace & Defense,9.25%,L + 8.25%,1.00%,07/06/26,898,858,898,(2) (3),,,,
162,"Project Eagle Holdings, LLC (dba Exostar)",Aerospace & Defense,L + 8.25%,1.00%,07/06/26,75,(2,),—,(2) (3) (4),,,,
163,Prophix Software Inc.(dba Pound Bidco),Diversified Financial Services,7.50%,L + 6.50%,1.00%,01/30/26,18948,18595,18569,(1) (2) (3),,,,
164,Prophix Software Inc.(dba Pound Bidco),Diversified Financial Services,L + 6.50%,1.00%,01/30/26,3445,(63,),(69,),(1) (2) (3) (4),,,
165,"PT Intermediate Holdings III, LLC (dba Parts Town)",Trading Companies & Distributors,6.50%,L + 5.50%,1.00%,10/15/25,28644,26781,28143,(2),,,,
166,"PT Intermediate Holdings III, LLC (dba Parts Town)",Trading Companies & Distributors,L + 5.50%,1.00%,10/15/25,3693,—,(46,),(2) (4),,,,
167,"Purfoods, LLC",Health Care Providers & Services,7.00%,L + 6.00%,1.00%,08/12/26,595,571,595,(2) (3),,,,
168,"Purfoods, LLC",Health Care Providers & Services,7.00%,L + 6.00%,1.00%,08/12/26,400,194,200,(2) (3) (4),,,,
169,"Riverpoint Medical, LLC",Health Care Equipment & Supplies,5.50%,L + 4.50%,1.00%,06/21/25,22066,21057,22066,(2) (3),,,,
170,"Riverpoint Medical, LLC",Health Care Equipment & Supplies,L + 4.50%,1.00%,06/21/25,4094,(84,),—,(2) (3) (4),,,,
171,Rodeo Buyer Company (dba Absorb Software),Professional Services,7.25%,L + 6.25%,1.00%,05/25/27,21167,20749,20743,(2),,,,
172,Rodeo Buyer Company (dba Absorb Software),Professional Services,L + 6.25%,1.00%,05/25/27,3387,(67,),(68,),(2) (4),,,
173,Software Luxembourg Acquisition S.À R.L. (dba Skillsoft),IT Services,8.50%,L + 7.50%,1.00%,12/27/24,2299,2299,2299,,,,,
174,"SPay, Inc. (dba Stack Sports)",Interactive Media & Services,10.25%,L + 9.25% (incl. 3.50% PIK),1.00%,06/17/24,27147,24968,25043,(2) (3),,,,
175,"SPay, Inc. (dba Stack Sports)",Interactive Media & Services,10.25%,L + 9.25% (incl. 3.50% PIK),1.00%,06/17/24,1944,1785,1793,(2) (3),,,,
176,"SPay, Inc. (dba Stack Sports)",Interactive Media & Services,10.25%,L + 9.25% (incl. 3.50% PIK),1.00%,06/17/24,972,894,897,(2) (3),,,,
177,"StarCompliance Intermediate, LLC",Diversified Financial Services,7.75%,L + 6.75%,1.00%,01/12/27,15600,15307,15288,(2) (3),,,,
178,"StarCompliance Intermediate, LLC",Diversified Financial Services,L + 6.75%,1.00%,01/12/27,2500,(46,),(50,),(2) (3) (4),,,
179,"Sundance Group Holdings, Inc. (dba NetDocuments)",Software,L + 6.75%,1.00%,07/02/27,4925,—,—,(2) (4),,,,,
180,"Sundance Group Holdings, Inc. (dba NetDocuments)",Software,L + 6.75%,1.00%,07/02/27,41043,—,—,(2) (4),,,,,
181,"Sundance Group Holdings, Inc. (dba NetDocuments)",Software,L + 6.75%,1.00%,07/02/27,12313,—,(95,),(2) (4),,,,
182,"Sunstar Insurance Group, LLC",Insurance,6.50%,L + 5.50%,1.00%,10/09/26,4097,4041,4056,(2) (3),,,,
183,"Sunstar Insurance Group, LLC",Insurance,6.50%,L + 5.50%,1.00%,10/09/26,344,338,340,(2) (3),,,,
184,"Sunstar Insurance Group, LLC",Insurance,L + 5.50%,1.00%,10/09/26,111,(2,),(1,),(2) (3) (4),,,
185,"Sunstar Insurance Group, LLC",Insurance,L + 5.50%,1.00%,10/09/26,20634,(197,),(206,),(2) (3) (4),,,
186,"Superman Holdings, LLC (dba Foundation Software)",Construction & Engineering,6.39%,L + 5.39%,1.00%,08/31/27,967,926,967,(2) (3),,,,
187,"Superman Holdings, LLC (dba Foundation Software)",Construction & Engineering,L + 5.39%,1.00%,08/31/26,122,(3,),—,(2) (3) (4),,,,
188,Sweep Purchaser LLC,Commercial Services & Supplies,6.75%,L + 5.75%,1.00%,11/30/26,28536,28011,28251,(2) (3),,,,
189,Sweep Purchaser LLC,Commercial Services & Supplies,6.75%,L + 5.75%,1.00%,11/30/26,9059,8890,8969,(2) (3),,,,
190,Sweep Purchaser LLC,Commercial Services & Supplies,6.75%,L + 5.75%,1.00%,11/30/26,7261,1690,1703,(2) (3) (4),,,,
191,Sweep Purchaser LLC,Commercial Services & Supplies,6.75%,L + 5.75%,1.00%,11/30/26,4541,372,409,(2) (3) (4),,,,
192,"Syntellis Performance Solutions, LLC (dba Axiom)",Health Care Technology,9.00%,L + 8.00%,1.00%,08/02/27,833,791,810,(2) (3),,,,
193,"The Center for Orthopedic and Research Excellence, Inc. (dba HOPCo)",Health Care Providers & Services,6.75%,L + 5.75%,1.00%,08/15/25,26462,25142,26065,(2) (3),,,,
