,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
18,CORA Health Holdings Corp,Health Care Providers & Services,8.08  %,L +  5.75  %,06/15/27,8895,326,(  64,),(2) (3) (4),,,
19,CorePower Yoga LLC,Diversified Consumer Services,10.67  %,L +  7.00  % (incl.  5.00  % PIK),05/14/25,25940,24105,21206,(2) (3),,,,
20,CorePower Yoga LLC,Diversified Consumer Services,L +  7.00  % (incl.  5.00  % PIK),05/14/25,1687,(  97,),(  308,),(2) (3) (4),,,
21,Coretrust Purchasing Group LLC,Diversified Financial Services,9.78  %,S +  6.75  %,10/01/29,774,751,751,(2),,,,
22,Coretrust Purchasing Group LLC,Diversified Financial Services,S +  6.75  %,10/01/29,113,(  2,),(  2,),(2) (4),,,
23,Coretrust Purchasing Group LLC,Diversified Financial Services,S +  6.75  %,10/01/29,113,(  3,),(  3,),(2) (4),,,
24,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,8.62  %,L +  5.50  %,10/03/25,28163,27493,27881,(2) (3),,,,
25,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,8.62  %,L +  5.50  %,10/27/25,14744,14525,14596,(2) (3),,,,
26,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,S +  6.75  %,09/01/28,914,—,—,(2) (4),,,,,
27,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,S +  6.75  %,09/01/27,86,—,—,(2) (4),,,,,
28,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,L +  5.50  %,10/03/25,2170,(  9,),(  22,),(2) (3) (4),,,
29,DECA Dental Holdings LLC,Health Care Providers & Services,9.42  %,L +  5.75  %,08/28/28,21453,21078,20595,(2) (3),,,,
30,DECA Dental Holdings LLC,Health Care Providers & Services,9.42  %,L +  5.75  %,08/28/28,7390,2175,1963,(2) (3) (4),,,,
31,DECA Dental Holdings LLC,Health Care Providers & Services,9.42  %,L +  5.75  %,08/26/27,1711,770,730,(2) (3) (4),,,,
32,Diligent Corporation,Professional Services,7.25  %,L +  6.25  %,08/04/25,€,37772,42846,36926,(2) (3),,,
33,Diligent Corporation,Professional Services,9.92  %,L +  6.25  %,08/04/25,24414,23653,24353,(2) (3),,,,
34,Diligent Corporation,Professional Services,9.44  %,L +  6.25  %,08/04/25,3100,1508,1542,(2) (3) (4),,,,
35,"Elemica Parent, Inc.",Chemicals,9.07  %,L +  5.50  %,09/18/25,6966,6616,6826,(2) (3),,,,
36,"Elemica Parent, Inc.",Chemicals,8.64  %,L +  5.50  %,09/18/25,1485,1455,1456,(2) (3),,,,
37,"Elemica Parent, Inc.",Chemicals,8.79  %,L +  5.50  %,09/18/25,1366,1314,1338,(2) (3),,,,
38,"Elemica Parent, Inc.",Chemicals,8.57  %,L +  5.50  %,09/18/25,930,678,688,(2) (3) (4),,,,
39,"Elemica Parent, Inc.",Chemicals,8.79  %,L +  5.50  %,09/18/25,556,545,545,(2) (3),,,,
40,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,8.63  %,S +  5.50  %,12/06/25,10396,10047,10058,(2) (3),,,,
41,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,9.17  %,P +  6.00  %,12/06/25,5682,5570,5569,(2) (3),,,,
42,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,8.63  %,S +  5.50  %,12/06/25,4890,4828,4731,(2) (3),,,,
43,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,8.63  %,S +  5.50  %,12/06/25,4480,4401,4335,(2) (3),,,,
44,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,S +  5.50  %,12/06/25,2269,(  74,),(  74,),(2) (3) (4),,,
45,"ESO Solutions, Inc",Health Care Technology,10.56  %,S +  7.00  %,05/03/27,39908,39259,39309,(2) (3),,,,
46,"ESO Solutions, Inc",Health Care Technology,S +  7.00  %,05/03/27,3620,(  56,),(  54,),(2) (3) (4),,,
47,Everest Clinical Research Corporation,Professional Services,S +  6.00  %,09/01/29,5800,—,—,(1) (2) (4),,,,,
48,"Experity, Inc.",Health Care Technology,9.42  %,L +  5.75  %,02/24/28,912,908,907,(2) (3),,,,
49,"Experity, Inc.",Health Care Technology,L +  5.75  %,02/24/28,81,—,—,(2) (3) (4),,,,,
50,Four Seasons Heating And Air Conditioning Inc,Diversified Consumer Services,8.49  %,L +  5.75  %,11/17/26,34073,33639,33476,(2) (3),,,,
51,Investment *#,Industry,Interest  Rate (+),Reference Rate  and Spread (+),Maturity,Par  (++),Cost,Fair  Value,Footnotes,,,,
52,Fullsteam Operations LLC,Diversified Financial Services,11.17  %,L +  7.50  % (Incl.  5.25  % PIK),10/04/27,$,58481,$,57138,$,57019.0,(2) (3),
53,Fullsteam Operations LLC,Diversified Financial Services,11.17  %,L +  7.50  % (Incl.  5.25  % PIK),10/04/27,22662,22122,22096,(2) (3),,,,
54,Fullsteam Operations LLC,Diversified Financial Services,11.17  %,L +  7.50  % (Incl.  5.25  % PIK),10/04/27,3380,1099,1094,(2) (3) (4),,,,
55,Fullsteam Operations LLC,Diversified Financial Services,L +  7.50  % (Incl.  5.25  % PIK),10/04/27,440,(  10,),(  11,),(2) (3) (4),,,
56,"Gainsight, Inc.",Software,9.56  %,L +  6.75  % PIK,07/30/27,43589,42982,41955,(2) (3),,,,
57,"Gainsight, Inc.",Software,L +  6.75  %,07/30/27,5320,(  75,),(  200,),(2) (3) (4),,,
58,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,10.12  %,L +  7.00  %,06/24/25,14738,14547,13411,(2) (3),,,,
59,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,10.12  %,L +  7.00  %,06/24/25,2586,2552,2353,(2) (3),,,,
60,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,10.12  %,L +  7.00  %,06/24/25,1880,1700,1554,(2) (3) (4),,,,
61,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,10.12  %,L +  7.00  %,06/24/25,964,947,877,(2) (3),,,,
62,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,10.25  %,L +  6.50  %,01/29/27,29145,28582,28417,(2),,,,
63,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,10.17  %,L +  6.00  %,01/29/27,3783,2229,2183,(2) (4),,,,
64,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,L +  6.50  %,01/29/27,2583,(  28,),(  65,),(2) (4),,,
65,"Governmentjobs.com, Inc. (dba NeoGov)",Software,8.62  %,L +  5.50  %,12/01/28,42175,42080,41437,(2) (3),,,,
66,"Governmentjobs.com, Inc. (dba NeoGov)",Software,L +  5.50  %,12/02/27,4710,(  10,),(  82,),(2) (3) (4),,,
67,"Governmentjobs.com, Inc. (dba NeoGov)",Software,L +  5.50  %,12/01/28,14718,(  16,),(  258,),(2) (3) (4),,,
68,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Diversified Financial Services,9.85  %,L +  5.75  %,05/22/26,24363,24125,23632,(2),,,,
69,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Diversified Financial Services,9.46  %,L +  5.75  %,05/22/26,982,677,658,(2) (4),,,,
70,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Diversified Financial Services,L +  5.75  %,05/22/26,1572,(  7,),(  47,),(2) (4),,,
71,"Halo Branded Solutions, Inc.",Commercial Services & Supplies,7.62  %,L +  4.50  %,06/30/25,6307,6279,5656,,,,,
72,"HealthEdge Software, Inc.",Health Care Technology,10.48  %,L +  7.00  %,04/09/26,35400,34804,34604,(2) (3),,,,
73,"HealthEdge Software, Inc.",Health Care Technology,10.48  %,L +  7.00  %,04/09/26,5030,2298,2185,(2) (3) (4),,,,
74,"HealthEdge Software, Inc.",Health Care Technology,L +  7.00  %,04/09/26,3800,(  62,),(  85,),(2) (3) (4),,,
75,"HealthEdge Software, Inc.",Health Care Technology,L +  7.00  %,04/09/26,9500,(  78,),(  214,),(2) (3) (4),,,
76,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,9.12  %,L +  6.00  %,12/15/26,19036,18784,18845,(2) (3),,,,
77,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,9.12  %,L +  6.00  %,12/15/26,14886,14762,14737,(2) (3),,,,
78,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,9.12  %,L +  6.00  %,12/15/26,7844,7717,7765,(2) (3),,,,
79,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,L +  6.00  %,12/15/26,2363,(  34,),(  24,),(2) (3) (4),,,
80,"Hollander Intermediate LLC (dba Bedding Acquisition, LLC",Household Products,11.89  %,S +  8.75  %,09/21/26,39800,38742,38705,(2),,,,
81,"Honor HN Buyer, Inc",Health Care Providers & Services,9.70  %,S +  6.00  %,10/15/27,24174,23754,23630,(2) (3),,,,
82,"Honor HN Buyer, Inc",Health Care Providers & Services,9.70  %,S +  6.00  %,10/15/27,15244,6851,6702,(2) (3) (4),,,,
83,"Honor HN Buyer, Inc",Health Care Providers & Services,S +  6.00  %,10/15/27,2802,(  47,),(  63,),(2) (3) (4),,,
84,"Honor HN Buyer, Inc",Health Care Providers & Services,S +  6.00  %,10/15/27,10000,(  98,),(  225,),(2) (3) (4),,,
85,HowlCO LLC (dba Lone Wolf),Real Estate Mgmt. & Development,8.90  %,L +  6.00  %,10/23/26,35046,34607,33995,(1) (2) (3),,,,
86,HowlCO LLC (dba Lone Wolf),Real Estate Mgmt. & Development,8.96  %,L +  6.00  %,10/23/26,11342,11249,11002,(1) (2) (3),,,,
87,HowlCO LLC (dba Lone Wolf),Real Estate Mgmt. & Development,9.14  %,L +  6.00  %,10/23/26,10750,10666,10428,(1) (2) (3),,,,
88,"HS4 AcquisitionCo, Inc. (dba HotSchedules & Fourth)","Hotels, Restaurants & Leisure",10.42  %,L +  6.75  %,07/09/25,56937,54184,55229,(2) (3),,,,
89,"HS4 AcquisitionCo, Inc. (dba HotSchedules & Fourth)","Hotels, Restaurants & Leisure",10.41  %,L +  6.75  %,07/09/25,4688,1271,1266,(2) (3) (4),,,,
90,"iCIMS, Inc.",Software,9.49  %,S +  6.75  %,08/18/28,44090,43330,43318,(2),,,,
91,"iCIMS, Inc.",Software,S +  6.75  %,08/18/28,11711,—,—,(2) (4),,,,,
92,"iCIMS, Inc.",Software,S +  6.75  %,08/18/28,4199,(  72,),(  73,),(2) (4),,,
93,"Intelligent Medical Objects, Inc.",Health Care Technology,7.65  %,S +  6.00  %,05/11/29,12525,12285,12275,(2) (3),,,,
94,"Intelligent Medical Objects, Inc.",Health Care Technology,8.72  %,S +  6.00  %,05/11/28,1490,151,149,(2) (3) (4),,,,
95,"Intelligent Medical Objects, Inc.",Health Care Technology,S +  6.00  %,05/11/29,2985,(  28,),(  60,),(2) (3) (4),,,
96,"Internet Truckstop Group, LLC (dba Truckstop)",Transportation Infrastructure,9.18  %,L +  5.50  %,04/02/25,51720,50116,51073,(2) (3),,,,
97,"Internet Truckstop Group, LLC (dba Truckstop)",Transportation Infrastructure,L +  5.50  %,04/02/25,4400,(  55,),(  55,),(2) (3) (4),,,
98,"Iracore International Holdings, Inc.",Energy Equipment & Services,12.75  %,L +  9.00  %,04/12/24,2361,2361,2337,^ (3),,,,
99,Jill Acquisition LLC (dba J. Jill),Specialty Retail,7.81  %,L +  5.00  %,05/08/24,5805,5634,5304,,,,,
100,Kaseya Inc.,IT Services,8.29  %,S +  5.75  %,06/25/29,18500,18231,18315,(2) (3),,,,
101,Kaseya Inc.,IT Services,S +  5.75  %,06/25/29,1100,(  8,),(  11,),(2) (3) (4),,,
102,Investment *#,Industry,Interest  Rate (+),Reference Rate  and Spread (+),Maturity,Par  (++),Cost,Fair  Value,Footnotes,,,,
103,Kaseya Inc.,IT Services,S +  5.75  %,06/25/29,$,1100,$,(  16,),$,(  11,),(2) (3) (4)
104,Kawa Solar Holdings Limited,Construction & Engineering,12/31/22,3917,3603,1289,^ (1) (3) (6),,,,,,
105,Kawa Solar Holdings Limited,Construction & Engineering,12/31/22,3318,800,—,^ (1) (3) (6),,,,,,
106,"LCG Vardiman Black, LLC (dba Specialty Dental Brands)",Health Care Providers & Services,9.70  %,S +  7.00  %,03/18/27,1000,629,628,(2) (4),,,,
107,"Lithium Technologies, Inc.",Interactive Media & Services,10.53  %,S +  8.00  %,01/03/24,89013,88336,87678,(2) (3),,,,
108,"Lithium Technologies, Inc.",Interactive Media & Services,10.53  %,S +  8.00  %,01/03/24,5110,2019,1967,(2) (3) (4),,,,
109,"LS Clinical Services Holdings, Inc (dba CATO)",Pharmaceuticals,9.82  %,L +  6.75  %,12/16/27,15281,14940,14899,(2) (3),,,,
110,"LS Clinical Services Holdings, Inc (dba CATO)",Pharmaceuticals,9.71  %,L +  6.75  %,12/16/26,2200,613,605,(2) (3) (4),,,,
111,"MedeAnalytics, Inc.",Health Care Technology,11.70  %,S +  8.00  % (incl.  1.50  % PIK),10/09/26,991,954,939,(2) (3),,,,
112,"MerchantWise Solutions, LLC (dba HungerRush)",Diversified Financial Services,9.31  %,S +  6.00  %,06/01/28,21691,21277,21257,(2) (3),,,,
113,"MerchantWise Solutions, LLC (dba HungerRush)",Diversified Financial Services,8.95  %,S +  6.00  %,06/01/28,2718,628,625,(2) (3) (4),,,,
114,"MerchantWise Solutions, LLC (dba HungerRush)",Diversified Financial Services,8.10  %,S +  6.00  %,06/01/28,5436,440,435,(2) (3) (4),,,,
115,"Mervin Manufacturing, Inc.",Leisure Products,10.62  %,L +  7.50  %,11/15/22,10586,10586,10560,(3),,,,
116,"Millstone Medical Outsourcing, LLC",Health Care Providers & Services,8.89  %,L +  5.25  %,12/15/27,10296,10113,10091,(2) (3),,,,
117,"Millstone Medical Outsourcing, LLC",Health Care Providers & Services,9.95  %,P +  4.50  %,12/15/27,2217,331,325,(2) (3) (4),,,,
118,"MMIT Holdings, LLC (dba Managed Markets Insight & Technology)",Health Care Technology,9.92  %,L +  6.25  %,09/15/27,65804,64678,64159,(2) (3),,,,
119,"MMIT Holdings, LLC (dba Managed Markets Insight & Technology)",Health Care Technology,9.92  %,L +  6.25  %,09/15/27,6861,6742,6689,(2) (3),,,,
120,"MMIT Holdings, LLC (dba Managed Markets Insight & Technology)",Health Care Technology,9.50  %,L +  6.25  %,09/15/27,5923,939,888,(2) (3) (4),,,,
121,MRI Software LLC,Real Estate Mgmt. & Development,9.17  %,L +  5.50  %,02/10/26,23278,22429,22493,,,,,
122,MRI Software LLC,Real Estate Mgmt. & Development,9.17  %,L +  5.50  %,02/10/26,6553,6527,6331,,,,,
123,MRI Software LLC,Real Estate Mgmt. & Development,L +  5.50  %,02/10/26,1612,(  26,),(  54,),(4),,,
124,"NFM & J, L.P. (dba the Facilities Group)",Professional Services,8.87  %,L +  5.75  %,11/30/27,17124,16821,16610,(2) (3),,,,
125,"NFM & J, L.P. (dba the Facilities Group)",Professional Services,8.86  %,L +  5.75  %,11/30/27,17376,11699,11439,(2) (3) (4),,,,
126,"NFM & J, L.P. (dba the Facilities Group)",Professional Services,7.15  %,L +  5.75  %,11/30/27,2992,397,359,(2) (3) (4),,,,
127,One GI LLC,Health Care Providers & Services,9.87  %,L +  6.75  %,12/22/25,22702,22385,21794,(2) (3),,,,
128,One GI LLC,Health Care Providers & Services,9.87  %,L +  6.75  %,12/22/25,12117,11916,11632,(2) (3),,,,
129,One GI LLC,Health Care Providers & Services,9.87  %,L +  6.75  %,12/22/25,9334,9205,8960,(2) (3),,,,
130,One GI LLC,Health Care Providers & Services,L +  6.75  %,12/22/25,3610,(  50,),(  144,),(2) (3) (4),,,
131,One GI LLC,Health Care Providers & Services,L +  6.75  %,12/22/25,6659,(  54,),(  266,),(2) (3) (4),,,
132,"Output Services Group, Inc.",Diversified Consumer Services,8.30  %,S +  5.25  %,06/29/26,3851,3842,2707,,,,,
133,"PDDS Holdco, Inc. (dba Planet DDS)",Health Care Technology,9.48  %,S +  6.75  %,07/18/28,24090,23621,23608,(2),,,,
134,"PDDS Holdco, Inc. (dba Planet DDS)",Health Care Technology,9.89  %,S +  6.75  %,07/18/28,2255,2233,2255,(2),,,,
135,"PDDS Holdco, Inc. (dba Planet DDS)",Health Care Technology,S +  6.75  %,07/18/28,2805,—,—,(2) (4),,,,,
136,"PDDS Holdco, Inc. (dba Planet DDS)",Health Care Technology,S +  6.75  %,07/18/28,2805,(  27,),(  28,),(2) (4),,,
137,"PDDS Holdco, Inc. (dba Planet DDS)",Health Care Technology,S +  6.75  %,07/18/28,1815,(  35,),(  36,),(2) (4),,,
138,Picture Head Midco LLC,Entertainment,9.90  %,S +  6.75  %,08/31/23,45421,44012,44513,(2) (3),,,,
139,"Pioneer Buyer I, LLC",Software,10.67  %,L +  7.00  % PIK,11/01/28,25567,25145,25056,(2) (3),,,,
140,"Pioneer Buyer I, LLC",Software,L +  7.00  %,11/01/27,4300,(  73,),(  86,),(2) (3) (4),,,
141,"PlanSource Holdings, Inc.",Health Care Technology,9.55  %,L +  6.25  %,04/22/25,56720,54665,56011,(2) (3),,,,
142,"PlanSource Holdings, Inc.",Health Care Technology,9.55  %,L +  6.25  %,04/22/25,905,894,893,(2) (3),,,,
143,"PlanSource Holdings, Inc.",Health Care Technology,9.55  %,L +  6.25  %,04/22/25,905,892,893,(2) (3),,,,
144,"PlanSource Holdings, Inc.",Health Care Technology,L +  6.25  %,04/22/25,7824,(  137,),(  98,),(2) (3) (4),,,
145,"Pluralsight, Inc",Professional Services,10.68  %,L +  8.00  %,04/06/27,75915,74690,74207,(2) (3),,,,
146,"Pluralsight, Inc",Professional Services,L +  8.00  %,04/06/27,5100,(  77,),(  115,),(2) (3) (4),,,
147,"Premier Care Dental Management, LLC",Health Care Providers & Services,8.87  %,L +  5.75  %,08/05/28,18682,18359,18309,(2) (3),,,,
148,"Premier Care Dental Management, LLC",Health Care Providers & Services,8.87  %,L +  5.75  %,08/05/28,10131,8400,8362,(2) (3) (4),,,,
149,"Premier Care Dental Management, LLC",Health Care Providers & Services,L +  5.75  %,08/05/27,3052,(  50,),(  61,),(2) (3) (4),,,
150,"Premier Imaging, LLC (dba Lucid Health)",Health Care Providers & Services,8.80  %,L +  5.75  %,01/02/25,27277,26284,26596,(2) (3),,,,
151,"Premier Imaging, LLC (dba Lucid Health)",Health Care Providers & Services,8.87  %,L +  5.75  %,01/02/25,7616,7530,7425,(2) (3),,,,
152,"Premier Imaging, LLC (dba Lucid Health)",Health Care Providers & Services,8.87  %,L +  5.75  %,01/02/25,6109,6038,5956,(2) (3),,,,
153,Investment *#,Industry,Interest  Rate (+),Reference Rate  and Spread (+),Maturity,Par  (++),Cost,Fair  Value,Footnotes,,,,
154,"Premier Imaging, LLC (dba Lucid Health)",Health Care Providers & Services,8.85  %,L +  5.75  %,01/02/25,$,5766,$,1591,$,1512.0,(2) (3) (4),
155,Professional Physical Therapy,Health Care Providers & Services,L +  8.50  % (incl.  2.50  % PIK),12/16/22,6020,5908,4349,(3) (5),,,,,
156,"Project Eagle Holdings, LLC (dba Exostar)",Aerospace & Defense,9.62  %,L +  6.50  %,07/06/26,35449,34865,34740,(2) (3),,,,
157,"Project Eagle Holdings, LLC (dba Exostar)",Aerospace & Defense,L +  6.50  %,07/06/26,75,(  1,),(  2,),(2) (3) (4),,,
158,Prophix Software Inc. (dba Pound Bidco),Diversified Financial Services,9.31  %,L +  6.50  %,01/30/26,18948,18680,18948,(1) (2) (3),,,,
159,Prophix Software Inc. (dba Pound Bidco),Diversified Financial Services,9.31  %,L +  6.50  %,01/30/26,7752,7627,7752,(1) (2) (3),,,,
160,Prophix Software Inc. (dba Pound Bidco),Diversified Financial Services,L +  6.50  %,01/30/26,3445,(  46,),—,(1) (2) (3) (4),,,,
161,"PT Intermediate Holdings III, LLC (dba Parts Town)",Trading Companies & Distributors,9.17  %,L +  5.50  %,11/01/28,22847,22642,22219,(2),,,,
162,"PT Intermediate Holdings III, LLC (dba Parts Town)",Trading Companies & Distributors,9.17  %,L +  5.50  %,11/01/28,2030,2011,1974,(2),,,,
163,"PT Intermediate Holdings III, LLC (dba Parts Town)",Trading Companies & Distributors,9.17  %,L +  5.50  %,11/01/28,1965,1947,1911,(2),,,,
164,"PT Intermediate Holdings III, LLC (dba Parts Town)",Trading Companies & Distributors,9.17  %,L +  5.50  %,11/01/28,1404,1391,1365,(2),,,,
165,"Purfoods, LLC",Health Care Providers & Services,9.16  %,L +  6.25  %,08/12/26,588,568,575,(2) (3),,,,
166,"Purfoods, LLC",Health Care Providers & Services,9.26  %,L +  6.25  %,08/12/26,397,390,388,(2) (3),,,,
167,"Qualawash Holdings, LLC",Commercial Services & Supplies,7.96  %,L +  5.50  %,08/31/26,11347,11191,11120,(2) (3),,,,
168,"Qualawash Holdings, LLC",Commercial Services & Supplies,8.49  %,L +  5.50  %,08/31/26,2856,1269,1240,(2) (3) (4),,,,
169,"Qualawash Holdings, LLC",Commercial Services & Supplies,L +  5.50  %,08/31/26,2859,(  39,),(  57,),(2) (3) (4),,,
170,"Riverpoint Medical, LLC",Health Care Equipment & Supplies,8.65  %,L +  5.00  %,06/21/25,21643,20897,21156,(2) (3),,,,
171,"Riverpoint Medical, LLC",Health Care Equipment & Supplies,8.65  %,L +  5.00  %,06/21/25,1639,1624,1602,(2) (3),,,,
172,"Riverpoint Medical, LLC",Health Care Equipment & Supplies,L +  5.00  %,06/21/25,4094,(  58,),(  92,),(2) (3) (4),,,
173,Rodeo Buyer Company (dba Absorb Software),Professional Services,9.37  %,L +  6.25  %,05/25/27,21167,20823,20796,(1) (2) (3),,,,
174,Rodeo Buyer Company (dba Absorb Software),Professional Services,L +  6.25  %,05/25/27,3387,(  53,),(  59,),(1) (2) (3) (4),,,
175,"Rubrik,Inc.",Software,10.25  %,S +  6.50  %,06/10/27,35173,34505,34470,(2) (3),,,,
176,"Rubrik,Inc.",Software,10.75  %,S +  7.00  %,06/10/27,4020,734,653,(2) (3) (4),,,,
177,"Smarsh, Inc.",Software,10.05  %,S +  6.50  %,02/16/29,26667,26419,26400,(3),,,,
178,"Smarsh, Inc.",Software,S +  6.50  %,02/16/29,1667,(  15,),(  17,),(3) (4),,,
179,"Smarsh, Inc.",Software,S +  6.50  %,02/16/29,6667,(  30,),(  67,),(3) (4),,,
180,"Southeast Mechanical, LLC (dba. SEM Holdings, LLC)",Diversified Consumer Services,9.15  %,S +  6.11  %,07/06/27,10773,10566,10558,(2),,,,
181,"Southeast Mechanical, LLC (dba. SEM Holdings, LLC)",Diversified Consumer Services,S +  6.11  %,07/06/27,1900,(  36,),(  38,),(2) (4),,,
182,"Southeast Mechanical, LLC (dba. SEM Holdings, LLC)",Diversified Consumer Services,S +  6.11  %,07/06/27,7400,(  71,),(  74,),(2) (4),,,
183,"SPay, Inc. (dba Stack Sports)",Interactive Media & Services,12.37  %,L +  9.25  % (incl.  3.50  % PIK),06/17/24,29723,28384,28237,(2) (3),,,,
184,"SPay, Inc. (dba Stack Sports)",Interactive Media & Services,12.06  %,L +  9.25  % (incl.  3.50  % PIK),06/17/24,2138,2034,2031,(2) (3),,,,
185,"SPay, Inc. (dba Stack Sports)",Interactive Media & Services,11.67  %,L +  9.25  % (incl.  3.50  % PIK),06/17/24,1067,1019,1014,(2) (3),,,,
186,"SpendMend, LLC",Health Care Providers & Services,8.63  %,S +  5.50  %,03/01/28,636,625,623,(2) (3),,,,
187,"SpendMend, LLC",Health Care Providers & Services,8.63  %,S +  5.50  %,03/01/28,277,109,106,(2) (3) (4),,,,
188,"SpendMend, LLC",Health Care Providers & Services,8.63  %,S +  5.50  %,03/01/28,83,10,9,(2) (3) (4),,,,
189,"StarCompliance Intermediate, LLC",Diversified Financial Services,10.42  %,L +  6.75  %,01/12/27,15600,15363,15366,(2) (3),,,,
190,"StarCompliance Intermediate, LLC",Diversified Financial Services,10.42  %,L +  6.75  %,01/12/27,2514,2471,2476,(2) (3),,,,
191,"StarCompliance Intermediate, LLC",Diversified Financial Services,9.87  %,L +  6.75  %,01/12/27,2500,589,588,(2) (3) (4),,,,
192,"Sundance Group Holdings, Inc. (dba NetDocuments)",Software,8.54  %,L +  6.25  %,07/02/27,41043,40516,40325,(2) (3),,,,
193,"Sundance Group Holdings, Inc. (dba NetDocuments)",Software,9.34  %,L +  6.25  %,07/02/27,4925,3304,3279,(2) (3) (4),,,,
194,"Sundance Group Holdings, Inc. (dba NetDocuments)",Software,L +  6.25  %,07/02/27,12313,(  76,),(  215,),(2) (3) (4),,,
195,"Sunstar Insurance Group, LLC",Insurance,9.69  %,S +  6.00  %,10/09/26,20533,17470,17237,(2) (3) (4),,,,
196,"Sunstar Insurance Group, LLC",Insurance,9.69  %,S +  6.00  %,10/09/26,4034,3985,3953,(2) (3),,,,
197,"Sunstar Insurance Group, LLC",Insurance,9.69  %,S +  6.00  %,10/09/26,339,333,332,(2) (3),,,,
