,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
16,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,S +  5.50  %,05/11/28,4460,(  41,),(  112,),(2) (3) (4),,
17,"Computer Services, Inc.",Diversified Financial Services,11.15  %,S +  6.75  %,11/15/29,1000,970,970,(2),,,
18,CORA Health Holdings Corp,Health Care Providers & Services,10.48  %,L +  5.75  %,06/15/27,22435,22172,19967,(2) (3),,,
19,CORA Health Holdings Corp,Health Care Providers & Services,10.31  %,L +  5.75  %,06/15/27,8895,328,(  598,),(2) (3) (4),,
20,CorePower Yoga LLC,Diversified Consumer Services,11.73  %,L +  7.00  % (incl.  5.00  % PIK),05/14/25,26267,24576,21474,(2) (3),,,
21,CorePower Yoga LLC,Diversified Consumer Services,11.72  %,L +  7.00  % (incl.  5.00  % PIK),05/14/25,1687,465,254,(2) (3) (4),,,
22,Coretrust Purchasing Group LLC,Diversified Financial Services,10.84  %,S +  6.75  %,10/01/29,774,752,751,(2) (3),,,
23,Coretrust Purchasing Group LLC,Diversified Financial Services,S +  6.75  %,10/01/29,113,(  3,),(  3,),(2) (3) (4),,
24,Coretrust Purchasing Group LLC,Diversified Financial Services,S +  6.75  %,10/01/29,113,(  2,),(  3,),(2) (3) (4),,
25,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,10.97  %,S +  6.75  %,11/01/28,914,887,886,(2),,,
26,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,10.97  %,S +  6.75  %,11/01/28,86,6,6,(2) (4),,,
27,DECA Dental Holdings LLC,Health Care Providers & Services,10.48  %,L +  5.75  %,08/28/28,21399,21037,20329,(2) (3),,,
28,DECA Dental Holdings LLC,Health Care Providers & Services,10.48  %,L +  5.75  %,08/28/28,7385,2172,1883,(2) (3) (4),,,
29,DECA Dental Holdings LLC,Health Care Providers & Services,10.48  %,L +  5.75  %,08/26/27,1711,1456,1397,(2) (3) (4),,,
30,Diligent Corporation,Professional Services,8.15  %,L +  6.25  %,08/04/25,€,37675,42831,40229,(2) (3),,
31,Diligent Corporation,Professional Services,10.63  %,L +  6.25  %,08/04/25,24352,23650,24291,(2) (3),,,
32,Diligent Corporation,Professional Services,10.63  %,L +  6.25  %,08/04/25,3100,892,922,(2) (3) (4),,,
33,"Elemica Parent, Inc.",Chemicals,10.74  %,L +  6.00  %,09/18/25,6948,6624,6670,(2) (3),,,
34,"Elemica Parent, Inc.",Chemicals,10.58  %,S +  6.00  %,09/18/25,1482,1454,1422,(2) (3),,,
35,"Elemica Parent, Inc.",Chemicals,10.68  %,S +  6.00  %,09/18/25,1362,1314,1308,(2) (3),,,
36,"Elemica Parent, Inc.",Chemicals,10.51  %,S +  6.00  %,09/18/25,930,903,893,(2) (3),,,
37,"Elemica Parent, Inc.",Chemicals,10.68  %,S +  6.00  %,09/18/25,555,545,532,(2) (3),,,
38,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,9.67  %,S +  5.25  %,12/06/25,10369,10044,10032,(2) (3),,,
39,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,9.75  %,S +  5.75  %,12/06/25,5682,5578,5569,(2) (3),,,
40,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,9.67  %,S +  5.25  %,12/06/25,4878,4820,4720,(2) (3),,,
41,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,9.67  %,S +  5.25  %,12/06/25,4469,4395,4324,(2) (3),,,
42,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,9.67  %,S +  5.25  %,12/06/25,2269,158,153,(2) (3) (4),,,
43,"ESO Solutions, Inc",Health Care Technology,11.59  %,S +  7.00  %,05/03/27,39908,39288,39309,(2) (3),,,
44,"ESO Solutions, Inc",Health Care Technology,S +  7.00  %,05/03/27,3620,(  53,),(  54,),(2) (3) (4),,
45,Everest Clinical Research Corporation,Professional Services,10.65  %,S +  6.00  %,11/06/26,5800,5685,5727,(1) (2) (3),,,
46,"Experity, Inc.",Health Care Technology,10.48  %,L +  5.75  %,02/24/28,912,908,898,(2) (3),,,
47,"Experity, Inc.",Health Care Technology,L +  5.75  %,02/24/28,81,—,(  1,),(2) (3) (4),,,
48,Fullsteam Operations LLC,Diversified Financial Services,12.23  %,L +  7.50  % (Incl.  5.25  % PIK),10/04/27,59503,58219,58016,(2) (3),,,
49,Fullsteam Operations LLC,Diversified Financial Services,12.23  %,L +  7.50  % (Incl.  5.25  % PIK),10/04/27,23045,22526,22468,(2) (3),,,
50,Fullsteam Operations LLC,Diversified Financial Services,12.23  %,L +  7.50  % (Incl.  5.25  % PIK),10/04/27,3380,1103,1094,(2) (3) (4),,,
51,Investment *#,Industry,Interest  Rate (+),Reference Rate  and Spread (+),Maturity,Par  (++),Cost,Fair  Value,Footnotes,,,
52,Fullsteam Operations LLC,Diversified Financial Services,L +  7.50  % (Incl.  5.25  % PIK),10/04/27,$,440,$,(  9,),(  11,),(2) (3) (4)
53,"Gainsight, Inc.",Software,11.16  %,L +  6.75  % PIK,07/30/27,44677,44096,43002,(2) (3),,,
54,"Gainsight, Inc.",Software,L +  6.75  %,07/30/27,5320,(  71,),(  200,),(2) (3) (4),,
55,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,12.98  %,S +  8.25  % (Incl.  3.75  % PIK),06/24/26,14834,14660,13944,(2) (3),,,
56,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,12.98  %,S +  8.25  % (Incl.  3.75  % PIK),06/24/26,2603,2572,2447,(2) (3),,,
57,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,12.98  %,S +  8.25  % (Incl.  3.75  % PIK),06/24/26,970,955,912,(2) (3),,,
58,GHA Buyer Inc. (dba Cedar Gate),Health Care Technology,S +  8.25  % (Incl.  3.75  % PIK),06/24/26,1880,(  21,),(  113,),(2) (3) (4),,
59,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,9.64  %,L +  5.50  %,01/29/27,29145,28609,28417,(2),,,
60,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,10.14  %,L +  6.00  %,01/29/27,3783,3722,3688,(2),,,
61,"GovDelivery Holdings, LLC (dba Granicus, Inc.)",Software,10.69  %,L +  6.50  %,01/29/27,2583,840,802,(2) (4),,,
62,"Governmentjobs.com, Inc. (dba NeoGov)",Software,9.88  %,L +  5.50  %,12/01/28,42069,41977,41333,(2) (3),,,
63,"Governmentjobs.com, Inc. (dba NeoGov)",Software,L +  5.50  %,12/02/27,4710,(  10,),(  82,),(2) (3) (4),,
64,"Governmentjobs.com, Inc. (dba NeoGov)",Software,L +  5.50  %,12/01/28,14718,(  16,),(  258,),(2) (3) (4),,
65,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Diversified Financial Services,9.92  %,L +  5.75  %,05/22/26,24566,24341,23707,(2),,,
66,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Diversified Financial Services,L +  5.75  %,05/22/26,982,(  10,),(  34,),(2) (4),,
67,"Halo Branded Solutions, Inc.",Commercial Services & Supplies,8.88  %,L +  4.50  %,06/30/25,6291,6264,5473,,,,
68,"HealthEdge Software, Inc.",Health Care Technology,11.74  %,L +  7.00  %,04/09/26,35400,34841,34603,(2) (3),,,
69,"HealthEdge Software, Inc.",Health Care Technology,11.74  %,L +  7.00  %,04/09/26,3299,3299,3224,(2) (3),,,
70,"HealthEdge Software, Inc.",Health Care Technology,L +  7.00  %,04/09/26,3800,(  58,),(  86,),(2) (3) (4),,
71,"HealthEdge Software, Inc.",Health Care Technology,L +  7.00  %,04/09/26,9500,(  72,),(  214,),(2) (3) (4),,
72,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,10.38  %,L +  6.00  %,12/15/26,18987,18748,18608,(2) (3),,,
73,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,10.38  %,L +  6.00  %,12/15/26,14849,14731,14552,(2) (3),,,
74,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,10.38  %,L +  6.00  %,12/15/26,7824,7703,7668,(2) (3),,,
75,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,L +  6.00  %,12/15/26,2363,(  32,),(  47,),(2) (3) (4),,
76,"Hollander Intermediate LLC (dba Bedding Acquisition, LLC",Household Products,13.19  %,S +  8.75  %,09/21/26,39551,38547,37079,(2) (3),,,
77,"Honor HN Buyer, Inc",Health Care Providers & Services,10.48  %,S +  5.75  %,10/15/27,24113,23711,23570,(2) (3),,,
78,"Honor HN Buyer, Inc",Health Care Providers & Services,10.48  %,S +  5.75  %,10/15/27,15226,6842,6685,(2) (3) (4),,,
79,"Honor HN Buyer, Inc",Health Care Providers & Services,S +  5.75  %,10/15/27,2802,(  45,),(  63,),(2) (3) (4),,
80,"Honor HN Buyer, Inc",Health Care Providers & Services,S +  5.75  %,10/15/27,10000,(  93,),(  225,),(2) (3) (4),,
81,HowlCO LLC (dba Lone Wolf),Real Estate Mgmt. & Development,10.57  %,L +  6.00  %,10/23/26,34957,34542,33209,(1) (2) (3),,,
82,HowlCO LLC (dba Lone Wolf),Real Estate Mgmt. & Development,10.69  %,L +  6.00  %,10/23/26,11313,11226,10747,(1) (2) (3),,,
83,HowlCO LLC (dba Lone Wolf),Real Estate Mgmt. & Development,10.73  %,L +  6.00  %,10/23/26,10723,10643,10187,(1) (2) (3),,,
84,"HS4 AcquisitionCo, Inc. (dba HotSchedules & Fourth)","Hotels, Restaurants & Leisure",11.14  %,L +  6.75  %,07/09/25,56793,54231,55089,(2) (3),,,
85,"HS4 AcquisitionCo, Inc. (dba HotSchedules & Fourth)","Hotels, Restaurants & Leisure",11.14  %,L +  6.75  %,07/09/25,4688,2220,2203,(2) (3) (4),,,
86,HumanState Limited (dba PayProp),Diversified Consumer Services,9.43  %,SN +  6.00  %,11/23/28,GBP,17000,20207,20244,(1) (2),,
87,HumanState Limited (dba PayProp),Diversified Consumer Services,SN +  6.00  %,11/23/28,GBP,2600,(  94,),(  47,),(1) (2) (4),
88,HumanState Limited (dba PayProp),Diversified Consumer Services,SN +  6.00  %,11/23/28,GBP,7270,(  188,),(  66,),(1) (2) (4),
89,"iCIMS, Inc.",Professional Services,11.52  %,S +  7.25  % (Incl.  3.88  % PIK),08/18/28,44090,43355,43318,(2) (3),,,
90,"iCIMS, Inc.",Professional Services,S +  7.25  % (Incl.  3.88  % PIK),08/18/28,4199,(  69,),(  73,),(2) (3) (4),,
91,"iCIMS, Inc.",Professional Services,S +  7.25  %,08/18/28,11711,—,(  205,),(2) (3) (4),,,
92,"Intelligent Medical Objects, Inc.",Health Care Technology,10.62  %,S +  6.00  %,05/11/29,12494,12261,12244,(2) (3),,,
93,"Intelligent Medical Objects, Inc.",Health Care Technology,10.61  %,S +  6.00  %,05/11/28,1490,256,253,(2) (3) (4),,,
94,"Intelligent Medical Objects, Inc.",Health Care Technology,S +  6.00  %,05/11/29,2985,(  27,),(  60,),(2) (3) (4),,
95,"Internet Truckstop Group, LLC (dba Truckstop)",Transportation Infrastructure,10.23  %,L +  5.50  %,04/02/25,51583,50126,50938,(2) (3),,,
96,"Internet Truckstop Group, LLC (dba Truckstop)",Transportation Infrastructure,L +  5.50  %,04/02/25,4400,(  50,),(  55,),(2) (3) (4),,
97,"Iracore International Holdings, Inc.",Energy Equipment & Services,13.75  %,L +  9.00  %,04/12/24,2361,2361,2337,^ (3),,,
98,"iWave Information Systems, Inc.",Software,11.22  %,S +  6.75  %,11/23/28,891,869,869,(1) (2),,,
99,"iWave Information Systems, Inc.",Software,S +  6.75  %,11/23/28,109,(  3,),(  3,),(1) (2) (4),,
100,Jill Acquisition LLC (dba J. Jill),Specialty Retail,9.41  %,L +  5.00  %,05/08/24,5785,5640,5311,,,,
101,Kaseya Inc.,IT Services,10.33  %,S +  5.75  %,06/25/29,18500,18238,18222,(2) (3),,,
102,Investment *#,Industry,Interest  Rate (+),Reference Rate  and Spread (+),Maturity,Par  (++),Cost,Fair  Value,Footnotes,,,
103,Kaseya Inc.,IT Services,S +  5.75  %,06/25/29,$,1100,$,(  15,),(  17,),(2) (3) (4)
104,Kaseya Inc.,IT Services,S +  5.75  %,06/25/29,1100,(  8,),(  17,),(2) (3) (4),,
105,Kawa Solar Holdings Limited,Construction & Engineering,12/31/23,3917,3603,1283,^ (1) (3) (7),,,,,
106,Kawa Solar Holdings Limited,Construction & Engineering,12/31/23,3318,800,—,^ (1) (3) (7),,,,,
107,"LCG Vardiman Black, LLC (dba Specialty Dental Brands)",Health Care Providers & Services,11.22  %,S +  7.00  %,03/18/27,998,871,870,(2) (3) (4),,,
108,"Lithium Technologies, Inc.",Interactive Media & Services,12.06  %,S +  8.00  %,01/03/24,89013,88464,86343,(2) (3),,,
109,"Lithium Technologies, Inc.",Interactive Media & Services,12.06  %,S +  8.00  %,01/03/24,5110,2023,1891,(2) (3) (4),,,
110,"LS Clinical Services Holdings, Inc (dba CATO)",Pharmaceuticals,11.48  %,L +  6.75  %,12/16/27,15243,14915,14824,(2) (3),,,
111,"LS Clinical Services Holdings, Inc (dba CATO)",Pharmaceuticals,11.18  %,L +  6.75  %,12/16/26,2200,2155,2139,(2) (3),,,
112,"MedeAnalytics, Inc.",Health Care Technology,S +  8.00  % (incl.  1.50  % PIK),10/09/26,1020,953,806,(2) (3) (5),,,,
113,"MerchantWise Solutions, LLC (dba HungerRush)",Diversified Financial Services,9.31  %,S +  6.00  %,06/01/28,21637,21238,20988,(2) (3),,,
114,"MerchantWise Solutions, LLC (dba HungerRush)",Diversified Financial Services,10.63  %,S +  6.00  %,06/01/28,5435,3537,3505,(2) (3) (4),,,
115,"MerchantWise Solutions, LLC (dba HungerRush)",Diversified Financial Services,S +  6.00  %,06/01/28,2718,(  49,),(  82,),(2) (3) (4),,
116,"Millstone Medical Outsourcing, LLC",Health Care Providers & Services,10.87  %,S +  6.00  %,12/15/27,10245,10069,10040,(2) (3),,,
117,"Millstone Medical Outsourcing, LLC",Health Care Providers & Services,12.5  %,P +  5.00  %,12/15/27,2217,407,399,(2) (3) (4),,,
118,MRI Software LLC,Real Estate Mgmt. & Development,10.23  %,L +  5.50  %,02/10/26,23219,22424,22261,,,,
119,MRI Software LLC,Real Estate Mgmt. & Development,10.23  %,L +  5.50  %,02/10/26,6536,6512,6266,,,,
120,MRI Software LLC,Real Estate Mgmt. & Development,L +  5.50  %,02/10/26,1612,(  24,),(  66,),(4),,
121,"NFM & J, L.P. (dba the Facilities Group)",Professional Services,10.13  %,L +  5.75  %,11/30/27,17080,16791,16568,(2) (3),,,
122,"NFM & J, L.P. (dba the Facilities Group)",Professional Services,10.27  %,L +  5.75  %,11/30/27,17340,14005,13758,(2) (3) (4),,,
123,"NFM & J, L.P. (dba the Facilities Group)",Professional Services,L +  5.75  %,11/30/27,2992,(  49,),(  90,),(2) (3) (4),,
124,One GI LLC,Health Care Providers & Services,11.13  %,L +  6.75  %,12/22/25,22644,22349,21512,(2) (3),,,
125,One GI LLC,Health Care Providers & Services,11.13  %,L +  6.75  %,12/22/25,12086,11899,11482,(2) (3),,,
126,One GI LLC,Health Care Providers & Services,11.13  %,L +  6.75  %,12/22/25,9310,9190,8844,(2) (3),,,
127,One GI LLC,Health Care Providers & Services,11.07  %,L +  6.75  %,12/22/25,6659,6500,6282,(2) (3) (4),,,
128,One GI LLC,Health Care Providers & Services,L +  6.75  %,12/22/25,3610,(  46,),(  180,),(2) (3) (4),,
129,"Output Services Group, Inc.",Diversified Consumer Services,9.80  %,S +  5.25  % (Incl.  1.50  % PIK),06/29/26,3855,3847,2593,,,,
130,"PDDS Holdco, Inc. (dba Planet DDS)",Health Care Technology,12.54  %,S +  7.50  %,07/18/28,24090,23636,23608,(2) (3),,,
131,"PDDS Holdco, Inc. (dba Planet DDS)",Health Care Technology,12.54  %,S +  7.50  %,07/18/28,2255,2234,2210,(2) (3),,,
132,"PDDS Holdco, Inc. (dba Planet DDS)",Health Care Technology,12.53  %,S +  7.50  %,07/18/28,2805,1297,1241,(2) (3) (4),,,
133,"PDDS Holdco, Inc. (dba Planet DDS)",Health Care Technology,S +  6.75  %,07/18/28,1815,(  34,),(  36,),(2) (3) (4),,
134,"PDDS Holdco, Inc. (dba Planet DDS)",Health Care Technology,S +  6.75  %,07/18/28,2805,(  26,),(  56,),(2) (3) (4),,
135,Picture Head Midco LLC,Entertainment,11.11  %,S +  6.75  %,08/31/23,45307,44272,44401,(2) (3),,,
136,"Pioneer Buyer I, LLC",Software,11.72  %,L +  7.00  % PIK,11/01/28,26257,25850,25732,(2) (3),,,
137,"Pioneer Buyer I, LLC",Software,L +  7.00  %,11/01/27,4300,(  70,),(  86,),(2) (3) (4),,
138,"PlanSource Holdings, Inc.",Health Care Technology,9.55  %,L +  6.25  %,04/22/25,56720,54845,56011,(2) (3),,,
139,"PlanSource Holdings, Inc.",Health Care Technology,9.55  %,L +  6.25  %,04/22/25,905,895,893,(2) (3),,,
140,"PlanSource Holdings, Inc.",Health Care Technology,9.55  %,L +  6.25  %,04/22/25,905,895,893,(2) (3),,,
141,"PlanSource Holdings, Inc.",Health Care Technology,L +  6.25  %,04/22/25,7824,(  124,),(  98,),(2) (3) (4),,
142,"Pluralsight, Inc",Professional Services,11.83  %,L +  8.00  %,04/06/27,75915,74744,74207,(2) (3),,,
143,"Pluralsight, Inc",Professional Services,12.36  %,L +  8.00  %,04/06/27,5100,2477,2435,(2) (3) (4),,,
144,"PPT Management Holdings, LLC.",Health Care Providers & Services,L +  8.50  % (incl.  2.50  % PIK),01/30/23,6345,5908,4521,(3) (5),,,,
145,"PPT Management Holdings, LLC.",Health Care Providers & Services,L +  5.50  %,01/30/23,123,—,(  35,),(3) (4),,,
146,"Premier Care Dental Management, LLC",Health Care Providers & Services,9.88  %,L +  5.50  %,08/05/28,18635,18323,18076,(2) (3),,,
147,"Premier Care Dental Management, LLC",Health Care Providers & Services,9.88  %,L +  5.50  %,08/05/28,10110,8384,8240,(2) (3) (4),,,
148,"Premier Care Dental Management, LLC",Health Care Providers & Services,9.73  %,L +  5.50  %,08/05/27,3052,970,926,(2) (3) (4),,,
149,"Premier Imaging, LLC (dba Lucid Health)",Health Care Providers & Services,10.13  %,L +  5.75  %,01/02/25,27277,26383,26596,(2) (3),,,
150,"Premier Imaging, LLC (dba Lucid Health)",Health Care Providers & Services,10.13  %,L +  5.75  %,01/02/25,7616,7538,7425,(2) (3),,,
151,"Premier Imaging, LLC (dba Lucid Health)",Health Care Providers & Services,10.13  %,L +  5.75  %,01/02/25,6093,6030,5941,(2) (3),,,
152,"Premier Imaging, LLC (dba Lucid Health)",Health Care Providers & Services,10.13  %,L +  5.75  %,01/02/25,5762,1594,1508,(2) (3) (4),,,
153,Investment *#,Industry,Interest  Rate (+),Reference Rate  and Spread (+),Maturity,Par  (++),Cost,Fair  Value,Footnotes,,,
154,"Project Eagle Holdings, LLC (dba Exostar)",Aerospace & Defense,10.64  %,L +  6.25  %,07/06/2  6,$,35359,$,34809,34652,(2) (3),
155,"Project Eagle Holdings, LLC (dba Exostar)",Aerospace & Defense,L +  6.50  %,07/06/26,75,(  1,),(  2,),(2) (3) (4),,
156,Prophix Software Inc. (dba Pound Bidco),Diversified Financial Services,10.67  %,L +  6.50  %,01/30/26,18948,18697,18711,(1) (2) (3),,,
157,Prophix Software Inc. (dba Pound Bidco),Diversified Financial Services,10.67  %,L +  6.50  %,01/30/26,7752,7635,7655,(1) (2) (3),,,
158,Prophix Software Inc. (dba Pound Bidco),Diversified Financial Services,L +  6.50  %,01/30/26,3445,(  43,),(  43,),(1) (2) (3) (4),,
159,"PT Intermediate Holdings III, LLC (dba Parts Town)",Trading Companies & Distributors,10.23  %,L +  5.50  %,11/01/28,22790,22592,21992,(2),,,
160,"PT Intermediate Holdings III, LLC (dba Parts Town)",Trading Companies & Distributors,10.23  %,L +  5.50  %,11/01/28,2025,2006,1954,(2),,,
161,"PT Intermediate Holdings III, LLC (dba Parts Town)",Trading Companies & Distributors,10.23  %,L +  5.50  %,11/01/28,1960,1943,1892,(2),,,
162,"PT Intermediate Holdings III, LLC (dba Parts Town)",Trading Companies & Distributors,10.23  %,L +  5.50  %,11/01/28,1400,1388,1351,(2),,,
163,"Purfoods, LLC",Health Care Providers & Services,10.90  %,L +  6.25  %,08/12/26,587,568,573,(2) (3),,,
164,"Purfoods, LLC",Health Care Providers & Services,10.88  %,L +  6.25  %,08/12/26,396,390,387,(2) (3),,,
165,"Qualawash Holdings, LLC",Commercial Services & Supplies,9.44  %,L +  5.50  %,08/31/26,11317,11170,11091,(2) (3),,,
166,"Qualawash Holdings, LLC",Commercial Services & Supplies,9.89  %,L +  5.50  %,08/31/26,2852,2323,2295,(2) (3) (4),,,
167,"Qualawash Holdings, LLC",Commercial Services & Supplies,L +  5.50  %,08/31/26,2859,(  36,),(  57,),(2) (3) (4),,
168,"Riverpoint Medical, LLC",Health Care Equipment & Supplies,9.73  %,S +  5.00  %,06/21/25,21643,20957,21156,(2) (3),,,
169,"Riverpoint Medical, LLC",Health Care Equipment & Supplies,9.73  %,S +  5.00  %,06/21/25,1639,1625,1602,(2) (3),,,
170,"Riverpoint Medical, LLC",Health Care Equipment & Supplies,S +  5.00  %,06/21/25,4094,(  52,),(  92,),(2) (3) (4),,
171,Rodeo Buyer Company (dba Absorb Software),Professional Services,10.63  %,L +  6.25  %,05/25/27,21167,20838,20796,(1) (2) (3),,,
172,Rodeo Buyer Company (dba Absorb Software),Professional Services,10.49  %,L +  6.25  %,05/25/27,3387,289,279,(1) (2) (3) (4),,,
173,"Rubrik,Inc.",Software,10.75  %,S +  6.50  %,06/10/27,35173,34533,34470,(2) (3),,,
174,"Rubrik,Inc.",Software,11.45  %,S +  7.00  %,06/10/27,4020,1709,1629,(2) (3) (4),,,
175,"Smarsh, Inc.",Software,11.29  %,S +  6.50  %,02/16/29,26667,26426,26400,(3),,,
176,"Smarsh, Inc.",Software,11.29  %,S +  6.50  %,02/16/29,6667,3287,3267,(3) (4),,,
177,"Smarsh, Inc.",Software,S +  6.50  %,02/16/29,1667,(  15,),(  17,),(3) (4),,
178,"Southeast Mechanical, LLC (dba. SEM Holdings, LLC)",Diversified Consumer Services,10.44  %,S +  6.00  %,07/06/27,10746,10548,10531,^ (2) (3),,,
179,"Southeast Mechanical, LLC (dba. SEM Holdings, LLC)",Diversified Consumer Services,S +  6.00  %,07/06/27,1900,(  34,),(  38,),^ (2) (3) (4),,
180,"Southeast Mechanical, LLC (dba. SEM Holdings, LLC)",Diversified Consumer Services,S +  6.00  %,07/06/27,7400,(  67,),(  148,),^ (2) (3) (4),,
181,"SPay, Inc. (dba Stack Sports)",Interactive Media & Services,13.66  %,L +  9.25  % (incl.  3.50  % PIK),06/17/24,29750,28546,28263,(2) (3),,,
182,"SPay, Inc. (dba Stack Sports)",Interactive Media & Services,13.66  %,L +  9.25  % (incl.  3.50  % PIK),06/17/24,2157,2062,2049,(2) (3),,,
183,"SPay, Inc. (dba Stack Sports)",Interactive Media & Services,13.68  %,L +  9.25  % (incl.  3.50  % PIK),06/17/24,1074,1032,1021,(2) (3),,,
184,"SpendMend, LLC",Health Care Providers & Services,10.17  %,S +  5.75  %,03/01/28,634,624,618,(2) (3),,,
185,"SpendMend, LLC",Health Care Providers & Services,10.17  %,S +  5.75  %,03/01/28,277,109,105,(2) (3) (4),,,
186,"SpendMend, LLC",Health Care Providers & Services,10.17  %,S +  5.75  %,03/01/28,83,10,9,(2) (3) (4),,,
187,"Spotless Brands, LLC",Diversified Consumer Services,10.92  %,S +  6.50  %,07/25/28,217,210,210,(2),,,
188,"Spotless Brands, LLC",Diversified Consumer Services,S +  6.50  %,07/25/28,33,—,(  1,),(2) (4),,,
189,"StarCompliance Intermediate, LLC",Diversified Financial Services,11.48  %,L +  6.75  %,01/12/27,15600,15374,15366,(2) (3),,,
190,"StarCompliance Intermediate, LLC",Diversified Financial Services,11.48  %,L +  6.75  %,01/12/27,2514,2473,2476,(2) (3),,,
191,"StarCompliance Intermediate, LLC",Diversified Financial Services,11.14  %,L +  6.75  %,01/12/27,2500,591,587,(2) (3) (4),,,
192,"Sundance Group Holdings, Inc. (dba NetDocuments)",Software,10.75  %,S +  6.25  %,07/02/27,41043,40538,40017,(2) (3),,,
193,"Sundance Group Holdings, Inc. (dba NetDocuments)",Software,10.75  %,S +  6.25  %,07/02/27,12313,12121,12005,(2) (3),,,
194,"Sundance Group Holdings, Inc. (dba NetDocuments)",Software,S +  6.25  %,07/02/27,4925,(  58,),(  123,),(2) (3) (4),,
195,"Sunstar Insurance Group, LLC",Insurance,10.73  %,S +  6.00  %,10/09/26,20533,17480,17237,(2) (3) (4),,,
196,"Sunstar Insurance Group, LLC",Insurance,10.73  %,S +  6.00  %,10/09/26,4034,3988,3953,(2) (3),,,
197,"Sunstar Insurance Group, LLC",Insurance,10.73  %,S +  6.00  %,10/09/26,339,334,332,(2) (3),,,
198,"Sunstar Insurance Group, LLC",Insurance,S +  6.00  %,10/09/26,374,(  6,),(  7,),(2) (3) (4),,
