,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
41,Unsecured Debt -  0.00  %,,,,,,,,,,,,
42,Conergy Asia & ME Pte. LTD.,Construction & Engineering,06/30/24,$,1266,$,1055,$,—,(6) (8) (10) (12),,,
43,Total Unsecured Debt,1055,—,,,,,,,,,,
44,Total Singapore,$,1055,$,—,,,,,,,,
45,Investment  (1)(5),Industry  (2),Interest  Rate  (3),Reference Rate  and Spread  (3),Maturity,Par  (4),Cost,Fair  Value,Footnotes,,,,
46,United Kingdom -  2.61  %,,,,,,,,,,,,
47,1st Lien/Senior Secured Debt -  2.61  %,,,,,,,,,,,,
48,Clearcourse Partnership Acquireco Finance Limited,IT Services,13.69  %,SN +  8.50  % (Incl.  8.50  % PIK),07/25/28,GBP,13954,$,16528,$,17297,(6) (7) (8),
49,Clearcourse Partnership Acquireco Finance Limited,IT Services,13.69  %,SN +  8.50  % (Incl.  8.50  % PIK),07/25/28,GBP,11990,7108,7307,(6) (7) (8) (9),,,
50,Bigchange Group Limited,Software,11.19  %,SN +  6.00  %,12/23/26,GBP,11990,15875,14977,(6) (7) (8),,,
51,Bigchange Group Limited,Software,11.19  %,SN +  6.00  %,12/23/26,GBP,1848,2351,2309,(6) (7) (8),,,
52,Bigchange Group Limited,Software,SN +  6.00  %,12/23/26,GBP,2400,(  41,),(  61,),(6) (7) (8) (9),,
53,Total 1st Lien/Senior Secured Debt,41821,41829,,,,,,,,,,
54,Total United Kingdom,$,41821,$,41829,,,,,,,,
55,United States -  198.50  %,,,,,,,,,,,,
56,1st Lien/Senior Secured Debt -  186.10  %,,,,,,,,,,,,
57,Frontgrade Technologies Holdings Inc.,Aerospace & Defense,12.10  %,S +  6.75  %,01/09/30,$,743,$,728,$,728,(7) (8),
58,Frontgrade Technologies Holdings Inc.,Aerospace & Defense,12.10  %,S +  6.75  %,01/09/30,972,946,953,(7) (8),,,,
59,Frontgrade Technologies Holdings Inc.,Aerospace & Defense,S +  6.75  %,0  1/09/28,250,(  5,),(  5,),(7) (8) (9),,,
60,"Thrasio, LLC",Broadline Retail,S +  7.00  %,12/18/26,38832,38379,22911,(7) (8) (13),,,,,
61,"Acuity Specialty Products, Inc. (dba Zep Inc.)",Chemicals,9.35  %,S +  4.00  %,10/02/28,53049,53049,49999,(7) (8),,,,
62,"Elemica Parent, Inc.",Chemicals,11.02  %,S +  5.50  %,09/18/25,6876,6660,6687,(7) (8),,,,
63,"Elemica Parent, Inc.",Chemicals,11.01  %,S +  5.50  %,09/18/25,1467,1448,1426,(7) (8),,,,
64,"Elemica Parent, Inc.",Chemicals,11.03  %,S +  5.50  %,09/18/25,1348,1317,1311,(7) (8),,,,
65,"Elemica Parent, Inc.",Chemicals,11.02  %,S +  5.50  %,09/18/25,930,912,904,(7) (8),,,,
66,"Elemica Parent, Inc.",Chemicals,11.03  %,S +  5.50  %,09/18/25,549,542,534,(7) (8),,,,
67,Formulations Parent Corporation (dba Chase Corp),Chemicals,11.12  %,S +  5.75  %,11/15/30,5013,4914,4912,(7),,,,
68,Formulations Parent Corporation (dba Chase Corp),Chemicals,S +  5.75  %,11/15/29,835,(  16,),(  17,),(7) (9),,,
69,"3SI Security Systems, Inc.",Commercial Services & Supplies,11.52  %,S +  6.00  %,12/16/26,13250,13131,12720,(8),,,,
70,"3SI Security Systems, Inc.",Commercial Services & Supplies,11.52  %,S +  6.00  %,12/16/26,2018,1961,1937,(8),,,,
71,"ASM Buyer, Inc.",Commercial Services & Supplies,S +  6.00  %,01/29/28,4189,—,—,(7) (9),,,,,
72,"ASM Buyer, Inc.",Commercial Services & Supplies,S +  6.00  %,01/29/27,541,—,—,(7) (9),,,,,
73,"ASM Buyer, Inc.",Commercial Services & Supplies,S +  6.00  %,01/29/28,270,—,—,(7) (9),,,,,
74,"Halo Branded Solutions, Inc.",Commercial Services & Supplies,9.96  %,S +  4.50  %,06/30/25,6224,6208,4540,,,,,
75,Superior Environmental Solutions,Commercial Services & Supplies,11.96  %,S +  6.50  %,08/01/29,3990,3895,3910,(7) (8),,,,
76,Superior Environmental Solutions,Commercial Services & Supplies,11.96  %,S +  6.50  %,08/01/29,400,111,112,(7) (8) (9),,,,
77,Superior Environmental Solutions,Commercial Services & Supplies,S +  6.50  %,08/01/29,600,(  7,),(  12,),(7) (8) (9),,,
78,Sweep Purchaser LLC,Commercial Services & Supplies,11.20  %,S +  5.75  %,11/30/26,27821,27517,20866,(7) (8),,,,
79,Sweep Purchaser LLC,Commercial Services & Supplies,11.23  %,S +  5.75  %,11/30/26,8832,8734,6624,(7) (8),,,,
80,Sweep Purchaser LLC,Commercial Services & Supplies,11.23  %,S +  5.75  %,11/30/26,7082,7000,5312,(7) (8),,,,
81,Sweep Purchaser LLC,Commercial Services & Supplies,11.23  %,S +  5.75  %,11/30/26,4920,4856,3690,(7) (8),,,,
82,Sweep Purchaser LLC,Commercial Services & Supplies,11.23  %,S +  5.75  %,11/30/26,4541,4403,3315,(7) (8) (9),,,,
83,UP Acquisition Corp. (dba Unified Power),Commercial Services & Supplies,11.38  %,S +  6.00  %,10/31/29,12170,11901,11896,(7),,,,
84,UP Acquisition Corp. (dba Unified Power),Commercial Services & Supplies,S +  6.00  %,10/31/29,1902,(  42,),(  43,),(7) (9),,,
85,"VRC Companies, LLC (dba Vital Records Control)",Commercial Services & Supplies,11.14  %,S +  5.50  %,06/29/27,32251,31941,31445,(7) (8),,,,
86,"VRC Companies, LLC (dba Vital Records Control)",Commercial Services & Supplies,P +  4.50  %,06/29/27,944,(  8,),(  24,),(7) (8) (9),,,
87,"Superman Holdings, LLC (dba Foundation Software)",Construction & Engineering,11.47  %,S +  6.13  %,08/31/27,31161,30722,30615,(7) (8),,,,
88,"Superman Holdings, LLC (dba Foundation Software)",Construction & Engineering,11.47  %,S +  6.13  %,08/31/27,4017,3930,3947,(7) (8),,,,
89,"Superman Holdings, LLC (dba Foundation Software)",Construction & Engineering,11.47  %,S +  6.13  %,08/31/27,943,916,926,(7) (8),,,,
90,"Superman Holdings, LLC (dba Foundation Software)",Construction & Engineering,S +  6.13  %,08/31/26,122,(  1,),(  2,),(7) (8) (9),,,
91,"Superman Holdings, LLC (dba Foundation Software)",Construction & Engineering,S +  6.13  %,08/31/27,952,(  10,),(  17,),(7) (8) (9),,,
92,Blast Bidco Inc. (dba Bazooka Candy Brands),Consumer Staples Distribution & Retail,11.35  %,S +  6.00  %,10/04/30,4478,4369,4366,(7),,,,
93,Investment  (1)(5),Industry  (2),Interest  Rate  (3),Reference Rate  and Spread  (3),Maturity,Par  (4),Cost,Fair  Value,Footnotes,,,,
94,Blast Bidco Inc. (dba Bazooka Candy Brands),Consumer Staples Distribution & Retail,S +  6.00  %,10/05/29,$,522,$,(  13,),$,(  13,),(7) (9)
95,"A Place For Mom, Inc.",Diversified Consumer Services,9.97  %,S +  4.50  %,02/10/26,7233,7221,6510,,,,,
96,Assembly Intermediate LLC,Diversified Consumer Services,11.45  %,S +  6.00  %,10/19/27,43991,43377,43661,(7) (8),,,,
97,Assembly Intermediate LLC,Diversified Consumer Services,11.45  %,S +  6.00  %,10/19/27,10998,7565,7616,(7) (8) (9),,,,
98,Assembly Intermediate LLC,Diversified Consumer Services,S +  6.00  %,10/19/27,4399,(  57,),(  33,),(7) (8) (9),,,
99,CorePower Yoga LLC,Diversified Consumer Services,11.36  %,S +  6.00  % (Incl.  1.25  % PIK),05/14/25,27308,26290,22939,(7) (8),,,,
100,CorePower Yoga LLC,Diversified Consumer Services,S +  6.00  % (Incl.  1.25  % PIK),05/14/25,1687,(  52,),(  270,),(7) (8) (9),,,
101,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,11.86  %,S +  6.50  %,11/01/28,905,881,896,(7) (8),,,,
102,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,11.96  %,S +  6.50  %,11/01/28,86,7,8,(7) (8) (9),,,,
103,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,11.36  %,S +  6.00  %,12/15/26,18794,18608,18230,(7) (8),,,,
104,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,11.36  %,S +  6.00  %,12/15/26,14699,14607,14258,(7) (8),,,,
105,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,11.36  %,S +  6.00  %,12/15/26,7745,7651,7512,(7) (8),,,,
106,"Helios Buyer, Inc. (dba Heartland)",Diversified Consumer Services,S +  6.00  %,12/15/26,2363,(  24,),(  71,),(7) (8) (9),,,
107,"Southeast Mechanical, LLC (dba. SEM Holdings, LLC)",Diversified Consumer Services,11.47  %,S +  6.00  %,07/06/27,10638,10478,10478,(7) (8) (10),,,,
108,"Southeast Mechanical, LLC (dba. SEM Holdings, LLC)",Diversified Consumer Services,11.47  %,S +  6.00  %,07/06/27,7400,3796,3774,(7) (8) (9) (10),,,,
109,"Southeast Mechanical, LLC (dba. SEM Holdings, LLC)",Diversified Consumer Services,S +  6.00  %,0  7/06/27,1900,(  27,),(  29,),(7) (8) (9) (10),,,
110,"Spotless Brands, LLC",Diversified Consumer Services,12.27  %,S +  6.75  %,07/25/28,214,209,211,(7) (8),,,,
111,"Spotless Brands, LLC",Diversified Consumer Services,12.25  %,S +  6.75  %,07/25/28,33,32,33,(7) (8),,,,
112,"VASA Fitness Buyer, Inc.",Diversified Consumer Services,13.33  %,S +  7.88  % (Incl.  0.38  % PIK),08/14/28,4162,4024,4078,(7) (8),,,,
113,"VASA Fitness Buyer, Inc.",Diversified Consumer Services,S +  7.88  % (Incl.  0.38  % PIK),08/14/28,119,(  4,),(  2,),(7) (8) (9),,,
114,"VASA Fitness Buyer, Inc.",Diversified Consumer Services,S +  7.88  % (Incl.  0.38  % PIK),08/14/28,714,(  12,),(  14,),(7) (8) (9),,,
115,Whitewater Holding Company LLC,Diversified Consumer Services,11.25  %,S +  5.75  %,12/21/27,17169,16922,16825,(7) (8),,,,
116,Whitewater Holding Company LLC,Diversified Consumer Services,11.28  %,S +  5.75  %,12/21/27,5763,5677,5648,(7) (8),,,,
117,Whitewater Holding Company LLC,Diversified Consumer Services,11.25  %,S +  5.75  %,12/21/27,5727,5644,5612,(7) (8),,,,
118,Whitewater Holding Company LLC,Diversified Consumer Services,11.52  %,S +  6.00  %,12/21/27,2689,2074,2079,(7) (8) (9),,,,
119,Whitewater Holding Company LLC,Diversified Consumer Services,11.26  %,S +  5.75  %,12/21/27,2340,495,480,(7) (8) (9),,,,
120,"Iracore International Holdings, Inc.",Energy Equipment & Services,14.50  %,S +  9.00  %,04/12/24,2361,2361,2337,(8) (10),,,,
121,"Checkmate Finance Merger Sub, LLC",Entertainment,11.95  %,S +  6.50  %,12/31/27,30865,30415,30248,(7) (8),,,,
122,"Checkmate Finance Merger Sub, LLC",Entertainment,S +  6.50  %,12/31/27,3140,(  42,),(  63,),(7) (8) (9),,,
123,Picture Head Midco LLC,Entertainment,12.89  %,S +  7.25  %,12/31/24,44913,44507,43117,(7) (8) (14),,,,
124,"Admiral Buyer, Inc. (dba Fidelity Payment Services)",Financial Services,10.85  %,S +  5.50  %,05/08/28,26129,25723,25999,(7) (8),,,,
125,"Admiral Buyer, Inc. (dba Fidelity Payment Services)",Financial Services,S +  5.50  %,05/08/28,2530,(  37,),(  13,),(7) (8) (9),,,
126,"Admiral Buyer, Inc. (dba Fidelity Payment Services)",Financial Services,S +  5.50  %,05/08/28,7120,(  52,),(  36,),(7) (8) (9),,,
127,"Aria Systems, Inc.",Financial Services,13.47  %,S +  8.00  %,06/30/26,26880,26613,26073,(7) (8),,,,
128,"BSI3 Menu Buyer, Inc (dba Kydia)",Financial Services,11.47  %,S +  6.00  %,01/25/28,962,950,895,(7) (8),,,,
129,"BSI3 Menu Buyer, Inc (dba Kydia)",Financial Services,S +  6.00  %,01/25/28,38,—,(  3,),(7) (8) (9),,,,
130,"Computer Services, Inc.",Financial Services,12.13  %,S +  6.75  %,11/15/29,993,966,983,(7) (8),,,,
131,Coretrust Purchasing Group LLC,Financial Services,12.11  %,S +  6.75  %,10/01/29,767,747,757,(7) (8),,,,
132,Coretrust Purchasing Group LLC,Financial Services,S +  6.75  %,10/01/29,113,(  3,),(  1,),(7) (8) (9),,,
133,Coretrust Purchasing Group LLC,Financial Services,S +  6.75  %,10/01/29,113,(  1,),(  1,),(7) (8) (9),,,
134,Fullsteam Operations LLC,Financial Services,13.78  %,S +  8.25  %,11/27/29,34889,33692,33843,(7),,,,
135,Fullsteam Operations LLC,Financial Services,13.78  %,S +  8.25  %,11/27/29,10979,3102,3158,(7) (9),,,,
136,Fullsteam Operations LLC,Financial Services,S +  8.25  %,11/27/29,1952,(  58,),(  59,),(7) (9),,,
137,Fullsteam Operations LLC,Financial Services,S +  8.25  %,11/27/29,4880,(  72,),(  73,),(7) (9),,,
138,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Financial Services,11.00  %,S +  5.50  %,05/22/26,24314,24148,24010,(7),,,,
139,"GS AcquisitionCo, Inc. (dba Insightsoftware)",Financial Services,S +  5.50  %,05/22/26,982,(  7,),(  12,),(7) (9),,,
140,"MerchantWise Solutions, LLC (dba HungerRush)",Financial Services,11.35  %,S +  6.00  %,06/01/28,21419,21082,20134,(7) (8),,,,
141,"MerchantWise Solutions, LLC (dba HungerRush)",Financial Services,11.36  %,S +  6.00  %,06/01/28,5396,4601,4361,(7) (8) (9),,,,
142,Investment  (1)(5),Industry  (2),Interest  Rate  (3),Reference Rate  and Spread  (3),Maturity,Par  (4),Cost,Fair  Value,Footnotes,,,,
143,"MerchantWise Solutions, LLC (dba HungerRush)",Financial Services,11.40  %,S +  6.00  %,06/01/28,$,2718,$,367,$,245.0,(7) (8) (9),
144,"StarCompliance Intermediate, LLC",Financial Services,12.20  %,S +  6.75  %,01/12/27,15600,15421,15366,(7) (8),,,,
145,"StarCompliance Intermediate, LLC",Financial Services,12.20  %,S +  6.75  %,01/12/27,2514,2482,2476,(7) (8),,,,
146,"StarCompliance Intermediate, LLC",Financial Services,12.20  %,S +  6.75  %,01/12/27,2500,1449,1437,(7) (8) (9),,,,
147,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,10.96  %,S +  5.50  %,12/06/25,10263,10040,9929,(7) (8),,,,
148,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,11.53  %,S +  6.00  %,12/06/25,5626,5554,5499,(7) (8),,,,
149,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,10.96  %,S +  5.50  %,12/06/25,4829,4789,4672,(7) (8),,,,
150,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,10.96  %,S +  5.50  %,12/06/25,4424,4373,4280,(7) (8),,,,
151,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,10.96  %,S +  5.50  %,12/06/25,2269,2222,2195,(7) (8),,,,
152,"Riverpoint Medical, LLC",Health Care Equipment & Supplies,10.49  %,S +  5.00  %,06/21/25,21476,21043,21047,(7) (8),,,,
153,"Riverpoint Medical, LLC",Health Care Equipment & Supplies,10.50  %,S +  5.00  %,06/21/25,1627,1618,1594,(7) (8),,,,
154,"Riverpoint Medical, LLC",Health Care Equipment & Supplies,10.46  %,S +  5.00  %,06/21/25,4094,992,942,(7) (8) (9),,,,
155,"Viant Medical Holdings, Inc.",Health Care Equipment & Supplies,11.72  %,S +  6.25  %,07/02/25,30819,30051,30742,(7),,,,
156,"Argos Health Holdings, Inc",Health Care Providers & Services,11.15  %,S +  5.75  %,12/03/27,21560,21255,20805,(7) (8),,,,
157,"Bayside Opco, LLC (dba Pro-PT)",Health Care Providers & Services,12.75  %,S +  7.25  % PIK,05/31/26,2841,2780,2770,(8),,,,
158,"Bayside Opco, LLC (dba Pro-PT)",Health Care Providers & Services,S +  7.25  % PIK,05/31/26,1004,775,835,(8) (13),,,,,
159,"Bayside Opco, LLC (dba Pro-PT)",Health Care Providers & Services,S +  6.00  % PIK,05/31/26,415,—,—,(8) (9),,,,,
160,Capitol Imaging Acquisition Corp.,Health Care Providers & Services,12.14  %,S +  6.50  %,10/01/26,17656,17444,17126,(7) (8),,,,
161,Capitol Imaging Acquisition Corp.,Health Care Providers & Services,12.14  %,S +  6.50  %,10/01/26,790,771,766,(7) (8),,,,
162,Capitol Imaging Acquisition Corp.,Health Care Providers & Services,S +  6.50  %,10/01/25,180,(  1,),(  5,),(7) (8) (9),,,
163,"CFS Management, LLC (dba Center for Sight Management)",Health Care Providers & Services,11.86  %,S +  6.25  % (Incl.  0.75  % PIK),07/01/24,19295,19132,17559,(7) (8),,,,
164,"CFS Management, LLC (dba Center for Sight Management)",Health Care Providers & Services,11.86  %,S +  6.25  % (Incl.  0.75  % PIK),07/01/24,3349,3312,3047,(7) (8),,,,
165,"CFS Management, LLC (dba Center for Sight Management)",Health Care Providers & Services,11.86  %,S +  6.25  % (Incl.  0.75  % PIK),07/01/24,1977,1967,1799,(7) (8),,,,
166,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,11.11  %,S +  5.75  %,05/11/28,14681,14441,14240,(7) (8),,,,
167,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,11.11  %,S +  5.75  %,05/11/28,4456,4379,4323,(7) (8),,,,
168,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,11.36  %,S +  6.00  %,05/11/28,3095,3021,3033,(7) (8),,,,
169,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,11.11  %,S +  5.75  %,05/11/28,2120,713,678,(7) (8) (9),,,,
170,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,S +  5.75  %,05/11/28,11162,(  132,),(  223,),(7) (8) (9),,,
171,CORA Health Holdings Corp,Health Care Providers & Services,11.39  %,S +  5.75  %,06/15/27,22519,22307,18916,(7) (8),,,,
172,CORA Health Holdings Corp,Health Care Providers & Services,11.39  %,S +  5.75  %,06/15/27,377,373,317,(7) (8),,,,
173,DECA Dental Holdings LLC,Health Care Providers & Services,11.20  %,S +  5.75  %,08/28/28,21182,20873,20547,(7) (8),,,,
174,DECA Dental Holdings LLC,Health Care Providers & Services,11.20  %,S +  5.75  %,08/28/28,2230,2198,2163,(7) (8),,,,
175,DECA Dental Holdings LLC,Health Care Providers & Services,11.20  %,S +  5.75  %,08/26/27,1711,1461,1431,(7) (8) (9),,,,
176,"Highfive Dental Holdco, LLC",Health Care Providers & Services,12.45  %,S +  6.75  %,06/13/28,2798,2721,2728,(7) (8),,,,
177,Investment  (1)(5),Industry  (2),Interest  Rate  (3),Reference Rate  and Spread  (3),Maturity,Par  (4),Cost,Fair  Value,Footnotes,,,,
178,"Highfive Dental Holdco, LLC",Health Care Providers & Services,S +  6.75  %,06/13/28,$,313,$,(  8,),$,(  8,),(7) (8) (9)
179,"Highfive Dental Holdco, LLC",Health Care Providers & Services,S +  6.75  %,06/13/28,1875,(  50,),(  47,),(7) (8) (9),,,
180,"Honor HN Buyer, Inc",Health Care Providers & Services,11.25  %,S +  5.75  %,10/15/27,23869,23539,23631,(7) (8),,,,
181,"Honor HN Buyer, Inc",Health Care Providers & Services,11.25  %,S +  5.75  %,10/15/27,15094,14870,14943,(7) (8),,,,
182,"Honor HN Buyer, Inc",Health Care Providers & Services,11.50  %,S +  6.00  %,10/15/27,9964,5812,5841,(7) (8) (9),,,,
183,"Honor HN Buyer, Inc",Health Care Providers & Services,13.25  %,P +  4.75  %,10/15/27,2802,314,322,(7) (8) (9),,,,
184,"LCG Vardiman Black, LLC (dba Specialty Dental Brands)",Health Care Providers & Services,S +  7.00  %,03/18/27,1018,979,784,(7) (8) (13),,,,,
185,"Millstone Medical Outsourcing, LLC",Health Care Providers & Services,11.35  %,S +  5.75  %,12/15/27,10141,9996,9938,(7) (8),,,,
186,"Millstone Medical Outsourcing, LLC",Health Care Providers & Services,S +  5.75  %,12/15/27,2217,(  30,),(  44,),(7) (8) (9),,,
187,One GI LLC,Health Care Providers & Services,12.21  %,S +  6.75  %,12/22/25,22413,22210,21068,(7) (8),,,,
188,One GI LLC,Health Care Providers & Services,12.21  %,S +  6.75  %,12/22/25,11964,11835,11246,(7) (8),,,,
189,One GI LLC,Health Care Providers & Services,12.21  %,S +  6.75  %,12/22/25,9215,9132,8662,(7) (8),,,,
190,One GI LLC,Health Care Providers & Services,12.21  %,S +  6.75  %,12/22/25,6565,6486,6171,(7) (8),,,,
191,One GI LLC,Health Care Providers & Services,S +  6.75  %,12/22/25,3610,(  32,),(  217,),(7) (8) (9),,,
192,"Premier Care Dental Management, LLC",Health Care Providers & Services,10.86  %,S +  5.50  %,08/05/28,18447,18181,17525,(7) (8),,,,
193,"Premier Care Dental Management, LLC",Health Care Providers & Services,10.86  %,S +  5.50  %,08/05/28,10008,9853,9508,(7) (8),,,,
194,"Premier Care Dental Management, LLC",Health Care Providers & Services,10.86  %,S +  5.50  %,08/05/27,3052,370,254,(7) (8) (9),,,,
195,"Premier Imaging, LLC (dba Lucid Health)",Health Care Providers & Services,11.61  %,S +  6.00  %,01/02/25,27277,26795,26118,(7) (8),,,,
196,"Premier Imaging, LLC (dba Lucid Health)",Health Care Providers & Services,11.61  %,S +  6.00  %,01/02/25,7549,7509,7228,(7) (8),,,,
197,"Premier Imaging, LLC (dba Lucid Health)",Health Care Providers & Services,11.61  %,S +  6.00  %,01/02/25,6032,5999,5775,(7) (8),,,,
198,"Premier Imaging, LLC (dba Lucid Health)",Health Care Providers & Services,11.61  %,S +  6.00  %,01/02/25,1635,1627,1566,(7) (8),,,,
199,"Purfoods, LLC",Health Care Providers & Services,11.78  %,S +  6.25  %,08/12/26,581,567,569,(7) (8),,,,
200,"Purfoods, LLC",Health Care Providers & Services,11.77  %,S +  6.25  %,08/12/26,392,386,384,(7) (8),,,,
201,"SpendMend, LLC",Health Care Providers & Services,11.00  %,S +  5.50  %,03/01/28,628,619,612,(7) (8),,,,
202,"SpendMend, LLC",Health Care Providers & Services,11.00  %,S +  5.50  %,03/01/28,276,114,110,(7) (8) (9),,,,
203,"SpendMend, LLC",Health Care Providers & Services,11.02  %,S +  5.50  %,03/01/28,83,32,31,(7) (8) (9),,,,
204,"The Center for Orthopedic and Research Excellence, Inc. (dba HOPCo)",Health Care Providers & Services,11.53  %,S +  6.00  %,08/15/25,25788,25172,25015,(7) (8),,,,
205,"The Center for Orthopedic and Research Excellence, Inc. (dba HOPCo)",Health Care Providers & Services,11.50  %,S +  6.00  %,08/15/25,7818,7738,7583,(7) (8),,,,
206,"The Center for Orthopedic and Research Excellence, Inc. (dba HOPCo)",Health Care Providers & Services,11.53  %,S +  6.00  %,08/15/25,4642,4598,4502,(7) (8),,,,
207,Investment  (1)(5),Industry  (2),Interest  Rate  (3),Reference Rate  and Spread  (3),Maturity,Par  (4),Cost,Fair  Value,Footnotes,,,,
208,"The Center for Orthopedic and Research Excellence, Inc. (dba HOPCo)",Health Care Providers & Services,11.54  %,S +  6.00  %,08/15/25,$,2113,$,2089,$,2050.0,(7) (8),
