,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,0,1
49,"DDS USA Holding, Inc.  (1) (2) (3)",Health Care Equipment & Supplies,9.00%,P + 4.25%; 1.00% Floor,06/30/2022,1079,104,102,,,,
50,Diligent Corporation  (1) (2),Professional Services,7.42%,L + 5.50%; 1.00% Floor,04/14/2022,"€ 16,016",18378,17786,,,,
51,Diligent Corporation  (1) (2),Professional Services,7.58%,L + 5.50%; 1.00% Floor,04/14/2022,3831,3797,3792,,,,
52,Diligent Corporation  (1) (2),Professional Services,7.42%,L + 5.50%; 1.00% Floor,04/14/2022,1475,1462,1461,,,,
53,Diligent Corporation  (1) (2) (3),Professional Services,7.48%,L + 5.50%; 1.00% Floor,04/14/2022,1300,1123,1131,,,,
54,Diligent Corporation  (1) (2),Professional Services,7.56%,L + 5.50%; 1.00% Floor,04/14/2022,507,502,501,,,,
55,Diligent Corporation  (1) (2),Professional Services,7.42%,L + 5.50%; 1.00% Floor,04/14/2022,245,243,243,,,,
56,Diligent Corporation  (1) (2) (3),Professional Services,L + 5.50%; 1.00% Floor,04/14/2022,4268,(37,),(43,),,,
57,"DiscoverOrg, LLC  (2)",Software,6.30%,L + 4.50%,02/02/2026,16079,15934,16119,,,,
58,"DocuTAP, Inc.  (1) (2)",Health Care Technology,7.30%,L + 5.50% 1.00% Floor,05/12/2025,24093,23543,24093,,,,
59,"E2open, LLC  (1) (2)",Software,7.66%,L + 5.75%; 1.00% Floor,11/26/2024,16259,16109,16097,,,,
60,"Elemica Parent, Inc.  (1) (2)",Chemicals,7.40%,L + 5.50%,09/18/2025,2906,2836,2833,,,,
61,"Elemica Parent, Inc.  (1) (2) (3)",Chemicals,7.40%,L + 5.50%,09/18/2025,380,118,118,,,,
62,"Elemica Parent, Inc.  (1) (2) (3)",Chemicals,L + 5.50%,09/18/2025,560,(7,),(14,),,,
63,"Empirix, Inc.  (1) (2)",Diversified Telecommunication Services,8.20%,L + 6.25%; 1.00% Floor,09/25/2024,22084,21764,19876,,,,
64,"Empirix, Inc.  (1) (2) (3)",Diversified Telecommunication Services,L + 6.25%; 1.00% Floor,09/25/2023,1300,(17,),(130,),,,
65,"Eptam Plastics, Ltd.  (2)",Health Care Equipment & Supplies,7.30%,L + 5.50%; 1.00% Floor,12/06/2025,4300,4236,4235,,,,
66,"Eptam Plastics, Ltd.  (2) (3)",Health Care Equipment & Supplies,7.30%,L + 5.50%; 1.00% Floor,12/06/2025,915,215,215,,,,
67,"Eptam Plastics, Ltd.  (2) (3)",Health Care Equipment & Supplies,L + 5.50%; 1.00% Floor,12/06/2025,1830,(14,),(14,),,,
68,Fenergo Finance 3  Limited  (1) (2) (5),Diversified Financial Services,8.31%,L + 6.25%; 1.00% Floor,09/05/2024,"€ 17,800",20391,19816,,,,
69,Fenergo Finance 3  Limited  (1) (2) (3) (5),Diversified Financial Services,L + 6.25%; 1.00% Floor,09/05/2024,1182,(16,),(9,),,,
70,Fenergo Finance 3  Limited  (1) (2) (3) (5),Diversified Financial Services,L + 6.25%; 1.00% Floor,09/05/2024,"€ 1,500",(24,),(13,),,,
71,FWR Holding Corporation (dba First Watch Restaurants)  (1),"Hotels, Restaurants & Leisure",7.29%,L + 5.50%; 1.00% Floor,08/21/2023,4449,4375,4405,,,,
72,FWR Holding Corporation (dba First Watch Restaurants)  (1),"Hotels, Restaurants & Leisure",7.29%,L + 5.50%; 1.00% Floor,08/21/2023,889,875,880,,,,
73,FWR Holding Corporation (dba First Watch Restaurants)  (1),"Hotels, Restaurants & Leisure",7.29%,L + 5.50%; 1.00% Floor,08/21/2023,562,553,556,,,,
74,FWR Holding Corporation (dba First Watch Restaurants)  (1) (3),"Hotels, Restaurants & Leisure",7.29%,L + 5.50%; 1.00% Floor,08/21/2023,587,490,493,,,,
75,"Gastro Health Holdco, LLC  (1) (2)",Health Care Providers & Services,7.45%,L + 5.50%; 1.00% Floor,09/04/2024,12630,12422,12440,,,,
76,"Gastro Health Holdco, LLC  (1) (2)",Health Care Providers & Services,7.43%,L + 5.50%; 1.00% Floor,09/04/2024,5079,4994,5003,,,,
77,"Gastro Health Holdco, LLC  (1) (2) (3)",Health Care Providers & Services,7.40%,L + 5.50%; 1.00% Floor,09/04/2024,4876,4057,4048,,,,
78,"Gastro Health Holdco, LLC  (1) (2) (3)",Health Care Providers & Services,L + 5.50%; 1.00% Floor,09/04/2023,2000,(30,),(30,),,,
79,"Gastro Health Holdco, LLC  (1) (2) (3)",Health Care Providers & Services,L + 5.50%; 1.00% Floor,09/04/2024,5100,(42,),(77,),,,
80,GH Holding Company (dba Grace Hill)  (1),Real Estate Management & Development,6.30%,L + 4.50%,02/28/2023,7388,7363,7351,,,,
81,GI Revelation Acquisition LLC (dba Consilio),IT Services,6.80%,L + 5.00%,04/16/2025,4682,4663,4398,,,,
82,"GK Holdings, Inc. (dba Global Knowledge)",IT Services,7.94%,L + 6.00%; 1.00% Floor,01/20/2021,8550,8537,6412,,,,
83,"GlobalTranz Enterprises, Inc.  (2)",Road & Rail,6.79%,L + 5.00%,05/15/2026,7681,7538,6990,,,,
84,"GlobalTranz Enterprises, Inc.  (2) (3)",Road & Rail,L + 5.00%,05/15/2026,1992,–,(179,),,,,
85,"Granicus, Inc.  (2)",Software,6.69%,L + 4.75%; 1.00% Floor,09/07/2022,9947,9866,9847,,,,
86,Investment *,Industry,Interest Rate (+),Reference Rate and  Spread (+),Maturity,Par  Amount/  Shares  (++),Cost,Fair  Value,,,,
87,"Halo Branded Solutions, Inc.",Commercial Services & Supplies,6.30%,L + 4.50%; 1.00% Floor,06/30/2025,"$ 8,491",$,8419,$,8278.0,,
88,"HS4 AcquisitionCo, Inc. (dba HotSchedules & Fourth)  (1) (2)","Hotels, Restaurants & Leisure",8.71%,L + 6.75%; 1.00% Floor,07/09/2025,23157,22723,22694,,,,
89,"HS4 AcquisitionCo, Inc. (dba HotSchedules & Fourth)  (1) (2) (3)","Hotels, Restaurants & Leisure",8.54%,L + 6.75%; 1.00% Floor,07/09/2025,1883,248,245,,,,
90,Hygiena Borrower LLC,Life Sciences Tools & Services,5.94%,L + 4.00%; 1.00% Floor,08/26/2022,12521,12432,12271,,,,
91,Hygiena Borrower LLC  (3),Life Sciences Tools & Services,L + 4.00%; 1.00% Floor,08/26/2022,715,(3,),(14,),,,
92,Hygiena Borrower LLC  (3),Life Sciences Tools & Services,L + 4.00%; 1.00% Floor,08/26/2022,1313,(11,),(26,),,,
93,"iCIMS, Inc.  (1) (2)",Software,8.29%,L + 6.50%; 1.00% Floor,09/12/2024,29895,29403,29372,,,,
94,"iCIMS, Inc.  (1) (2)",Software,8.29%,L + 6.50%; 1.00% Floor,09/12/2024,5506,5405,5409,,,,
95,"iCIMS, Inc.  (1) (2) (3)",Software,L + 6.50%; 1.00% Floor,09/12/2024,1868,(29,),(33,),,,
96,Infinity Sales Group  (1),Media,12.45%,L + 10.50%; 1.00% Floor,11/23/2022,25579,25579,27625,,,,
97,"Integral Ad Science, Inc.  (1) (2)",Interactive Media & Services,9.05%,L + 7.25% (incl. 1.25% PIK); 1.00% Floor,07/19/2024,25653,25244,25269,,,,
98,"Integral Ad Science, Inc.  (1) (2) (3)",Interactive Media & Services,L + 6.00%; 1.00% Floor,07/19/2023,1815,(26,),(27,),,,
99,"Internet Truckstop Group, LLC (dba Truckstop)  (1) (2)",Transportation Infrastructure,6.95%,L + 5.00%; 1.00% Floor,04/02/2025,22208,21710,21875,,,,
100,"Internet Truckstop Group, LLC (dba Truckstop)  (1) (2) (3)",Transportation Infrastructure,L + 5.00%; 1.00% Floor,04/02/2025,1800,(39,),(27,),,,
101,"Iracore International Holdings, Inc.  ^ (1)",Energy Equipment & Services,10.88%,L + 9.00%; 1.00% Floor,04/12/2021,2917,2917,2917,,,,
102,Jill Acquisition LLC (dba J. Jill),"Textiles, Apparel & Luxury Goods",6.93%,L + 5.00%; 1.00% Floor,05/08/2022,6841,6817,5575,,,,
103,Kawa Solar Holdings Limited  ^ (1) (5) (6),Construction & Engineering,05/26/2020,3917,3575,3502,,,,,,
104,Kawa Solar Holdings Limited  ^ (1) (5) (6),Construction & Engineering,05/26/2020,5201,2683,–,,,,,,
105,"Lithium Technologies, Inc.  (1) (2)",Interactive Media & Services,10.04%,L + 8.00%; 1.00% Floor,10/03/2022,38966,38373,38381,,,,
106,"Lithium Technologies, Inc.  (1) (2) (3)",Interactive Media & Services,L + 8.00%; 1.00% Floor,10/03/2022,2684,(37,),(40,),,,
107,"Mailgun Technologies, Inc.  (1) (2)",Interactive Media & Services,6.95%,L + 5.00%; 1.00% Floor,03/26/2025,15896,15607,15618,,,,
108,"Mailgun Technologies, Inc.  (1) (2) (3)",Interactive Media & Services,L + 5.00%; 1.00% Floor,03/26/2025,993,–,(17,),,,,
109,"Mervin Manufacturing, Inc.  (1)",Leisure Equipment & Products,9.30%,L + 7.50%; 1.00% Floor,09/30/2022,10886,10885,10668,,,,
110,"Midwest Transport, Inc.  (1) (2)",Road & Rail,9.06%,L + 7.00%; 1.00% Floor,10/02/2023,11906,11812,11787,,,,
111,"MMIT Holdings, LLC (dba Managed Markets Insight & Technology)  (1) (2)",Health Care Technology,7.43%,L + 5.50%; 1.00% Floor,11/15/2024,20713,20350,20351,,,,
112,"MMIT Holdings, LLC (dba Managed Markets Insight & Technology)  (1) (2) (3)",Health Care Technology,7.44%,L + 5.50%; 1.00% Floor,11/15/2024,3188,840,837,,,,
113,Netvoyage Corporation (dba  NetDocuments)  (1) (2),Software,9.55%,L + 7.75%; 1.00% Floor,03/22/2024,3990,3913,3940,,,,
114,Netvoyage Corporation (dba  NetDocuments)  (1) (2),Software,9.55%,L + 7.75%; 1.00% Floor,03/22/2024,8514,8401,8408,,,,
115,Netvoyage Corporation (dba  NetDocuments)  (1) (2) (3),Software,L + 7.75%; 1.00% Floor,03/24/2022,654,(6,),(8,),,,
116,"Output Services Group, Inc.",Diversified Consumer Services,6.30%,L + 4.50%; 1.00% Floor,03/27/2024,3942,3928,3262,,,,
117,"Output Services Group, Inc.  (3)",Diversified Consumer Services,L + 4.25%; 1.00% Floor,03/27/2024,24,–,(4,),,,,
118,Pathway Vet Alliance LLC  (1) (2),Health Care Providers & Services,6.30%,L + 4.50%,12/20/2024,4771,4730,4723,,,,
119,Pathway Vet Alliance LLC  (1) (2),Health Care Providers & Services,6.30%,L + 4.50%,12/20/2024,1686,1671,1669,,,,
120,Pharmalogic Holdings Corp.  (1),Health Care Equipment & Supplies,5.80%,L + 4.00%,06/11/2023,3238,3233,3222,,,,
121,Pharmalogic Holdings Corp.  (1),Health Care Equipment & Supplies,5.80%,L + 4.00%,06/11/2023,1760,1756,1751,,,,
122,Pharmalogic Holdings Corp.  (1),Health Care Equipment & Supplies,5.80%,L + 4.00%,06/11/2023,1729,1721,1720,,,,
123,Investment *,Industry,Interest Rate (+),Reference Rate and  Spread (+),Maturity,Par  Amount/  Shares  (++),Cost,Fair  Value,,,,
124,Pharmalogic Holdings Corp.  (1),Health Care Equipment & Supplies,5.80%,L + 4.00%,06/11/2023,$ 930,$,928,$,925.0,,
125,Picture Head Midco LLC  (1) (2),Entertainment,8.55%,L + 6.75%; 1.00% Floor,08/31/2023,18437,18140,18160,,,,
126,"PlanSource Holdings, Inc.  (1) (2)",Health Care Technology,8.15%,L + 6.25%; 1.00% Floor,04/22/2025,22780,22366,22324,,,,
127,"PlanSource Holdings, Inc.  (1) (2) (3)",Health Care Technology,L + 6.25%; 1.00% Floor,04/22/2025,3142,(56,),(63,),,,
128,"Power Stop, LLC  (2)",Auto Components,6.44%,L + 4.50%,10/19/2025,7524,7508,7449,,,,
129,"Premier Imaging, LLC (dba Lucid Health)  (2)",Health Care Providers & Services,7.49%,L + 5.75%; 1.00% Floor,01/02/2025,11771,11596,11594,,,,
130,Professional Physical Therapy  (1),Health Care Providers & Services,8.44%,L + 6.75% (incl. 0.75% PIK); 1.00% Floor,12/16/2022,5826,5121,4952,,,,
131,"PT Intermediate Holdings III, LLC (dba Parts Town)  (2)",Trading Companies & Distributors,7.44%,L + 5.50%; 1.00% Floor,10/15/2025,11760,11702,11701,,,,
132,"Regulatory DataCorp, Inc.",Diversified Financial Services,6.44%,L + 4.50%; 1.00% Floor,09/21/2022,2456,2456,2407,,,,
133,"Riverpoint Medical, LLC  (1) (2)",Health Care Equipment & Supplies,6.97%,L + 5.00%; 1.00% Floor,06/21/2025,8998,8956,8908,,,,
134,"Riverpoint Medical, LLC  (1) (2) (3)",Health Care Equipment & Supplies,L + 5.00%; 1.00% Floor,06/21/2025,1644,(7,),(16,),,,
135,"Selectquote, Inc.  (2)",Insurance,7.70%,L + 6.00%; 1.00% Floor,11/05/2024,10700,10492,10486,,,,
136,"SF Home Décor, LLC (dba SureFit Home  Décor)  (1) (2)",Household Products,11.70%,L + 9.75%; 1.00% Floor,07/13/2022,18993,18576,18280,,,,
137,"Shopatron, LLC (dba Kibo)  (1) (2)",Internet & Catalog Retail,9.95%,L + 8.00%; 1.00% Floor,12/18/2020,6011,5909,5921,,,,
138,"Shopatron, LLC (dba Kibo)  (1) (2) (4)",Internet & Catalog Retail,9.95%,L + 8.00%; 1.00% Floor,12/18/2020,1853,1834,1825,,,,
139,"SMS Systems Maintenance Services, Inc.",IT Services,6.80%,L + 5.00%; 1.00% Floor,10/30/2023,7275,7252,5602,,,,
140,"SPay, Inc. (dba Stack Sports)  (1) (2)",Interactive Media & Services,7.55%,L + 5.75%; 1.00% Floor,06/17/2024,10332,10170,9996,,,,
141,"SPay, Inc. (dba Stack Sports)  (1) (2) (3)",Interactive Media & Services,7.52%,L + 5.75%; 1.00% Floor,06/17/2024,1140,743,723,,,,
142,"SPay, Inc. (dba Stack Sports)  (1) (2)",Interactive Media & Services,7.76%,L + 5.75%; 1.00% Floor,06/17/2024,381,378,369,,,,
143,"The Center for Orthopedic and Research Excellence, Inc. (dba HOPCo)  (1) (2)",Health Care Providers & Services,7.31%,L + 5.25%; 1.00% Floor,08/15/2025,13432,13241,13197,,,,
144,"The Center for Orthopedic and Research Excellence, Inc. (dba HOPCo)  (1) (2) (3)",Health Care Providers & Services,7.31%,L + 5.25%; 1.00% Floor,08/15/2025,1857,67,60,,,,
145,"The Center for Orthopedic and Research Excellence, Inc. (dba HOPCo)  (1) (2) (3)",Health Care Providers & Services,L + 5.25%; 1.00% Floor,08/15/2025,4643,(37,),(81,),,,
146,Tronair Parent Inc.,Air Freight & Logistics,6.66%,L + 4.75%; 1.00% Floor,09/08/2023,6790,6751,6111,,,,
147,"U.S. Acute Care Solutions, LLC",Health Care Providers & Services,6.80%,L + 5.00%; 1.00% Floor,05/17/2021,6305,6283,5801,,,,
148,"US Med Acquisition, Inc.  (1)",Health Care Equipment & Supplies,10.44%,L + 8.50%; 1.00% Floor,08/13/2021,29644,29445,29051,,,,
149,"Viant Medical Holdings, Inc.  (2)",Health Care Equipment & Supplies,8.16%,L + 6.25%; 1.00% Floor,07/02/2025,12989,12773,12860,,,,
150,"VRC Companies, LLC (dba Vital Records Control)  (1)",Commercial Services & Supplies,8.30%,L + 6.50%; 1.00% Floor,03/31/2023,18690,18493,18549,,,,
151,"VRC Companies, LLC (dba Vital Records Control)  (1) (3)",Commercial Services & Supplies,8.60%,L + 6.50%; 1.00% Floor,03/31/2022,882,479,481,,,,
152,"WebPT, Inc.  (1) (2)",Health Care Technology,8.66%,L + 6.75%; 1.00% Floor,08/28/2024,10192,10000,9988,,,,
153,"WebPT, Inc.  (1) (2) (3)",Health Care Technology,L + 6.75%; 1.00% Floor,08/28/2024,1062,(20,),(21,),,,
154,"WebPT, Inc.  (1) (2) (3)",Health Care Technology,L + 6.75%; 1.00% Floor,08/28/2024,1274,(12,),(26,),,,
155,"Wine.com, LLC  (1) (2)",Beverages,8.93%,L + 7.00%; 1.00% Floor,11/14/2024,6400,6291,6272,,,,
156,Wolfpack IP Co. (dba Lone Wolf  Technologies)  (1) (2) (5),Real Estate Management & Development,8.29%,L + 6.50%; 1.00% Floor,06/13/2025,31694,31106,31060,,,,
157,Wolfpack IP Co. (dba Lone Wolf  Technologies)  (1) (2) (3) (5),Real Estate Management & Development,L + 6.50%; 1.00% Floor,06/13/2025,3169,(58,),(63,),,,
158,"WorkForce Software, LLC  (1) (2)",Software,8.41%,L + 6.50%; 1.00% Floor,07/31/2025,8735,8570,8560,,,,
159,"WorkForce Software, LLC  (1) (2) (3)",Software,L + 6.50%; 1.00% Floor,07/31/2025,771,(14,),(15,),,,
160,"Wrike, Inc.  (1) (2)",Professional Services,8.55%,L + 6.75%; 1.00% Floor,12/31/2024,22704,22289,22250,,,,
161,"Wrike, Inc.  (1) (2) (3)",Professional Services,L + 6.75%; 1.00% Floor,12/31/2024,1600,(27,),(32,),,,
162,Xactly Corporation  (1) (2),IT Services,9.05%,L + 7.25%; 1.00% Floor,07/29/2022,27173,26832,26834,,,,
163,Xactly Corporation  (1) (2) (3),IT Services,L + 7.25%; 1.00% Floor,07/29/2022,1697,(18,),(21,),,,
164,"Yasso, Inc.  (1) (2)",Food Products,9.55%,L + 7.75%; 1.00% Floor,03/23/2022,8028,7948,7767,,,,
165,Total 1st Lien/Senior Secured Debt,1094885,1080670,,,,,,,,,
166,1st  Lien/Last-Out  Unitranche  (7)  – 5.22%,,,,,,,,,,,
167,"Doxim, Inc.  (1) (2)",Diversified Financial Services,7.94%,L + 6.00%; 1.00% Floor,02/28/2024,11900,11611,11602,,,,
168,"Doxim, Inc.  (1) (2)",Diversified Financial Services,7.90%,L + 6.00%; 1.00% Floor,02/28/2024,624,609,609,,,,
169,"RugsUSA, LLC  (1) (2)",Household Products,8.45%,L + 6.50%; 1.00% Floor,04/30/2023,5840,5798,5796,,,,
170,"Smarsh, Inc.  (1) (2)",Interactive Media & Services,9.68%,L + 7.88%; 1.00% Floor,03/31/2021,17401,17289,17271,,,,
171,Total 1st  Lien/Last-Out  Unitranche,35307,35278,,,,,,,,,
172,Investment *,Industry,Interest Rate (+),Reference Rate and  Spread (+),Maturity,Par  Amount/  Shares  (++),Cost,Fair  Value,,,,
173,2nd Lien/Senior Secured Debt  – 34.61%,,,,,,,,,,,
174,"American Dental Partners,  Inc.  (1) (2)",Health Care Providers & Services,10.44%,L + 8.50%; 1.00% Floor,09/25/2023,"$ 5,738",$,5644,$,5637.0,,
175,"Bolttech Mannings, Inc.  ^^ (1)",Commercial Services & Supplies,9.91%,L + 8.00% PIK,11/19/2021,23453,23453,22515,,,,
176,"DiscoverOrg, LLC  (2)",Software,10.19%,L + 8.50%,02/01/2027,10000,9861,10000,,,,
177,"ERC Finance, LLC (dba Eating Recovery Center)  (1) (2)",Health Care Providers & Services,10.02%,L + 8.22%; 1.00% Floor,09/22/2025,19800,19448,19454,,,,
178,Genesis Acquisition Co. (dba ProCare Software)  (1) (2),Diversified Financial Services,9.60%,L + 7.50%,07/31/2025,7000,6851,6825,,,,
179,Genesis Acquisition Co. (dba ProCare Software)  (1) (2) (3),Diversified Financial Services,L + 7.50%,07/31/2025,1800,(18,),(45,),,,
180,"GK Holdings, Inc. (dba Global Knowledge)",IT Services,12.19%,L + 10.25%; 1.00% Floor,01/20/2022,3000,2977,2100,,,,
181,Hygiena Borrower LLC  (1),Life Sciences Tools & Services,9.69%,L + 7.75%; 1.00% Floor,08/26/2023,1860,1832,1827,,,,
182,Hygiena Borrower LLC  (1) (3),Life Sciences Tools & Services,9.69%,L + 7.75%; 1.00% Floor,08/26/2023,680,91,85,,,,
183,"ICP Industrial, Inc.  (1) (2)",Chemicals,10.04%,L + 8.25%; 1.00% Floor,05/03/2024,20400,20026,19992,,,,
184,IHS Intermediate Inc. (dba Interactive Health  Solutions)  (1) (8),Health Care Providers & Services,L + 8.25%; 1.00% Floor,07/20/2022,10000,9902,2500,,,,,
185,"Market Track, LLC  (1) (2)",Internet & Catalog Retail,9.68%,L + 7.75%; 1.00% Floor,06/05/2025,22200,21695,21368,,,,
186,MPI Products LLC  (1) (4) (8),Auto Components,L + 9.00%; 1.00% Floor,01/30/2020,20000,19090,12700,,,,,
187,"National Spine and Pain Centers, LLC  (1) (2)",Health Care Providers & Services,10.05%,L + 8.25%; 1.00% Floor,12/02/2024,19100,18678,18384,,,,
