,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,0,1
16,"Datto, Inc.  (2) (4) (5) (6)",IT Services,L + 8.00%; 1.00% Floor,12/07/2022,2406,(43,),(42,),,,,,
17,"Elemica, Inc.  (6)",Software,9.09%,L + 7.00%; 1.00% Floor,07/07/2021,41650,40949,41025,,,,,,
18,"Elemica, Inc.  (4) (5) (6)",Software,L + 7.00%; 1.00% Floor,07/07/2021,6000,(96,),(90,),,,,,
19,Heligear Acquisition Co.  (3) (6),Aerospace & Defense,10.25%,10/15/2019,17500,17400,17325,,,,,,,
20,Hygiena Borrower LLC,Life Sciences Tools & Services,6.33%,L + 4.00%; 1.00% Floor,08/26/2022,2970,2926,2911,,,,,,
21,Hygiena Borrower LLC  (4) (5),Life Sciences Tools & Services,L + 4.00%; 1.00% Floor,08/26/2022,1390,(10,),(28,),,,,,
22,Hygiena Borrower LLC  (4) (5),Life Sciences Tools & Services,L + 4.00%; 1.00% Floor,08/26/2022,380,(6,),(8,),,,,,
23,Infinity Sales Group  (6),Media,12.84%,L + 10.50%; 1.00% Floor,11/21/2018,28051,27990,27210,,,,,,
24,"Integral Ad Science, Inc.  (2) (4)",Media,L + 7.25% (incl. 1.25% PIK); 1.00% Floor,7/19/2024,23598,—,—,,,,,,,
25,"Integral Ad Science, Inc.  (2) (4)",Media,L +6.00%; 1.00% Floor,7/19/2023,1815,—,—,,,,,,,
26,"Iracore International Holdings,  Inc.  ^ (6)",Energy Equipment & Services,11.13%,L + 9.00%; 1.00% Floor,04/12/2021,3389,3389,3389,,,,,,
27,Kawa Solar Holdings  Limited  ^ (6) (7) (8),Construction & Engineering,L + 8.00% PIK,07/02/2018,9127,9047,8411,,,,,,,
28,Kawa Solar Holdings  Limited  ^ (6) (7) (9),Construction & Engineering,07/02/2018,4869,2351,—,,,,,,,,
29,Legacy Buyer Corp.  (6),Health Care Providers & Services,10.34%,L + 8.00%; 1.00% Floor,10/24/2019,23228,23075,23228,,,,,,
30,Legacy Buyer Corp.  (4) (5) (6),Health Care Providers & Services,L + 8.00%; 1.00% Floor,10/24/2019,2500,(16,),—,,,,,,
31,"Lithium Technologies, Inc.  (2) (6)",Internet Software & Services,10.37%,L + 8.00%; 1.00% Floor,10/03/2022,21100,20681,20678,,,,,,
32,"Lithium Technologies, Inc.  (2) (4) (5) (6)",Internet Software & Services,L + 8.00%; 1.00% Floor,10/03/2022,1544,(30,),(31,),,,,,
33,Madison-Kipp Corporation  (6),Machinery,11.10%,L + 9.00%; 1.00% Floor,05/26/2020,30064,29793,29989,,,,,,
34,Netvoyage Corporation  (2) (6),Software,11.10%,L + 9.00%; 1.00% Floor,03/24/2022,8644,8504,8515,,,,,,
35,Netvoyage Corporation  (2) (4) (5) (6),Software,L + 9.00%; 1.00% Floor,03/24/2022,654,(10,),(10,),,,,,
36,"SF Home Décor, LLC  (2) (6)",Household Products,11.84%,L + 9.50%; 1.00% Floor,07/13/2022,20330,19810,19923,,,,,,
37,"SPay, Inc.  (2)",Internet Software & Services,7.82%,L + 5.75%; 1.00% Floor,06/17/2024,10300,10095,10094,,,,,,
38,"SPay, Inc.  (2) (4) (5)",Internet Software & Services,L + 5.75%; 1.00% Floor,06/17/2024,5720,(57,),(57,),,,,,
39,"SPay, Inc.  (2) (4) (5)",Internet Software & Services,L + 5.75%; 1.00% Floor,06/17/2024,1140,(23,),(23,),,,,,
40,"The Merit Distribution Group,  LLC  (6)",Distributors,13.59%,L + 11.25%; 0.50% Floor,04/08/2021,23125,22752,23125,,,,,,
41,"US Med Acquisition, Inc.  (6)",Health Care Equipment & Supplies,11.33%,L + 9.00%; 1.00% Floor,08/13/2021,30109,29746,27775,,,,,,
42,"Vexos, Inc.  (6)","Electronic Equipment, Instruments & Components",11.81%,L + 9.50%; 1.00% Floor,10/09/2019,36860,36619,35938,,,,,,
43,Xactly Corporation  (2) (6),Internet Software & Services,9.35%,L + 7.25%; 1.00% Floor,07/29/2022,22860,22463,22403,,,,,,
44,Portfolio Company,Industry,Interest  Rate  (+),Reference Rate and  Spread  (+),Maturity,Par Amount,Cost,Fair Value,,,,,,
45,Xactly Corporation  (2) (4) (5) (6),Internet Software & Services,L + 7.25%; 1.00% Floor,07/29/2022,$,1697,$,(28,),$,(34,),,
46,"Yasso, Inc.  (2) (6)",Food Products,9.84%,L + 7.75%; 1.00% Floor,03/23/2022,8986,8844,8627,,,,,,
47,Total 1st Lien/Senior Secured Debt,455135,448430,,,,,,,,,,,
48,1st  Lien/Last-Out  Unitranche  (10)  – 28.22%,,,,,,,,,,,,,
49,"Associations, Inc.  (6)",Real Estate Management & Development,9.33%,L + 7.00%; 1.00% Floor,12/23/2019,57251,56854,57108,,,,,,
50,"Avenue Stores, LLC  (6)",Specialty Retail,10.15%,L + 8.00%; 1.00% Floor,09/19/2019,30000,29779,29100,,,,,,
51,"Bolttech Mannings, Inc.  ^^ (6)",Commercial Services & Supplies,10.33% PIK,L + 8.00%; 1.00% Floor,12/22/2022,17174,17174,17174,,,,,,
52,"Bolttech Mannings,  Inc.  ^^ (4) (6)",Commercial Services & Supplies,L + 8.00%; 1.00% Floor,12/21/2018,1500,—,—,,,,,,,
53,"Intelligent Document Solutions, Inc.  (2) (6)",Diversified Financial Services,8.33%,L + 6.00%; 1.00% Floor,02/28/2024,11900,11529,11513,,,,,,
54,"Mervin Manufacturing, Inc.  (6)",Leisure Equipment & Products,9.85%,L + 7.50%; 1.00% Floor,10/10/2019,11165,11092,10495,,,,,,
55,"NTS Communications,  Inc.  ^ (6)",Diversified Telecommunication Services,11.34% PIK,L + 9.00%; 1.25% Floor,06/06/2019,61657,59892,56415,,,,,,
56,"RugsUSA, LLC  (2)",Household Products,8.60%,L + 6.50%; 1.00% Floor,04/30/2023,5840,5783,5782,,,,,,
57,"Smarsh, Inc.  (2) (6)",Software,9.98%,L + 7.88%; 1.00% Floor,03/31/2021,17667,17430,17402,,,,,,
58,Total 1st  Lien/Last-Out  Unitranche,209533,204989,,,,,,,,,,,
59,2nd Lien/Senior Secured Debt  – 61.48%,,,,,,,,,,,,,
60,"American Dental Partners,  Inc.  (2) (6)",Health Care Providers & Services,10.83%,L + 8.50%; 1.00% Floor,09/25/2023,8500,8319,8330,,,,,,
61,"ASC Acquisition Holdings, LLC  (6)",Distributors,15.31%,L + 13.00%; 1.00% Floor,12/15/2022,54600,53459,53508,,,,,,
62,"Country Fresh Holdings,  LLC  (2) (6)",Food Products,11.11%,L + 8.75%; 1.00% Floor,10/02/2023,9400,9233,8930,,,,,,
63,"DiscoverOrg, LLC  (6)",Software,10.60%,L + 8.50%; 1.00% Floor,02/23/2024,59500,58470,59054,,,,,,
64,"DuBois Chemicals, Inc.  (2) (6)",Chemicals,10.09%,L + 8.00%; 1.00% Floor,03/15/2025,20700,20286,20493,,,,,,
65,"ERC Finance, LLC  (2) (6)",Health Care Providers & Services,10.31%,L + 8.22%; 1.00% Floor,09/22/2025,19800,19384,19404,,,,,,
66,Hygiena Borrower LLC,Life Sciences Tools & Services,10.08%,"L + 7.75%, 1.00% Floor",08/26/2023,1860,1823,1823,,,,,,
67,Hygiena Borrower LLC  (4) (5),Life Sciences Tools & Services,L + 7.75%; 1.00% Floor,08/26/2023,680,(7,),(7,),,,,,
68,"ICP Industrial, Inc.  (2) (6)",Chemicals,10.28%,L + 8.25%; 1.00% Floor,05/03/2024,16600,16216,16227,,,,,,
69,"ICP Industrial, Inc.  (2) (6)",Chemicals,10.34%,L + 8.25%; 1.00% Floor,05/03/2024,3800,3713,3715,,,,,,
70,IHS Intermediate Inc.  (6),Health Care Providers & Services,10.61%,L + 8.25%; 1.00% Floor,07/20/2022,10000,9866,9600,,,,,,
71,Institutional Shareholder Services Inc.  (2),Diversified Financial Services,10.06%,L + 7.75%; 1.00% Floor,10/16/2025,5100,5076,5151,,,,,,
72,"Market Track, LLC  (2) (6)",Internet Catalog & Retail,10.09%,L + 7.75%; 1.00% Floor,06/05/2025,22200,21597,21312,,,,,,
73,"MedPlast Holdings, Inc.  (6)",Health Care Equipment & Supplies,10.80%,L + 8.75%; 1.00% Floor,06/06/2023,46500,45526,46500,,,,,,
74,MPI Products LLC  (6),Auto Components,11.36%,L + 9.00%; 1.00% Floor,01/30/2020,20000,19891,19900,,,,,,
75,"National Spine and Pain Centers, LLC  (2) (6)",Health Care Providers & Services,10.34%,L + 8.25%; 1.00% Floor,12/02/2024,19100,18585,18623,,,,,,
76,"Oasis Outsourcing Holdings,  Inc.  (2) (6)",Diversified Financial Services,9.34%,L + 7.25%; 1.00% Floor,07/01/2024,22760,22455,22475,,,,,,
77,Odyssey Logistics & Technology Corporation  (2),Road & Rail,10.09%,L + 8.00%; 1.00% Floor,10/12/2025,18722,18320,18418,,,,,,
78,P2 Upstream Acquisition Co.,Software,10.37%,L + 8.00%; 1.00% Floor,04/30/2021,4500,4479,4157,,,,,,
79,"Pathway Partners Vet Management Company, LLC",Health Care Providers & Services,10.09%,L + 8.00%; 1.00% Floor,10/10/2025,20000,19814,19800,,,,,,
80,"Pathway Partners Vet Management Company,  LLC  (4)",Health Care Providers & Services,10.09%,L + 8.00%; 1.00% Floor,10/10/2025,643,66,66,,,,,,
81,"SMB Shipping Logistics,  LLC  (2) (6)",Air Freight & Logistics,10.72%,L + 8.75%; 1.00% Floor,02/03/2025,25000,24672,24687,,,,,,
82,"Spectrum Plastics Group,  Inc.  (2)",Containers & Packaging,9.09%,L + 7.00%; 1.00% Floor,01/31/2026,6248,6218,6263,,,,,,
83,"Young Innovations, Inc.  (2) (6)",Health Care Equipment & Supplies,10.08%,L + 7.75%; 1.00% Floor,11/07/2025,15300,14867,14879,,,,,,
84,Zep Inc.  (2),Chemicals,10.58%,L + 8.25%; 1.00% Floor,08/11/2025,23800,23247,23324,,,,,,
85,Total 2nd Lien/Senior Secured Debt,445575,446632,,,,,,,,,,,
86,Unsecured Debt  – 0.80%,,,,,,,,,,,,,
87,"CB-HDT  Holdings, Inc.  ^ (6)",Aerospace & Defense,12.00% PIK,12/15/2019,3707,3707,3707,,,,,,,
88,"CB-HDT  Holdings, Inc.  ^",Aerospace & Defense,12.00% PIK,03/05/2021,1618,1618,1618,,,,,,,
89,Conergy Asia & ME Pte.  LTD.  ^ (6) (7),Construction & Engineering,10.00%,09/30/2018,500,500,500,,,,,,,
90,Total Unsecured Debt,5825,5825,,,,,,,,,,,
91,Total Corporate Debt,1116068,1105876,,,,,,,,,,,
92,Portfolio Company,Industry,Coupon,Shares,Cost,Fair Value,,,,,,,,
93,Preferred Stock  (1)  – 2.31%,,,,,,,,,,,,,
94,"Accuity Delivery Systems, LLC  ^ (2) (3) (9)",Health Care Providers & Services,97130,$,3200,$,3200,,,,,,,
95,"CB-HDT  Holdings, Inc.  ^ (3) (6) (9)",Aerospace & Defense,1108333,10186,13610,,,,,,,,,
96,"Conergy Asia Holdings, Ltd.  ^ (3) (6) (7) (9)",Construction & Engineering,600000,600,—,,,,,,,,,
97,Kawa Solar Holdings Limited  ^ (3) (6) (7) (8),Construction & Engineering,8.00% PIK,56149,778,—,,,,,,,,
98,"NTS Communications, Inc.  ^ (3) (6) (9)",Diversified Telecommunication Services,263,187,—,,,,,,,,,
99,Total Preferred Stock,14951,16810,,,,,,,,,,,
100,Common Stock  (1)  – 3.07%,,,,,,,,,,,,,
101,"Bolttech Mannings, Inc.  ^^ (3) (6) (9)",Commercial Services & Supplies,8000,$,6591,$,5299,,,,,,,
102,"CB-HDT  Holdings, Inc.  ^ (3) (6) (9)",Aerospace & Defense,453383,2393,4343,,,,,,,,,
103,"Collaborative Imaging Holdco, LLC – Class B  ^^^ (2) (3) (6) (9)",Health Care Providers & Services,8464,1141,1141,,,,,,,,,
104,"Collaborative Imaging Holdco, LLC – Class C  ^^^ (2) (3) (6) (7) (9)",Health Care Providers & Services,7988,159,159,,,,,,,,,
105,"Conergy Asia Holdings, Ltd.  ^ (3) (6) (7) (9)",Construction & Engineering,2000,4700,—,,,,,,,,,
106,Continuum Managed Services LLC – Class A  (2) (3) (6) (9),IT Services,733,732,805,,,,,,,,,
107,Continuum Managed Services LLC – Class B  (2) (3) (6) (9),IT Services,496698,7,239,,,,,,,,,
108,"Elah Holdings, Inc.  ^ (2) (3) (9)",Capital Markets,46214,2234,2234,,,,,,,,,
109,"Iracore International Holdings, Inc.  ^ (3) (6) (9)",Energy Equipment & Services,28898,7003,6213,,,,,,,,,
110,Kawa Solar Holdings Limited  ^ (3) (6) (7) (9),Construction & Engineering,1399556,—,—,,,,,,,,,
111,"National Spine and Pain Centers, LLC  (2) (3) (6) (9)",Health Care Providers & Services,600,600,510,,,,,,,,,
112,"NTS Communications, Inc.  ^ (3) (6) (9)",Diversified Telecommunication Services,595215,3,—,,,,,,,,,
113,"Prairie Provident Resources, Inc.  ^^^ (7) (9)","Oil, Gas & Consumable Fuels",3579988,9237,942,,,,,,,,,
114,"Yasso, Inc.  (2) (3) (6) (9)",Food Products,850,850,438,,,,,,,,,
115,Total Common Stock,35650,22323,,,,,,,,,,,
116,Portfolio Company,LLC Interest,Cost,Fair Value,,,,,,,,,,
117,Investment Funds & Vehicles  (1)  – 12.71%,,,,,,,,,,,,,
118,"Senior Credit Fund, LLC  ^^ (7)",10/31/2024,$,94342,$,94342,$,92340.0,,,,,,
119,Total Investment Funds & Vehicles,94342,92340,,,,,,,,,,,
120,Yield,Shares,Cost,Fair Value,,,,,,,,,,
121,Investments in Affiliated Money Market Fund  (1)  – 0.00% #,,,,,,,,,,,,,
122,Goldman Sachs Financial Square Government Fund – Institutional Shares  ^^^,1.82%  (11),2131,$,2,$,2,,,,,,,
123,Total Investments in Affiliated Money Market Fund,2,2,,,,,,,,,,,
124,TOTAL INVESTMENTS – 170.32%,$,1261013,$,1237351,,,,,,,,,
125,LIABILITIES IN EXCESS OF OTHER ASSETS – (70.32%),$,"(510,865",),,,,,,,,,,
126,NET ASSETS – 100.00%,$,726486,,,,,,,,,,,
127,,,,,,,,,,,,,(3),"Security exempt from registration under the Securities Act of 1933 (the “Securities Act”), and may be deemed to be “restricted securities” under the Securities Act. As of June 30, 2018, the aggregate fair value of these securities is $74,716 or 10.28% of the Company’s net assets. The acquisition dates of the restricted securities are as follows:"
