,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,,
89,,,"Limited partnership interest (3,988,000 shares)",,1/31/2020,4.5,,,5.4,,(2)(6),,,
91,"ExtraHop Networks, Inc. (16)",Provider of real-time wire data analytics solutions for application and infrastructure monitoring,First lien senior secured loan ($16.6 par due 7/2027),8.50% (Libor + 7.50%/Q),7/22/2021,16.6,,,16.4,,(2)(12),,,
92,,,First lien senior secured loan ($1.1 par due 7/2027),8.50% (Libor + 7.50%/Q),7/20/2021,1.1,,,1.0,,(2)(12),,,
94,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",,3/20/2014,0,,,0,,(2),,,
95,"FM:Systems Group, LLC (16)",Provider of facilities and space management software solutions,First lien senior secured revolving loan ($1.5 par due 12/2024),7.50% (Libor + 6.50%/Q),2/8/2018,1.5,,,1.5,,(2)(12),,,
96,,,First lien senior secured loan ($3.2 par due 12/2024),7.50% (Libor + 6.50%/Q),12/2/2019,3.2,,,3.2,,(2)(12),,,
97,,,First lien senior secured loan ($1.4 par due 12/2024),7.50% (Libor + 6.50%/Q),6/15/2021,1.4,,,1.4,,(2)(12),,,
99,"Forescout Technologies, Inc. (16)",Network access control solutions provider,First lien senior secured loan ($18.7 par due 8/2026),10.50% PIK (Libor + 9.50%/Q),8/17/2020,18.4,,,18.5,,(2)(12),,,
100,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,First lien senior secured loan ($14.9 par due 9/2023),6.25% (Libor + 5.25%/Q),12/30/2020,14.9,,,14.9,,(12),,,
101,,,First lien senior secured loan ($0.1 par due 9/2023),6.25% (Libor + 5.25%/Q),6/15/2021,0.1,,,0.1,,(2)(12),,,
103,,,"Class A preferred units (4,574 units)",9.00% PIK,9/18/2017,6.2,,,6.7,,,,,
104,,,"Class B common units (499,050 units)",,9/18/2017,0,,,7.9,,,,,
106,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,First lien senior secured revolving loan ($1.5 par due 7/2024),4.22% (Libor + 4.00%/Q),7/31/2018,1.5,,,1.5,,(2),,,
107,,,First lien senior secured loan ($9.1 par due 7/2024),5.25% (Libor + 4.50%/Q),11/16/2021,9.1,,,9.0,,(2)(12),,,
108,,,First lien senior secured loan ($0.2 par due 7/2024),4.22% (Libor + 4.00%/Q),7/31/2018,0.2,,,0.2,,(2),,,
109,,,Second lien senior secured loan ($21.1 par due 7/2025),8.25% (Libor + 7.50%/Q),11/16/2021,21.1,,,20.7,,(2)(12),,,
110,,,Second lien senior secured loan ($32.4 par due 7/2025),7.63% (Libor + 7.50%/Q),7/31/2018,32.4,,,31.4,,(2),,,
111,,,Second lien senior secured loan ($7.5 par due 7/2025),7.70% (Libor + 7.50%/Q),6/9/2021,7.5,,,7.3,,(2),,,
112,,,Class A common stock (8.39 shares),,7/31/2018,0.8,,,0.9,,(2),,,
114,GI Ranger Intermediate LLC (16),Provider of payment processing services and software to healthcare providers,First lien senior secured loan ($35.1 par due 10/2028),6.75% (Libor + 6.00%/Q),10/29/2021,35.1,,,34.8,,(2)(12),,,
115,"Heavy Construction Systems Specialists, LLC (16)",Provider of construction software,First lien senior secured loan ($40.9 par due 11/2028),6.50% (Libor + 5.75%/Q),11/16/2021,40.9,,,40.5,,(2)(12),,,
116,"Huskies Parent, Inc., GI Insurity Parent LLC, and GI Insurity Topco LP (16)",Insurance software provider,First lien senior secured revolving loan ($1.6 par due 11/2027),6.25% (Libor + 5.50%/Q),11/3/2021,1.6,,,1.4,,(2)(12),,,
117,,,First lien senior secured loan ($105.8 par due 11/2028),6.25% (Libor + 5.50%/Q),11/3/2021,105.8,,,104.8,,(2)(12),,,
118,,,Senior subordinated loan ($90.2 par due 11/2031),10.00% PIK,11/3/2021,90.2,,,88.8,,(2),,,
119,,,"Company units (4,243,657 units)",,11/3/2021,8.8,,,8.8,,(2),,,
121,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",,10/15/2012,0.1,,,0,,(2),,,
122,Inmar,"Technology-driven solutions provider for retailers, wholesalers and manufacturers",Second lien senior secured loan ($28.3 par due 5/2025),9.00% (Libor + 8.00%/Q),4/25/2017,28.1,,,28.3,,(2)(12),,,
123,Insightful Science,"Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured loan ($0.5 par due 4/2027),7.00% (Libor + 6.00%/Q),12/21/2017,0.5,,,0.5,,(2)(12),,,
124,,,First lien senior secured loan ($16.2 par due 4/2027),6.50% (Libor + 5.50%/Q),4/28/2021,16.2,,,16.0,,(2)(12),,,
125,,,First lien senior secured loan ($7.9 par due 4/2027),6.50% (Libor + 5.50%/Q),10/14/2021,7.9,,,7.9,,(2)(12),,,
126,,,First lien senior secured loan ($7.6 par due 4/2027),6.50% (Libor + 5.50%/Q),11/29/2021,7.6,,,7.5,,(2)(12),,,
127,,,Senior subordinated loan ($39.2 par due 4/2032),10.50% PIK,4/28/2021,39.2,,,38.8,,(2),,,
128,,,"Preferred units (1,828,645 units)",14.00% PIK,4/28/2021,50.5,,,50.5,,,,,
130,"IV Rollover Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services","Class B units (170,490 units)",,5/31/2017,0,,,0.1,,(2),,,
131,,,"Class X units (5,000,000 units)",,5/31/2017,2.1,,,2.2,,(2),,,
133,"Majesco and Magic Topco, L.P. (16)",Insurance software provider,First lien senior secured loan ($42.2 par due 9/2027),8.25% (Libor + 7.25%/Q),9/21/2020,42.2,,,42.2,,(2)(12),,,
134,,,"Class A units (2,539 units)",9.00% PIK,9/21/2020,2.8,,,4.0,,(2),,,
135,,,"Class B units (570,625 units)",,9/21/2020,0,,,0,,(2),,,
137,"Ministry Brands Holdings, LLC and RCP MB Investments B, L.P. (16)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($72.7 par due 12/2028),6.25% (Libor + 5.50%/Q),12/30/2021,72.7,,,72.0,,(2)(12),,,
139,,,"Limited partner interests (9,574,000 interests)",,12/30/2021,9.6,,,9.6,,(2),,,
141,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,First lien senior secured revolving loan ($5.0 par due 12/2022),7.25% (Base Rate + 4.00%/Q),12/2/2016,5.0,,,5.0,,(12),,,
142,,,First lien senior secured loan ($9.2 par due 12/2022),5.00% (Libor + 4.00%/M),4/6/2017,9.2,,,9.2,,(12),,,
143,,,First lien senior secured loan ($4.7 par due 12/2022),5.00% (Libor + 4.00%/M),8/22/2017,4.7,,,4.7,,(12),,,
144,,,Second lien senior secured loan ($106.6 par due 6/2023),10.25% (Libor + 9.25%/M),12/2/2016,106.4,,,106.6,,(12),,,
145,,,Second lien senior secured loan ($13.9 par due 6/2023),10.25% (Libor + 9.25%/M),4/6/2017,13.9,,,13.9,,(2)(12),,,
146,,,Second lien senior secured loan ($17.9 par due 6/2023),10.25% (Libor + 9.25%/M),8/22/2017,17.9,,,17.9,,(2)(12),,,
147,,,Second lien senior secured loan ($48.9 par due 6/2023),9.00% (Libor + 8.00%/M),4/18/2018,48.9,,,48.9,,(2)(12),,,
148,,,"Class A units (500,000 units)",,12/2/2016,5.0,,,7.2,,(2),,,
150,"Mitchell International, Inc.","Provider of technology, connectivity, and information solutions to the property and casualty insurance industry",Second lien senior secured loan ($91.2 par due 10/2029),7.00% (Libor + 6.50%/M),10/1/2021,90.3,,,91.6,,(2)(12)(19),,,
151,"MMIT Holdings, LLC (16)",Provider of market intelligence and analysis for the pharmaceutical industry,First lien senior secured revolving loan ($0.6 par due 9/2027),7.25% (Libor + 6.25%/Q),9/15/2021,0.6,,,0.6,,(2)(12),,,
152,,,First lien senior secured loan ($18.2 par due 9/2027),7.25% (Libor + 6.25%/Q),9/15/2021,18.2,,,18.0,,(2)(12),,,
153,,,First lien senior secured loan ($13.7 par due 9/2027),7.25% (Libor + 6.25%/Q),10/21/2021,13.7,,,13.6,,(2)(12),,,
155,MRI Software LLC (16),Provider of real estate and investment management software,First lien senior secured loan ($51.5 par due 2/2026),6.50% (Libor + 5.50%/Q),2/10/2020,51.5,,,51.5,,(12),,,
156,,,First lien senior secured loan ($4.5 par due 2/2026),6.50% (Libor + 5.50%/Q),8/28/2020,4.5,,,4.5,,(2)(12),,,
158,OpenMarket Inc.,Provider of cloud-based mobile engagement platform,First lien senior secured loan ($50.7 par due 9/2026),7.00% (Libor + 6.25%/Q),9/17/2021,50.7,,,50.1,,(2)(6)(12),,,
159,"Paya, Inc and GTCR-Ultra Holdings LLC (16)",Provider of payment processing and merchant acquiring solutions,"Class B units (2,878,372 units)",,8/1/2017,0,,,2.1,,(2),,,
160,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",,3/11/2016,0.2,,,0,,(2),,,
161,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured loan ($53.5 par due 10/2024),5.50% (Libor + 4.50%/Q),3/19/2019,53.5,,,53.5,,(12),,,
162,,,Second lien senior secured loan ($7.2 par due 10/2025),9.50% (Libor + 8.50%/Q),12/7/2021,7.2,,,7.2,,(2)(12),,,
163,,,Second lien senior secured loan ($70.1 par due 10/2025),9.50% (Libor + 8.50%/Q),3/19/2019,70.1,,,70.1,,(2)(12),,,
164,,,Second lien senior secured loan ($8.3 par due 10/2025),9.50% (Libor + 8.50%/Q),12/17/2020,8.3,,,8.3,,(2)(12),,,
165,,,Second lien senior secured loan ($8.7 par due 10/2025),9.50% (Libor + 8.50%/B),4/27/2021,8.7,,,8.7,,(2)(12),,,
166,,,"Series A preferred stock (13,656 shares)",13.25% PIK,3/19/2019,19.5,,,19.7,,(2),,,
167,,,"Class A units (2,062,493 units)",,3/19/2019,2.1,,,2.9,,(2),,,
169,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($0.2 par due 5/2025),6.25% (Libor + 5.25%/Q),5/29/2019,0.2,,,0.2,,(2)(12),,,
170,,,First lien senior secured loan ($0.1 par due 5/2025),6.75% (Libor + 5.75%/Q),6/24/2020,0.1,,,0.1,,(2)(12),,,
171,,,First lien senior secured loan ($29.9 par due 5/2025),6.75% (Libor + 5.75%/Q),10/16/2020,29.9,,,29.9,,(2)(12),,,
172,,,"Class A units (5,000 units)",,5/29/2019,5.0,,,12.3,,,,,
175,"Pluralsight, Inc. (16)",Online education learning platform,First lien senior secured loan ($117.7 par due 4/2027),9.00% (Libor + 8.00%/Q),4/6/2021,117.7,,,117.7,,(2)(12),,,
176,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",,6/25/2015,0.1,,,0,,(2),,,
177,"PracticeTek Purchaser, LLC and GSV PracticeTek Holdings, LLC",Software provider for medical practitioners,"Class A units (11,804,000 units)",8.00% PIK,3/31/2021,0,,,8.2,,(2),,,
178,"ProfitSolv Purchaser, Inc. and PS Co-Invest, L.P. (16)",Provider of practice management software to law firms,First lien senior secured loan ($3.9 par due 3/2027),6.25% (Libor + 5.25%/M),3/5/2021,3.9,,,3.9,,(2)(12),,,
179,,,"Limited partnership units (1,624,000 units)",,3/5/2021,1.6,,,1.6,,(2),,,
181,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class A common stock (7,445 shares)",,8/22/2016,7.4,,,16.8,,(2),,,
182,,,"Class B common stock (1,841,609 shares)",,8/22/2016,0.1,,,0.2,,(2),,,
184,"Project Essential Bidco, Inc. and Project Essential Super Parent, Inc. (16)",Saas provider of automated crew callout and scheduling software for the utility industry,First lien senior secured loan ($36.6 par due 4/2028),6.75% (Libor + 5.75%/Q),4/20/2021,36.6,,,35.8,,(2)(12),,,
185,,,"Preferred shares (26,436 shares)",10.50% PIK (Libor + 9.50%/Q),4/20/2021,28.5,,,28.5,,(2)(12),,,
187,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured revolving loan ($0.8 par due 4/2026),10.50% (Base Rate + 7.25%/Q),4/23/2020,0.7,,,0.8,,(2)(12)(15),,,
188,,,First lien senior secured loan ($44.1 par due 4/2027),9.25% (Libor + 8.25%/M),4/23/2020,44.1,,,44.1,,(12),,,
189,,,First lien senior secured loan ($12.9 par due 4/2027),9.25% (Libor + 8.25%/M),10/30/2020,12.9,,,12.9,,(2)(12),,,
190,,,First lien senior secured loan ($19.4 par due 4/2027),9.25% (Libor + 8.25%/M),11/18/2020,19.4,,,19.4,,(2)(12),,,
191,,,"Class A units (1,599 units)",9.00% PIK,4/23/2020,1.9,,,1.9,,(2),,,
192,,,"Class B units (588,636 units)",,4/23/2020,0,,,0.8,,(2),,,
194,"Proofpoint, Inc. (16)",Cybersecurity solutions provider,First lien senior secured loan ($1.0 par due 8/2028),3.75% (Libor + 3.25%/Q),6/9/2021,1.0,,,1.0,,(2)(12)(19),,,
195,,,Second lien senior secured loan ($34.6 par due 8/2029),6.75% (Libor + 6.25%/Q),6/9/2021,34.4,,,34.6,,(2)(12),,,
197,"QF Holdings, Inc. (16)",SaaS based electronic health record software provider,First lien senior secured loan ($8.1 par due 12/2027),7.25% (Libor + 6.25%/Q),12/15/2021,8.1,,,8.1,,(2)(12),,,
198,,,First lien senior secured loan ($15.5 par due 12/2027),7.50% (Libor + 6.50%/Q),9/19/2019,15.5,,,15.5,,(2)(12),,,
200,"Raptor Technologies, LLC, Sycamore Bidco LTD and Rocket Parent, LLC (16)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured loan ($28.5 par due 10/2028),7.00% (Libor + 6.00%/Q),10/5/2021,28.5,,,28.2,,(2)(6)(12),,,
201,,,"Class A common units (2,880,582 units)",,12/17/2018,3.5,,,4.8,,,,,
203,"RealPage, Inc.",Provider of enterprise software solutions to the residential real estate industry,Second lien senior secured loan ($84.1 par due 4/2029),7.25% (Libor + 6.50%/M),4/22/2021,82.9,,,84.1,,(2)(12),,,
204,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,"Warrant to purchase up to 5,393,194 shares of common stock (expires 12/2026)",,12/23/2016,0,,,0,,(2),,,
205,,,Warrant to purchase up to 987 shares of common stock (expires 12/2026),,12/23/2016,0,,,0,,(2),,,
207,Relativity ODA LLC (16),Electronic discovery document review software platform for use in litigations and investigations,First lien senior secured loan ($59.8 par due 5/2027),8.50% PIK (Libor + 7.50%/M),5/12/2021,59.8,,,59.8,,(2)(12),,,
208,"RMS Holdco II, LLC & RMS Group Holdings, Inc. (16)","Developer of revenue cycle management solutions, process automation, analytics and integration for the healthcare industry",First lien senior secured loan ($23.5 par due 12/2027),6.50% (Libor + 5.75%/Q),12/16/2021,23.5,,,23.3,,(2)(12),,,
210,,,Class A common stock (464.9 shares),,12/16/2021,4.6,,,4.6,,(2),,,
212,"Smarsh Inc., MobileGuard, LLC, Actiance, Inc. and Skywalker TopCo, LLC",SaaS based communication archival service provider,First lien senior secured loan ($13.3 par due 11/2025),9.25% (Libor + 8.25%/M),11/20/2020,13.3,,,13.3,,(2)(12),,,
213,,,"Common units (1,432,835 units)",,11/20/2020,4.8,,,5.1,,(2),,,
215,"SocialFlow, Inc.",Social media optimization platform provider,"Warrant to purchase up to 215,331 shares of Series C preferred stock (expires 1/2026)",,1/13/2016,0,,,0,,(2),,,
216,"Sophia, L.P.",Provider of ERP software and services for higher education institutions,Second lien senior secured loan ($105.9 par due 10/2028),9.00% (Libor + 8.00%/Q),10/7/2020,105.9,,,105.9,,(2)(12),,,
217,SoundCloud Limited,"Platform for receiving, sending, and distributing music","Common stock (73,422 shares)",,8/15/2017,0.4,,,0.7,,(2)(6),,,
218,Stamps.com Inc.,Provider of mailing and shipping solutions,First lien senior secured loan ($197.9 par due 10/2028),6.50% (Libor + 5.75%/Q),10/5/2021,197.9,,,193.9,,(2)(12),,,
