,Company(1),Business Description,Investment,Interest(5)(9),,Acquisition  Date,,Amortized  Cost,Fair  Value
60,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,"Series A preferred stock (110,425 shares)",12.66% PIK (Libor + 10.75%/Q),0,6/30/2017,0,152.3,152.3
61,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,"Class A units (14,013,303 units)",0,0,6/30/2017,0,14.0,16.8
63,Hygiena Borrower LLC (17),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($2.5 par due 8/2023),9.70% (Libor + 7.75%/Q),0,8/26/2016,0,2.5,2.5
64,Hygiena Borrower LLC (17),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($10.7 par due 8/2023),9.70% (Libor + 7.75%/Q),0,2/27/2017,0,10.7,10.6
65,Hygiena Borrower LLC (17),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($11.1 par due 8/2023),9.70% (Libor + 7.75%/Q),0,6/29/2018,0,11.1,11.0
66,Hygiena Borrower LLC (17),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($0.6 par due 8/2023),9.70% (Libor + 7.75%/Q),0,6/29/2018,0,0.6,0.6
69,"JDC Healthcare Management, LLC (17)",Dental services provider,First lien senior secured revolving loan ($4.0 par due 4/2022),9.53% (Libor + 7.75%/M),0,4/10/2017,0,4.0,3.3
70,"JDC Healthcare Management, LLC (17)",Dental services provider,First lien senior secured loan ($29.6 par due 4/2023),"9.55% (Libor + 6.75% Cash, 1.00% PIK/M)",0,4/10/2017,0,29.6,24.3
71,"JDC Healthcare Management, LLC (17)",Dental services provider,First lien senior secured loan ($4.2 par due 4/2023),"9.55% (Libor + 6.75% Cash, 1.00% PIK/M)",0,4/10/2017,0,4.2,3.4
73,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (17)",Provider of behavioral health services,First lien senior secured revolving loan ($2.0 par due 3/2022),6.80% (Libor + 5.00%/M),0,3/17/2017,0,2.0,1.8
74,Key Surgical LLC (17),"Provider of sterile processing, operating room and instrument care supplies for hospitals",First lien senior secured loan ($16.5 par due 6/2023),6.00% (EURIBOR + 5.00%/Q),0,6/1/2017,0,16.5,16.5
75,Key Surgical LLC (17),"Provider of sterile processing, operating room and instrument care supplies for hospitals",First lien senior secured loan ($5.5 par due 6/2023),6.00% (Libor + 5.00%/M),0,8/28/2019,0,5.4,5.5
77,"MB2 Dental Solutions, LLC (17)",Dental services provider,First lien senior secured revolving loan ($4.6 par due 9/2023),8.75% (Base Rate + 4.00%/Q),0,9/29/2017,0,4.6,4.6
78,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,First lien senior secured loan ($116.9 par due 7/2020),7.31% (Libor + 5.50%/M),0,7/26/2017,0,116.9,116.9
79,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,"Class A units (1,438,643 shares)",0,0,1/17/2014,0,1.5,1.3
81,"Minerva Surgical, Inc. (17)",Medical device company focused on women's health,First lien senior secured loan ($29.6 par due 12/2022),11.50% (Libor + 9.50%/Q),0,12/30/2019,0,28.4,29.3
82,MW Dental Holding Corp. (17),Dental services provider,First lien senior secured revolving loan ($10.0 par due 4/2021),9.15% (Libor + 6.75%/Q),0,4/12/2011,0,10.0,10.0
83,MW Dental Holding Corp. (17),Dental services provider,First lien senior secured loan ($122.4 par due 4/2021),8.69% (Libor + 6.75%/Q),0,4/12/2011,0,122.4,122.4
84,MW Dental Holding Corp. (17),Dental services provider,First lien senior secured loan ($23.8 par due 4/2021),8.69% (Libor + 6.75%/Q),0,3/19/2018,0,23.8,23.8
86,NMN Holdings III Corp. and NMN Holdings LP (17),Provider of complex rehab technology solutions for patients with mobility loss,"Partnership units (30,000 units)",0,0,11/13/2018,0,3.0,3.4
87,"NMSC Holdings, Inc. and ASP NAPA Holdings, LLC",Anesthesia management services provider,Second lien senior secured loan ($72.8 par due 10/2023),11.80% (Libor + 10.00%/M),0,4/19/2016,0,72.8,72.8
88,"NMSC Holdings, Inc. and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Class A units (25,790 units)",0,0,4/19/2016,0,2.6,1.6
90,"NueHealth Performance, LLC (17)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($9.9 par due 9/2023),8.30% (Libor + 6.50%/M),0,9/27/2018,0,9.9,9.9
91,"NueHealth Performance, LLC (17)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($1.5 par due 9/2023),8.30% (Libor + 6.50%/M),0,9/27/2018,0,1.5,1.5
93,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (17)",Behavioral health and special education platform provider,First lien senior secured loan ($43.0 par due 9/2026),7.30% (Libor + 5.50%/M),0,9/24/2019,0,43.0,42.5
94,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (17)",Behavioral health and special education platform provider,"Class A common units (9,549,000 units)",0,0,9/24/2019,0,9.5,9.5
96,"OMH-HealthEdge Holdings, LLC (17)",Revenue cycle management provider for healthcare companies,First lien senior secured loan ($26.7 par due 10/2025),7.30% (Libor + 5.50%/M),0,10/24/2019,0,26.7,26.4
97,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),0,0,11/21/2013,0,1.0,0.6
98,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),Veterinary hospital operator,First lien senior secured revolving loan,0,0,12/21/2018,0,0.0,0.0
99,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),Veterinary hospital operator,First lien senior secured loan ($57.1 par due 12/2024),6.30% (Libor + 4.50%/M),0,12/21/2018,0,56.6,56.5
100,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),Veterinary hospital operator,First lien senior secured loan ($23.0 par due 12/2024),6.30% (Libor + 4.50%/M),0,12/21/2018,0,23.0,22.8
101,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),Veterinary hospital operator,First lien senior secured loan ($13.8 par due 12/2024),6.30% (Libor + 4.50%/M),0,10/11/2019,0,13.8,13.7
103,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),Veterinary hospital operator,Second lien senior secured loan ($163.9 par due 12/2025),10.30% (Libor + 8.50%/M),0,12/21/2018,0,163.9,163.1
104,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),Veterinary hospital operator,Second lien senior secured loan ($54.9 par due 12/2025),10.30% (Libor + 8.50%/M),0,12/21/2018,0,54.9,54.7
105,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),Veterinary hospital operator,Second lien senior secured loan ($12.6 par due 12/2025),10.30% (Libor + 8.50%/M),0,10/11/2019,0,12.6,12.5
106,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (17),Veterinary hospital operator,"Preferred subscription units (1,507,384 units)",0,0,12/21/2018,0,4.9,10.6
108,"Patterson Medical Supply, Inc.",Distributor of rehabilitation supplies and equipment,Second lien senior secured loan ($78.0 par due 8/2023),10.43% (Libor + 8.50%/Q),0,9/2/2015,0,77.0,62.4
109,"PetIQ, LLC",Distributor and manufacturer of pet prescription medications and health products,First lien senior secured loan ($21.0 par due 7/2025),6.30% (Libor + 4.50%/M),0,1/17/2018,0,21.0,20.8
110,"PetVet Care Centers, LLC",Veterinary hospital operator,First lien senior secured loan ($26.3 par due 2/2025),6.05% (Libor + 4.25%/M),0,10/31/2019,0,25.8,26.0
111,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($47.2 par due 5/2021),10.55% (Libor + 8.75%/M),0,12/18/2015,0,47.1,46.8
112,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (17),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured revolving loan,0,0,7/10/2018,0,0.0,0.0
113,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (17),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured loan ($10.8 par due 7/2025),5.45% (Libor + 3.50%/Q),0,7/10/2018,0,10.8,10.7
114,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (17),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,Second lien senior secured loan ($67.1 par due 7/2026),9.45% (Libor + 7.50%/Q),0,7/10/2018,0,66.6,66.4
115,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (17),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,"Class A units (9,775 units)",0,0,7/10/2018,0,9.8,11.5
117,"ProVation Medical, Inc.",Provider of documentation and coding software for GI physicians,First lien senior secured loan ($12.9 par due 3/2024),8.98% (Libor + 7.00%/Q),0,3/9/2018,0,12.7,12.9
118,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",0,0,6/28/2012,0,0.0,0.0
119,"RTI Surgical, Inc.","Manufacturer of biologic, metal and synthetic implants/devices",Second lien senior secured loan ($94.8 par due 12/2023),10.49% (Libor + 8.75%/M),0,3/8/2019,0,94.8,94.8
120,"SCSG EA Acquisition Company, Inc. (17)",Provider of outsourced clinical services to hospitals and health systems,First lien senior secured revolving loan,0,0,9/1/2017,0,0.0,0.0
121,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (17)",Outsourced anesthesia provider,First lien senior secured loan ($17.1 par due 3/2024),6.70% (Libor + 4.75%/Q),0,3/26/2018,0,17.1,16.3
122,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (17)",Outsourced anesthesia provider,"Common units (684,854 units)",0,0,3/26/2018,0,4.8,2.9
124,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (17)",Breast cancer screening provider,First lien senior secured revolving loan ($4.4 par due 8/2024),7.30% (Libor + 5.50%/Q),0,8/1/2018,0,4.4,4.4
125,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (17)",Breast cancer screening provider,First lien senior secured loan ($7.1 par due 8/2024),7.30% (Libor + 5.50%/M),0,8/1/2018,0,7.1,7.1
126,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (17)",Breast cancer screening provider,"Series A preferred stock (44,975 shares)",12.16% PIK (Libor + 10.25%/Q),0,8/1/2018,0,53.8,53.8
127,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (17)",Breast cancer screening provider,"Series A units (7,475 units)",0,0,8/1/2018,0,7.5,8.9
128,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (17)",Breast cancer screening provider,"Series B units (747,500 units)",0,0,8/1/2018,0,0.0,0.0
130,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (17)",Franchisor of private-pay home care for the elderly,First lien senior secured loan ($15.9 par due 4/2024),7.70% (Libor + 5.75%/Q),0,4/2/2018,0,15.9,15.9
131,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (17)",Franchisor of private-pay home care for the elderly,Common units (550 units),0,0,4/2/2018,0,0.6,0.7
133,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($50.9 par due 6/2024),"10.64% (Libor + 7.75% Cash, 1.00% PIK/Q)",0,12/13/2018,0,50.9,45.8
134,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($29.6 par due 6/2024),"10.68% (Libor + 7.75% Cash, 1.00% PIK/Q)",0,12/13/2018,0,29.6,26.6
137,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P. (17)","Manufacturer of consumable products in the dental, medical, cosmetic and CPG/industrial end-markets",First lien senior secured loan ($25.5 par due 11/2025),6.55% (Libor + 4.75%/M),0,11/15/2018,0,25.5,25.2
138,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P. (17)","Manufacturer of consumable products in the dental, medical, cosmetic and CPG/industrial end-markets","Class A preferred units (2,149 units)",8.00% PIK,0,11/15/2018,0,2.3,2.3
140,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,Second lien senior secured loan ($71.8 par due 6/2025),9.05% (Libor + 7.25%/M),0,6/16/2017,0,71.1,71.8
141,"United Digestive MSO Parent, LLC (17)",Gastroenterology physician group,First lien senior secured loan ($12.5 par due 12/2024),6.43% (Libor + 4.50%/Q),0,12/14/2018,0,12.5,12.5
142,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Preferred units (7,696,613 units)",0,0,6/11/2015,0,7.7,0.0
143,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Series A common units (2,000,000 units)",0,0,6/11/2015,0,2.0,0.0
144,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Series C common units (5,288,427 units)",0,0,6/11/2015,0,0.0,0.0
146,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",Urology private practice,First lien senior secured loan ($9.8 par due 8/2024),6.80% (Libor + 5.00%/M),0,8/31/2018,0,9.6,9.8
147,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",Urology private practice,Limited partnership interests (3.64% interest),0,0,8/31/2018,0,4.8,5.6
149,"West Dermatology, LLC (17)",Dermatology practice platform,First lien senior secured revolving loan ($1.0 par due 4/2022),7.70% (Libor + 5.75%/Q),0,2/8/2018,0,1.0,1.0
150,"West Dermatology, LLC (17)",Dermatology practice platform,First lien senior secured loan ($7.5 par due 4/2023),7.70% (Libor + 5.75%/Q),0,4/2/2018,0,7.5,7.5
151,"West Dermatology, LLC (17)",Dermatology practice platform,First lien senior secured loan ($12.5 par due 4/2023),7.70% (Libor + 5.75%/Q),0,9/5/2018,0,12.5,12.5
152,"West Dermatology, LLC (17)",Dermatology practice platform,First lien senior secured loan ($6.4 par due 4/2023),7.70% (Libor + 5.75%/Q),0,6/28/2019,0,6.4,6.4
154,"WIRB - Copernicus Group, Inc. (17)","Provider of regulatory, ethical, and safety review services for clinical research involving human subjects",First lien senior secured revolving loan,0,0,2/8/2018,0,0.0,0.0
155,WSHP FC Acquisition LLC (17),Provider of biospecimen products for pharma research,First lien senior secured loan ($28.2 par due 3/2024),8.20% (Libor + 6.25%/Q),0,3/30/2018,0,28.2,28.2
156,WSHP FC Acquisition LLC (17),Provider of biospecimen products for pharma research,First lien senior secured loan ($5.9 par due 3/2024),8.20% (Libor + 6.25%/Q),0,3/30/2018,0,5.9,5.9
157,WSHP FC Acquisition LLC (17),Provider of biospecimen products for pharma research,First lien senior secured loan ($4.6 par due 3/2024),8.20% (Libor + 6.25%/Q),0,2/11/2019,0,4.6,4.6
158,WSHP FC Acquisition LLC (17),Provider of biospecimen products for pharma research,First lien senior secured loan ($5.8 par due 3/2024),8.20% (Libor + 6.25%/Q),0,2/11/2019,0,5.8,5.8
159,WSHP FC Acquisition LLC (17),Provider of biospecimen products for pharma research,First lien senior secured loan ($8.7 par due 3/2024),8.20% (Libor + 6.25%/Q),0,8/30/2019,0,8.7,8.7
160,WSHP FC Acquisition LLC (17),Provider of biospecimen products for pharma research,First lien senior secured loan ($11.1 par due 3/2024),8.20% (Libor + 6.25%/Q),0,10/31/2019,0,11.1,11.1
164,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (17)",Provider of IP management lifecycle software,First lien senior secured loan ($4.7 par due 4/2026),5.50% (Euribor + 5.50%/Q),0,4/10/2019,0,4.7,4.7
165,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (17)",Provider of IP management lifecycle software,First lien senior secured loan ($7.7 par due 4/2026),7.26% (Libor + 5.25%/Q),0,4/10/2019,0,7.7,7.7
166,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (17)",Provider of IP management lifecycle software,"Limited partnership units (4,400,000 units)",0,0,6/13/2019,0,5.0,5.9
168,"Apptio, Inc. (17)",Provider of cloud-based technology business management solutions,First lien senior secured loan ($62.2 par due 1/2025),8.96% (Libor + 7.25%/M),0,1/10/2019,0,62.2,62.2
169,"Avetta, LLC (17)",Supply chain risk management SaaS platform for global enterprise clients,First lien senior secured loan ($36.1 par due 4/2024),7.55% (Libor + 5.75%/M),0,4/10/2018,0,36.1,36.1
171,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (17)",Provider of software and services for fundraising and organizing efforts to non-profits and political campaigns,First lien senior secured loan ($40.8 par due 8/2023),8.65% (Libor + 6.75%/Q),0,8/20/2018,0,40.8,40.8
172,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (17)",Provider of software and services for fundraising and organizing efforts to non-profits and political campaigns,"Series A preferred stock (150,000 shares)",0,0,9/26/2018,0,1.5,1.9
174,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",0,0,7/23/2014,0,0.0,0.0
175,"Clearwater Analytics, LLC (17)","Provider of integrated cloud-based investment portfolio management, accounting, reporting and analytics software",First lien senior secured loan ($3.9 par due 12/2025),7.20% (Libor + 5.50%/Q),0,12/3/2019,0,3.9,3.9
176,Command Alkon Incorporated (17),Software solutions provider to the ready-mix concrete industry,First lien senior secured revolving loan ($1.5 par due 9/2022),9.75% (Base Rate + 5.00%/Q),0,9/1/2017,0,1.5,1.4
177,Command Alkon Incorporated (17),Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($20.2 par due 9/2023),7.71% (Libor + 6.00%/M),0,9/1/2017,0,20.2,19.8
178,Command Alkon Incorporated (17),Software solutions provider to the ready-mix concrete industry,Second lien senior secured loan ($33.9 par due 3/2024),11.71% (Libor + 10.00%/M),0,9/1/2017,0,33.9,32.5
180,Compuware Software Group LLC,Web and mobile cloud performance testing and monitoring services provider,"Preferred units (4,132 units)",9.00% PIK,0,7/31/2019,0,0.8,2.2
181,Compuware Software Group LLC,Web and mobile cloud performance testing and monitoring services provider,"Common units (744,569 units)",0,0,7/31/2019,0,0.0,0.8
183,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (17)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($14.4 par due 7/2026),7.59% (Libor + 5.50%/Q),0,7/2/2019,0,14.4,14.2
184,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (17)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($4.5 par due 7/2026),7.50% (Libor + 5.50%/Q),0,10/15/2019,0,4.5,4.4
