,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,
17,"Apptio, Inc. (17)",Provider of cloud-based technology business management solutions,First lien senior secured revolving loan ($1.7 par due 1/2025),8.25% (Libor + 7.25%/Q),1/10/2019,1.7,,,1.7,,(2)(13),,
18,,,First lien senior secured loan ($62.2 par due 1/2025),8.25% (Libor + 7.25%/Q),1/10/2019,62.2,,,62.2,,(13),,
20,"Avetta, LLC (17)",Supply chain risk management SaaS platform for global enterprise clients,First lien senior secured loan ($21.1 par due 4/2024),6.25% (Libor + 5.25%/Q),7/15/2021,21.1,,,21.1,,(2)(13),,
21,"AxiomSL Group, Inc. and Calypso Group, Inc. (17)",Provider of real-time wire data analytics solutions for application and infrastructure monitoring,First lien senior secured loan ($21.4 par due 12/2027),7.00% (Libor + 6.00%/Q),7/21/2021,21.0,,,21.2,,(2)(13),,
22,"Banyan Software Holdings, LLC (17)",Vertical software businesses holding company,First lien senior secured loan ($20.3 par due 10/2026),8.50% (Libor + 7.50%/Q),10/30/2020,20.3,,,20.3,,(2)(13),,
23,Borrower R365 Holdings LLC (17),Provider of restaurant ERP systems,First lien senior secured revolving loan ($0.7 par due 6/2027),7.50% (Libor + 6.50%/Q),6/10/2021,0.7,,,0.7,,(2)(13),,
24,,,First lien senior secured loan ($15.4 par due 6/2027),"7.50% (Libor + 3.50% Cash, 3.00% PIK/S)",6/10/2021,15.1,,,15.2,,(2)(13),,
26,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",,7/23/2014,0,,,0,,(2),,
27,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (17)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured revolving loan ($1.1 par due 11/2025),6.75% (Base Rate + 3.50%/Q),11/12/2020,1.1,,,1.1,,(2)(13),,
28,,,Second lien senior secured loan ($48.1 par due 11/2028),8.50% (Libor + 7.75%/Q),11/12/2020,48.1,,,48.1,,(2)(13),,
29,,,"Series A-2 preferred shares (8,963 shares)",11.25% PIK (Libor + 11.00%/Q),12/23/2020,9.8,,,9.9,,(2),,
30,,,"Series A preferred shares (24,898 shares)",11.21% PIK (Libor + 11.00%/Q),11/12/2020,27.5,,,27.4,,(2),,
33,"Consilio Midco Limited and Consilio Investment Holdings, L.P. (17)",Provider of sales software for the interior design industry,First lien senior secured loan ($60.8 par due 5/2028),6.75% (Libor + 5.75%/Q),5/28/2021,60.8,,,60.1,,(2)(6)(13),,
34,,,"Common units (4,799,000 units)",,5/28/2021,4.8,,,6.0,,(2)(6),,
36,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP (17)","Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",Second lien senior secured loan ($155.7 par due 6/2029),7.00% (Libor + 6.50%/M),6/3/2021,155.7,,,154.1,,(2)(13),,
37,,,"Limited partnership units (59,665,989 units)",,4/29/2021,59.7,,,75.0,,(2),,
39,"Cority Software Inc., IQS, Inc. and Cority Parent, Inc. (17)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($6.4 par due 7/2026),6.00% (Libor + 5.00%/Q),7/2/2019,6.4,,,6.4,,(6)(13),,
40,,,First lien senior secured loan ($4.4 par due 7/2026),6.00% (Libor + 5.00%/Q),10/15/2019,4.4,,,4.4,,(6)(13),,
41,,,First lien senior secured loan ($1.1 par due 7/2026),8.00% (Libor + 7.00%/Q),9/3/2020,1.1,,,1.1,,(2)(6)(13),,
42,,,Preferred equity (198 shares),9.00% PIK,7/2/2019,0.2,,,0.2,,(2)(6),,
43,,,"Common equity (190,143 shares)",,7/2/2019,0,,,0.3,,(2)(6),,
45,Datix Bidco Limited,Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($0.1 par due 4/2025),4.21% (Libor + 4.00%/Q),10/7/2019,0,,,0.1,,(2)(6),,
46,"DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",Provider of internet security tools and solutions,"Series A preferred shares (129,822 shares)",10.50% PIK,5/25/2021,131.2,,,129.8,,(2),,
47,,,"Series A units (817,194 units)",,5/27/2021,13.3,,,12.2,,(2),,
49,Denali Holdco LLC and Denali Topco LLC (17),Provider of cybersecurity audit and assessment services,First lien senior secured loan ($37.3 par due 9/2027),7.00% (Libor + 6.00%/Q),9/15/2021,37.3,,,36.9,,(2)(13),,
50,,,"Class A units (2,549,000)",,9/15/2021,2.5,,,2.5,,(2),,
52,"Diligent Corporation and Diligent Preferred Issuer, Inc. (17)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured revolving loan,,8/4/2020,0,,,0,,(15),,
53,,,First lien senior secured loan ($33.1 par due 8/2025),7.25% (Libor + 6.25%/Q),8/4/2020,32.5,,,33.1,,(13),,
54,,,First lien senior secured loan ($9.0 par due 8/2025),6.75% (Libor + 5.75%/Q),3/4/2021,8.9,,,9.0,,(2)(13),,
55,,,First lien senior secured loan ($11.5 par due 8/2025),6.75% (Libor + 5.75%/Q),4/6/2021,11.4,,,11.5,,(2)(13),,
56,,,First lien senior secured loan ($2.0 par due 8/2025),7.25% (Libor + 6.25%/Q),7/30/2021,2.0,,,2.0,,(2)(13),,
57,,,"Preferred stock (13,140 shares)",10.50% PIK,4/6/2021,13.5,,,13.8,,(2),,
59,"Drilling Info Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,Second lien senior secured loan ($25.0 par due 7/2026),8.33% (Libor + 8.25%/M),2/11/2020,25.0,,,25.0,,,,
60,,,Preferred stock (29.53 shares),13.50% PIK,2/11/2020,35.8,,,36.7,,(2),,
62,"DS Admiral Bidco, LLC (17)",Tax return software provider for government institutions,First lien senior secured loan ($25.8 par due 3/2028),6.75% (Libor + 5.75%/Q),3/16/2021,25.1,,,25.5,,(2)(13),,
63,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (17)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured revolving loan ($2.3 par due 9/2025),7.00% (Libor + 6.00%/M),9/18/2019,2.3,,,2.3,,(2)(13),,
64,,,First lien senior secured loan ($50.7 par due 9/2025),7.00% (Libor + 6.00%/Q),9/18/2019,50.7,,,50.7,,(13),,
65,,,First lien senior secured loan ($11.5 par due 9/2025),7.00% (Libor + 6.00%/Q),9/18/2019,11.5,,,11.5,,(2)(13),,
66,,,First lien senior secured loan ($20.5 par due 9/2025),7.00% (Libor + 6.00%/Q),12/15/2020,20.5,,,20.5,,(2)(13),,
68,,,"Preferred equity (4,599 shares)",,9/18/2019,4.6,,,5.0,,,,
70,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (17)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($29.0 par due 5/2026),5.38% (Libor + 5.25%/Q),5/10/2019,29.0,,,29.0,,(6),,
71,,,First lien senior secured loan ($24.4 par due 5/2026),5.38% (Libor + 5.25%/Q),5/10/2019,24.4,,,24.4,,(2)(6)(9),,
72,,,First lien senior secured loan ($10.6 par due 5/2026),5.38% (Libor + 5.25%/Q),5/10/2019,10.6,,,10.6,,(2)(6),,
73,,,"Partnership units (5,034,483 units)",,5/10/2019,4.7,,,8.6,,(2)(6),,
75,Episerver Inc. and Goldcup 17308 AB (17),Provider of web content management and digital commerce solutions,First lien senior secured loan ($6.2 par due 4/2026),5.75% (Euribor + 5.75%/Q),3/22/2019,6.0,,,6.2,,(2)(6),,
76,,,First lien senior secured loan ($27.0 par due 4/2026),6.50% (Libor + 5.50%/Q),10/9/2018,27.0,,,27.0,,(2)(6)(13),,
78,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (17)","Provider of mission-critical, software-enabled clinical research solutions",Second lien senior secured loan ($19.9 par due 2/2028),8.50% (Libor + 8.00%/M),2/4/2020,19.5,,,19.9,,(13),,
79,,,Second lien senior secured loan ($2.5 par due 2/2028),8.50% (Libor + 8.00%/M),2/4/2020,2.5,,,2.5,,(2)(13),,
80,,,Second lien senior secured loan ($30.6 par due 2/2028),8.50% (Libor + 8.00%/M),4/27/2021,29.5,,,30.6,,(2)(13),,
81,,,"Limited partnership interest (3,988,000 shares)",,1/31/2020,4.5,,,5.8,,(2)(6),,
83,"ExtraHop Networks, Inc. (17)",Provider of real-time wire data analytics solutions for application and infrastructure monitoring,First lien senior secured loan ($0.4 par due 7/2027),8.50% (Libor + 7.50%/Q),7/20/2021,0.4,,,0.4,,(2)(13),,
84,,,First lien senior secured loan ($16.6 par due 7/2027),8.50% (Libor + 7.50%/Q),7/22/2021,16.6,,,16.4,,(2)(13),,
86,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",,3/20/2014,0,,,0,,(2),,
87,"FM:Systems Group, LLC (17)",Provider of facilities and space management software solutions,First lien senior secured revolving loan ($1.5 par due 12/2024),7.50% (Libor + 6.50%/Q),2/8/2018,1.5,,,1.5,,(2)(13),,
88,,,First lien senior secured loan ($3.2 par due 12/2024),7.50% (Libor + 6.50%/M),12/2/2019,3.2,,,3.2,,(2)(13),,
89,,,First lien senior secured loan ($1.4 par due 12/2024),7.50% (Libor + 6.50%/Q),6/15/2021,1.4,,,1.4,,(2)(13),,
91,"Forescout Technologies, Inc. (17)",Network access control solutions provider,First lien senior secured loan ($18.3 par due 8/2026),10.50% PIK (Libor + 9.50%/Q),8/17/2020,17.9,,,17.9,,(2)(13),,
92,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,First lien senior secured loan ($17.3 par due 9/2023),6.75% (Libor + 5.75%/Q),12/30/2020,17.3,,,17.3,,(13),,
93,,,First lien senior secured loan ($3.1 par due 9/2023),6.75% (Libor + 5.75%/Q),6/15/2021,3.1,,,3.1,,(2)(13),,
94,,,"Class A preferred units (4,574 units)",9.00% PIK,9/18/2017,6.0,,,6.6,,,,
95,,,"Class B common units (499,050 units)",,9/18/2017,0,,,4.3,,,,
97,Genesis Acquisition Co. and Genesis Holding Co. (17),Child care management software and services provider,First lien senior secured revolving loan ($1.5 par due 7/2024),4.13% (Libor + 4.00%/Q),7/31/2018,1.5,,,1.5,,(2),,
98,,,First lien senior secured loan ($0.2 par due 7/2024),4.13% (Libor + 4.00%/Q),7/31/2018,0.2,,,0.2,,(2),,
99,,,Second lien senior secured loan ($32.4 par due 7/2025),7.65% (Libor + 7.50%/Q),7/31/2018,32.4,,,31.1,,(2),,
101,,,Second lien senior secured loan ($7.5 par due 7/2025),7.62% (Libor + 7.50%/Q),6/9/2021,7.5,,,7.2,,(2),,
102,,,Class A common stock (8 shares),,7/31/2018,0.8,,,0.8,,(2),,
104,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",,10/15/2012,0.1,,,0,,(2),,
105,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",Second lien senior secured loan ($28.3 par due 5/2025),9.00% (Libor + 8.00%/Q),4/25/2017,28.1,,,28.3,,(2)(13),,
106,"GraphPAD Software, LLC, Insightful Science Intermediate I, LLC and Insightful Science Holdings, LLC","Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured revolving loan ($0.3 par due 4/2027),7.00% (Libor + 6.00%/Q),12/21/2017,0.3,,,0.3,,(2)(13),,
107,,,First lien senior secured loan ($0.5 par due 4/2027),7.00% (Libor + 6.00%/Q),12/21/2017,0.5,,,0.5,,(2)(13),,
108,,,First lien senior secured loan ($16.2 par due 4/2027),6.50% (Libor + 5.50%/Q),4/28/2021,16.2,,,16.0,,(2)(13),,
109,,,Senior subordinated loan ($37.5 par due 4/2032),10.50%,4/28/2021,37.5,,,37.2,,(2),,
110,,,"Preferred units (1,828,645 units)",14.00% PIK,4/28/2021,50.5,,,50.5,,,,
112,"Huskies Parent, Inc. (17)",Insurance software provider,First lien senior secured loan ($0.5 par due 7/2026),4.08% (Libor + 4.00%/M),7/18/2019,0.5,,,0.5,,(2)(20),,
113,"IV Rollover Holdings, LLC",Solar power generation facility developer and operator,"Class B units (170,490 units)",,5/31/2017,0,,,0,,(2),,
114,,,"Class X units (5,000,000 units)",,5/31/2017,2.2,,,2.2,,(2),,
116,"Majesco and Magic Topco, L.P. (17)",Insurance software provider,First lien senior secured loan ($60.7 par due 9/2027),8.25% (Libor + 7.25%/Q),9/21/2020,60.7,,,60.7,,(2)(13),,
117,,,"Class A units (2,539 units)",9.00% PIK,9/21/2020,2.8,,,2.8,,(2),,
118,,,"Class B units (570,625 units)",,9/21/2020,0,,,0.9,,(2),,
120,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($9.2 par due 12/2022),5.00% (Libor + 4.00%/M),4/6/2017,9.2,,,9.2,,(13),,
121,,,First lien senior secured loan ($4.8 par due 12/2022),5.00% (Libor + 4.00%/M),8/22/2017,4.8,,,4.8,,(13),,
122,,,Second lien senior secured loan ($90.0 par due 6/2023),10.25% (Libor + 9.25%/M),12/2/2016,89.8,,,90.0,,(13),,
123,,,Second lien senior secured loan ($16.6 par due 6/2023),10.25% (Libor + 9.25%/M),12/2/2016,16.6,,,16.6,,(2)(13),,
124,,,Second lien senior secured loan ($13.9 par due 6/2023),10.25% (Libor + 9.25%/M),4/6/2017,13.9,,,13.9,,(2)(13),,
125,,,Second lien senior secured loan ($17.9 par due 6/2023),10.25% (Libor + 9.25%/M),8/22/2017,17.9,,,17.9,,(2)(13),,
126,,,Second lien senior secured loan ($48.9 par due 6/2023),9.00% (Libor + 8.00%/M),4/18/2018,48.9,,,48.9,,(2)(13),,
127,,,"Class A units (500,000 units)",,12/2/2016,5.0,,,8.3,,(2),,
129,"MMIT Holdings, LLC (17)",Provider of market intelligence and analysis for the pharmaceutical industry,First lien senior secured loan ($42.9 par due 9/2027),7.25% (Libor + 6.25%/Q),9/15/2021,42.9,,,42.5,,(2)(13),,
130,MRI Software LLC (17),Provider of real estate and investment management software,First lien senior secured loan ($50.6 par due 2/2026),6.50% (Libor + 5.50%/Q),2/10/2020,50.6,,,50.6,,(13),,
131,,,First lien senior secured loan ($3.9 par due 2/2026),6.50% (Libor + 5.50%/Q),8/28/2020,3.9,,,3.9,,(2)(13),,
133,OpenMarket Inc.,Provider of cloud-based mobile engagement platform,First lien senior secured loan ($50.8 par due 9/2026),7.00% (Libor + 6.25%/Q),9/17/2021,50.8,,,50.3,,(6)(13),,
134,"Paya, Inc and GTCR-Ultra Holdings LLC (17)",Provider of payment processing and merchant acquiring solutions,"Class B units (2,878,372 units)",,8/1/2017,0,,,3.6,,(2),,
136,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",,3/11/2016,0.2,,,0,,(2),,
137,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured loan ($53.6 par due 10/2024),5.50% (Libor + 4.50%/Q),3/19/2019,53.6,,,53.6,,(13),,
138,,,Second lien senior secured loan ($4.8 par due 10/2025),9.50% (Libor + 8.50%/Q),4/27/2021,4.8,,,4.8,,(2)(13),,
139,,,Second lien senior secured loan ($70.1 par due 10/2025),9.50% (Libor + 8.50%/Q),3/19/2019,70.1,,,70.1,,(2)(13),,
140,,,Second lien senior secured loan ($8.3 par due 10/2025),9.50% (Libor + 8.50%/Q),12/17/2020,8.3,,,8.3,,(2)(13),,
141,,,"Series A preferred stock (13,656 shares)",13.25% PIK,3/19/2019,18.8,,,19.1,,(2),,
142,,,"Class A units (2,062,493 units)",,3/19/2019,2.1,,,2.8,,(2),,
144,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (17)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($25.6 par due 5/2025),6.75% (Libor + 5.75%/Q),5/29/2019,25.6,,,25.6,,(2)(13),,
145,,,First lien senior secured loan ($5.8 par due 5/2025),7.25% (Libor + 6.25%/Q),6/24/2020,5.8,,,5.8,,(2)(13),,
146,,,First lien senior secured loan ($50.1 par due 5/2025),7.25% (Libor + 6.25%/Q),10/16/2020,50.1,,,50.1,,(2)(13),,
147,,,"Class A units (5,000 units)",,5/29/2019,5.0,,,12.0,,,,
149,"Pluralsight, Inc. (17)",Online education learning platform,First lien senior secured loan ($136.2 par due 4/2027),9.00% (Libor + 8.00%/Q),4/6/2021,136.2,,,134.8,,(2)(13),,
150,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",,6/25/2015,0.1,,,0,,(2),,
151,"PracticeTek Purchaser, LLC and GSV PracticeTek Holdings, LLC (17)",Software provider for medical practitioners,First lien senior secured loan ($11.5 par due 3/2027),7.00% (Libor + 6.00%/M),3/31/2021,11.5,,,11.5,,(2)(13),,
152,,,"Class A units (11,804,000 units)",8.00% PIK,3/31/2021,11.8,,,11.8,,(2),,
154,"ProfitSolv Purchaser, Inc. and PS Co-Invest, L.P. (17)",Provider of practice management software to law firms,First lien senior secured loan ($1.4 par due 3/2027),6.25% (Libor + 5.25%/Q),3/5/2021,1.4,,,1.4,,(2)(13),,
155,,,"Limited partnership units (1,624,000 units)",,3/5/2021,1.6,,1.6,(2),,,,
157,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class A common stock (7,445 shares)",,8/22/2016,7.4,,,17.5,,(2),,
158,,,"Class B common stock (1,841,609 shares)",,8/22/2016,0.1,,,0.2,,(2),,
160,"Project Essential Bidco, Inc. and Project Essential Super Parent, Inc. (17)",Saas provider of automated crew callout and scheduling software for the utility industry,First lien senior secured loan ($36.6 par due 4/2028),6.75% (Libor + 5.75%/Q),4/20/2021,36.6,,,36.3,,(2)(13),,
161,,,"PIK preferred shares (26,436 shares)",10.50% PIK (Libor + 9.50%/Q),4/20/2021,27.7,,,27.7,,(2)(13),,
163,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (17)",Software solutions provider to the ready-mix concrete industry,First lien senior secured revolving loan,,4/23/2020,0,,,0,,(15),,
164,,,First lien senior secured loan ($44.2 par due 4/2027),9.25% (Libor + 8.25%/M),4/23/2020,44.2,,,44.2,,(13),,
165,,,First lien senior secured loan ($12.9 par due 4/2027),9.25% (Libor + 8.25%/M),10/30/2020,12.9,,,12.9,,(2)(13),,
166,,,First lien senior secured loan ($19.4 par due 4/2027),9.25% (Libor + 8.25%/M),11/18/2020,19.4,,,19.4,,(2)(13),,
167,,,"Class A units (1,599 units)",9.00% PIK,4/23/2020,1.8,,,1.7,,(2),,
169,,,"Class B units (588,636 units)",,4/23/2020,0,,,0,,(2),,
171,"Proofpoint, Inc. (17)",Cybersecurity solutions provider,First lien senior secured loan ($1.0 par due 8/2028),3.75% (Libor + 3.25%/Q),6/9/2021,1.0,,,1.0,,(13)(20),,
172,,,Second lien senior secured loan ($34.6 par due 8/2029),6.75% (Libor + 6.25%/Q),6/9/2021,34.4,,,34.9,,(2)(13),,
174,"QF Holdings, Inc. (17)",SaaS based electronic health record software provider,First lien senior secured loan ($29.3 par due 9/2024),7.50% (Libor + 6.50%/Q),9/19/2019,29.3,,,29.3,,(2)(13),,
175,"Raptor Technologies, LLC and Rocket Parent, LLC (17)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured revolving loan ($0.8 par due 12/2023),7.00% (Libor + 6.00%/M),12/17/2018,0.8,,,0.8,,(2)(13),,
176,,,First lien senior secured loan ($20.8 par due 12/2024),7.00% (Libor + 6.00%/Q),12/17/2018,20.8,,,20.8,,(2)(13),,
177,,,"Class A common units (2,294,000 units)",,12/17/2018,2.3,,,2.4,,,,
179,"RealPage, Inc.",Provider of enterprise software solutions to the residential real estate industry,Second lien senior secured loan ($84.1 par due 4/2029),7.25% (Libor + 6.50%/M),4/22/2021,82.9,,,83.2,,(2)(13),,
180,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,"Warrant to purchase up to 5,393,194 shares of common stock (expires 12/2026)",,12/23/2016,0,,,0,,(2),,
181,Relativity ODA LLC (17),Electronic discovery document review software platform for use in litigations and investigations,First lien senior secured loan ($58.5 par due 5/2027),8.50% PIK (Libor + 7.50%/M),5/12/2021,58.5,,,57.9,,(2)(13),,
182,"Retriever Medical/Dental Payments LLC, FSDC Holdings, LLC, Rectangle Ware-Ever Pay LLC and Retriever Enterprises, LLC (17)",Provider of payment processing services and software to healthcare providers,First lien senior secured loan ($26.0 par due 2/2023),6.00% (Libor + 5.00%/Q),3/14/2019,26.0,,,26.0,,(13),,
183,"Smarsh Inc., MobileGuard, LLC, Actiance, Inc. and Skywalker TopCo, LLC",SaaS based communication archival service provider,First lien senior secured loan ($13.3 par due 11/2025),9.25% (Libor + 8.25%/Q),11/20/2020,13.3,,,13.3,,(2)(13),,
184,,,"Common units (1,432,835 units)",,11/20/2020,4.8,,,5.2,,(2),,
186,"SocialFlow, Inc.",Social media optimization platform provider,"Warrant to purchase up to 215,331 shares of Series C preferred stock (expires 1/2026)",,1/13/2016,0,,,0,,(2),,
187,"Sophia, L.P.",Provider of ERP software and services for higher education institutions,Second lien senior secured loan ($105.9 par due 10/2028),9.00% (Libor + 8.00%/Q),10/7/2020,105.9,,,105.9,,(2)(13),,
188,SoundCloud Limited,"Platform for receiving, sending, and distributing music","Common stock (73,422 shares)",,8/15/2017,0.4,,,0.7,,(2)(6),,
189,"Storable, Inc. and EQT IX Co-Investment (E) SCSP",PMS solutions and web services for the self-storage industry,Second lien senior secured loan ($42.8 par due 4/2029),7.50% (Libor + 6.75%/Q),4/16/2021,42.8,,,42.8,,(2)(13),,
190,,,"Limited partnership interests (614,950 interests)",,4/16/2021,6.2,,,6.9,,(2)(6),,
192,"Sundance Group Holdings, Inc. (17)",Provider of cloud-based document management and collaboration solutions,First lien senior secured loan ($15.4 par due 7/2027),7.75% (Libor + 6.75%/Q),7/2/2021,15.1,,,15.3,,(2)(13),,
193,TCP Hawker Intermediate LLC (17),Workforce management solutions provider,First lien senior secured loan ($6.6 par due 8/2026),6.50% (Libor + 5.50%/Q),12/1/2020,6.6,,,6.6,,(13),,
194,,,First lien senior secured loan ($34.9 par due 8/2026),6.50% (Libor + 5.50%/Q),8/30/2019,34.9,,,34.9,,(13),,
196,"The Ultimate Software Group, Inc. and H&F Unite Partners, L.P. (17)",Provider of cloud based HCM solutions for businesses,First lien senior secured revolving loan,,5/3/2019,0,,,0,,(6)(15),,
197,,,Second lien senior secured loan ($136.9 par due 5/2027),8.08% (Libor + 8.00%/M),5/3/2019,136.9,,,136.9,,(6),,
198,,,"Limited partnership interests (12,583,556 interests)",,5/3/2019,12.6,,,15.6,,(2)(6),,
201,Verscend Holding Corp. (17),Healthcare analytics solutions provider,First lien senior secured revolving loan,,8/27/2018,0,,,0,,(15),,
202,"WebPT, Inc. (17)",Electronic medical record software provider,First lien senior secured loan ($48.1 par due 8/2024),7.75% (Libor + 6.75%/Q),8/28/2019,48.1,,,48.1,,(2)(13),,
203,"Wellness AcquisitionCo, Inc. (17)","Provider of retail consumer insights and analytics for manufacturers and retailers in the natural, organic and specialty products industry",First lien senior secured loan ($18.8 par due 1/2027),6.50% (Libor + 5.50%/Q),1/20/2021,18.8,,,18.8,,(2)(13),,
204,"WorkWave Intermediate II, LLC (17)",Provider of cloud-based field services and fleet management solutions,First lien senior secured loan ($14.8 par due 6/2027),8.00% (Libor + 7.25%/Q),6/29/2021,14.8,,,14.7,,(2)(13),,
205,,,First lien senior secured loan ($45.5 par due 6/2027),8.00% PIK (Libor + 7.25.% PIK/Q),6/29/2021,45.5,,,45.0,,(2)(13),,
207,"Zemax Software Holdings, LLC (17)",Provider of optical illumination design software to design engineers,First lien senior secured revolving loan ($2.0 par due 6/2024),8.00% (Base Rate + 4.75%/Q),6/25/2018,2.0,,,2.0,,(2)(13),,
208,,,First lien senior secured loan ($16.5 par due 6/2024),6.75% (Libor + 5.75%/Q),6/25/2018,16.5,,,16.5,,(13),,
210,,,,,,3353.2,,,3410.8,,,39.96,%
212,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(17)",Dental services provider,First lien senior secured revolving loan ($1.0 par due 6/2024),"11.25% (Base rate + 3.00% Cash, 5.00% PIK/Q)",6/1/2021,1.0,,,1.0,,(2)(13),,
213,,,First lien senior secured loan ($48.9 par due 6/2024),"10.00% (Libor + 4.00% Cash, 5.00% PIK/Q)",6/1/2021,48.9,,,48.9,,(2)(13),,
214,,,"Class A preferred units (14,750,000 units)",,1/5/2016,4.7,,,8.6,,(2),,
215,,,"Common units (7,200,000 units)",,1/5/2016,0,,,0,,(2),,
217,"ADG, LLC and RC IV GEDC Investor LLC (17)",Dental services provider,First lien senior secured revolving loan ($6.9 par due 9/2022),"7.50% (Base rate + 3.75% Cash, .50% PIK/Q)",9/28/2016,6.9,,,6.9,,(2)(13),,
218,,,Second lien senior secured loan ($112.2 par due 3/2024),11.00% PIK (Libor + 10.00% PIK/Q),9/28/2016,92.1,,,101.0,,(2)(13),,
219,,,"Membership units (3,000,000 units)",,9/28/2016,3.0,,,0,,(2),,
221,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($2.8 par due 9/2023),7.50% (Libor + 6.50%/Q),5/15/2017,2.8,,,2.8,,(2)(13),,
