,Company (1),Business Description,Investment,Interest (3)(7),Acquisition Date,Amortized Cost,,Fair Value,,Percentage of Net Assets,,,
69,,,First lien senior secured loan ($0.1 par due 08/2025),6.76% (LIBOR + 5.75%/Q),3/4/2021,0.1,,,0.1,,(2)(12),,
70,,,First lien senior secured loan ($0.1 par due 08/2025),6.76% (LIBOR + 5.75%/Q),4/6/2021,0.1,,,0.1,,(2)(12),,
71,,,"Preferred stock (13,140 shares)",10.50% PIK,4/6/2021,14.2,,,14.6,,(2),,
73,"Drilling Info Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,Second lien senior secured loan ($25.0 par due 07/2026),8.71% (LIBOR + 8.25%/M),2/11/2020,25.0,,,24.8,,,,
74,,,Preferred stock (29.53 shares),13.50% PIK,2/11/2020,38.3,,,39.2,,(2),,
76,"DS Admiral Bidco, LLC (16)",Tax return software provider for government institutions,First lien senior secured loan ($0.1 par due 03/2028),6.75% (LIBOR + 5.75%/Q),3/16/2021,0.1,,,0.1,,(2)(12),,
77,Dye & Durham Corporation (16),Provider of cloud-based software and technology solutions for the legal industry,First lien senior secured loan ($43.4 par due 12/2027),6.50% (CDOR + 5.75%/Q),12/3/2021,42.2,,,43.4,,(2)(6)(12),,
78,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured revolving loan ($1.7 par due 09/2025),6.50% (LIBOR + 5.50%/M),9/18/2019,1.7,,,1.7,,(2)(12),,
79,,,First lien senior secured loan ($50.4 par due 09/2025),6.50% (LIBOR + 5.50%/Q),9/18/2019,50.4,,,50.4,,(12),,
80,,,First lien senior secured loan ($11.4 par due 09/2025),6.50% (LIBOR + 5.50%/Q),9/18/2019,11.4,,,11.4,,(2)(12),,
81,,,First lien senior secured loan ($20.4 par due 09/2025),6.50% (LIBOR + 5.50%/Q),12/15/2020,20.4,,,20.4,,(2)(12),,
82,,,"Preferred equity (4,599 shares)",,9/18/2019,4.6,,,7.0,,,,
84,"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.",Provider of entertainment workforce and production management solutions,Second lien senior secured loan ($177.9 par due 11/2029),7.51% (LIBOR + 6.50%/Q),11/4/2021,177.9,,,176.1,,(2)(12),,
85,,,"Partnership units (5,034,483 units)",,5/10/2019,3.2,,,9.8,,(2)(6),,
87,EpiServer Inc. and Episerver Sweden Holdings AB (16),Provider of web content management and digital commerce solutions,First lien senior secured loan ($5.9 par due 04/2026),5.75 % (Euribor + 5.75%/Q),3/22/2019,5.9,,,5.9,,(2),,
88,,,First lien senior secured loan ($0.1 par due 04/2026),6.51% (LIBOR + 5.50%/Q),10/9/2018,0.1,,,0.1,,(2)(12),,
89,,,First lien senior secured loan ($0.1 par due 04/2026),6.51% (LIBOR + 5.50%/Q),12/21/2021,0.1,,,0.1,,(2)(12),,
91,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (16)","Provider of mission-critical, software-enabled clinical research solutions",Second lien senior secured loan ($2.5 par due 02/2028),8.50% (LIBOR + 8.00%/M),2/4/2020,2.5,,,2.5,,(2)(12),,
92,,,Second lien senior secured loan ($14.6 par due 02/2028),8.50% (LIBOR + 8.00%/M),2/4/2020,14.3,,,14.6,,(12),,
93,,,Second lien senior secured loan ($30.6 par due 02/2028),8.50% (LIBOR + 8.00%/M),4/27/2021,29.6,,,30.6,,(2)(12),,
95,,,"Limited partnership interest (3,988,000 shares)",,1/31/2020,4.5,,,4.4,,(2)(6),,
97,"Extrahop Networks, Inc. (16)",Provider of real-time wire data analytics solutions for application and infrastructure monitoring,First lien senior secured loan ($16.6 par due 07/2027),8.51% (LIBOR + 7.50%/Q),7/22/2021,16.6,,,16.6,,(2)(12),,
98,,,First lien senior secured loan ($1.7 par due 07/2027),8.50% (LIBOR + 7.50%/Q),7/20/2021,1.7,,,1.7,,(2)(12),,
100,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",,3/20/2014,0,,,0,,,,
101,"FM:Systems Group, LLC (16)",Provider of facilities and space management software solutions,First lien senior secured loan ($1.4 par due 12/2024),7.50% (LIBOR + 6.50%/Q),6/15/2021,1.4,,,1.4,,(2)(12),,
102,,,First lien senior secured loan ($3.2 par due 12/2024),7.50% (LIBOR + 6.50%/Q),12/2/2019,3.2,,,3.2,,(2)(12),,
104,"Forescout Technologies, Inc. (16)",Network access control solutions provider,First lien senior secured loan ($22.1 par due 08/2026),10.50% PIK (LIBOR + 9.50%/Q),8/17/2020,21.8,,,22.1,,(2)(12),,
105,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,First lien senior secured loan ($14.9 par due 09/2023),6.25% (LIBOR + 5.25%/Q),12/30/2020,14.9,,,14.9,,(12),,
106,,,First lien senior secured loan ($0.1 par due 09/2023),6.25% (LIBOR + 5.25%/Q),6/15/2021,0.1,,,0.1,,(2)(12),,
107,,,"Class A preferred units (4,574 units)",9.00% PIK,9/18/2017,6.3,,,6.9,,,,
108,,,"Class B common units (499,050 units)",,9/18/2017,0,,,6.9,,,,
110,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,First lien senior secured revolving loan ($1.5 par due 07/2024),5.01% (LIBOR + 4.00%/Q),7/31/2018,1.5,,,1.5,,(2),,
111,,,First lien senior secured loan ($0.2 par due 07/2024),5.01% (LIBOR + 4.00%/Q),7/31/2018,0.2,,,0.2,,(2),,
112,,,First lien senior secured loan ($9.1 par due 07/2024),5.51% (LIBOR + 4.50%/Q),11/16/2021,9.1,,,9.1,,(2)(12),,
113,,,Second lien senior secured loan ($7.5 par due 07/2025),7.81% (LIBOR + 7.50%/Q),6/9/2021,7.5,,,7.5,,(2),,
114,,,Second lien senior secured loan ($32.4 par due 07/2025),7.71% (LIBOR + 7.50%/Q),7/31/2018,32.4,,,32.4,,(2),,
115,,,Second lien senior secured loan ($21.1 par due 07/2025),8.25% (LIBOR + 7.50%/Q),11/16/2021,21.1,,,21.1,,(2)(12),,
116,,,Class A common stock (8.39 shares),,7/31/2018,0.8,,,1.0,,(2),,
118,GI Ranger Intermediate LLC (16),Provider of payment processing services and software to healthcare providers,First lien senior secured revolving loan ($0.4 par due 10/2027),6.75% (SOFR + 6.00%/Q),10/29/2021,0.4,,,0.4,,(2)(12),,
119,,,First lien senior secured loan ($35.0 par due 10/2028),6.75% (SOFR + 6.00%/Q),10/29/2021,35.0,,,34.7,,(2)(12),,
120,,,First lien senior secured loan ($5.4 par due 10/2028),6.75% (SOFR + 6.00%/Q),10/29/2021,5.4,,,5.3,,(2)(12),,
122,"GraphPAD Software, LLC, Insightful Science Intermediate I, LLC and Insightful Science Holdings, LLC (16)","Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured loan ($7.9 par due 04/2027),6.50% (LIBOR + 5.50%/Q),10/14/2021,7.9,,,7.9,,(2)(12),,
124,,,First lien senior secured loan ($0.5 par due 04/2027),7.00% (LIBOR + 6.00%/Q),12/21/2017,0.5,,,0.5,,(2)(12),,
125,,,First lien senior secured loan ($7.6 par due 04/2027),6.50% (LIBOR + 5.50%/Q),11/29/2021,7.6,,,7.6,,(2)(12),,
126,,,First lien senior secured loan ($16.1 par due 04/2027),6.50% (LIBOR + 5.50%/Q),4/28/2021,16.1,,,16.1,,(2)(12),,
127,,,Senior subordinated loan ($41.3 par due 04/2032),10.50% PIK,4/28/2021,41.3,,,41.3,,(2),,
128,,,"Preferred units (1,828,644 units)",14.00% PIK,4/28/2021,50.5,,,50.5,,,,
130,"Heavy Construction Systems Specialists, LLC (16)",Provider of construction software,First lien senior secured loan ($15.9 par due 11/2028),6.50% (LIBOR + 5.75%/M),11/16/2021,15.9,,,15.7,,(2)(12),,
131,"Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP (16)",Insurance software provider,First lien senior secured revolving loan ($5.5 par due 11/2027),6.25% (LIBOR + 5.50%/Q),11/3/2021,5.5,,,5.4,,(2)(12),,
132,,,First lien senior secured loan ($60.8 par due 11/2028),6.25% (LIBOR + 5.50%/Q),11/3/2021,60.8,,,59.6,,(12),,
133,,,Senior subordinated loan ($92.4 par due 11/2031),10.00% PIK,11/3/2021,92.4,,,89.6,,(2),,
134,,,"Company units (4,243,657 units)",,11/3/2021,8.8,,,7.4,,(2),,
136,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",,10/15/2012,0.1,,,0,,,,
137,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",Second lien senior secured loan ($28.3 par due 05/2025),9.01% (LIBOR + 8.00%/Q),4/25/2017,28.1,,,28.3,,(2)(12),,
138,"IV Rollover Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services","Class B units (170,490 units)",,5/31/2017,0,,,0.1,,(2),,
139,,,"Class X units (5,000,000 units)",,5/31/2017,2.1,,,2.2,,(2),,
141,"Majesco and Magic Topco, L.P. (16)",Insurance software provider,First lien senior secured loan ($30.6 par due 09/2027),8.26% (LIBOR + 7.25%/Q),9/21/2020,30.6,,,30.6,,(2)(12),,
142,,,"Class A units (2,539 units)",9.00% PIK,9/21/2020,2.9,,,3.7,,(2),,
143,,,"Class B units (570,625 units)",,9/21/2020,0,,,0,,,,
145,"Ministry Brands Holdings, LLC and RCP MB Investments B, L.P. (16)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($32.7 par due 12/2028),6.51% (LIBOR + 5.50%/Q),12/30/2021,32.7,,,32.4,,(2)(12),,
146,,,"Limited partner interests (9,574,000 interests)",,12/30/2021,9.6,,,9.3,,(2),,
148,"Mitchell International, Inc.","Provider of technology, connectivity, and information solutions to the property and casualty insurance industry",Second lien senior secured loan ($91.2 par due 10/2029),7.00% (LIBOR + 6.50%/Q),10/1/2021,90.4,,,90.1,,(2)(12)(19),,
149,"MMIT Holdings, LLC (16)",Provider of market intelligence and analysis for the pharmaceutical industry,First lien senior secured loan ($2.8 par due 09/2027),7.25% (LIBOR + 6.25%/Q),9/15/2021,2.8,,,2.8,,(2)(12),,
150,,,First lien senior secured loan ($13.7 par due 09/2027),7.25% (LIBOR + 6.25%/Q),10/21/2021,13.7,,,13.7,,(2)(12),,
152,MRI Software LLC (16),Provider of real estate and investment management software,First lien senior secured loan ($51.4 par due 02/2026),6.51% (LIBOR + 5.50%/Q),2/10/2020,51.4,,,51.4,,(12),,
153,,,First lien senior secured loan ($9.8 par due 02/2026),6.51 % (LIBOR + 5.50%/Q),8/28/2020,9.8,,,9.8,,(2)(12),,
156,"n2y Holding, LLC (16)",Developer of cloud-based special education platform,First lien senior secured revolving loan ($0.1 par due 11/2025),6.75% (LIBOR + 5.75%/Q),11/15/2019,0.1,,,0.1,,(2)(12),,
157,OpenMarket Inc.,Provider of cloud-based mobile engagement platform,First lien senior secured loan ($52.0 par due 09/2026),7.26% (LIBOR + 6.25%/Q),9/17/2021,51.9,,,50.9,,(6)(12),,
158,"Paya, Inc and GTCR-Ultra Holdings LLC (16)",Provider of payment processing and merchant acquiring solutions,"Class B units (2,878,372 units)",,8/1/2017,0,,,1.9,,(2),,
159,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",,3/11/2016,0.2,,,0,,,,
160,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured loan ($53.3 par due 10/2024),5.50% (LIBOR + 4.50%/Q),3/19/2019,53.3,,,53.3,,(12),,
161,,,Second lien senior secured loan ($7.2 par due 10/2025),9.50% (LIBOR + 8.50%/Q),12/7/2021,7.2,,,7.2,,(2)(12),,
162,,,Second lien senior secured loan ($70.1 par due 10/2025),9.50% (LIBOR + 8.50%/Q),3/19/2019,70.1,,,70.1,,(2)(12),,
163,,,Second lien senior secured loan ($8.3 par due 10/2025),9.50% (LIBOR + 8.50%/Q),12/17/2020,8.3,,,8.3,,(2)(12),,
164,,,Second lien senior secured loan ($8.7 par due 10/2025),9.50% (LIBOR + 8.50%/Q),4/27/2021,8.7,,,8.7,,(2)(12),,
165,,,"Series A preferred stock (13,656 shares)",13.25% PIK,3/19/2019,20.1,,,20.4,,(2),,
166,,,"Class A units (2,062,493 units)",,3/19/2019,2.1,,,3.4,,(2),,
168,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($0.2 par due 05/2025),6.26% (LIBOR + 5.25%/Q),5/29/2019,0.2,,,0.2,,(2)(12),,
169,,,First lien senior secured loan ($0.1 par due 05/2025),6.76% (LIBOR + 5.75%/Q),6/24/2020,0.1,,,0.1,,(2)(12),,
170,,,First lien senior secured loan ($31.8 par due 05/2025),6.75% (LIBOR + 5.75%/Q),10/16/2020,31.8,,,31.8,,(2)(12),,
171,,,"Class A units (5,000 units)",,5/29/2019,5.0,,,15.0,,,,
173,"Pluralsight, Inc. (16)",Online education learning platform,First lien senior secured loan ($106.2 par due 04/2027),9.00% (LIBOR + 8.00%/Q),4/6/2021,106.2,,,106.2,,(2)(12),,
174,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",,6/25/2015,0.1,,,0,,,,
175,"PracticeTek Purchaser, LLC and GSV PracticeTek Holdings, LLC",Software provider for medical practitioners,"Class A units (11,804,000 units)",8.00% PIK,3/31/2021,0,,,8.2,,(2),,
176,"ProfitSolv Purchaser, Inc. and PS Co-Invest, L.P. (16)",Provider of practice management software to law firms,First lien senior secured loan ($3.9 par due 03/2027),6.25% (LIBOR + 5.25%/M),3/5/2021,3.9,,,3.9,,(2)(12),,
177,,,"Limited partnership units (1,624,000 units)",,3/5/2021,1.6,,,1.6,,(2),,
179,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class A common stock (7,445 shares)",,8/22/2016,7.4,,,16.6,,(2),,
180,,,"Class B common stock (1,841,609 shares)",,8/22/2016,0.1,,,0.2,,(2),,
182,"Project Essential Bidco, Inc. and Project Essential Super Parent, Inc. (16)",Saas provider of automated crew callout and scheduling software for the utility industry,First lien senior secured loan ($36.5 par due 04/2028),6.75% (LIBOR + 5.75%/Q),4/20/2021,36.5,,,35.7,,(2)(12),,
183,,,"Preferred shares (26,436 shares)",10.50% PIK (LIBOR + 9.50%/Q),4/20/2021,29.2,,,29.2,,(2)(12),,
186,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured revolving loan ($0.8 par due 04/2026),9.50% (Base Rate + 6.00%/Q),4/23/2020,0.7,,,0.8,,(2)(12)(15),,
187,,,First lien senior secured loan ($44.0 par due 04/2027),8.00% (LIBOR + 7.00%/M),4/23/2020,44.0,,,44.0,,(12),,
188,,,First lien senior secured loan ($12.9 par due 04/2027),8.00% (LIBOR + 7.00%/M),10/30/2020,12.9,,,12.9,,(2)(12),,
189,,,First lien senior secured loan ($14.4 par due 04/2027),8.00% (LIBOR + 7.00%/M),11/18/2020,14.4,,,14.4,,(12),,
190,,,First lien senior secured loan ($4.9 par due 04/2027),8.00% (LIBOR + 7.00%/M),11/18/2020,4.9,,,4.9,,(2)(12),,
191,,,"Class A units (1,599 units)",9.00% PIK,4/23/2020,1.9,,,1.9,,(2),,
192,,,"Class B units (588,636 units)",,4/23/2020,0,,,0.5,,(2),,
194,"Proofpoint, Inc. (16)",Cybersecurity solutions provider,First lien senior secured loan ($1.0 par due 08/2028),3.76% (LIBOR + 3.25%/Q),6/9/2021,0.9,,,1.0,,(2)(12)(19),,
195,,,Second lien senior secured loan ($34.6 par due 08/2029),6.76% (LIBOR + 6.25%/Q),6/9/2021,34.4,,,34.6,,(2)(12),,
197,"QF Holdings, Inc. (16)",SaaS based electronic health record software provider,First lien senior secured loan ($8.1 par due 12/2027),7.25% (LIBOR + 6.25%/Q),12/15/2021,8.1,,,8.1,,(2)(12),,
198,,,First lien senior secured loan ($6.8 par due 12/2027),7.54% (LIBOR + 6.25%/S),9/19/2019,6.8,,,6.8,,(2)(12),,
200,"Raptor Technologies, LLC, Sycamore Bidco LTD and Rocket Parent, LLC (16)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured loan ($8.5 par due 10/2028),7.01% (LIBOR + 6.00%/Q),10/5/2021,8.5,,,8.4,,(2)(6)(12),,
201,,,"Class A common units (2,880,582 units)",,12/17/2018,3.5,,,5.4,,,,
203,"RealPage, Inc.",Provider of enterprise software solutions to the residential real estate industry,Second lien senior secured loan ($84.1 par due 04/2029),7.25% (LIBOR + 6.50%/M),4/22/2021,82.9,,,84.1,,(2)(12),,
204,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,"Warrant to purchase up to 5,393,194 shares of common stock (expires 12/2026)",,12/23/2016,0,,,0,,,,
205,,,Warrant to purchase up to 987 shares of common stock (expires 12/2026),,12/23/2016,0,,,0,,,,
207,Relativity ODA LLC (16),Electronic discovery document review software platform for use in litigations and investigations,First lien senior secured loan ($60.7 par due 05/2027),7.50% PIK (LIBOR + 6.50%/M),5/12/2021,60.0,,,60.7,,(2)(12),,
208,"RMS HoldCo II, LLC & RMS Group Holdings, Inc. (16)","Developer of revenue cycle management solutions, process automation, analytics and integration for the healthcare industry",First lien senior secured loan ($23.4 par due 12/2027),6.76% (LIBOR + 5.75%/Q),12/16/2021,23.4,,,23.2,,(2)(12),,
209,,,Class A common stock (464.9 shares),,12/16/2021,4.6,,,4.6,,(2),,
211,"Smarsh Inc. and Skywalker TopCo, LLC (16)",SaaS based communication archival service provider,First lien senior secured loan ($10.6 par due 02/2029),7.25% (SOFR + 6.50%/Q),2/18/2022,10.6,,,10.5,,(2)(12),,
212,,,"Common units (1,742,623 units)",,11/20/2020,6.3,,,8.8,,(2),,
214,"SocialFlow, Inc.",Social media optimization platform provider,"Warrant to purchase up to 215,331 shares of Series C preferred stock (expires 1/2026)",,1/13/2016,0,,,0,,,,
215,"Sophia, L.P.",Provider of ERP software and services for higher education institutions,Second lien senior secured loan ($105.9 par due 10/2028),9.01% (LIBOR + 8.00%/Q),10/7/2020,105.9,,,105.9,,(2)(12),,
216,SoundCloud Limited,"Platform for receiving, sending, and distributing music","Common stock (73,422 shares)",,8/15/2017,0.4,,,0.7,,(2)(6),,
218,Stamps.com Inc.,Provider of mailing and shipping solutions,First lien senior secured loan ($147.9 par due 10/2028),6.50% (LIBOR + 5.75%/M),10/5/2021,147.9,,,144.9,,(2)(12),,
219,"Storable, Inc. and EQT IX Co-Investment (E) SCSP",PMS solutions and web services for the self-storage industry,Second lien senior secured loan ($10.3 par due 04/2029),7.50% (SOFR + 6.75%/M),3/2/2022,10.3,,,10.3,,(2)(12),,
