,Company(1),Business Description,Investment,Interest(5)(9),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,
47,"Center for Autism and Related Disorders, LLC (18)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan,0,11/21/2018,0,,,0,,(16),,
48,"Comprehensive EyeCare Partners, LLC (18)",Vision care practice management company,First lien senior secured revolving loan ($0.1 par due 2/2024),7.31% (Libor + 4.50%/Q),2/14/2018,0.1,,,0.1,,(2)(14),,
49,,,First lien senior secured revolving loan ($0.3 par due 2/2024),7.31% (Libor + 4.50%/Q),2/14/2018,0.3,,,0.3,,(2)(14),,
50,,,First lien senior secured loan ($2.4 par due 2/2024),7.12% (Libor + 4.50%/Q),2/14/2018,2.4,,,2.4,,(2)(14),,
51,,,First lien senior secured loan ($5.4 par due 2/2024),7.12% (Libor + 4.50%/Q),2/14/2018,5.4,,,5.4,,(2)(14),,
53,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (18)",Dental services provider,"Class A preferred units (1,000,000 units)",8.00% PIK,12/21/2016,1.0,,,1.0,,(2),,
54,Datix Bidco Limited (8),Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($2.9 par due 4/2025),7.28% (Libor + 4.50%/S),4/27/2018,2.9,,,2.9,,(2)(14),,
55,,,First lien senior secured loan ($2.9 par due 4/2025),7.28% (Libor + 4.50%/S),4/27/2018,2.9,,,2.9,,(2)(14),,
58,"DCA Investment Holding, LLC (18)",Multi-branded dental practice management,First lien senior secured revolving loan ($0.1 par due 7/2021),9.75% (Base Rate + 4.25%/Q),7/2/2015,0.1,,,0.1,,(2)(14)(17),,
59,,,First lien senior secured loan ($18.5 par due 7/2021),7.85% (Libor + 5.25%/Q),7/2/2015,18.4,,,18.5,,(4)(14),,
61,"Emerus Holdings, Inc. (18)",Freestanding 24-hour emergency care micro-hospitals operator,First lien senior secured loan ($16.5 par due 2/2022),14.00%,2/21/2019,16.5,,,16.5,,(2),,
62,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($34.5 par due 6/2025),10.60% (Libor + 8.00%/Q),6/30/2017,34.1,,,34.5,,(2)(14),,
63,,,"Series A preferred stock (110,425 shares)",13.55% PIK (Libor + 10.95%),6/30/2017,138.1,,,138.1,,(2)(14),,
64,,,"Class A units (14,013,303 units)",,6/30/2017,14.0,,,16.8,,(2),,
66,"Greenphire, Inc. and RMCF III CIV XXIX, L.P",Software provider for clinical trial management,Limited partnership interest (99.90% interest),,12/19/2014,1.0,,,3.3,,(2),,
67,Hygiena Borrower LLC (18),Adenosine triphosphate testing technology provider,First lien senior secured revolving loan,0,8/26/2016,0,,,0,,(16),,
68,,,First lien senior secured loan ($9.5 par due 8/2022),6.60% (Libor + 4.00%/Q),6/29/2018,9.5,,,9.5,,(2)(14),,
69,,,Second lien senior secured loan ($11.1 par due 8/2023),10.35% (Libor + 7.75%/Q),6/29/2018,11.1,,,11.1,,(2)(14),,
70,,,Second lien senior secured loan ($0.6 par due 8/2023),10.35% (Libor + 7.75%/Q),6/29/2018,0.6,,,0.6,,(2)(14),,
71,,,Second lien senior secured loan ($2.5 par due 8/2023),10.35% (Libor + 7.75%/Q),8/26/2016,2.5,,,2.5,,(2)(14),,
72,,,Second lien senior secured loan ($10.7 par due 8/2023),10.35% (Libor + 7.75%/Q),2/27/2017,10.7,,,10.7,,(2)(14),,
74,"JDC Healthcare Management, LLC (18)",Dental services provider,First lien senior secured revolving loan ($0.8 par due 4/2022),10.24% (Libor + 7.75%/M),4/10/2017,0.8,,,0.8,,(2)(14),,
75,,,First lien senior secured revolving loan ($0.8 par due 4/2022),10.25% (Libor + 7.75%/M),4/10/2017,0.8,,,0.8,,(2)(14),,
76,,,First lien senior secured loan ($4.2 par due 4/2023),"10.24% (Libor + 6.75% Cash, 1.00% PIK/Q)",4/10/2017,4.2,,,3.9,,(2)(14),,
77,,,First lien senior secured loan ($9.9 par due 4/2023),"10.25% (Libor + 6.75% Cash, 1.00% PIK/Q)",4/10/2017,9.9,,,9.2,,(2)(14),,
78,,,First lien senior secured loan ($19.7 par due 4/2023),"10.25% (Libor + 6.75% Cash, 1.00% PIK/Q)",4/10/2017,19.7,,,18.4,,(4)(14),,
80,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (18)",Provider of behavioral health services,First lien senior secured revolving loan ($0.9 par due 3/2022),7.48% (Libor + 5.00%/M),3/17/2017,0.9,,,0.9,,(2)(14),,
81,,,First lien senior secured revolving loan ($0.9 par due 3/2022),7.49% (Libor + 5.00%/M),3/17/2017,0.9,,,0.9,,(2)(14),,
82,,,First lien senior secured revolving loan ($0.2 par due 3/2022),7.48% (Libor + 5.00%/M),3/17/2017,0.2,,,0.2,,(2)(14),,
83,,,First lien senior secured revolving loan ($0.6 par due 3/2022),7.49% (Libor + 5.00%/M),3/17/2017,0.6,,,0.5,,(2)(14),,
85,,,First lien senior secured revolving loan ($2.1 par due 3/2022),7.50% (Libor + 5.00%/M),3/17/2017,2.1,,,2.0,,(2)(14),,
86,,,First lien senior secured revolving loan ($0.2 par due 3/2022),9.50% (Base Rate + 4.00%/Q),3/17/2017,0.2,,,0.2,,(2)(14),,
88,Key Surgical LLC (18),"Provider of sterile processing, operating room and instrument care supplies for hospitals",First lien senior secured loan ($16.6 par due 6/2023),5.75% (EURIBOR + 4.75%/Q),6/1/2017,16.6,,,16.6,,(2)(14),,
89,"MB2 Dental Solutions, LLC (18)",Dental services provider,First lien senior secured revolving loan ($1.9 par due 9/2023),9.25% (Base Rate + 3.75%/Q),9/29/2017,1.9,,,1.9,,(2)(14),,
90,,,First lien senior secured loan ($7.0 par due 9/2023),7.35% (Libor + 4.75%/Q),9/29/2017,7.0,,,7.0,,(2)(14),,
92,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,First lien senior secured loan ($19.5 par due 1/2020),7.98% (Libor + 5.50%/M),7/26/2017,19.5,,,19.5,,(2)(14),,
93,,,First lien senior secured loan ($19.4 par due 1/2020),8.00% (Libor + 5.50%/M),7/26/2017,19.4,,,19.4,,(2)(14),,
94,,,First lien senior secured loan ($39.6 par due 1/2020),7.98% (Libor + 5.50%/M),7/26/2017,39.6,,,39.6,,(3)(14),,
95,,,First lien senior secured loan ($39.4 par due 1/2020),8.00% (Libor + 5.50%/M),7/26/2017,39.4,,,39.4,,(3)(14),,
96,,,First lien senior secured loan ($15.2 par due 1/2020),7.98% (Libor + 5.50%/M),7/26/2017,15.2,,,15.2,,(4)(14),,
97,,,First lien senior secured loan ($15.1 par due 1/2020),8.00% (Libor + 5.50%/M),7/26/2017,15.1,,,15.1,,(4)(14),,
98,,,"Class A units (1,438,643 shares)",,1/17/2014,1.5,,,1.1,,(2),,
100,MW Dental Holding Corp. (18),Dental services provider,First lien senior secured revolving loan ($6.0 par due 4/2021),9.35% (Libor + 6.75%/Q),4/12/2011,6.0,,,6.0,,(2)(14),,
101,,,First lien senior secured loan ($18.7 par due 4/2021),9.35% (Libor + 6.75%/Q),3/19/2018,18.7,,,18.7,,(2)(14),,
102,,,First lien senior secured loan ($104.3 par due 4/2021),9.35% (Libor + 6.75%/Q),4/12/2011,104.3,,,104.3,,(3)(14),,
103,,,First lien senior secured loan ($19.1 par due 4/2021),9.35% (Libor + 6.75%/Q),4/12/2011,19.1,,,19.1,,(4)(14),,
105,"My Health Direct, Inc.",Healthcare scheduling exchange software solution provider,"Warrant to purchase up to 4,548 shares of Series D preferred stock (expires 9/2024)",,9/18/2014,0,,,0,,(2),,
106,"New Trident Holdcorp, Inc. and Trident Holding Company, LLC",Outsourced mobile diagnostic healthcare service provider,Second lien senior secured loan ($25.0 par due 7/2022),,8/1/2013,19.4,,,0,,(2)(13),,
107,,,Second lien senior secured loan ($78.4 par due 7/2020),,8/1/2013,67.8,,,0,,(2)(13),,
108,,,Senior subordinated loan ($9.1 par due 7/2020),,11/29/2017,8.8,,,0,,(2)(13),,
110,"NMC Skincare Intermediate Holdings II, LLC (18)","Developer, manufacturer and marketer of skincare products",First lien senior secured revolving loan ($1.6 par due 10/2024),7.25% (Libor + 4.75%/M),10/31/2018,1.6,,,1.6,,(2)(14),,
111,,,First lien senior secured loan ($1.7 par due 10/2024),7.25% (Libor + 4.75%/M),10/31/2018,1.7,,,1.7,,(2)(14),,
112,,,First lien senior secured loan ($24.8 par due 10/2024),7.25% (Libor + 4.75%/M),10/31/2018,24.8,,,24.6,,(3)(14),,
114,NMN Holdings III Corp. and NMN Holdings LP (18),Provider of complex rehab technology solutions for patients with mobility loss,"Partnership units (30,000 units)",,11/13/2018,3.0,,,3.1,,(2),,
116,"NMSC Holdings, Inc. and ASP NAPA Holdings, LLC",Anesthesia management services provider,Second lien senior secured loan ($72.8 par due 10/2023),12.50% (Libor + 10.00%/M),4/19/2016,72.8,,,72.8,,(2)(14),,
117,,,"Class A units (25,790 units)",,4/19/2016,2.6,,,1.3,,(2),,
119,"Nodality, Inc.",Biotechnology company,First lien senior secured loan ($2.3 par due 8/2016),,11/12/2015,1.5,,,0,,(2)(13),,
120,,,First lien senior secured loan ($0.8 par due 8/2016),,11/12/2015,0.6,,,0,,(2)(13),,
121,,,First lien senior secured loan ($3.9 par due 8/2016),,4/25/2014,2.6,,,0,,(2)(13),,
122,,,First lien senior secured loan ($11.0 par due 8/2016),,4/25/2014,7.1,,,0,,(2)(13),,
123,,,"Warrant to purchase up to 3,736,255 shares of common stock (expires 3/2026)",,5/1/2016,0,,,0,,(2),,
125,"nThrive, Inc. (fka Precyse Acquisition Corp.)",Provider of healthcare information management technology and services,Second lien senior secured loan ($10.0 par due 4/2023),12.25% (Libor + 9.75%/M),4/20/2016,9.8,,,9.8,,(2)(14),,
126,"NueHealth Performance, LLC (18)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($1.5 par due 9/2023),9.00% (Libor + 6.50%/M),9/27/2018,1.5,,,1.5,,(2)(14),,
127,,,First lien senior secured loan ($10.0 par due 9/2023),9.00% (Libor + 6.50%/M),9/27/2018,10.0,,,9.9,,(2)(14),,
129,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),,11/21/2013,1.0,,,0.8,,(2),,
130,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (18),Operator of freestanding veterinary hospitals,First lien senior secured revolving loan,0,12/21/2018,0,,,0,,(16),,
131,,,First lien senior secured loan ($2.1 par due 12/2024),7.00% (Libor + 4.50%/M),12/21/2018,2.1,,,2.1,,(2)(14),,
132,,,First lien senior secured loan ($69.5 par due 12/2024),7.00% (Libor + 4.50%/M),12/21/2018,68.9,,,68.8,,(2)(14),,
133,,,Second lien senior secured loan ($163.9 par due 12/2025),11.00% (Libor + 8.50%/M),12/21/2018,163.9,,,162.3,,(2)(14),,
134,,,"Preferred units (1,507,384 units)",,12/21/2018,4.9,,,4.4,,,,
136,"Patterson Medical Supply, Inc.",Distributor of rehabilitation supplies and equipment,Second lien senior secured loan ($78.0 par due 8/2023),11.24% (Libor + 8.50%/Q),9/2/2015,76.8,,,67.9,,(2)(14),,
137,"Phylogeny, LLC and Conversant Biologics, LLC (fka WSHP FC Acquisition LLC) (18)",Provider of biospecimen products for pharma research,First lien senior secured loan ($6.0 par due 3/2024),9.10% (Libor + 6.50%/Q),3/30/2018,6.0,,,6.0,,(2)(14),,
138,,,First lien senior secured loan ($4.7 par due 3/2024),9.10% (Libor + 6.50%/M),2/11/2019,4.7,,,4.7,,(2)(14),,
139,,,First lien senior secured loan ($28.4 par due 3/2024),9.10% (Libor + 6.50%/Q),3/30/2018,28.4,,,28.4,,(3)(14),,
141,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($47.2 par due 5/2021),11.38% (Libor + 8.75%/Q),12/18/2015,47.0,,,47.2,,(2)(14),,
142,"Practice Insight, LLC (18)",Revenue cycle management provider to the emergency healthcare industry,First lien senior secured loan ($12.4 par due 8/2022),7.50% (Libor + 5.00%/M),8/23/2017,12.4,,,12.4,,(4)(14),,
143,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (18),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured revolving loan ($3.0 par due 7/2023),6.09% (Libor + 3.50%/Q),7/10/2018,3.0,,,3.0,,(2)(14),,
144,,,First lien senior secured loan ($0.8 par due 7/2025),6.35% (Libor + 3.75%/Q),7/10/2018,0.8,,,0.8,,(2)(14),,
146,,,First lien senior secured loan ($10.9 par due 7/2025),6.35% (Libor + 3.75%/Q),7/10/2018,10.9,,,10.8,,(4)(14),,
147,,,Second lien senior secured loan ($67.1 par due 7/2026),10.10% (Libor + 7.50%/Q),7/10/2018,66.5,,,66.4,,(2)(14),,
148,,,"Class A units (9,775 units)",,7/10/2018,9.8,,,10.4,,(2),,
150,"ProVation Medical, Inc.",Provider of documentation and coding software for GI physicians,First lien senior secured loan ($13.0 par due 3/2024),9.55% (Libor + 6.75%/Q),3/9/2018,12.8,,,13.0,,(2)(14),,
151,"RecoveryDirect Acquisition, L.L.C. (18)",Outpatient physical therapy provider,First lien senior secured loan ($6.9 par due 1/2024),6.50% (Libor + 4.00%/M),1/3/2018,6.9,,,6.9,,(2)(14),,
152,,,First lien senior secured loan ($30.7 par due 1/2024),6.50% (Libor + 4.25%/M),1/3/2018,30.7,,,30.7,,(4)(14),,
154,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",,6/28/2012,0,,,0,,(2),,
155,Retriever Medical/Dental Payments LLC (18),Provider of payment processing services and software to healthcare providers,First lien senior secured loan ($2.0 par due 2/2023),7.30% (Libor + 4.50%/Q),3/14/2019,2.0,,,2.0,,(2)(14),,
156,"RTI Surgical, Inc.","Manufacturer of biologic, metal and synthetic implants/devices",Second lien senior secured loan ($90.8 par due 12/2023),11.24% (Libor + 8.75%/M),3/8/2019,90.8,,,89.9,,(2)(14),,
157,Salter Labs (18),"Developer, manufacturer and supplier of consumable products for medical device customers",First lien senior secured revolving loan ($0.6 par due 3/2020),7.01% (Libor + 4.25%/Q),2/8/2018,0.6,,,0.6,,(2)(14)(17),,
158,"SCSG EA Acquisition Company, Inc. (18)",Provider of outsourced clinical services to hospitals and health systems,First lien senior secured revolving loan,0,9/1/2017,0,,,0,,(16),,
159,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (18)",Outsourced anesthesia provider,First lien senior secured revolving loan ($2.9 par due 3/2024),9.25% (Base Rate + 3.75%/Q),3/26/2018,2.9,,,2.7,,(2)(14),,
160,,,First lien senior secured loan ($17.4 par due 3/2024),7.35% (Libor + 4.75%/Q),3/26/2018,17.4,,,16.5,,(3)(14),,
161,,,"Common units (171,784 units)",,3/26/2018,4.6,,,2.7,,(2),,
163,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (18)",Breast cancer screening provider,First lien senior secured loan ($0.7 par due 8/2024),8.00% (Libor + 5.50%/M),8/1/2018,0.7,,,0.7,,(2)(14),,
164,,,First lien senior secured loan ($7.1 par due 8/2024),8.00% (Libor + 5.50%/M),8/1/2018,7.1,,,7.1,,(2)(14),,
165,,,"Series A preferred stock (44,975 shares)",13.05% PIK (Libor + 10.45%),8/1/2018,48.9,,,48.9,,(2)(14),,
166,,,"Series A units (7,475 units)",,8/1/2018,7.5,,,0.1,,(2),,
167,,,"Series B units (747,500 units)",,8/1/2018,0,,,8.4,,(2),,
169,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (18)",Franchisor of private-pay home care for the elderly,First lien senior secured loan ($16.0 par due 4/2024),8.35% (Libor + 5.75%/Q),4/2/2018,16.0,,,16.0,,(2)(14),,
170,,,Common units (550 units),,4/2/2018,0.6,,,0.7,,,,
172,"Teligent, Inc. (18)","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($18.8 par due 6/2024),"11.35% (Libor + 7.75% Cash, 1.00% PIK/Q)",12/13/2018,18.8,,,18.7,,(2)(14),,
173,,,Second lien senior secured loan ($46.8 par due 6/2024),11.25% PIK (Libor + 8.75%/Q),12/13/2018,46.8,,,46.3,,(2)(14),,
175,TerSera Therapeutics LLC,Acquirer and developer of specialty therapeutic pharmaceutical products,First lien senior secured loan ($1.1 par due 3/2024),7.85% (Libor + 5.25%/Q),7/12/2018,1.1,,,1.1,,(2)(14),,
177,,,First lien senior secured loan ($1.1 par due 3/2024),7.85% (Libor + 5.25%/Q),7/12/2018,1.1,,,1.1,,(2)(14),,
178,,,First lien senior secured loan ($2.2 par due 3/2024),7.85% (Libor + 5.25%/Q),7/12/2018,2.2,,,2.2,,(2)(14),,
179,,,First lien senior secured loan ($2.1 par due 3/2023),7.85% (Libor + 5.25%/Q),9/27/2018,2.1,,,2.1,,(2)(14),,
180,,,First lien senior secured loan ($5.2 par due 3/2023),7.85% (Libor + 5.25%/Q),5/3/2017,5.2,,,5.2,,(4)(14),,
182,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,Second lien senior secured loan ($71.8 par due 6/2025),9.75% (Libor + 7.25%/M),6/16/2017,71.0,,,71.1,,(2)(14),,
183,"United Digestive MSO Parent, LLC (18)",Gastroenterology physician group,First lien senior secured loan ($12.6 par due 12/2024),7.24% (Libor + 4.50%/Q),12/14/2018,12.6,,,12.4,,(2)(14),,
184,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC (18)",Operator of urgent care clinics,"Preferred units (7,696,613 units)",,6/11/2015,7.7,,,5.4,,,,
185,,,"Series A common units (2,000,000 units)",,6/11/2015,2.0,,,0,,,,
186,,,"Series C common units (5,288,427 units)",,6/11/2015,0,,,0,,,,
188,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",Urology private practice,First lien senior secured loan ($9.8 par due 8/2024),7.50% (Libor + 5.00%/M),8/31/2018,9.7,,,9.8,,(2)(14),,
189,,,Limited partnership interests (3.64% interest),,8/31/2018,4.8,,,5.0,,(2),,
191,Verscend Holding Corp. (18),Healthcare analytics solutions provider,First lien senior secured loan ($67.1 par due 8/2025),7.00% (Libor + 4.50%/M),8/27/2018,66.6,,,66.4,,(2)(14),,
192,"VistaPharm, Inc. and Vertice Pharma UK Parent Limited",Manufacturer and distributor of generic pharmaceutical products,"Preferred shares (40,662 shares)",8.00% PIK,12/21/2015,0.3,,,0.5,,(8),,
193,"West Dermatology, LLC (18)",Dermatology practice platform,First lien senior secured revolving loan ($0.8 par due 4/2022),8.30% (Libor + 5.50%/Q),2/8/2018,0.8,,,0.8,,(2)(14),,
194,,,First lien senior secured revolving loan ($0.6 par due 4/2022),8.13% (Libor + 5.50%/Q),2/8/2018,0.6,,,0.6,,(2)(14),,
195,,,First lien senior secured revolving loan ($3.7 par due 4/2022),8.11% (Libor + 5.50%/Q),2/8/2018,3.7,,,3.7,,(2)(14),,
196,,,First lien senior secured loan ($0.9 par due 4/2023),8.28% (Libor + 5.50%/Q),4/2/2018,0.9,,,0.9,,(2)(14),,
197,,,First lien senior secured loan ($1.3 par due 4/2023),8.13% (Libor + 5.50%/Q),4/2/2018,1.3,,,1.3,,(2)(14),,
198,,,First lien senior secured loan ($0.8 par due 4/2023),8.10% (Libor + 5.50%/Q),4/2/2018,0.8,,,0.8,,(2)(14),,
199,,,First lien senior secured loan ($5.7 par due 4/2023),8.11% (Libor + 5.50%/Q),4/2/2018,5.7,,,5.7,,(2)(14),,
200,,,First lien senior secured loan ($0.8 par due 4/2023),8.29% (Libor + 5.50%/Q),9/5/2018,0.8,,,0.8,,(2)(14),,
201,,,First lien senior secured loan ($0.1 par due 4/2023),8.25% (Libor + 5.50%/Q),9/5/2018,0.1,,,0.1,,(2)(14),,
202,,,First lien senior secured loan ($1.3 par due 4/2023),8.13% (Libor + 5.50%/Q),9/5/2018,1.3,,,1.3,,(2)(14),,
203,,,First lien senior secured loan ($0.2 par due 4/2023),8.11% (Libor + 5.50%/Q),9/5/2018,0.2,,,0.2,,(2)(14),,
204,,,First lien senior secured loan ($2.9 par due 4/2023),8.11% (Libor + 5.50%/Q),9/5/2018,2.9,,,2.9,,(2)(14),,
205,,,First lien senior secured loan ($7.6 par due 4/2023),8.11% (Libor + 5.50%/Q),4/2/2018,7.6,,,7.6,,(2)(14),,
207,"WIRB - Copernicus Group, Inc. (18)","Provider of regulatory, ethical, and safety review services for clinical research involving human subjects",First lien senior secured revolving loan,0,2/8/2018,0,,,0,,(16),,
209,,,,,,3070.2,,,2894.3,,,39.44,%
211,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC (18),Provider of outsourced crew accommodations and logistics management solutions to the airline industry,"Class A common units (236,358 units)",,5/11/2018,4.5,,,6.5,,,,
212,Achilles Acquisition LLC (18),Benefits broker and outsourced workflow automation platform provider for brokers,First lien senior secured loan ($16.7 par due 10/2025),6.50% (Libor + 4.00%/M),10/11/2018,16.7,,,16.7,,(2)(14),,
213,,,First lien senior secured loan ($21.4 par due 10/2025),6.50% (Libor + 4.00%/M),10/11/2018,21.4,,,21.3,,(2)(14),,
215,"Alera Group Intermediate Holdings, Inc. (18)",Insurance service provider,Second lien senior secured loan ($26.2 par due 3/2026),11.00% (Libor + 8.50%/M),3/5/2019,26.2,,,25.9,,(2)(14),,
216,"Apptio, Inc. (18)",Provider of cloud-based technology business management solutions,First lien senior secured loan ($50.8 par due 1/2025),9.74% (Libor + 7.25%/M),1/10/2019,50.8,,,50.3,,(2)(14),,
217,"Avetta, LLC (18)",Supply chain risk management SaaS platform for global enterprise clients,First lien senior secured loan ($51.8 par due 4/2024),7.98% (Libor + 5.50%/M),4/10/2018,51.8,,,51.8,,(2)(14),,
