,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,
22,,,Second lien senior secured loan ($5.3 par due 7/2027),9.25% (Libor + 8.25%/Q),7/9/2019,5.3,,,5.3,,(2)(11),,
23,,,Second lien senior secured loan ($12.7 par due 7/2027),9.25% (Libor + 8.25%/Q),9/10/2019,12.7,,,12.7,,(2)(11),,
24,,,"Class B common units (4,211 units)",,7/9/2019,4.2,,,8.3,,(2),,
26,"CCS-CMGC Holdings, Inc. (15)",Correctional facility healthcare operator,First lien senior secured revolving loan,,10/1/2018,0,,,0,,(13),,
27,,,First lien senior secured loan ($34.3 par due 10/2025),5.67% (Libor + 5.50%/Q),9/25/2018,34.1,,,32.9,,(2),,
29,"Center for Autism and Related Disorders, LLC (15)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan ($7.5 par due 11/2023),4.73% (Libor + 4.50%/Q),11/21/2018,7.5,,,7.1,,(2)(14),,
30,"Comprehensive EyeCare Partners, LLC (15)",Vision care practice management company,First lien senior secured revolving loan ($1.3 par due 2/2024),7.00% (Libor + 5.75%/Q),2/14/2018,1.3,,,1.3,,(2)(11),,
31,,,First lien senior secured loan ($5.3 par due 2/2024),7.00% (Libor + 5.75%/Q),2/14/2018,5.3,,,5.2,,(2)(11),,
32,,,First lien senior secured loan ($1.0 par due 2/2024),8.00% (Base Rate + 4.75%/Q),2/14/2018,1.0,,,1.0,,(2)(11),,
33,,,First lien senior secured loan ($2.7 par due 2/2024),7.00% (Libor + 5.75%/Q),2/14/2018,2.7,,,2.7,,(2)(11),,
36,"Convey Health Solutions, Inc.",Healthcare workforce management software provider,First lien senior secured loan ($3.1 par due 9/2026),6.25% (Libor + 5.25%/Q),9/4/2019,3.1,,,3.1,,(2)(11),,
37,,,First lien senior secured loan ($2.3 par due 9/2026),10.00% (Libor + 9.00%/Q),4/8/2020,2.3,,,2.3,,(2)(11),,
39,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (15)",Veterinary hospital operator,First lien senior secured revolving loan,,10/31/2019,0,,,0,,(13),,
40,,,First lien senior secured loan ($53.2 par due 10/2025),6.25% (Libor + 5.25%/Q),10/31/2019,53.2,,,53.2,,(2)(11),,
41,,,First lien senior secured loan ($31.3 par due 10/2025),6.25% (Libor + 5.25%/Q),10/31/2019,31.3,,,31.3,,(2)(11),,
42,,,"Common stock (32,429 shares)",,10/31/2019,10.0,,,11.9,,(2),,
44,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC",Dental services provider,"Class A preferred units (1,000,000 units)",,12/21/2016,1.0,,,1.0,,(2),,
45,DCA Investment Holding LLC (15),Multi-branded dental practice management,First lien senior secured revolving loan ($5.7 par due 7/2021),6.25% (Libor + 5.25%/Q),7/2/2015,5.7,,,5.5,,(2)(11)(14),,
46,,,First lien senior secured loan ($18.1 par due 7/2021),6.25% (Libor + 5.25%/Q),7/2/2015,18.1,,,17.6,,(2)(11),,
48,"Emerus Holdings, Inc.",Freestanding 24-hour emergency care micro-hospitals operator,First lien senior secured loan ($16.9 par due 2/2022),14.00%,2/21/2019,16.9,,,16.9,,(2),,
49,"Evolent Health LLC and Evolent Health, Inc. (15)",Medical technology company focused on value based care services and payment solutions,First lien senior secured loan ($67.1 par due 12/2024),9.00% (Libor + 8.00%/Q),12/30/2019,61.2,,,75.9,,(2)(6)(11),,
50,,,"Warrant to purchase up to 1,354,968 shares of common stock (expires 1/2025)",,12/30/2019,5.9,,,7.0,,(2)(6),,
52,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($34.5 par due 6/2025),9.00% (Libor + 8.00%/Q),6/30/2017,34.3,,,34.5,,(2)(11),,
53,,,Second lien senior secured loan ($55.0 par due 6/2025),9.00% (Libor + 8.00%/Q),1/13/2020,55.0,,,55.0,,(2)(11),,
54,,,"Series A preferred stock (110,425 shares)",11.75% (Libor + 10.75%/Q),6/30/2017,166.9,,,166.9,,(2)(11),,
55,,,"Class A units (14,013,303 units)",,6/30/2017,14.0,,,17.3,,(2),,
57,Global Medical Response Inc,Emergency air medical services provider,Senior subordinated loan ($182.7 par due 3/2026),8.88% (Libor + 7.88%/Q),3/14/2018,182.7,,,182.7,,(2)(11),,
58,,,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",,3/14/2018,0.9,,,2.1,,(2),,
60,"HealthEdge Software, Inc. (15)","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured revolving loan,,4/9/2020,0,,,0,,(13),,
61,,,First lien senior secured loan ($47.5 par due 4/2026),7.25% (Libor + 6.25%/M),12/16/2020,47.5,,,47.5,,(2)(11),,
62,,,First lien senior secured loan ($3.7 par due 4/2026),7.25% (Libor + 6.25%/M),4/9/2020,3.7,,,3.7,,(2)(11),,
63,,,First lien senior secured loan ($10.7 par due 4/2026),7.25% (Libor + 6.25%/M),4/9/2020,10.7,,,10.7,,(2)(11),,
65,Hygiena Borrower LLC (15),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($2.5 par due 8/2023),8.75% (Libor + 7.75%/Q),8/26/2016,2.5,,,2.5,,(2)(11),,
66,,,Second lien senior secured loan ($10.7 par due 8/2023),8.75% (Libor + 7.75%/Q),2/27/2017,10.7,,,10.7,,(2)(11),,
67,,,Second lien senior secured loan ($11.1 par due 8/2023),8.75% (Libor + 7.75%/Q),6/29/2018,11.1,,,11.1,,(2)(11),,
68,,,Second lien senior secured loan ($0.6 par due 8/2023),8.75% (Libor + 7.75%/Q),6/29/2018,0.6,,,0.6,,(2)(11),,
70,"JDC Healthcare Management, LLC (15)",Dental services provider,First lien senior secured revolving loan ($0.8 par due 4/2022),,4/10/2017,0.5,,,0.6,,(2)(10),,
72,,,First lien senior secured loan ($29.9 par due 4/2023),,4/10/2017,27.9,,,23.1,,(2)(10),,
73,,,First lien senior secured loan ($4.2 par due 4/2023),,4/10/2017,3.9,,,3.2,,(2)(10),,
75,LivaNova USA Inc.,Medical device company focused on treating cardiovascular and neurological diseases,First lien senior secured loan ($42.5 par due 6/2025),7.50% (Libor + 6.50%/Q),6/10/2020,42.5,,,42.0,,(11),,
76,"MB2 Dental Solutions, LLC (15)",Dental services provider,First lien senior secured revolving loan ($2.9 par due 9/2023),8.75% (Base Rate + 5.50%/Q),9/29/2017,2.9,,,2.9,,(2)(11),,
77,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,First lien senior secured loan ($113.5 par due 7/2021),8.50% (Libor + 7.00%/M),7/26/2017,113.5,,,113.5,,(2)(11),,
78,,,"Class A units (1,438,643 shares)",,1/17/2014,1.5,,,1.1,,(2),,
80,"Minerva Surgical, Inc. (15)",Medical device company focused on women's health,First lien senior secured loan ($31.5 par due 12/2022),"11.50% (Libor + 3.50% Cash, 6.00% PIK/Q)",12/30/2019,30.7,,,31.5,,(2)(11),,
81,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,Second lien senior secured loan ($72.8 par due 10/2023),12.00% PIK (Libor + 11.00%/Q),4/19/2016,72.8,,,67.0,,(2)(11),,
82,,,"Preferred units (1,842 units)",15.00% PIK,6/29/2020,0.1,,,0.1,,(2),,
83,,,"Senior preferred units (5,320 units)",8.00% PIK,6/29/2020,0.3,,,0.3,,(2),,
84,,,"Class A units (25,277 units)",,4/19/2016,2.5,,,0.9,,(2),,
86,NMN Holdings III Corp. and NMN Holdings LP (15),Provider of complex rehabilitation technology solutions for patients with mobility loss,First lien senior secured revolving loan,,11/13/2018,0,,,0,,(13),,
87,,,"Partnership units (30,000 units)",,11/13/2018,3.0,,,4.7,,(2),,
89,"NueHealth Performance, LLC (15)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($11.1 par due 9/2023),8.25% (Libor + 7.25%/M),9/27/2018,11.1,,,11.0,,(2)(11),,
90,,,First lien senior secured loan ($1.5 par due 9/2023),8.25% (Libor + 7.25%/M),9/27/2018,1.5,,,1.5,,(2)(11),,
92,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (15)",Behavioral health and special education platform provider,First lien senior secured revolving loan ($10.1 par due 9/2024),"8.50% (Libor + 5.50% Cash, 2.00% PIK/Q)",9/24/2019,10.1,,,9.3,,(2)(11),,
93,,,First lien senior secured loan ($0.0 par due 9/2026),"8.50% (Libor + 5.50% Cash, 2.00% PIK/M)",12/31/2020,0.1,,,0,,(2)(11),,
94,,,First lien senior secured loan ($42.5 par due 9/2026),"8.50% (Libor + 5.50% Cash, 2.00% PIK/M)",9/24/2019,42.5,,,39.1,,(2)(11),,
95,,,"Class A common units (9,549,000 units)",,9/24/2019,9.5,,,3.2,,(2),,
97,"OMH-HealthEdge Holdings, LLC","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured loan ($26.4 par due 10/2025),6.25% (Libor + 5.25%/Q),10/24/2019,26.4,,,26.4,,(2)(11),,
98,"OneSmile Intermediate, LLC",Dental services provider,Senior subordinated loan ($8.5 par due 10/2026),8.00% PIK,12/1/2020,8.5,,,7.1,,(2),,
99,"OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),,11/21/2013,1.0,,,0.7,,(2),,
100,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (15),Veterinary hospital operator,First lien senior secured revolving loan,,3/31/2020,0,,,0,,(13),,
101,,,Second lien senior secured loan ($76.3 par due 3/2028),8.75% (Libor + 7.75%/M),3/31/2020,76.3,,,76.3,,(2)(11),,
102,,,"Class R common units (6,004,768 units)",,3/31/2020,6.0,,,8.0,,(2),,
104,"Performance Health Supply, Inc.",Distributor of rehabilitation supplies and equipment,Second lien senior secured loan ($84.0 par due 8/2023),11.50% PIK (Libor + 10.50%/Q),9/2/2015,83.3,,,74.8,,(2)(11),,
105,"PetVet Care Centers, LLC",Veterinary hospital operator,First lien senior secured loan ($26.0 par due 2/2025),5.25% (Libor + 4.25%/M),10/31/2019,25.6,,,26.0,,(2)(11),,
107,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($50.0 par due 9/2022),"12.00% (Libor + 2.50% Cash, 8.50% PIK/Q)",12/18/2015,49.9,,,46.0,,(2)(11),,
108,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (15),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured revolving loan ($12.0 par due 7/2023),3.47% (Libor + 3.25%/Q),7/10/2018,12.0,,,11.9,,(2)(14),,
109,,,First lien senior secured loan ($10.7 par due 7/2025),3.75% (Libor + 3.50%/Q),7/10/2018,10.7,,,10.6,,(2),,
110,,,Second lien senior secured loan ($67.1 par due 7/2026),7.75% (Libor + 7.50%/Q),7/10/2018,66.6,,,67.1,,(2),,
111,,,"Class A units (9,775 units)",,7/10/2018,9.8,,,14.4,,(2),,
113,Project Ruby Ultimate Parent Corp.,Provider of care coordination and transition management software solutions,First lien senior secured loan ($1.6 par due 2/2024),5.25% (Libor + 4.25%/Q),12/31/2020,1.6,,,1.6,,(2)(11),,
114,,,Second lien senior secured loan ($1.4 par due 2/2025),9.25% (Libor + 8.25%/Q),12/31/2020,1.4,,,1.4,,(2)(11),,
116,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",,6/28/2012,0,,,0,,(2),,
117,"RTI Surgical, Inc. and Pioneer Surgical Technology, Inc. (15)","Manufacturer of biologic, metal and synthetic implants/devices",First lien senior secured loan ($38.1 par due 7/2026),8.25% (Libor + 6.75%/Q),7/20/2020,38.1,,,37.4,,(11),,
118,"SCSG EA Acquisition Company, Inc. (15)",Provider of outsourced clinical services to hospitals and health systems,First lien senior secured revolving loan,,9/1/2017,0,,,0,,(13),,
119,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (15)",Outsourced anesthesia provider,First lien senior secured loan ($13.2 par due 3/2024),5.75% (Libor + 4.75%/Q),3/26/2018,13.2,,,10.4,,(2)(11),,
120,,,"Common units (684,854 units)",,3/26/2018,4.8,,,0,,(2),,
122,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (15)",Breast cancer screening provider,First lien senior secured loan ($7.0 par due 8/2024),7.00% (Libor + 6.25%/Q),8/1/2018,7.0,,,6.9,,(2)(11),,
123,,,First lien senior secured loan ($2.0 par due 8/2024),7.00% (Libor + 6.25%/Q),9/25/2019,2.0,,,2.0,,(2)(11),,
124,,,"Series A preferred stock (44,975 shares)",10.48% PIK (Libor + 10.25%/Q),8/1/2018,60.2,,,60.2,,(2),,
125,,,"Series A units (8,041 units)",,8/1/2018,8.0,,,0,,(2),,
126,,,"Series B units (804,142 units)",,8/1/2018,0,,,4.4,,(2),,
128,"Symplr Software Inc. and Symplr Software Intermediate Holdings, Inc. (15)",SaaS based healthcare compliance platform provider,Second lien senior secured loan ($53.5 par due 12/2028),8.50% (Libor + 7.75%/Q),12/22/2020,53.5,,,52.4,,(2)(11),,
129,,,"Series C preferred shares (75,939 shares)",11.00% PIK,12/22/2020,76.1,,,76.1,,(2),,
131,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (15)",Franchisor of private-pay home care for the elderly,First lien senior secured revolving loan,,4/2/2018,0,,,0,,(13),,
132,,,First lien senior secured loan ($15.7 par due 4/2024),6.75% (Libor + 5.75%/Q),4/2/2018,15.7,,,15.7,,(2)(11),,
133,,,Common units (550 units),,4/2/2018,0.6,,,0.8,,,,
135,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($59.3 par due 6/2024),,12/13/2018,52.3,,,28.5,,(2)(10),,
136,,,Second lien senior secured loan ($34.3 par due 6/2024),,12/13/2018,30.4,,,16.5,,(2)(10),,
137,,,"Warrant to purchase up to 490,492 shares of common stock (expires 4/2025)",,4/6/2020,0,,,0,,(2),,
138,,,"Warrant to purchase up to 122,548 shares of common stock (expires 7/2025)",,7/20/2020,0,,,0,,(2),,
140,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P.","Manufacturer of consumable products in the dental, medical, cosmetic and consumer/industrial end-markets",First lien senior secured loan ($25.2 par due 11/2025),4.90% (Libor + 4.75%/M),11/15/2018,25.2,,,24.7,,(2),,
142,,,First lien senior secured loan ($11.2 par due 11/2025),4.90% (Libor + 4.75%/M),11/15/2018,11.2,,,10.9,,,,
143,,,"Class A preferred units (2,149 units)",8.00% PIK,11/15/2018,2.5,,,2.5,,(2),,
145,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,Second lien senior secured loan ($71.8 par due 6/2025),8.25% (Libor + 7.25%/Q),6/16/2017,71.2,,,70.4,,(2)(11),,
146,"United Digestive MSO Parent, LLC (15)",Gastroenterology physician group,First lien senior secured loan ($1.1 par due 12/2024),5.00% (Libor + 4.00%/Q),12/14/2018,1.1,,,1.1,,(2)(11),,
147,,,First lien senior secured loan ($2.4 par due 12/2024),5.00% (Libor + 4.00%/Q),12/14/2018,2.4,,,2.4,,(2)(11),,
149,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Preferred units (7,696,613 units)",,6/11/2015,7.7,,,0,,,,
150,,,"Series A common units (2,000,000 units)",,6/11/2015,2.0,,,0,,,,
151,,,"Series C common units (5,288,427 units)",,6/11/2015,0,,,0,,,,
153,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",Urology private practice,First lien senior secured loan ($9.7 par due 8/2024),6.00% (Libor + 5.00%/M),8/31/2018,9.6,,,9.7,,(11),,
154,,,Limited partnership interests (3.64% interest),,8/31/2018,4.8,,,3.7,,(2),,
156,WSHP FC Acquisition LLC (15),Provider of biospecimen products for pharma research,First lien senior secured revolving loan ($3.3 par due 3/2024),7.25% (Libor + 6.25%/Q),3/30/2018,3.3,,,3.3,,(2)(11),,
157,,,First lien senior secured loan ($27.9 par due 3/2024),7.25% (Libor + 6.25%/Q),3/30/2018,27.9,,,27.9,,(2)(11),,
158,,,First lien senior secured loan ($5.9 par due 3/2024),7.25% (Libor + 6.25%/Q),3/30/2018,5.9,,,5.9,,(2)(11),,
159,,,First lien senior secured loan ($4.6 par due 3/2024),7.25% (Libor + 6.25%/Q),2/11/2019,4.6,,,4.6,,(2)(11),,
160,,,First lien senior secured loan ($8.6 par due 3/2024),7.25% (Libor + 6.25%/Q),8/30/2019,8.6,,,8.6,,(2)(11),,
161,,,First lien senior secured loan ($10.9 par due 3/2024),7.25% (Libor + 6.25%/Q),10/31/2019,10.9,,,10.9,,(2)(11),,
163,,,,,,2758.5,,,2680.5,,,37.35%,
165,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (15)",Payment processing solution provider,First lien senior secured revolving loan,,2/28/2020,0,,,0,,(13),,
166,,,First lien senior secured loan ($64.6 par due 3/2026),6.25% (Libor + 5.00%/Q),2/28/2020,64.6,,,64.6,,(2)(11),,
167,,,Senior subordinated loan ($24.2 par due 2/2028),12.75% PIK,2/28/2020,24.2,,,24.2,,(2),,
169,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (15)",Provider of intellectual property management lifecycle software,First lien senior secured loan ($5.1 par due 4/2026),5.50% (Euribor + 5.50%/Q),4/10/2019,4.7,,,5.1,,,,
170,,,"Limited partnership units (4,400,000 units)",,6/13/2019,5.0,,,8.8,,(2)(6),,
172,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(15)",Aircraft performance software provider,First lien senior secured loan ($12.8 par due 1/2025),6.75% (Libor + 5.25%/Q),1/3/2020,12.8,,,12.8,,(2)(11),,
173,,,First lien senior secured loan ($0.8 par due 1/2025),6.75% (Libor + 5.25%/Q),1/3/2020,0.8,,,0.8,,(2)(11),,
174,,,"Class A membership units (9,750,000 units)",,1/3/2020,9.8,,,12.6,,(2),,
176,"Apptio, Inc. (15)",Provider of cloud-based technology business management solutions,First lien senior secured loan ($62.2 par due 1/2025),8.25% (Libor + 7.25%/Q),1/10/2019,62.2,,,62.2,,(11),,
177,"Banyan Software Holdings, LLC (15)",Vertical software businesses holding company,First lien senior secured loan ($18.6 par due 10/2026),8.50% (Libor + 7.50%/Q),10/30/2020,18.6,,,18.4,,(2)(11),,
179,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (15)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,First lien senior secured revolving loan,,8/20/2018,0,,,0,,(13),,
180,,,First lien senior secured loan ($47.2 par due 8/2023),8.50% (Libor + 6.75%/Q),8/20/2018,47.2,,,47.2,,(11),,
181,,,"Series A preferred stock (150,000 shares)",,9/26/2018,1.5,,,2.0,,(2),,
183,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",,7/23/2014,0,,,0,,(2),,
184,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (15)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Second lien senior secured loan ($48.1 par due 11/2028),8.50% (Libor + 7.75%/Q),11/12/2020,48.1,,,47.2,,(2)(11),,
185,,,"Series A-2 preferred shares (8,963 shares)",11.25% PIK (Libor + 11.00%/Q),12/23/2020,9.0,,,9.0,,(2),,
186,,,"Series A preferred shares (24,898 shares)",11.21% PIK (Libor + 11.00%/Q),11/12/2020,25.3,,,25.3,,(2),,
188,"Clearwater Analytics, LLC (15)","Provider of integrated cloud-based investment portfolio management, accounting, reporting and analytics software",First lien senior secured loan ($45.9 par due 10/2025),7.25% (Libor + 6.25%/Q),10/19/2020,45.9,,,45.9,,(2)(11),,
189,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (15)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($6.4 par due 7/2026),6.25% (Libor + 5.25%/Q),7/2/2019,6.4,,,6.4,,(2)(6)(11),,
190,,,First lien senior secured loan ($4.5 par due 7/2026),6.25% (Libor + 5.25%/Q),10/15/2019,4.5,,,4.5,,(2)(6)(11),,
191,,,First lien senior secured loan ($1.1 par due 7/2026),8.25% (Libor + 7.25%/Q),9/3/2020,1.1,,,1.1,,(2)(6)(11),,
192,,,Preferred equity (198 shares),9.00% PIK,7/2/2019,0.2,,,0.2,,(2)(6),,
193,,,"Common equity (190,143 shares)",,7/2/2019,0,,,0.2,,(2)(6),,
195,Datix Bidco Limited,Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($0.1 par due 4/2025),4.74% (Libor + 4.50%/Q),10/7/2019,0,,,0,,(2)(6),,
196,Diligent Corporation (15),Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured revolving loan,,8/4/2020,0,,,0,,(13),,
197,,,First lien senior secured loan ($33.4 par due 8/2025),7.25% (Libor + 6.25%/Q),8/4/2020,32.6,,,33.0,,(11),,
199,"Drilling Info Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,Second lien senior secured loan ($25.0 par due 7/2026),8.40% (Libor + 8.25%/M),2/11/2020,25.0,,,24.3,,(2),,
200,,,Preferred stock (29.53 shares),13.50% PIK,2/11/2020,32.3,,,33.3,,(2),,
202,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (15)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured revolving loan ($3.4 par due 9/2025),7.00% (Libor + 6.00%/Q),9/18/2019,3.4,,,3.3,,(2),,
203,,,First lien senior secured loan ($51.0 par due 9/2025),7.00% (Libor + 6.00%/Q),9/18/2019,51.0,,,49.5,,(2)(11),,
204,,,First lien senior secured loan ($11.5 par due 9/2025),7.00% (Libor + 6.00%/Q),9/18/2019,11.5,,,11.2,,(2)(11),,
205,,,First lien senior secured loan ($5.8 par due 9/2025),7.00% (Libor + 6.00%/Q),12/15/2020,5.8,,,5.6,,(2)(11),,
206,,,"Preferred equity (4,599 shares)",,9/18/2019,4.6,,,5.1,,,,
208,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (15)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($29.2 par due 5/2026),6.50% (Libor + 6.25%/Q),5/10/2019,29.2,,,27.4,,,,
209,,,First lien senior secured loan ($20.5 par due 5/2026),6.50% (Libor + 6.25%/Q),5/10/2019,20.5,,,19.3,,(2)(9),,
210,,,First lien senior secured loan ($10.7 par due 5/2026),6.50% (Libor + 6.25%/Q),5/10/2019,10.7,,,10.0,,(2)(6),,
212,,,First lien senior secured loan ($4.1 par due 5/2026),6.50% (Libor + 6.25%/Q),5/10/2019,4.1,,,3.8,,(2)(6)(9),,
213,,,"Partnership units (5,034,483 units)",,5/10/2019,5.0,,,5.8,,(2),,
215,Episerver Inc. and Goldcup 17308 AB (15),Provider of web content management and digital commerce solutions,First lien senior secured loan ($6.5 par due 10/2024),6.00% (Euribor + 6.00%/Q),3/22/2019,6.0,,,6.3,,(2)(6),,
216,,,First lien senior secured loan ($27.2 par due 10/2024),6.75% (Libor + 5.75%/Q),10/9/2018,27.2,,,26.6,,(2)(6)(11),,
218,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (15)","Provider of mission-critical, software-enabled clinical research solutions",Second lien senior secured loan ($19.9 par due 2/2028),8.50% (Libor + 8.00%/M),2/4/2020,19.5,,,19.8,,(2)(11),,
219,,,"Limited partnership interest (3,300,000 shares)",,1/31/2020,3.7,,,4.0,,(2)(6),,
221,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",,3/20/2014,0,,,0,,(2),,
222,FM: Systems Group LLC (15),Provider of facilities and space management software solutions,First lien senior secured revolving loan ($1.5 par due 12/2024),7.50% (Libor + 6.50%/Q),2/8/2018,1.5,,,1.5,,(2)(11),,
223,,,First lien senior secured loan ($3.2 par due 12/2024),7.50% (Libor + 6.50%/Q),12/2/2019,3.2,,,3.2,,(2)(11),,
225,"Forescout Technologies, Inc. (15)",Network access control solutions provider,First lien senior secured loan ($17.0 par due 8/2026),10.50% PIK (Libor + 9.50%/Q),8/17/2020,16.6,,,16.9,,(2)(11),,
226,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,First lien senior secured loan ($17.4 par due 9/2023),6.75% (Libor + 5.75%/M),12/30/2020,17.4,,,17.4,,(2)(11),,
227,,,"Class A preferred units (4,574 units)",9.00% PIK,9/18/2017,5.6,,,6.2,,,,
228,,,"Class B common units (499,050 units)",,9/18/2017,0,,,4.6,,,,
