,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,,
71,,,First lien senior secured loan ($29.6 par due 4/2023),,4/10/2017,28.8,,,22.5,,(2)(10),,,
72,,,First lien senior secured loan ($4.2 par due 4/2023),,4/10/2017,4.1,,,3.2,,(2)(10),,,
74,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (15)",Provider of behavioral health services,First lien senior secured revolving loan ($2.1 par due 3/2022),"6.00% (Libor + 4.00% Cash, 1.00% PIK/M)",3/17/2017,2.1,,,2.0,,(2)(11),,,
75,Key Surgical LLC (15),"Provider of sterile processing, operating room and instrument care supplies for hospitals",First lien senior secured loan ($16.4 par due 6/2023),6.00% (EURIBOR + 5.00%/Q),6/1/2017,16.4,,,15.9,,(2)(11),,,
76,,,First lien senior secured loan ($5.5 par due 6/2023),6.00% (Libor + 5.00%/Q),8/28/2019,5.4,,,5.3,,(2)(11),,,
78,LivaNova USA Inc.,Medical device company focused on treating cardiovascular and neurological diseases,First lien senior secured loan ($42.5 par due 6/2025),7.50% (Libor + 6.50%/Q),6/10/2020,42.5,,,41.2,,(2)(11),,,
79,"MB2 Dental Solutions, LLC (15)",Dental services provider,First lien senior secured revolving loan ($4.6 par due 9/2023),5.82% (Libor + 4.75%/Q),9/29/2017,4.6,,,4.3,,(2)(11),,,
80,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,First lien senior secured loan ($0.8 par due 7/2020),7.75% (Base Rate + 4.50%/Q),7/26/2017,0.8,,,0.8,,(2)(11),,,
81,,,First lien senior secured loan ($114.4 par due 7/2020),7.00% (Libor + 5.50%/Q),7/26/2017,114.4,,,114.4,,(2)(11),,,
82,,,"Class A units (1,438,643 shares)",,1/17/2014,1.5,,,1.2,,(2),,,
84,"Minerva Surgical, Inc. (15)",Medical device company focused on women's health,First lien senior secured loan ($30.5 par due 12/2022),"11.50% (Libor + 3.50% Cash, 6.00% PIK/Q)",12/30/2019,29.5,,,29.9,,(2)(11),,,
85,MW Dental Holding Corp. (15),Dental services provider,First lien senior secured revolving loan ($10.5 par due 4/2021),8.25% (Libor + 6.75%/Q),4/12/2011,10.5,,,9.6,,(2)(11),,,
86,,,First lien senior secured loan ($153.3 par due 4/2021),8.25% (Libor + 6.75%/Q),4/12/2011,151.8,,,141.0,,(2)(11),,,
88,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,Second lien senior secured loan ($72.8 par due 10/2023),12.00% PIK (Libor + 11.00%/Q),4/19/2016,72.8,,,64.1,,(2)(11),,,
89,,,"Senior preferred units (5,320 units)",8.00% PIK,6/29/2020,0.3,,,0.3,,(2),,,
90,,,"Preferred units (1,842 units)",15.00% PIK,6/29/2020,0.1,,,0.1,,(2),,,
91,,,"Class A units (25,277 units)",,4/19/2016,2.5,,,0.4,,(2),,,
93,NMN Holdings III Corp. and NMN Holdings LP (15),Provider of complex rehabilitation technology solutions for patients with mobility loss,First lien senior secured revolving loan,,11/13/2018,0,,,0,,(13),,,
95,,,"Partnership units (30,000 units)",,11/13/2018,3.0,,,3.6,,(2),,,
97,"NueHealth Performance, LLC (15)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($11.1 par due 9/2023),8.25% (Libor + 7.25%/Q),9/27/2018,11.1,,,10.8,,(2)(11),,,
98,,,First lien senior secured loan ($1.5 par due 9/2023),8.25% (Libor + 7.25%/Q),9/27/2018,1.5,,,1.4,,(2)(11),,,
100,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (15)",Behavioral health and special education platform provider,First lien senior secured revolving loan ($10.1 par due 9/2024),6.50% (Libor + 5.50%/Q),9/24/2019,10.1,,,9.6,,(2)(11),,,
101,,,First lien senior secured loan ($42.8 par due 9/2026),6.50% (Libor + 5.50%/Q),9/24/2019,42.8,,,40.6,,(2)(11),,,
102,,,"Class A common units (9,549,000 units)",,9/24/2019,9.5,,,7.8,,(2),,,
104,"OMH-HealthEdge Holdings, LLC",Revenue cycle management software provider for healthcare companies,First lien senior secured loan ($26.5 par due 10/2025),6.57% (Libor + 5.50%/Q),10/24/2019,26.5,,,26.2,,(2)(11),,,
105,"OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),,11/21/2013,1.0,,,0.6,,(2),,,
106,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (15),Veterinary hospital operator,Second lien senior secured loan ($76.3 par due 3/2028),8.75% (Libor + 7.75%/Q),3/31/2020,76.3,,,74.8,,(2)(11),,,
107,,,"Class R common units (6,004,768 units)",,3/31/2020,6.0,,,6.8,,(2),,,
109,"Performance Health Supply, Inc.",Distributor of rehabilitation supplies and equipment,Second lien senior secured loan ($79.7 par due 8/2023),11.50% PIK (Libor + 10.50%/S),9/2/2015,78.8,,,63.7,,(2)(11),,,
110,"PetVet Care Centers, LLC",Veterinary hospital operator,First lien senior secured loan ($26.2 par due 2/2025),5.25% (Libor + 4.25%/Q),10/31/2019,25.7,,,25.6,,(2)(11),,,
111,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($47.2 par due 5/2021),9.83% (Libor + 8.75%/Q),12/18/2015,47.1,,,39.2,,(2)(11),,,
112,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (15),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured revolving loan ($21.0 par due 7/2023),3.64% (Libor + 3.25%/Q),7/10/2018,21.0,,,20.2,,(2)(14),,,
113,,,First lien senior secured loan ($10.8 par due 7/2025),3.81% (Libor + 3.50%/Q),7/10/2018,10.8,,,10.4,,(2),,,
114,,,Second lien senior secured loan ($67.1 par due 7/2026),7.83% (Libor + 7.50%/Q),7/10/2018,66.6,,,65.1,,(2),,,
115,,,"Class A units (9,775 units)",,7/10/2018,9.8,,,11.4,,(2),,,
117,"ProVation Medical, Inc.",Provider of documentation and coding software for GI physicians,First lien senior secured loan ($12.8 par due 3/2024),7.18% (Libor + 7.00%/Q),3/9/2018,12.7,,,12.7,,(2),,,
118,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",,6/28/2012,0,,,0,,(2),,,
119,"RTI Surgical, Inc. (15)","Manufacturer of biologic, metal and synthetic implants/devices",Second lien senior secured loan ($97.3 par due 12/2023),"9.75% (Libor + 4.375% Cash, 4.375% PIK/Q)",3/8/2019,97.3,,,102.2,,(2)(6)(11),,,
120,,,Second lien senior secured loan ($26.3 par due 4/2021),15.00% PIK (Libor + 13.50%/Q),4/27/2020,26.3,,,26.3,,(2)(6)(11),,,
122,"SCSG EA Acquisition Company, Inc. (15)",Provider of outsourced clinical services to hospitals and health systems,First lien senior secured revolving loan ($0.9 par due 9/2022),5.00% (Libor + 4.00%/Q),9/1/2017,0.9,,,0.8,,(2)(11)(14),,,
123,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (15)",Outsourced anesthesia provider,First lien senior secured revolving loan ($7.1 par due 3/2024),6.19% (Libor + 4.75%/Q),3/26/2018,7.1,,,6.4,,(2)(11),,,
124,,,First lien senior secured loan ($16.6 par due 3/2024),5.75% (Libor + 4.75%/Q),3/26/2018,16.6,,,14.9,,(2)(11),,,
126,,,"Common units (684,854 units)",,3/26/2018,4.8,,,0.7,,(2),,,
128,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (15)",Breast cancer screening provider,First lien senior secured revolving loan ($5.5 par due 8/2024),5.81% (Libor + 5.50%/Q),8/1/2018,5.5,,,5.1,,(2),,,
129,,,First lien senior secured loan ($7.0 par due 8/2024),5.81% (Libor + 5.50%/Q),8/1/2018,7.0,,,6.6,,(2),,,
130,,,"Series A preferred stock (44,975 shares)",10.56% PIK (Libor + 10.25%/Q),8/1/2018,57.1,,,57.1,,(2),,,
131,,,"Series A units (7,475 units)",,8/1/2018,7.5,,,0.1,,(2),,,
132,,,"Series B units (747,500 units)",,8/1/2018,0,,,5.3,,(2),,,
134,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (15)",Franchisor of private-pay home care for the elderly,First lien senior secured loan ($15.7 par due 4/2024),6.75% (Libor + 5.75%/Q),4/2/2018,15.7,,,15.7,,(2)(11),,,
135,,,Common units (550 units),,4/2/2018,0.6,,,0.8,,,,,
137,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($55.1 par due 6/2024),,12/13/2018,52.3,,,43.0,,(2)(10),,,
138,,,Second lien senior secured loan ($31.9 par due 6/2024),,12/13/2018,30.4,,,24.9,,(2)(10),,,
139,,,"Warrant to purchase up to 4,904,916 shares of common stock (expires 4/2025)",,4/6/2020,0,,,0,,(2),,,
141,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P. (15)","Manufacturer of consumable products in the dental, medical, cosmetic and CPG/industrial end-markets",First lien senior secured loan ($25.3 par due 11/2025),5.82% (Libor + 4.75%/Q),11/15/2018,25.3,,,24.6,,(2),,,
142,,,"Class A preferred units (2,149 units)",8.00% PIK,11/15/2018,2.4,,,2.4,,(2),,,
144,"U.S. Acute Care Solutions, LLC (15)",Provider of physician management services,First lien senior secured revolving loan ($0.9 par due 11/2020),6.13% (Libor + 5.00%/Q),2/8/2018,0.9,,,0.9,,(2),,,
145,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,Second lien senior secured loan ($71.8 par due 6/2025),8.25% (Libor + 7.25%/M),6/16/2017,71.1,,,68.2,,(2)(11),,,
146,"United Digestive MSO Parent, LLC (15)",Gastroenterology physician group,First lien senior secured revolving loan ($8.4 par due 12/2023),5.00% (Libor + 4.00%/Q),12/14/2018,8.4,,,8.4,,(2)(11),,,
147,,,First lien senior secured loan ($1.1 par due 12/2024),5.00% (Libor + 4.00%/Q),12/14/2018,1.1,,,1.1,,(2)(11),,,
148,,,First lien senior secured loan ($2.4 par due 12/2024),5.00% (Libor + 4.00%/Q),12/14/2018,2.4,,,2.4,,(2)(11),,,
150,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Preferred units (7,696,613 units)",,6/11/2015,7.7,,,0,,(2),,,
151,,,"Series A common units (2,000,000 units)",,6/11/2015,2.0,,,0,,(2),,,
152,,,"Series C common units (5,288,427 units)",,6/11/2015,0,,,0,,(2),,,
154,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",Urology private practice,First lien senior secured loan ($9.7 par due 8/2024),6.00% (Libor + 5.00%/Q),8/31/2018,9.6,,,9.4,,(2)(11),,,
155,,,Limited partnership interests (3.64% interest),,8/31/2018,4.8,,,4.6,,(2),,,
157,WSHP FC Acquisition LLC (15),Provider of biospecimen products for pharma research,First lien senior secured revolving loan ($1.9 par due 3/2024),7.25% (Libor + 6.25%/Q),3/30/2018,1.9,,,1.9,,(2)(11),,,
159,,,First lien senior secured loan ($28.0 par due 3/2024),7.25% (Libor + 6.25%/Q),3/30/2018,28.0,,,28.0,,(2)(11),,,
160,,,First lien senior secured loan ($5.9 par due 3/2024),7.25% (Libor + 6.25%/Q),3/30/2018,5.9,,,5.9,,(2)(11),,,
161,,,First lien senior secured loan ($4.6 par due 3/2024),7.25% (Libor + 6.25%/Q),2/11/2019,4.6,,,4.6,,(2)(11),,,
162,,,First lien senior secured loan ($8.7 par due 3/2024),7.25% (Libor + 6.25%/Q),8/30/2019,8.7,,,8.7,,(2)(11),,,
163,,,First lien senior secured loan ($11.0 par due 3/2024),7.25% (Libor + 6.25%/Q),10/31/2019,11.0,,,11.0,,(2)(11),,,
165,,,,,,2848.2,,,2701.9,,,40.38%,,
167,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (15)",Payment processing solution provider,First lien senior secured revolving loan ($1.8 par due 3/2026),6.75% (Libor + 5.50%/Q),2/28/2020,1.8,,,1.7,,(2)(11),,,
168,,,First lien senior secured loan ($64.8 par due 3/2026),6.75% (Libor + 5.50%/Q),2/28/2020,64.8,,,62.9,,(2)(11),,,
169,,,Senior subordinated loan ($22.7 par due 2/2028),12.75% PIK,2/28/2020,22.7,,,21.8,,(2),,,
171,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (15)",Provider of intellectual property management lifecycle software,First lien senior secured loan ($4.7 par due 4/2026),5.50% (Euribor + 5.50%/Q),4/10/2019,4.7,,,4.6,,(2),,,
172,,,"Limited partnership units (4,400,000 units)",,6/13/2019,5.0,,,6.9,,(2)(6),,,
174,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(15)",Aircraft performance software provider,First lien senior secured loan ($12.9 par due 1/2025),6.75% (Libor + 5.25%/Q),1/3/2020,12.9,,,12.6,,(2)(11),,,
175,,,First lien senior secured loan ($0.8 par due 1/2025),6.75% (Libor + 5.25%/Q),1/3/2020,0.8,,,0.8,,(2)(11),,,
176,,,"Class A membership units (9,750,000 units)",,1/3/2020,9.8,,,10.8,,(2),,,
178,"Apptio, Inc. (15)",Provider of cloud-based technology business management solutions,First lien senior secured loan ($62.2 par due 1/2025),8.25% (Libor + 7.25%/Q),1/10/2019,62.2,,,60.9,,(2)(11),,,
179,"Avetta, LLC (15)",Supply chain risk management SaaS platform for global enterprise clients,First lien senior secured loan ($2.1 par due 4/2024),6.75% (Libor + 5.75%/Q),4/10/2018,2.1,,,2.0,,(2)(11),,,
180,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (15)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,First lien senior secured revolving loan ($2.3 par due 8/2023),8.50% (Libor + 6.75%/Q),8/20/2018,2.3,,,2.3,,(2)(11)(14),,,
181,,,First lien senior secured loan ($40.8 par due 8/2023),8.50% (Libor + 6.75%/Q),8/20/2018,40.8,,,40.4,,(2)(11),,,
182,,,"Series A preferred stock (150,000 shares)",,9/26/2018,1.5,,,1.9,,,,,
184,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",,7/23/2014,0,,,0,,(2),,,
185,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (15)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($6.4 par due 7/2026),7.21% (Libor + 5.75%/Q),7/2/2019,6.4,,,6.3,,(2)(6),,,
186,,,First lien senior secured loan ($4.5 par due 7/2026),7.21% (Libor + 5.75%/Q),10/15/2019,4.5,,,4.4,,(2)(6),,,
187,,,Preferred equity (198 shares),9.00% PIK,7/2/2019,0.2,,,0.2,,(2)(6),,,
188,,,"Common equity (190,143 shares)",,7/2/2019,0,,,0.2,,(2)(6),,,
190,Datix Bidco Limited,Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($0.1 par due 4/2025),5.36% (Libor + 4.50%/Q),10/7/2019,0,,,0,,(2)(6),,,
192,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,First lien senior secured loan ($1.8 par due 4/2018),,12/19/2014,1.3,,,0,,(2)(10),,,
193,,,"Warrant to purchase up to 1,875,000 shares of Series 1 preferred stock (expires 12/2024)",,12/19/2014,0,,,0,,(2),,,
195,"Drilling Info Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,Second lien senior secured loan ($25.0 par due 7/2026),8.43% (Libor + 8.25%/Q),2/11/2020,25.0,,,23.8,,(2),,,
196,,,Preferred stock (29.53 shares),13.50% PIK,2/11/2020,30.2,,,31.1,,(2),,,
198,"Dynatrace, Inc.",Web and mobile cloud performance testing and monitoring services provider,"Common stock (549,941 shares)",,8/5/2019,2.0,,,22.3,,(2)(18),,,
199,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (15)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($29.4 par due 5/2026),6.06% (Libor + 5.75%/Q),5/10/2019,29.4,,,27.6,,(2),,,
200,,,First lien senior secured loan ($20.7 par due 5/2026),6.06% (Libor + 5.75%/Q),5/10/2019,20.7,,,19.4,,(2)(9),,,
201,,,First lien senior secured loan ($10.7 par due 5/2026),6.06% (Libor + 5.75%/Q),5/10/2019,10.7,,,10.1,,(2)(6),,,
202,,,First lien senior secured loan ($4.1 par due 5/2026),6.06% (Libor + 5.75%/Q),5/10/2019,4.1,,,3.9,,(2)(6)(9),,,
203,,,"Partnership units (5,034,483 units)",,5/10/2019,5.0,,,5.6,,(2),,,
205,Episerver Inc. and Goldcup 17308 AB (15),Provider of web content management and digital commerce solutions,First lien senior secured loan ($6.1 par due 10/2024),6.00% (Euribor + 6.00%/Q),3/22/2019,6.0,,,5.7,,(2)(6),,,
206,,,First lien senior secured loan ($27.3 par due 10/2024),7.00% (Libor + 6.00%/Q),10/9/2018,27.3,,,26.2,,(2)(6)(11),,,
208,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (15)","Provider of mission-critical, software-enabled clinical research solutions",Second lien senior secured loan ($19.9 par due 2/2028),8.50% (Libor + 8.00%/Q),2/4/2020,19.4,,,19.4,,(2)(11),,,
209,,,"Limited partnership interest (3,300,000 shares)",,1/31/2020,3.7,,,3.8,,(2)(6),,,
211,"EZ Elemica Holdings, Inc. & Elemica Parent, Inc (15)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured revolving loan ($3.0 par due 9/2025),5.98% (Libor + 5.50%/Q),9/18/2019,3.0,,,2.8,,(2),,,
212,,,First lien senior secured loan ($51.3 par due 9/2025),5.81% (Libor + 5.50%/Q),9/18/2019,51.3,,,47.7,,(2),,,
213,,,"Preferred equity (4,599 shares)",,9/18/2019,4.6,,,3.7,,,,,
215,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",,3/20/2014,0,,,0,,(2),,,
216,FM: Systems Group LLC (15),Provider of facilities and space management software solutions,First lien senior secured revolving loan ($1.5 par due 12/2024),7.50% (Libor + 6.50%/Q),2/8/2018,1.5,,,1.5,,(2)(11),,,
217,,,First lien senior secured loan ($3.2 par due 12/2024),7.50% (Libor + 6.50%/Q),12/2/2019,3.2,,,3.2,,(2)(11),,,
219,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,"Class A preferred units (4,574 units)",9.00% PIK,9/18/2017,5.3,,,5.9,,,,,
220,,,"Class B common (499,050 units)",,9/18/2017,0,,,2.6,,,,,
223,Genesis Acquisition Co. and Genesis Holding Co. (15),Child care management software and services provider,First lien senior secured revolving loan ($1.5 par due 7/2024),4.31% (Libor + 4.00%/Q),7/31/2018,1.5,,,1.4,,(2),,,
