,Company(1),Business Description,Investment,Interest(5)(9),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,
138,"Phylogeny, LLC and Conversant Biologics, LLC (fka WSHP FC Acquisition LLC) (19)",Provider of biospecimen products for pharma research,First lien senior secured revolving loan ($0.8 par due 3/2024),8.83% (Libor + 6.50%/Q),3/30/2018,0.8,,,0.8,,(2)(15),,
139,,,First lien senior secured loan ($6.0 par due 3/2024),8.83% (Libor + 6.50%/Q),3/30/2018,6.0,,,6.0,,(2)(15),,
140,,,First lien senior secured loan ($4.7 par due 3/2024),8.83% (Libor + 6.50%/Q),2/11/2019,4.7,,,4.7,,(2)(15),,
141,,,First lien senior secured loan ($28.3 par due 3/2024),8.83% (Libor + 6.50%/Q),3/30/2018,28.3,,,28.3,,(3)(15),,
143,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($47.2 par due 5/2021),11.15% (Libor + 8.75%/M),12/18/2015,47.0,,,46.8,,(2)(15),,
144,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (19),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured loan ($10.9 par due 7/2025),5.83% (Libor + 3.50%/Q),7/10/2018,10.9,,,10.8,,(4),,
145,,,Second lien senior secured loan ($67.1 par due 7/2026),9.83% (Libor + 7.50%/Q),7/10/2018,66.5,,,66.4,,(2),,
146,,,"Class A units (9,775 units)",,7/10/2018,9.8,,,11.0,,(2),,
148,"ProVation Medical, Inc.",Provider of documentation and coding software for GI physicians,First lien senior secured loan ($13.0 par due 3/2024),9.58% (Libor + 7.00%/Q),3/9/2018,12.8,,,13.0,,(2),,
149,"RecoveryDirect Acquisition, L.L.C. (18)",Outpatient physical therapy provider,First lien senior secured loan ($6.9 par due 1/2024),6.40% (Libor + 4.00%/M),1/3/2018,6.9,,,6.9,,(2)(15),,
150,,,First lien senior secured loan ($30.6 par due 1/2024),6.40% (Libor + 4.00%/M),1/3/2018,30.6,,,30.6,,(4)(15),,
153,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",,6/28/2012,0,,,0,,(2),,
154,Retriever Medical/Dental Payments LLC (19),Provider of payment processing services and software to healthcare providers,First lien senior secured loan ($2.0 par due 2/2023),6.83% (Libor + 4.50%/Q),3/14/2019,2.0,,,2.0,,(2)(15),,
155,"RTI Surgical, Inc.","Manufacturer of biologic, metal and synthetic implants/devices",Second lien senior secured loan ($92.1 par due 12/2023),11.16% (Libor + 8.75%/M),3/8/2019,92.1,,,91.2,,(2)(15),,
156,Salter Labs (8)(19),"Developer, manufacturer and supplier of consumable products for medical device customers",First lien senior secured revolving loan ($0.6 par due 3/2020),6.58% (Libor + 4.25%/Q),2/8/2018,0.6,,,0.6,,(2)(15)(18),,
157,"SCSG EA Acquisition Company, Inc. (19)",Provider of outsourced clinical services to hospitals and health systems,First lien senior secured revolving loan,0,9/1/2017,0,,,0,,(2)(17),,
158,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (19)",Outsourced anesthesia provider,First lien senior secured loan ($17.1 par due 3/2024),7.08% (Libor + 4.75%/Q),3/26/2018,17.1,,,14.9,,(3)(15),,
159,,,"Common units (684,854 units)",,3/26/2018,4.8,,,0.2,,(2),,
161,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (19)",Breast cancer screening provider,First lien senior secured loan ($7.1 par due 8/2024),7.90% (Libor + 5.50%/M),8/1/2018,7.1,,,7.1,,(2),,
162,,,"Series A preferred stock (44,975 shares)",12.84% PIK (Libor + 10.25%/Q),8/1/2018,50.5,,,50.2,,(2),,
163,,,"Series A units (7,475 units)",,8/1/2018,7.5,,,0.1,,(2),,
164,,,"Series B units (747,500 units)",,8/1/2018,0,,,7.7,,(2),,
166,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (19)",Franchisor of private-pay home care for the elderly,First lien senior secured loan ($16.0 par due 4/2024),8.08% (Libor + 5.75%/Q),4/2/2018,16.0,,,16.0,,(2)(15),,
167,,,Common units (550 units),,4/2/2018,0.6,,,0.7,,,,
169,"Teligent, Inc. (19)","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($19.4 par due 6/2024),"11.08% (Libor + 7.75% Cash, 1.00% PIK/Q)",12/13/2018,19.4,,,19.0,,(2)(15),,
170,,,Second lien senior secured loan ($48.2 par due 6/2024),"11.20% (Libor + 7.75% Cash, 1.00% PIK/Q)",12/13/2018,48.2,,,47.2,,(2)(15),,
172,TerSera Therapeutics LLC,Acquirer and developer of specialty therapeutic pharmaceutical products,First lien senior secured loan ($2.1 par due 3/2023),7.58% (Libor + 5.25%/Q),9/27/2018,2.1,,,2.1,,(2)(15),,
173,,,First lien senior secured loan ($5.2 par due 3/2023),7.58 % (Libor + 5.25%/Q),5/3/2017,5.2,,,5.2,,(4)(15),,
174,,,First lien senior secured loan ($1.8 par due 3/2023),7.58% (Libor + 5.25%/Q),4/1/2019,1.8,,,1.8,,(2)(15),,
176,"U.S. Acute Care Solutions, LLC (19)",Provider of physician management services,First lien senior secured revolving loan ($1.1 par due 1/2022),7.40% (Libor + 5.00%/M),2/8/2018,1.1,,,1.1,,(2),,
177,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,Second lien senior secured loan ($71.8 par due 6/2025),9.65% (Libor + 7.25%/M),6/16/2017,71.0,,,71.8,,(2)(15),,
178,"United Digestive MSO Parent, LLC (18)",Gastroenterology physician group,First lien senior secured loan ($12.5 par due 12/2024),7.08% (Libor + 4.50%/Q),12/14/2018,12.5,,,12.5,,(2)(15),,
179,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC (19)",Operator of urgent care clinics,First lien senior secured revolving loan ($10.0 par due 2/2022),10.33% (Libor + 8.00%/Q),8/15/2017,10.0,,,10.0,,(2)(15),,
180,,,"Preferred units (7,696,613 units)",,6/11/2015,7.7,,,0,,,,
181,,,"Series A common units (2,000,000 units)",,6/11/2015,2.0,,,0,,,,
182,,,"Series C common units (5,288,427 units)",,6/11/2015,0,,,0,,,,
185,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",Urology private practice,First lien senior secured loan ($9.8 par due 8/2024),7.40% (Libor + 5.00%/M),8/31/2018,9.7,,,9.8,,(2)(15),,
186,,,Limited partnership interests (3.64% interest),,8/31/2018,4.8,,,5.3,,(2),,
188,Verscend Holding Corp. (19),Healthcare analytics solutions provider,First lien senior secured loan ($47.0 par due 8/2025),6.90% (Libor + 4.50%/M),8/27/2018,46.7,,,46.9,,(2),,
189,Vertice Pharma UK Parent Limited (8),Manufacturer and distributor of generic pharmaceutical products,"Preferred shares (40,662 shares)",8.00% PIK,12/21/2015,0.3,,,0.5,,,,
190,"West Dermatology, LLC (19)",Dermatology practice platform,First lien senior secured revolving loan ($0.6 par due 4/2022),8.03% (Libor + 5.50%/Q),2/8/2018,0.6,,,0.6,,(2)(15),,
191,,,First lien senior secured revolving loan ($0.4 par due 4/2022),7.91% (Libor + 5.50%/M),2/8/2018,0.4,,,0.4,,(2)(15),,
192,,,First lien senior secured loan ($2.2 par due 4/2023),7.91% (Libor + 5.50%/M),9/5/2018,2.2,,,2.2,,(2)(15),,
193,,,First lien senior secured loan ($0.5 par due 4/2023),7.91% (Libor + 5.50%/B),9/5/2018,0.5,,,0.5,,(2)(15),,
194,,,First lien senior secured loan ($3.0 par due 4/2023),8.02% (Libor + 5.50%/Q),9/5/2018,3.0,,,3.0,,(2)(15),,
195,,,First lien senior secured loan ($1.3 par due 4/2023),8.03% (Libor + 5.50%/Q),9/5/2018,1.3,,,1.3,,(2)(15),,
196,,,First lien senior secured loan ($0.2 par due 4/2023),7.98% (Libor + 5.50%/Q),9/5/2018,0.2,,,0.2,,(2)(15),,
197,,,First lien senior secured loan ($4.6 par due 4/2023),7.83% (Libor + 5.50%/Q),9/5/2018,4.6,,,4.6,,(2)(15),,
198,,,First lien senior secured loan ($7.5 par due 4/2023),7.83% (Libor + 5.50%/Q),4/2/2018,7.5,,,7.5,,(2)(15),,
200,"WIRB - Copernicus Group, Inc. (18)","Provider of regulatory, ethical, and safety review services for clinical research involving human subjects",First lien senior secured revolving loan,0,2/8/2018,0,,,0,,(2)(17),,
201,,,,,,2782.1,,,2583.8,,,35.07,%
203,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC (19),Provider of outsourced crew accommodations and logistics management solutions to the airline industry,"Class A common units (236,358 units)",,5/11/2018,4.5,,,7.0,,,,
204,Achilles Acquisition LLC (19),Benefits broker and outsourced workflow automation platform provider for brokers,First lien senior secured loan ($8.4 par due 10/2025),6.44% (Libor + 4.00%/M),10/11/2018,8.3,,,8.4,,(2),,
205,,,First lien senior secured loan ($10.7 par due 10/2025),6.44% (Libor + 4.00%/M),10/11/2018,10.7,,,10.7,,(2),,
207,"Alera Group Intermediate Holdings, Inc. (19)",Insurance service provider,Second lien senior secured loan ($4.5 par due 3/2026),10.90% (Libor + 8.50%/M),3/5/2019,4.5,,,4.5,,(2),,
208,,,Second lien senior secured loan ($26.2 par due 3/2026),10.90% (Libor + 8.50%/M),3/5/2019,26.2,,,25.9,,(3),,
210,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (19)",Provider of IP management lifecycle software,First lien senior secured loan ($4.3 par due 4/2026),8.33% (Libor + 5.75%/B),4/10/2019,4.2,,,4.2,,(2)(8),,
211,,,First lien senior secured loan ($0.5 par due 4/2026),8.08% (Libor + 5.75%/Q),4/10/2019,0.5,,,0.5,,(2),,
212,,,First lien senior secured loan ($7.4 par due 4/2026),8.00% (Libor + 5.50%/B),4/10/2019,7.4,,,7.3,,(2)(15),,
213,,,First lien senior secured loan ($0.3 par due 4/2026),7.83% (Libor + 5.50%/Q),4/10/2019,0.3,,,0.3,,(2)(15),,
215,,,"Limited partnership units (4,400,000 units)",,6/13/2019,5.0,,,5.0,,(2)(8),,
217,"Apptio, Inc. (19)",Provider of cloud-based technology business management solutions,First lien senior secured loan ($62.2 par due 1/2025),9.67% (Libor + 7.25%/M),1/10/2019,62.2,,,61.6,,(2)(15),,
218,"AQ Sunshine, Inc. (19)",Specialized insurance broker,First lien senior secured revolving loan,,4/15/2019,0,,,0,,(17),,
219,,,First lien senior secured loan ($6.6 par due 4/2025),7.83% (Libor + 5.50%/Q),4/15/2019,6.6,,,6.4,,(2)(15),,
221,"Avetta, LLC (19)",Supply chain risk management SaaS platform for global enterprise clients,First lien senior secured loan ($36.3 par due 4/2024),7.90% (Libor + 5.50%/M),4/10/2018,36.3,,,36.3,,(2)(15),,
222,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (19)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,First lien senior secured loan ($40.8 par due 8/2023),9.27% (Libor + 6.75%/Q),8/20/2018,40.8,,,40.8,,(2)(15),,
223,,,"Series A preferred stock (150,000 shares)",,9/26/2018,1.5,,,1.8,,,,
225,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",,7/23/2014,0,,,0,,(2),,
