,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,,,
39,"Cority Software Inc., IQS, Inc. and Cority Parent, Inc. (17)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($1.1 par due 7/2026),8.00% (Libor + 7.00%/Q),9/3/2020,1.1,,,1.1,,(2)(6)(13),,,,
40,,,First lien senior secured loan ($6.4 par due 7/2026),6.00% (Libor + 5.00%/Q),7/2/2019,6.4,,,6.4,,(6)(13),,,,
41,,,First lien senior secured loan ($4.4 par due 7/2026),6.00% (Libor + 5.00%/Q),10/15/2019,4.4,,,4.4,,(6)(13),,,,
42,,,Preferred equity (198 shares),9.00% PIK,7/2/2019,0.2,,,0.2,,(2)(6),,,,
43,,,"Common equity (190,143 shares)",,7/2/2019,0,,,0.2,,(2)(6),,,,
45,Datix Bidco Limited,Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($0.1 par due 4/2025),4.71% (Libor + 4.50%/Q),10/7/2019,0,,,0.1,,(2)(6),,,,
46,"DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",Provider of internet security tools and solutions,"Series A preferred shares (129,822 shares)",10.50% PIK,5/25/2021,131.2,,,131.2,,(2),,,,
47,,,"Series A units (817,194 units)",,5/27/2021,13.3,,,13.3,,(2),,,,
49,"Diligent Corporation and Diligent Preferred Issuer, Inc. (17)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured revolving loan,,8/4/2020,0,,,0,,(2)(15),,,,
50,,,First lien senior secured loan ($33.2 par due 8/2025),7.25% (Libor + 6.25%/Q),8/4/2020,32.5,,,33.2,,(13),,,,
51,,,First lien senior secured loan ($9.0 par due 8/2025),6.75% (Libor + 5.75%/Q),3/4/2021,8.9,,,9.0,,(2)(13),,,,
52,,,First lien senior secured loan ($11.5 par due 8/2025),6.75% (Libor + 5.75%/Q),4/6/2021,11.4,,,11.5,,(2)(13),,,,
53,,,"Preferred stock (13,140 shares)",10.50% PIK,4/6/2021,13.1,,,13.5,,(2),,,,
55,"Drilling Info Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,Second lien senior secured loan ($25.0 par due 7/2026),8.35% (Libor + 8.25%/M),2/11/2020,25.0,,,25.0,,,,,,
56,,,Preferred stock (29.53 shares),13.50% PIK,2/11/2020,34.6,,,35.6,,(2),,,,
58,"DS Admiral Bidco, LLC (17)",Tax return software provider for government institutions,First lien senior secured loan ($25.8 par due 3/2028),6.75% (Libor + 5.75%/Q),3/16/2021,25.1,,,25.5,,(2)(13),,,,
59,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (17)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured revolving loan ($1.8 par due 9/2025),6.50% (Libor + 5.50%/M),9/18/2019,1.8,,,1.8,,(2)(13),,,,
60,,,First lien senior secured revolving loan ($0.7 par due 9/2025),7.00% (Libor + 6.00%/M),9/18/2019,0.7,,,0.7,,(2)(13),,,,
61,,,First lien senior secured loan ($20.6 par due 9/2025),6.50% (Libor + 5.50%/Q),12/15/2020,20.6,,,20.6,,(2)(13),,,,
62,,,First lien senior secured loan ($50.8 par due 9/2025),6.50% (Libor + 5.50%/Q),9/18/2019,50.8,,,50.8,,(13),,,,
63,,,First lien senior secured loan ($11.5 par due 9/2025),6.50% (Libor + 5.50%/Q),9/18/2019,11.5,,,11.5,,(2)(13),,,,
64,,,"Preferred equity (4,599 shares)",,9/18/2019,4.6,,,5.5,,,,,,
67,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (17)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($29.0 par due 5/2026),5.90% (Libor + 5.75%/Q),5/10/2019,29.0,,,29.0,,(6),,,,
68,,,First lien senior secured loan ($10.6 par due 5/2026),5.90% (Libor + 5.75%/Q),5/10/2019,10.6,,,10.6,,(2)(6),,,,
69,,,First lien senior secured loan ($20.4 par due 5/2026),5.95% (Libor + 5.75%/Q),5/10/2019,20.4,,,20.4,,(2)(6)(9),,,,
70,,,First lien senior secured loan ($4.1 par due 5/2026),5.95% (Libor + 5.75%/Q),5/10/2019,4.1,,,4.1,,(2)(6)(9),,,,
71,,,"Partnership units (5,034,483 units)",,5/10/2019,4.7,,,6.6,,(2)(6),,,,
73,Episerver Inc. and Goldcup 17308 AB (17),Provider of web content management and digital commerce solutions,First lien senior secured loan ($6.3 par due 4/2026),5.75% (Euribor + 5.75%/Q),3/22/2019,6.0,,,6.3,,(2)(6),,,,
74,,,First lien senior secured loan ($27.0 par due 4/2026),6.50% (Libor + 5.50%/Q),10/9/2018,27.0,,,27.0,,(2)(6)(13),,,,
76,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (17)","Provider of mission-critical, software-enabled clinical research solutions",Second lien senior secured loan ($30.6 par due 2/2028),8.50% (Libor + 8.00%/M),4/27/2021,29.5,,,30.6,,(2)(13),,,,
77,,,Second lien senior secured loan ($19.9 par due 2/2028),8.50% (Libor + 8.00%/M),2/4/2020,19.5,,,19.9,,(13),,,,
78,,,Second lien senior secured loan ($2.5 par due 2/2028),8.50% (Libor + 8.00%/M),2/4/2020,2.5,,,2.5,,(2)(13),,,,
79,,,"Limited partnership interest (3,988,000 shares)",,1/31/2020,4.5,,,5.7,,(2)(6),,,,
81,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",,3/20/2014,0,,,0,,(2),,,,
82,"FM:Systems Group, LLC (17)",Provider of facilities and space management software solutions,First lien senior secured loan ($1.4 par due 12/2024),7.50% (Libor + 6.50%/Q),6/15/2021,1.4,,,1.4,,(2)(13),,,,
83,,,First lien senior secured loan ($3.2 par due 12/2024),7.50% (Libor + 6.50%/M),12/2/2019,3.2,,,3.2,,(2)(13),,,,
85,"Forescout Technologies, Inc. (17)",Network access control solutions provider,First lien senior secured loan ($17.8 par due 8/2026),10.50% PIK (Libor + 9.50%/Q),8/17/2020,17.5,,,17.5,,(2)(13),,,,
86,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,First lien senior secured loan ($17.3 par due 9/2023),6.75% (Libor + 5.75%/Q),12/30/2020,17.3,,,17.3,,(2)(13),,,,
87,,,First lien senior secured loan ($8.8 par due 9/2023),6.75% (Libor + 5.75%/Q),6/15/2021,8.8,,,8.8,,(2)(13),,,,
88,,,"Class A preferred units (4,574 units)",9.00% PIK,9/18/2017,5.9,,,6.4,,,,,,
89,,,"Class B common units (499,050 units)",,9/18/2017,0,,,4.1,,,,,,
91,Genesis Acquisition Co. and Genesis Holding Co. (17),Child care management software and services provider,First lien senior secured revolving loan ($1.5 par due 7/2024),4.15% (Libor + 4.00%/Q),7/31/2018,1.5,,,1.4,,(2),,,,
92,,,First lien senior secured loan ($0.2 par due 7/2024),4.15% (Libor + 4.00%/Q),7/31/2018,0.2,,,0.2,,(2),,,,
93,,,Second lien senior secured loan ($7.5 par due 7/2025),7.62% (Libor + 7.50%/Q),6/9/2021,7.5,,,7.1,,(2),,,,
94,,,Second lien senior secured loan ($32.4 par due 7/2025),7.69% (Libor + 7.50%/Q),7/31/2018,32.4,,,30.4,,(2),,,,
95,,,Class A common stock (8 shares),,7/31/2018,0.8,,,0.6,,(2),,,,
97,"GraphPAD Software, LLC, Insightful Science Intermediate I, LLC and Insightful Science Holdings, LLC (17)","Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured loan ($0.5 par due 4/2027),7.00% (Libor + 6.00%/Q),12/21/2017,0.5,,,0.5,,(2)(13),,,,
99,,,First lien senior secured loan ($16.2 par due 4/2027),6.50% (Libor + 5.50%/Q),4/28/2021,16.2,,,16.1,,(2)(13),,,,
100,,,Senior subordinated loan ($37.5 par due 4/2032),10.50%,4/28/2021,37.5,,,37.2,,(2),,,,
101,,,"Preferred units (1,828,645 units)",14.00% PIK,4/28/2021,50.5,,,50.5,,,,,,
103,"Help/Systems Holdings, Inc. (17)",Provider of IT operations management and cybersecurity software,First lien senior secured revolving loan ($0.6 par due 11/2024),4.75% (Libor + 3.75%/Q),11/19/2019,0.6,,,0.6,,(2)(13),,,,
104,"Huskies Parent, Inc. (17)",Insurance software provider,First lien senior secured loan ($0.5 par due 7/2026),4.10% (Libor + 4.00%/M),7/18/2019,0.5,,,0.5,,(2)(20),,,,
105,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",,10/15/2012,0.1,,,0,,(2),,,,
106,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",Second lien senior secured loan ($28.3 par due 5/2025),9.00% (Libor + 8.00%/Q),4/25/2017,28.1,,,28.3,,(2)(13),,,,
107,"Invoice Cloud, Inc. (17)",Provider of electronic payment processing solutions,First lien senior secured revolving loan,,2/11/2019,0,,,0,,(2)(15),,,,
108,,,First lien senior secured loan ($49.0 par due 2/2024),"7.50% (Libor + 3.25% Cash, 3.25% PIK/Q)",2/11/2019,49.0,,,49.0,,(2)(13),,,,
110,"IV Rollover Holdings, LLC",Solar power generation facility developer and operator,"Class B units (170,490 units)",,5/31/2017,0,,,0,,(2),,,,
111,,,"Class X units (5,000,000 units)",,5/31/2017,2.2,,,2.2,,(2),,,,
113,"Majesco and Magic Topco, L.P. (17)",Insurance software provider,First lien senior secured loan ($60.9 par due 9/2027),8.75% (Libor + 7.75%/Q),9/21/2020,60.9,,,60.9,,(2)(13),,,,
114,,,"Class A units (2,539 units)",9.00% PIK,9/21/2020,2.7,,,2.7,,(2),,,,
115,,,"Class B units (570,625 units)",,9/21/2020,0,,,0.6,,(2),,,,
117,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($9.2 par due 12/2022),5.00% (Libor + 4.00%/M),4/6/2017,9.2,,,9.2,,(13),,,,
118,,,First lien senior secured loan ($4.8 par due 12/2022),5.00% (Libor + 4.00%/M),8/22/2017,4.8,,,4.8,,(13),,,,
119,,,Second lien senior secured loan ($90.0 par due 6/2023),10.25% (Libor + 9.25%/M),12/2/2016,89.7,,,90.0,,(13),,,,
120,,,Second lien senior secured loan ($16.6 par due 6/2023),10.25% (Libor + 9.25%/M),12/2/2016,16.6,,,16.6,,(2)(13),,,,
121,,,Second lien senior secured loan ($13.9 par due 6/2023),10.25% (Libor + 9.25%/M),4/6/2017,13.9,,,13.9,,(2)(13),,,,
122,,,Second lien senior secured loan ($17.9 par due 6/2023),10.25% (Libor + 9.25%/M),8/22/2017,17.9,,,17.9,,(2)(13),,,,
123,,,Second lien senior secured loan ($48.9 par due 6/2023),9.00% (Libor + 8.00%/M),4/18/2018,48.9,,,48.9,,(2)(13),,,,
124,,,"Class A units (500,000 units)",,12/2/2016,5.0,,,6.4,,(2),,,,
126,MRI Software LLC (17),Provider of real estate and investment management software,First lien senior secured loan ($2.9 par due 2/2026),6.50% (Libor + 5.50%/Q),8/28/2020,2.9,,,2.9,,(2)(13),,,,
127,,,First lien senior secured loan ($50.1 par due 2/2026),6.50% (Libor + 5.50%/Q),2/10/2020,50.1,,,50.1,,(13),,,,
129,"n2y Holding, LLC (17)",Developer of cloud-based special education platform,First lien senior secured revolving loan ($0.1 par due 11/2025),7.00% (Libor + 6.00%/Q),11/15/2019,0.1,,,0.1,,(2)(13),,,,
130,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",First lien senior secured loan ($8.4 par due 10/2022),6.00% (Libor + 5.00%/M),1/3/2017,8.3,,,8.4,,(13),,,,
131,,,Second lien senior secured loan ($25.5 par due 10/2023),9.50% (Libor + 8.50%/M),1/3/2017,24.8,,,25.5,,(2)(13),,,,
134,"Paya, Inc and GTCR-Ultra Holdings LLC (17)",Provider of payment processing and merchant acquiring solutions,"Class B units (2,878,372 units)",,8/1/2017,0,,,0,,(2),,,,
135,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",,3/11/2016,0.2,,,0,,(2),,,,
136,"PaySimple, Inc. (17)",Provider of business management solutions,First lien senior secured loan ($49.6 par due 8/2025),5.61% (Libor + 5.50%/M),9/23/2020,49.6,,,49.6,,(2),,,,
137,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured loan ($53.7 par due 10/2024),5.50% (Libor + 4.50%/Q),3/19/2019,53.7,,,53.7,,(13),,,,
138,,,Second lien senior secured loan ($8.3 par due 10/2025),9.50% (Libor + 8.50%/Q),12/17/2020,8.3,,,8.3,,(2)(13),,,,
139,,,Second lien senior secured loan ($70.1 par due 10/2025),9.50% (Libor + 8.50%/Q),3/19/2019,70.1,,,70.1,,(2)(13),,,,
140,,,"Series A preferred stock (13,656 shares)",13.25% PIK,3/19/2019,18.2,,,18.5,,(2),,,,
141,,,"Class A units (2,062,493 units)",,3/19/2019,2.1,,,2.8,,(2),,,,
143,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (17)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($50.2 par due 5/2025),7.25% (Libor + 6.25%/Q),10/16/2020,50.2,,,50.2,,(2)(13),,,,
144,,,First lien senior secured loan ($25.7 par due 5/2025),6.75% (Libor + 5.75%/Q),5/29/2019,25.7,,,25.7,,(2)(13),,,,
145,,,First lien senior secured loan ($5.8 par due 5/2025),7.25% (Libor + 6.25%/Q),6/24/2020,5.8,,,5.8,,(2)(13),,,,
146,,,"Class A units (5,000 units)",,5/29/2019,5.0,,,10.5,,,,,,
148,"Pluralsight, Inc. (17)",Online education learning platform,First lien senior secured loan ($100.8 par due 4/2027),9.00% (Libor + 8.00%/Q),4/6/2021,100.8,,,99.8,,(2)(13),,,,
149,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",,6/25/2015,0.1,,,0,,(2),,,,
150,"PracticeTek Purchaser, LLC and GSV PracticeTek Holdings, LLC (17)",Software provider for medical practitioners,First lien senior secured loan ($10.2 par due 3/2027),7.00% (Libor + 6.00%/M),3/31/2021,10.2,,10.1,(2)(13),,,,,,
151,,,"Class A units (2,724,000 units)",8.00%,3/31/2021,2.7,,,2.7,,(2),,,,
153,"ProfitSolv Purchaser, Inc. and PS Co-Invest, L.P. (17)",Provider of practice management software to law firms,"Limited partnership units (1,624,000 units)",,3/5/2021,1.6,,,1.6,,(2),,,,
154,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class A common stock (7,445 shares)",,8/22/2016,7.4,,,12.3,,(2),,,,
155,,,"Class B common stock (1,841,609 shares)",,8/22/2016,0.1,,,0.1,,(2),,,,
157,"Project Essential Bidco, Inc. and Project Essential Super Parent, Inc. (17)",Saas provider of automated crew callout and scheduling software for the utility industry,First lien senior secured loan ($36.6 par due 4/2028),6.75% (Libor + 5.75%/Q),4/20/2021,36.6,,,36.3,,(2)(13),,,,
158,,,"Preferred shares (26,436 shares)",10.50% PIK (Libor + 9.50%/Q),4/20/2021,27.0,,,26.2,,(2)(13),,,,
160,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (17)",Software solutions provider to the ready-mix concrete industry,First lien senior secured revolving loan,,4/23/2020,0,,,0,,(2)(15),,,,
161,,,First lien senior secured loan ($13.0 par due 4/2027),9.25% (Libor + 8.25%/M),10/30/2020,13.0,,,13.0,,(2)(13),,,,
162,,,First lien senior secured loan ($19.5 par due 4/2027),9.25% (Libor + 8.25%/M),11/18/2020,19.5,,,19.5,,(2)(13),,,,
163,,,First lien senior secured loan ($44.3 par due 4/2027),9.25% (Libor + 8.25%/M),4/23/2020,44.3,,,44.3,,(13),,,,
164,,,"Class A units (1,599 units)",9.00% PIK,4/23/2020,1.8,,,1.7,,(2),,,,
165,,,"Class B units (588,636 units)",,4/23/2020,0,,,0,,(2),,,,
168,"Proofpoint, Inc. (17)",Cybersecurity solutions provider,First lien senior secured loan ($1.0 par due 6/2028),3.75% (Libor + 3.25%/Q),6/9/2021,1.0,,,1.0,,(2)(13)(20),,,,
169,,,Second lien senior secured loan ($34.6 par due 6/2029),6.75% (Libor + 6.25%/Q),6/9/2021,34.4,,,34.9,,(2)(13)(20),,,,
171,"QF Holdings, Inc. (17)",SaaS based electronic health record software provider,First lien senior secured loan ($29.3 par due 9/2024),7.50% (Libor + 6.50%/Q),9/19/2019,29.3,,,29.3,,(2)(13),,,,
172,"Raptor Technologies, LLC and Rocket Parent, LLC (17)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured revolving loan ($0.8 par due 12/2023),7.00% (Libor + 6.00%/M),12/17/2018,0.8,,,0.8,,(2)(13),,,,
173,,,First lien senior secured loan ($20.9 par due 12/2024),7.00% (Libor + 6.00%/Q),12/17/2018,20.9,,,20.4,,(2)(13),,,,
174,,,"Class A common units (2,294,000 units)",,12/17/2018,2.3,,,2.1,,,,,,
176,"RealPage, Inc.",Provider of enterprise software solutions to the residential real estate industry,Second lien senior secured loan ($84.1 par due 4/2029),7.25% (Libor + 6.50%/M),4/22/2021,82.8,,,82.8,,(2)(13),,,,
177,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,"Warrant to purchase up to 5,393,194 shares of common stock (expires 12/2026)",,12/23/2016,0,,,0,,(2),,,,
178,,,Warrant to purchase up to 987 shares of common stock (expires 12/2026),,12/23/2016,0,,,0,,(2),,,,
180,Relativity ODA LLC (17),Electronic discovery document review software platform for use in litigations and investigations,First lien senior secured loan ($57.2 par due 5/2027),8.50% PIK (Libor + 7.50%/M),5/12/2021,57.2,,,56.6,,(2)(13),,,,
181,"Retriever Medical/Dental Payments LLC, FSDC Holdings, LLC, Rectangle Ware-Ever Pay LLC and Retriever Enterprises, LLC (17)",Provider of payment processing services and software to healthcare providers,First lien senior secured loan ($26.0 par due 2/2023),6.00% (Libor + 5.00%/Q),3/14/2019,26.0,,,26.0,,(13),,,,
182,"RMCF III CIV XXIX, L.P",Software provider for clinical trial management,Limited partnership interest (99.90% interest),,12/19/2014,0.5,,,29.6,,(2),,,,
183,"Severin Acquisition, LLC, PeopleAdmin, Inc., Promachos Holding, Inc. and Performance Matters LLC (17)",Provider of student information system software solutions to the K-12 education market,First lien senior secured revolving loan ($4.8 par due 8/2023),3.34% (Libor + 3.25%/M),8/1/2018,4.8,,,4.7,,(2),,,,
184,,,First lien senior secured loan ($4.0 par due 8/2025),5.50% (Libor + 4.50%/M),11/22/2019,4.0,,,4.0,,(13),,,,
185,,,Second lien senior secured loan ($80.0 par due 8/2026),6.82% (Libor + 6.75%/M),6/12/2018,79.5,,,80.0,,(2),,,,
187,"Smarsh Inc., MobileGuard, LLC, Actiance, Inc. and Skywalker TopCo, LLC",SaaS based communication archival service provider,First lien senior secured loan ($13.3 par due 11/2025),9.25% (Libor + 8.25%/Q),11/20/2020,13.3,,,13.3,,(2)(13),,,,
188,,,"Common units (1,432,835 units)",,11/20/2020,4.8,,,5.0,,(2),,,,
190,"SocialFlow, Inc.",Social media optimization platform provider,"Warrant to purchase up to 215,331 shares of Series C preferred stock (expires 1/2026)",,1/13/2016,0,,,0,,(2),,,,
191,"Sophia, L.P.",Provider of ERP software and services for higher education institutions,Second lien senior secured loan ($105.9 par due 10/2028),9.00% (Libor + 8.00%/Q),10/7/2020,105.9,,,105.9,,(2)(13),,,,
192,SoundCloud Limited,"Platform for receiving, sending, and distributing music","Common stock (73,422 shares)",,8/15/2017,0.4,,,0.7,,(2)(6),,,,
193,"Storable, Inc. and EQT IX Co-Investment (E) SCSP",PMS solutions and web services for the self-storage industry,Second lien senior secured loan ($42.8 par due 4/2029),7.50% (Libor + 6.75%/Q),4/16/2021,42.8,,,42.4,,(2)(13),,,,
194,,,"Limited partnership interests (614,950 interests)",,4/16/2021,6.2,,,6.1,,(2)(6),,,,
196,TCP Hawker Intermediate LLC (17),Workforce management solutions provider,First lien senior secured loan ($6.6 par due 8/2026),6.50% (Libor + 5.50%/Q),12/1/2020,6.6,,,6.6,,(13),,,,
197,,,First lien senior secured loan ($35.0 par due 8/2026),6.50% (Libor + 5.50%/Q),8/30/2019,35.0,,,35.0,,(13),,,,
200,"The Ultimate Software Group, Inc. and H&F Unite Partners, L.P. (17)",Provider of cloud based HCM solutions for businesses,First lien senior secured revolving loan,,5/3/2019,0,,,0,,(2)(6)(15),,,,
201,,,Second lien senior secured loan ($136.9 par due 5/2027),8.09% (Libor + 8.00%/M),5/3/2019,136.9,,,136.9,,(6),,,,
202,,,"Class A preferred units (12,583,556 units)",,5/3/2019,12.6,,,14.5,,(2)(6),,,,
204,Verscend Holding Corp. (17),Healthcare analytics solutions provider,First lien senior secured revolving loan,,8/27/2018,0,,,0,,(2)(15),,,,
205,"WebPT, Inc. (17)",Electronic medical record software provider,First lien senior secured loan ($48.1 par due 8/2024),7.75% (Libor + 6.75%/Q),8/28/2019,48.1,,,48.1,,(2)(13),,,,
206,"Wellness AcquisitionCo, Inc. (17)","Provider of retail consumer insights and analytics for manufacturers and retailers in the natural, organic and specialty products industry",First lien senior secured loan ($18.9 par due 1/2027),6.75% (Libor + 5.75%/Q),1/20/2021,18.9,,,18.9,,(2)(13),,,,
207,"WorkWave Intermediate II, LLC (17)",Provider of cloud-based field services and fleet management solutions,First lien senior secured loan ($44.5 par due 6/2027),8.00% (Libor + 7.25%/Q),6/29/2021,44.5,,,44.1,,(2)(13),,,,
208,"Zemax Software Holdings, LLC (17)",Provider of optical illumination design software to design engineers,First lien senior secured revolving loan ($2.0 par due 6/2024),8.00% (Base Rate + 4.75%/Q),6/25/2018,2.0,,,2.0,,(2)(13),,,,
209,,,First lien senior secured loan ($16.5 par due 6/2024),6.75% (Libor + 5.75%/Q),6/25/2018,16.5,,,16.5,,(13),,,,
211,,,,,,3352.2,,,3411.0,,,42.23,%,,
213,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(17)",Dental services provider,First lien senior secured loan ($48.3 par due 6/2024),"10.00% (Libor + 4.00% Cash, 5.00% PIK/Q)",6/1/2021,48.3,,,48.3,,(2)(13),,,,
214,,,"Class A preferred units (14,750,000 units)",,1/5/2016,4.7,,,10.0,,(2),,,,
215,,,"Common units (7,200,000 units)",,1/5/2016,0,,,0,,(2),,,,
