,Company(1),Business Description,Investment,Interest(5)(9),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,
49,,,"Warrant to purchase up to 1,875,000 shares of Series 1 preferred stock (expires 12/2024)",,12/19/2014,0,,,0,,(2),
51,"Display Holding Company, Inc., Saldon Holdings, Inc. and Fastsigns Holdings Inc. (19)",Provider of visual communications solutions,First lien senior secured loan ($2.6 par due 3/2025),7.69% (Libor + 5.65%/M),8/27/2019,2.6,,,2.6,,(2)(15),
52,,,First lien senior secured loan ($16.4 par due 3/2025),7.69% (Libor + 5.65%/M),3/13/2019,16.4,,,16.2,,(3)(15),
53,,,Common units (600 units),,3/13/2019,0.6,,,0.7,,(2),
55,Doxim Inc. (8),Enterprise content management provider,First lien senior secured loan ($6.8 par due 2/2024),8.15% (Libor + 6.00%/Q),2/28/2018,6.8,,,6.8,,(2)(15),
56,,,First lien senior secured loan ($10.2 par due 2/2024),8.33% (Libor + 6.00%/Q),2/28/2018,10.1,,,10.2,,(2)(11)(15),
58,"DRB Holdings, LLC (19)",Provider of integrated technology solutions to car wash operators,First lien senior secured revolving loan ($2.0 par due 10/2023),8.31% (Libor + 6.00%/Q),10/6/2017,2.0,,,1.9,,(2)(15),
59,,,First lien senior secured loan ($23.5 par due 10/2023),8.20% (Libor + 6.00%/Q),10/6/2017,23.5,,,22.8,,(3)(15),
61,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (19)",Provider of legal process outsourcing and managed services,First lien senior secured revolving loan ($1.3 par due 9/2021),6.54% (Libor + 4.50%/M),9/23/2016,1.3,,,1.2,,(2)(22),
63,,,First lien senior secured revolving loan ($2.2 par due 9/2021),6.54% (Libor + 4.50%/M),9/23/2016,2.2,,,2.0,,(2)(22),
64,,,First lien senior secured revolving loan ($1.3 par due 9/2021),8.50% (Base Rate + 3.50%/M),9/23/2016,1.3,,,1.2,,(2)(22),
65,,,"Class A common stock (7,500 shares)",,8/19/2014,7.5,,,6.2,,(2),
66,,,"Class B common stock (7,500 shares)",,8/19/2014,0,,,0,,(2),
68,"Dynatrace, Inc.",Web and mobile cloud performance testing and monitoring services provider,"Common stock (917,855 shares)",,8/5/2019,3.4,,,17.1,,(2)(22),
69,"Emergency Communications Network, LLC (19)",Provider of mission critical emergency mass notification solutions,First lien senior secured revolving loan ($5.4 par due 6/2022),8.32% (Libor + 6.25%/M),6/1/2017,5.4,,,4.9,,(2)(15),
70,,,First lien senior secured revolving loan ($1.1 par due 6/2022),10.25% (Base Rate + 5.25%/M),6/1/2017,1.1,,,1.0,,(2)(15),
71,,,First lien senior secured loan ($24.9 par due 6/2023),8.29% (Libor + 6.25%/M),6/1/2017,24.8,,,22.4,,(15),
72,,,First lien senior secured loan ($19.6 par due 6/2023),8.29% (Libor + 6.25%/M),6/1/2017,19.5,,,17.6,,(4)(15),
74,Episerver Inc. and Goldcup 17308 AB (19),Provider of web content management and digital commerce solutions,First lien senior secured loan ($5.9 par due 10/2024),6.00% (EURIBOR + 6.00%/M),3/22/2019,6.1,,,5.9,,(2)(8),
75,,,First lien senior secured loan ($27.5 par due 10/2024),7.79% (Libor + 5.75%/M),10/9/2018,27.5,,,27.2,,(2)(15),
77,"EZ Elemica Holdings, Inc. & Elemica Parent, Inc (19)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured revolving loan ($0.7 par due 9/2025),7.55% (Libor + 5.50%/M),9/18/2019,0.7,,,0.7,,(2),
78,,,First lien senior secured revolving loan ($3.5 par due 9/2025),7.65% (Libor + 5.50%/M),9/18/2019,3.5,,,3.4,,(2),
79,,,First lien senior secured loan ($59.7 par due 9/2025),7.65% (Libor + 5.50%/Q),9/18/2019,59.7,,,59.1,,(2),
80,,,"Preferred Equity (4,599 shares)",,9/18/2019,4.6,,,4.6,,,
82,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",,3/20/2014,0,,,0,,(2),
83,"Foundation Risk Partners, Corp. (19)",Full service independent insurance agency,First lien senior secured revolving loan ($4.2 par due 11/2023),6.79% (Libor + 4.75%/M),11/10/2017,4.2,,,4.2,,(2)(15),
84,,,First lien senior secured loan ($6.0 par due 11/2023),6.85% (Libor + 4.75%/Q),5/1/2019,6.0,,,6.0,,(2)(15),
85,,,First lien senior secured loan ($0.7 par due 11/2023),6.93% (Libor + 4.75%/Q),5/1/2019,0.7,,,0.7,,(2)(15),
86,,,First lien senior secured loan ($9.0 par due 11/2023),6.88% (Libor + 4.75%/Q),5/1/2019,9.0,,,9.0,,(2)(15),
87,,,First lien senior secured loan ($1.4 par due 11/2023),6.85% (Libor + 4.75%/Q),5/1/2019,1.4,,,1.4,,(2)(15),
88,,,First lien senior secured loan ($7.7 par due 11/2023),6.85% (Libor + 4.75%/Q),5/1/2019,7.7,,,7.7,,(2)(15),
89,,,First lien senior secured loan ($22.1 par due 11/2023),6.85% (Libor + 4.75%/Q),11/10/2017,22.1,,,22.1,,(3)(15),
90,,,Second lien senior secured loan ($21.7 par due 11/2024),10.60% (Libor + 8.50%/Q),8/9/2018,21.7,,,21.7,,(2)(15),
92,,,Second lien senior secured loan ($19.1 par due 11/2024),10.60% (Libor + 8.50%/Q),8/9/2018,19.1,,,19.1,,(2)(15),
93,,,Second lien senior secured loan ($0.3 par due 11/2024),10.68% (Libor + 8.50%/Q),5/1/2019,0.3,,,0.3,,(2)(15),
94,,,Second lien senior secured loan ($6.8 par due 11/2024),10.63% (Libor + 8.50%/Q),5/1/2019,6.8,,,6.8,,(2)(15),
95,,,Second lien senior secured loan ($1.1 par due 11/2024),10.60% (Libor + 8.50%/Q),5/1/2019,1.1,,,1.1,,(2)(15),
96,,,Second lien senior secured loan ($2.3 par due 11/2024),10.60% (Libor + 8.50%/Q),5/1/2019,2.3,,,2.3,,(2)(15),
97,,,Second lien senior secured loan ($5.6 par due 11/2024),10.60% (Libor + 8.50%/Q),5/1/2019,5.6,,,5.6,,(2)(15),
98,,,Second lien senior secured loan ($27.5 par due 11/2024),10.60% (Libor + 8.50%/Q),11/10/2017,27.5,,,27.5,,(2)(15),
100,Genesis Acquisition Co. and Genesis Holding Co. (19),Child care management software and services provider,First lien senior secured revolving loan ($0.5 par due 7/2024),6.11% (Libor + 4.00%/Q),7/31/2018,0.5,,,0.5,,(2),
101,,,Second lien senior secured loan ($25.8 par due 7/2025),9.82% (Libor + 7.50%/Q),7/31/2018,25.8,,,25.8,,(2),
102,,,Class A common stock (8 shares),,7/31/2018,0.8,,,1.0,,(2),
104,"Graphpad Software, LLC (19)","Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured loan ($3.7 par due 12/2023),8.20% (Libor + 6.00%/Q),12/21/2017,3.7,,,3.7,,(2)(15),
105,,,First lien senior secured loan ($1.5 par due 12/2023),8.30% (Libor + 6.00%/Q),12/21/2017,1.5,,,1.5,,(2)(15),
107,"GTCR-Ultra Holdings III, LLC and GTCR-Ultra Holdings LLC (19)",Provider of payment processing and merchant acquiring solutions,Class A-2 units (911 units),,8/1/2017,0.9,,,2.4,,(2),
108,,,"Class B units (2,878,372 units)",,8/1/2017,0,,,0,,(2),
110,"HAI Acquisition Corporation and Aloha Topco, LLC (19)","Professional employer organization offering human resources, compliance and risk management services",First lien senior secured loan ($62.4 par due 11/2024),7.71% (Libor + 5.50%/Q),11/1/2017,62.4,,,62.4,,(3)(15),
111,,,"Class A units (16,980 units)",,11/1/2017,1.7,,,2.6,,(2),
113,"Huskies Parent, Inc. (19)",Insurance software provider,First lien senior secured loan ($0.8 par due 7/2026),6.26% (Libor + 4.00%/Q),7/18/2019,0.8,,,0.8,,(2)(22),
114,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",,10/15/2012,0.1,,,0.1,,(2),
115,"Infinite Electronics International, Inc. (19)",Manufacturer and distributor of radio frequency and microwave electronic components,First lien senior secured revolving loan ($0.3 par due 7/2023),6.09% (Libor + 4.00%/Q),7/2/2018,0.3,,,0.3,,(2)(18),
116,,,First lien senior secured loan ($16.3 par due 7/2025),6.33% (Libor + 4.00%/Q),7/2/2018,16.3,,,16.2,,(2),
118,"Infogix, Inc. and Infogix Parent Corporation (19)",Enterprise data analytics and integrity software solutions provider,First lien senior secured revolving loan ($1.6 par due 4/2024),8.65% (Libor + 6.50%/Q),4/18/2018,1.6,,,1.5,,(2)(15),
119,,,"Series A preferred stock (2,475 shares)",,1/3/2017,2.6,,,1.5,,,
120,,,"Common stock (1,297,768 shares)",,1/3/2017,0,,,0,,,
123,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",First lien senior secured loan ($15.7 par due 5/2024),6.10% (Libor + 4.00%/Q),1/31/2019,15.0,,,14.9,,(2)(15),
124,,,Second lien senior secured loan ($28.3 par due 5/2025),10.10% (Libor + 8.00%/Q),4/25/2017,28.0,,,27.5,,(2)(15),
126,"InterVision Systems, LLC and InterVision Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services",First lien senior secured loan ($41.2 par due 5/2022),8.54% (Libor + 6.50%/M),5/31/2017,41.2,,,39.1,,(2)(15),
127,,,First lien senior secured loan ($10.0 par due 5/2022),8.54% (Libor + 6.50%/M),5/31/2017,10.0,,,9.5,,(4)(15),
128,,,"Class A membership units (1,000 units)",,5/31/2017,1.0,,,0,,,
130,"Invoice Cloud, Inc. (19)",Provider of electronic payment processing solutions,First lien senior secured loan ($32.9 par due 2/2024),8.68% (Libor + 6.50%/Q),2/11/2019,32.9,,,32.9,,(2)(15),
131,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,First lien senior secured loan ($34.7 par due 12/2025),6.62% (Libor + 4.50%/Q),11/30/2018,34.4,,,34.7,,(3),
132,,,First lien senior secured loan ($21.5 par due 12/2025),6.62% (Libor + 4.50%/Q),11/30/2018,21.4,,,21.5,,(4),
133,,,Second lien senior secured loan ($86.8 par due 11/2026),10.12% (Libor + 8.00%/Q),11/30/2018,85.4,,,86.8,,(2),
134,,,"Series A-1 preferred shares (46,900 shares)",12.62% PIK (Libor + 10.50%/Q),11/30/2018,51.6,,,52.3,,(2)(15),
135,,,"Class A-1 common units (90,500 units)",,11/30/2018,9.1,,,9.4,,(2),
137,"K2 Insurance Services, LLC and K2 Holdco LP (19)",Specialty insurance and managing general agency,First lien senior secured revolving loan,,7/1/2019,0,,,0,,(2)(17),
138,,,First lien senior secured loan ($61.1 par due 7/2024),7.21% (Libor + 5.00%/Q),7/1/2019,61.1,,,60.5,,(2)(15),
139,,,"Common Equity (799,000 units)",,7/1/2019,0.8,,,0.9,,(2),
141,"Kaufman, Hall & Associates, LLC (19)",Provider of specialty advisory services and software solutions to the healthcare market,First lien senior secured loan ($8.1 par due 5/2025),7.28% (Libor + 5.25%/M),11/9/2018,8.1,,,8.1,,(4)(15),
142,,,First lien senior secured loan ($6.8 par due 5/2025),7.29% (Libor + 5.25%/M),11/9/2018,6.8,,,6.8,,(4)(15),
144,"Kene Acquisition, Inc. and Kene Holdings, L.P. (19)",National utility services consulting firm,First lien senior secured revolving loan ($1.1 par due 8/2024),6.44% (Libor + 4.25%/Q),8/8/2019,1.1,,,1.1,,(2)(15)(18),
145,,,First lien senior secured loan ($59.9 par due 8/2026),6.44% (Libor + 4.25%/Q),8/8/2019,59.9,,,59.3,,(2)(15),
146,,,"Class A units (4,549,000 units)",,8/8/2019,4.5,,,4.5,,(2),
148,Labstat International Inc. (8)(19),Lab testing services for nicotine containing products,First lien senior secured loan ($5.1 par due 6/2024),8.22% (CIBOR + 6.25%/Q),10/19/2018,5.1,,,5.1,,(2),
149,,,First lien senior secured loan ($19.6 par due 6/2024),8.22% (CIBOR + 6.25%/Q),6/25/2018,19.5,,,19.6,,(2),
151,LLSC Holdings Corporation (dba Lawrence Merchandising Services) (7),Marketing services provider,"Series A preferred stock (9,000 shares)",,1/3/2017,1.8,,,0.4,,,
152,,,"Common stock (1,000 shares)",,1/3/2017,0,,,0,,,
155,"Masergy Holdings, Inc. (19)","Provider of software-defined solutions for enterprise global networks, cyber security, and cloud communications",First lien senior secured revolving loan ($0.2 par due 12/2021),8.00% (Base Rate + 2.50%/Q),2/8/2018,0.2,,,0.2,,(2)(15)(18),
156,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (19)",Software and payment services provider to faith-based institutions,First lien senior secured revolving loan ($2.2 par due 12/2022),7.04% (Libor + 5.00%/M),12/2/2016,2.2,,,2.2,,(2)(15),
157,,,First lien senior secured loan ($4.9 par due 12/2022),6.04% (Libor + 4.00%/M),8/22/2017,4.9,,,4.8,,(2)(15),
158,,,First lien senior secured loan ($9.4 par due 12/2022),6.04% (Libor + 4.00%/M),4/6/2017,9.4,,,9.3,,(2)(15),
159,,,Second lien senior secured loan ($16.6 par due 6/2023),11.34% (Libor + 9.25%/Q),12/2/2016,16.6,,,16.3,,(2)(15),
160,,,Second lien senior secured loan ($17.9 par due 6/2023),11.34% (Libor + 9.25%/Q),8/22/2017,17.9,,,17.5,,(2)(15),
161,,,Second lien senior secured loan ($4.7 par due 6/2023),11.34% (Libor + 9.25%/Q),4/6/2017,4.7,,,4.6,,(2)(15),
162,,,Second lien senior secured loan ($10.3 par due 6/2023),10.09% (Libor + 8.00%/Q),4/18/2018,10.3,,,10.1,,(2)(15),
163,,,Second lien senior secured loan ($9.2 par due 6/2023),11.34% (Libor + 9.25%/Q),4/6/2017,9.2,,,9.0,,(2)(15),
164,,,Second lien senior secured loan ($38.6 par due 6/2023),10.09% (Libor + 8.00%/Q),4/18/2018,38.6,,,37.9,,(2)(15),
165,,,Second lien senior secured loan ($75.0 par due 6/2023),11.34% (Libor + 9.25%/Q),12/2/2016,74.6,,,73.5,,(2)(15),
166,,,Second lien senior secured loan ($15.0 par due 6/2023),11.34% (Libor + 9.25%/Q),12/2/2016,14.9,,,14.7,,(3)(15),
167,,,"Class A units (500,000 units)",,12/2/2016,5.0,,,6.9,,(2),
169,"MVL Group, Inc. (7)",Marketing research provider,"Common stock (560,716 shares)",,4/1/2010,0,,,0,,(2),
170,"NAS, LLC, Nationwide Marketing Group, LLC and Nationwide Administrative Services, Inc.","Buying and marketing services organization for appliance, furniture and consumer electronics dealers",Second lien senior secured loan ($6.0 par due 12/2021),11.08% (Libor + 8.75%/Q),6/1/2015,6.0,,,6.0,,(2)(15),
171,,,Second lien senior secured loan ($25.1 par due 12/2021),11.08% (Libor + 8.75%/Q),6/1/2015,25.1,,,25.1,,(2)(15),
173,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",First lien senior secured loan ($8.6 par due 10/2022),7.05% (Libor + 5.00%/M),1/3/2017,8.4,,,8.3,,(4)(15),
174,,,Second lien senior secured loan ($31.0 par due 10/2023),10.55% (Libor + 8.50%/M),1/3/2017,29.3,,,27.9,,(2)(15),
176,"NSM Insurance Group, LLC",Insurance program administrator,First lien senior secured loan ($4.5 par due 5/2024),6.60% (Libor + 4.50%/Q),3/27/2019,4.5,,,4.5,,(2)(15),
177,,,First lien senior secured loan ($13.0 par due 5/2024),6.60% (Libor + 4.50%/Q),5/11/2018,13.0,,,13.0,,(3)(15),
178,,,First lien senior secured loan ($5.6 par due 5/2024),6.60% (Libor + 4.50%/Q),6/28/2019,5.6,,,5.6,,(2)(15),
180,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",,3/11/2016,0.2,,,0,,(2),
181,"PaySimple, Inc. (19)",Provider of business management solutions,First lien senior secured loan ($11.3 par due 8/2025),7.55% (Libor + 5.50%/M),8/23/2019,11.1,,,11.2,,(2),
183,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (19)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured revolving loan ($1.8 par due 10/2024),6.65% (Libor + 4.50%/Q),3/19/2019,1.8,,,1.8,,(2)(15),
184,,,First lien senior secured revolving loan ($5.8 par due 10/2024),8.50% (Base Rate + 3.50%/Q),3/19/2019,5.8,,,5.8,,(2)(15),
185,,,First lien senior secured loan ($54.7 par due 10/2024),6.66% (Libor + 4.50%/Q),3/19/2019,54.7,,,54.7,,(2)(15),
186,,,Second lien senior secured loan ($70.1 par due 10/2025),10.66% (Libor + 8.50%/Q),3/19/2019,70.1,,,70.1,,(2)(15),
187,,,"Series A preferred shares (13,656 shares)",13.25% PIK,3/19/2019,14.4,,,14.7,,(2),
188,,,"Class A units (1,942,225 units)",,3/19/2019,1.9,,,2.0,,(2),
190,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (19)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($20.2 par due 5/2025),7.79% (Libor + 5.75%/M),5/29/2019,20.2,,,20.0,,(2)(15),
191,,,"Class A units (5,000 units)",,5/29/2019,5.0,,,5.0,,(2),
193,Petroleum Service Group LLC (19),Provider of operational services for US petrochemical and refining companies,First lien senior secured revolving loan,,7/23/2019,0,,,0,,(2)(17),
194,,,First lien senior secured loan ($37.0 par due 7/2025),7.76% (Libor + 5.50%/Q),7/23/2019,37.0,,,36.3,,(2)(15),
196,"PHL Investors, Inc., and PHL Holding Co. (7)",Mortgage services,Class A common stock (576 shares),,7/31/2012,3.8,,,0,,(2),
197,"PHNTM Holdings, Inc. and Planview Parent, Inc.",Provider of project and portfolio management software,First lien senior secured loan ($1.1 par due 1/2023),7.29% (Libor + 5.25%/M),1/27/2017,1.1,,,1.1,,(2)(15),
198,,,Second lien senior secured loan ($62.0 par due 7/2023),11.79% (Libor + 9.75%/M),1/27/2017,61.4,,,62.0,,(2)(15),
199,,,Class A common shares (990 shares),,1/27/2017,1.0,,,1.9,,(2),
200,,,"Class B common shares (168,329 shares)",,1/27/2017,0,,,0.3,,(2),
202,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",,6/25/2015,0.1,,,0,,(2),
203,"Production Resource Group, L.L.C.","Provider of rental equipment, labor, production management, scenery, and other products to various entertainment end-markets",First lien senior secured loan ($21.0 par due 8/2024),9.16% (Libor + 7.00%/Q),8/21/2018,21.0,,,19.5,,(15),
204,,,First lien senior secured loan ($80.0 par due 8/2024),9.16% (Libor + 7.00%/Q),8/21/2018,80.0,,,74.4,,(3)(15),
206,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class A common shares (7,445 shares)",,8/22/2016,7.4,,,12.1,,(2),
207,,,"Class B common shares (1,841,609 shares)",,8/22/2016,0.1,,,0.1,,(2),
209,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",,5/29/2007,0.3,,,0.2,,(2),
210,"Revint Intermediate II, LLC (19)",Revenue cycle consulting firm to the healthcare industry,First lien senior secured revolving loan ($0.5 par due 12/2023),6.60% (Libor + 4.50%/Q),12/13/2017,0.5,,,0.5,,(2)(15),
211,,,First lien senior secured revolving loan ($5.2 par due 12/2023),6.60% (Libor + 4.50%/Q),12/13/2017,5.2,,,5.2,,(2)(15),
212,,,First lien senior secured loan ($13.7 par due 12/2023),7.35% (Libor + 5.25%/M),9/3/2019,13.7,,,13.6,,(2),
214,,,First lien senior secured loan ($5.5 par due 12/2023),6.60% (Libor + 4.50%/M),12/13/2017,5.5,,,5.4,,(2)(15),
215,,,First lien senior secured loan ($15.9 par due 12/2023),6.83% (Libor + 4.50%/M),12/13/2017,15.9,,,15.7,,(2)(15),
217,SCM Insurance Services Inc. (8)(19),"Provider of claims management, claims investigation & support and risk management solutions for the Canadian property and casualty insurance industry",First lien senior secured revolving loan ($3.5 par due 8/2022),7.95% (Base Rate + 4.00%/Q),8/29/2017,3.5,,,3.4,,(2),
218,,,First lien senior secured loan ($20.0 par due 8/2024),6.95% (CIBOR + 5.00%/M),8/29/2017,21.1,,,19.2,,(2),
219,,,Second lien senior secured loan ($57.3 par due 3/2025),10.95% (CIBOR + 9.00%/M),8/29/2017,60.5,,,53.9,,(2),
221,SIGOS LLC,Web and mobile cloud performance testing and monitoring services provider,"Common units (4,132 units)",,6/7/2019,0.3,,,0.4,,(2),
222,"SpareFoot, LLC (19)",PMS solutions and web services for the self-storage industry.,First lien senior secured revolving loan ($0.5 par due 4/2023),6.28% (Libor + 4.25%/M),4/13/2018,0.5,,,0.5,,(2)(15),
223,,,First lien senior secured revolving loan ($0.3 par due 4/2023),6.31% (Libor + 4.25%/M),4/13/2018,0.3,,,0.3,,(2)(15),
224,,,First lien senior secured loan ($0.7 par due 4/2024),6.31% (Libor + 4.25%/Q),7/1/2019,0.7,,,0.7,,(2)(15),
225,,,First lien senior secured loan ($0.7 par due 4/2024),8.25% (Base Rate + 3.25%/Q),8/30/2019,0.7,,,0.7,,(2)(15),
226,,,First lien senior secured loan ($1.4 par due 4/2024),6.31% (Libor + 4.25%/Q),7/1/2019,1.3,,,1.4,,(2)(15),
227,,,First lien senior secured loan ($0.5 par due 4/2024),6.31% (Libor + 4.25%/Q),3/29/2019,0.5,,,0.5,,(2)(15),
228,,,Second lien senior secured loan ($4.2 par due 4/2025),10.31% (Libor + 8.25%/Q),8/31/2018,4.1,,,4.2,,(2)(15),
229,,,Second lien senior secured loan ($1.3 par due 4/2025),10.35% (Libor + 8.25%/M),7/1/2019,1.3,,,1.3,,(2)(15),
230,,,Second lien senior secured loan ($2.5 par due 4/2025),10.35% (Libor + 8.25%/M),7/1/2019,2.5,,,2.5,,(2)(15),
