,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
28,Polk Acquisition Corp.  *,Senior loan,,L + 5.25,(a),,7.05,,06/2022,,5171,,,5282,,,0.2,,,5015,,,,,
29,Polk Acquisition Corp.,Senior loan,,L + 5.25,(a)(f),,7.09,,06/2022,,32,,,31,,,-,,,30,,,,,
30,"Power Stop, LLC  #+!~",Senior loan,,L + 4.50,(c),,6.44,,10/2025,,2864,,,2925,,,0.1,,,2864,,,,,
31,"Quick Quack Car Wash Holdings, LLC  *",One stop,,L + 6.50,(a),,8.30,,04/2023,,13184,,,13303,,,0.6,,,13184,,,,,
32,"Quick Quack Car Wash Holdings, LLC",One stop,,L + 6.50,(a),,8.25,,04/2023,,2379,,,2355,,,0.1,,,2379,,,,,
33,"Quick Quack Car Wash Holdings, LLC  *+",One stop,,L + 6.50,(a),,8.30,,04/2023,,2078,,,2158,,,0.1,,,2078,,,,,
34,"Quick Quack Car Wash Holdings, LLC  *+",One stop,,L + 6.50,(a),,8.30,,04/2023,,1389,,,1442,,,0.1,,,1389,,,,,
35,"Quick Quack Car Wash Holdings, LLC",One stop,,L + 6.50,(a),,8.19,,04/2023,,281,,,351,,,-,,,281,,,,,
36,"Quick Quack Car Wash Holdings, LLC",One stop,,L + 6.50,(a),,8.30,,04/2023,,80,,,82,,,-,,,80,,,,,
37,,,,,,,,,,,68856,,,69444,,,3.1,,,68560,,,,,
38,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,
39,"Abita Brewing Co., L.L.C.  +",One stop,,L + 6.50,(c),,8.41,,04/2021,,9983,,,10041,,,0.5,,,9983,,,,,
40,"Abita Brewing Co., L.L.C.  (5)",One stop,,L + 6.50,,,N/A  (6),,04/2021,,-,,,(1,,,-,,,-,,,,,
41,BJH Holdings III Corp.  #+!~,One stop,,L + 5.75,(a),,7.55,,08/2025,,46284,,,47818,,,2.1,,,46284,,,,,
42,BJH Holdings III Corp.,One stop,,L + 5.75,(a),,7.55,,08/2025,,360,,,352,,,-,,,360,,,,,
43,"C. J. Foods, Inc.  ^*",One stop,,L + 6.25,(c),,8.19,,05/2020,,29104,,,29645,,,1.3,,,29104,,,,,
44,"C. J. Foods, Inc.  ^",One stop,,L + 6.25,(c),,8.19,,05/2020,,2201,,,2243,,,0.1,,,2201,,,,,
45,"C. J. Foods, Inc.",One stop,,L + 6.25,,,N/A  (6),,05/2020,,-,,,27,,,-,,,-,,,,,
46,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,
47,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,,,,,,,,,
48,"Cafe Rio Holding, Inc.  ^",One stop,,L + 5.75,(a),,7.55,,09/2023,,,18754,,,,19000,,,0.9,,,,18754,,
49,"Cafe Rio Holding, Inc.",One stop,,L + 5.75,(a),,7.55,,09/2023,,2265,,,2355,,,0.1,,,2265,,,,,
50,"Cafe Rio Holding, Inc.  *",One stop,,L + 5.75,(a),,7.55,,09/2023,,1438,,,1495,,,0.1,,,1438,,,,,
51,"Cafe Rio Holding, Inc.",One stop,,L + 5.75,(a),,7.55,,09/2023,,1269,,,1320,,,0.1,,,1269,,,,,
52,"Cafe Rio Holding, Inc.",One stop,,L + 5.75,(a),,7.55,,09/2023,,334,,,331,,,-,,,334,,,,,
53,"Cafe Rio Holding, Inc.",One stop,,L + 5.75,(a),,7.55,,09/2023,,182,,,182,,,-,,,182,,,,,
54,"Cafe Rio Holding, Inc.",One stop,,P + 4.75,(f),,9.50,,09/2023,,50,,,50,,,-,,,50,,,,,
55,"Fintech Midco, LLC  *",One stop,,L + 5.00,(a),,6.80,,08/2024,,24598,,,25009,,,1.1,,,24598,,,,,
56,"Fintech Midco, LLC",One stop,,L + 5.00,(a),,6.80,,08/2024,,1139,,,1185,,,0.1,,,1139,,,,,
57,"Fintech Midco, LLC  (5)",One stop,,L + 5.00,,,N/A  (6),,08/2024,,-,,,(1,,,-,,,-,,,,,
58,"Fintech Midco, LLC  (5)",One stop,,L + 5.00,,,N/A  (6),,08/2024,,-,,,(1,,,-,,,-,,,,,
59,"Flavor Producers, LLC  #!~",Senior loan,,L + 4.75,(c),,6.71,,12/2023,,5019,,,4898,,,0.2,,,4617,,,,,
60,"Flavor Producers, LLC",Senior loan,,L + 4.75,(c),,6.68,,12/2022,,30,,,25,,,-,,,20,,,,,
61,FWR Holding Corporation  ^,One stop,,L + 5.50,(a),,7.29,,08/2023,,9179,,,9302,,,0.4,,,9179,,,,,
62,FWR Holding Corporation,One stop,,L + 5.50,(a),,7.29,,08/2023,,1834,,,1907,,,0.1,,,1834,,,,,
63,FWR Holding Corporation,One stop,,L + 5.50,(a),,7.29,,08/2023,,1160,,,1205,,,0.1,,,1160,,,,,
64,FWR Holding Corporation,One stop,,L + 5.50,(a),,7.29,,08/2023,,368,,,379,,,-,,,368,,,,,
65,FWR Holding Corporation,One stop,,L + 5.50,(a),,7.29,,08/2023,,275,,,283,,,-,,,275,,,,,
66,FWR Holding Corporation,One stop,,L + 5.50,(a),,7.29,,08/2023,,114,,,113,,,-,,,114,,,,,
67,FWR Holding Corporation,One stop,,L + 5.50,,,N/A  (6),,08/2023,,-,,,-,,,-,,,-,,,,,
68,FWR Holding Corporation  (5),One stop,,L + 5.50,,,N/A  (6),,08/2023,,-,,,(1,,,-,,,-,,,,,
69,Global ID Corporation  *#+!~,One stop,,L + 6.50,(c),,8.44,,11/2021,,14359,,,14538,,,0.7,,,14359,,,,,
70,Global ID Corporation  *,One stop,,L + 6.50,(c),,8.44,,11/2021,,819,,,848,,,-,,,819,,,,,
71,Global ID Corporation,One stop,,L + 6.50,(c),,8.44,,11/2021,,716,,,741,,,-,,,716,,,,,
72,Global ID Corporation,One stop,,L + 6.50,(c),,8.44,,11/2021,,492,,,509,,,-,,,492,,,,,
73,Global ID Corporation,One stop,,L + 6.50,,,N/A  (6),,11/2021,,-,,,-,,,-,,,-,,,,,
74,Global ID Corporation,One stop,,L + 6.50,,,N/A  (6),,11/2021,,-,,,-,,,-,,,-,,,,,
75,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.80 cash/7.50 PIK,,06/2023,,780,,,810,,,-,,,772,,,,,
76,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.80 cash/7.50 PIK,,06/2023,,613,,,637,,,-,,,607,,,,,
77,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.80 cash/7.50 PIK,,06/2023,,602,,,598,,,-,,,596,,,,,
78,"Mendocino Farms, LLC",One stop,,L + 1.00,(a),,2.79 cash/7.50 PIK,,06/2023,,296,,,294,,,-,,,293,,,,,
79,"Mendocino Farms, LLC  (5)",One stop,,L + 1.00,,,N/A  (6),,06/2023,,-,,,-,,,-,,,(4,,,,,
80,"Mendocino Farms, LLC  (5)",One stop,,L + 1.00,,,N/A  (6),,06/2023,,-,,,(3,,,-,,,(4,,,,,
81,"Mid-America Pet Food, L.L.C.  ^*",One stop,,L + 5.50,(a),,7.30,,12/2021,,22457,,,22881,,,1.0,,,22457,,,,,
82,"Mid-America Pet Food, L.L.C.",One stop,,L + 5.50,,,N/A  (6),,12/2021,,-,,,-,,,-,,,-,,,,,
83,"NBC Intermediate, LLC  #+!~",Senior loan,,L + 4.25,(a)(c),,6.24,,09/2023,,2359,,,2393,,,0.1,,,2359,,,,,
84,"NBC Intermediate, LLC  *",Senior loan,,L + 4.25,(c),,6.45,,09/2023,,2309,,,2343,,,0.1,,,2309,,,,,
85,"NBC Intermediate, LLC  ^",Senior loan,,L + 4.25,(c),,6.45,,09/2023,,2024,,,2011,,,0.1,,,2024,,,,,
86,"NBC Intermediate, LLC  +",Senior loan,,L + 4.25,(a),,6.05,,09/2023,,1000,,,990,,,0.1,,,1000,,,,,
87,"NBC Intermediate, LLC",Senior loan,,L + 4.25,,,N/A  (6),,09/2023,,-,,,-,,,-,,,-,,,,,
88,"Purfoods, LLC",One stop,,L + 5.50,(a),,7.30,,05/2021,,16151,,,16387,,,0.7,,,16151,,,,,
89,"Purfoods, LLC",One stop,,L + 5.50,(a),,7.30,,05/2021,,541,,,559,,,-,,,541,,,,,
90,"Purfoods, LLC  ^",One stop,,L + 5.50,(a),,7.30,,05/2021,,390,,,404,,,-,,,390,,,,,
91,"Purfoods, LLC  #!~",One stop,,L + 5.50,(a),,7.30,,05/2021,,295,,,305,,,-,,,295,,,,,
92,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,
93,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,,,,,,,,,
94,"Purfoods, LLC  #!~",One stop,,L + 5.50,(a),,7.30,,05/2021,,,295,,,,305,,,-,,,,295,,
95,"Purfoods, LLC  *",One stop,,L + 5.50,(a),,7.30,,05/2021,,294,,,303,,,-,,,294,,,,,
96,"Purfoods, LLC",One stop,,L + 5.50,(a),,7.30,,05/2021,,253,,,256,,,-,,,253,,,,,
97,"Purfoods, LLC",One stop,,No Value,,,7.00 PIK,,05/2026,,241,,,246,,,-,,,241,,,,,
98,"Purfoods, LLC",One stop,,L + 5.50,(a),,7.24,,05/2021,,150,,,151,,,-,,,150,,,,,
99,"Purfoods, LLC",One stop,,L + 5.50,(a),,7.30,,05/2021,,148,,,153,,,-,,,148,,,,,
100,"Purfoods, LLC  ^",One stop,,L + 5.50,(a),,7.30,,05/2021,,48,,,47,,,-,,,48,,,,,
101,"Purfoods, LLC  ^",One stop,,L + 5.50,(a),,7.30,,05/2021,,30,,,30,,,-,,,30,,,,,
102,"Purfoods, LLC  ^",One stop,,L + 5.50,(a),,7.30,,05/2021,,30,,,30,,,-,,,30,,,,,
103,"Purfoods, LLC  ^",One stop,,L + 5.50,(a),,7.30,,05/2021,,28,,,28,,,-,,,28,,,,,
104,"Purfoods, LLC  ^",One stop,,L + 5.50,(a),,7.30,,05/2021,,22,,,22,,,-,,,22,,,,,
105,"Purfoods, LLC  ^",One stop,,L + 5.50,(a),,7.30,,05/2021,,22,,,22,,,-,,,22,,,,,
106,"Purfoods, LLC  ^",One stop,,L + 5.50,(a),,7.30,,05/2021,,20,,,20,,,-,,,20,,,,,
107,"Rubio's Restaurants, Inc.  ^*",Senior loan,,L + 11.50,(c),,9.46 cash/4.00 PIK,,04/2021,,11390,,,11212,,,0.5,,,11497,,,,,
108,"Rubio's Restaurants, Inc.",Senior loan,,L + 11.50,(a)(f),,9.93 cash/4.00 PIK,,04/2021,,160,,,157,,,-,,,162,,,,,
109,"SSRG Holdings, LLC",One stop,,L + 5.25,(a),,7.05,,11/2025,,925,,,907,,,-,,,916,,,,,
110,"SSRG Holdings, LLC",One stop,,L + 5.25,(a),,7.05,,11/2025,,35,,,34,,,-,,,34,,,,,
111,Wood Fired Holding Corp.  *,One stop,,L + 5.75,(d),,7.67,,12/2023,,14108,,,14364,,,0.6,,,14108,,,,,
112,Wood Fired Holding Corp.  (5),One stop,,L + 5.75,,,N/A  (6),,12/2023,,-,,,(1,,,-,,,-,,,,,
113,Wood Fired Holding Corp.,One stop,,L + 5.75,,,N/A  (6),,12/2023,,-,,,-,,,-,,,-,,,,,
114,,,,,,,,,,,250342,,,254692,,,11.1,,,249998,,,,,
115,Broadcasting and Entertainment,,,,,,,,,,,,,,,,,,,,,,,,
116,"TouchTunes Interactive Networks, Inc.  ^+",Senior loan,,L + 4.75,(a),,6.55,,05/2021,,2102,,,2127,,,0.1,,,2102,,,,,
117,Buildings and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,
118,"Brooks Equipment Company, LLC  ^*",One stop,,L + 5.00,(b)(c),,6.91,,08/2020,,26097,,,26243,,,1.2,,,26097,,,,,
119,"Brooks Equipment Company, LLC  (5)",One stop,,L + 5.00,,,N/A  (6),,08/2020,,-,,,(2,,,-,,,-,,,,,
120,"Jensen Hughes, Inc.",Senior loan,,L + 4.50,(a)(f),,6.30,,03/2024,,1013,,,1052,,,0.1,,,1013,,,,,
121,"Jensen Hughes, Inc.  +",Senior loan,,L + 4.50,(a)(f),,6.30,,03/2024,,921,,,937,,,-,,,921,,,,,
122,"Jensen Hughes, Inc.",Senior loan,,L + 4.50,(a)(f),,6.30,,03/2024,,442,,,459,,,-,,,442,,,,,
123,"Jensen Hughes, Inc.  +",Senior loan,,L + 4.50,(a)(f),,6.30,,03/2024,,281,,,286,,,-,,,281,,,,,
124,MRI Software LLC  ^,One stop,,L + 5.75,(a),,7.55,,06/2023,,41789,,,42186,,,1.9,,,41789,,,,,
125,MRI Software LLC  ^*+,One stop,,L + 5.75,(a),,7.55,,06/2023,,30613,,,31240,,,1.4,,,30613,,,,,
126,MRI Software LLC  #+!~,One stop,,L + 5.75,(a),,7.55,,06/2023,,7582,,,7798,,,0.3,,,7582,,,,,
127,MRI Software LLC  #!~,One stop,,L + 5.75,(a),,7.55,,06/2023,,6544,,,6805,,,0.3,,,6544,,,,,
128,MRI Software LLC  #!~,One stop,,L + 5.75,(a),,7.55,,06/2023,,4592,,,4769,,,0.2,,,4592,,,,,
129,MRI Software LLC  ^,One stop,,L + 5.75,(a),,7.55,,06/2023,,3223,,,3352,,,0.1,,,3223,,,,,
130,MRI Software LLC  #+!~,One stop,,L + 5.75,(a),,7.55,,06/2023,,2063,,,2146,,,0.1,,,2063,,,,,
131,MRI Software LLC,One stop,,L + 5.75,(a),,7.55,,06/2023,,1494,,,1491,,,0.1,,,1494,,,,,
132,MRI Software LLC,One stop,,L + 5.75,(a),,7.55,,06/2023,,1204,,,1250,,,0.1,,,1204,,,,,
133,MRI Software LLC  +,One stop,,L + 5.75,(a),,7.55,,06/2023,,906,,,897,,,-,,,906,,,,,
134,MRI Software LLC  ^,One stop,,L + 5.75,(a),,7.55,,06/2023,,694,,,706,,,-,,,694,,,,,
135,MRI Software LLC  *,One stop,,L + 5.75,(a),,7.55,,06/2023,,292,,,289,,,-,,,292,,,,,
136,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,
137,Buildings and Real Estate - (continued),,,,,,,,,,,,,,,,,,,,,,,,
138,MRI Software LLC  #!~,One stop,,L + 5.75,(a),,7.55,,06/2023,,,291,,,,289,,,-,,,,291,,
139,MRI Software LLC  *,One stop,,L + 5.75,(a),,7.55,,06/2023,,192,,,190,,,-,,,192,,,,,
140,MRI Software LLC  #!~,One stop,,L + 5.75,(a),,7.55,,06/2023,,96,,,96,,,-,,,96,,,,,
141,MRI Software LLC  (5),One stop,,L + 5.75,,,N/A  (6),,06/2023,,-,,,(2,,,-,,,-,,,,,
142,MRI Software LLC,One stop,,L + 5.75,,,N/A  (6),,06/2023,,-,,,-,,,-,,,-,,,,,
143,"Paradigm DKD Group, LLC  +(7)",Senior loan,,L + 6.25,(c),,8.16,,05/2022,,1654,,,1186,,,0.1,,,1036,,,,,
144,"Paradigm DKD Group, LLC  (5)(7)",Senior loan,,L + 6.25,,,N/A  (6),,05/2022,,-,,,(64,,,-,,,(85,,,,,
145,,,,,,,,,,,131983,,,133599,,,5.9,,,131280,,,,,
146,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,,,,,
147,"Flexan, LLC  *",One stop,,L + 5.75,(a),,7.55,,02/2020,,3298,,,3308,,,0.1,,,3298,,,,,
148,"Flexan, LLC  ^",One stop,,L + 5.75,(a),,7.55,,02/2020,,1552,,,1557,,,0.1,,,1552,,,,,
149,"Flexan, LLC",One stop,,P + 4.50,(f),,9.25,,02/2020,,12,,,13,,,-,,,12,,,,,
150,Inhance Technologies Holdings LLC,One stop,,L + 5.50,(c),,7.60,,07/2024,,12799,,,12941,,,0.6,,,12799,,,,,
151,Inhance Technologies Holdings LLC,One stop,,L + 5.50,(c),,7.60,,07/2024,,853,,,887,,,-,,,853,,,,,
152,Inhance Technologies Holdings LLC,One stop,,P + 4.50,(f),,9.25,,07/2024,,140,,,140,,,-,,,140,,,,,
153,,,,,,,,,,,18654,,,18846,,,0.8,,,18654,,,,,
154,"Containers, Packaging and Glass",,,,,,,,,,,,,,,,,,,,,,,,
155,AmerCareRoyal LLC  +,Senior loan,,L + 5.00,(a),,6.80,,11/2025,,847,,,839,,,-,,,838,,,,,
156,AmerCareRoyal LLC  +,Senior loan,,L + 5.00,(a),,6.80,,11/2025,,153,,,152,,,-,,,151,,,,,
157,,,,,,,,,,,1000,,,991,,,-,,,989,,,,,
158,Diversified/Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,
159,"Blackbird Purchaser, Inc.  #+!~",Senior loan,,L + 4.50,(c)(f),,6.44,,04/2026,,13116,,,13448,,,0.6,,,13116,,,,,
160,"Blackbird Purchaser, Inc.",Senior loan,,L + 4.50,(c)(f),,6.44,,04/2026,,597,,,617,,,-,,,597,,,,,
161,"Blackbird Purchaser, Inc.",Senior loan,,L + 4.50,(c),,6.44,,04/2024,,88,,,86,,,-,,,88,,,,,
162,"Chase Industries, Inc.  #+!~",Senior loan,,L + 5.50,(c),,5.94 cash/1.50 PIK,,05/2025,,12100,,,12241,,,0.5,,,11616,,,,,
163,"Chase Industries, Inc.",Senior loan,,L + 5.50,(c),,5.94 cash/1.50 PIK,,05/2025,,989,,,1029,,,-,,,950,,,,,
164,"Chase Industries, Inc.",Senior loan,,L + 5.50,(c),,5.94 cash/1.50 PIK,,05/2023,,226,,,230,,,-,,,214,,,,,
165,"Inventus Power, Inc.  ^*+",One stop,,L + 6.50,(a),,8.30,,04/2021,,14449,,,13882,,,0.6,,,14160,,,,,
166,"Inventus Power, Inc.",One stop,,L + 6.50,(a),,8.29,,04/2021,,555,,,525,,,-,,,539,,,,,
167,"Pasternack Enterprises, Inc. and Fairview Microwave, Inc  #+!~",Senior loan,,L + 4.00,(a),,5.80,,07/2025,,13667,,,13926,,,0.6,,,13667,,,,,
168,"Pasternack Enterprises, Inc. and Fairview Microwave, Inc",Senior loan,,L + 4.00,,,N/A  (6),,07/2023,,-,,,-,,,-,,,-,,,,,
169,"PetroChoice Holdings, Inc.  ^",Senior loan,,L + 5.00,(c),,6.93,,08/2022,,3301,,,3310,,,0.1,,,3152,,,,,
170,"Protective Industrial Products, Inc.  +",Senior loan,,L + 4.50,(a),,6.30,,01/2024,,1000,,,990,,,-,,,990,,,,,
171,"Reladyne, Inc.  ^*",Senior loan,,L + 5.00,(c),,7.10,,07/2022,,27225,,,27534,,,1.2,,,27225,,,,,
172,"Reladyne, Inc.  #!~",Senior loan,,L + 5.00,(c),,7.10,,07/2022,,2360,,,2443,,,0.1,,,2360,,,,,
173,"Reladyne, Inc.",Senior loan,,L + 5.00,(c),,7.10,,07/2022,,1732,,,1798,,,0.1,,,1732,,,,,
174,"Reladyne, Inc.",Senior loan,,L + 5.00,(c),,7.10,,07/2022,,1557,,,1616,,,0.1,,,1557,,,,,
175,"Reladyne, Inc.  ^",Senior loan,,L + 5.00,(c),,7.10,,07/2022,,1281,,,1325,,,0.1,,,1281,,,,,
176,"Reladyne, Inc.  #!~",Senior loan,,L + 5.00,(c),,7.10,,07/2022,,1102,,,1140,,,0.1,,,1102,,,,,
177,"Reladyne, Inc.  #!~",Senior loan,,L + 5.00,(c),,7.10,,07/2022,,502,,,520,,,-,,,502,,,,,
178,"Togetherwork Holdings, LLC*",One stop,,L + 6.25,(a),,8.05,,03/2025,,15684,,,15850,,,0.7,,,15684,,,,,
179,"Togetherwork Holdings, LLC  #+!~",One stop,,L + 6.25,(a),,8.05,,03/2025,,1817,,,1889,,,0.1,,,1817,,,,,
180,"Togetherwork Holdings, LLC",One stop,,L + 6.25,(a),,8.05,,03/2025,,1764,,,1830,,,0.1,,,1764,,,,,
181,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,
182,Diversified/Conglomerate Manufacturing - (continued),,,,,,,,,,,,,,,,,,,,,,,,
183,"Togetherwork Holdings, LLC  *",One stop,,L + 6.25,(a),,8.05,,03/2025,,,1719,,,,1788,,,0.1,,,,1719,,
184,"Togetherwork Holdings, LLC  #+!~",One stop,,L + 6.25,(a),,8.05,,03/2025,,1661,,,1697,,,0.1,,,1661,,,,,
185,"Togetherwork Holdings, LLC  *+",One stop,,L + 6.25,(a),,8.05,,03/2025,,1600,,,1664,,,0.1,,,1600,,,,,
186,"Togetherwork Holdings, LLC",One stop,,L + 6.25,(a),,8.05,,03/2025,,1493,,,1548,,,0.1,,,1493,,,,,
187,"Togetherwork Holdings, LLC  *",One stop,,L + 6.25,(a),,8.05,,03/2025,,1222,,,1243,,,0.1,,,1222,,,,,
188,"Togetherwork Holdings, LLC",One stop,,L + 6.25,(a),,8.05,,03/2025,,673,,,699,,,-,,,673,,,,,
189,"Togetherwork Holdings, LLC",One stop,,L + 6.25,(a),,8.05,,03/2025,,65,,,67,,,-,,,65,,,,,
190,"Togetherwork Holdings, LLC",One stop,,L + 6.25,(a),,7.95,,03/2024,,60,,,58,,,-,,,60,,,,,
191,"Togetherwork Holdings, LLC  #!~",One stop,,L + 6.25,(a),,8.05,,03/2025,,60,,,62,,,-,,,60,,,,,
192,,,,,,,,,,,123665,,,125055,,,5.5,,,122666,,,,,
193,Diversified/Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,,
194,"3ES Innovation, Inc.  #+!~(8)(12)",One stop,,L + 5.75,(c)(d),,7.81,,05/2025,,13865,,,14148,,,0.6,,,13865,,,,,
195,"3ES Innovation, Inc.  (5)(8)(12)",One stop,,L + 5.75,,,N/A  (6),,05/2025,,-,,,(2,,,-,,,-,,,,,
196,"Accela, Inc.  *",One stop,,L + 4.89,(a),,5.04 cash/1.64 PIK,,09/2023,,4421,,,4421,,,0.2,,,4421,,,,,
197,"Accela, Inc.",One stop,,L + 7.00,,,N/A  (6),,09/2023,,-,,,-,,,-,,,-,,,,,
198,"Acquia, Inc.  #!~",One stop,,L + 7.00,(c),,8.91,,10/2025,,7118,,,7048,,,0.3,,,7047,,,,,
199,"Acquia, Inc.  (5)",One stop,,L + 7.00,,,N/A  (6),,10/2025,,-,,,(1,,,-,,,(1,,,,,
200,Agility Recovery Solutions Inc.  ^*,One stop,,L + 6.00,(e),,8.02,,03/2023,,22649,,,22804,,,1.0,,,22649,,,,,
201,Agility Recovery Solutions Inc.  (5),One stop,,L + 6.00,,,N/A  (6),,03/2023,,-,,,(4,,,-,,,-,,,,,
202,"Apptio, Inc.  #!~",One stop,,L + 7.25,(a),,8.96,,01/2025,,57009,,,57846,,,2.6,,,57009,,,,,
203,"Apptio, Inc.  (5)",One stop,,L + 7.25,,,N/A  (6),,01/2025,,-,,,(2,,,-,,,-,,,,,
204,Arch Global CCT Holdings Corp.  #+!~,Senior loan,,L + 4.75,(a)(f),,6.55,,04/2026,,3894,,,3936,,,0.2,,,3894,,,,,
205,Arch Global CCT Holdings Corp.,Senior loan,,L + 4.75,,,N/A  (6),,04/2025,,-,,,-,,,-,,,-,,,,,
206,Arch Global CCT Holdings Corp.,Senior loan,,L + 4.75,,,N/A  (6),,04/2026,,-,,,-,,,-,,,-,,,,,
207,"Astute Holdings, Inc.",One stop,,L + 6.00,(a),,7.80,,04/2025,,10907,,,11096,,,0.5,,,10907,,,,,
208,"Astute Holdings, Inc.",One stop,,L + 6.00,(a),,7.80,,04/2025,,86,,,85,,,-,,,86,,,,,
209,"Astute Holdings, Inc.  (5)",One stop,,L + 6.00,,,N/A  (6),,04/2025,,-,,,(2,,,-,,,-,,,,,
210,Aurora Lux Finco S.A.R.L.  (8)(13),One stop,,L + 6.00,(c),,7.93,,12/2026,,1000,,,975,,,-,,,975,,,,,
211,"AutoQuotes, LLC",One stop,,L + 5.75,(c),,7.66,,11/2024,,9888,,,10048,,,0.4,,,9888,,,,,
