,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
73,Prommis Fin Co.*  (3),,,Subordinated debt,,,,P + 10.50,,,,2.25 cash/  11.50 PIK,,,,06/2015,,,,192,,,,191,,,,-,,,,-,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,820,,,,816,,,,-,,,,63,,,,,,,,,
75,,,Investment  Type,,Spread Above Index  (1),,Interest Rate  (2),,Maturity Date,,Principal Amount,,Cost,,Percentage of Net Assets,,Fair Value,,,,,,,,,,,,,,,,,,,,,,,,
76,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,ABP Corporation,,,Senior loan,,,,P + 3.50,,,,7.25,,,,06/2016,,,,63,,,,58,,,,-,,,,63,,,,,,,,,
78,ABP Corporation*,,,Senior loan,,,,L + 4.75,,,,6.00,,,,06/2016,,,,4490,,,,4442,,,,0.7,,,,4490,,,,,,,,,
79,"American Importing Company, Inc.",,,One stop,,,,L + 5.75,,,,7.00,,,,05/2018,,,,14806,,,,14624,,,,2.3,,,,14806,,,,,,,,,
80,"Ameriqual Group, LLC*",,,Senior loan,,,,L + 5.00,,,,6.50,,,,03/2016,,,,1727,,,,1710,,,,0.3,,,,1658,,,,,,,,,
81,"Ameriqual Group, LLC*",,,Senior loan,,,,L + 7.50,,,,9.00,,,,03/2016,,,,831,,,,823,,,,0.1,,,,731,,,,,,,,,
82,"Atkins Nutritionals, Inc.*",,,One stop,,,,L + 5.00,,,,6.25,,,,01/2019,,,,22339,,,,22097,,,,3.4,,,,22395,,,,,,,,,
83,"Atkins Nutritionals, Inc.*",,,One stop,,,,L + 8.50,,,,9.75,,,,04/2019,,,,17270,,,,16830,,,,2.7,,,,17529,,,,,,,,,
84,"Candy Intermediate Holdings, Inc. (Ferrara Candy)",,,Senior loan,,,,L + 6.25,,,,7.50,,,,06/2018,,,,4937,,,,4800,,,,0.7,,,,4777,,,,,,,,,
85,"Firebirds International, LLC",,,One stop,,,,L + 5.75,,,,7.00,,,,05/2018,,,,83,,,,79,,,,-,,,,79,,,,,,,,,
86,"Firebirds International, LLC  (4)",,,One stop,,,,L + 5.75,,,,No Value,(5),,,05/2018,,,,-,,,,(3,,,,-,,,,(3,,,,,,,,,
87,"Firebirds International, LLC  (4)",,,One stop,,,,L + 5.75,,,,No Value,(5),,,05/2018,,,,-,,,,(2,,,,-,,,,(1,,,,,,,,,
88,"Firebirds International, LLC*",,,One stop,,,,L + 5.75,,,,7.00,,,,05/2018,,,,912,,,,901,,,,0.1,,,,902,,,,,,,,,
89,"First Watch Restaurants, Inc.",,,One stop,,,,L + 7.50,,,,8.75,,,,12/2016,,,,418,,,,396,,,,0.1,,,,418,,,,,,,,,
90,"First Watch Restaurants, Inc.",,,One stop,,,,L + 7.50,,,,8.75,,,,12/2016,,,,955,,,,933,,,,0.1,,,,955,,,,,,,,,
91,"First Watch Restaurants, Inc.*",,,One stop,,,,L + 7.50,,,,8.75,,,,12/2016,,,,11385,,,,11238,,,,1.7,,,,11385,,,,,,,,,
92,IT'SUGAR LLC,,,Subordinated debt,,,,No Value,,,,8.00,,,,10/2017,,,,1707,,,,1707,,,,0.4,,,,2697,,,,,,,,,
93,IT'SUGAR LLC,,,Senior loan,,,,L + 8.50,,,,10.00,,,,04/2017,,,,4213,,,,4153,,,,0.6,,,,4213,,,,,,,,,
94,Julio & Sons  Company  (4),,,One stop,,,,L + 7.00,,,,No Value,(5),,,09/2014,,,,-,,,,(7,,,,-,,,,-,,,,,,,,,
95,Julio & Sons Company*,,,One stop,,,,L + 7.00,,,,8.50,,,,09/2016,,,,7049,,,,7008,,,,1.1,,,,7049,,,,,,,,,
96,Julio & Sons  Company  (4),,,One stop,,,,L + 7.00,,,,No Value,(5),,,09/2014,,,,-,,,,(9,,,,-,,,,-,,,,,,,,,
97,"Northern Brewer, LLC",,,One stop,,,,L + 6.50,,,,8.00,,,,02/2018,,,,695,,,,683,,,,0.1,,,,695,,,,,,,,,
98,"Northern Brewer, LLC",,,One stop,,,,L + 6.50,,,,8.00,,,,02/2018,,,,6413,,,,6271,,,,1.0,,,,6413,,,,,,,,,
99,"Richelieu Foods, Inc.",,,Senior loan,,,,P + 4.00,,,,7.25,,,,11/2015,,,,132,,,,123,,,,-,,,,132,,,,,,,,,
100,"Richelieu Foods, Inc.*",,,Senior loan,,,,L + 5.00,,,,6.75,,,,11/2015,,,,1988,,,,1958,,,,0.3,,,,1988,,,,,,,,,
101,Smashburger Finance LLC  (4),,,Senior loan,,,,L + 4.25,,,,No Value,(5),,,05/2018,,,,-,,,,(9,,,,-,,,,(6,,,,,,,,,
102,Smashburger Finance LLC*,,,Senior loan,,,,L + 4.25,,,,5.50,,,,05/2018,,,,6532,,,,6485,,,,1.0,,,,6500,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,108945,,,,107289,,,,16.7,,,,109865,,,,,,,,,
104,Building and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"ITEL Laboratories,  Inc.  (4)",,,Senior loan,,,,L + 4.75,,,,No Value,(5),,,06/2018,,,,-,,,,(1,,,,-,,,,-,,,,,,,,,
106,"ITEL Laboratories, Inc.*",,,Senior loan,,,,L + 4.75,,,,6.00,,,,06/2018,,,,801,,,,792,,,,0.1,,,,801,,,,,,,,,
107,"KHKI Acquisition, Inc.",,,Senior loan,,,,P + 5.00,,,,8.50,,,,03/2017,,,,2547,,,,2547,,,,0.2,,,,1401,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,3348,,,,3338,,,,0.3,,,,2202,,,,,,,,,
109,Cargo Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,RP Crown Parent (RedPrairie Corp)*,,,Senior loan,,,,L + 5.50,,,,6.75,,,,12/2018,,,,1985,,,,1950,,,,0.3,,,,2003,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,1985,,,,1950,,,,0.3,,,,2003,,,,,,,,,
112,,,Investment  Type,,Spread Above Index  (1),,Interest Rate  (2),,Maturity Date,,Principal Amount,,Cost,,Percentage of Net Assets,,Fair Value,,,,,,,,,,,,,,,,,,,,,,,,
113,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"Integrated DNA Technologies, Inc.",,,Subordinated debt,,,,No Value,,,,12.00 cash/  2.00 PIK,,,,04/2015,,,,450,,,,447,,,,0.1,,,,450,,,,,,,,,
115,"Integrated DNA Technologies, Inc.",,,Subordinated debt,,,,No Value,,,,12.00 cash/  2.00 PIK,,,,04/2015,,,,1267,,,,1246,,,,0.2,,,,1267,,,,,,,,,
116,"Integrated DNA Technologies, Inc.",,,Subordinated debt,,,,No Value,,,,12.00 cash/  2.00 PIK,,,,04/2015,,,,450,,,,442,,,,0.1,,,,450,,,,,,,,,
117,"Road Infrastructure Investment, LLC",,,Senior loan,,,,L + 5.00,,,,5.18,,,,03/2017,,,,49,,,,17,,,,-,,,,48,,,,,,,,,
118,"Road Infrastructure Investment, LLC*",,,Senior loan,,,,L + 5.00,,,,6.25,,,,03/2018,,,,4515,,,,4469,,,,0.7,,,,4557,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,6731,,,,6621,,,,1.1,,,,6772,,,,,,,,,
120,"Containers, Packaging and Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Fort Dearborn Company*,,,Senior loan,,,,L + 4.25,,,,5.25,,,,10/2017,,,,39,,,,39,,,,-,,,,39,,,,,,,,,
122,Fort Dearborn Company*,,,Senior loan,,,,L + 4.75,,,,5.75,,,,10/2018,,,,156,,,,155,,,,-,,,,156,,,,,,,,,
123,Fort Dearborn Company*,,,Senior loan,,,,L + 4.25,,,,5.25,,,,10/2017,,,,559,,,,555,,,,0.1,,,,559,,,,,,,,,
124,Fort Dearborn Company*,,,Senior loan,,,,L + 4.75,,,,5.75,,,,10/2018,,,,2202,,,,2187,,,,0.3,,,,2202,,,,,,,,,
125,"Packaging Coordinators, Inc.*",,,Senior loan,,,,L + 4.25,,,,5.50,,,,05/2020,,,,6810,,,,6778,,,,1.0,,,,6776,,,,,,,,,
126,"Packaging Coordinators, Inc.",,,Second lien,,,,L + 8.25,,,,9.50,,,,11/2020,,,,29098,,,,28539,,,,4.4,,,,28807,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,38864,,,,38253,,,,5.8,,,,38539,,,,,,,,,
128,Diversified Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"Chase Industries, Inc.*",,,One stop,,,,L + 5.66,,,,6.91,,,,11/2017,,,,13815,,,,13622,,,,2.1,,,,13815,,,,,,,,,
130,"Metal Spinners, Inc.*",,,Senior loan,,,,L + 6.50,,,,8.00,,,,12/2014,,,,1352,,,,1333,,,,0.2,,,,1352,,,,,,,,,
131,"Metal Spinners, Inc.*",,,Senior loan,,,,L + 6.50,,,,8.00,,,,12/2014,,,,2684,,,,2649,,,,0.4,,,,2684,,,,,,,,,
132,Onicon Incorporated  (4),,,One stop,,,,L + 6.75,,,,No Value,(5),,,12/2017,,,,-,,,,(14,,,,-,,,,-,,,,,,,,,
133,Onicon Incorporated,,,One stop,,,,L + 6.75,,,,8.25,,,,12/2017,,,,3606,,,,3544,,,,0.5,,,,3606,,,,,,,,,
134,"Pasternack Enterprises,  Inc.*",,,Senior loan,,,,L + 5.00,,,,6.25,,,,12/2017,,,,1208,,,,1198,,,,0.2,,,,1208,,,,,,,,,
135,"Plex Systems, Inc.  (4)",,,Senior loan,,,,L + 7.50,,,,No Value,(5),,,06/2018,,,,-,,,,(26,,,,-,,,,(26,,,,,,,,,
136,"Plex Systems, Inc.*",,,Senior loan,,,,L + 7.50,,,,8.75,,,,06/2018,,,,13670,,,,13375,,,,2.0,,,,13465,,,,,,,,,
137,"Sunless Merger Sub, Inc.",,,Senior loan,,,,P + 4.00,,,,7.25,,,,07/2016,,,,56,,,,55,,,,-,,,,24,,,,,,,,,
138,"Sunless Merger Sub,  Inc.*",,,Senior loan,,,,L + 5.25,,,,6.50,,,,07/2016,,,,2171,,,,2165,,,,0.3,,,,1910,,,,,,,,,
139,Tecomet Inc.  (4),,,Senior loan,,,,L + 4.50,,,,No Value,(5),,,12/2016,,,,-,,,,(5,,,,-,,,,-,,,,,,,,,
140,Tecomet Inc.*,,,Senior loan,,,,L + 4.50,,,,5.75,,,,12/2016,,,,5610,,,,5546,,,,0.9,,,,5610,,,,,,,,,
141,"TIDI Products, LLC  (4)",,,Senior loan,,,,L + 7.00,,,,No Value,(5),,,07/2017,,,,-,,,,(10,,,,-,,,,-,,,,,,,,,
142,"TIDI Products, LLC*",,,Senior loan,,,,L + 7.00,,,,8.25,,,,07/2018,,,,8703,,,,8552,,,,1.3,,,,8703,,,,,,,,,
143,"Vintage Parts, Inc.*",,,One stop,,,,L + 4.50,,,,5.75,,,,12/2013,,,,4865,,,,4836,,,,0.7,,,,4865,,,,,,,,,
144,"Vintage Parts, Inc.*",,,One stop,,,,L + 4.50,,,,5.75,,,,12/2013,,,,68,,,,67,,,,-,,,,68,,,,,,,,,
145,"Vintage Parts, Inc.*",,,One stop,,,,L + 4.50,,,,5.75,,,,12/2013,,,,1016,,,,1008,,,,0.2,,,,1016,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,58824,,,,57895,,,,8.8,,,,58300,,,,,,,,,
147,,,Investment  Type,,Spread Above Index  (1),,Interest Rate  (2),,Maturity Date,,Principal Amount,,Cost,,Percentage of Net Assets,,Fair Value,,,,,,,,,,,,,,,,,,,,,,,,
148,Diversified Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"Aderant North America, Inc.*",,,Senior loan,,,,L + 5.00,,,,6.25,,,,12/2018,,,,4506,,,,4467,,,,0.7,,,,4506,,,,,,,,,
150,Agility Recovery Solutions Inc.  (4),,,One stop,,,,L + 7.00,,,,No Value,(5),,,12/2017,,,,-,,,,(7,,,,-,,,,-,,,,,,,,,
151,Agility Recovery Solutions Inc.*,,,One stop,,,,L + 7.00,,,,8.25,,,,12/2017,,,,9409,,,,9221,,,,1.4,,,,9409,,,,,,,,,
152,API Healthcare Corporation*,,,One stop,,,,L + 8.63,,,,9.88,,,,04/2018,,,,34156,,,,33882,,,,5.2,,,,34156,,,,,,,,,
153,"Consona Holdings,  Inc.  (4)",,,Senior loan,,,,L + 5.50,,,,No Value,(5),,,08/2017,,,,-,,,,(2,,,,-,,,,-,,,,,,,,,
154,"Consona Holdings, Inc.*",,,Senior loan,,,,L + 5.50,,,,6.75,,,,08/2018,,,,1037,,,,1008,,,,0.2,,,,1037,,,,,,,,,
155,"Consona Holdings, Inc.*",,,Senior loan,,,,L + 6.00,,,,7.25,,,,08/2018,,,,1551,,,,1538,,,,0.2,,,,1551,,,,,,,,,
156,"Document Technologies, LLC  (4)",,,Senior loan,,,,L + 4.25,,,,No Value,(5),,,12/2018,,,,-,,,,(13,,,,-,,,,-,,,,,,,,,
157,"Document Technologies, LLC*",,,Senior loan,,,,L + 4.25,,,,5.50,,,,12/2018,,,,6724,,,,6659,,,,1.0,,,,6724,,,,,,,,,
158,"EAG, INC. (Evans Analytical Group)*",,,Senior loan,,,,L + 4.50,,,,6.00,,,,07/2017,,,,2459,,,,2432,,,,0.4,,,,2459,,,,,,,,,
159,HighJump Acquisition  LLC,,,One stop,,,,L + 7.50,,,,8.75,,,,07/2016,,,,7142,,,,7075,,,,1.1,,,,7142,,,,,,,,,
160,"Integration Appliance,  Inc.",,,Senior loan,,,,P + 7.00,,,,10.25,,,,09/2018,,,,719,,,,709,,,,0.1,,,,709,,,,,,,,,
161,"Integration Appliance,  Inc.",,,Senior loan,,,,P + 7.00,,,,10.25,,,,09/2018,,,,5396,,,,5261,,,,0.8,,,,5315,,,,,,,,,
162,"Marathon Data Operating Co., LLC  (4)",,,One stop,,,,L + 6.25,,,,No Value,(5),,,08/2017,,,,-,,,,(8,,,,-,,,,-,,,,,,,,,
163,"Marathon Data Operating Co., LLC",,,One stop,,,,L + 6.25,,,,7.50,,,,08/2017,,,,4772,,,,4679,,,,0.7,,,,4772,,,,,,,,,
164,MSC.Software Corporation*,,,One stop,,,,L + 7.15,,,,8.40,,,,11/2017,,,,10028,,,,9867,,,,1.5,,,,10028,,,,,,,,,
165,"Navex Global, Inc.  (4)",,,One stop,,,,L + 7.50,,,,No Value,(5),,,12/2016,,,,-,,,,(16,,,,-,,,,(25,,,,,,,,,
166,"Navex Global, Inc.*",,,One stop,,,,L + 7.50,,,,9.00,,,,12/2016,,,,17758,,,,17460,,,,2.7,,,,17403,,,,,,,,,
167,"NetSmart Technologies, Inc.",,,Senior loan,,,,L + 7.50,,,,8.75,,,,12/2017,,,,654,,,,642,,,,0.1,,,,654,,,,,,,,,
168,"NetSmart Technologies, Inc.*",,,Senior loan,,,,L + 7.50,,,,8.75,,,,12/2017,,,,8377,,,,8302,,,,1.3,,,,8377,,,,,,,,,
169,"PC Helps Support,  LLC  (4)",,,Senior loan,,,,L + 5.25,,,,No Value,(5),,,09/2017,,,,-,,,,(2,,,,-,,,,-,,,,,,,,,
170,"PC Helps Support, LLC",,,Senior loan,,,,L + 5.25,,,,6.50,,,,09/2017,,,,2007,,,,1984,,,,0.3,,,,2007,,,,,,,,,
171,"Secure-24, LLC  (4)",,,One stop,,,,L + 7.00,,,,No Value,(5),,,08/2017,,,,-,,,,(6,,,,-,,,,-,,,,,,,,,
172,"Secure-24, LLC*",,,One stop,,,,L + 7.00,,,,8.25,,,,08/2017,,,,10539,,,,10290,,,,1.6,,,,10539,,,,,,,,,
173,"Secure-24, LLC",,,One stop,,,,L + 7.00,,,,8.25,,,,03/2015,,,,1541,,,,1520,,,,0.2,,,,1541,,,,,,,,,
174,"Source Medical Solutions, Inc.",,,Second lien,,,,L + 9.50,,,,10.75,,,,03/2018,,,,9294,,,,9104,,,,1.4,,,,9201,,,,,,,,,
175,"Vericlaim, Inc.  (4)",,,Senior loan,,,,L + 4.75,,,,No Value,(5),,,05/2018,,,,-,,,,(3,,,,-,,,,(4,,,,,,,,,
176,"Vericlaim, Inc.",,,Senior loan,,,,L + 4.75,,,,6.00,,,,05/2018,,,,5822,,,,5795,,,,0.9,,,,5793,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,143891,,,,141838,,,,21.8,,,,143294,,,,,,,,,
178,,,Investment  Type,,Spread Above Index  (1),,Interest Rate  (2),,Maturity Date,,Principal Amount,,Cost,,Percentage of Total  Net Assets,,Fair  Value,,,,,,,,,,,,,,,,,,,,,,,,
179,Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Ecommerce Industries, Inc.  (4)",,,One stop,,,,L + 6.75,,,,No Value,(5),,,10/2016,,,,-,,,,(20,,,,-,,,,-,,,,,,,,,
181,"Ecommerce Industries, Inc.*",,,One stop,,,,L + 8.39,,,,9.64,,,,10/2016,,,,12519,,,,12378,,,,1.9,,,,12519,,,,,,,,,
182,"Entrust, Inc./Entrust Limited*",,,Second lien,,,,L + 9.50,,,,10.75,,,,04/2019,,,,5204,,,,5159,,,,0.7,,,,5204,,,,,,,,,
183,"Entrust, Inc./Entrust Limited*",,,Second lien,,,,L + 9.50,,,,10.75,,,,04/2019,,,,11523,,,,11424,,,,1.8,,,,11523,,,,,,,,,
184,"Rogue Wave Holdings, Inc.*",,,One stop,,,,L + 9.28,,,,10.53,,,,11/2017,,,,7249,,,,7162,,,,1.1,,,,7249,,,,,,,,,
