,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
15,,"Covercraft Parent III, Inc.+",Senior secured,,SF +,4.50,(p),,9.84,,,,,08/2027,,982,,,964,,,-,,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,"Covercraft Parent III, Inc.+",Senior secured,,SF +,4.50,(p),,10.03,,,,,08/2027,,19,,,18,,,-,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,"North Haven Falcon Buyer, LLC+(23)",One stop,,L +,8.00,(b)(c),,9.43,cash/,3.75,PIK,,05/2027,,6199,,,6091,,,0.2,,5455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,"North Haven Falcon Buyer, LLC+(23)",One stop,,L +,4.25,(b)(o),,9.71,,,,,05/2027,,1038,,,1027,,,0.1,,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Polk Acquisition Corp.*#+(23),Senior secured,,SF +,7.00,(n),,10.45,cash/,1.75,PIK,,12/2024,,18060,,,18029,,,0.7,,17698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Polk Acquisition Corp.+(23),Senior secured,,SF +,7.00,(n),,10.45,cash/,1.75,PIK,,12/2024,,30,,,31,,,-,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Polk Acquisition Corp.+(23),Senior secured,,SF +,7.00,(n),,10.45,cash/,1.75,PIK,,12/2024,,107,,,107,,,-,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,41157,,,40819,,,1.6,,,39422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Automobiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,"CG Group Holdings, LLC*#+(23)",One stop,,SF +,8.75,(o),,11.99,cash/,2.00,PIK,,07/2027,,31683,,,31187,,,1.2,,30099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,"CG Group Holdings, LLC+(23)",One stop,,SF +,8.75,(n),,11.85,cash/,2.00,PIK,,07/2026,,343,,,338,,,-,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,"Denali Midco 2, LLC*#+",One stop,,SF +,6.25,(n),,11.45,,,,,12/2027,,42540,,,42222,,,1.7,,41265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"Denali Midco 2, LLC+(5)",One stop,,SF +,6.25,,,N/A(6),,,,,12/2027,,-,,,(  4  ),,,-,,(  15  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(n),,11.45,,,,,12/2027,,196,,,195,,,-,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(n),,11.45,,,,,12/2027,,99,,,98,,,-,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(n),,11.45,,,,,12/2027,,79,,,78,,,-,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(n),,11.45,,,,,12/2027,,79,,,78,,,-,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(n),,11.45,,,,,12/2027,,65,,,65,,,-,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,"Denali Midco 2, LLC+",One stop,,SF +,6.50,(n),,11.70,,,,,12/2027,,971,,,946,,,-,,951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(n),,11.45,,,,,12/2027,,655,,,650,,,-,,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(n),,11.45,,,,,12/2027,,119,,,118,,,-,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(n),,11.45,,,,,12/2027,,113,,,112,,,-,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(n),,11.45,,,,,12/2027,,81,,,81,,,-,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,"Denali Midco 2, LLC+(5)",One stop,,SF +,6.50,,,N/A(6),,,,,12/2027,,-,,,(  14  ),,,-,,(  11  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,"Denali Midco 2, LLC+",One stop,,SF +,6.50,(n),,11.70,,,,,12/2027,,130,,,126,,,-,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,"Denali Midco 2, LLC+",One stop,,SF +,6.50,(n),,11.70,,,,,12/2027,,65,,,63,,,-,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,"Denali Midco 2, LLC+",One stop,,SF +,6.50,(n),,11.70,,,,,12/2027,,221,,,215,,,-,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,JHCC Holdings LLC+,One stop,,SF +,5.50,(o),,10.89,,,,,09/2025,,15196,,,15048,,,0.6,,14512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,JHCC Holdings LLC+,One stop,,SF +,5.50,(o),,10.89,,,,,09/2025,,492,,,488,,,-,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,JHCC Holdings LLC+,One stop,,SF +,5.50,(o),,10.89,,,,,09/2025,,293,,,291,,,-,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,JHCC Holdings LLC+(5),One stop,,SF +,5.50,,,N/A(6),,,,,09/2025,,-,,,(  1  ),,,-,,(  5  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,JHCC Holdings LLC+,One stop,,SF +,5.50,(o),,10.89,,,,,09/2025,,3317,,,3291,,,0.1,,3168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,JHCC Holdings LLC+,One stop,,SF +,6.75,(o),,12.14,,,,,09/2025,,,1111,,,,1091,,,-,,,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,"MOP GM Holding, LLC*#+",One stop,,SF +,5.75,(p),,10.86,,,,,11/2026,,23795,,,23623,,,0.9,,22604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(p),,11.03,,,,,11/2026,,2609,,,2593,,,0.1,,2479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(o),,11.16,,,,,11/2026,,2579,,,2549,,,0.1,,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(p),,11.03,,,,,11/2026,,2559,,,2540,,,0.1,,2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(o),,11.14,,,,,11/2026,,1896,,,1882,,,0.1,,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(p),,10.82,,,,,11/2026,,1559,,,1549,,,0.1,,1481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(p),,11.03,,,,,11/2026,,1437,,,1418,,,0.1,,1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(p),,10.86,,,,,11/2026,,523,,,520,,,-,,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(p),,10.86,,,,,11/2026,,356,,,353,,,-,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(p),,10.86,,,,,11/2026,,146,,,146,,,-,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(o),,11.14,,,,,11/2026,,59,,,59,,,-,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(o)(p),,10.96,,,,,11/2026,,186,,,185,,,-,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,"MOP GM Holding, LLC+(5)",One stop,,SF +,5.75,,,N/A(6),,,,,11/2026,,-,,,(  18  ),,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(p),,10.82,,,,,11/2026,,178,,,177,,,-,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(p),,10.82,,,,,11/2026,,59,,,59,,,-,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,"POY Holdings, LLC#",One stop,,SF +,5.50,(o),,10.89,,,,,11/2027,,9471,,,9331,,,0.4,,9471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,"POY Holdings, LLC+(5)",One stop,,SF +,5.50,,,N/A(6),,,,,11/2027,,-,,,(  3  ),,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,"POY Holdings, LLC+(5)",One stop,,SF +,5.50,,,N/A(6),,,,,11/2027,,-,,,(  1  ),,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,"POY Holdings, LLC+",One stop,,SF +,5.50,(o),,10.89,,,,,11/2027,,81,,,80,,,-,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,"National Express Wash Parent Holdco, LLC+",One stop,,SF +,5.50,(o)(p),,10.89,,,,,07/2029,,4997,,,4954,,,0.2,,4797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,"National Express Wash Parent Holdco, LLC+",One stop,,SF +,5.50,(n),,10.61,,,,,07/2029,,70,,,68,,,-,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,"National Express Wash Parent Holdco, LLC+(5)",One stop,,SF +,5.50,,,N/A(6),,,,,07/2029,,-,,,(  3  ),,,-,,(  15  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,"Quick Quack Car Wash Holdings, LLC*#",One stop,,SF +,6.50,(o),,11.70,,,,,10/2024,,12716,,,12693,,,0.5,,12716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,"Quick Quack Car Wash Holdings, LLC+",One stop,,SF +,6.50,(o),,11.70,,,,,10/2024,,9699,,,9682,,,0.4,,9699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,"Quick Quack Car Wash Holdings, LLC#+",One stop,,SF +,6.50,(o),,11.70,,,,,10/2024,,2295,,,2291,,,0.1,,2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,"Quick Quack Car Wash Holdings, LLC*+",One stop,,SF +,6.50,(o),,11.70,,,,,10/2024,,2004,,,2015,,,0.1,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,"Quick Quack Car Wash Holdings, LLC*+",One stop,,SF +,6.50,(o),,11.70,,,,,10/2024,,1340,,,1346,,,0.1,,1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,"Quick Quack Car Wash Holdings, LLC*+",One stop,,SF +,6.50,(o),,11.70,,,,,10/2024,,1092,,,1090,,,0.1,,1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,"Quick Quack Car Wash Holdings, LLC+",One stop,,SF +,6.50,(o),,11.70,,,,,10/2024,,94,,,91,,,-,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,"Quick Quack Car Wash Holdings, LLC+",One stop,,SF +,6.50,,,N/A(6),,,,,10/2024,,-,,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,"Quick Quack Car Wash Holdings, LLC+(5)",One stop,,SF +,6.50,,,N/A(6),,,,,10/2024,,-,,,(  1  ),,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,"Quick Quack Car Wash Holdings, LLC+",One stop,,SF +,6.50,(o),,11.70,,,,,10/2024,,342,,,339,,,-,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,"Quick Quack Car Wash Holdings, LLC+",One stop,,SF +,6.50,(o),,11.70,,,,,10/2024,,103,,,100,,,-,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,"Quick Quack Car Wash Holdings, LLC+",One stop,,SF +,6.50,(o),,11.70,,,,,10/2024,,3302,,,3278,,,0.1,,3302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,"Quick Quack Car Wash Holdings, LLC+",One stop,,SF +,6.50,(o),,11.70,,,,,10/2024,,95,,,93,,,-,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,"Spotless Brands, LLC+",One stop,,SF +,6.50,(o),,11.72,,,,,07/2028,,8306,,,8166,,,0.3,,8140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,"Spotless Brands, LLC+",One stop,,SF +,6.50,(o),,11.72,,,,,07/2028,,903,,,895,,,-,,885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,"Spotless Brands, LLC+(5)",One stop,,SF +,6.50,,,N/A(6),,,,,07/2028,,-,,,-,,,-,,(  1  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,"Spotless Brands, LLC+",One stop,,SF +,6.50,(o),,11.69,,,,,07/2028,,670,,,664,,,-,,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,"TWAS Holdings, LLC#+",One stop,,SF +,6.25,(n),,11.45,,,,,12/2026,,40154,,,39875,,,1.6,,39350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,"TWAS Holdings, LLC*+",One stop,,SF +,6.25,(n),,11.45,,,,,12/2026,,30333,,,30107,,,1.2,,29726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,"TWAS Holdings, LLC+",One stop,,SF +,6.25,(n),,11.45,,,,,12/2026,,7874,,,7817,,,0.3,,7716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,"TWAS Holdings, LLC+",One stop,,SF +,6.25,(n),,11.45,,,,,12/2026,,605,,,600,,,-,,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,"TWAS Holdings, LLC+",One stop,,SF +,6.25,(n),,11.45,,,,,12/2026,,384,,,381,,,-,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,"TWAS Holdings, LLC+(5)",One stop,,SF +,6.25,,,N/A(6),,,,,12/2026,,-,,,(  3  ),,,-,,(  7  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,272719,,,270342,,,10.5,,264935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,Beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,"Financial Information Technologies, LLC+",One stop,,SF +,6.50,(o),,11.74,,,,,06/2030,,,22622,,,,22396,,,0.9,,,22396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,"Financial Information Technologies, LLC+(23)",One stop,,No Value,,,,14.00,PIK,,,,06/2031,,10800,,,10476,,,0.4,,10476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,"Financial Information Technologies, LLC+(5)",One stop,,SF +,6.50,,,N/A(6),,,,,06/2030,,-,,,-,,,-,,(  1  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,"Watermill Express, LLC+",One stop,,SF +,5.00,(o),,10.39,,,,,04/2027,,2227,,,2213,,,0.1,,2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,"Watermill Express, LLC+",One stop,,SF +,5.00,(n)(o),,10.23,,,,,04/2027,,12,,,11,,,-,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,"Watermill Express, LLC+",One stop,,SF +,5.00,(o),,10.39,,,,,04/2027,,215,,,214,,,-,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,"Winebow Holdings, Inc.+",One stop,,SF +,6.25,(n),,11.45,,,,,07/2025,,7740,,,7684,,,0.3,,7740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,43616,,,42994,,,1.7,,43065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,"North Haven Stack Buyer, LLC+",One stop,,SF +,5.50,(n),,10.75,,,,,07/2027,,,71,,,,59,,,-,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,"North Haven Stack Buyer, LLC+",One stop,,SF +,5.50,(o),,10.70,,,,,07/2027,,44,,,43,,,-,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,"North Haven Stack Buyer, LLC#",One stop,,SF +,5.50,(o),,10.70,,,,,07/2027,,2931,,,2911,,,0.1,,2872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,"North Haven Stack Buyer, LLC#",One stop,,SF +,5.50,(o),,10.70,,,,,07/2027,,967,,,960,,,0.1,,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,"North Haven Stack Buyer, LLC+",One stop,,SF +,5.50,(n)(o),,10.72,,,,,07/2027,,971,,,964,,,-,,951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,Profile Products LLC+,One stop,,SF +,5.75,(o),,11.10,,,,,11/2027,,6309,,,6209,,,0.3,,6183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,Profile Products LLC+(8),One stop,,SF +,5.75,(o),,10.92,,,,,11/2027,,1279,,,1260,,,-,,1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,Profile Products LLC+,One stop,,SF +,5.75,(d)(n),,11.57,,,,,11/2027,,42,,,42,,,-,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,Profile Products LLC+(5),One stop,,SF +,5.75,,,N/A(6),,,,,11/2027,,-,,,-,,,-,,(  1  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,"PT Intermediate Holdings III, LLC+",One stop,,SF +,5.98,(o),,11.37,,,,,11/2028,,29300,,,28891,,,1.1,,28494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
