,Industry / Company,Interest Rate (20),Par/Shares (12),Cost (26),Fair Value (1)(27),,
219,Gossamer,,,,,,
220,"GB001, Inc.","9.00 (1M L+700, 2.00 Floor)",6000,5988,6097,(9)(17),
221,Health & Safety Institute,,,,,,
222,"HSI Halo Acquisition, Inc.","6.75 (3M L+575, 1.00 Floor)",9004,8904,8840,(9),
223,IMA Group,,,,,,
224,"IMA Group Management Company, LLC","6.50 (6M L+550, 1.00 Floor)",5087,5052,4781,,
225,Kindeva,,,,,,
226,Kindeva Drug Delivery L.P.,"7.00 (6M L+600, 1.00 Floor)",1824,1784,1808,(9),
227,KureSmart,,,,,,
228,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",133 Shares,135,(9)(13),,,
229,"Kure Pain Holdings, Inc.","6.50 (1M L+550, 1.00 Floor)",21936,21695,21468,(9),
230,"Lanai Holdings III, Inc. (Patterson Medical)",,,,,,
231,"Lanai Holdings III, Inc.","11.50 (3M L+1050 PIK, 1.00 Floor)",18725,18528,16557,,
232,Mannkind Corporation,,,,,,
233,Mannkind Corporation,"8.75 (1M L+675, 2.00 Floor)",17334,17210,17899,(9),
234,"Maxor National Pharmacy Services, LLC",,,,,,
235,"Maxor National Pharmacy Services, LLC","6.50 (3M L+550, 1.00 Floor)",23644,23360,23331,(9),
236,Medical Guardian,,,,,,
237,"Medical Guardian, LLC","9.50 (1M L+850, 1.00 Floor)",28571,28114,28357,(9),
238,Orchard,,,,,,
239,Orchard Therapeutics plc,"7.00 (1M L+600, 1.00 Floor)",8333,8305,8347,(9)(17),
240,Ovation Fertility,,,,,,
241,"FPG Services, LLC","6.50 (3M L+550, 1.00 Floor)",13937,13737,13630,(9),
242,"Partner Therapeutics, Inc",,,,,,
243,"Partner Therapeutics, Inc","7.65 (1M L+665, 1.00 Floor)",10000,9924,9975,(9),
244,PHS,,,,,,
245,"PHS Buyer, Inc.","6.25 (3M L+525, 1.00 Floor)",10203,10046,9897,(9),
246,Radius Health,,,,,,
247,"Radius Health, Inc.","7.75 (1M L+575, 2.00 Floor)",7500,7483,7718,(9)(17),
248,RHA Health Services,,,,,,
249,"Pace Health Companies, LLC","5.50 (3M L+450, 1.00 Floor)",543,536,537,(9),
250,Rigel Pharmaceuticals,,,,,,
251,"Rigel Pharmaceuticals, Inc.","7.15 (1M L+565, 1.50 Floor)",6000,6007,6008,(9),
252,"RiteDose Holdings I, Inc.",,,,,,
253,"RiteDose Holdings I, Inc.","7.50 (2M L+650, 1.00 Floor)",13883,13679,13883,(9),
254,High Tech Industries,,,,,,
255,Acronis AG,,,,,,
256,Acronis AG,"7.85 (1M L+635, 1.50 Floor)",21000,20917,20654,(9)(17),
257,American Megatrends,,,,,,
258,AMI US Holdings Inc.,"6.50 (1M L+550, 1.00 Floor)",21706,21398,21641,(9),
259,"Calero Holdings, Inc.",,,,,,
260,"Telesoft Holdings, LLC","6.75 (3M L+575, 1.00 Floor)",22557,22136,22097,,
261,ChargePoint,,,,,,
262,"ChargePoint, Inc.","7.80 (1M L+655, 1.25 Floor)",10500,10448,10810,(9),
263,ChyronHego Corporation,,,,,,
264,ChyronHego Corporation (5),"6.00 (3M L+500, 1.00 Floor)",84100,81183,81577,,
265,GoHealth,,,,,,
266,"Norvax, LLC","7.50 (3M L+650, 1.00 Floor)",31419,30800,31505,(9),
267,"International Cruise & Excursion Gallery, Inc.",,,,,,
268,"International Cruise & Excursion Gallery, Inc.","6.25 (3M L+525, 1.00 Floor)",14625,14438,13285,,
269,LabVantage Solutions,,,,,,
270,LabVantage Solutions Inc.,"8.50 (1M L+750, 1.00 Floor)",7938,7926,7938,,
271,LabVantage Solutions Limited,"8.50 (1M E+750, 1.00 Floor)",€,8735,9387,10688,(17)
272,Magnitude Software,,,,,,
273,New Amsterdam Software BidCo LLC,"6.00 (3M L+500, 1.00 Floor)",6813,6709,6643,(9),
274,MYCOM,,,,,,
275,Magnate Holding Corp.,"7.75 (3M L+625 plus 1.00 PIK, 0.50 Floor)",17768,17604,14094,(9)(17),
276,"Omnitracs, LLC",,,,,,
277,"Omnitracs, LLC",0.375 Unfunded,3750,(150),(336),(8)(21)  (23),
278,Schlesinger Group,,,,,,
279,"Schlesinger Global, LLC","7.00 (3M L+600, 1.00 Floor)",9911,9703,9564,(9),
280,Simeio,,,,,,
281,"Simeio Group Holdings, Inc.","6.25 (1M L+525, 1.00 Floor)",8589,8480,8503,(9),
282,Sirsi Corporation,,,,,,
283,Sirsi Corporation,"5.75 (1M L+475, 1.00 Floor)",6540,6477,6425,(9),
284,Springbrook,,,,,,
285,"Springbrook Holding Company, LLC","6.75 (3M L+575, 1.00 Floor)",9779,9636,9616,,
286,Tax Slayer,,,,,,
287,"MEP-TS Midco, LLC","7.50 (3M L+650, 1.00 Floor)",34,34,33,(9),
288,Telnyx,,,,,,
289,Telnyx LLC,"7.75 (1M L+625, 1.50 Floor)",5250,5206,5198,(9),
290,Insurance,,,,,,
291,PGM Holdings Corporation,,,,,,
292,"Turbo Buyer, Inc.","6.25 (6M L+525, 1.00 Floor)",13947,13658,13806,(9),
293,PIB Group,,,,,,
294,Ivy Finco Limited,5.83 (6M GBPL+575),£,8836,11004,11876,(9)(17)
295,Relation Insurance,,,,,,
296,"AQ Sunshine, Inc.","7.00 (6M L+600, 1.00 Floor)",18571,18304,18378,(9),
297,"Manufacturing, Capital Equipment",,,,,,
298,"AVAD, LLC",,,,,,
299,AVAD Canada Ltd.,"5.00 (1M L+400, 1.00 Floor)",367,367,365,(9)(23),
300,"AVAD, LLC","8.75 (1M L+775, 1.00 Floor)",7883,7794,6602,(9),
301,Kauffman,,,,,,
302,"Kauffman Holdco, LLC","250,000 Shares",54,(9)(13),,,
303,"Kauffman Intermediate, LLC","7.50 (3M L+650, 1.00 Floor)",16708,16465,15935,(9),
304,MedPlast Holdings Inc.,,,,,,
305,MedPlast Holdings Inc.,7.90 (1M L+775),8000,7945,7574,,
306,Media – Diversified & Production,,,,,,
307,New Wave Entertainment,,,,,,
308,"NW Entertainment, Inc.","10.00 (3M L+700 Cash plus 2.00 PIK, 1.00 Floor)",26187,25813,24833,(9),
309,Nitro World Entertainment,,,,,,
310,NWE OPCO LP,"8.50 (1M L+650, 2.00 Floor)",4876,4860,4749,(9),
311,Sonar Entertainment,,,,,,
312,"Sonar Entertainment, Inc.","8.85 (1M L+760, 1.25 Floor)",7151,7115,6779,(9),
313,Retail,,,,,,
314,IPS,,,,,,
315,"SI Holdings, Inc.","6.75 (1M L+575, 1.00 Floor)",31403,30913,30737,(9),
316,Rapid Displays,,,,,,
317,Rapid Displays Acquisition Corporation,"6.00 (3M L+500, 1.00 Floor)",11192,11027,10776,(9),
318,Telecommunications,,,,,,
319,IPC Corporation,,,,,,
320,IPC Corporation,5.21 (3M L+500),10000,9982,9139,(9),
321,IPC Information Systems UK Holdings Limited,"8.00 (3M L+650, 1.50 Floor)",1405,1384,1335,(9)(17),
322,"Securus Technologies Holdings, Inc.",,,,,,
323,"Securus Technologies Holdings, Inc.","9.25 (6M L+825, 1.00 Floor)",12878,12800,11075,,
324,"Transportation – Cargo, Distribution",,,,,,
325,"Dynamic Product Tankers (Prime), LLC",,,,,,
326,"Dynamic Product Tankers, LLC (5)",5.31 (6M L+500),22000,22000,22000,(17),
327,Heniff and Superior,,,,,,
328,"Heniff Holdco, LLC","6.75 (1M L+575, 1.00 Floor)",30842,30300,29263,(9),
329,MSEA Tankers LLC,,,,,,
330,MSEA Tankers LLC (5),59131,(17)(18)  (25),,,,
331,Wholesale,,,,,,
332,Banner Solutions,,,,,,
333,"Banner Buyer, LLC","6.75 (1M L+575, 1.00 Floor)",41,41,41,(9),
334,"Banner Parent Holdings, Inc","5,000 Shares",489,(9)(13),,,
335,Total Investments before Cash Equivalents,2760361,,,,,
