,INVESTMENTS IN NON-CONTROLLED/NON-  AFFILIATED INVESTMENTS 0 143.9,Industry,Par Amount,Cost,Fair_Value
50,"SquareTwo Financial Corp. (Collect America, Ltd.), 11.625, 4/01/17 ‡",Finance,51079,49432,52037
51,"TransFirst Holdings Inc., L+9.75, 6/27/18",Financial Services,61250,59476,62858
52,"U.S. Renal Care, Inc., L+900, 1/03/20",Healthcare,4910,4818,5008
53,"Valerus Compression Services, LP, 11.50, 3/26/18",Manufacturing,40000,40000,41200
54,"Vertafore, Inc., L+825, 10/29/17",Business Services,49260,48901,50615
58,"Advantage Sales & Marketing, Inc.,  13.00, 12/31/18",Grocery,25000,25000,25000
59,"Altegrity, Inc., 0.00, 8/02/16   ̈  †",Diversified  Service,3545,2358,1524
60,"Altegrity, Inc., 11.75, 5/01/16   ̈  †",Diversified  Service,14639,11885,10394
61,"Altegrity, Inc., 12.00, 11/01/15   ̈  †",Diversified  Service,100000,100000,89000
62,"American Tire Distributors, Inc.,  11.50, 06/01/18   ̈",Distribution,25000,25000,26300
63,"Angelica Corporation, 15.00 (12.00 Cash/3.00 PIK), 10/15/16",Healthcare,46284,46284,47210
64,"ATI Acquisition Company, P+1400 (P+10.00 Cash/4.00 PIK), 12/30/15 ***",Education,45153,37867,0
65,"BCA Osprey II Limited (British Car Auctions), 12.50 PIK, 8/17/17 ‡",Transportation,25609,40643,36359
66,"BCA Osprey II Limited (British Car Auctions), 12.50 PIK, 8/17/17 ‡",Transportation,15528,21507,18643
67,"Ceridian Corp., 12.25 Cash or 13.00 PIK,  11/15/15 †",Diversified  Service,80950,80892,83803
68,"Ceridian Corp., 11.25, 11/15/15 †",Diversified  Service,35800,35812,37023
69,"Ceridian Corp., 11.00, 3/15/21   ̈  †",Diversified  Service,67500,67500,72731
70,"Delta Educational Systems, Inc., 16.00 (10.00 Cash/ 6 PIK), 5/12/17",Education,20430,20024,19143
71,"Denver Parent (Venoco, Inc.), 18.00, 10/03/15   ̈",Energy,20000,20000,23400
72,"Exova Limited, 10.50, 10/15/18   ̈  ‡ †",Business  Services,10000,16013,16627
73,"Exova Limited, 10.50, 10/15/18 ‡†",Business  Services,12655,17116,21041
74,"First Data Corporation, 11.25, 1/15/21   ̈  †",Financial  Services,67000,66975,69868
75,"First Data Corporation, 10.625 06/15/21 †×",Financial  Services,10000,10000,10150
76,"Intelsat Bermuda Ltd., 11.25, 2/04/17 ‡",Broadcasting &  Entertainment,44000,45153,46877
77,"Intelsat Bermuda Ltd., 11.50 Cash or 12.50 PIK, 2/04/17   ̈  ‡",Broadcasting &  Entertainment,20000,20035,21250
78,"inVentiv Health, Inc., 11.00, 8/15/18   ̈",Healthcare,160000,160000,139200
80,"Laureate Education, Inc.,  12.75, 8/15/17   ̈  ‡",Education,53540,55012,57823
81,"Lonestar Intermediate Super Holdings (Asurion), LLC, L+950, 9/02/19",Insurance,41922,41776,45223
82,"Molycorp Inc., 10.00, 6/01/20 ‡",Precious Metals &  Minerals,5158,4990,5123
83,"Niacet Corp., 13.00, 8/28/18",Chemicals,12500,12500,12500
84,"SeaCube Container Leasing Ltd.,  11.00, 4/28/16 ‡",Transportation,50000,50000,51500
85,"Univar Inc., 10.50, 6/30/18",Distribution,20000,20000,20000
86,"U.S. Security Associates Holdings, Inc., 11.00, 7/28/18",Business Services,135000,135000,139455
87,"Varietal Distribution, 10.75, 6/30/17   ̈  †",Distribution,5187,6385,6994
88,"Varietal Distribution, 10.75, 6/30/17   ̈  †",Distribution,22204,21837,23328
92,"Westbrook CLO Ltd., Series 2006-1A Class E, L+370, 12/20/20 ‡   ̈",Finance,11000,7367,9625
96,"CA Holding, Inc. (Collect America, Ltd.),  Series A ** ‡",Finance,7961,788,1592
97,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 13.50 PIK, 05/12/14 ***",Education,12360,27685,7208
98,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 12.50 PIK, (Convertible) ***",Education,332500,6863,0
99,"Varietal Distribution Holdings, LLC, Class A, 8.00 PIK",Distribution,3097,4885,2750
103,Accelerate Parent Corp. (American Tire  Distributors) **,Distribution,3125000,3125,4160
104,AHC Mezzanine LLC (Advanstar) **,Media,0,1063,242
105,Altegrity Holding Corp. **,Diversified Service,353399,13797,1111
106,"Aventine Renewable Energy  Holdings, Inc. **",Chemicals,262036,4684,2347
108,"CA Holding, Inc. (Collect America, Ltd.)  Series A ** ‡",Finance,25000,2500,2498
109,"CA Holding, Inc. (Collect America, Ltd.)  Series AA ** ‡",Finance,4294,429,859
110,"Clothesline Holdings, Inc. (Angelica  Corporation) **",Healthcare,6000,6000,3059
111,Explorer Coinvest LLC (Booz Allen) ** ‡,Consulting Services,430,3322,5319
112,"Garden Fresh Restaurant Holding, LLC **",Retail,50000,5000,0
113,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.) **",Education,17500,175,0
114,"GS Prysmian Co-Invest L.P. (Prysmian Cables & Systems) (2,3) ** ‡",Manufacturing,0,0,123
115,JV Note Holdco LLC (DSI Renal Inc.) **,Healthcare,9303,85,91
116,"Pelican Energy, LLC ** ‡",Energy,0,138,146
117,"Penton Business Media Holdings, LLC **",Printing & Publishing,124,4950,15778
118,"RC Coinvestment, LLC (Ranpak Corp.) **",Packaging,50000,5000,8233
119,"Sorenson Communications Holdings, LLC  Class A **",Consumer Products,454828,45,1990
120,Univar Inc.**,Distribution,900000,9000,11520
121,"Varietal Distribution Holdings, LLC Class A **",Distribution,28028,28,0
125,"CA Holding, Inc. (Collect America, Ltd.), Common ** ‡",Finance,7961,8,0
126,"Fidji Luxco (BC) S.C.A., Common (FCI)(2) ** ‡",Electronics,24862,250,5788
127,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Common **",Education,9820,98,0
128,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class A-1 Preferred **",Education,45947,459,0
129,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class B-1 Preferred **",Education,104314,1043,0
130,"Osage Exploration & Development, Inc. ** ‡",Energy,1496843,0,1841
131,"Spotted Hawk Development LLC, Common ** ‡",Energy,54545,852,1644
