,Industry / Company,Interest Rate (20),Par/Shares (12),Cost (29),Fair Value (1)(30),,
36,TNT Crust LLC,,,,,,
37,TNT Crust LLC,"7.75 (3M L+675, 1.00 Floor)",26341,25967,25814,(9),
38,Turkey Hill,,,,,,
39,IC Holdings LLC,169 Shares,418,(9)(13),,,
40,THLP CO. LLC,"6.50 (1M L+550, 1.00 Floor)",19562,19257,19366,(9),
41,Business Services,,,,,,
42,Access Information,,,,,,
43,"Access CIG, LLC",7.91 (1M L+775),15900,15798,15695,,
44,Ambrosia Buyer Corp.,,,,,,
45,Ambrosia Buyer Corp.,"9.00 (6M L+800, 1.00 Floor)",21429,21099,16646,,
46,AML Rightsource,,,,,,
47,"Gabriel Partners, LLC","7.25 (1M L+625, 1.00 Floor)",8004,7805,7804,(9),
48,Claritas,,,,,,
49,"Claritas, LLC","7.00 (3M L+600, 1.00 Floor)",3795,3770,3748,(9),
50,Continuum,,,,,,
51,"Continuum Global Solutions, LLC","6.50 (1M L+550, 1.00 Floor)",3509,3509,3422,(9)(23),
52,"CT Technologies Intermediate Holdings, Inc",,,,,,
53,"CT Technologies Intermediate Holdings, Inc","10.00 (1M L+900, 1.00 Floor)",31253,30887,29690,(9),
54,Education Personnel,,,,,,
55,Arthur Bidco Limited,"5.25 (3M GBPL+475, 0.50 Floor)",£,4035,5149,4945,(9)(17)
56,Electro Rent Corporation,,,,,,
57,Electro Rent Corporation,"10.00 (3M L+900, 1.00 Floor)",34235,33608,33379,(9),
58,Elo Touch,,,,,,
59,TGG TS Acquisition Company,0.50 Unfunded,1750,0,(61),(8)(21)  (23),
60,Ensemble Health,,,,,,
61,"EHL Merger Sub, LLC",0.25 Unfunded,4155,(292),(202),(8)(21)  (23),
62,Jacent,,,,,,
63,Jacent Strategic Merchandising,"6.75 (3M L+575, 1.00 Floor)",22466,22225,21373,(9),
64,"JSM Equity Investors, L.P.",114 Shares,11,(9)(13)  (28),,,
65,Jones & Frank,,,,,,
66,"JF Acquisition, LLC","6.50 (12M L+550, 1.00 Floor)",13139,12936,12902,(9),
67,MAKS,,,,,,
68,Trident Bidco Limited,"7.25 (6M L+625, 1.00 Floor)",35000,34105,33908,(9)(17),
69,McLarens,,,,,,
70,Margaux Acquisition Inc.,"6.75 (3M L+575, 1.00 Floor)",22285,22041,21820,(9),
71,Margaux UK Finance Limited,"6.50 (3M GBPL+575, 1.00 Floor)",£,5866,7308,7437,(9)(17)
72,"Newscycle Solutions, Inc.",,,,,,
73,"Newscycle Solutions, Inc.","8.00 (3M L+700, 1.00 Floor)",15510,15335,15045,(9),
74,"PSI Services, LLC",,,,,,
75,"Lifelong Learner Holdings, LLC","6.75 (3M L+575, 1.00 Floor)",32700,32120,30679,(9),
76,"RA Outdoors, LLC (Active Outdoors)",,,,,,
77,"RA Outdoors, LLC","5.75 (6M L+475, 1.00 Floor)",6559,6485,6428,(9),
78,Soliant,,,,,,
79,"Soliant Holdings, LLC","6.50 (1M L+550, 1.00 Floor)",17973,17652,17454,(9),
80,"Soliant Health, Inc.",300 Shares,289,(9)(13)  (28),,,
81,"Transplace Holdings, Inc.",,,,,,
82,"Transplace Holdings, Inc.","9.75 (6M L+875, 1.00 Floor)",8599,8463,8255,,
83,US Legal Support,,,,,,
84,"US Legal Support Investment Holdings, LLC","631,972 Shares",442,(9)(13),,,
85,"USLS Acquisition, Inc.","6.75 (6M L+575, 1.00 Floor)",19747,19473,18385,(9),
86,"Chemicals, Plastics & Rubber",,,,,,
87,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,
88,Carbonfree Chemicals Holdings LLC (4),"2,288 Shares",24895,(13)(28),,,
89,Carbonfree Chemicals SA LLC (4),"3,152 Shares",0,(13)(28),,,
90,Niacet Corporation,,,,,,
91,"Hare Bidco, Inc.","9.75 (3M E+875, 1.00 Floor)",€,11351,12147,13244,
92,"Westfall Technik, Inc.",,,,,,
93,"Westfall Technik, Inc.","7.25 (1M L+625, 1.00 Floor)",15227,15019,14565,(9),
94,Construction & Building,,,,,,
95,Englert,,,,,,
96,"Gutter Buyer, Inc.","6.75 (1M L+575, 1.00 Floor)",28089,27687,27502,(9),
97,"Gutter Holdings, LP",500 Shares,998,(9)(13),,,
98,Consumer Goods – Durable,,,,,,
99,A&V,,,,,,
100,"A&V Holdings Midco, LLC","6.38 (3M L+538, 1.00 Floor)",143,142,134,,
101,"Hayward Industries, Inc.",,,,,,
102,"Hayward Industries, Inc.",8.40 (1M L+825),21919,21714,21559,,
103,KDC,,,,,,
104,KDC US Holdings,0.25 Unfunded,5894,0,(200),(8)(21)  (23),
105,"KLO Holdings, LLC",,,,,,
106,1244311 B.C. Ltd. (4),"6.00 (1M L+500 PIK, 1.00 Floor)",1000,1000,941,(17),
107,9357-5991 Quebec Inc. (4),11.25 (3M L+775 Cash plus 2.00 PIK),3763,0,0,(13)(14),
108,KLO Acquisition LLC (4),11.25 (3M L+775 Cash plus 2.00 PIK),5657,4808,0,(13)(14),
109,Liqui-Box,,,,,,
110,"Liqui-Box Holdings, Inc.","5.50 (3M L+450, 1.00 Floor)",1661,1662,1640,(23),
111,NSi Industries,,,,,,
112,"Wildcat BuyerCo, Inc.","6.50 (3M L+550, 1.00 Floor)",7210,7000,7009,,
113,Wildcat Parent LP,"1,070 Shares",114,(13)(28),,,
114,"Sorenson Holdings, LLC",,,,,,
115,"Sorenson Holdings, LLC",587 Shares,475,(10)(13),,,
116,Consumer Goods – Non-durable,,,,,,
117,3D Protein,,,,,,
118,"Protein For Pets Opco, LLC","6.00 (3M L+500, 1.00 Floor)",11487,11304,11257,(9),
119,Beauty Industry Group (BIG),,,,,,
120,"BIG Buyer, LLC","7.50 (6M L+650, 1.00 Floor)",22255,21843,21901,(9),
121,Dan Dee,,,,,,
122,"Project Comfort Buyer, Inc.",9.25 (P+600),347,340,329,(9),
123,DMC,,,,,,
124,Lion Cashmere Midco Limited,"6.50 (6M L+550, 1.00 Floor)",13053,12882,12284,(9)(17),
125,LashCo,,,,,,
126,"Lash OpCo, LLC","9.25 (P+600, 1.00 Floor)",6803,6634,6633,(9),
127,Olaplex,,,,,,
128,"Olaplex, Inc.","7.50 (1M L+650, 1.00 Floor)",12457,12238,12287,(9),
129,"Sequential Brands Group, Inc.",,,,,,
130,"Sequential Brands Group, Inc.","9.75 (1M L+875, 1.00 Floor)",12922,12850,12293,(17),
131,Consumer Services,,,,,,
132,Clarus Commerce,,,,,,
133,"Marlin DTC-LS Midco 2, LLC","6.50 (6M L+550, 1.00 Floor)",9199,9071,8966,,
134,First Heritage,,,,,,
135,"First Heritage Credit, LLC",4.91 (1M L+475),16500,16417,16223,(9),
136,Only About Children,,,,,,
137,Nemo (BC) Bidco Pty Ltd,"6.75 (6M BBSW+575, 1.00 Floor)",A$,6768,4930,4608,(17)
138,Paper Source,,,,,,
139,"Paper Source, Inc.","8.00 (3M L+700, 1.00 Floor)",11471,11303,9062,(9),
140,"Pinstripe Holdings, LLC",,,,,,
141,"Pinstripe Holdings, LLC",6.27 (6M L+600),6895,6796,6643,,
142,The Club Company,,,,,,
143,Eldrickco Limited,"6.75 (6M GBPL+625, 0.50 Floor)",£,10619,13288,12808,(9)(17)
144,"Tidewater Consumer Receivables, LLC",,,,,,
145,"Tidewater Consumer Receivables, LLC",10.90 (1M L +1075),2608,2591,2582,(9)(17),
146,US Auto,,,,,,
147,"U.S. Auto Finance, Inc.","6.25 (3M L+525, 1.00 Floor)",10279,10270,10164,(9),
148,"Containers, Packaging & Glass",,,,,,
149,"TricorBraun Holdings, Inc.",,,,,,
150,"TricorBraun Holdings, Inc.",0.38 Unfunded,5625,(118),(29),(8)(21)  (23),
151,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,
152,Celink,,,,,,
153,Compu-Link Corporation,0.50 Unfunded,2273,(38),(64),(8)(9)  (21)(23),
154,"Peer Advisors, LLC","6.50 (1M L+550, 1.00 Floor)",19943,19611,19383,(9),
155,"Exeter Property Group, LLC",,,,,,
156,"Exeter Property Group, LLC",4.66 (1M L+450),4575,4526,4481,(9),
157,"Flock Financial, LLC",,,,,,
158,"Flock SPV I, LLC",7.50 (1M L+650),14000,13962,13801,(9)(17),
159,Golden Bear,,,,,,
160,"Golden Bear 2016-R, LLC (4)",09/20/42,9265,(3)(17),,,
161,"Purchasing Power, LLC",,,,,,
162,"Purchasing Power Funding I, LLC",6.66 (1M L+650),8316,8316,8213,(9)(23),
163,"Taupo River II, LLC",,,,,,
164,"Taupo River II, LLC","6.25 (3M L+525, 1.00 Floor)",815,814,815,(9)(17),
165,"Ten-X, LLC",,,,,,
166,"Ten-X, LLC",3.40 (1M L+325),4680,4512,4424,(23),
167,Education,,,,,,
168,NFA Group,,,,,,
169,SSCP Spring Bidco Limited,"6.75 (6M GPBL+625, 0.50 Floor)",£,30000,36077,38028,(9)(17)
170,Energy – Electricity,,,,,,
171,"AMP Solar Group, Inc.",,,,,,
172,"AMP Solar Group, Inc. (4)","243,646 Shares",8570,(13)(17)  (28),,,
173,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,
174,"AIC SPV Holdings II, LLC (4)","534,375 Shares",412,(17)(15)  (28),,,
175,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)","1,505,868 Shares",3544,(13)(28),,,
176,Renew JV LLC (4),"771,449 Shares",905,(13)(17)  (28),,,
177,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,
178,Solarplicity UK Holdings Limited,4.00,£,5562,7637,2210,(13)(14)  (17)
179,Energy – Oil & Gas,,,,,,
180,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,
181,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",10.00 PIK,39135,36926,10333,(13)(14),
182,Pelican,,,,,,
183,"Pelican Energy, LLC (4)","1,444 Shares",2170,(13)(16)  (17)(28),,,
184,Spotted Hawk,,,,,,
185,"SHD Oil & Gas, LLC (5)",12.00,24728,24728,25470,,
186,Environmental Industries,,,,,,
187,Denali,,,,,,
188,"Dispatch Acquisition Holdings, LLC","6.50 (3M L+550, 1.00 Floor)",16557,16223,16237,(9),
189,Ortega National Parks,,,,,,
190,"Ortega National Parks, LLC","6.25 (6M L+525, 1.00 Floor)",11662,11468,11151,(9),
191,Food & Grocery,,,,,,
192,Bumble Bee Foods S.À R.L.,,,,,,
193,Connors Bros Clover Leaf Seafoods Company,01/31/24,0,0,,,
194,Bumble Bee Holdings Inc,01/31/24,0,0,,,
195,Tonos US LLC,"8.75 (3M L+725, 1.50 Floor)",9454,9561,9454,,
196,Healthcare & Pharmaceuticals,,,,,,
197,"Altasciences, Inc.",,,,,,
198,9360-1367 Quebec Inc.,"7.25 (3M L+625, 1.00 Floor)",2826,2797,2762,(9)(17),
199,"Altasciences US Acquistion, Inc.","7.25 (3M L+625, 1.00 Floor)",5965,5898,5831,(9),
200,American Veterinary Group,,,,,,
201,AVG Intermediate Holdings LLC,"9.75 (1M L+825, 1.50 Floor)",13225,13026,13101,(9),
202,AmeriVet,,,,,,
203,"Amerivet Partners Management, Inc.","7.25 (3M L+625, 1.00 Floor)",695,687,687,(9),
204,Amerivet Partners Parent LP,13 Shares,198,(9)(13)  (28),,,
205,Analogic,,,,,,
206,Analogic Corporation,"6.25 (1M L+525, 1.00 Floor)",18124,17841,17761,(9),
207,"BioClinica Holding I, LP",,,,,,
208,"BioClinica Holding I, LP","9.25 (1M L+825, 1.00 Floor)",24612,24330,23778,,
209,BK Medical,,,,,,
210,"BK Medical Holding Company, Inc.","6.25 (1M L+525, 1.00 Floor)",7268,7207,7134,(9),
211,CARE Fertility,,,,,,
212,Royton Bidco Limited,"6.75 (6M GBPL+625, 0.50 Floor)",£,17363,22068,21546,(9)(17)
213,Cerus,,,,,,
214,Cerus Corporation,"7.25 (1M L+545, 1.80 Floor)",12000,11958,12360,(9)(17),
215,Dohmen Life Science Services,,,,,,
216,"LSCS Holdings, Inc",8.61 (6M L+825),19818,19501,19123,,
217,Emmes Corporation,,,,,,
218,"Emmes Blocker, Inc.",306 Shares,418,(9)(13),,,
219,"The Emmes Company, LLC","6.09 (6M L+500, 1.00 Floor)",12061,11928,11760,(9),
220,"Genesis Healthcare, Inc.",,,,,,
221,"Genesis Healthcare, Inc.","6.50 (1M L+600, 0.50 Floor)",25000,24817,24605,(9),
222,Gossamer,,,,,,
223,"GB001, Inc.","9.00 (1M L+700, 2.00 Floor)",6000,5981,6120,(9)(17),
224,Health & Safety Institute,,,,,,
225,"HSI Halo Acquisition, Inc.","6.75 (1M L+575, 1.00 Floor)",6366,6312,6181,(9),
226,IMA Group,,,,,,
227,"IMA Group Management Company, LLC","6.50 (6M L+550, 1.00 Floor)",5100,5062,4794,,
228,Kindeva,,,,,,
229,Kindeva Drug Delivery L.P.,"7.00 (6M L+600, 1.00 Floor)",1829,1786,1808,(9),
230,KureSmart,,,,,,
231,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",133 Shares,121,(9)(13),,,
232,"Kure Pain Holdings, Inc.","6.50 (1M L+550, 1.00 Floor)",21991,21733,21134,(9),
233,"Lanai Holdings III, Inc. (Patterson Medical)",,,,,,
234,"Lanai Holdings III, Inc.","11.50 (3M L+1050 PIK, 1.00 Floor)",18241,18025,15806,,
235,Mannkind Corporation,,,,,,
236,Mannkind Corporation,"8.75 (1M L+675, 2.00 Floor)",13867,13813,14193,(9),
237,"Maxor National Pharmacy Services, LLC",,,,,,
238,"Maxor National Pharmacy Services, LLC","6.50 (3M L+550, 1.00 Floor)",23649,23341,23306,(9),
239,Medical Guardian,,,,,,
240,"Medical Guardian, LLC","9.50 (1M L+850, 1.00 Floor)",34286,33702,33881,(9),
241,Orchard,,,,,,
242,Orchard Therapeutics plc,"7.00 (1M L+600, 1.00 Floor)",8333,8303,8323,(9)(17),
243,Ovation Fertility,,,,,,
244,"FPG Services, LLC","6.50 (3M L+550, 1.00 Floor)",12474,12278,12113,(9),
245,"Partner Therapeutics, Inc",,,,,,
246,"Partner Therapeutics, Inc","7.65 (1M L+665, 1.00 Floor)",10000,9915,10025,(9),
247,PHS,,,,,,
248,"PHS Buyer, Inc.","6.25 (3M L+525, 1.00 Floor)",10203,10036,9897,(9),
249,ProPharma,,,,,,
250,"ProPharma Group Intermediate, LLC","6.25 (1M L+575, 0.50 Floor)",€,6308,7149,7398,
251,Radius Health,,,,,,
252,"Radius Health, Inc.","7.75 (1M L+575, 2.00 Floor)",3000,2994,3033,(9)(17),
253,RHA Health Services,,,,,,
254,"Pace Health Companies, LLC","5.50 (3M L+450, 1.00 Floor)",545,537,536,(9),
255,Rigel Pharmaceuticals,,,,,,
256,"Rigel Pharmaceuticals, Inc.","7.15 (1M L+565, 1.50 Floor)",6000,6002,5998,(9),
257,"RiteDose Holdings I, Inc.",,,,,,
258,"RiteDose Holdings I, Inc.","7.50 (3M L+650, 1.00 Floor)",14588,14352,14587,(9),
259,"Wright Medical Group, Inc.",,,,,,
260,"Wright Medical Group, Inc.","8.85 (1M L+785, 1.00 Floor)",18333,18243,18563,(9)(17),
261,High Tech Industries,,,,,,
262,Acronis AG,,,,,,
263,Acronis AG,"7.85 (1M L+635, 1.50 Floor)",21000,20911,20542,(9)(17),
264,American Megatrends,,,,,,
265,AMI US Holdings Inc.,"6.59 (6M L+550, 1.00 Floor)",21762,21434,21305,(9),
266,"Calero Holdings, Inc.",,,,,,
267,"Telesoft Holdings, LLC","6.75 (3M L+575, 1.00 Floor)",22614,22171,22135,,
268,ChargePoint,,,,,,
269,"ChargePoint, Inc.","7.80 (1M L+655, 1.25 Floor)",10500,10443,10497,(9),
270,ChyronHego Corporation,,,,,,
271,ChyronHego Corporation,7.15 (P+390),34753,31751,31625,(27),
272,Digital Reasoning,,,,,,
273,"Digital Reasoning Systems, Inc.","8.25 (1M L+625, 2.00 Floor)",3750,3729,3744,(9),
274,FiscalNote,,,,,,
275,"FiscalNote, Inc.","9.00 (1M L+800, 1.00 Floor)",28555,28111,27949,(9),
276,GoHealth,,,,,,
277,"Norvax, LLC","7.50 (3M L+650, 1.00 Floor)",31500,30847,31289,(9),
278,"International Cruise & Excursion Gallery, Inc.",,,,,,
279,"International Cruise & Excursion Gallery, Inc.","6.25 (6M L+525, 1.00 Floor)",14662,14464,13286,,
280,LabVantage Solutions,,,,,,
281,LabVantage Solutions Inc.,"8.50 (1M L+750, 1.00 Floor)",7938,7925,7938,,
282,LabVantage Solutions Limited,"8.50 (1M E+750, 1.00 Floor)",€,8735,9387,10243,(17)
283,Magnitude Software,,,,,,
284,New Amsterdam Software BidCo LLC,"6.00 (3M L+500, 1.00 Floor)",6830,6721,6591,(9),
285,MYCOM,,,,,,
286,Magnate Holding Corp.,"6.75 (6M L+625 PIK, 0.50 Floor)",17423,17251,12252,(9)(17),
287,"Omnitracs, LLC",,,,,,
288,"Omnitracs, LLC",0.375 Unfunded,3750,(167),(336),(8)(21)  (23),
289,Schlesinger Group,,,,,,
290,"Schlesinger Global, LLC","7.00 (3M L+600, 1.00 Floor)",9936,9716,9668,(9),
291,Simeio,,,,,,
292,"Simeio Group Holdings, Inc.","6.25 (1M L+525, 1.00 Floor)",8611,8496,8343,(9),
293,Sirsi Corporation,,,,,,
294,Sirsi Corporation,"5.75 (1M L+475, 1.00 Floor)",6620,6552,6488,(9),
295,Springbrook,,,,,,
296,"Springbrook Holding Company, LLC","6.75 (3M L+575, 1.00 Floor)",9804,9655,9627,,
297,Telestream Holdings Corporation,,,,,,
298,Telestream Holdings Corporation,"7.61 (3M L +645, 1.00 Floor)",37885,37739,37033,(18),
299,"Hotel, Gaming, Leisure, Restaurants",,,,,,
300,Garden Fresh,,,,,,
301,GFRC Holdings LLC,"11.50 (1M L+1000 PIK, 1.50 Floor)",2647,2500,0,(13)(14),
302,Insurance,,,,,,
303,PGM Holdings Corporation,,,,,,
304,"Turbo Buyer, Inc.","6.70 (6M L+550, 1.00 Floor)",13982,13678,13716,(9),
305,PIB Group,,,,,,
306,Ivy Finco Limited,5.89 (6M GBPL+550),£,1050,1277,1322,(9)(17)
307,Relation Insurance,,,,,,
308,"AQ Sunshine, Inc.","6.50 (6M L+550, 1.00 Floor)",17568,17357,17247,(9),
309,"Manufacturing, Capital Equipment",,,,,,
310,"AVAD, LLC",,,,,,
311,AVAD Canada Ltd.,"5.00 (1M L+400, 1.00 Floor)",563,563,553,(9)(23),
312,"AVAD, LLC","8.75 (1M L+775, 1.00 Floor)",7984,7885,7854,(9),
313,Kauffman,,,,,,
314,"Kauffman Holdco, LLC","250,000 Shares",175,(9)(13),,,
315,"Kauffman Intermediate, LLC","7.50 (3M L+650, 1.00 Floor)",16752,16494,16251,(9),
316,MedPlast Holdings Inc.,,,,,,
317,MedPlast Holdings Inc.,7.90 (1M L+775),8000,7942,7590,,
318,Media – Diversified & Production,,,,,,
319,New Wave Entertainment,,,,,,
320,"NW Entertainment, Inc.","8.00 (1M L+700, 1.00 Floor)",23400,23036,22175,(9),
321,Nitro World Entertainment,,,,,,
322,NWE OPCO LP,"8.50 (1M L+650, 2.00 Floor)",4938,4919,4726,(9),
323,Sonar Entertainment,,,,,,
324,"Sonar Entertainment, Inc.","8.85 (1M L+760, 1.25 Floor)",7453,7405,7323,(9),
325,Metals & Mining,,,,,,
326,"Magnetation, LLC",,,,,,
327,"Magnetation, LLC",9.91 (6M L+800 Cash (PIK Toggle)),1213,581,0,(13)(14)  (26),
328,Retail,,,,,,
329,IPS,,,,,,
330,"SI Holdings, Inc.","6.75 (3M L+575, 1.00 Floor)",31482,30964,30802,(9),
331,Rapid Displays,,,,,,
332,Rapid Displays Acquisition Corporation,"6.00 (3M L+500, 1.00 Floor)",11261,11087,10828,(9),
333,Telecommunications,,,,,,
334,IPC Corporation,,,,,,
335,IPC Corporation,5.26 (3M L+500),10000,9974,9096,(9),
336,IPC Information Systems UK Holdings Limited,"7.50 (3M L+650, 1.00 Floor)",1405,1375,1333,(9)(17),
337,"Securus Technologies Holdings, Inc.",,,,,,
338,"Securus Technologies Holdings, Inc.","9.25 (6M L+825, 1.00 Floor)",12878,12796,10946,,
339,"Transportation – Cargo, Distribution",,,,,,
340,"Dynamic Product Tankers (Prime), LLC",,,,,,
341,"Dynamic Product Tankers, LLC (5)",5.31 (6M L+500),22000,22000,22000,(17),
342,Heniff and Superior,,,,,,
343,"Heniff Holdco, LLC","6.75 (1M L+575, 1.00 Floor)",30919,30359,29683,(9),
344,MSEA Tankers LLC,,,,,,
345,MSEA Tankers LLC (5),59621,(17)(25)  (28),,,,
346,Wholesale,,,,,,
347,Banner Solutions,,,,,,
348,"Banner Buyer, LLC","6.75 (1M L+575, 1.00 Floor)",73,72,71,(9),
349,"Banner Parent Holdings, Inc","5,000 Shares",457,(9)(13)  (28),,,
350,Total Investments before Cash Equivalents,2890538,,,,,
