,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0134.1,Par Amount*,Fair  Value (1),
119,Accelerate Parent Corp. (American Tire Distributors) **,3225514,4710.0,
120,"AHC Mezzanine, LLC (Advanstar) **",25016,350,
121,Altegrity Holding Corp. **,353399,0,
122,"CA Holding, Inc. (Collect America, Ltd.), Series A **‡",25000,1380,
123,"CA Holding, Inc. (Collect America, Ltd.), Series AA **‡",4294,859,
124,"Caza Petroleum Inc., Net Profits Interest **",0,946,
125,"Caza Petroleum Inc., Overriding Royalty Interest **",0,228,
126,"Clothesline Holdings, Inc. (Angelica Corporation) **",6000,3282,
127,"Explorer Coinvest, LLC (Booz Allen) **‡",340,6958,
128,"Garden Fresh Restaurant Holdings, LLC. **",50000,138,
129,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.) **",17500,0,
130,"GS Prysmian Co-Invest L.P. (Prysmian Cables & Systems), Limited Partnership **‡(2)(3)",0,17,
131,"JV Note Holdco, LLC (DSI Renal Inc.) **",9303,0,
132,"Pelican Energy, LLC, Net Profit Interest **‡",696656,477,
133,"RC Coinvestment, LLC (Ranpak Corp.) **",50000,7674,
134,"Sorenson Communications Holdings, LLC, Class A **",454828,61,
135,Univar Inc. **,900000,9680,
136,"Varietal Distribution Holdings, LLC Class A **",28028,0,
137,Total Common Equity/Interests,50904,,
138,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2014  (in thousands, except warrants)",,,
139,Warrants00.5,,,
140,"CA Holding, Inc. (Collect America, Ltd.), Common Stock Warrants **‡",7961,0.0,
141,"Energy & Exploration Partners, Inc., Common Stock Warrants**",60778,1829,
142,"Fidji Luxco (BC) S.C.A., Common Stock Warrants **‡(2)",18113,5069,
143,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock Warrants**",9820,0,
144,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class A-1 Preferred Stock Warrants**",45947,0,
145,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class B-1 Preferred Stock Warrants**",104314,0,
146,"Osage Exploration & Development, Inc., Common Stock Warrants **‡",1496843,1398,
147,"Spotted Hawk Development LLC, Common Stock Warrants **‡",54545,2304,
148,Total Warrants,5016,,
149,TOTAL EQUITY,55920,,
150,Total Investments in Non-Controlled/ Non-Affiliated Investments,2714971,,
