,Industry / Company,Interest Rate,Par/Shares (12),Cost (35),Fair Value (1)(36),,
224,"FPG Services, LLC","L+550, 1.00 Floor",19068,14141,14312,(9)(21)(23)  (28),
225,Paragon 28,,,,,,
226,"Paragon 28, Inc.","L+600, 1.00 Floor",10000,2492,2475,(9)(23)(26),
227,"Partner Therapeutics, Inc",,,,,,
228,"Partner Therapeutics, Inc","L+665, 1.00 Floor",10000,9964,9950,(9)(26),
229,PHS,,,,,,
230,"PHS Buyer, Inc.","L+600, 1.00 Floor",25177,24746,24674,(9)(28),
231,Radius Health,,,,,,
232,"Radius Health, Inc.","L+575, 2.00 Floor",33833,28700,28425,(9)(17)(23)  (26),
233,RHA Health Services,,,,,,
234,"Pace Health Companies, LLC","L+450, 1.00 Floor",4463,3837,3880,(9)(23)(28),
235,Rigel Pharmaceuticals,,,,,,
236,"Rigel Pharmaceuticals, Inc.","L+565, 1.50 Floor",6000,6017,6056,(9)(26),
237,"RiteDose Holdings I, Inc.",,,,,,
238,"RiteDose Holdings I, Inc.","P+550, 1.00 Floor",12093,11977,12087,(9)(26)(34),
239,Unchained Labs,,,,,,
240,"Unchained Labs, LLC","L+550, 1.00 Floor",6765,1847,1859,(9)(21)(23)  (26),
241,High Tech Industries,,,,,,
242,Acronis AG,,,,,,
243,ACRONIS AG,"L+585, 1.50 Floor",21000,20930,21000,(9)(17)(26),
244,American Megatrends,,,,,,
245,AMI US Holdings Inc.,"L+525, 1.00 Floor",21485,21241,21485,(9)(26),
246,"Calero Holdings, Inc.",,,,,,
247,"Telesoft Holdings, LLC","L+575, 1.00 Floor",22330,21987,22194,(28),
248,ChyronHego Corporation,,,,,,
249,ChyronHego Corporation (5),"L+350 Cash plus 1.50 PIK, 1.00 Floor",84958,83476,84109,(28),
250,Dairy.com,,,,,,
251,Momentx Corporation,"L+575, 1.00 Floor",13674,13420,13335,(9)(28),
252,Digital.ai,,,,,,
253,"Digital.ai Software Holdings, Inc.","L+700, 1.00 Floor",22411,21833,22109,(9)(28),
254,GoHealth,,,,,,
255,"Norvax, LLC","L+650, 1.00 Floor",3182,2423,2466,(9)(21)(23)  (26)(27)(28),
256,"International Cruise & Excursion Gallery, Inc.",,,,,,
257,"International Cruise & Excursion Gallery, Inc.","L+525, 1.00 Floor",14475,14329,13540,(26),
258,Modern Campus,,,,,,
259,"Destiny Solutions U.S., Inc.","L+575, 1.00 Floor",15733,15405,15458,(26),
260,"RMCF IV CIV XXXV, L.P.",482 Shares,1340,(13)(25),,,
261,MYCOM,,,,,,
262,Magnate Holding Corp.,"L+625 Cash plus 1.00 PIK, 0.50 Floor",19206,19080,17737,(9)(17)(28),
263,"New Era Technology, Inc.",,,,,,
264,"New Era Technology, Inc.","L+625, 1.00 Floor",23850,20358,20278,(9)(21)(23)  (28),
265,Pro Vigil,,,,,,
266,"Pro-Vigil Holding Company, LLC","L+850, 1.00 Floor",9935,9733,9798,(9)(26),
267,Schlesinger Group,,,,,,
268,"Schlesinger Global, LLC","L+600 Cash plus 1.00 PIK, 1.00 Floor",9887,9723,9741,(9)(28),
269,Simeio,,,,,,
270,"Simeio Group Holdings, Inc.","L+550, 1.00 Floor",8293,8207,8178,(9)(26),
271,Sirsi Corporation,,,,,,
272,Sirsi Corporation,"L+450, 1.00 Floor",5671,5631,5654,(9)(26),
273,Springbrook,,,,,,
274,"Springbrook Holding Company, LLC","L+550, 1.00 Floor",13336,10693,10727,(21)(23)(29),
275,Tax Slayer,,,,,,
276,"MEP-TS Midco, LLC","L+600, 1.00 Floor",13413,13159,13279,(9)(29),
277,Telnyx,,,,,,
278,Telnyx LLC,"L+625, 1.50 Floor",8583,5202,5278,(9)(23)(26),
279,UpStack,,,,,,
280,Upstack Holdco Inc.,"L+600, 1.00 Floor",31958,27593,27478,(9)(21)(23)  (28)(29),
281,"Hotel, Gaming, Leisure, Restaurants",,,,,,
282,Guernsey,,,,,,
283,Guernsey Holdings SDI LA LLC,6.95,14333,14194,14190,(9),
284,Taco Cabana,,,,,,
285,"YTC Enterprises, LLC","L+625, 1.00 Floor",9967,9851,9842,(9)(26),
286,Insurance,,,,,,
287,High Street Insurance,,,,,,
288,"High Street Buyer, Inc.","L+600, 0.75 Floor",30189,29660,29585,(9)(28)(29),
289,PGM Holdings Corporation,,,,,,
290,"Turbo Buyer, Inc.","L+600, 1.00 Floor",19279,18962,18893,(9)(29),
291,Relation Insurance,,,,,,
292,"AQ Sunshine, Inc.","L+600, 1.00 Floor",30353,29684,30172,(9)(21)(23)  (29),
293,"Manufacturing, Capital Equipment",,,,,,
294,"AVAD, LLC",,,,,,
295,"AVAD, LLC","L+400, 1.00 Floor",2060,962,0,(9)(23)(26),
296,"Surf Opco, LLC","L+400, 1.00 Floor",16667,11785,11785,(9)(20)(21)  (23)(26),
297,Kauffman,,,,,,
298,"Kauffman Holdco, LLC","250,000 Shares",60,(9)(13),,,
299,"Kauffman Intermediate, LLC","L+650, 1.00 Floor",16324,16139,15865,(9)(28),
300,MedPlast Holdings Inc.,,,,,,
301,"Viant Medical Holdings, Inc. (fka MedPlast Holdings, Inc.)","L+775, 0.00 Floor",8000,7954,7586,(26),
302,Media – Diversified & Production,,,,,,
303,New Wave Entertainment,,,,,,
304,"NW Entertainment, Inc.","L+750, 1.00 Floor",28491,27611,27711,(9)(21)(23)  (28),
305,Nitro World Entertainment,,,,,,
306,NWE OPCO LP,"L+650, 2.00 Floor",4637,4627,4637,(9)(26),
307,Sonar Entertainment,,,,,,
308,"Sonar Entertainment, Inc.","L+760, 1.25 Floor",3186,3185,2673,(9)(11)(26),
309,Retail,,,,,,
310,IPS,,,,,,
311,"SI Holdings, Inc.","L+600, 1.00 Floor",31085,30692,30616,(9)(28),
312,Telecommunications,,,,,,
313,"Securus Technologies Holdings, Inc.",,,,,,
314,"Securus Technologies Holdings, Inc.","L+825, 1.00 Floor",12878,12809,12363,(28),
315,"Transportation – Cargo, Distribution",,,,,,
316,Beacon Mobility,,,,,,
317,Beacon Mobility Corp.,"L+550, 1.00 Floor",13989,13292,13396,(9)(21)(23)  (28),
318,"Dynamic Product Tankers (Prime), LLC",,,,,,
319,"Dynamic Product Tankers, LLC (5)","L+500, 0.00 Floor",22000,22000,22000,(17)(29),
320,Heniff and Superior,,,,,,
321,"Heniff Holdco, LLC","L+575, 1.00 Floor",30531,30067,29630,(9)(26),
322,MSEA Tankers LLC,,,,,,
323,MSEA Tankers LLC (5),50994,(17)(18)(25),,,,
324,Wholesale,,,,,,
325,Banner Solutions,,,,,,
326,"Banner Buyer, LLC","L+575, 1.00 Floor",17789,15136,15224,(9)(21)(23)  (26),
327,"Banner Parent Holdings, Inc.","6,125 Shares",560,(9)(13),,,
328,Thomas Scientific,,,,,,
329,"BSP-TS, LP",185 Shares,185,(9)(13)(25),,,
330,"Thomas Scientific, LLC","L+625, 1.00 Floor",31852,26088,26081,(9)(21)(23)  (28),
331,Total Investments before Cash Equivalents,2792350,,,,,
