,Industry / Company,Interest Rate (20),Par/Shares (12),Cost (28),Fair Value (1)(29),,
219,"Midwest Vision Partners Management, LLC","7.25 (6M L+625, 1.00 Floor)",5704,5594,5647,(9),
220,Orchard,,,,,,
221,Orchard Therapeutics plc,"7.00 (1M L+600, 1.00 Floor)",8333,8307,8400,(9)(17),
222,Ovation Fertility,,,,,,
223,"FPG Services, LLC","6.50 (3M L+550, 1.00 Floor)",13901,13713,13762,(9),
224,"Partner Therapeutics, Inc",,,,,,
225,"Partner Therapeutics, Inc","7.65 (1M L+665, 1.00 Floor)",10000,9934,9975,(9),
226,PHS,,,,,,
227,"PHS Buyer, Inc.","6.25 (3M L+525, 1.00 Floor)",10203,10055,9947,(9),
228,Radius Health,,,,,,
229,"Radius Health, Inc.","7.75 (1M L+575, 2.00 Floor)",29000,28636,28623,(9)(17),
230,RHA Health Services,,,,,,
231,"Pace Health Companies, LLC","5.50 (3M L+450, 1.00 Floor)",3914,3874,3902,(9),
232,Rigel Pharmaceuticals,,,,,,
233,"Rigel Pharmaceuticals, Inc.","7.15 (1M L+565, 1.50 Floor)",6000,6012,6049,(9),
234,"RiteDose Holdings I, Inc.",,,,,,
235,"RiteDose Holdings I, Inc.","7.50 (1M L+650, 1.00 Floor)",13333,13155,13333,(9),
236,High Tech Industries,,,,,,
237,Acronis AG,,,,,,
238,Acronis AG,"7.85 (1M L+635, 1.50 Floor)",21000,20922,20895,(9)(17),
239,American Megatrends,,,,,,
240,AMI US Holdings Inc.,"6.50 (1M L+550, 1.00 Floor)",21651,21362,21833,(9),
241,"Calero Holdings, Inc.",,,,,,
242,"Telesoft Holdings, LLC","6.75 (3M L+575, 1.00 Floor)",22500,22101,22104,,
243,ChyronHego Corporation,,,,,,
244,ChyronHego Corporation (5),"6.00 (3M L+350 Cash plus 1.50 PIK, 1.00 Floor)",84202,81644,81676,,
245,Digital.ai,,,,,,
246,"Digital.ai Software Holdings, Inc.","8.00 (3M L+700, 1.00 Floor)",22581,21919,22242,(9),
247,GoHealth,,,,,,
248,"Norvax, LLC","7.50 (3M L+650, 1.00 Floor)",31341,30753,31654,(9),
249,"International Cruise & Excursion Gallery, Inc.",,,,,,
250,"International Cruise & Excursion Gallery, Inc.","6.25 (3M L+525, 1.00 Floor)",14587,14411,13350,,
251,LabVantage Solutions,,,,,,
252,LabVantage Solutions Inc.,"8.50 (1M L+750, 1.00 Floor)",7256,7236,7256,,
253,LabVantage Solutions Limited,"8.50 (1M E+750, 1.00 Floor)",€,8053,8642,9465,(17)
254,Magnitude Software,,,,,,
255,New Amsterdam Software BidCo LLC,"6.00 (3M L+500, 1.00 Floor)",6796,6697,6694,(9),
256,MYCOM,,,,,,
257,Magnate Holding Corp.,"7.75 (3M L+625 Cash plus 1 PIK, 0.50 Floor)",18112,17959,15575,(9)(17),
258,"Omnitracs, LLC",,,,,,
259,"Omnitracs, LLC",0.375 Unfunded,3750,(133),(263),(8)(21)  (23),
260,Pro Vigil,,,,,,
261,"Pro-Vigil Holding Company, LLC","9.50 (1M L+850, 1.00 Floor)",8000,7774,7760,(9),
262,Schlesinger Group,,,,,,
263,"Schlesinger Global, LLC","8.00 (3M L+600 Cash plus 1.00 PIK, 1.00 Floor)",9066,8885,8857,(9),
264,Simeio,,,,,,
265,"Simeio Group Holdings, Inc.","6.25 (1M L+525, 1.00 Floor)",8567,8464,8422,(9),
266,Sirsi Corporation,,,,,,
267,Sirsi Corporation,"5.75 (1M L+475, 1.00 Floor)",6459,6401,6362,(9),
268,"Sontiq, Inc.",,,,,,
269,"Sontiq, Inc.","8.50 (3M L+750, 1.00 Floor)",14167,13888,13883,(9),
270,Springbrook,,,,,,
271,"Springbrook Holding Company, LLC","6.75 (3M L+575, 1.00 Floor)",9755,9618,9613,,
272,Tax Slayer,,,,,,
273,"MEP-TS Midco, LLC","7.50 (6M L+650, 1.00 Floor)",13514,13256,13379,(9),
274,Telnyx,,,,,,
275,Telnyx LLC,"7.75 (1M L+625, 1.50 Floor)",5250,5216,5250,(9),
276,Insurance,,,,,,
277,PGM Holdings Corporation,,,,,,
278,"Turbo Buyer, Inc.","6.50 (6M L+550, 1.00 Floor)",13912,13638,13786,(9),
279,Relation Insurance,,,,,,
280,"AQ Sunshine, Inc.","7.25 (3M L+625, 1.00 Floor)",2617,2580,2619,(9),
281,"Manufacturing, Capital Equipment",,,,,,
282,"AVAD, LLC",,,,,,
283,AVAD Canada Ltd.,10/02/23,274,283,(9)(23),,
284,"AVAD, LLC",10/02/23,2537,1639,(9)(23),,
285,"Surf Opco, LLC","5.00 (1M L+400, 1.00 Floor)",1667,1667,1667,(9)(23),
286,Kauffman,,,,,,
287,"Kauffman Holdco, LLC","250,000 Shares",51,(9)(13),,,
288,"Kauffman Intermediate, LLC","7.50 (3M L+650, 1.00 Floor)",16665,16436,15960,(9),
289,MedPlast Holdings Inc.,,,,,,
290,MedPlast Holdings Inc.,7.86 (1M L+775),8000,7947,7619,,
291,Media – Diversified & Production,,,,,,
292,New Wave Entertainment,,,,,,
293,"NW Entertainment, Inc.","10.00 (3M L+700 Cash plus 2.00 PIK, 1.00 Floor)",26450,26101,25130,(9)(19),
294,Nitro World Entertainment,,,,,,
295,NWE OPCO LP,"8.50 (1M L+650, 2.00 Floor)",4815,4801,4790,(9),
296,Sonar Entertainment,,,,,,
297,"Sonar Entertainment, Inc.","8.85 (1M L+760, 1.25 Floor)",6849,6824,5651,(9)(19),
298,Retail,,,,,,
299,IPS,,,,,,
300,"SI Holdings, Inc.","6.75 (3M L+575, 1.00 Floor)",31324,30862,30757,(9),
301,Rapid Displays,,,,,,
302,Rapid Displays Acquisition Corporation,"6.00 (3M L+500, 1.00 Floor)",10305,10161,10305,(9),
303,Telecommunications,,,,,,
304,IPC Corporation,,,,,,
305,IPC Corporation,5.21 (3M L+500),10000,9989,9301,(9),
306,IPC Information Systems UK Holdings Limited,"8.00 (3M L+650, 1.50 Floor)",1405,1393,1360,(9)(17),
307,"Securus Technologies Holdings, Inc.",,,,,,
308,"Securus Technologies Holdings, Inc.","9.25 (6M L+825, 1.00 Floor)",12878,12804,11139,,
309,"Transportation – Cargo, Distribution",,,,,,
310,"Dynamic Product Tankers (Prime), LLC",,,,,,
311,"Dynamic Product Tankers, LLC (5)",5.31 (6M L+500),22000,22000,22000,(17),
312,Heniff and Superior,,,,,,
313,"Heniff Holdco, LLC","6.75 (3M L+575, 1.00 Floor)",30764,30242,30023,(9),
314,MSEA Tankers LLC,,,,,,
315,MSEA Tankers LLC (5),57660,(17)(18)  (25),,,,
316,Wholesale,,,,,,
317,Banner Solutions,,,,,,
318,"Banner Buyer, LLC","6.75 (1M L+575, 1.00 Floor)",396,393,393,(9),
319,"Banner Parent Holdings, Inc","5,164 Shares",526,(9)(13),,,
320,Total Investments before Cash Equivalents,"$2,716,399",,,,,
