,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0128.7 (18),Maturity Date,Industry,Par Amount(12),Fair  Value (1),
37,Asurion Corporation,3/3/21,Insurance,62400,62166,
38,Confie Seguros Holding II Co.,5/8/19,Insurance,33844,33760,
39,Consolidated Precision Products Corp.,4/30/21,Aerospace and Defense,1940,1853,
40,"Deltek, Inc.",10/10/19,Business Services,17273,17403,
41,"Elements Behavioral Health, Inc.",2/11/20,Healthcare,9500,9441,
42,Garden Fresh Restaurant Corp. (16),1/1/19,Restaurants,38448,34219,
43,Garden Fresh Restaurant Corp. (16),1/1/19,Restaurants,8090,5501,
44,"GCA Services Group, Inc.",11/1/20,Diversified Service,22838,22609,
45,"Grocery Outlet, Inc.",10/21/22,Grocery,30000,29663,
46,"GTCR Valor Companies, Inc.",11/30/21,Business Services,35000,33950,
47,"Institutional Shareholder Services, Inc.",4/30/22,Financial Services,6640,6540,
48,"Kronos, Inc.",4/30/20,Business Services,51123,52082,
49,"Miller Energy Resources, Inc. (17)",2/3/18,Oil and Gas,87500,85750,
50,MSC Software Corp. (17),5/28/21,Business Services,18448,18079,
51,"Novolex Holdings, Inc.",6/5/22,Packing,40000,39200,
52,Pabst Brewing Company,11/14/22,Consumer Products,32000,31600,
53,"Premier Trailer Leasing, Inc.",9/24/20,Financial Services,52000,50960,
54,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except shares)",,,,,
55,2nd Lien Secured Debt045.7 (continued),,,,,
56,"RegionalCare Hospital Partners, Inc.",10/23/19,Healthcare,4000.0,3990,
57,River Cree Enterprises LP (11)(17),1/20/21,"Hotels, Motels, Inns and Gaming",CAD,31111,30307
58,"SiTV, Inc. (11)",7/1/19,Cable Television,2219.0,2065,
59,"Sprint Industrial Holdings, LLC",11/14/19,"Containers, Packaging, and Glass",14163,13880,
60,"SquareTwo Financial Corp. (Collect America, Ltd.) (17)",4/1/17,Financial Services,65152,64012,
61,Stadium Management Corp.,2/27/21,Business Services,19900,19999,
62,"TASC, Inc.",5/21/21,Aerospace and Defense,21815,22306,
63,TMK Hawk Parent Corp.,10/1/22,Distribution,34000,33830,
64,"Transfirst Holdings, Inc.",11/11/22,Financial Services,21740,21532,
65,"U.S. Renal Care, Inc.",1/3/20,Healthcare,11927,11957,
66,"Velocity Technology Solutions, Inc.",9/28/20,Business Services,16500,16170,
67,"Vertafore, Inc.",10/27/17,Business Services,36436,36618,
68,"Walter Energy, Inc. (11)(17)",4/1/20,Mining,22554,7499,
69,Total 2nd Lien Secured Debt,926947.0,911324,,,
70,TOTAL SECURED DEBT,1849728.0,1796082,,,
71,UNSECURED DEBT026.3,,,,,
72,American Energy - Woodford LLC/AEW Finance Corp. (11),9/15/22,Oil and Gas,5000.0,3275,
73,"American Tire Distributors, Inc. (11)(16)",6/1/18,Distribution,25000,25500,
74,"American Tire Distributors, Inc. (11)(16)",6/1/18,Distribution,40000,40800,
75,Artsonig Pty Ltd. (11)(17),4/1/19,Transportation,21227,18839,
76,BCA Osprey II Limited (British Car Auctions) (16)(17),8/17/17,Transportation,£,37671,37848
77,BCA Osprey II Limited (British Car Auctions) (16)(17),8/17/17,Transportation,€,19764,17864
78,Canacol Energy Ltd. (17),12/31/19,Oil and Gas,50000.0,48500,
79,Ceridian Corp. (11),3/15/21,Diversified Service,31760,34896,
80,"Delta Educational Systems, Inc.",5/12/17,Education,23235,22224,
81,Denver Parent Corp. (Venoco),8/15/18,Oil and Gas,8988,3707,
82,"My Alarm Center, LLC",7/9/18,Business Services,4145,4145,
83,Niacet Corporation,8/28/18,Chemicals,12500,12625,
84,PetroBakken Energy Ltd. (11)(17),2/1/20,Oil and Gas,39300,27903,
85,"Radio One, Inc. (11)(17)",2/15/20,Broadcasting & Entertainment,14804,12954,
86,"Sorenson Holdings, LLC (11)",10/31/21,Consumer Products,68,68,
87,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except shares)",,,,,
88,UNSECURED DEBT026.3 (continued),,,,,
89,Tibco Software Inc. (11),12/1/21,Business Services,26924.0,26217,
90,"U.S. Security Associates Holdings, Inc.",7/28/18,Business Services,135000,137700,
91,"Univar, Inc.",6/30/18,Distribution,20000,19780,
92,"Venoco, Inc.",2/15/19,Oil and Gas,54996,30523,
93,TOTAL UNSECURED DEBT,567831.0,525368,,,
94,TOTAL CORPORATE DEBT,2417559.0,2321450,,,
95,STRUCTURED PRODUCTS AND OTHER08.6,,,,,
96,"Asset Repackaging Trust Six B.V., Credit-Linked Note (11)(17)",5/15/27,Utilities,58411.0,32785,
97,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",4/17/22,Diversified Investment Vehicle,25000,24503,
98,"Craft 2013-1, Credit-Linked Note (16)(17)",4/17/22,Diversified Investment Vehicle,7625,7476,
99,"Craft 2014-1A, Credit-Linked Note (11)(17)",5/15/21,Diversified Investment Vehicle,42500,41995,
100,"Dark Castle Holdings, LLC",Media,24395,1190,,
101,"JP Morgan Chase & Co., Credit-Linked Note (17)",12/20/21,Diversified Investment Vehicle,43250,43560,
102,"NXT Capital CLO 2014-1, LLC (11)(17)",4/23/26,Diversified Investment Vehicle,5000,4250,
103,"Renaissance Umiat, LLC, ACES Tax Receivable (15)(17)",Oil and Gas,0,13014,,
104,TOTAL STRUCTURED PRODUCTS AND OTHER,161454.0,171320,,,
105,PREFERRED EQUITY02.0,,,,,
106,"CA Holding, Inc. (Collect America, Ltd.), Series A Preferred Stock (13)(17)",Financial Services,7961,788,,
107,"Crowley Holdings, Series A Preferred Stock (11)",Cargo Transport,22500,22964,,
108,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (Convertible) (13)(14)",Education,332500,6863,,
109,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (13)(14)",5/12/18,Education,12360,9954,
110,"Varietal Distribution Holdings, LLC, Class A Preferred Unit",Distribution,3097,5613,,
111,TOTAL PREFERRED EQUITY,63913.0,40198,,,
112,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except shares)",,,,,
113,EQUITY01.8,,,,,
114,Common Equity/Interests01.5,Shares,,,,
115,"ATD Corporation (Accelerate Parent Corp.), Common Stock (11)(13)",Distribution,3225514,3276,,
116,"CA Holding, Inc. (Collect America, Ltd.), Series A Common Stock (13)(17)",Financial Services,25000,2500,,
117,"CA Holding, Inc. (Collect America, Ltd.), Series AA Common Stock (13)(17)",Financial Services,4294,429,,
118,"Caza Petroleum, Inc., Net Profits Interest (13)",Oil and Gas,0,1202,,
119,"Caza Petroleum, Inc., Overriding Royalty Interest",Oil and Gas,0,339,,
120,"Clothesline Holdings, Inc. (Angelica Corporation), Common Stock (13)",Healthcare,6000,6000,,
121,"Explorer Coinvest, LLC (Booz Allen), Common Stock (13)(17)",Business Services,246,1881,,
122,"Garden Fresh Restaurant Holdings, LLC., Common Stock (13)",Restaurants,50000,5000,,
123,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock (13)",Education,17500,175,,
124,"JV Note Holdco, LLC (DSI Renal, Inc.), Common Equity / Interest (13)",Healthcare,9303,85,,
125,"Pelican Energy, LLC, Net Profits Interest (13)(17)",Oil and Gas,1048811,1049,,
126,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",Printing and Publishing,5000,5000,,
127,"Sorenson Holdings, LLC, Membership Interests (13)",Consumer Products,587,0,,
128,"Univar, Inc., Common Stock (13)",Distribution,900000,9000,,
129,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)",Distribution,28028,28,,
130,Total Common Equity/Interests,35964.0,29495,,,
131,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except warrants)",,,,,
132,Warrants00.3,,,,,
133,"CA Holding, Inc. (Collect America, Ltd.), Common Stock Warrants (13)(17)",Financial Services,7961,8,,
134,"Energy & Exploration Partners, Inc., Common Stock Warrants (13)",Oil and Gas,60778,2374,,
135,"Fidji Luxco (BC) S.C.A., Common Stock Warrants (2)(13)(17)",Electronics,18113,182,,
136,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class A-1 Preferred Stock Warrants (13)",Education,45947,459,,
137,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class B-1 Preferred Stock Warrants (13)",Education,104314,1043,,
138,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock Warrants (13)",Education,9820,98,,
139,"Osage Exploration & Development, Inc., Common Stock Warrants (13)(17)",Oil and Gas,1496843,0,,
140,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",Oil and Gas,54545,852,,
141,Total Warrants,5016.0,6369,,,
142,TOTAL EQUITY,40980.0,35864,,,
143,Total Investments in Non-Controlled/ Non-Affiliated Investments,2683906.0,2568832,,,
