,Investment,Industry,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value
26,"Saba Software, Inc. (18)",High Tech Industries,"9.75% (1M L+875, 1.00% Floor)",3/30/21,9925,9925,9776
27,"SCM Insurance Services, Inc. (17)",Business Services,9.25%,8/22/19,39480,33035,26538
28,"Spotted Hawk Development, LLC (14)",Energy – Oil & Gas,19.00% (13.00% Cash plus 6.00% PIK),9/12/16,85660,84380,64071
29,Telestream Holdings Corporation (18),High Tech Industries,"7.77% (3M L+677, 1.00% Floor)",1/15/20,31691,31691,31057
30,UniTek Global Services Inc. (16),Telecommunications,"9.50% (3M L+750 Cash plus 1.00% PIK, 1.00% Floor)",1/13/19,13427,13427,13427
31,UniTek Global Services Inc. (16),Telecommunications,11.00% (P+650 Cash plus 1.00% PIK),1/13/19,4500,4500,4500
32,UniTek Global Services Inc. (16),Telecommunications,"8.50% (3M L+750, 1.00% Floor)",1/13/19,32367,32367,30748
33,"Venoco, Inc. (16)",Energy – Oil & Gas,12.00%,2/28/19,40517,40517,32566
34,Revolvers and Letters of Credit,,,,,,
35,"Alliant Holdings Intermediate, LLC, Revolver (16)(23)",Insurance,3.94% (3M L+350),8/14/20,3375,3375,3051
36,"Alliant Holdings Intermediate, LLC, Revolver (16)(23)",Insurance,6.00% (P+250),8/14/20,375,375,339
37,"Alliant Holdings Intermediate, LLC, Unfunded Revolver (8)(16)(21)(23)",Insurance,0.50% Unfunded,8/14/20,11141,"(1,494)","(1,070)"
38,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375%,10/1/16,8,-,(1)
39,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375%,11/30/16,56,-,(5)
40,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375%,4/23/16,37,-,(4)
41,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375%,5/4/16,8,-,(1)
42,"Confie Seguros Holding II Co., Revolver (16)(23)",Insurance,4.93% (3M L+450),11/9/17,1120,1120,1008
43,"Confie Seguros Holding II Co., Revolver (16)(23)",Insurance,7.00% (P+350),11/9/17,500,500,450
44,"Confie Seguros Holding II Co., Unfunded Revolver (8)(16)(21)(23)",Insurance,0.50% Unfunded,11/9/17,2756,(248),(276)
45,"Confie Seguros Holding II Co., Letter of Credit (8)(16)(23)",Insurance,4.50%,1/13/17,124,-,(12)
46,"LabVantage Solutions Limited, Unfunded Revolver (8)(16)(17)(21)(23)",High Tech Industries,0.50% Unfunded,12/29/20,3435,(114),(127)
47,"My Alarm Center, LLC, Unfunded Revolver (8)(16)(21)(23)",Business Services,0.35% Unfunded,1/9/19,6250,-,(109)
48,"Tibco Software Inc., Unfunded Revolver (8)(16)(21)(23)",High Tech Industries,0.50% Unfunded,12/5/19,6000,(44),"(1,200)"
49,"Transfirst Holdings, Inc., Unfunded Revolver (16)(21)(23)","Diversified Investment Vehicles, Banking, Finance, Real Estate",0.50% Unfunded,11/12/19,2949,(11),-
50,"Transfirst Holdings, Inc., Letter of Credit (16)(23)","Diversified Investment Vehicles, Banking, Finance, Real Estate",3.75%,11/12/19,51,-,-
51,"UniTek Global Services Inc., Unfunded Revolver (16)(21)(23)",Telecommunications,0.50% Unfunded,1/13/19,5000,-,-
52,"UniTek Global Services Inc., Letter of Credit (16)(23)",Telecommunications,7.50%,1/13/19,8812,-,-
53,"UniTek Global Services Inc., Letter of Credit (16)(23)",Telecommunications,7.50%,1/13/19,1850,-,-
54,Second Lien Secured Debt,,,,,,
55,1A Smart Start LLC,Consumer Services,"9.50% (3M L+850, 1.00% Floor)",8/22/22,35000,34345,34020
56,"Access CIG, LLC (16)",Business Services,"9.75% (3M L+875, 1.00% Floor)",10/17/22,35755,34180,33558
57,"Access CIG, LLC (16)",Business Services,"9.75% (3M L+875, 1.00% Floor)",10/17/22,15215,14625,14280
58,"Active Network, Inc.",Business Services,"9.50% (3M L+850, 1.00% Floor)",11/15/21,19672,19596,17115
59,"Appriss Holdings, Inc.",Business Services,"9.25% (3M L+825, 1.00% Floor)",5/21/21,32750,32331,32259
60,Armor Holding II LLC,"Diversified Investment Vehicles, Banking, Finance, Real Estate","10.25% (3M L+900, 1.25% Floor)",12/26/20,8000,7886,7740
61,Asurion Corporation,Insurance,"8.50% (3M L+750, 1.00% Floor)",3/3/21,39590,39361,37293
62,Confie Seguros Holding II Co. (16),Insurance,"10.25% (3M L+900, 1.25% Floor)",5/8/19,22344,22249,20668
63,"Delta Educational Systems, Inc. (16)",Education,35.00% PIK,6/10/18,1289,1289,3223
64,"Deltek, Inc.",Business Services,"9.50% (3M L+850, 1.00% Floor)",6/26/23,15086,14879,14558
65,"Elements Behavioral Health, Inc.",Healthcare & Pharmaceuticals,"13.00% (3M L+1200 PIK, 1.00% Floor)",2/11/20,9821,9754,9428
66,"Extraction Oil & Gas Holdings, LLC",Energy – Oil & Gas,10.00% and 11.00%,5/29/19,52633,52072,51580
67,Garden Fresh Restaurant Corp. (16),"Hotel, Gaming, Leisure, Restaurants","15.00% (1M L+1350 PIK, 1.50% Floor)",1/1/19,46400,44933,25520
68,Garden Fresh Restaurant Corp. (16),"Hotel, Gaming, Leisure, Restaurants","7.75% (3M L+625 PIK, 1.50% Floor)",1/1/19,8929,7569,7232
69,"GCA Services Group, Inc.",Business Services,"10.00% (3M L+900, 1.00% Floor)",2/22/24,10000,9750,10000
70,"Grocery Outlet, Inc.",Food & Grocery,"9.25% (3M L+825, 1.00% Floor)",10/21/22,25000,24673,23312
71,"GTCR Valor Companies, Inc.",Business Services,"9.50% (3M L+850, 1.00% Floor)",11/30/21,35000,34705,34810
72,"Infiltrator Systems Integrated, LLC","Manufacturing, Capital Equipment","9.75% (3M L+875, 1.00% Floor)",5/26/23,13889,13632,13637
73,"Institutional Shareholder Services, Inc.",Business Services,"8.50% (3M L+750, 1.00% Floor)",4/30/22,6640,6586,6109
74,MSC Software Corp. (17),High Tech Industries,"8.50% (3M L+750, 1.00% Floor)",5/31/21,13448,13342,11565
75,"Novolex Holdings, Inc.","Containers, Packaging & Glass","9.75% (3M L+875, 1.00% Floor)",6/5/22,42045,41120,39733
76,Pabst Brewing Company,Consumer Goods – Durable,"9.25% (3M L+825, 1.00% Floor)",11/14/22,27000,26703,26291
77,"Poseidon Merger Sub, Inc.",Business Services,"9.50% (3M L+850, 1.00% Floor)",8/15/23,18000,17501,17640
78,"Premier Trailer Leasing, Inc.","Transportation – Cargo, Distribution","10.00% (3M L+900, 1.00% Floor)",9/24/20,52000,51171,53040
79,River Cree Enterprises LP (11)(17),"Hotel, Gaming, Leisure, Restaurants",11.00%,1/20/21,23000,21684,17293
80,"SiTV, Inc. (11)",Broadcasting & Subscription,10.375%,7/1/19,2219,2219,1725
81,SMG,"Hotel, Gaming, Leisure, Restaurants","9.25% (3M L+825, 1.00% Floor)",2/27/21,19900,19900,19801
82,"Sprint Industrial Holdings, LLC","Containers, Packaging & Glass","11.25% (3M L+1000, 1.25% Floor)",11/14/19,16163,15507,11557
83,SquareTwo Financial Corp. (17),"Diversified Investment Vehicles, Banking, Finance, Real Estate",11.625%,4/1/17,65152,64722,32014
84,"Sterling Holdings Ultimate Parent, Inc.",High Tech Industries,"9.25% (3M L+825, 1.00% Floor)",6/19/23,20000,19804,19400
85,"STG-Fairway Acquisitions, Inc.",Business Services,"10.25% (3M L+925, 1.00% Floor)",6/30/23,15000,14649,14250
86,"TASC, Inc. (16)",Aerospace & Defense,12.00%,5/21/21,7704,7368,7357
87,"TASC, Inc. (16)",Aerospace & Defense,12.00%,5/21/21,7058,6934,6741
88,"TMK Hawk Parent, Corp.","Transportation – Cargo, Distribution","8.50% (3M L+750, 1.00% Floor)",10/1/22,34000,33709,33490
89,"Transfirst Holdings, Inc. (16)","Diversified Investment Vehicles, Banking, Finance, Real Estate","9.00% (3M L+800, 1.00% Floor)",11/11/22,29840,29538,29989
90,"Velocity Technology Solutions, Inc.",Business Services,"9.00% (3M L+775, 1.25% Floor)",9/28/20,16500,16252,15758
91,"Venoco, Inc. (14)(16)",Energy – Oil & Gas,8.875% Cash (12.00% PIK Toggle),2/28/19,37993,48170,20766
92,Unsecured Debt,,,,,,
93,"American Tire Distributors, Inc. (11)","Transportation – Cargo, Distribution",10.25%,3/1/22,14741,14819,13230
94,Canacol Energy Ltd. (17)(23),Energy – Oil & Gas,"9.50% (3M L+850, 1.00% Floor)",12/31/19,75000,73424,71400
95,"Delta Educational Systems, Inc. (14)(16)",Education,16.00% PIK,5/12/17,28276,28125,12110
96,"Radio One, Inc. (11)",Broadcasting & Subscription,9.25%,2/15/20,15804,15724,11004
97,"Sorenson Holdings, LLC (11)",Consumer Goods – Durable,13.00% Cash (13.00% PIK Toggle),10/31/21,52,35,50
98,Tibco Software Inc. (11)(16),High Tech Industries,11.375%,12/1/21,4984,4859,4317
99,"U.S. Security Associates Holdings, Inc.",Business Services,11.00%,7/28/18,135000,135000,136350
100,UniTek Global Services Inc. (16),Telecommunications,15.00% PIK,7/13/19,7362,7362,7362
101,Structured Products and Other,,,,,,
102,Asset Repackaging Trust Six B.V. (11)(17)(19),Utilities – Electric,13.87%,5/18/27,58411,25294,31628
103,"Craft 2013-1, Credit-Linked Note (11)(16)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",9.87% (3M L+925),4/17/22,25000,25066,23501
104,"Craft 2013-1, Credit-Linked Note (16)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",9.87% (3M L+925),4/17/22,7625,7730,7175
105,"Craft 2014-1A, Credit-Linked Note (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",10.27% (3M L+965),5/15/21,42500,42436,40257
106,"Craft 2015-2, Credit-Linked Note (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",9.87% (3M L+925),1/16/24,26000,25947,24219
107,"Dark Castle Holdings, LLC",Media – Diversified & Production,12.77%,N/A,24395,1189,1088
108,"JP Morgan Chase & Co., Credit-Linked Note (17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",12.82% (1M L+1225),12/20/21,43250,41427,42356
109,"NXT Capital CLO 2014-1, LLC, Class E Notes (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",5.93% (3M L+550),4/23/26,5000,4691,3900
110,"Renaissance Umiat, LLC, ACES Tax Receivable (15)(17)",Energy – Oil & Gas,15.25% to 17.46%,N/A,-,5592,5669
111,Equity,,,,,,
112,Preferred Equity,Shares,,,,,
113,"Crowley Holdings, Inc., Series A Preferred Stock (11)","Transportation – Cargo, Distribution",12.00% (10.00% Cash plus 2.00% PIK),N/A,32500,34003,34328
114,"Gryphon Colleges Corp., Preferred Stock (13)(14)",Education,13.50% PIK,N/A,12360,27686,-
115,"Gryphon Colleges Corp., Preferred Stock (13)(14)",Education,12.50% PIK,N/A,332500,6863,-
116,"Sungevity Inc., Series D Preferred Stock (13)",Energy – Electricity,N/A,N/A,114678899,4171,3750
117,"Varietal Distribution Holdings, LLC, Class A Preferred Unit","Transportation – Cargo, Distribution",4.00% PIK,N/A,3097,4092,4092
118,Common Equity/Interests,Shares,,,,,
119,"Accelerate Parent Corp., Common Stock (13)","Transportation – Cargo, Distribution",N/A,N/A,1664046,1714,2000
120,"AMP Solar Group, Inc., Class A Common Unit (13)(17)",Energy – Electricity,N/A,N/A,166974,7000,4022
121,"Clothesline Holdings, Inc., Common Stock (13)",Healthcare & Pharmaceuticals,N/A,N/A,6000,6000,642
122,"Explorer Coinvest, LLC, Membership Interests (17)",Business Services,N/A,N/A,N/A,1021,3755
123,"Garden Fresh Restaurant Holdings, LLC, Common Stock (13)","Hotel, Gaming, Leisure, Restaurants",N/A,N/A,50000,5000,-
124,"Gryphon Colleges Corp., Common Stock (13)",Education,N/A,N/A,17500,175,-
125,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",Business Services,N/A,N/A,4500,4500,4500
126,"Sorenson Holdings, LLC, Membership Interests (13)",Consumer Goods – Durable,N/A,N/A,587,-,140
127,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)","Transportation – Cargo, Distribution",N/A,N/A,28028,28,165
128,Warrants,Warrants,,,,,
129,"Energy & Exploration Partners, Inc., Common Stock Warrants (13)",Energy – Oil & Gas,N/A,N/A,60778,2374,-
130,"Gryphon Colleges Corp., Class A-1 Preferred Stock Warrants (13)",Education,N/A,N/A,45947,459,-
131,"Gryphon Colleges Corp., Class B-1 Preferred Stock Warrants (13)",Education,N/A,N/A,104314,1043,-
132,"Gryphon Colleges Corp., Common Stock Warrants (13)",Education,N/A,N/A,9820,98,-
133,"Osage Exploration & Development, Inc., Common Stock Warrants (13)(17)",Energy – Oil & Gas,N/A,N/A,1496843,-,-
134,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",Energy – Oil & Gas,N/A,N/A,54545,852,-
135,Non-Controlled/Affiliated Investments (4),,,,,,
136,Corporate Debt,,,,,,
137,Secured Debt,,,,,,
138,First Lien Secured Debt,,,,,,
139,"Pelican Energy, LLC (14)(17)",Energy – Oil & Gas,10.00% Cash (10.00% PIK Toggle),12/31/18,28313,26808,17500
140,Structured Products and Other,,,,,,
141,"Golden Bear Warehouse LLC, Membership Interests (3)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",N/A,N/A,32344,32908,49617
142,"Highbridge Loan Management 3-2014, Ltd., Subordinated Notes (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",5.15%,1/18/25,8163,5548,4975
143,"Ivy Hill Middle Market Credit Fund IX, Ltd., Subordinated Notes (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",16.88%,10/18/25,12500,10181,9717
144,"Ivy Hill Middle Market Credit Fund X, Ltd., Subordinated Notes (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",14.30%,7/18/27,14000,12290,10722
145,"Jamestown CLO I Ltd., Subordinated Notes (11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",0.00%,11/5/24,4325,2875,380
146,"MCF CLO I, LLC, Membership Interests (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",14.23%,4/20/23,38918,33268,33145
147,"MCF CLO III, LLC, Class E Notes (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",5.07% (3M L+445),1/20/24,12750,11570,10073
148,"MCF CLO III, LLC, Membership Interests (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",15.44%,1/20/24,41900,34700,31180
149,Equity,,,,,,
150,Preferred Equity,Shares,,,,,
151,"Renewable Funding Group, Inc., Series B Preferred Stock (13)",Energy – Electricity,N/A,N/A,1505868,8343,20459
152,"Renewable Funding Group, Inc., Series D Preferred Stock (13)",Energy – Electricity,N/A,N/A,436689,5568,5933
153,Common Equity/Interests,Shares,,,,,
154,"Generation Brands Holdings, Inc., Basic Common Stock (3)(13)",Consumer Goods – Durable,N/A,N/A,9007,-,9712
155,"Generation Brands Holdings, Inc., Series 2L Common Stock (3)(13)",Consumer Goods – Durable,N/A,N/A,36700,11242,39572
156,"Generation Brands Holdings, Inc., Series H Common Stock (3)(13)",Consumer Goods – Durable,N/A,N/A,7500,2297,8087
157,"LVI Group Investments, LLC, Common Units (3)(13)",Environmental Industries,N/A,N/A,212460,17505,21486
158,"Pelican Energy, LLC, Membership Interests (13)(17)",Energy – Oil & Gas,N/A,N/A,1228,1099,-
159,Controlled Investments (5),,,,,,
160,Corporate Debt,,,,,,
161,Secured Debt,,,,,,
162,First Lien Secured Debt,,,,,,
163,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,
164,Solarplicity Group Limited (17),Energy – Electricity,12.50% Cash (12.50% PIK Toggle),11/30/22,114670,171034,163034
165,Revolvers and Letters of Credit,,,,,,
166,"Merx Aviation Finance, LLC, Revolver (16)(23)",Aviation and Consumer Transport,12.00%,10/31/18,403084,403084,403084
167,"Merx Aviation Finance, LLC, Unfunded Revolver (16)(21)(23)",Aviation and Consumer Transport,0.00% Unfunded,10/31/18,96916,-,-
168,"Merx Aviation Finance, LLC, Letter of Credit (16)(23)",Aviation and Consumer Transport,2.25%,7/13/16,177,-,-
169,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",Aviation and Consumer Transport,2.25%,9/30/16,1800,-,-
170,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",Aviation and Consumer Transport,2.25%,9/30/16,1800,-,-
171,Second Lien Secured Debt,,,,,,
172,"Miller Energy Resources, Inc.",Energy – Oil & Gas,8.00% Cash (10.00% PIK Toggle),3/29/21,25000,25000,25000
173,Equity,,,,,,
174,Common Equity/Interests,Shares,,,,,
175,"Dynamic Product Tankers, LLC, Class A Units (17)(24)","Transportation – Cargo, Distribution",N/A,N/A,N/A,48106,48264
176,"Merx Aviation Finance, LLC, Membership Interests",Aviation and Consumer Transport,N/A,N/A,N/A,64255,93714
177,"Miller Energy Resources, Inc., Common Stock (13)",Energy – Oil & Gas,N/A,N/A,5000000,30078,30078
178,"MSEA Tankers LLC, Class A Units (17)(25)","Transportation – Cargo, Distribution",N/A,N/A,N/A,85000,84138
179,"Solarplicity Group Limited, Class B Common Shares (2)(13)(17)",Energy – Electricity,N/A,N/A,2825,2472,6665
