,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (28),Fair Value (1)(29),,
35,"Merx Aviation Finance, LLC","Merx Aviation Finance, LLC",,,,,,,,
36,,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,10.00,10/31/23,190500,190500,190500,(23),
37,,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25,07/13/21,177,0,0,(23),
38,,"Merx Aviation Finance, LLC (5)",Common Equity - Membership Interests,N/A,N/A,N/A,120300,125061,(25),
39,,"Merx Aviation Finance, LLC (5)",310800,315561,,,,,,
40,Primeflight,Primeflight,,,,,,,,
41,,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",05/09/24,17478,17229,17088,(9),
43,"Beverage, Food & Tobacco","Beverage, Food & Tobacco",,,,,,,,
44,Bolthouse Farms,Bolthouse Farms,,,,,,,,
45,,"Wm. Bolthouse Farms, Inc.",Common Equity - Common Stock,N/A,N/A,"1,000,000 Shares",1001,1070,(13),
46,Eagle Foods,Eagle Foods,,,,,,,,
47,,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",06/14/24,23458,23317,23224,(9),
48,,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"7.50 (3M L+650, 1.00 Floor)",06/14/23,750,750,742,(9)(23),
49,,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/14/23,3000,(19),(30),(8)(9)  (21)(23),
50,,"Eagle Foods Family Group, LLC",24048,23936,,,,,,
51,"Florida Food Products, Inc.","Florida Food Products, Inc.",,,,,,,,
52,,"Florida Food Products, Inc.",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",09/08/25,22705,22345,22592,(9),
53,,"Florida Food Products, Inc.",First Lien Secured Debt,"8.25 (3M L+725, 1.00 Floor)",09/08/25,2977,2795,2977,(9),
54,,"Florida Food Products, LLC",First Lien Secured Debt - Revolver,"7.50 (3M L+650, 1.00 Floor)",09/06/23,479,479,477,(9)(23),
55,,"Florida Food Products, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/06/23,1233,(21),(6),(8)(9)  (21)(23),
56,,"Florida Food Products, LLC",25598,26040,,,,,,
57,"Orgain, Inc.","Orgain, Inc.",,,,,,,,
58,,"Butterfly Fighter Co-Invest, L.P.",Common Equity - Membership Interests,N/A,N/A,"1,000,000 Shares",1005,1275,(13),
59,TNT Crust LLC,TNT Crust LLC,,,,,,,,
60,,TNT Crust LLC,First Lien Secured Debt,"7.75 (3M L+675, 1.00 Floor)",11/06/23,20473,20223,20166,(9),
61,,TNT Crust LLC,First Lien Secured Debt - Revolver,"7.75 (3M L+675, 1.00 Floor)",11/06/23,325,325,320,(9)(23),
62,,TNT Crust LLC,First Lien Secured Debt - Revolver,"7.75 (1M L+675, 1.00 Floor)",11/06/23,813,813,801,(9)(23),
63,,TNT Crust LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/06/23,2114,(36),(32),(8)(9)  (21)(23),
64,,TNT Crust LLC,Common Equity - Series A Units,N/A,N/A,244 Shares,30,276,(9)(13),
65,,TNT Crust LLC,21355,21531,,,,,,
66,Turkey Hill,Turkey Hill,,,,,,,,
67,,IC Holdings LLC,Common Equity - Series A Units,N/A,N/A,169 Shares,169,351,(9)(13),
68,,THLP CO. LLC,First Lien Secured Debt,"7.00 (12M L+600, 1.00 Floor)",05/30/25,2787,2763,2759,(9),
69,,THLP CO. LLC,First Lien Secured Debt,8.25 (P+500),05/30/25,1,1,1,(9),
70,,THLP CO. LLC,First Lien Secured Debt,"7.00 (2M L+600, 1.00 Floor)",05/30/25,19562,19290,19366,(9),
71,,THLP CO. LLC,First Lien Secured Debt - Revolver,8.25 (P+500),05/31/24,2360,2360,2336,(9)(23),
72,,THLP CO. LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/31/24,2135,(57),(21),(8)(9)  (21)(23),
73,,THLP CO. LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,05/30/25,2809,(39),(28),(8)(9)  (21)(23),
74,,THLP CO. LLC,24487,24764,,,,,,
76,Business Services,Business Services,,,,,,,,
77,Access Information,Access Information,,,,,,,,
78,,"Access CIG, LLC",Second Lien Secured Debt,7.87 (1M L+775),02/27/26,15900,15807,15709,,
79,Ambrosia Buyer Corp.,Ambrosia Buyer Corp.,,,,,,,,
80,,Ambrosia Buyer Corp.,Second Lien Secured Debt,9.00,08/28/25,21429,20536,12795,(14),
81,AML Rightsource,AML Rightsource,,,,,,,,
82,,"Gabriel Partners, LLC",First Lien Secured Debt,"7.25 (6M L+625, 1.00 Floor)",09/21/26,10176,9945,9971,(9),
83,,"Gabriel Partners, LLC",First Lien Secured Debt - Revolver,"7.25 (6M L+625, 1.00 Floor)",09/21/26,443,443,435,(9)(23),
84,,"Gabriel Partners, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/21/26,222,(15),(4),(8)(9)  (21)(23),
85,,"Gabriel Partners, LLC",10373,10402,,,,,,
86,Claritas,Claritas,,,,,,,,
87,,"Claritas, LLC",First Lien Secured Debt,"7.00 (3M L+600, 1.00 Floor)",12/21/23,3746,3724,3708,(9),
88,,"Claritas, LLC",First Lien Secured Debt - Revolver,"7.00 (3M L+600, 1.00 Floor)",12/21/23,129,129,128,(9)(23),
89,,"Claritas, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/21/23,902,(6),(9),(8)(9)  (21)(23),
90,,"Claritas, LLC",3847,3827,,,,,,
91,Continuum,Continuum,,,,,,,,
92,,"Continuum Global Solutions, LLC",First Lien Secured Debt - Revolver,"6.50 (1M L+550, 1.00 Floor)",02/15/22,5317,5317,5224,(9)(23),
93,,"Continuum Global Solutions, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/15/22,14683,(142),(257),(8)(9)  (21)(23),
94,,"Continuum Global Solutions, LLC",Preferred Equity - Preferred Equity,N/A,N/A,775 Shares,78,78,(9)(13),
95,,"Continuum Global Solutions, LLC",5253,5045,,,,,,
96,Education Personnel,Education Personnel,,,,,,,,
97,,Arthur Bidco Limited,First Lien Secured Debt,"6.00 (1M GBPL+550, 0.50 Floor)",08/31/24,£,4035,5162,5309,(9)(17)
98,,Arthur Bidco Limited,First Lien Secured Debt - Revolver,"6.00 (1M GBPL+550, 0.50 Floor)",08/31/24,£,1471,1881,1933,(9)(17)  (23)
99,,Arthur Bidco Limited,7043,7242,,,,,,
100,Electro Rent Corporation,Electro Rent Corporation,,,,,,,,
101,,Electro Rent Corporation,Second Lien Secured Debt,"10.00 (3M L+900, 1.00 Floor)",01/31/25,34235,33672,33722,(9),
102,Elo Touch,Elo Touch,,,,,,,,
103,,TGG TS Acquisition Company,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/14/23,1750,0,(33),(8)(21)  (23),
104,Ensemble Health,Ensemble Health,,,,,,,,
105,,"EHL Merger Sub, LLC",First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,08/01/24,4155,(254),(140),(8)(21)  (23),
106,Jacent,Jacent,,,,,,,,
107,,Jacent Strategic Merchandising,First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",04/23/24,22352,22146,21896,(9),
108,,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",04/23/24,2567,2567,2514,(9)(23),
109,,Jacent Strategic Merchandising,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/23/24,933,(32),(19),(8)(9)  (21)(23),
110,,Jacent Strategic Merchandising,Common Equity - Common Stock,N/A,N/A,"5,000 Shares",500,313,(9)(13),
111,,"JSM Equity Investors, L.P.",Preferred Equity - Class P Partnership Units,N/A,N/A,114 Shares,11,11,(9)(13)  (25),
112,,"JSM Equity Investors, L.P.",25192,24715,,,,,,
113,Jones & Frank,Jones & Frank,,,,,,,,
114,,"JF Acquisition, LLC",First Lien Secured Debt,"6.50 (12M L+550, 1.00 Floor)",07/31/24,13139,12963,12965,(9),
115,,"JF Acquisition, LLC",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",07/31/24,169,167,167,(9),
116,,"JF Acquisition, LLC",First Lien Secured Debt - Revolver,"6.50 (1M L+550, 1.00 Floor)",07/31/24,628,628,619,(9)(23),
117,,"JF Acquisition, LLC",First Lien Secured Debt - Revolver,"6.50 (12M L+550, 1.00 Floor)",07/31/24,628,628,619,(9)(23),
118,,"JF Acquisition, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/31/24,314,(21),(4),(8)(9)  (21)(23),
119,,"JF Acquisition, LLC",14365,14366,,,,,,
120,MAKS,MAKS,,,,,,,,
121,,Trident Bidco Limited,First Lien Secured Debt,"6.50 (6M L+550, 1.00 Floor)",11/08/25,34562,33765,34013,(9)(17),
122,McLarens,McLarens,,,,,,,,
123,,Margaux Acquisition Inc.,First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/19/24,23054,22766,22876,(9),
124,,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/19/24,1601,(20),(12),(8)(9)  (21)(23),
125,,Margaux UK Finance Limited,First Lien Secured Debt,"6.75 (3M GBPL+575, 1.00 Floor)",12/19/24,£,7183,8965,9835,(9)(17)
126,,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/19/24,£,541,(8),(6),(8)(9)  (17)(21)(23)
127,,Margaux UK Finance Limited,31703,32693,,,,,,
128,Naviga,Naviga,,,,,,,,
129,,"Naviga Inc. (fka Newscycle Solutions, Inc.)",First Lien Secured Debt,"8.00 (3M L+700, 1.00 Floor)",12/29/22,11024,10910,10914,(9),
130,,"Naviga Inc. (fka Newscycle Solutions, Inc.)",First Lien Secured Debt - Revolver,"8.00 (1M L+700, 1.00 Floor)",12/29/22,240,240,238,(9)(23),
131,,"Naviga Inc. (fka Newscycle Solutions, Inc.)",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/22,260,(4),(3),(8)(9)  (21)(23),
132,,"Naviga Inc. (fka Newscycle Solutions, Inc.)",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/29/22,1282,(15),(13),(8)(9)  (21)(23),
133,,"Naviga Inc. (fka Newscycle Solutions, Inc.)",11131,11136,,,,,,
134,"PSI Services, LLC","PSI Services, LLC",,,,,,,,
135,,"Lifelong Learner Holdings, LLC",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",10/19/26,32536,32005,31420,(9),
136,,"Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",10/20/25,1039,1039,1009,(9)(23),
137,"RA Outdoors, LLC (Active Outdoors)","RA Outdoors, LLC (Active Outdoors)",,,,,,,,
138,,"RA Outdoors, LLC",First Lien Secured Debt,"5.75 (6M L+475, 1.00 Floor)",09/11/24,6525,6461,6460,(9),
139,,"RA Outdoors, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/09/22,1200,(7),0,(9)(21)  (23),
140,,"RA Outdoors, LLC",Second Lien Secured Debt,"9.75 (6M L+875, 1.00 Floor)",09/11/25,31950,31504,31311,(9),
141,,"RA Outdoors, LLC",37958,37771,,,,,,
142,Soliant,Soliant,,,,,,,,
143,,"Soliant Health, Inc.",Common Equity - Membership Interests,N/A,N/A,300 Shares,300,374,(9)(13),
144,,"Soliant Holdings, LLC",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",12/31/26,16274,16007,16274,(9),
145,,"Soliant Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/24,1936,(29),0,(9)(21) (23),
146,,"Soliant Holdings, LLC",16278,16648,,,,,,
147,"Transplace Holdings, Inc.","Transplace Holdings, Inc.",,,,,,,,
148,,"Transplace Holdings, Inc.",Second Lien Secured Debt,"9.75 (3M L+875, 1.00 Floor)",10/06/25,8599,8476,8513,,
149,US Legal Support,US Legal Support,,,,,,,,
150,,"US Legal Support Investment Holdings, LLC",Common Equity - Series A-1 Units,N/A,N/A,"631,972 Shares",632,474,(9)(13),
151,,"USLS Acquisition, Inc.",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/02/24,24250,23948,22785,(9),
152,,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/02/24,1508,(20),(93),(8)(9)  (21)(23),
153,,"USLS Acquisition, Inc.",First Lien Secured Debt - Letters of Credit,5.75,05/23/21 - 12/31/21,100,0,(6),(8)(9)  (23),
154,,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/02/24,670,(7),(24),(8)(9)  (21)(23),
155,,"USLS Acquisition, Inc.",24553,23136,,,,,,
157,"Chemicals, Plastics & Rubber","Chemicals, Plastics & Rubber",,,,,,,,
158,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,,,
159,,Carbonfree Chemicals Holdings LLC (4),Common Equity - Common Equity / Interest,N/A,N/A,"2,288 Shares",45391,25424,(13)(16)  (25),
160,,Carbonfree Chemicals SA LLC (4),Common Equity - Class B Units,N/A,N/A,"3,152 Shares",32434,0,(3)(13)  (16)(25),
161,,Carbonfree Chemicals SA LLC (4),77825,25424,,,,,,
162,Niacet Corporation,Niacet Corporation,,,,,,,,
163,,"Hare Bidco, Inc.",Second Lien Secured Debt,"9.75 (1M E+875, 1.00 Floor)",08/01/24,€,11351,12165,13307,
164,"Westfall Technik, Inc.","Westfall Technik, Inc.",,,,,,,,
165,,"Westfall Technik, Inc.",First Lien Secured Debt,"7.25 (1M L+625, 1.00 Floor)",09/13/24,15777,15588,15355,(9),
166,,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"7.25 (1M L+625, 1.00 Floor)",09/13/24,1750,1750,1702,(9)(23),
167,,"Westfall Technik, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/24,269,(23),(7),(8)(9)  (21)(23),
168,,"Westfall Technik, Inc.",17315,17050,,,,,,
170,Construction & Building,Construction & Building,,,,,,,,
171,Englert,Englert,,,,,,,,
172,,"Gutter Buyer, Inc.",First Lien Secured Debt,"7.25 (1M L+625, 1.00 Floor)",03/06/25,28629,28267,28022,(9),
173,,"Gutter Buyer, Inc.",First Lien Secured Debt - Revolver,8.50 (P+525),03/06/24,409,409,401,(9)(23),
174,,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/06/24,2279,(40),(43),(8)(9)  (21)(23),
175,,"Gutter Buyer, Inc.",First Lien Secured Debt - Letter of Credit,6.25,07/01/21,39,0,(1),(8)(9)  (23),
176,,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,03/06/25,55,(33),(1),(8)(9)  (21)(23),
177,,"Gutter Holdings, LP",Common Equity - Common Stock,N/A,N/A,500 Shares,500,1128,(9)(13),
179,Consumer Goods – Durable,Consumer Goods – Durable,,,,,,,,
180,A&V,A&V,,,,,,,,
181,,"A&V Holdings Midco, LLC",First Lien Secured Debt,"6.38 (3M L+538, 1.00 Floor)",03/10/27,10854,10514,10550,,
182,,"A&V Holdings Midco, LLC",First Lien Secured Debt - Unfunded Revolver,0.375 Unfunded,03/10/25,1505,(107),(89),(8)(21)  (23),
183,,"A&V Holdings Midco, LLC",10407,10461,,,,,,
184,KDC,KDC,,,,,,,,
185,,KDC US Holdings,First Lien Secured Debt - Revolver,3.11 (1M L+300),12/21/23,2696,2696,2635,(23),
186,,KDC US Holdings,First Lien Secured Debt - Unfunded Revolver,0.38 Unfunded,12/21/23,3270,0,(74),(8)(21)  (23),
187,,KDC US Holdings,First Lien Secured Debt - Letter of Credit,3.00,11/06/21 - 03/16/22,50,0,(1),(8)(23),
188,,KDC US Holdings,First Lien Secured Debt - Letters of Credit,3.00,02/05/22,£,4,0,0,(23)
189,,KDC US Holdings,2696,2560,,,,,,
190,"KLO Holdings, LLC","KLO Holdings, LLC",,,,,,,,
191,,1244311 B.C. Ltd. (4),First Lien Secured Debt,"6.00 (1M L+500, 1.00 Floor)",09/25/25,2993,2993,2857,(17),
192,,1244311 B.C. Ltd. (4),First Lien Secured Debt,"6.00 (3M L+500 PIK, 1.00 Floor)",09/25/25,1016,1016,965,(17),
193,,1244311 B.C. Ltd. (4),Common Equity - Common Stock,N/A,N/A,"1,000,032 Shares",1000,1719,(2)(13)  (17)(25),
194,,9357-5991 Quebec Inc. (4),First Lien Secured Debt,11.25 (3M L+775 Cash plus 2.00 PIK),04/07/22,3945,0,0,(14),
195,,9357-5991 Quebec Inc. (4),5009,5541,,,,,,
196,Liqui-Box,Liqui-Box,,,,,,,,
197,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"5.50 (3M L+450, 1.00 Floor)",02/26/25,1661,1661,1660,(23),
198,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,6.75 (P+350),02/26/25,190,190,190,(23),
199,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"5.50 (1M L+450, 1.00 Floor)",02/26/25,475,475,474,(23),
200,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/26/25,1161,(28),(1),(8)(21)  (23),
201,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Letter of Credit,4.50,06/30/21,€,42,0,0,(23)
202,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Letters of Credit,4.50,09/27/21 - 12/31/24,32,0,0,(23),
203,,"Liqui-Box Holdings, Inc.",2298,2323,,,,,,
204,NSi Industries,NSi Industries,,,,,,,,
205,,"Wildcat BuyerCo, Inc.",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",02/27/26,7174,6878,7074,,
206,,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/27/26,717,(13),(10),(8)(21)  (23),
207,,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Letter of Credit,5.25,08/30/21,8,0,0,(23),
208,,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,02/27/26,2029,(29),(28),(8)(21)  (23),
209,,Wildcat Parent LP,Common Equity - Common Stock,N/A,N/A,"1,070 Shares",107,141,(13),
210,,Wildcat Parent LP,6943,7177,,,,,,
211,"Sorenson Holdings, LLC","Sorenson Holdings, LLC",,,,,,,,
212,,"Sorenson Holdings, LLC",Common Equity - Membership Interests,N/A,N/A,587 Shares,0,484,(10)(13),
214,Consumer Goods – Non-durable,Consumer Goods – Non-durable,,,,,,,,
215,3D Protein,3D Protein,,,,,,,,
216,,"Protein For Pets Opco, LLC",First Lien Secured Debt,"5.50 (3M L+450, 1.00 Floor)",11/28/25,11487,11322,11429,(9),
217,,"Protein For Pets Opco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/31/24,2219,(37),(11),(8)(9)  (21)(23),
218,,"Protein For Pets Opco, LLC",11285,11418,,,,,,
219,Beauty Industry Group (BIG),Beauty Industry Group (BIG),,,,,,,,
220,,"BIG Buyer, LLC",First Lien Secured Debt,"7.50 (6M L+650, 1.00 Floor)",11/20/23,19428,19121,19247,(9),
221,,"BIG Buyer, LLC",First Lien Secured Debt - Revolver,"7.50 (1M L+650, 1.00 Floor)",11/20/23,722,722,708,(9)(23),
222,,"BIG Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/20/23,1083,(29),(22),(8)(9)  (21)(23),
223,,"BIG Buyer, LLC",19814,19933,,,,,,
224,Dan Dee,Dan Dee,,,,,,,,
225,,"Project Comfort Buyer, Inc.",First Lien Secured Debt,"8.00 (3M L+700, 1.00 Floor)",02/01/25,22435,22003,21457,(9),
226,,"Project Comfort Buyer, Inc.",First Lien Secured Debt,"8.00 (12M L+700, 1.00 Floor)",02/01/25,3848,3789,3680,(9),
227,,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/01/24,3462,(59),(161),(8)(9)  (21)(23),
228,,"Project Comfort Buyer, Inc.",Preferred Equity - Preferred Equity,N/A,N/A,"461,538 Shares",462,212,(9)(13),
229,,"Project Comfort Buyer, Inc.",26195,25188,,,,,,
230,LashCo,LashCo,,,,,,,,
231,,"Lash OpCo, LLC",First Lien Secured Debt,9.25 (P+600),03/18/26,10223,9988,9943,(9),
232,,"Lash OpCo, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/18/25,697,(16),(19),(8)(9)  (21)(23),
233,,"Lash OpCo, LLC",9972,9924,,,,,,
234,Olaplex,Olaplex,,,,,,,,
235,,"Olaplex, Inc.",First Lien Secured Debt,"7.50 (1M L+650, 1.00 Floor)",01/08/26,12300,12104,12210,(9),
236,,"Olaplex, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/08/25,2300,(35),(19),(8)(9)  (21)(23),
237,,"Olaplex, Inc.",12069,12191,,,,,,
238,"Sequential Brands Group, Inc.","Sequential Brands Group, Inc.",,,,,,,,
239,,"Sequential Brands Group, Inc.",Second Lien Secured Debt,"9.75 (1M L+875, 1.00 Floor)",02/07/24,12837,12777,10536,(17),
241,Consumer Services,Consumer Services,,,,,,,,
242,Clarus Commerce,Clarus Commerce,,,,,,,,
243,,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt,"7.50 (6M L+650, 1.00 Floor)",07/01/25,19127,18817,18744,,
244,,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/01/25,685,(8),(14),(8)(21)  (23),
245,,"Marlin DTC-LS Midco 2, LLC",18809,18730,,,,,,
246,First Heritage,First Heritage,,,,,,,,
247,,"First Heritage Credit, LLC",First Lien Secured Debt,4.87 (1M L+475),04/02/22,18000,17945,17883,(9),
248,,"First Heritage Credit, LLC",First Lien Secured Debt - Revolver,5.62 (1M L+550),04/02/22,747,747,743,(9)(23),
249,,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/02/22,3003,(13),(18),(8)(9)  (21)(23),
250,,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,04/02/22,8250,(33),(54),(8)(9)  (21)(23),
251,,"First Heritage Credit, LLC",18646,18554,,,,,,
252,Go Car Wash,Go Car Wash,,,,,,,,
253,,Go Car Wash Management Corp.,First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",12/31/26,1838,1808,1796,(9),
254,,Go Car Wash Management Corp.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/26,417,(5),(9),(8)(9)  (21)(23),
255,,Go Car Wash Management Corp.,First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/31/26,2742,(17),(62),(8)(9)  (21)(23),
256,,Go Car Wash Management Corp.,1786,1725,,,,,,
257,Lending Point,Lending Point,,,,,,,,
258,,LendingPoint LLC,First Lien Secured Debt,"11.50 (3M L+1050, 1.00 Floor)",12/30/25,11375,11267,11253,(9),
259,,LendingPoint LLC,First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",12/30/25,1000,991,989,(9)(23),
260,,LendingPoint LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/30/25,6125,(58),(66),(8)(9)  (21)(23),
261,,LendingPoint LLC,12200,12176,,,,,,
262,Nutrisystem,Nutrisystem,,,,,,,,
263,,"Nutrisystem, Inc.",First Lien Secured Debt,"7.50 (1M L+650, 1.00 Floor)",12/08/25,8800,8634,8663,,
264,,"Nutrisystem, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/08/25,200,(4),(3),(8)(21)  (23),
265,,"Nutrisystem, Inc.",8630,8660,,,,,,
