,0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20
50,"CT Technologies Intermediate Holdings, Inc",,Second Lien Secured Debt,,"11.09 (1M L+900, 1.00 Floor)",,12/01/22,31253,,,30511,,,30315,,,(9),,,
51,Electro Rent Corporation,,Second Lien Secured Debt,,"11.31 (3M L+900, 1.00 Floor)",,01/31/25,18333,,,17880,,,17967,,,(9),,,
52,,,Second Lien Secured Debt,,"11.33 (3M L+900, 1.00 Floor)",,01/31/25,18265,,,17766,,,17899,,,(9),,,
53,,,,,,,,,,35646,,,35866,,,,,,,
54,"Ministry Brands, LLC",,Second Lien Secured Debt,,"11.75 (6M L+925, 1.00 Floor)",,06/02/23,10000,,,9886,,,10065,,,,,,
55,"Newscycle Solutions, Inc.",,First Lien Secured Debt,,"9.09 (1M L+700, 1.00 Floor)",,12/29/22,16069,,,15716,,,15909,,,(9),,,
56,,,First Lien Secured Debt - Revolver,,"9.10 (1M L+700, 1.00 Floor)",,12/29/22,160,,,160,,,158,,,(9)(23),,,
57,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,12/29/22,340,,,(13,,,(3,,,(8)(9)(21)(23),,,
58,,,,,,,,,,15863,,,16064,,,,,,,
59,"PSI Services, LLC",,First Lien Secured Debt,,"7.09 (1M L+500, 1.00 Floor)",,01/20/23,4609,,,4522,,,4565,,,(9),,,
60,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,01/20/22,397,,,(7,,,(4,,,(8)(9)(21)(23),,,
61,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,01/20/22,£,47.0,,,0,,,0,,,(9)(21)(23),,
62,,,Second Lien Secured Debt,,"11.09 (1M L+900, 1.00 Floor)",,01/20/24,33452,,,32688,,,32796,,,(9),,,
63,,,,,,,,,,37203,,,37357,,,,,,,
64,"RA Outdoors, LLC",,First Lien Secured Debt,,"6.84 (1M L+475, 1.00 Floor)",,09/11/24,7192,,,7065,,,7121,,,(9),,,
65,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/09/22,1200,,,(20,,,(12,,,(8)(9)(21)(23),,,
66,,,Second Lien Secured Debt,,"10.84 (1M L+875, 1.00 Floor)",,09/11/25,34200,,,33430,,,33515,,,(9),,,
67,,,,,,,,,,40475,,,40624,,,,,,,
68,Skyline Data/Dodge Data,,,,,,,,,,,,,,,,,,,
69,Dodge Data & Analytics LLC,,First Lien Secured Debt,,"11.09 (3M L+875, 1.00 Floor)",,10/31/19,48209,,,47950,,,48210,,,,,,
70,"Skyline Data, News and Analytics LLC",,Common Equity/Interests - Class A Common Unit,,,,,"4,500,000 Shares",,,4500,,,4500,,,(13),,,
71,,,,,,,,,,52450,,,52710,,,,,,,
72,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,
73,"STG-Fairway Acquisitions, Inc.",,Second Lien Secured Debt,,"11.34 (1M L+925, 1.00 Floor)",,06/30/23,15000,,,14765,,,14400,,,(10),,,
74,"Transplace Holdings, Inc.",,Second Lien Secured Debt,,"10.80 (1M L+875, 1.00 Floor)",,10/06/25,13599,,,13288,,,13735,,,(10),,,
75,"U.S. Security Associates Holdings, Inc.",,Unsecured Debt,,11.00,,01/28/20,80000,,,80000,,,80000,,,,,,
76,Total Business Services,,,,416606,,,418479,,,,,,,,,,,,
77,"Chemicals, Plastics & Rubber",,,,,,,,,,,,,,,,,,,
78,Carbon Free Chemicals,,,,,,,,,,,,,,,,,,,
79,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,First Lien Secured Debt,,5.215 PIK,,09/30/20,,51805.0,,,,51805,,,,46457,,,
80,,,Common Equity/Partnership Interests - Residual Interests,,,,09/30/20,7500,,,7500,,,0,,,(13),,,
81,Carbonfree Caustic SPE LLC,,Unfunded Delayed Draw - Promissory Note,,,,06/30/20,6111,,,0,,,0,,,(21)(23),,,
82,,,,,,,,,,59305,,,46457,,,,,,,
83,"Hare Bidco, Inc.",,Second Lien Secured Debt,,"9.75 (3M E+875, 1.00 Floor)",,08/01/24,€,13574.0,,,14434,,,15532,,,,,
84,"Total Chemical, Plastics & Rubber",,,,73739,,,61989,,,,,,,,,,,,
85,Consumer Goods – Durable,,,,,,,,,,,,,,,,,,,
86,"Hayward Industries, Inc.",,Second Lien Secured Debt,,10.34 (1M L+825),,08/04/25,,25110.0,,,,24664,,,,24660,,,
87,KLO Holdings,,,,,,,,,,,,,,,,,,,
88,9357-5991 Quebec Inc.,,First Lien Secured Debt,,"11.75 (1M L+975, 0.75 Floor)",,04/07/22,9203,,,9117,,,8857,,,,,,
89,KLO Acquisition LLC,,First Lien Secured Debt,,"11.88 (1M L+975, 0.75 Floor)",,04/07/22,5363,,,5312,,,5161,,,,,,
90,,,,,,,,,,14429,,,14018,,,,,,,
91,"Sorenson Holdings, LLC",,Common Equity/Interests - Membership Interests,,,,,587 Shares,,,0,,,471,,,(13),,,
92,Total Consumer Goods - Durable,,,,39093,,,39149,,,,,,,,,,,,
93,Consumer Goods – Non-Durable,,,,,,,,,,,,,,,,,,,
94,"ABG Intermediate Holdings 2, LLC",,Second Lien Secured Debt,,"9.84 (1M L+775, 1.00 Floor)",,09/29/25,,11232.0,,,,11168,,,,11260,,,(10)
95,,,Second Lien Secured Debt - Unfunded Delayed Draw,,0.3875 Unfunded,,09/29/25,1139,,,0,,,0,,,(21)(23),,,
96,,,,,,,,,,11168,,,11260,,,,,,,
97,"Sequential Brands Group, Inc.",,Second Lien Secured Debt,,11.09 (1M L+900),,07/01/22,17072,,,16929,,,17168,,,(17),,,
98,Total Consumer Goods - Non-Durable,,,,28097,,,28428,,,,,,,,,,,,
99,Consumer Services,,,,,,,,,,,,,,,,,,,
100,1A Smart Start LLC,,Second Lien Secured Debt,,"10.34 (1M L+825, 1.00 Floor)",,08/22/22,,25100.0,,,,24654,,,,24645,,,
101,Total Consumer Services,,,,24654,,,24645,,,,,,,,,,,,
102,"Containers, Packaging & Glass",,,,,,,,,,,,,,,,,,,
103,"Sprint Industrial Holdings, LLC",,Second Lien Secured Debt,,13.5 PIK,,11/14/19,,19714.0,,,,18107,,,,11770,,,(13)(14)
104,,,Common Equity/Interests - Warrants,,,,,"7,341 Warrants",,,0,,,0,,,(13)(26),,,
105,,,,,,,,,,18107,,,11770,,,,,,,
106,"TricorBraun Holdings, Inc.",,First Lien Secured Debt - Revolver,,7.25 (P+225),,11/30/21,450,,,450,,,451,,,(23),,,
107,,,First Lien Secured Debt - Revolver,,5.34 (1M L+325),,11/30/21,1500,,,1500,,,1503,,,(23),,,
108,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,
109,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,11/30/21,3675,,,(346,,,0,,,(21)(23),,,
110,,,1604,,,1954.0,,,,,,,,,,,,,,
111,"Total Containers, Packaging & Glass",,,,19711,,,13724,,,,,,,,,,,,
112,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,,,,,,,,,,,,
113,Armor Holding II LLC,,Second Lien Secured Debt,,"11.09 (1M L+900, 1.25 Floor)",,12/26/20,,8000.0,,,,7946,,,,8070,,,(10)
114,Craft 2014-1A,,Structured Products and Other - Credit-Linked Note,,,,05/15/21,42500,,,0,,,0,,,(11)(17),,,
115,Craft 2015-2,,Structured Products and Other - Credit-Linked Note,,10.62 (3M L+925),,01/16/24,24998,,,25599,,,24998,,,(11)(17),,,
116,"Golden Bear 2016-R, LLC (3)(4)",,Structured Products and Other - Membership Interests,,,,09/20/42,0,,,16548,,,13634,,,(17),,,
117,Mayfield Agency Borrower Inc.,,Second Lien Secured Debt,,"10.59 (1M L+850, 1.00 Floor)",,03/02/26,5000,,,4928,,,4978,,,(10),,,
118,"Purchasing Power, LLC",,First Lien Secured Debt - Revolver,,"10.09 (1M L + 800, 1.00 Floor)",,07/10/19,2179,,,2179,,,2167,,,(9)(23),,,
119,,,First Lien Secured Debt - Unfunded Revolver,,0.75 Unfunded,,07/10/19,2321,,,(23,,,(12,,,(8)(9)(21)(23),,,
120,,,,,,,,,,2156,,,2155,,,,,,,
121,"Ten-X, LLC",,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/29/22,4680,,,(358,,,(366,,,(8)(21)(23),,,
122,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,56819,,,53469,,,,,,,,,,,,
123,Energy – Electricity,,,,,,,,,,,,,,,,,,,
124,"AMP Solar Group, Inc. (4)",,Common Equity/Interests - Class A Common Unit,,,,,"243,646 Shares",,,10000,,,5114,,,(13)(17),,,
125,Renew Financial,,,,,,,,,,,,,,,,,,,
126,"AIC SPV Holdings II, LLC (4)",,Preferred Equity - Preferred Stock,,,,,143 Shares,,,534,,,886,,,(15)(17),,,
127,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",,Preferred Equity - Series B Preferred Stock,,,,,"1,505,868 Shares",,,8343,,,18809,,,(13),,,
128,,,Preferred Equity - Series D Preferred Stock,,,,,"436,689 Shares",,,5568,,,6620,,,(13),,,
129,Renew JV LLC (4),,Common Equity/Interests - Membership Interests,,,,,,,,3065,,,5207,,,(13)(17),,,
130,,,,,,,,,,17510,,,31522,,,,,,,
131,Solarplicity Group,,,,,,,,,,,,,,,,,,,
132,Solarplicity Group Limited (3)(4),,First Lien Secured Debt,,,,11/30/22,£,4331.0,,,5811,,,5705,,,(13)(17),,
133,Solarplicity UK Holdings Limited,,First Lien Secured Debt,,4.00,,03/08/23,£,5562.0,,,7636,,,7317,,,(17),,
134,,,Preferred Equity - Preferred Stock,,,,,"4,286 Shares",,,5862,,,4752,,,(2)(13)(17),,,
135,,,Common Equity/Interests - Ordinary Shares,,,,,"2,825 Shares",,,4,,,974,,,(2)(13)(17),,,
136,,,,,,,,,,19313,,,18748,,,,,,,
137,Westinghouse Electric Co LLC,,First Lien Secured Debt,,"6.63 (1M L+450, 1.00 Floor)",,01/11/19,30000,,,30000,,,30000,,,(9),,,
138,Total Energy – Electricity,,,,76823,,,85384,,,,,,,,,,,,
139,Energy – Oil & Gas,,,,,,,,,,,,,,,,,,,
140,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",,First Lien Secured Debt,,8.00 Cash (10.00 PIK Toggle),,03/29/19,,15000.0,,,,15000,,,,15000,,,
141,,,Second Lien Secured Debt,,10.00 PIK (8.00 Cash Toggle),,03/29/21,31279,,,31279,,,31279,,,,,,
142,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,
143,,,Common Equity/Interests - Common Stock,,,,,"5,000,000 Shares",,,30078,,,15981,,,(13),,,
144,,,,,,,,,,76357,,,62260,,,,,,,
145,"Pelican Energy, LLC (4)",,Common Equity/Interests - Membership Interests,,,,,"1,444 Shares",,,20108,,,8148,,,(13)(17)(29),,,
146,"SHD Oil & Gas, LLC (5)",,First Lien Secured Debt - Tranche A Note,,14.00 (8.00 Cash plus 6.00 PIK),,12/31/19,44095,,,44095,,,45417,,,,,,
147,,,First Lien Secured Debt - Tranche B Note,,14.00 PIK,,12/31/19,75823,,,44380,,,45470,,,(13)(14),,,
148,,,First Lien Secured Debt - Tranche C Note,,12.00,,12/31/19,19200,,,19200,,,19776,,,,,,
149,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,12/31/19,2800,,,0,,,0,,,(21)(23),,,
150,,,Common Equity/Interests - Series A Units,,,,,"7,600,000 Shares",,,1411,,,0,,,(13)(29),,,
151,,,,,,,,,,109086,,,110663,,,,,,,
152,Total Energy – Oil & Gas,,,,205551,,,181071,,,,,,,,,,,,
153,Food & Grocery,,,,,,,,,,,,,,,,,,,
154,Bumble Bee Foods,,,,,,,,,,,,,,,,,,,
155,"Bumble Bee Holdings, Inc.",,First Lien Secured Debt,,"10.33 (3M L+800, 1.00 Floor)",,08/15/23,,15468.0,,,,15193,,,,15158,,,
156,Connors Bros Clover Leaf Seafoods Company,,First Lien Secured Debt,,"10.33 (3M L+800, 1.00 Floor)",,08/15/23,4382,,,4304,,,4294,,,,,,
157,,,,,,,,,,19497,,,19452,,,,,,,
158,"Grocery Outlet, Inc.",,Second Lien Secured Debt,,"10.34 (1M L+825, 1.00 Floor)",,10/21/22,25000,,,24796,,,25250,,,(10),,,
159,Total Food & Grocery,,,,44293,,,44702,,,,,,,,,,,,
160,Healthcare & Pharmaceuticals,,,,,,,,,,,,,,,,,,,
161,Altasciences,,,,,,,,,,,,,,,,,,,
162,9360-1367 Quebec Inc.,,First Lien Secured Debt,,"8.58 (3M L+625, 1.00 Floor)",,06/09/23,,2891.0,,,,2838,,,,2805,,,(9)(17)
163,,,First Lien Secured Debt,,"7.94 (3M L+625, 1.00 Floor)",,06/09/23,C$,2412.0,,,1763,,,1779,,,(9)(17),,
164,"Altasciences US Acquisition, Inc.",,First Lien Secured Debt,,"8.58 (3M L+625, 1.00 Floor)",,06/09/23,5222,,,5124,,,5066,,,(9),,,
165,,,First Lien Secured Debt - Revolver,,"8.61 (3M L+625, 1.00 Floor)",,06/09/23,107,,,107,,,104,,,(9)(23)(28),,,
166,,,First Lien Secured Debt - Unfunded Revolver,,0.25 Unfunded,,06/09/23,1319,,,(26,,,(40,,,(8)(9)(21)(23)(28),,,
167,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.50 Unfunded,,06/09/23,2851,,,(29,,,(86,,,(8)(9)(21)(23)(28),,,
168,,,,,,,,,,9777,,,9628,,,,,,,
169,"Amerivet Partners Management, Inc.",,First Lien Secured Debt,,"7.85 (1M L+575, 1.00 Floor)",,06/05/24,6045,,,5895,,,5895,,,(9),,,
170,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,06/05/24,806,,,(21,,,(20,,,(8)(9)(21)(23),,,
171,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.50 Unfunded,,06/05/24,20149,,,(225,,,(499,,,(8)(9)(21)(23),,,
172,,,,,,,,,,5649,,,5376,,,,,,,
173,Analogic Corporation,,First Lien Secured Debt,,"8.33 (3M L+600, 1.00 Floor)",,06/22/24,27391,,,26710,,,27117,,,(9),,,
174,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,06/22/23,2609,,,(67,,,(26,,,(8)(9)(21)(23),,,
175,,,,,,,,,,26643,,,27091,,,,,,,
176,Aptevo Therapeutics Inc.,,First Lien Secured Debt,,"9.69 (1M L+760, 0.50 Floor)",,02/01/21,8571,,,8739,,,8563,,,(9),,,
177,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,
178,"Argon Medical Devices Holdings, Inc.",,Second Lien Secured Debt,,"10.09 (1M L+800, 1.00 Floor)",,01/23/26,21300,,,21198,,,21580,,,(10),,,
179,"Avalign Technologies, Inc.",,Second Lien Secured Debt,,"10.38 (6M L+825, 1.00 Floor)",,09/02/24,5500,,,5451,,,5459,,,(10),,,
180,"BioClinica Holding I, LP",,Second Lien Secured Debt,,"10.63 (3M L+825, 1.00 Floor)",,10/21/24,24612,,,24213,,,22889,,,(10),,,
181,"Genesis Healthcare, Inc.",,First Lien Secured Debt,,"8.34 (3M L+600, 0.50 Floor)",,03/06/23,25000,,,24649,,,24652,,,(9),,,
182,,,First Lien Secured Debt - Revolver,,"8.36 (3M L+600, 0.50 Floor)",,03/06/23,9966,,,9966,,,9828,,,(9)(23),,,
183,,,First Lien Secured Debt - Revolver,,"5.86 (3M L+350, 0.50 Floor)",,03/06/23,10336,,,10336,,,10192,,,(9)(23),,,
184,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,03/06/23,40567,,,(773,,,(562,,,(8)(9)(21)(23),,,
185,,,First Lien Secured Debt - Unfunded Delayed Draw,,2.00 Unfunded,,03/06/23,9131,,,(171,,,(127,,,(8)(9)(21)(23),,,
186,,,,,,,,,,44007,,,43983,,,,,,,
187,"Elements Behavioral Health, Inc.",,Second Lien Secured Debt,,"15.09 (3M L+1275 PIK, 1.00 Floor)",,02/11/20,12353,,,11911,,,0,,,(13)(14),,,
188,"Invuity, Inc.",,First Lien Secured Debt,,"8.59 (1M L+650, 1.50 Floor)",,03/01/22,10000,,,9875,,,9750,,,(9),,,
189,,,First Lien Secured Debt - Revolver,,"5.34 (1M L+325, 1.50 Floor)",,03/01/22,809,,,809,,,799,,,(9)(23),,,
190,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,03/01/22,1191,,,(7,,,(15,,,(8)(9)(21)(23),,,
191,,,Common Equity/Interests - Warrants,,,,,"32,803 Warrants",,,180,,,69,,,(9)(13),,,
192,,,,,,,,,,10857,,,10603,,,,,,,
193,"Lanai Holdings III, Inc.",,Second Lien Secured Debt,,"10.86 (3M L+850, 1.00 Floor)",,08/28/23,17391,,,17009,,,16696,,,(10),,,
194,"LSCS Holdings, Inc",,Second Lien Secured Debt,,10.58 (3M L+825),,03/16/26,20455,,,20010,,,20351,,,,,,
195,,,Second Lien Secured Debt,,10.34 (1M L+825),,03/16/26,3864,,,3780,,,3844,,,,,,
196,,,Second Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,03/16/26,682,,,(15,,,(3,,,(8)(21)(23),,,
197,,,,,,,,,,23775,,,24192,,,,,,,
198,"Maxor National Pharmacy Services, LLC",,First Lien Secured Debt,,"8.33 (3M L+600, 1.00 Floor)",,11/22/23,21523,,,21039,,,21327,,,(9),,,
199,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,11/22/22,1557,,,(11,,,(14,,,(8)(9)(21)(23),,,
200,,,,,,,,,,21028,,,21313,,,,,,,
201,"Oxford Immunotec, Inc.",,First Lien Secured Debt,,"9.69 (1M L+760, 0.50 Floor)",,10/01/21,9750,,,9918,,,9950,,,(9)(17),,,
202,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,10/01/21,1000,,,(3,,,0,,,(9)(17)(21)(23),,,
203,,,,,,,,,,9915,,,9950,,,,,,,
204,"Partner Therapeutics, Inc",,First Lien Secured Debt,,"8.74 (1M L+665, 1.00 Floor)",,01/01/23,10000,,,9831,,,9845,,,(9),,,
205,,,Preferred Equity - Preferred Stock,,,,,"55,556 Shares",,,333,,,333,,,(9),,,
206,,,Common Equity/Interests - Warrants,,,,,"33,333 Warrants",,,135,,,102,,,(9)(13),,,
207,,,,,,,,,,10299,,,10280,,,,,,,
208,"PTC Therapeutics, Inc",,First Lien Secured Debt,,"8.24 (1M L+615, 1.00 Floor)",,05/01/21,12667,,,12622,,,12793,,,(9)(17),,,
209,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,05/01/21,6333,,,(22,,,0,,,(9)(17)(21)(23),,,
210,,,,,,,,,,12600,,,12793,,,,,,,
211,"RiteDose Holdings I, Inc.",,First Lien Secured Debt,,"8.84 (3M L+650, 1.00 Floor)",,09/13/23,14925,,,14504,,,14367,,,(9),,,
212,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/13/22,2000,,,(55,,,(66,,,(8)(9)(21)(23),,,
213,,,,,,,,,,14449,,,14301,,,,,,,
214,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,
215,"Teladoc, Inc.",,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,07/14/20,1306,,,(44,,,(1,,,(8)(17)(21)(23),,,
216,,,First Lien Secured Debt - Letters of Credit,,7.25,,1/12/19 - 5/15/20,360,,,0,,,0,,,(8)(17)(23),,,
217,,,,,,,,,,(44,,,(1,,,,,,,
218,"TherapeuticsMD, Inc.",,First Lien Secured Debt,,"9.84 (1M L+775, 2.00 Floor)",,05/01/23,22500,,,22290,,,22275,,,(9)(17),,,
219,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,05/01/23,37500,,,(370,,,(375,,,(8)(9)(17)(21)(23),,,
220,,,,,,,,,,21920,,,21900,,,,,,,
221,"Wright Medical Group, Inc.",,First Lien Secured Debt,,"9.94 (1M L+785, 1.00 Floor)",,12/23/21,6667,,,6539,,,6533,,,(9)(17),,,
222,,,First Lien Secured Debt - Revolver,,"6.34 (1M L+425, 0.75 Floor)",,12/23/21,11933,,,11933,,,11933,,,(9)(17)(23),,,
223,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,12/23/21,38067,,,(348,,,0,,,(9)(17)(21)(23),,,
224,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,12/23/21,6667,,,(89,,,(133,,,(8)(9)(17)(21)(23),,,
225,,,,,,,,,,18035,,,18333,,,,,,,
226,Total Healthcare & Pharmaceuticals,,,,317431,,,304929,,,,,,,,,,,,
227,High Tech Industries,,,,,,,,,,,,,,,,,,,
228,"BCPE Burgundy Merger Sub, Inc.",,First Lien Secured Debt,,5.58 (1M L+350),,06/22/25,,30000.0,,,,30000,,,,30000,,,
229,,,Second Lien Secured Debt,,9.58 (1M L+750),,06/22/26,12500,,,12500,,,12500,,,,,,
230,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,06/22/23,3333,,,0,,,0,,,(21)(23),,,
231,,,,,,,,,,42500,,,42500,,,,,,,
232,ChyronHego Corporation,,First Lien Secured Debt,,"7.43 (3M L+643, 1.00 Floor)",,03/09/20,35044,,,34776,,,33643,,,(18),,,
233,"DigiCert Holdings, Inc.",,Second Lien Secured Debt,,"10.09 (1M L+800, 1.00 Floor)",,10/31/25,20196,,,20103,,,19780,,,(10),,,
234,"International Cruise & Excursion Gallery, Inc.",,First Lien Secured Debt,,"7.58 (3M L+525, 1.00 Floor)",,06/06/25,15000,,,14701,,,14703,,,,,,
