,Industry,Company,Investment_Type,Interest Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
64,TNT Crust LLC,TNT Crust LLC,First Lien Secured Debt - Revolver,"L+675 Cash plus 1.00 PIK, 1.00 Floor",11/06/23,3252,3085,3036,(9)(21)(23)  (29),
65,TNT Crust LLC,TNT Crust LLC,Common Equity - Series A Units,N/A,N/A,244 Shares,30,172,(9)(13),
68,Turkey Hill,IC Holdings LLC,Common Equity - Series A Units,N/A,N/A,169 Shares,169,160,(9)(13),
69,Turkey Hill,THLP CO. LLC,First Lien Secured Debt,"L+600, 1.00 Floor",05/31/25,25110,24824,24608,(9)(28),
70,Turkey Hill,THLP CO. LLC,First Lien Secured Debt - Revolver,P+500,05/31/24,4494,1165,1112,(9)(20)(21)  (23)(25),
75,Access Information,"Access CIG, LLC",Second Lien Secured Debt,"L+775, 0.00 Floor",02/27/26,15900,15829,15787,(26),
77,AlpineX,"Alpinex Opco, LLC",First Lien Secured Debt,"L+600, 1.00 Floor",12/27/27,16383,11644,11605,(9)(21)(23)  (28),
78,AlpineX,"Alpinex Opco, LLC",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",12/27/27,1117,(21),(21),(8)(9)(21)  (23),
81,Ambrosia Buyer Corp.,Ambrosia Buyer Corp.,Second Lien Secured Debt,8.00,08/28/25,21429,18582,5657,(14),
83,AML Rightsource,"Gabriel Partners, LLC",First Lien Secured Debt,"L+600, 1.00 Floor",09/21/26,31451,30898,31203,(9)(29),
84,AML Rightsource,"Gabriel Partners, LLC",First Lien Secured Debt - Revolver,P+500,09/21/26,665,120,128,(9)(21)(23)  (25),
87,Continuum,"Continuum Global Solutions, LLC",Preferred Equity - Preferred Equity,N/A,N/A,775 Shares,78,78,(9)(13),
89,Electro Rent Corporation,Electro Rent Corporation,Second Lien Secured Debt,"L+900, 1.00 Floor",01/31/25,34235,33806,34064,(9)(28),
91,Elo Touch,TGG TS Acquisition Company,First Lien Secured Debt - Revolver,"L+650, 0.00 Floor",12/14/23,1750,750,721,(21)(23)(26),
93,Ensemble Health,"EHL Merger Sub, LLC",First Lien Secured Debt - Revolver,"L+325, 0.00 Floor",08/01/24,4155,(179),(111),(8)(21)(23),
95,IRP,Precision Refrigeration & Air Conditioning LLC,First Lien Secured Debt,"SOFR+600, 1.00 Floor",03/08/28,8182,8020,8018,(9)(27),
96,IRP,Precision Refrigeration & Air Conditioning LLC,First Lien Secured Debt - Revolver,03/08/27,1705,(34),(34),(8)(9)(21)  (23),,
97,IRP,"SMC IR Holdings, LLC",Common Equity - Common Stock,N/A,N/A,114 Shares,114,114,(9)(13)(24),
100,Jacent,Jacent Strategic Merchandising,First Lien Secured Debt,"L+675, 1.00 Floor",04/23/24,22116,21977,21508,(9)(28),
101,Jacent,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"L+675, 1.00 Floor",04/23/24,3500,3472,3400,(9)(21)(23)  (28)(29),
102,Jacent,Jacent Strategic Merchandising,Common Equity - Common Stock,N/A,N/A,"5,000 Shares",500,169,(9)(13),
103,Jacent,"JSM Equity Investors, L.P.",Preferred Equity - Class P Partnership Units,N/A,N/A,114 Shares,11,11,(9)(13),
106,Jones & Frank,"JF Acquisition, LLC",First Lien Secured Debt,"L+550, 1.00 Floor",07/31/26,13201,13058,13008,(9)(28)(30),
107,Jones & Frank,"JF Acquisition, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",07/31/26,1569,(17),(23),(8)(9)(21)  (23),
110,MAKS,Trident Bidco Limited,First Lien Secured Debt,"L+550, 1.00 Floor",11/08/25,33688,33066,33670,(9)(17)(29),
112,Naviga,"Naviga Inc. (fka Newscycle Solutions, Inc.)",First Lien Secured Debt,"L+700, 1.00 Floor",12/29/22,13397,13318,13430,(9)(26)(28),
113,Naviga,"Naviga Inc. (fka Newscycle Solutions, Inc.)",First Lien Secured Debt - Revolver,"L+700, 1.00 Floor",12/29/22,500,278,280,(9)(21)(23)  (26),
116,PSE,"Graffiti Buyer, Inc.",First Lien Secured Debt,"L+575, 1.00 Floor",08/10/27,8420,5679,5639,(9)(21)(23)  (28),
117,PSE,"Graffiti Buyer, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",08/10/27,1307,390,388,(9)(21)(23)  (28),
118,PSE,"Graffiti Parent, LP",Common Equity - Common Stock,N/A,N/A,"2,439 Shares",244,200,(9)(13)(24),
121,"PSI Services, LLC","Lifelong Learner Holdings, LLC",First Lien Secured Debt,"L+575, 1.00 Floor",10/19/26,33975,33527,32411,(9)(28)(29),
122,"PSI Services, LLC","Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",10/20/25,2985,2947,2865,(9)(21)(23)  (28),
125,Soliant,"Soliant Health, Inc.",Common Equity - Membership Interests,N/A,N/A,300 Shares,300,871,(9),
127,US Legal Support,"US Legal Support Investment Holdings, LLC",Common Equity - Series A-1 Units,N/A,N/A,"631,972 Shares",632,1030,(9)(13),
128,US Legal Support,"USLS Acquisition, Inc.",First Lien Secured Debt,"L+575, 1.00 Floor",12/02/24,24003,23781,23643,(9)(28),
129,US Legal Support,"USLS Acquisition, Inc.",First Lien Secured Debt - Revolver,"L+525, 1.00 Floor",12/02/24,1286,417,409,(9)(20)(21)  (23)(28),
130,US Legal Support,"USLS Acquisition, Inc.",First Lien Secured Debt - Revolver,P+425,12/02/24,322,319,317,(9)(23)(25),
133,Wilson Language Training,"Owl Acquisition, LLC",First Lien Secured Debt,"SOFR+575, 1.00 Floor",02/04/28,9900,9707,9702,(9)(27),
134,Wilson Language Training,"Owl Parent Holdings, LLC",Common Equity - Common Stock,N/A,N/A,100 Shares,100,100,(9)(13)(24),
139,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Carbonfree Chemicals Holdings LLC (4),Common Equity - Common Equity / Interest,N/A,N/A,"2,354 Shares",46295,42117,(3)(13)(16)  (24),
140,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Carbonfree Chemicals SA LLC (4),Common Equity - Class B Units,N/A,N/A,"3,152 Shares",32434,0,(3)(13)(16)  (24),
143,"Westfall Technik, Inc.","Westfall Technik, Inc.",First Lien Secured Debt,"L+575, 1.00 Floor",09/13/24,15616,15482,15269,(9)(28),
144,"Westfall Technik, Inc.","Westfall Technik, Inc.",First Lien Secured Debt,"L+625, 1.00 Floor",09/13/24,5638,5557,5542,(9)(28),
145,"Westfall Technik, Inc.","Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",09/13/24,2019,2002,1975,(9)(23)(28),
150,Englert,"Gutter Buyer, Inc.",First Lien Secured Debt,"L+575, 1.00 Floor",03/06/25,28393,28097,28169,(9)(26),
151,Englert,"Gutter Buyer, Inc.",First Lien Secured Debt - Revolver,P+475,03/06/24,2727,2019,2013,(9)(20)(21)  (23)(25),
152,Englert,"Gutter Holdings, LP",Common Equity - Common Stock,N/A,N/A,500 Shares,500,1226,(9),
156,A&V,"A&V Holdings Midco, LLC",First Lien Secured Debt - Revolver,"L+450, 1.00 Floor",03/10/25,1505,(80),(52),(8)(21)(23),
158,KDC,KDC US Holdings,First Lien Secured Debt - Revolver,"L+325, 0.00 Floor",12/21/23,6020,692,620,(20)(21)(23)(26),
160,"KLO Holdings, LLC",1244311 B.C. Ltd. (4),First Lien Secured Debt,"L+500, 1.00 Floor",09/30/25,2978,2978,2794,(17)(28),
161,"KLO Holdings, LLC",1244311 B.C. Ltd. (4),First Lien Secured Debt,"L+500 PIK, 1.00 Floor",09/30/25,1079,1079,1006,(17)(28),
162,"KLO Holdings, LLC",1244311 B.C. Ltd. (4),Common Equity - Common Stock,N/A,N/A,"1,000,032 Shares",1000,976,(2)(13)(17)  (24),
163,"KLO Holdings, LLC",GSC Technologies Inc. (4),First Lien Secured Debt,"L+500 Cash plus 5.00 PIK, 1.00 Floor",09/30/25,206,206,192,(17)(28),
166,Liqui-Box,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"L+450, 1.00 Floor",02/26/25,2416,878,889,(20)(21)(23)(28),
167,Liqui-Box,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,P+350,02/26/25,1144,1137,1143,(23)(25),
170,NSi Industries,"Wildcat BuyerCo, Inc.",First Lien Secured Debt,"L+575, 1.00 Floor",02/27/26,14660,13096,13271,(21)(23)(28),
171,NSi Industries,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",02/27/26,725,(11),(13),(8)(21)(23),
172,NSi Industries,Wildcat Parent LP,Common Equity - Common Stock,N/A,N/A,"1,070 Shares",107,180,(13),
175,"Sorenson Holdings, LLC","Sorenson Holdings, LLC",Common Equity - Membership Interests,N/A,N/A,587 Shares,0,325,(10)(13),
179,3D Protein,"Protein For Pets Opco, LLC",First Lien Secured Debt - Revolver,"L+500, 1.00 Floor",05/31/24,2219,(25),0,(9)(21)(23),
181,Dan Dee,"Project Comfort Buyer, Inc.",First Lien Secured Debt,"L+700, 1.00 Floor",02/01/25,24897,24548,23936,(9)(28),
182,Dan Dee,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Revolver,"L+700, 1.00 Floor",02/01/24,3462,(38),(139),(8)(9)(21)  (23),
183,Dan Dee,"Project Comfort Buyer, Inc.",Preferred Equity - Preferred Equity,N/A,N/A,"461,538 Shares",462,37,(9)(13),
186,LashCo,"Lash OpCo, LLC",First Lien Secured Debt,"L+700, 1.00 Floor",03/18/26,44992,42582,42819,(9)(21)(23)  (26),
187,LashCo,"Lash OpCo, LLC",First Lien Secured Debt - Revolver,"L+700, 1.00 Floor",09/18/25,1612,(48),(25),(8)(9)(21)  (23),
190,Paladone,Paladone Group Bidco Limited,First Lien Secured Debt,"L+575, 1.00 Floor",11/12/27,7988,5974,6035,(9)(17)(21)  (23)(28),
191,Paladone,Paladone Group Bidco Limited,First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",11/12/27,353,(9),(4),(8)(9)(17)  (21)(23),
192,Paladone,Paladone Group Bidco Limited,First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",11/12/27,1412,(27),(12),(8)(9)(17)  (21)(23),
193,Paladone,Paladone Group Holdings Limited,Common Equity - Common Stock,N/A,N/A,"94,151 Shares",94,119,(9)(13)(17)  (24),
196,"Sequential Brands Group, Inc.",Gainline Galaxy Holdings LLC,Common Equity - Common Stock,N/A,N/A,"10,854 Shares",2041,1900,(13)(16)(17)(24),
197,"Sequential Brands Group, Inc.",Sequential Avia Holdings LLC,Second Lien Secured Debt,"L+500, 1.00 Floor",11/12/26,1717,1716,1717,(17)(29),
198,"Sequential Brands Group, Inc.","Sequential Brands Group, Inc.",Second Lien Secured Debt,8.75,02/07/24,1293,0,239,(14)(17),
199,"Sequential Brands Group, Inc.","Swisstech IP CO, LLC",First Lien Secured Debt,6.00 PIK,11/29/24,264,1,264,(17),
204,Activ,"Activ Software Holdings, LLC",First Lien Secured Debt,"L+650, 1.00 Floor",05/04/27,29869,29359,29418,(9)(30),
205,Activ,"Activ Software Holdings, LLC",First Lien Secured Debt - Revolver,"L+625, 1.00 Floor",05/04/27,2407,(41),(36),(8)(9)(21)  (23),
208,Bird,"Bird US Opco, LLC",First Lien Secured Debt,"L+750, 1.00 Floor",10/12/24,48549,22076,22821,(9)(23)(26),
210,Clarus Commerce,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt,"L+650, 1.00 Floor",07/01/25,21632,21330,21529,(28),
211,Clarus Commerce,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",07/01/25,685,8,(3),(8)(21)(23),
214,First Heritage,"First Heritage Credit, LLC",First Lien Secured Debt,"L+475, 0.00 Floor",08/31/22,26250,20992,21099,(9)(21)(23)  (26),
215,First Heritage,"First Heritage Credit, LLC",First Lien Secured Debt - Revolver,"L+550, 0.00 Floor",08/31/22,3750,1160,1160,(9)(21)(23)  (26),
218,Go Car Wash,Go Car Wash Management Corp.,First Lien Secured Debt,"L+575, 1.00 Floor",12/31/26,11443,9269,9255,(9)(21)(23)  (26),
219,Go Car Wash,Go Car Wash Management Corp.,First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",12/31/26,417,(3),(6),(8)(9)(21)  (23),
222,Lending Point,LendingPoint LLC,First Lien Secured Debt,"L+1050, 1.00 Floor",12/30/25,17500,13422,13515,(9)(21)(23)  (28),
223,Lending Point,LendingPoint LLC,First Lien Secured Debt,"L+575, 1.00 Floor",12/30/25,4167,3158,3186,(9)(21)(23)  (28),
224,Lending Point,LendingPoint LLC,First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",12/30/25,8333,8262,8318,(9)(23)(28),
227,Only About Children,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"BBSW+675, 1.00 Floor",04/06/24,A$,7000,4953,4907,(17)(21)(23)(32)
229,Paper Source,Papershop Holdco Inc.,First Lien Secured Debt,"L+700, 1.00 Floor",05/27/26,10607,10515,10395,(9)(28),
230,Paper Source,Papershop Holdco Inc.,First Lien Secured Debt - Revolver,"L+700, 1.00 Floor",05/27/26,3082,1498,1463,(9)(21)(23)  (28),
233,The Club Company,Eldrickco Limited,First Lien Secured Debt,"SON+625, 0.50 Floor",11/26/25,15027,13965,14157,(9)(17)(21)  (23)(31),
234,The Club Company,Eldrickco Limited,First Lien Secured Debt - Revolver,"SON+625, 0.50 Floor",11/26/25,356,411,457,(9)(17)(23)  (31),
235,The Club Company,Eldrickco Limited,First Lien Secured Debt - Revolver,"SON+625, 0.50 Floor",05/26/25,345,1,(5),(8)(9)(17)  (21)(23),
238,US Auto,"U.S. Auto Finance, Inc.",First Lien Secured Debt,"L+525, 1.00 Floor",04/17/24,20000,9343,9202,(9)(21)(23)  (28),
239,US Auto,"U.S. Auto Finance, Inc.",First Lien Secured Debt,"L+525, 1.00 Floor",03/31/23,1000,975,995,(9)(28),
240,US Auto,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",04/17/24,13333,2412,2418,(9)(21)(23)  (28),
245,Celink,Compu-Link Corporation,First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",06/11/24,2273,(22),(3),(8)(9)(21)  (23),
246,Celink,"Peer Advisors, LLC",First Lien Secured Debt,"L+550, 1.00 Floor",06/11/24,17386,17210,17366,(9)(26),
249,"Flock Financial, LLC","Flock SPV I, LLC",First Lien Secured Debt,"L+650, 1.00 Floor",12/31/22,14667,12011,11985,(9)(17)(21)  (23)(26),
250,"Flock Financial, LLC","Flock SPV I, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",12/31/22,5333,1847,1861,(9)(17)(21)  (23)(26),
253,Golden Bear,"Golden Bear 2016-R, LLC (4)",Structured Products and Other - Membership Interests,N/A,09/20/42,N/A,16998,10038,(3)(17),
255,"Purchasing Power, LLC","Purchasing Power Funding I, LLC",First Lien Secured Debt - Revolver,"L+650, 0.00 Floor",01/24/24,9113,1142,1142,(9)(21)(23)  (26),
257,Spectrum Automotive,Shelby 2021 Holdings Corp.,First Lien Secured Debt,"L+575, 0.75 Floor",06/29/28,14490,12288,12329,(9)(21)(23)  (28),
258,Spectrum Automotive,Shelby 2021 Holdings Corp.,First Lien Secured Debt - Revolver,"L+575, 0.75 Floor",06/29/27,420,(6),(4),(8)(9)(21)  (23),
261,"Ten-X, LLC","Ten-X, LLC",First Lien Secured Debt - Revolver,"L+325, 0.00 Floor",09/29/22,4680,(43),(73),(8)(21)(23),
265,NFA Group,SSCP Spring Bidco Limited,First Lien Secured Debt,"SON+600, 0.50 Floor",07/30/25,30000,36322,39059,(9)(17)(31),
269,"Renew Financial LLC (f/k/a Renewable Funding, LLC)","AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,142 Shares,534,355,(15)(17)(24),
270,"Renew Financial LLC (f/k/a Renewable Funding, LLC)","Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series E Preferred Stock,N/A,N/A,"441,576 Shares",1902,4988,(13)(17)(24),
271,"Renew Financial LLC (f/k/a Renewable Funding, LLC)","Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,0,(13)(24),
272,"Renew Financial LLC (f/k/a Renewable Funding, LLC)","Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,0,(13)(24),
273,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",Renew JV LLC (4),Common Equity - Membership Interests,N/A,N/A,"465,750 Shares",466,613,(13)(17)(24),
276,Solarplicity Group Limited (f/k/a AMP Solar UK),Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00,03/08/23,5562,7230,1874,(14)(17),
277,Solarplicity Group Limited (f/k/a AMP Solar UK),Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5623,0,(2)(13)(17),
278,Solarplicity Group Limited (f/k/a AMP Solar UK),Solarplicity UK Holdings Limited,Common Equity - Ordinary Shares,N/A,N/A,"2,825 Shares",4,0,(2)(13)(17),
283,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)","Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00 PIK,03/31/23,8323,7458,6204,(14),
284,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)","Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity - Common Stock,N/A,N/A,"10,000,000 Shares",30078,0,(13)(24),
287,Pelican,"Pelican Energy, LLC (4)",Common Equity - Membership Interests,N/A,N/A,"1,444 Shares",13063,630,(13)(16)(17)(24),
289,Spotted Hawk,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00,06/30/22,24728,24728,25470,,
290,Spotted Hawk,"SHD Oil & Gas, LLC (5)",Common Equity - Series C Units,N/A,N/A,"50,952,525 Shares",44067,4652,(13)(16)(24),
291,Spotted Hawk,"SHD Oil & Gas, LLC (5)",Common Equity - Series A Units,N/A,N/A,"7,600,000 Shares",1411,0,(13)(16)(24),
296,Ortega National Parks,"Ortega National Parks, LLC",First Lien Secured Debt,"L+500, 1.00 Floor",10/31/26,14497,8156,8235,(9)(21)(23)  (29),
297,Ortega National Parks,"Ortega National Parks, LLC",First Lien Secured Debt - Revolver,"L+500, 1.00 Floor",10/31/26,2049,(27),(9),(8)(9)(21)  (23),
301,83bar,"83Bar, Inc.",First Lien Secured Debt,"L+575, 1.50 Floor",07/02/26,5000,4978,4975,(9)(26),
303,Akoya,"Akoya Biosciences, Inc.",First Lien Secured Debt,"L+635, 1.50 Floor",10/27/25,9750,9772,9771,(9)(26),
305,Analogic,Analogic Corporation,First Lien Secured Debt,"L+525, 1.00 Floor",06/22/24,17850,17675,17582,(9)(28),
306,Analogic,Analogic Corporation,First Lien Secured Debt - Revolver,"L+525, 1.00 Floor",06/22/23,1826,1293,1277,(9)(21)(23)  (28),
309,Cato Research,"LS Clinical Services Holdings, Inc.",First Lien Secured Debt,"L+675, 1.00 Floor",12/16/27,13092,12778,12787,(9)(26),
310,Cato Research,"LS Clinical Services Holdings, Inc.",First Lien Secured Debt - Revolver,"L+675, 1.00 Floor",12/16/26,1875,237,237,(9)(21)(23)  (28),
313,Cerus,Cerus Corporation,First Lien Secured Debt,"L+545, 1.80 Floor",03/01/24,16500,16467,16665,(9)(17)(26),
314,Cerus,Cerus Corporation,First Lien Secured Debt - Revolver,"L+375, 1.80 Floor",03/01/24,1500,670,672,(9)(17)(21)  (23)(26),
317,Compass Health,"Roscoe Medical, Inc",First Lien Secured Debt,"SOFR+625, 1.00 Floor",09/30/24,7601,7328,7316,(9)(27),
318,Compass Health,"Roscoe Medical, Inc",First Lien Secured Debt - Revolver,"SOFR+625, 1.00 Floor",09/30/24,1393,767,767,(9)(21)(23)  (27),
321,Emmes Corporation,"Emmes Blocker, Inc.",Common Equity - Common Stock,N/A,N/A,306 Shares,306,879,(9)(13),
322,Emmes Corporation,"The Emmes Company, LLC",First Lien Secured Debt,"L+500, 1.00 Floor",03/03/25,15886,15755,15646,(9)(29),
323,Emmes Corporation,"The Emmes Company, LLC",First Lien Secured Debt - Revolver,"L+500, 1.00 Floor",03/03/25,2449,2431,2412,(9)(23)(26),
326,EmpiRx,EmpiRx Health LLC,First Lien Secured Debt,"L+550, 1.00 Floor",08/05/27,9068,8906,8977,(9)(28),
327,EmpiRx,EmpiRx Health LLC,First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",08/05/27,909,(16),(9),(8)(9)(21)  (23),
330,Forge Biologics,"Forge Biologics, Inc.",First Lien Secured Debt,"L+675, 0.50 Floor",12/03/26,26667,3209,3245,(9)(23)(26),
332,Gossamer,"GB001, Inc.",First Lien Secured Debt,"L+700, 2.00 Floor",01/01/25,30000,5886,6056,(9)(17)(23)  (26),
334,Health & Safety Institute,"HSI HALO Acquisition, Inc.",First Lien Secured Debt,"L+575, 1.00 Floor",08/31/26,16378,13500,13335,(9)(21)(23)  (28),
335,Health & Safety Institute,"HSI HALO Acquisition, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",09/02/25,813,131,121,(9)(21)(23)  (26),
336,Health & Safety Institute,"HSI HALO Acquisition, Inc.",Common Equity - Common Stock,N/A,N/A,500 Shares,500,679,(9)(13),
339,IMA Group,"IMA Group Management Company, LLC",First Lien Secured Debt,"L+600, 1.00 Floor",05/30/24,12680,8560,8566,(21)(23)(29),
340,IMA Group,"IMA Group Management Company, LLC",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",05/30/24,289,259,257,(21)(23)(28),
343,Kepro,Keystone Acquisition Corp.,First Lien Secured Debt,"L+575, 0.75 Floor",01/26/29,14022,11812,11925,(9)(21)(23)  (28),
344,Kepro,Keystone Acquisition Corp.,First Lien Secured Debt - Revolver,"L+575, 0.75 Floor",01/26/28,978,(19),(10),(8)(9)(21)  (23),
347,Kindeva,Kindeva Drug Delivery L.P.,First Lien Secured Debt,"L+600, 1.00 Floor",05/01/26,9410,9254,9311,(9)(28),
348,Kindeva,Kindeva Drug Delivery L.P.,First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",05/01/25,167,147,147,(9)(21)(23)  (26),
351,KureSmart,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",Common Equity - Common Stock,N/A,N/A,133 Shares,133,217,(9)(13),
352,KureSmart,"Kure Pain Holdings, Inc.",First Lien Secured Debt,"L+500, 1.00 Floor",08/27/24,21658,21497,21398,(9)(26),
353,KureSmart,"Kure Pain Holdings, Inc.",First Lien Secured Debt - Revolver,"L+500, 1.00 Floor",08/27/24,2654,(24),(33),(8)(9)(21)  (23),
