,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (29),Fair Value (1)(30),,
103,,Arthur Bidco Limited,First Lien Secured Debt - Revolver,"5.25 (3M GBPL+475, 0.50 Floor)",08/31/24,£,1471,1877,1802,(9)(17)  (23)
104,,Arthur Bidco Limited,7026,6747,,,,,,
105,Electro Rent Corporation,Electro Rent Corporation,,,,,,,,
106,,Electro Rent Corporation,Second Lien Secured Debt,"10.00 (3M L+900, 1.00 Floor)",01/31/25,34235,33608,33379,(9),
107,Elo Touch,Elo Touch,,,,,,,,
108,,TGG TS Acquisition Company,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/14/23,1750,0,(61),(8)(21)  (23),
109,Ensemble Health,Ensemble Health,,,,,,,,
110,,"EHL Merger Sub, LLC",First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,08/01/24,4155,(292),(202),(8)(21)  (23),
111,Jacent,Jacent,,,,,,,,
112,,Jacent Strategic Merchandising,First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",04/23/24,22466,22225,21373,(9),
113,,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",04/23/24,2567,2567,2441,(9)(23),
114,,Jacent Strategic Merchandising,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/23/24,933,(37),(46),(8)(9)  (21)(23),
115,,Jacent Strategic Merchandising,Common Equity - Common Stock,N/A,N/A,"5,000 Shares",500,251,(9)(13),
116,,"JSM Equity Investors, L.P.",Preferred Equity - Class P Partnership Units,N/A,N/A,114 Shares,11,11,(9)(13)  (28),
117,,"JSM Equity Investors, L.P.",25266,24030,,,,,,
118,Jones & Frank,Jones & Frank,,,,,,,,
119,,"JF Acquisition, LLC",First Lien Secured Debt,"6.50 (12M L+550, 1.00 Floor)",07/31/24,13139,12936,12902,(9),
120,,"JF Acquisition, LLC",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",07/31/24,210,207,206,(9),
121,,"JF Acquisition, LLC",First Lien Secured Debt - Revolver,"6.50 (12M L+550, 1.00 Floor)",07/31/24,628,628,616,(9)(23),
122,,"JF Acquisition, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/31/24,941,(24),(17),(8)(9)  (21)(23),
123,,"JF Acquisition, LLC",13747,13707,,,,,,
124,MAKS,MAKS,,,,,,,,
125,,Trident Bidco Limited,First Lien Secured Debt,"7.25 (6M L+625, 1.00 Floor)",11/08/25,35000,34105,33908,(9)(17),
126,McLarens,McLarens,,,,,,,,
127,,Margaux Acquisition Inc.,First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/19/24,22285,22041,21820,(9),
128,,Margaux Acquisition Inc.,First Lien Secured Debt - Revolver,"6.75 (1M L+575, 1.00 Floor)",12/19/24,1601,1579,1566,(9)(23),
129,,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/19/24,881,(82),(18),(8)(9)  (21)(23),
130,,Margaux UK Finance Limited,First Lien Secured Debt,"6.50 (3M GBPL+575, 1.00 Floor)",12/19/24,£,5866,7308,7437,(9)(17)
131,,Margaux UK Finance Limited,First Lien Secured Debt,"6.75 (3M GBPL+575, 1.00 Floor)",12/19/24,£,1353,1687,1716,(9)(17)
132,,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/19/24,£,541,(10),(16),(8)(9)  (17)(21)  (23)
133,,Margaux UK Finance Limited,32523,32505,,,,,,
134,"Newscycle Solutions, Inc.","Newscycle Solutions, Inc.",,,,,,,,
135,,"Newscycle Solutions, Inc.",First Lien Secured Debt,"8.00 (3M L+700, 1.00 Floor)",12/29/22,15510,15335,15045,(9),
136,,"Newscycle Solutions, Inc.",First Lien Secured Debt - Revolver,"8.00 (3M L+700, 1.00 Floor)",12/29/22,500,494,485,(9)(23),
137,,"Newscycle Solutions, Inc.",15829,15530,,,,,,
138,"PSI Services, LLC","PSI Services, LLC",,,,,,,,
139,,"Lifelong Learner Holdings, LLC",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",10/19/26,32700,32120,30679,(9),
140,,"Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",10/20/25,1039,1039,983,(9)(23),
141,,"Lifelong Learner Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/20/25,1946,(50),(105),(8)(9)  (21)(23),
142,,"Lifelong Learner Holdings, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,10/19/26,2388,(21),(148),(8)(9)  (21)(23),
143,,"Lifelong Learner Holdings, LLC",33088,31409,,,,,,
144,"RA Outdoors, LLC (Active Outdoors)","RA Outdoors, LLC (Active Outdoors)",,,,,,,,
145,,"RA Outdoors, LLC",First Lien Secured Debt,"5.75 (6M L+475, 1.00 Floor)",09/11/24,6559,6485,6428,(9),
146,,"RA Outdoors, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/09/22,1200,(9),(12),(8)(9)  (21)(23),
147,,"RA Outdoors, LLC",Second Lien Secured Debt,"9.75 (6M L+875, 1.00 Floor)",09/11/25,31950,31454,30991,(9),
148,,"RA Outdoors, LLC",37930,37407,,,,,,
149,Soliant,Soliant,,,,,,,,
150,,"Soliant Holdings, LLC",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",12/31/26,17973,17652,17454,(9),
151,,"Soliant Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/24,1936,(33),(40),(8)(9)  (21)(23),
152,,"Soliant Health, Inc.",Common Equity - Membership Interests,N/A,N/A,300 Shares,300,289,(9)(13)  (28),
153,,"Soliant Health, Inc.",17919,17703,,,,,,
154,"Transplace Holdings, Inc.","Transplace Holdings, Inc.",,,,,,,,
155,,"Transplace Holdings, Inc.",Second Lien Secured Debt,"9.75 (6M L+875, 1.00 Floor)",10/06/25,8599,8463,8255,,
156,US Legal Support,US Legal Support,,,,,,,,
157,,"US Legal Support Investment Holdings, LLC",Common Equity - Series A-1 Units,N/A,N/A,"631,972 Shares",632,442,(9)(13),
158,,"USLS Acquisition, Inc.",First Lien Secured Debt,"6.75 (6M L+575, 1.00 Floor)",12/02/24,19747,19473,18385,(9),
159,,"USLS Acquisition, Inc.",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/02/24,4627,4557,4317,(9),
160,,"USLS Acquisition, Inc.",First Lien Secured Debt - Revolver,"5.97 (3M L+575, 0.00 Floor)",12/02/24,536,536,498,(9)(23),
161,,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/02/24,972,(22),(68),(8)(9)  (21)(23),
162,,"USLS Acquisition, Inc.",First Lien Secured Debt - Letters of Credit,5.75,10/15/20 - 06/06/21,101,0,(7),(8)(9)  (23),
163,,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/02/24,670,(27),0,(9)(21)  (23),
164,,"USLS Acquisition, Inc.",25149,23567,,,,,,
166,"Chemicals, Plastics & Rubber","Chemicals, Plastics & Rubber",,,,,,,,
167,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,,,
168,,Carbonfree Chemicals Holdings LLC (4),Common Equity - Common Equity / Interest,N/A,N/A,"2,288 Shares",45427,24895,(13)(28),
169,,Carbonfree Chemicals SA LLC (4),Common Equity - Class B Units,N/A,N/A,"3,152 Shares",32460,0,(13)(28),
170,,Carbonfree Chemicals SA LLC (4),77887,24895,,,,,,
171,Niacet Corporation,Niacet Corporation,,,,,,,,
172,,"Hare Bidco, Inc.",Second Lien Secured Debt,"9.75 (3M E+875, 1.00 Floor)",08/01/24,€,11351,12147,13244,
173,"Westfall Technik, Inc.","Westfall Technik, Inc.",,,,,,,,
174,,"Westfall Technik, Inc.",First Lien Secured Debt,"7.25 (1M L+625, 1.00 Floor)",09/13/24,15227,15019,14565,(9),
175,,"Westfall Technik, Inc.",First Lien Secured Debt,"7.25 (3M L+625, 1.00 Floor)",09/13/24,631,621,604,(9),
176,,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"7.25 (1M L+625, 1.00 Floor)",09/13/24,1750,1723,1673,(9)(23),
177,,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,8.50 (P+525),09/13/24,269,269,257,(9)(23),
178,,"Westfall Technik, Inc.",17632,17099,,,,,,
180,Construction & Building,Construction & Building,,,,,,,,
181,Englert,Englert,,,,,,,,
182,,"Gutter Buyer, Inc.",First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",03/06/25,28089,27687,27502,(9),
183,,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/06/24,2688,(47),(48),(8)(9)  (21)(23),
184,,"Gutter Buyer, Inc.",First Lien Secured Debt - Letter of Credit,5.75,07/01/21,39,0,(1),(8)(9)  (23),
185,,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,03/06/25,736,(38),(15),(8)(9)  (21)(23),
186,,"Gutter Holdings, LP",Common Equity - Common Stock,N/A,N/A,500 Shares,500,998,(9)(13),
188,Consumer Goods – Durable,Consumer Goods – Durable,,,,,,,,
189,A&V,A&V,,,,,,,,
190,,"A&V Holdings Midco, LLC",First Lien Secured Debt,"6.38 (3M L+538, 1.00 Floor)",03/10/27,143,142,134,,
191,,"A&V Holdings Midco, LLC",First Lien Secured Debt,"6.38 (6M L+538, 1.00 Floor)",03/10/27,10997,10627,10337,,
192,,"A&V Holdings Midco, LLC",First Lien Secured Debt - Unfunded Revolver,0.375 Unfunded,03/10/25,1505,(120),(154),(8)(21)  (23),
193,,"A&V Holdings Midco, LLC",10649,10317,,,,,,
194,"Hayward Industries, Inc.","Hayward Industries, Inc.",,,,,,,,
195,,"Hayward Industries, Inc.",Second Lien Secured Debt,8.40 (1M L+825),08/04/25,21919,21714,21559,,
196,KDC,KDC,,,,,,,,
197,,KDC US Holdings,First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,12/21/23,5894,0,(200),(8)(21)  (23),
198,,KDC US Holdings,First Lien Secured Debt - Letter of Credit,3.00,02/05/21,£,8,0,0,(23)
199,,KDC US Holdings,First Lien Secured Debt - Letters of Credit,3.00,11/06/20 - 03/16/21,118,0,(3),(8)(23),
200,,KDC US Holdings,0,(203),,,,,,
201,"KLO Holdings, LLC","KLO Holdings, LLC",,,,,,,,
202,,1244311 B.C. Ltd. (4),First Lien Secured Debt,"6.00 (1M L+500 PIK, 1.00 Floor)",09/25/25,1000,1000,941,(17),
203,,1244311 B.C. Ltd. (4),First Lien Secured Debt,"6.00 (1M L+500, 1.00 Floor)",09/25/25,3000,3000,2804,(17),
204,,1244311 B.C. Ltd. (4),Common Equity - Common Stock,N/A,N/A,"1,000,032 Shares",1000,1099,(2)(13)  (17)(28),
205,,9357-5991 Quebec Inc. (4),First Lien Secured Debt,11.25 (3M L+775 Cash plus 2.00 PIK),04/07/22,3763,0,0,(13)(14),
206,,KLO Acquisition LLC (4),First Lien Secured Debt,11.25 (3M L+775 Cash plus 2.00 PIK),04/07/22,5657,4808,0,(13)(14),
207,,KLO Acquisition LLC (4),9808,4844,,,,,,
208,Liqui-Box,Liqui-Box,,,,,,,,
209,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"5.50 (3M L+450, 1.00 Floor)",02/26/25,1661,1662,1640,(23),
210,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/26/25,1825,(31),(23),(8)(21)  (23),
211,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Letter of Credit,4.50,06/30/21,€,42,0,(1),(8)(23)
212,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Letters of Credit,4.50,10/01/20 - 09/27/21,32,0,0,(23),
213,,"Liqui-Box Holdings, Inc.",1631,1616,,,,,,
214,NSi Industries,NSi Industries,,,,,,,,
215,,"Wildcat BuyerCo, Inc.",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",02/27/26,7210,7000,7009,,
216,,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/27/26,717,(15),(20),(8)(21)  (23),
217,,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Letter of Credit,5.50,02/27/26,8,0,0,(23),
218,,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,02/27/26,2029,(32),(57),(8)(21)  (23),
219,,Wildcat Parent LP,Common Equity - Common Stock,N/A,N/A,"1,070 Shares",107,114,(13)(28),
220,,Wildcat Parent LP,7060,7046,,,,,,
221,"Sorenson Holdings, LLC","Sorenson Holdings, LLC",,,,,,,,
222,,"Sorenson Holdings, LLC",Common Equity - Membership Interests,N/A,N/A,587 Shares,0,475,(10)(13),
224,Consumer Goods – Non-durable,Consumer Goods – Non-durable,,,,,,,,
225,3D Protein,3D Protein,,,,,,,,
226,,"Protein For Pets Opco, LLC",First Lien Secured Debt,"6.00 (3M L+500, 1.00 Floor)",11/28/25,11487,11304,11257,(9),
227,,"Protein For Pets Opco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/31/24,2219,(42),(44),(8)(9)  (21)(23),
228,,"Protein For Pets Opco, LLC",11262,11213,,,,,,
229,Beauty Industry Group (BIG),Beauty Industry Group (BIG),,,,,,,,
230,,"BIG Buyer, LLC",First Lien Secured Debt,"7.50 (6M L+650, 1.00 Floor)",11/20/23,22255,21843,21901,(9),
231,,"BIG Buyer, LLC",First Lien Secured Debt - Revolver,"7.50 (1M L+650, 1.00 Floor)",11/20/23,602,602,585,(9)(23),
232,,"BIG Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/20/23,1204,(34),(34),(8)(9)  (21)(23),
233,,"BIG Buyer, LLC",22411,22452,,,,,,
234,Dan Dee,Dan Dee,,,,,,,,
235,,"Project Comfort Buyer, Inc.",First Lien Secured Debt,9.25 (P+600),02/01/25,347,340,329,(9),
236,,"Project Comfort Buyer, Inc.",First Lien Secured Debt,"8.00 (12M L+700, 1.00 Floor)",02/01/25,26457,25899,25126,(9),
237,,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/01/24,3462,(69),(185),(8)(9)  (21)(23),
238,,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,02/01/25,2308,(25),(116),(8)(9)  (21)(23),
239,,"Project Comfort Buyer, Inc.",Preferred Equity - Preferred Equity,N/A,N/A,"461,538 Shares",462,194,(9)(13),
240,,"Project Comfort Buyer, Inc.",26607,25348,,,,,,
241,DMC,DMC,,,,,,,,
242,,Lion Cashmere Midco Limited,First Lien Secured Debt,"6.50 (6M L+550, 1.00 Floor)",03/21/25,13053,12882,12284,(9)(17),
243,,Lion Cashmere Midco Limited,First Lien Secured Debt,5.50 (6M E+550),03/21/25,€,534,578,589,(9)(17)
244,,Lion Cashmere Midco Limited,First Lien Secured Debt - Revolver,5.00 (6M E+500),03/21/24,€,605,674,667,(9)(17)  (23)
245,,Lion Cashmere Midco Limited,First Lien Secured Debt - Unfunded Revolver,1.75 Unfunded,03/21/24,€,581,(16),(41),(8)(9)  (17)(21)  (23)
246,,Lion Cashmere Midco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.93 Unfunded,03/21/25,€,1838,(20),(128),(8)(9)  (17)(21)  (23)
247,,Lion Cashmere Midco Limited,14098,13371,,,,,,
248,LashCo,LashCo,,,,,,,,
249,,"Lash OpCo, LLC",First Lien Secured Debt,"9.25 (P+600, 1.00 Floor)",03/18/26,6803,6634,6633,(9),
250,,"Lash OpCo, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/18/25,697,(17),(17),(8)(9)  (21)(23),
251,,"Lash OpCo, LLC",6617,6616,,,,,,
252,Olaplex,Olaplex,,,,,,,,
253,,"Olaplex, Inc.",First Lien Secured Debt,"7.50 (1M L+650, 1.00 Floor)",01/08/26,12457,12238,12287,(9),
254,,"Olaplex, Inc.",First Lien Secured Debt - Revolver,"7.50 (1M L+650, 1.00 Floor)",01/08/25,1150,1150,1137,(9)(23),
255,,"Olaplex, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/08/25,1150,(39),(13),(8)(9)  (21)(23),
256,,"Olaplex, Inc.",13349,13411,,,,,,
257,"Sequential Brands Group, Inc.","Sequential Brands Group, Inc.",,,,,,,,
258,,"Sequential Brands Group, Inc.",Second Lien Secured Debt,"9.75 (1M L+875, 1.00 Floor)",02/07/24,12922,12850,12293,(17),
260,Consumer Services,Consumer Services,,,,,,,,
261,Clarus Commerce,Clarus Commerce,,,,,,,,
262,,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt,"6.50 (6M L+550, 1.00 Floor)",07/01/25,9199,9071,8966,,
