,Industry / Company,Interest Rate (20),Par/Shares (12),Fair Value (1)(30),
43,IC Holdings LLC,169 Shares,233,,
44,THLP CO. LLC,"6.50 (1M L+550, 1.00 Floor)",19562,19366,
45,"Total Beverage, Food & Tobacco",100088,,,
46,Business Services,,,,
47,Access Information,,,,
48,"Access CIG, LLC",7.92 (1M L+775),15900,15542,
49,Ambrosia Buyer Corp.,,,,
50,Ambrosia Buyer Corp.,"9.08 (6M L+800, 1.00 Floor)",21429,16815,
51,Claritas,,,,
52,"Claritas, LLC","7.00 (3M L+600, 1.00 Floor)",3820,3763,
53,Continuum,,,,
54,"Continuum Global Solutions, LLC","6.50 (1M L+550, 1.00 Floor)",2851,2766,
55,"CT Technologies Intermediate Holdings, Inc",,,,
56,"CT Technologies Intermediate Holdings, Inc","10.00 (3M L+900, 1.00 Floor)",31253,28753,
57,Education Personnel,,,,
58,Education Personnel,"5.25 (3M GBPL+475, 0.50 Floor)",£,5196,(9)(17)
59,Electro Rent Corporation,,,,
60,Electro Rent Corporation,"10.00 (3M L+900, 1.00 Floor)",34235,33208,
61,Elo Touch,,,,
62,TGG TS Acquisition Company,0.50 Unfunded,1750,(65),
63,Ensemble Health,,,,
64,"EHL Merger Sub, LLC",5.50 (P+225),1662,1569,
65,Jacent,,,,
66,Jacent Strategic Merchandising,"6.75 (3M L+575, 1.00 Floor)",22522,21217,
67,"JSM Equity Investors, L.P.",114 Shares,11,,
68,Jones & Frank,,,,
69,"JF Acquisition, LLC","6.50 (12M L+550, 1.00 Floor)",13139,12772,
70,MAKS,,,,
71,Trident Bidco Limited,"7.25 (1M L+625, 1.00 Floor)",35000,33887,
72,McLarens,,,,
73,Margaux Acquisition Inc.,"6.50 (3M L+550, 1.00 Floor)",3157,3072,
74,Margaux UK Finance Limited,"6.50 (3M GBPL+550, 1.00 Floor)",£,9006,(9)(17)
75,"Newscycle Solutions, Inc.",,,,
76,"Newscycle Solutions, Inc.","8.00 (3M L+700, 1.00 Floor)",14438,14005,
77,"PSI Services, LLC",,,,
78,"Lifelong Learner Holdings, LLC","6.75 (1M L+575, 1.00 Floor)",32782,30717,
79,"RA Outdoors, LLC (Active Outdoors)",,,,
80,"RA Outdoors, LLC","5.82 (6M L+475, 1.00 Floor)",6576,6444,
81,Soliant,,,,
82,"Soliant Holdings, LLC","6.50 (1M L+550, 1.00 Floor)",18018,17273,
83,"Soliant Health, Inc.",300 Shares,288,,
84,"Transplace Holdings, Inc.",,,,
85,"Transplace Holdings, Inc.","9.82 (6M L+875, 1.00 Floor)",8599,8169,
86,US Legal Support,,,,
87,"US Legal Support Investment Holdings, LLC","631,972 Shares",594,,
88,"USLS Acquisition, Inc.","6.82 (6M L+575, 1.00 Floor)",24437,23529,
89,Vertafore,,,,
90,"Vertafore, Inc.",0.50 Unfunded,14576,"(1,676)",
91,Total Business Services,361707,,,
92,"Chemicals, Plastics & Rubber",,,,
93,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,
94,Carbonfree Caustic SPE LLC (4),5 PIK,13277,7500,
95,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC) (4),3 PIK,17186,0,
96,Carbonfree Chemicals Holdings LLC (4),"1,446 Shares",15105,,
97,Carbonfree Chemicals SA LLC (4),"1,313 Shares",0,,
98,Niacet Corporation,,,,
99,"Hare Bidco, Inc.","9.75 (3M E+875, 1.00 Floor)",€,14516,
100,"Westfall Technik, Inc.",,,,
101,"Westfall Technik, Inc.","6.75 (3M L+575, 1.00 Floor)",15899,15315,
102,"Total Chemicals, Plastics & Rubber",108529,,,
103,Construction & Building,,,,
104,Englert,,,,
105,"Gutter Buyer, Inc.","7.25 (1M L+625, 1.00 Floor)",26847,26006,
106,"Gutter Holdings, LP",500 Shares,684,,
107,Total Construction & Building,26845,,,
108,Consumer Goods – Durable,,,,
109,A&V,,,,
110,"A&V Holdings Midco, LLC","6.38 (3M L+538, 1.00 Floor)",11283,10087,
111,Dan Dee,,,,
112,"Project Comfort Buyer, Inc.",9.25 (P+600),694,657,
113,"Hayward Industries, Inc.",,,,
114,"Hayward Industries, Inc.",8.43 (1M L+825),21919,20678,
115,KDC,,,,
116,KDC US Holdings,3.17 (1M L+300),3323,3202,
117,Knowlton Development Corporation Inc.,3.93 (1M L+375),15000,14558,
118,"KLO Holdings, LLC",,,,
119,9357-5991 Quebec Inc.,11.82 (3M L+775 Cash plus 2.00 PIK),9838,2157,
120,KLO Acquisition LLC,11.82 (3M L+775 Cash plus 2.00 PIK),5497,0,
121,Liqui-Box,,,,
122,"Liqui-Box Holdings, Inc.","5.50 (3M L+450, 1.00 Floor)",2136,2085,
123,NSi Industries,,,,
124,"Wildcat BuyerCo, Inc.","6.50 (3M L+550, 1.00 Floor)",7229,6939,
125,Wildcat Parent LP,"1,070 Shares",112,,
126,"Sorenson Holdings, LLC",,,,
127,"Sorenson Holdings, LLC",587 Shares,426,,
128,Total Consumer Goods – Durable,"$100,028",,,
129,Consumer Goods – Non-durable,,,,
130,3D Protein,,,,
131,"Protein For Pets Opco, LLC","6.00 (1M L+500, 1.00 Floor)",12685,12368,
132,Beauty Industry Group (BIG),,,,
133,"BIG Buyer, LLC","7.57 (6M L+650, 1.00 Floor)",22311,21606,
134,DMC,,,,
135,Lion Cashmere Midco Limited,"7.00 (6M L+600, 1.00 Floor)",13053,12172,
136,Olaplex,,,,
137,"Olaplex, Inc.","7.50 (1M L+650, 1.00 Floor)",26036,25128,
138,"Sequential Brands Group, Inc.",,,,
139,"Sequential Brands Group, Inc.","9.75 (1M L+875, 1.00 Floor)",12965,12297,
140,Total Consumer Goods – Non-durable,91759,,,
141,Consumer Services,,,,
142,1A Smart Start LLC,,,,
143,1A Smart Start LLC,"9.32 (6M L+825, 1.00 Floor)",15100,14513,
144,Clarus Commerce,,,,
145,"Marlin DTC-LS Midco 2, LLC","7.07 (6M L+600, 1.00 Floor)",9222,8939,
146,First Heritage,,,,
147,"First Heritage Credit, LLC",4.92 (1M L+475),16500,16111,
148,Only About Children,,,,
149,Nemo (BC) Bidco Pty Ltd,"6.75 (6M BBSW+575, 1.00 Floor)",A$,4926,(17)
150,Paper Source,,,,
151,"Paper Source, Inc.","8.00 (3M L+700, 1.00 Floor)",11471,10209,
152,"Pinstripe Holdings, LLC",,,,
153,"Pinstripe Holdings, LLC","7.08 (6M L+600, 1.00 Floor)",6912,6646,
154,The Club Company,,,,
155,Eldrickco Limited,"6.00 (6M GBPL+550, 0.50 Floor)",£,13329,(9)(17)
156,"Tidewater Consumer Receivables, LLC",,,,
157,"Tidewater Consumer Receivables, LLC",5.92 (1M L+575),10067,9891,
158,US Auto,,,,
159,"U.S. Auto Finance, Inc.","6.50 (3M L+550, 1.00 Floor)",20386,20020,
160,Total Consumer Services,124480,,,
161,"Containers, Packaging & Glass",,,,
162,"TricorBraun Holdings, Inc.",,,,
163,"TricorBraun Holdings, Inc.",4.38 (3M L+325),1500,1490,
164,"Total Containers, Packaging & Glass",3607,,,
165,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,
166,Celink,,,,
167,Compu-Link Corporation,0.50 Unfunded,2273,(73),
168,"Peer Advisors, LLC","6.50 (1M L+550, 1.00 Floor)",21591,20900,
169,"Exeter Property Group, LLC",,,,
170,"Exeter Property Group, LLC",4.67 (1M L+450),4760,4614,
171,"Flock Financial, LLC",,,,
172,"Flock SPV I, LLC",6.67 (1M L+650),13067,12860,
173,Golden Bear,,,,
174,"Golden Bear 2016-R, LLC (4)",09/20/42,9815,,
175,"Purchasing Power, LLC",,,,
176,"Purchasing Power Funding I, LLC",7.50 (1M L+650),7133,7028,
177,"Taupo River II, LLC",,,,
178,"Taupo River II, LLC","6.25 (3M L+525, 1.00 Floor)",3000,2997,
179,"Ten-X, LLC",,,,
180,"Ten-X, LLC",3.43 (1M L+325),1560,1465,
181,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate",71379,,,
182,Education,,,,
183,NFA Group,,,,
184,SSCP Spring Bidco Limited,"6.94 (6M GPBL+625, 0.50 Floor)",£,641,(9)(17)
185,Total Education,34631,,,
186,Energy – Electricity,,,,
187,"AMP Solar Group, Inc.",,,,
188,"AMP Solar Group, Inc. (4)","243,646 Shares",9035,,
189,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,
190,"AIC SPV Holdings II, LLC (4)","534,375 Shares",436,,
191,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)","1,505,868 Shares",3692,,
192,Renew JV LLC (4),"859,819 Shares",992,,
193,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,
194,Solarplicity UK Holdings Limited,4.00,£,7637,(13)(14)  (17)
195,Total Energy – Electricity,38807,,,
196,Energy – Oil & Gas,,,,
197,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,
198,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",10.00 PIK Toggle (8.00 Cash),38172,11492,
199,Pelican,,,,
200,"Pelican Energy, LLC (4)","1,444 Shares",2411,,
201,Spotted Hawk,,,,
202,"SHD Oil & Gas, LLC (5)",12.00 PIK,24728,25470,
203,Total Energy – Oil & Gas,199343,,,
204,Environmental Industries,,,,
205,Denali,,,,
206,"Dispatch Acquisition Holdings, LLC","6.50 (3M L+550, 1.00 Floor)",16599,16071,
207,Ortega National Parks,,,,
208,"Ortega National Parks, LLC","6.32 (6M L+525, 1.00 Floor)",11201,10710,
209,Total Environmental Industries,31698,,,
210,Food & Grocery,,,,
211,Bumble Bee Foods S.À R.L.,,,,
212,Connors Bros Clover Leaf Seafoods Company,01/31/24,0,,
213,Bumble Bee Holdings Inc,01/31/24,0,,
214,Tonos US LLC,"8.75 (3M L+725, 1.50 Floor)",9454,9454,
215,Total Food & Grocery,9569,,,
216,Healthcare & Pharmaceuticals,,,,
217,"Altasciences, Inc.",,,,
218,9360-1367 Quebec Inc.,"7.32 (6M L+625, 1.00 Floor)",2821,2744,
219,"Altasciences US Acquistion, Inc.","7.32 (6M L+625, 1.00 Floor)",5959,5795,
220,American Veterinary Group,,,,
221,AVG Intermediate Holdings LLC,"9.00 (1M L+800, 1.00 Floor)",11759,11285,
222,AmeriVet,,,,
223,"Amerivet Partners Management, Inc.","7.75 (3M L+675, 1.00 Floor)",163,158,
224,Amerivet Partners Parent LP,13 Shares,168,,
225,Analogic,,,,
226,Analogic Corporation,"6.25 (1M L+525, 1.00 Floor)",18170,17806,
227,"BioClinica Holding I, LP",,,,
228,"BioClinica Holding I, LP","9.25 (1M L+825, 1.00 Floor)",24612,23404,
229,BK Medical,,,,
230,"BK Medical Holding Company, Inc.","6.25 (1M L+525, 1.00 Floor)",7286,7143,
231,CARE Fertility,,,,
232,Royton Bidco Limited,"6.98 (6M GBPL+625, 0.50 Floor)",£,372,(9)(17)
233,Cerus,,,,
234,Cerus Corporation,"7.25 (1M L+545, 1.80 Floor)",12000,12229,
235,Dohmen Life Science Services,,,,
236,"LSCS Holdings, Inc",8.61 (6M L+825),19818,19099,
237,Emmes Corporation,,,,
238,"Emmes Blocker, Inc.",306 Shares,313,,
239,"The Emmes Company, LLC","6.59 (6M L+550, 1.00 Floor)",12092,11729,
240,"Genesis Healthcare, Inc.",,,,
241,"Genesis Healthcare, Inc.","6.50 (1M L+600, 0.50 Floor)",25000,24385,
242,Gossamer,,,,
243,"GB001, Inc.","8.15 (1M L+615, 2.00 Floor)",6000,6082,
244,Health & Safety Institute,,,,
245,"HSI Halo Acquisition, Inc.","6.75 (1M L+575, 1.00 Floor)",7657,7376,
246,IMA Group,,,,
247,"IMA Group Management Company, LLC","6.57 (6M L+550, 1.00 Floor)",5113,4857,
248,IM Acquirer LLC,"6.50 (3M L+550, 1.00 Floor)",289,275,
249,Kindeva,,,,
250,Kindeva Drug Delivery L.P.,"7.00 (3M L+600, 1.00 Floor)",1833,1791,
251,KureSmart,,,,
252,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",133 Shares,117,,
253,"Kure Pain Holdings, Inc.","6.50 (1M L+550, 1.00 Floor)",22047,21134,
254,"Lanai Holdings III, Inc. (Patterson Medical)",,,,
255,"Lanai Holdings III, Inc.","11.50 (3M L+1050 PIK, 1.00 Floor)",17764,15086,
256,Mannkind Corporation,,,,
257,Mannkind Corporation,"8.75 (1M L+675, 2.00 Floor)",13867,14054,
258,"Maxor National Pharmacy Services, LLC",,,,
259,"Maxor National Pharmacy Services, LLC","6.50 (3M L+550, 1.00 Floor)",23655,23113,
260,Medical Guardian,,,,
261,"Medical Guardian, LLC","9.50 (1M L+850, 1.00 Floor)",34286,33720,
262,Orchard,,,,
263,Orchard Therapeutics plc,"7.00 (1M L+600, 1.00 Floor)",8333,8271,
264,Ovation Fertility,,,,
265,"FPG Services, LLC","6.50 (3M L+550, 1.00 Floor)",12505,12039,
266,"Partner Therapeutics, Inc",,,,
267,"Partner Therapeutics, Inc","7.65 (1M L+665, 1.00 Floor)",10000,9975,
268,PHS,,,,
269,"PHS Buyer, Inc.","6.25 (3M L+525, 1.00 Floor)",12203,11837,
270,ProPharma,,,,
271,"ProPharma Group Intermediate, LLC","6.25 (1M L+575, 0.50 Floor)",€,7181,
272,"PTC Therapeutics, Inc",,,,
273,"PTC Therapeutics, Inc","7.15 (1M L+615, 1.00 Floor)",5806,5990,
274,Radius Health,,,,
275,"Radius Health, Inc.","7.75 (1M L+575, 2.00 Floor)",3000,3006,
276,RHA Health Services,,,,
277,"Pace Health Companies, LLC","5.50 (3M L+450, 1.00 Floor)",546,529,
278,Rigel Pharmaceuticals,,,,
279,"Rigel Pharmaceuticals, Inc.","7.15 (1M L+565, 1.50 Floor)",6000,5958,
280,"RiteDose Holdings I, Inc.",,,,
281,"RiteDose Holdings I, Inc.","7.93 (3M L+650, 1.00 Floor)",14625,14382,
282,"Teladoc, Inc.",,,,
283,"Teladoc, Inc.",0.50 Unfunded,1317,0,
284,"Wright Medical Group, Inc.",,,,
285,"Wright Medical Group, Inc.","8.85 (1M L+785, 1.00 Floor)",18334,18563,
286,Total Healthcare & Pharmaceuticals,460811,,,
287,High Tech Industries,,,,
288,Acronis AG,,,,
289,Acronis AG,"7.35 (1M L+585, 1.50 Floor)",21000,20509,
290,American Megatrends,,,,
291,AMI US Holdings Inc.,"6.34 (6M L+525, 1.00 Floor)",21817,21315,
292,"Calero Holdings, Inc.",,,,
293,"Telesoft Holdings, LLC","7.00 (3M L+600, 1.00 Floor)",22670,22058,
294,ChargePoint,,,,
295,"ChargePoint, Inc.","7.80 (1M L+655, 1.25 Floor)",10500,10374,
296,ChyronHego Corporation,,,,
297,ChyronHego Corporation,7.15 (P+390),34753,31625,
298,Digital Reasoning,,,,
299,"Digital Reasoning Systems, Inc.","8.25 (1M L+625, 2.00 Floor)",3750,3732,
300,FiscalNote,,,,
301,"FiscalNote, Inc.","9.00 (1M L+800, 1.00 Floor)",28906,27692,
302,GoHealth,,,,
303,"Norvax, LLC","7.50 (3M L+650, 1.00 Floor)",31579,30383,
304,"International Cruise & Excursion Gallery, Inc.",,,,
305,"International Cruise & Excursion Gallery, Inc.","6.32 (6M L+525, 1.00 Floor)",14700,13258,
306,LabVantage Solutions,,,,
307,LabVantage Solutions Inc.,"8.50 (1M L+750, 1.00 Floor)",8313,8313,
308,LabVantage Solutions Limited,"8.50 (1M E+750, 1.00 Floor)",€,9738,(17)
309,Magnitude Software,,,,
310,New Amsterdam Software BidCo LLC,"6.00 (3M L+500, 1.00 Floor)",6847,6574,
311,MYCOM,,,,
312,Magnate Holding Corp.,"7.32 (6M L+625, 0.50 Floor)",16587,10790,
313,"Omnitracs, LLC",,,,
314,"Omnitracs, LLC",0.38 Unfunded,3750,(347),
315,Schlesinger Group,,,,
316,"Schlesinger Global, LLC","7.00 (3M L+600, 1.00 Floor)",9942,9663,
317,Simeio,,,,
318,"Simeio Group Holdings, Inc.","6.75 (1M L+575, 1.00 Floor)",8632,8373,
319,Sirsi Corporation,,,,
320,Sirsi Corporation,"5.75 (3M L+475, 1.00 Floor)",6806,6636,
321,Springbrook,,,,
322,"Springbrook Holding Company, LLC","6.75 (3M L+575, 1.00 Floor)",9829,9632,
323,Telestream Holdings Corporation,,,,
324,Telestream Holdings Corporation,"7.61 (3M L +645, 1.00 Floor)",37985,36845,
325,Total High Tech Industries,348954,,,
326,"Hotel, Gaming, Leisure, Restaurants",,,,
327,Garden Fresh,,,,
328,GFRC Holdings LLC,"11.50 (1M L+1000 PIK, 1.50 Floor)",2570,0,
329,"Total Hotel, Gaming, Leisure, Restaurants",2500,,,
330,Insurance,,,,
331,PGM Holdings Corporation,,,,
332,"Turbo Buyer, Inc.","6.95 (3M L+575, 1.00 Floor)",14017,13679,
333,PIB Group,,,,
334,Ivy Finco Limited,5.89 (6M GBPL+550),£,1276,(9)(17)
335,Relation Insurance,,,,
336,"AQ Sunshine, Inc.","6.75 (6M L+575, 1.00 Floor)",17613,17068,
337,Total Insurance,52703,,,
338,"Manufacturing, Capital Equipment",,,,
339,"AVAD, LLC",,,,
340,AVAD Canada Ltd.,"5.00 (1M L+400, 1.00 Floor)",482,469,
341,"AVAD, LLC","8.75 (1M L+775, 1.00 Floor)",8285,8079,
342,Kauffman,,,,
343,"Kauffman Holdco, LLC","250,000 Shares",206,,
344,"Kauffman Intermediate, LLC","7.50 (3M L+650, 1.00 Floor)",16796,16445,
345,MedPlast Holdings Inc.,,,,
346,MedPlast Holdings Inc.,7.93 (1M L+775),8000,7457,
347,"Total Manufacturing, Capital Equipment",42574,,,
348,Media – Diversified & Production,,,,
349,New Wave Entertainment,,,,
350,"NW Entertainment, Inc.","8.00 (1M L+700, 1.00 Floor)",23400,22464,
351,Nitro World Entertainment,,,,
352,NWE OPCO LP,"8.50 (1M L+650, 2.00 Floor)",5000,4738,
353,Sonar Entertainment,,,,
354,"Sonar Entertainment, Inc.","8.85 (1M L+760, 1.25 Floor)",7756,7620,
355,Total Media – Diversified & Production,41740,,,
356,Metals & Mining,,,,
357,"Magnetation, LLC",,,,
358,"Magnetation, LLC",9.91 (6M L+800 Cash (PIK Toggle)),1213,0,
359,Total Metals & Mining,581,,,
360,Retail,,,,
361,IPS,,,,
362,"SI Holdings, Inc.","7.00 (3M L+600, 1.00 Floor)",31562,30217,
363,Rapid Displays,,,,
364,Rapid Displays Acquisition Corporation,"6.00 (3M L+500, 1.00 Floor)",11331,10874,
365,Total Retail,43997,,,
366,Telecommunications,,,,
367,IPC Corporation,,,,
368,IPC Corporation,5.76 (3M L+500),10000,8972,
369,IPC Information Systems UK Holdings Limited,"7.50 (3M L+650, 1.00 Floor)",1405,1317,
370,"Securus Technologies Holdings, Inc.",,,,
371,"Securus Technologies Holdings, Inc.","9.25 (6M L+825, 1.00 Floor)",12878,10818,
372,Total Telecommunications,24124,,,
373,"Transportation – Cargo, Distribution",,,,
374,"Dynamic Product Tankers (Prime), LLC",,,,
375,"Dynamic Product Tankers, LLC (5)",8.45 (3M L+700),42000,42000,
376,Heniff and Superior,,,,
377,"Heniff Holdco, LLC","6.75 (3M L+575, 1.00 Floor)",30997,29537,
378,MSEA Tankers LLC,,,,
379,MSEA Tankers LLC (5),60691,(17)(25)  (28),,
380,"Total Transportation – Cargo, Distribution",184361,,,
381,Wholesale,,,,
382,Banner Solutions,,,,
383,"Banner Buyer, LLC","6.75 (1M L+575, 1.00 Floor)",104,101,
384,"Banner Parent Holdings, Inc","5,000 Shares",434,,
385,Total Wholesale,14297,,,
386,Total Investments before Cash Equivalents,2990863,,,
