,Industry / Company,Interest Rate,Par/Shares (12),Cost (36),Fair Value (1)(37),,
229,Ovation Fertility,,,,,,
230,"FPG Services, LLC","L+550, 1.00 Floor",13831,13631,13796,(9)(28),
231,Paragon 28,,,,,,
232,"Paragon 28, Inc.","L+600, 1.00 Floor",10000,2490,2450,(9)(23)(26),
233,"Partner Therapeutics, Inc",,,,,,
234,"Partner Therapeutics, Inc","L+665, 1.00 Floor",10000,9956,9875,(9)(26),
235,PHS,,,,,,
236,"PHS Buyer, Inc.","L+525, 1.00 Floor",10203,10073,9948,(9)(28),
237,Radius Health,,,,,,
238,"Radius Health, Inc.","L+575, 2.00 Floor",29000,28682,28739,(9)(17)(26),
239,RHA Health Services,,,,,,
240,"Pace Health Companies, LLC","L+450, 1.00 Floor",489,484,489,(9)(28),
241,Rigel Pharmaceuticals,,,,,,
242,"Rigel Pharmaceuticals, Inc.","L+565, 1.50 Floor",6000,6017,6058,(9)(26),
243,"RiteDose Holdings I, Inc.",,,,,,
244,"RiteDose Holdings I, Inc.","L+650, 1.00 Floor",12627,12491,12627,(9)(28),
245,Unchained Labs,,,,,,
246,"Unchained Labs, LLC","L+550, 1.00 Floor",1931,1893,1911,(9)(26),
247,High Tech Industries,,,,,,
248,Acronis AG,,,,,,
249,ACRONIS AG,"L+585, 1.50 Floor",21000,20928,21000,(9)(17)(26),
250,American Megatrends,,,,,,
251,AMI US Holdings Inc.,"L+550, 1.00 Floor",21541,21285,21541,(9)(26),
252,"Calero Holdings, Inc.",,,,,,
253,"Telesoft Holdings, LLC","L+575, 1.00 Floor",22386,22022,22203,(28),
254,ChyronHego Corporation,,,,,,
255,ChyronHego Corporation (5),"L+350 Cash plus 1.50 PIK, 1.00 Floor",84634,82790,82941,(28),
256,Dairy.com,,,,,,
257,Momentx Corporation,"L+550, 1.00 Floor",13709,13442,13454,(9)(28),
258,Digital.ai,,,,,,
259,"Digital.ai Software Holdings, Inc.","L+700, 1.00 Floor",22468,21862,22151,(9)(28),
260,GoHealth,,,,,,
261,"Norvax, LLC","L+650, 1.00 Floor",3182,351,398,(9)(21)(23)  (28),
262,"International Cruise & Excursion Gallery, Inc.",,,,,,
263,"International Cruise & Excursion Gallery, Inc.","L+525, 1.00 Floor",14513,14357,13611,(28),
264,Magnitude Software,,,,,,
265,New Amsterdam Software BidCo LLC,"L+475, 1.00 Floor",6761,6671,6693,(9)(28),
266,Modern Campus,,,,,,
267,"Destiny Solutions U.S., Inc.","L+575, 1.00 Floor",15733,15391,15308,(26)(28),
268,"RMCF IV CIV XXXV, L.P.",482 Shares,1309,(13)(25),,,
269,MYCOM,,,,,,
270,Magnate Holding Corp.,"L+625, 0.50 Floor",18833,18701,17057,(9)(17)(28),
271,"New Era Technology, Inc.",,,,,,
272,"New Era Technology, Inc.","L+625, 1.00 Floor",14561,14288,14270,(9)(28),
273,Pro Vigil,,,,,,
274,"Pro-Vigil Holding Company, LLC","L+850, 1.00 Floor",7960,7761,7850,(9)(26),
275,Schlesinger Group,,,,,,
276,"Schlesinger Global, LLC","L+600 Cash plus 1.00 PIK, 1.00 Floor",9862,9690,9725,(9)(28),
277,Simeio,,,,,,
278,"Simeio Group Holdings, Inc.","L+550, 1.00 Floor",8524,8431,8379,(9)(26),
279,Sirsi Corporation,,,,,,
280,Sirsi Corporation,"L+475, 1.00 Floor",5971,5925,5896,(9)(28),
281,"Sontiq, Inc.",,,,,,
282,"Sontiq, Inc.","L+750, 1.00 Floor",14096,13848,13890,(9)(28),
283,Springbrook,,,,,,
284,"Springbrook Holding Company, LLC","L+550, 1.00 Floor",9274,9151,9174,(28),
285,Tax Slayer,,,,,,
286,"MEP-TS Midco, LLC","L+600, 1.00 Floor",13447,13203,13312,(9)(28)(29),
287,Telnyx,,,,,,
288,Telnyx LLC,"L+625, 1.50 Floor",5250,5226,5277,(9)(26),
289,UpStack,,,,,,
290,Upstack Holdco Inc.,"L+600, 1.00 Floor",12000,11674,11670,(9)(29),
291,"Hotel, Gaming, Leisure, Restaurants",,,,,,
292,Taco Cabana,,,,,,
293,"YTC Enterprises, LLC","L+625, 1.00 Floor",9992,9871,9867,(9)(26),
294,Insurance,,,,,,
295,High Street Insurance,,,,,,
296,"High Street Buyer, Inc.","L+600, 0.75 Floor",16484,16174,16154,(9)(29),
297,PGM Holdings Corporation,,,,,,
298,"Turbo Buyer, Inc.","L+575, 1.00 Floor",19327,18988,19005,(9)(28),
299,Relation Insurance,,,,,,
300,"AQ Sunshine, Inc.","L+600, 1.00 Floor",27434,26982,27417,(9)(28),
301,"Manufacturing, Capital Equipment",,,,,,
302,"AVAD, LLC",,,,,,
303,"AVAD, LLC","L+400, 1.00 Floor",2060,902,0,(9)(23)(26),
304,"Surf Opco, LLC","L+400, 1.00 Floor",16667,10646,10646,(9)(20)(21)  (23)(26),
305,Kauffman,,,,,,
306,"Kauffman Holdco, LLC","250,000 Shares",55,(9)(13),,,
307,"Kauffman Intermediate, LLC","L+650, 1.00 Floor",16414,16215,15932,(9)(28),
308,MedPlast Holdings Inc.,,,,,,
309,"Viant Medical Holdings, Inc. (fka MedPlast Holdings, Inc.)","L+775, 0.00 Floor",8000,7952,7546,(26),
310,Media – Diversified & Production,,,,,,
311,New Wave Entertainment,,,,,,
312,"NW Entertainment, Inc.","L+700 Cash plus 2.00 PIK, 1.00 Floor",27774,27471,27255,(9)(28)(29),
313,Nitro World Entertainment,,,,,,
314,NWE OPCO LP,"L+650, 2.00 Floor",4695,4685,4695,(9)(26),
315,Sonar Entertainment,,,,,,
316,"Sonar Entertainment, Inc.","L+760, 1.25 Floor",3611,3607,2954,(9)(26),
317,Retail,,,,,,
318,IPS,,,,,,
319,"SI Holdings, Inc.","L+600, 1.00 Floor",31165,30750,30619,(9)(28),
320,Telecommunications,,,,,,
321,IPC Corporation,,,,,,
322,IPC Corporation,"P+400, 0.00 Floor",10000,9995,10000,(9)(11)(19)  (34),
323,IPC Information Systems UK Holdings Limited,"L+650, 1.50 Floor",1405,1405,1405,(9)(17)(28),
324,"Securus Technologies Holdings, Inc.",,,,,,
325,"Securus Technologies Holdings, Inc.","L+825, 1.00 Floor",12878,12808,11590,(28),
326,"Transportation – Cargo, Distribution",,,,,,
327,Beacon Mobility,,,,,,
328,Beacon Mobility Corp.,"L+550, 1.00 Floor",14023,10222,10229,(9)(21)(23)  (28),
329,"Dynamic Product Tankers (Prime), LLC",,,,,,
330,"Dynamic Product Tankers, LLC (5)","L+500, 0.00 Floor",22000,22000,22000,(17)(29),
331,Heniff and Superior,,,,,,
332,"Heniff Holdco, LLC","L+575, 1.00 Floor",30609,30105,29556,(9)(28),
333,MSEA Tankers LLC,,,,,,
334,MSEA Tankers LLC (5),53739,(17)(18)(25),,,,
335,Wholesale,,,,,,
336,Banner Solutions,,,,,,
337,"Banner Buyer, LLC","L+575, 1.00 Floor",12360,12211,12262,(9)(26),
338,"Banner Parent Holdings, Inc.","6,125 Shares",604,(9)(13),,,
339,Total Investments before Cash Equivalents,2808718,,,,,
