,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
51,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/19/24,5833,(116,(117,(8)(9)(21)(23),
52,Margaux UK Finance Limited,First Lien Secured Debt,"8.80 (3M L+600, 1.00 Floor)",12/19/24,5955,7375,7433,(9)(17),
53,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/19/24,541,(14,(14,(8)(9)(17)(21)(23),
54,"Ministry Brands, LLC",Second Lien Secured Debt,"11.77 (1M L+925, 1.00 Floor)",06/02/23,10000,9897,10050,,
55,"Newscycle Solutions, Inc.",First Lien Secured Debt,"9.52 (1M L+700, 1.00 Floor)",12/29/22,15663,15357,15507,(9),
56,"Newscycle Solutions, Inc.",First Lien Secured Debt,"9.51 (1M L+700, 1.00 Floor)",12/29/22,1201,1171,1189,(9),
57,"Newscycle Solutions, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/22,500,(10,(5,(8)(9)(21)(23),
58,"PSI Services, LLC",First Lien Secured Debt,"7.52 (1M L+500, 1.00 Floor)",01/20/23,4586,4508,4566,(9),
59,"PSI Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/20/22,397,(6,(2,(8)(9)(21)(23),
60,"PSI Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/20/22,47,0,0,(9)(21)(23),
61,"PSI Services, LLC",Second Lien Secured Debt,"11.52 (1M L+900, 1.00 Floor)",01/20/24,37893,37081,37720,(9),
62,"RA Outdoors, LLC",First Lien Secured Debt,"7.27 (1M L+475, 1.00 Floor)",09/11/24,7156,7040,7013,(9),
63,"RA Outdoors, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/09/22,1200,(18,(24,(8)(9)(21)(23),
64,"RA Outdoors, LLC",Second Lien Secured Debt,"11.27 (1M L+875, 1.00 Floor)",09/11/25,34200,33483,33345,(9),
65,"STG-Fairway Acquisitions, Inc.",Second Lien Secured Debt,"11.96 (3M L+925, 1.00 Floor)",06/30/23,15000,14788,14400,,
66,TGG TS Acquisition Company,First Lien Secured Debt - Revolver,9.29 (3M L+650),12/14/23,1115,1115,1087,(23),
67,TGG TS Acquisition Company,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/14/23,635,0,0,(21)(23),
68,"Transplace Holdings, Inc.",Second Lien Secured Debt,"11.21 (1M L+875, 1.00 Floor)",10/06/25,8599,8416,7825,(10),
69,U.S. Legal Support,,,,,,,,
70,"USLS Acquisition, Inc.",First Lien Secured Debt,"8.46 (3M L+575, 1.00 Floor)",12/02/24,20099,19703,19698,(9),
71,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/02/24,1608,(32,(32,(8)(9)(21)(23),
72,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/02/24,4690,(46,(94,(8)(9)(21)(23),
73,"U.S. Legal Support Investment Holdings, LLC",Common Equity/Interests - Series A-1 Units,N/A,N/A,"602,978 Shares",603,619,(9)(13),
74,"Vertafore, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/30/23,14591,"(1,552","(1,678",(8)(21)(23),
75,"Vertafore, Inc.",First Lien Secured Debt - Letter of Credit,3.25,06/30/23,409,0,(47,(8)(23),
76,"Chemicals, Plastics & Rubber",,,,,,,,
77,Carbonfree Chemicals,,,,,,,,
78,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),First Lien Secured Debt,5.215 PIK,09/30/20,50305,50305,47129,,
79,Carbonfree Caustic SPE LLC,First Lien Secured Debt,5.00,12/31/21,3800,3800,3800,,
80,Carbonfree Caustic SPE LLC,First Lien Secured Debt - Unfunded Delayed Draw - Promissory Note,N/A,12/31/21,9311,0,0,(21)(23),
81,"Hare Bidco, Inc.",Second Lien Secured Debt,"9.75 (1M E+875, 1.00 Floor)",08/01/24,13574,14455,15207,,
82,"Westfall Technik, Inc.",First Lien Secured Debt,"7.78 (3M L+500, 1.00 Floor)",09/13/24,4700,4610,4606,(9),
83,"Westfall Technik, Inc.",First Lien Secured Debt,"7.79 (3M L+500, 1.00 Floor)",09/13/24,1238,1226,1214,(9),
84,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"7.61 (3M L+500, 1.00 Floor)",09/13/24,135,135,132,(9)(23),
85,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,9.50 (P+400),09/13/24,539,539,528,(9)(23),
86,"Westfall Technik, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/24,1346,(38,(27,(8)(9)(21)(23),
87,"Westfall Technik, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,09/13/24,9531,(102,(215,(8)(9)(21)(23),
88,Consumer Goods – Durable,,,,,,,,
89,"Hayward Industries, Inc.",Second Lien Secured Debt,10.77 (1M L+825),08/04/25,21919,21640,21590,,
90,KDC US Holdings,First Lien Secured Debt - Unfunded Revolver,0.00 Unfunded,12/21/23,6020,0,0,(21)(23),
91,KLO Holdings,,,,,,,,
92,9357-5991 Quebec Inc.,First Lien Secured Debt,"10.27 (1M L+775, 1.50 Floor)",04/07/22,8822,8750,8469,,
93,KLO Acquisition LLC,First Lien Secured Debt,"10.27 (1M L+775, 1.50 Floor)",04/07/22,5108,5066,4903,,
94,"Sorenson Holdings, LLC",Common Equity/Interests - Membership Interests,N/A,N/A,587 Shares,0,440,(13),
95,Consumer Goods – Non-Durable,,,,,,,,
96,"ABG Intermediate Holdings 2, LLC",Second Lien Secured Debt,"10.27 (1M L+775, 1.00 Floor)",09/29/25,7371,7344,7261,(10),
97,"BIG Buyer, LLC",First Lien Secured Debt,"9.14 (3M L+650, 1.00 Floor)",11/20/23,25278,24536,24519,(9),
98,"BIG Buyer, LLC",First Lien Secured Debt,"9.28 (3M L+650, 1.00 Floor)",11/20/23,2326,2292,2256,(9),
99,"BIG Buyer, LLC",First Lien Secured Debt - Revolver,"9.14 (3M L+650, 1.00 Floor)",11/20/23,271,271,263,(9)(23),
100,"BIG Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/20/23,1535,(53,(46,(8)(9)(21)(23),
101,"BIG Buyer, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,11/20/23,3091,(79,(163,(8)(9)(21)(23),
102,"Sequential Brands Group, Inc.",Second Lien Secured Debt,11.25 (1M L+875),02/07/24,13141,13029,13002,(17),
103,Reddy Ice Corporation,First Lien Secured Debt,"10.02 (1M L+750, 1.00 Floor)",06/30/23,30488,30075,30195,(9),
104,Reddy Ice Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/30/23,2920,(39,(28,(8)(9)(21)(23),
105,Reddy Ice Corporation,First Lien Secured Debt - Letter of Credit,4.50,04/05/19,9680,0,(93,(8)(9)(23),
106,Consumer Services,,,,,,,,
107,1A Smart Start LLC,Second Lien Secured Debt,"10.77 (1M L+825, 1.00 Floor)",08/22/22,25100,24708,24687,,
108,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"7.84 (3M BBSW+575, 1.00 Floor)",04/06/24,A$,6768,4906,4669,(17)
109,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt - Unfunded Delayed Draw,2.59 Unfunded,04/06/24,A$,232,(9,(10,(8)(17)(21)(23)
110,"Pinstripe Holdings, LLC",First Lien Secured Debt,8.52 (1M L+600),01/15/25,7000,6860,6860,,
111,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt,8.26 (1M L+575),12/28/23,11333,11220,11220,(9)(17),
112,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt - Revolver,8.26 (1M L+575),12/28/23,18,18,18,(9)(17)(23),
113,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt - Unfunded Revolver,0.00 Unfunded,12/28/23,1148,(12,(11,(8)(9)(17)(21)(23),
114,"Containers, Packaging & Glass",,,,,,,,
115,"Sprint Industrial Holdings, LLC",Second Lien Secured Debt,13.50 PIK,11/14/19,21086,18107,14560,(13)(14),
116,"Sprint Industrial Holdings, LLC",Common Equity/Interests - Warrants,N/A,N/A,"7,341 Warrants",0,0,(13)(26),
117,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Revolver,7.75 (P+225),11/30/21,4208,4208,4215,(23),
118,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/30/21,1418,(295,0,(21)(23),
119,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,
120,Alera Group Holdings,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,08/01/25,20000,(177,(180,(8)(21)(23),
121,Craft 2015-2,Structured Products and Other - Credit-Linked Note,12.70 (3M L+925),01/16/24,13379,13307,13379,(11)(17),
122,"Flock SPV I, LLC",First Lien Secured Debt,9.02 (1M L+650),08/30/22,8000,7927,7894,(9)(17),
123,"Flock SPV I, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/30/22,1333,(12,(18,(8)(9)(17)(21)(23),
124,"Flock SPV I, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,08/30/22,10667,(98,(141,(8)(9)(17)(21)(23),
125,"Golden Bear 2016-R, LLC (3)(4)",Structured Products and Other - Membership Interests,N/A,09/20/42,0,16633,13432,(17),
126,Mayfield Agency Borrower Inc.,Second Lien Secured Debt,11.02 (1M L+850),03/02/26,5000,4933,4966,(10),
127,"Purchasing Power, LLC",First Lien Secured Debt,8.02 (1M L+550),05/09/19,21300,21285,21248,(9),
128,"Purchasing Power, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/09/19,3000,(7,(7,(8)(9)(21)(23),
129,"Purchasing Power, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,05/09/19,5700,(49,(51,(8)(9)(21)(23),
130,"Taupo River II, LLC",First Lien Secured Debt,"8.05 (3M L+525, 1.00 Floor)",06/08/20,14000,13947,13947,(9)(17),
131,"Ten-X, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/29/22,4680,(315,(328,(8)(21)(23),
132,Energy – Electricity,,,,,,,,
133,"AMP Solar Group, Inc. (4)",Common Equity/Interests - Class A Common Unit,N/A,N/A,"243,646 Shares",10000,6050,(13)(17),
134,Renew Financial,,,,,,,,
135,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,143 Shares,534,676,(15)(17),
136,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,14469,(13),
137,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,5841,(13),
138,Renew JV LLC (4),Common Equity/Interests - Membership Interests,N/A,N/A,N/A,1683,2058,(13)(17),
139,Solarplicity Group,,,,,,,,
140,Solarplicity Group Limited (3)(4),First Lien Secured Debt,N/A,11/30/22,4331,5811,2785,(13)(17),
141,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00,03/08/23,5562,7637,6968,(17),
142,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5861,4952,(2)(13)(17),
143,Solarplicity UK Holdings Limited,Common Equity/Interests - Ordinary Shares,N/A,N/A,"2,825 Shares",4,276,(2)(13)(17),
144,Energy – Oil & Gas,,,,,,,,
145,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",First Lien Secured Debt,8.00 Cash (10.00 PIK Toggle),03/29/19,10000,10000,10000,,
146,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00 PIK (8.00 Cash Toggle),03/29/21,32876,32876,32876,,
147,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity/Interests - Common Stock,N/A,N/A,"5,000,000 Shares",30078,4782,(13),
148,"Pelican Energy, LLC (4)",Common Equity/Interests - Membership Interests,N/A,N/A,"1,444 Shares",18736,5925,(13)(17)(16),
149,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00,03/31/20,20400,20400,21012,,
150,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche A Note,14.00 (8.00 Cash plus 6.00 PIK),03/31/20,45457,45457,46821,,
151,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche B Note,14.00 PIK,03/31/20,81346,44380,39309,(13)(14),
152,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,03/31/20,1600,0,0,(21)(23),
153,"SHD Oil & Gas, LLC (5)",Common Equity/Interests - Series A Units,N/A,N/A,"7,600,000 Shares",1411,0,(13)(16),
154,Food & Grocery,,,,,,,,
155,Bumble Bee Foods,,,,,,,,
156,"Bumble Bee Holdings, Inc.",First Lien Secured Debt,"10.65 (3M L+800, 1.00 Floor)",08/15/23,15390,15138,15082,,
157,Connors Bros Clover Leaf Seafoods Company,First Lien Secured Debt,"10.65 (3M L+800, 1.00 Floor)",08/15/23,4360,4289,4273,,
158,"Grocery Outlet, Inc.",Second Lien Secured Debt,9.59 (1M L+725),10/22/26,10500,10397,10434,(10),
159,Healthcare & Pharmaceuticals,,,,,,,,
160,Altasciences,,,,,,,,
161,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.96 (3M L+625, 1.00 Floor)",06/09/23,2877,2829,2769,(9)(17),
162,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.43 (3M L+625, 1.00 Floor)",06/09/23,2400,1758,1691,(9)(17),
163,"Altasciences US Acquisition, Inc.",First Lien Secured Debt,"8.96 (3M L+625, 1.00 Floor)",06/09/23,5195,5109,5001,(9),
164,"Altasciences US Acquisition, Inc.",First Lien Secured Debt,"8.69 (1M L+625, 1.00 Floor)",06/09/23,924,924,890,(9)(27),
165,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Revolver,"9.07 (3M L+625, 1.00 Floor)",06/09/23,285,285,274,(9)(23),
166,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,06/09/23,1140,(24,(43,(8)(9)(21)(23)(27),
167,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/09/23,1927,(26,(107,(8)(9)(21)(23)(27),
168,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"8.27 (1M L+575, 1.00 Floor)",06/05/24,13017,12797,12647,(9),
169,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/05/24,13146,(224,(375,(8)(9)(21)(23),
170,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/05/24,806,(18,(23,(8)(9)(21)(23),
171,Analogic Corporation,First Lien Secured Debt,"8.52 (1M L+600, 1.00 Floor)",06/22/24,27323,26699,27049,(9),
172,Analogic Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/23,2609,(58,(26,(8)(9)(21)(23),
173,Aptevo Therapeutics Inc.,First Lien Secured Debt,"10.12 (1M L+760, 0.50 Floor)",02/01/23,8571,8709,8458,(9),
174,"Argon Medical Devices Holdings, Inc.",Second Lien Secured Debt,"10.52 (1M L+800, 1.00 Floor)",01/23/26,19600,19513,19404,(10),
175,"BioClinica Holding I, LP",Second Lien Secured Debt,"10.75 (3M L+825, 1.00 Floor)",10/21/24,24612,24238,22643,(10),
176,"Genesis Healthcare, Inc.",First Lien Secured Debt,"8.80 (3M L+600, 0.50 Floor)",03/06/23,25000,24686,24693,(9),
177,"Genesis Healthcare, Inc.",First Lien Secured Debt,"13.80 (3M L+1100, 1.00 Floor)",03/06/23,9130,8978,9018,(9),
178,"Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"8.80 (3M L+600, 0.50 Floor)",03/06/23,20430,20430,20184,(9)(23),
179,"Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"6.05 (3M L+325, 0.50 Floor)",03/06/23,5698,5698,5629,(9)(23),
180,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/06/23,34741,(763,(420,(8)(9)(21)(23),
181,"Lanai Holdings III, Inc.",Second Lien Secured Debt,"11.03 (3M L+850, 1.00 Floor)",08/28/23,17391,17046,15913,(10),
182,"LSCS Holdings, Inc",Second Lien Secured Debt,10.96 (3M L+825),03/16/26,19818,19401,19719,,
183,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"8.82 (3M L+600, 1.00 Floor)",11/22/23,24796,24295,24207,(9),
184,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/22/22,1558,(30,(36,(8)(9)(21)(23),
185,"Partner Therapeutics, Inc",First Lien Secured Debt,"9.17 (1M L+665, 1.00 Floor)",01/01/23,10000,9849,9845,(9),
186,"Partner Therapeutics, Inc",Preferred Equity - Preferred Stock,N/A,N/A,"55,556 Shares",333,333,(9),
187,"Partner Therapeutics, Inc",Common Equity/Interests - Warrants,N/A,N/A,"33,333 Warrants",135,96,(9)(13),
188,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"8.51 (1M L+600, 0.50 Floor)",07/12/23,6438,7267,7286,,
189,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"8.51 (1M L+600, 0.50 Floor)",07/12/23,8130,8049,8049,,
190,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"8.51 (1M L+600, 0.50 Floor)",01/13/20,255,296,252,,
191,"ProPharma Group Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/12/23,1032,(10,(10,(8)(21)(23),
192,"ProPharma Group Intermediate, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,01/13/20,2753,(31,(31,(8)(21)(23),
193,"ProPharma Group Intermediate, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,01/13/20,158,(2,(2,(8)(21)(23),
194,"PTC Therapeutics, Inc",First Lien Secured Debt,"8.67 (1M L+615, 1.00 Floor)",05/01/21,12667,12630,12793,(9)(17),
195,"PTC Therapeutics, Inc",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/01/21,6333,(18,0,(9)(17)(21)(23),
196,"RiteDose Holdings I, Inc.",First Lien Secured Debt,"10.05 (3M L+725, 1.00 Floor)",09/13/23,14850,14471,14212,(9),
197,"RiteDose Holdings I, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/22,2000,(48,(75,(8)(9)(21)(23),
198,"Teladoc, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/14/20,1306,(35,(1,(8)(17)(21)(23),
199,"Teladoc, Inc.",First Lien Secured Debt - Letters of Credit,7.25,1/12/19 - 5/15/20,360,0,0,(8)(17)(23),
200,"TherapeuticsMD, Inc.",First Lien Secured Debt,"10.27 (1M L+775, 1.50 Floor)",05/01/23,22500,22402,22275,(9)(17),
201,"TherapeuticsMD, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/01/23,37500,(332,(375,(8)(9)(17)(21)(23),
202,"Wright Medical Group, Inc.",First Lien Secured Debt,"10.37 (1M L+785, 1.00 Floor)",12/23/21,6667,6557,6533,(9)(17),
203,"Wright Medical Group, Inc.",First Lien Secured Debt - Revolver,"6.77 (1M L+425, 0.75 Floor)",12/23/21,7807,7807,7807,(9)(17)(23),
204,"Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/23/21,42193,(298,0,(9)(17)(21)(23),
205,"Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,12/23/21,6667,(109,(133,(8)(9)(17)(21)(23),
206,High Tech Industries,,,,,,,,
207,"ChargePoint, Inc.",First Lien Secured Debt,"9.07 (1M L+655, 1.25 Floor)",06/01/23,10500,10405,10381,(9),
208,"ChargePoint, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,06/01/23,3000,(27,0,(9)(21)(23),
209,ChyronHego Corporation,First Lien Secured Debt,"7.43 (3M L+643, 1.00 Floor)",03/09/20,34812,34624,32723,(18),
210,"DigiCert Holdings, Inc.",Second Lien Secured Debt,"10.52 (1M L+800, 1.00 Floor)",10/31/25,12157,12105,11823,(10),
211,"FiscalNote, Inc.",First Lien Secured Debt,"10.52 (1M L+800, 1.00 Floor)",08/21/23,28125,27407,27352,(9),
212,"FiscalNote, Inc.",First Lien Secured Debt - Revolver,"10.52 (1M L+800, 1.00 Floor)",08/21/23,1313,1313,1276,(9)(23),
213,"FiscalNote, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/21/23,1313,(67,(36,(8)(9)(21)(23),
214,"FiscalNote, Inc.",Preferred Equity - Series F Preferred Stock,N/A,N/A,"259,654 Shares",1500,1500,(9),
215,"International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"7.77 (1M L+525, 1.00 Floor)",06/06/25,14925,14649,14776,,
216,LabVantage Solutions,,,,,,,,
217,LabVantage Solutions Inc.,First Lien Secured Debt,"9.80 (1M L+750, 1.00 Floor)",12/29/20,12234,12073,12111,,
218,LabVantage Solutions Limited,First Lien Secured Debt,"8.50 (1M E+750, 1.00 Floor)",12/29/20,12024,12770,13607,(17),
