,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0121.6 (10),Maturity Date,Industry,Par Amount(12),Fair  Value (1),
55,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2015  (in thousands, except shares)",,,,,
56,2nd Lien Secured Debt041.6 (continued),,,,,
57,"Sprint Industrial Holdings, LLC",11/14/19,"Containers, Packaging, and Glass",14163,13526,
58,"SquareTwo Financial Corp. (Collect America, Ltd.) (17)",4/1/17,Financial Services,65152,58420,
59,"TASC, Inc.",5/21/21,Aerospace and Defense,21815,23178,
60,TMK Hawk Parent Corp.,10/1/22,Distribution,34000,34000,
61,"Transfirst Holdings, Inc.",11/11/22,Financial Services,11340,11404,
62,UniTek Global Services Inc. (16),1/13/19,Telecommunications,32367,30748,
63,"Velocity Technology Solutions, Inc.",9/28/20,Business Services,16500,16005,
64,"Vertafore, Inc.",10/27/17,Business Services,36436,36709,
65,Total 2nd Lien Secured Debt,820840.0,805625,,,
66,TOTAL SECURED DEBT,1720080.0,1646388,,,
67,UNSECURED DEBT024.5,,,,,
68,American Energy - Woodford LLC/AEW Finance Corp. (11),9/15/22,Oil and Gas,5000.0,2850,
69,"American Tire Distributors, Inc. (11)",3/1/22,Distribution,24281,25252,
70,Artsonig Pty Ltd. (11)(17),4/1/19,Transportation,21227,17830,
71,BCA Osprey II Limited (British Car Auctions) (16)(17),8/17/17,Transportation,£,37704,36033.0
72,BCA Osprey II Limited (British Car Auctions) (16)(17),8/17/17,Transportation,€,19779,15855.0
73,Canacol Energy Ltd. (17),12/31/19,Oil and Gas,50000.0,47625.0,
74,Ceridian Corp. (11),3/15/21,Diversified Service,16760,17430,
75,"Delta Educational Systems, Inc.",5/12/17,Education,24172,21416,
76,Denver Parent Corp. (Venoco) (13)(14)(16),8/15/18,Oil and Gas,9572,1460,
77,"GenCorp, Inc. (17)",4/18/22,Aerospace and Defense,40500,40500,
78,"My Alarm Center, LLC",7/9/18,Business Services,4236,4236,
79,PetroBakken Energy Ltd. (11)(17),2/1/20,Oil and Gas,34980,25361,
80,"Radio One, Inc. (11)(17)",2/15/20,Broadcasting & Entertainment,15804,15160,
81,"Sorenson Holdings, LLC (11)",10/31/21,Consumer Products,68,68,
82,Tibco Software Inc. (11),12/1/21,Business Services,11389,11595,
83,"U.S. Security Associates Holdings, Inc.",7/28/18,Business Services,135000,137700,
84,UniTek Global Services Inc.,7/13/2019,Telecommunications,6565,6565,
85,"Univar, Inc.",6/30/2018,Distribution,20000,19900,
86,"Venoco, Inc. (16)",2/15/2019,Oil and Gas,54996,28598,
87,TOTAL UNSECURED DEBT,530366,475434.0,,,
88,TOTAL CORPORATE DEBT,2250446.0,2121822,,,
89,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2015  (in thousands, except shares)",,,,,
90,STRUCTURED PRODUCTS AND OTHER09.0,,,,,
91,"Asset Repackaging Trust Six B.V., Credit-Linked Note (11)(17)(20)",5/18/2027,Utilities,58411.0,36731,
92,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",4/17/2022,Diversified Investment Vehicle,25000,24282,
93,"Craft 2013-1, Credit-Linked Note (16)(17)",4/17/2022,Diversified Investment Vehicle,7625,7412,
94,"Craft 2014-1A, Credit-Linked Note (11)(17)",5/15/2021,Diversified Investment Vehicle,42500,41898,
95,"Dark Castle Holdings, LLC",Media,24395,1189,,
96,"JP Morgan Chase & Co., Credit-Linked Note (17)",12/20/2021,Diversified Investment Vehicle,43250,42700,
97,"NXT Capital CLO 2014-1, LLC, Class E Notes (11)(17)",4/23/2026,Diversified Investment Vehicle,5000,4350,
98,"Renaissance Umiat, LLC, ACES Tax Receivable (15)(17)",Oil and Gas,0,13014,,
99,TOTAL STRUCTURED PRODUCTS AND OTHER,161225.0,174370,,,
100,PREFERRED EQUITY01.6,,,,,
101,"CA Holding, Inc. (Collect America, Ltd.), Series A Preferred Stock (13)(17)",Financial Services,32961,788,,
102,"Crowley Holdings, Series A Preferred Stock (11)",Cargo Transport,22500,23079,,
103,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (Convertible) (13)(14)",Education,332500,6863,,
104,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (13)(14)",5/12/2018,Education,12360,1613,
105,"Varietal Distribution Holdings, LLC, Class A Preferred Unit",Distribution,3097,5724,,
106,TOTAL PREFERRED EQUITY,64139.0,31210,,,
107,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2015  (in thousands, except shares)",,,,,
108,EQUITY01.5,,,,,
109,Common Equity/Interests01.2,,,,,
110,"ATD Corporation (Accelerate Parent Corp.), Common Stock (11)",Distribution,1664046,1714,,
111,"CA Holding, Inc. (Collect America, Ltd.), Series A Common Stock (13)(17)",Financial Services,25000,2500,,
112,"CA Holding, Inc. (Collect America, Ltd.), Series AA Common Stock (13)(17)",Financial Services,4294,429,,
113,"Caza Petroleum, Inc., Net Profits Interest (13)",Oil and Gas,0,1202,,
114,"Caza Petroleum, Inc., Overriding Royalty Interest",Oil and Gas,0,340,,
115,"Clothesline Holdings, Inc. (Angelica Corporation), Common Stock (13)",Healthcare,6000,6000,,
116,"Explorer Coinvest, LLC (Booz Allen), Common Stock (17)",Business Services,192,1468,,
117,"Garden Fresh Restaurant Holdings, LLC., Common Stock (13)",Restaurants,50000,5000,,
118,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock (13)",Education,17500,175,,
119,"JV Note Holdco, LLC (DSI Renal, Inc.), Common Equity / Interest (13)",Healthcare,9303,85,,
120,"Pelican Energy, LLC, Net Profits Interest (13)(17)",Oil and Gas,0,1061,,
121,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",Printing and Publishing,4500,4500,,
122,"Sorenson Holdings, LLC, Membership Interests (13)",Consumer Products,587,0,,
123,"Univar, Inc., Common Stock (13)",Distribution,900000,9000,,
124,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)",Distribution,28028,28,,
125,Total Common Equity/Interests,33502.0,24069,,,
126,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2015  (in thousands, except warrants)",,,,,
127,Warrants00.3,,,,,
128,"CA Holding, Inc. (Collect America, Ltd.), Common Stock Warrants (13)(17)",Financial Services,12255,8,,
129,"Energy & Exploration Partners, Inc., Common Stock Warrants (13)",Oil and Gas,60778,2374,,
130,"Fidji Luxco (BC) S.C.A., Common Stock Warrants (2)(13)(17)",Electronics,18113,182,,
131,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class A-1 Preferred Stock Warrants (13)",Education,45947,459,,
132,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class B-1 Preferred Stock Warrants (13)",Education,104314,1043,,
133,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock Warrants (13)",Education,9820,98,,
134,"Osage Exploration & Development, Inc., Common Stock Warrants (13)(17)",Oil and Gas,1496843,0,,
135,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",Oil and Gas,54545,852,,
136,Total Warrants,5016.0,5571,,,
137,TOTAL EQUITY,38518.0,29640,,,
138,Total Non-Controlled/ Non-Affiliated Investments,2514328.0,2357042,,,
139,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2015  (in thousands, except shares)",,,,,
140,INVESTMENTS IN NON-CONTROLLED/AFFILIATED INVESTMENTS013.5(4)(10),Maturity Date,Industry,Par  Amount (12),Fair  Value (1),
141,CORPORATE DEBT00.0,,,,,
142,SECURED DEBT00.0,,,,,
143,1st Lien Secured Debt00.0,,,,,
144,"Renewable Funding Group, Inc., (4)(13)",9/30/15,Finance,1000.0,1000,
145,Total 1st Lien Secured Debt,1000.0,1000,,,
146,TOTAL SECURED DEBT,1000.0,1000,,,
147,TOTAL CORPORATE DEBT,1000.0,1000,,,
148,STRUCTURED PRODUCTS AND OTHER010.3,,,,,
149,"Golden Bear Warehouse, LLC, Equity (3)(4)(17)",Diversified Investment Vehicle,4234.0,4234.0,,
150,"Golden Hill CLO I, LLC, Equity (3)(4)(17)",Diversified Investment Vehicle,70944,71478,,
151,"Highbridge Loan Management 3-2014, Ltd., Class E Notes (3)(4)(11)(17)",1/18/25,Diversified Investment Vehicle,2485,2121,
152,"Highbridge Loan Management 3-2014, Ltd., Subordinated Notes (3)(4)(11)(17)",1/18/25,Diversified Investment Vehicle,8163,6722,
153,"Ivy Hill Middle Market Credit Fund IX, Ltd, Subordinated Notes (3)(4)(11)(17)",10/18/25,Diversified Investment Vehicle,12500,11375,
154,"Jamestown CLO I LTD, Subordinated Notes (3)(4)(11)(17)",11/5/24,Diversified Investment Vehicle,4325,3698,
155,"MCF CLO I, LLC, Membership Interests (3)(4)(11)(17)",4/20/23,Diversified Investment Vehicle,38918,38490,
156,"MCF CLO III, LLC, Class E Notes (3)(4)(11)(17)",1/20/24,Diversified Investment Vehicle,12750,11220,
157,"MCF CLO III, LLC, Membership Interests (3)(4)(11)(17)",1/20/24,Diversified Investment Vehicle,41900,38984,
158,"Slater Mill Loan Fund LP, LP Certificates (3)(4)(17)",Diversified Investment Vehicle,8375,5755,,
159,TOTAL STRUCTURED PRODUCTS AND OTHER,188588.0,199998,,,
160,PREFERRED EQUITY00.5,,,,,
161,"Renewable Funding Group, Inc., Series B Preferred Stock (4)(13)",Finance,1505868,7461,,
162,TOTAL PREFERRED EQUITY,7461.0,9309,,,
163,EQUITY02.7,,,,,
164,Common Equity/Interests02.7,,,,,
165,"AMP Solar Group, Inc., Class A Common Shares (3)(4)(17)",Energy,81493,3500,,
166,"Generation Brands Holdings, Inc. (Quality Home Brands), Basic Common Stock (3)(4)(13)(18)",Home and Office Furnishings and Durable Consumer Products,9007,0,,
167,"Generation Brands Holdings, Inc. (Quality Home Brands), Series 2L Common Stock (3)(4)(13)(18)",Home and Office Furnishings and Durable Consumer Products,36700,11242,,
168,"Generation Brands Holdings, Inc. (Quality Home Brands), Series H Common Stock (3)(4)(13)(18)",Home and Office Furnishings and Durable Consumer Products,7500,2298,,
169,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2015  (in thousands, except shares)",,,,,
170,INVESTMENTS IN NON-CONTROLLED/AFFILIATED INVESTMENTS013.5(4)(10),Maturity Date,Industry,Shares,Fair  Value (1),
171,EQUITY02.7,,,,,
172,Common Equity/Interests02.7,,,,,
173,"LVI Group Investments, LLC,Common Units (3)(4)(13)(19)",Environmental Services,212460,17505,,
174,Total Common Equity/Interests,34545.0,51740,,,
175,TOTAL EQUITY,34545.0,51740,,,
176,Total Non-Controlled/Affiliated Investments,231594.0,262047,,,
177,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2015  (in thousands, except shares)",,,,,
178,INVESTMENTS IN CONTROLLED INVESTMENTS037.7(5)(10),Maturity Date,Industry,Par  Amount (12),Fair  Value (1),
179,CORPORATE DEBT018.2,,,,,
180,SECURED DEBT018.2,,,,,
181,1st Lien Secured Debt018.2,,,,,
182,"Merx Aviation Finance, LLC, (Revolver) (5)(16)",10/31/18,Aviation,352084.0,352084,
183,Total 1st Lien Secured Debt,352084.0,352084,,,
184,Unfunded Revolver Obligation00.0,,,,,
185,"Merx Aviation Finance, LLC, (Unfunded Revolver) (5)(16)",10/31/18,Aviation,47916.0,0,
186,Total Unfunded Revolver Obligation,0.0,0,,,
187,Letters of Credit00.0,,,,,
188,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (5)",9/30/15,Aviation,1800.0,0,
189,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (5)",9/30/15,Aviation,1800,0,
190,Total Letters of Credit,0.0,0,,,
191,TOTAL SECURED DEBT,352084.0,352084,,,
192,TOTAL CORPORATE DEBT,352084.0,352084,,,
193,PREFERRED EQUITY06.4,,,,,
194,"AMP Solar (UK) Limited, Class A Preference Shares (2)(5)(17)",10/31/49,Utilities,43277916,65171.0,
195,"PlayPower Holdings, Inc., Series A Preferred (5)",11/15/20,Leisure,49178,59411,
196,TOTAL PREFERRED EQUITY,125765.0,124582,,,
197,EQUITY013.1,,,,,
198,Common Equity/Interests013.1,,,,,
199,"Merx Aviation Finance, LLC, Membership Interest (5)(13)",Aviation,0,152082,,
200,"MSEA Tankers LLC, Membership Interest (5)(17)",Cargo Transport,0,33000,,
201,"PlayPower Holdings, Inc., Common Stock (5)(13)",Leisure,1000,77722,,
202,Total Common Equity/Interests,262804.0,254072,,,
203,TOTAL EQUITY,262804.0,254072,,,
204,Total Controlled Investments,740653.0,730738,,,
205,Total Investments0172.9 (6)(7),3486575.0,3349827,,,
