,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS 0136.1,Par  Amount*,Fair  Value (1),
102,"Univar Inc., 10.50, 6/30/18",20000,19940,
103,"Varietal Distribution, 10.75, 6/30/17 †   ̈",€,15104,16090
104,"Varietal Distribution, 10.75, 6/30/17 †   ̈",22204,22804,
105,"Wind Acquisition Holdings, 12.25, 7/15/17   ̈  ‡",20000,19875,
106,TOTAL UNSECURED DEBT,1007229,,
107,TOTAL CORPORATE DEBT,2411057,,
108,STRUCTURED PRODUCTS AND OTHER03.0,,,
109,"Craft CLO Ltd., L+925, 4/17/20 ‡",20000,20000,
110,"Dark Castle Holdings, LLC",33450,10492,
111,"Renaissance Umiat, LLC, ACES, Tax Receivable ** **** ‡",0,15073,
112,"Westbrook CLO Ltd., Series 2006-1A, Class E, L+370, 12/20/20   ̈  ‡",11000,10203,
113,TOTAL STRUCTURED PRODUCTS AND OTHER,52695,,
114,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED  INVESTMENTS0136.1,Shares,Fair  Value (1),
115,PREFERRED EQUITY00.7,,,
116,"CA Holding, Inc. (Collect America, Ltd.) Series A ** ‡",7961,1592,
117,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 13.50 PIK, ***",12360,8707,
118,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 12.50 PIK ***",332500,0,
119,"Varietal Distribution Holdings, LLC, Class A, 8.00 PIK",3097,2852,
120,TOTAL PREFERRED EQUITY,40420,,
121,EQUITY03.5,,,
122,Common Equity/Interests02.8,,,
123,Accelerate Parent Corp. (American Tire Distributors) **,3125000,3910,
124,"AHC Mezzanine, LLC (Advanstar) **",0,820,
125,Altegrity Holding Corp. **,353399,731,
126,"CA Holding, Inc. (Collect America, Ltd.) Series A ** ‡",25000,2245,
127,"CA Holding, Inc. (Collect America, Ltd.) Series AA ** ‡",4294,859,
128,"Caza Petroleum, Inc., Net Profits Interest **",0,607,
129,"Caza Petroleum, Inc., Overriding Royalty Interest **",0,223,
130,"Clothesline Holdings, Inc. (Angelica Corporation) **",6000,3628,
131,"Explorer Coinvest, LLC (Booz Allen) ** ‡",430,7726,
132,"Garden Fresh Restaurant Holding, LLC **",50000,0,
133,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.) **",17500,0,
134,"GS Prysmian Co-Invest L.P. (Prysmian Cables & Systems) (2,3) ** ‡",0,135,
135,"JV Note Holdco, LLC (DSI Renal Inc.) **",9303,0,
136,"Pelican Energy, LLC, Net Profits Interest ** ‡",0,293,
137,"Penton Business Media Holdings, LLC **",124,15000,
138,"RC Coinvestment, LLC (Ranpak Corp.) **",50000,6311,
139,"Sorenson Communications Holdings, LLC, Class A **",454828,290,
140,"Univar, Inc. **",900000,9570,
141,"Varietal Distribution Holdings, LLC, Class A **",28028,0,
142,Total Common Equity/Interests,55734,,
143,INVESTMENTS IN NON-CONTROLLED/ NON-AFFILIATED  INVESTMENTS0136.1,Warrants,Fair  Value (1),
144,Warrants00.7,,,
145,"CA Holding, Inc. (Collect America, Ltd.), Common ** ‡",7961,0,
146,"Energy & Exploration Partners, Inc., Common **",48077,2232,
147,"Fidji Luxco (BC) S.C.A., Common (FCI) (2) ** ‡",24862,6101,
148,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Common **",9820,0,
149,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class A-1 Preferred **",45947,0,
150,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class B-1 Preferred **",104314,0,
151,"Osage Exploration & Development, Inc., Common ** ‡",1496843,1458,
152,"Spotted Hawk Development LLC, Common ** ‡",54545,2733,
153,Total Warrants,4942,,
154,TOTAL EQUITY,60676,,
155,Total Investments in Non-Controlled/ Non-Affiliated Investments,2564848,,
