,new_Industry,Investment,Industry (9),Interest  Rate (20),Maturity  Date,Par (12),Cost,Fair  Value (1),
69,,"Kronos, Inc.",Business Services,"9.750 (3M L+850, 1.25 Floor)",4/30/20,3512,3567,3506,
70,,"Miller Energy Resources, Inc. (13)(14)(17)",Energy – Oil & Gas,"14.750 (3M L+1075 Cash, 2.000 PIK, 2.000 Floor)",2/3/18,89021,88568,63757,
71,,MSC Software Corp. (17),High Tech Industries,"8.500 (3M L+750, 1.00 Floor)",5/31/21,13448,13337,11834,
72,,"Novolex Holdings, Inc.","Containers, Packaging & Glass","9.750 (3M L+875, 1.00 Floor)",6/5/22,42045,41092,40153,
73,,Pabst Brewing Company,Consumer Goods – Durable,"9.250 (3M L+825, 1.00 Floor)",11/14/22,27000,26695,26460,
74,,"Poseidon Merger Sub, Inc.",Business Services,"9.500 (3M L+850, 1.00 Floor)",8/15/23,18000,17485,18000,
75,,"Premier Trailer Leasing, Inc.","Transportation – Cargo, Distribution","10.000 (3M L+900, 1.00 Floor)",9/24/20,52000,51135,53040,
76,,River Cree Enterprises LP (11)(17),"Hotel, Gaming, Leisure, Restaurants",11.000,1/20/21,C$,23000,21684,16516
77,,"SiTV, Inc. (11)",Broadcasting & Subscription,10.375,7/1/19,2219,2219,1786,
78,,SMG,"Hotel, Gaming, Leisure, Restaurants","9.250 (3M L+825, 1.00 Floor)",2/27/21,19900,19900,20000,
79,,"Sprint Industrial Holdings, LLC","Containers, Packaging & Glass","11.250 (3M L+1000, 1.25 Floor)",11/14/19,16163,15469,12365,
80,,SquareTwo Financial Corp. (17),"Diversified Investment Vehicles, Banking, Finance, Real Estate",11.625,4/1/17,65152,64619,37462,
81,,"STG-Fairway Acquisitions, Inc.",Business Services,"10.250 (3M L+925, 1.00 Floor)",6/30/23,15000,14641,14400,
82,,"TASC, Inc.",Aerospace & Defense,12.000,5/21/21,21815,21095,22142,
83,,"TMK Hawk Parent, Corp.","Transportation – Cargo, Distribution","8.500 (3M L+750, 1.00 Floor)",10/1/22,34000,33700,33660,
84,,"Transfirst Holdings, Inc.","Diversified Investment Vehicles, Banking, Finance, Real Estate","9.000 (3M L+800, 1.00 Floor)",11/11/22,27840,27570,27283,
85,,"U.S. Renal Care, Inc.",Healthcare & Pharmaceuticals,"9.000 (3M L+800, 1.00 Floor)",12/29/23,3000,2940,2948,
86,,"Velocity Technology Solutions, Inc.",Business Services,"9.000 (3M L+775, 1.25 Floor)",9/28/20,16500,16241,15881,
87,,"Venoco, Inc.",Energy – Oil & Gas,8.875 (12.000 PIK Toggle),2/28/19,35843,46020,25090,
90,Unsecured Debt016.6,Unsecured Debt016.6,,,,,,,
91,,"Aerojet Rocketdyne Holdings, Inc. (formerly GenCorp, Inc.) (17)",Aerospace & Defense,"9.500 (3M L+850, 1.00 Floor)",4/18/22,6500,6500,6500,
92,,"American Tire Distributors, Inc. (11)","Transportation – Cargo, Distribution",10.250,3/1/22,29741,29821,27399,
93,,Canacol Energy Ltd. (17)(23),Energy – Oil & Gas,"9.500 (3M L+850, 1.000 Unfunded, 1.00 Floor)",12/31/19,75000,73339,71400,
94,,"Delta Educational Systems, Inc.",Education,16.000 PIK,5/12/17,27181,27016,18862,
95,,"Radio One, Inc. (11)",Broadcasting & Subscription,9.250,2/15/20,15804,15721,12367,
96,,"Sorenson Holdings, LLC (11)",Consumer Goods – Durable,13.000 (13.000 PIK Toggle),10/31/21,68,45,69,
97,,Tibco Software Inc. (11),High Tech Industries,11.375,12/1/21,6984,6803,5849,
98,,"U.S. Security Associates Holdings, Inc.",Business Services,11.000,7/28/18,135000,135000,136350,
99,,UniTek Global Services Inc.,Telecommunications,15.000 PIK,7/13/19,7093,7093,7093,
102,Structured Products and Other010.6,Structured Products and Other010.6,,,,,,,
103,,"Asset Repackaging Trust Six B.V., Credit-Linked Note (11)(17)(19)",Utilities – Electric,13.832,5/18/27,58411,25215,32224,
104,,"Craft 2013-1, Credit-Linked Note (11)(16)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",9.565 (3M L+925),4/17/22,25000,25066,23754,
105,,"Craft 2013-1, Credit-Linked Note (16)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",9.565 (3M L+925),4/17/22,7625,7731,7248,
106,,"Craft 2014-1A, Credit-Linked Note (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",10.012 (3M L+965),5/15/21,42500,42436,40692,
107,,"Craft 2015-2, Credit-Linked Note (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",9.567 (3M L+925),1/16/24,26000,25956,24981,
108,,"Dark Castle Holdings, LLC",Media – Diversified & Production,31.240,N/A,24395,1189,2150,
109,,"JP Morgan Chase & Co., Credit-Linked Note (17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",12.595 (12M L+1225),12/20/21,43250,41587,42594,
110,,"NXT Capital CLO 2014-1, LLC, Class E Notes (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",5.816 (3M L+550),4/23/26,5000,4686,4072,
111,,"Renaissance Umiat, LLC, ACES Tax Receivable (15)(17)",Energy – Oil & Gas,15.250 to 17.460,N/A,0,5393,5522,
113,Equity04.5,Equity04.5,,,,,,,
114,,Preferred Equity02.9,Shares,,,,,,
115,,"Crowley Holdings, Series A Preferred Stock (11)","Transportation – Cargo, Distribution","12.000 (10.000 Cash, 2.000 PIK)",N/A,33428,33839,34233,
116,,"Gryphon Colleges Corp, Preferred Stock (13)(14)",Education,12.500 PIK,N/A,332500,6863,0,
117,,"Gryphon Colleges Corp, Preferred Stock (13)(14)",Education,13.500 PIK,5/12/18,12360,27685,0,
118,,"Sungevity Inc, Series D Preferred Stock (13)",Energy – Electricity,N/A,N/A,114678899,11250,11250,
119,,"Varietal Distribution Holdings, LLC, Class A Preferred Unit","Transportation – Cargo, Distribution",8.000 PIK,N/A,3097,4207,4207,
121,,Common Equity/Interests01.1,Shares,,,,,,
122,,"Accelerate Parent Corp, Common Stock","Transportation – Cargo, Distribution",N/A,N/A,1664046,1714,2570,
123,,"AMP Solar Group, Inc., Class A Common Unit (13)(17)",Energy – Electricity,N/A,N/A,166974,7000,7000,
124,,"Clothesline Holdings, Inc., Common Stock (13)",Healthcare & Pharmaceuticals,N/A,N/A,6000,6000,701,
125,,"Explorer Coinvest, LLC, Common Stock (17)",Business Services,N/A,N/A,133,1021,3826,
126,,"Garden Fresh Restaurant Holdings, LLC, Common Stock (13)","Hotel, Gaming, Leisure, Restaurants",N/A,N/A,50000,5000,0,
127,,"Gryphon Colleges Corp, Common Stock (13)",Education,N/A,N/A,17500,175,0,
128,,"Pelican Energy, LLC, Net Profits Interest (13)(17)",Energy – Oil & Gas,N/A,N/A,1098572,1099,0,
129,,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",Business Services,N/A,N/A,4500,4500,4500,
130,,"Sorenson Holdings, LLC, Membership Interests (13)",Consumer Goods – Durable,N/A,N/A,587,0,139,
131,,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)","Transportation – Cargo, Distribution",N/A,N/A,28028,28,237,
133,,Warrants00.5,Warrants,,,,,,
134,,"Energy & Exploration Partners, Inc., Common Stock Warrants (13)",Energy – Oil & Gas,N/A,N/A,60778,2374,0,
135,,"Fidji Luxco (BC) S.C.A., Common Stock Warrants (2)(13)(17)",High Tech Industries,N/A,N/A,12427,125,8041,
136,,"Gryphon Colleges Corp, Class A-1 Preferred Stock Warrants (13)",Education,N/A,N/A,45947,459,0,
137,,"Gryphon Colleges Corp, Class B-1 Preferred Stock Warrants (13)",Education,N/A,N/A,104314,1043,0,
138,,"Gryphon Colleges Corp, Common Stock Warrants (13)",Education,N/A,N/A,9820,98,0,
139,,"Osage Exploration & Development, Inc., Common Stock Warrants (13)(17)",Energy – Oil & Gas,N/A,N/A,1496843,0,0,
140,,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",Energy – Oil & Gas,N/A,N/A,54545,852,0,
144,Non-Controlled/Affiliated Investments014.5 (4)(10),Non-Controlled/Affiliated Investments014.5 (4)(10),,,,,,,
145,Structured Products and Other08.5,Structured Products and Other08.5,,,,,,,
146,,"Golden Bear Warehouse LLC, Membership Interests (3)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",N/A,N/A,26438,26438,35409,
147,,"Highbridge Loan Management 3-2014, Ltd., Subordinated Notes (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",17.510,1/18/25,8163,5731,5412,
148,,"Ivy Hill Middle Market Credit Fund IX, Ltd., Subordinated Notes (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",17.200,10/18/25,12500,10493,10276,
149,,"Ivy Hill Middle Market Credit Fund X, Ltd., Subordinated Notes (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",12.490,7/18/27,14000,12457,10807,
150,,"Jamestown CLO I Ltd., Subordinated Notes (11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",0.000,11/5/24,4325,3049,2142,
151,,"MCF CLO I, LLC, Membership Interests (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",20.270,4/20/23,38918,33666,35138,
152,,"MCF CLO III, LLC, Class E Notes (3)(11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",4.737 (3M L+445),1/20/24,12750,11541,10523,
153,,"MCF CLO III, LLC, Membership Interests (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",20.080,1/20/24,41900,35059,35384,
154,,"Slater Mill Loan Fund LP, LP Certificates (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",0.000,N/A,8375,5335,1424,
156,Equity06.0,Equity06.0,,,,,,,
157,,Preferred Equity02.0,Shares,,,,,,
158,,"Renewable Funding Group, Inc., Series B Preferred Stock (13)","Diversified Investment Vehicles, Banking, Finance, Real Estate",N/A,N/A,1505868,8343,20450,
159,,"Renewable Funding Group, Inc., Series D Preferred Stock (13)","Diversified Investment Vehicles, Banking, Finance, Real Estate",N/A,N/A,436689,5568,13013,
161,,Common Equity/Interests04.0,Shares,,,,,,
162,,"Generation Brands Holdings, Inc., Basic Common Stock (3)(13)",Consumer Goods – Durable,N/A,N/A,9007,0,8314,
163,,"Generation Brands Holdings, Inc., Series 2L Common Stock (3)(13)",Consumer Goods – Durable,N/A,N/A,36700,11242,33878,
164,,"Generation Brands Holdings, Inc., Series H Common Stock (3)(13)",Consumer Goods – Durable,N/A,N/A,7500,2298,6924,
165,,"LVI Group Investments, LLC, Common Units (13)",Environmental Industries,N/A,N/A,212460,17505,20513,
169,Controlled Investments042.9 (5)(10),Controlled Investments042.9 (5)(10),,,,,,,
170,Corporate Debt029.6,Corporate Debt029.6,,,,,,,
171,Secured Debt029.6,Secured Debt029.6,,,,,,,
172,First Lien Secured Debt029.6,First Lien Secured Debt029.6,,,,,,,
173,First Lien Secured Debt (excluding Revolvers and Letters of Credit)08.4,First Lien Secured Debt (excluding Revolvers and Letters of Credit)08.4,,,,,,,
174,,Solarplicity Group Limited (17),Energy – Electricity,12.500 (12.500 PIK Toggle),11/30/22,£,100670,150754,145988
176,Funded and Unfunded Revolver Obligations021.2,Funded and Unfunded Revolver Obligations021.2,,,,,,,
177,,"Merx Aviation Finance, LLC, Revolver (16)(23)",Aviation and Consumer Transport,12.000,10/31/18,365084,365084,365084,
178,,"Merx Aviation Finance, LLC, Unfunded Revolver (16)(23)",Aviation and Consumer Transport,0.000 Unfunded,10/31/18,34916,0,0,
180,Letters of Credit00.0,Letters of Credit00.0,,,,,,,
181,,"Merx Aviation Finance, LLC, Letter of Credit (16)(23)",Aviation and Consumer Transport,2.250,7/13/16,177,0,0,
182,,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",Aviation and Consumer Transport,2.250,9/30/16,1800,0,0,
183,,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",Aviation and Consumer Transport,2.250,9/30/16,1800,0,0,
188,Equity013.3,Equity013.3,,,,,,,
189,,Common Equity/Interests013.3,Shares,,,,,,
190,,"Dynamic Product Tankers, LLC, Class A Units (17)(24)","Transportation – Cargo, Distribution",N/A,N/A,N/A,38756,38714,
191,,"Merx Aviation Finance, LLC, Membership Interests",Aviation and Consumer Transport,N/A,N/A,N/A,73854,102966,
192,,"MSEA Tankers LLC, Class A Units (17)(25)","Transportation – Cargo, Distribution",N/A,N/A,N/A,85000,84622,
193,,"Solarplicity Group Limited, Class B Common Shares (2)(13)(17)",Energy – Electricity,N/A,N/A,2825,2472,2394,
