,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,
46,"CT Technologies Intermediate Holdings, Inc",Second Lien Secured Debt,"10.88 (1M L+900, 1.00 Floor)",12/01/22,31253,30470,30315,(9)
47,Electro Rent Corporation,Second Lien Secured Debt,"10.98 (3M L+900, 1.00 Floor)",01/31/25,18333,17863,17967,(9)
48,Electro Rent Corporation,Second Lien Secured Debt,"11.25 (3M L+900, 1.00 Floor)",01/31/25,18265,17753,17899,(9)
49,"Ministry Brands, LLC",Second Lien Secured Debt,"11.13 (1M L+925, 1.00 Floor)",06/02/23,10000,9880,9875,
50,"Newscycle Solutions, Inc.",First Lien Secured Debt,"8.89 (1M L+700, 1.00 Floor)",12/28/22,13743,13416,13399,(9)
51,"Newscycle Solutions, Inc.",First Lien Secured Debt,"8.88 (1M L+700, 1.00 Floor)",12/28/22,1257,1227,1226,(9)
52,"Newscycle Solutions, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/28/22,500,(7,(13,(8)(9)(21)(23)
53,"PSI Services, LLC",First Lien Secured Debt,"6.87 (1M L+500, 1.00 Floor)",01/20/23,4121,4038,4055,(9)
54,"PSI Services, LLC",First Lien Secured Debt - Revolver,"6.89 (1M L+500, 1.00 Floor)",01/20/22,79,79,78,(9)(23)
55,"PSI Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/20/22,159,(8,(2,(8)(9)(21)(23)
56,"RA Outdoors, LLC",First Lien Secured Debt,"6.54 (1M L+475, 1.00 Floor)",09/11/24,7229,7095,7156,(9)
57,"RA Outdoors, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/09/22,1200,(21,(12,(8)(9)(21)(23)
58,"RA Outdoors, LLC",Second Lien Secured Debt,"10.54 (1M L+875, 1.00 Floor)",09/11/25,34200,33404,33516,(9)
59,Skyline Data/Dodge Data,,,,,,,
60,Dodge Data & Analytics LLC,First Lien Secured Debt,"11.06 (3M L+875, 1.00 Floor)",10/31/19,48965,48653,47790,
61,"Skyline Data, News and Analytics LLC",Common Equity/Interests - Class A Common Unit,N/A,N/A,"4,500,000 Shares",4500,4500,(13)
62,"STG-Fairway Acquisitions, Inc.",Second Lien Secured Debt,"11.23 (3M L+925, 1.00 Floor)",06/30/23,15000,14753,14400,(10)
63,"Transplace Holdings, Inc.",Second Lien Secured Debt,"10.46 (1M L+875, 1.00 Floor)",10/06/25,14963,14609,15187,(10)
64,"U.S. Security Associates Holdings, Inc.",Unsecured Debt,11.00,01/28/20,80000,80000,80000,
65,"Chemicals, Plastics & Rubber",,,,,,,
66,Carbon Free Chemicals,,,,,,,
67,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),First Lien Secured Debt,5.215 PIK,06/30/20,59305,59305,47170,
68,Carbonfree Caustic SPE LLC,Unfunded Delayed Draw - Promissory Note,0.00 Unfunded,06/30/20,6111,0,0,(21)(23)
69,"Hare Bidco, Inc.",Second Lien Secured Debt,"9.75 (3M E+875, 1.00 Floor)",08/01/24,13574,14423,16360,
70,Consumer Goods – Durable,,,,,,,
71,"Hayward Industries, Inc.",Second Lien Secured Debt,10.13 (1M L+825),08/04/25,25110,24649,24647,
72,KLO Holdings,,,,,,,
73,9357-5991 Quebec Inc.,First Lien Secured Debt,"9.69 (1M L+775, 0.75 Floor)",04/07/22,9322,9229,9224,
74,KLO Acquisition LLC,First Lien Secured Debt,"9.69 (1M L+775, 0.75 Floor)",04/07/22,5397,5343,5340,
75,"Sorenson Holdings, LLC",Common Equity/Interests - Membership Interests,N/A,N/A,587 Shares,0,466,(13)
76,Consumer Goods – Non-Durable,,,,,,,
77,"ABG Intermediate Holdings 2, LLC",Second Lien Secured Debt,"10.05 (3M L+775, 1.00 Floor)",09/29/25,8094,8036,8226,(10)
78,"Sequential Brands Group, Inc.",Second Lien Secured Debt,10.79 (1M L+900),07/01/22,17160,17007,17250,(17)
79,Consumer Services,,,,,,,
80,1A Smart Start LLC,Second Lien Secured Debt,"10.13 (1M L+825, 1.00 Floor)",08/22/22,25100,24628,24623,
81,"Containers, Packaging & Glass",,,,,,,
82,"Sprint Industrial Holdings, LLC",Second Lien Secured Debt,13.5 PIK,11/14/19,19072,18107,10159,(13)(14)
83,"Sprint Industrial Holdings, LLC",Common Equity/Interests - Warrants,N/A,N/A,"7,341 Warrants",0,0,(13)(26)
84,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Revolver,7.00 (P+225),11/30/21,1560,1560,1561,(23)
85,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/30/21,4065,(371,0,(21)(23)
86,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,
87,Armor Holding II LLC,Second Lien Secured Debt,"11.31 (3M L+900, 1.25 Floor)",12/26/20,8000,7941,8110,(10)
88,Craft 2014-1A,Structured Products and Other - Credit-Linked Note,N/A,05/15/21,42500,0,0,(11)(17)
89,Craft 2015-2,Structured Products and Other - Credit-Linked Note,10.22 (3M L+925),01/16/24,24998,25691,24960,(11)(17)
90,"Golden Bear 2016-R, LLC (3)(4)",Structured Products and Other - Membership Interests,N/A,09/20/42,0,16506,14147,(17)
91,Mayfield Agency Borrower Inc.,Second Lien Secured Debt,"10.38 (1M L+850, 1.00 Floor)",03/02/26,5000,4926,4997,(10)
92,"Purchasing Power, LLC",First Lien Secured Debt - Revolver,"9.88 (1M L + 800, 1.00 Floor)",07/10/19,3068,3068,3048,(9)(23)
93,"Purchasing Power, LLC",First Lien Secured Debt - Unfunded Revolver,0.75 Unfunded,07/10/19,1432,(53,(35,(8)(9)(21)(23)
94,"Ten-X, LLC",First Lien Secured Debt - Revolver,"5.60 (1M L+375, 1.00 Floor)",09/29/22,520,520,477,(23)
95,"Ten-X, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/29/22,4160,(379,(341,(8)(21)(23)
96,Energy – Electricity,,,,,,,
97,"AMP Solar Group, Inc. (4)",Common Equity/Interests - Class A Common Unit,N/A,N/A,"243,646 Shares",10000,5051,(13)(17)
98,Renew Financial,,,,,,,
99,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,143 Shares,534,925,(13)(15)(17)
100,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,19035,(13)
101,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,6676,(13)
102,Renew JV LLC (4),Common Equity/Interests - Membership Interests,N/A,N/A,N/A,2740,4111,(13)(17)
103,Solarplicity Group,,,,,,,
104,Solarplicity Group Limited (3)(4),First Lien Secured Debt,N/A,11/30/22,4331,5811,6063,(13)(17)
105,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00,03/08/23,5562,7637,7778,(17)
106,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5832,5008,(2)(17)
107,Solarplicity UK Holdings Limited,Common Equity/Interests - Ordinary Shares,N/A,N/A,"2,825 Shares",4,929,(2)(13)(17)
108,Westinghouse Electric Co LLC,First Lien Secured Debt,"6.44 (1M L+450, 1.00 Floor)",01/11/19,30000,30000,30000,(9)
109,Energy – Oil & Gas,,,,,,,
110,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",First Lien Secured Debt,8.00 Cash (10.00 PIK Toggle),03/29/19,15000,15000,15000,
111,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00 PIK (8.00 Cash Toggle),03/29/21,30510,30510,30510,
112,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity/Interests - Common Stock,N/A,N/A,"5,000,000 Shares",30078,20303,(13)
113,"Pelican Energy, LLC (4)",Common Equity/Interests - Membership Interests,N/A,N/A,"1,444 Shares",24441,12946,(13)(17)(29)
114,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche A Note,14.00 (8.00 Cash plus 6.00 PIK),12/31/19,43436,43436,44739,
115,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche B Note,14.00 PIK,12/31/19,73231,44380,40816,(13)(14)
116,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00,12/31/19,19200,19200,19776,
117,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,12/31/19,2800,0,0,(21)(23)
118,"SHD Oil & Gas, LLC (5)",Common Equity/Interests - Series A Units,N/A,N/A,"7,600,000 Shares",1411,0,(13)(29)
119,Food & Grocery,,,,,,,
120,Bumble Bee Foods,,,,,,,
121,"Bumble Bee Holdings, Inc.",First Lien Secured Debt,"9.87 (3M L+800, 1.00 Floor)",08/15/23,15507,15221,15197,
122,Connors Bros Clover Leaf Seafoods Company,First Lien Secured Debt,"9.87 (3M L+800, 1.00 Floor)",08/15/23,4393,4312,4305,
123,"Grocery Outlet, Inc.",Second Lien Secured Debt,"10.55 (3M L+825, 1.00 Floor)",10/21/22,25000,24784,25250,(10)
124,Healthcare & Pharmaceuticals,,,,,,,
125,Altasciences,,,,,,,
126,9360-1367 Quebec Inc.,First Lien Secured Debt,"7.93 (3M L+625, 1.00 Floor)",06/09/23,2418,1766,1833,(9)(17)
127,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.56 (3M L+625, 1.00 Floor)",06/09/23,2899,2842,2834,(9)(17)
128,"Altasciences US Acquisition, Inc.",First Lien Secured Debt,"8.56 (3M L+625, 1.00 Floor)",06/09/23,5235,5133,5117,(9)
129,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/09/23,2851,(31,(64,(8)(9)(21)(23)(28)
130,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Revolver,"8.56 (3M L+625, 1.00 Floor)",06/09/23,71,71,70,(9)(23)(28)
131,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Revolver,"8.56 (3M L+625, 1.00 Floor)",06/09/23,214,214,209,(9)(23)(28)
132,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,06/09/23,1140,(28,(27,(8)(9)(21)(23)(28)
133,Aptevo Therapeutics Inc.,First Lien Secured Debt,"9.48 (1M L+760, 0.50 Floor)",02/01/21,8571,8708,8531,(9)
134,"Argon Medical Devices Holdings, Inc.",Second Lien Secured Debt,"10.30 (3M L+800, 1.00 Floor)",01/23/26,21600,21494,21870,(10)
135,"Avalign Technologies, Inc.",Second Lien Secured Debt,"10.38 (6M L+825, 1.00 Floor)",09/02/24,5500,5449,5483,(10)
136,"BioClinica Holding I, LP",Second Lien Secured Debt,"9.99 (3M L+825, 1.00 Floor)",10/21/24,24612,24201,23874,(10)
137,"Genesis Healthcare, Inc.",First Lien Secured Debt,"8.31 (3M L+600, 0.50 Floor)",03/06/23,25000,24630,24630,(9)
138,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,2.00 Unfunded,03/06/23,9130,(180,(135,(8)(9)(21)(23)
139,"Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"8.03 (3M L+600, 0.50 Floor)",03/06/23,23835,23835,23483,(9)(23)
140,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/06/23,37035,(877,(547,(8)(9)(21)(23)
141,"Elements Behavioral Health, Inc.",Second Lien Secured Debt,"15.06 (3M L+1275, 1.00 Floor)",02/11/20,12353,11911,0,(13)(14)
142,"Invuity, Inc.",First Lien Secured Debt,"8.38 (1M L+650, 1.50 Floor)",03/01/22,10000,9855,9750,(9)
143,"Invuity, Inc.",First Lien Secured Debt - Revolver,"5.13 (1M L+325, 1.50 Floor)",03/01/22,657,657,649,(9)(23)
144,"Invuity, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/01/22,1343,(8,(17,(8)(9)(21)(23)
145,"Invuity, Inc.",Common Equity/Interests - Warrants,N/A,N/A,"32,803 Warrants",180,69,(9)(13)
146,"Lanai Holdings III, Inc.",Second Lien Secured Debt,"10.29 (2M L+850, 1.00 Floor)",08/28/23,17391,16991,16696,(10)
147,"LSCS Holdings, Inc",Second Lien Secured Debt,10.31 (3M L+825),03/16/26,20455,19995,20352,
148,"LSCS Holdings, Inc",Second Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,03/16/26,4545,(102,(23,(8)(21)(23)
149,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"8.25 (3M L+600, 1.00 Floor)",11/22/23,21577,21070,21373,(9)
150,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Revolver,9.75 (P+500),11/22/22,195,195,193,(9)(23)
151,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/22/22,1363,(19,(12,(8)(9)(21)(23)
152,"Oxford Immunotec, Inc.",First Lien Secured Debt,"9.48 (1M L+760, 0.50 Floor)",10/01/21,9750,9886,9916,(9)(17)
153,"Oxford Immunotec, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/01/21,1000,(4,0,(9)(17)(21)(23)
154,"Partner Therapeutics, Inc",First Lien Secured Debt,"8.53 (1M L+665, 1.00 Floor)",01/01/23,10000,9821,9846,(9)
155,"Partner Therapeutics, Inc",Preferred Equity - Preferred Stock,N/A,N/A,"55,556 Shares",333,333,(9)
156,"Partner Therapeutics, Inc",Common Equity/Interests - Warrants,N/A,N/A,"33,333 Warrants",135,104,(9)(13)
157,"PTC Therapeutics, Inc",First Lien Secured Debt,"8.03 (1M L+615, 1.00 Floor)",05/01/21,12667,12618,12743,(9)(17)
158,"PTC Therapeutics, Inc",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/01/21,6333,(24,0,(9)(17)(21)(23)
159,"RiteDose Holdings I, Inc.",First Lien Secured Debt,"8.81 (3M L+650, 1.00 Floor)",09/13/23,14963,14520,14681,(9)
160,"RiteDose Holdings I, Inc.",First Lien Secured Debt - Revolver,"8.81 (3M L+650, 1.00 Floor)",09/13/22,1067,1067,1048,(9)(23)
161,"RiteDose Holdings I, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/22,933,(58,(17,(8)(9)(21)(23)
162,"Teladoc, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/14/20,1289,(52,(1,(8)(17)(21)(23)
163,"Teladoc, Inc.",First Lien Secured Debt - Letter of Credit,7.25,01/12/19,378,0,0,(8)(17)(23)
164,"Wright Medical Group, Inc.",First Lien Secured Debt - Revolver,"6.13 (1M L+425, 0.75 Floor)",12/23/21,18333,18333,18333,(9)(17)(23)
165,"Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/23/21,31667,(373,0,(9)(17)(21)(23)
166,High Tech Industries,,,,,,,
167,ChyronHego Corporation,First Lien Secured Debt,"7.43 (3M L+643, 1.00 Floor)",03/09/20,35277,34967,33866,(18)
168,"DigiCert Holdings, Inc.",Second Lien Secured Debt,"9.77 (3M L+800, 1.00 Floor)",10/31/25,20196,20100,20405,(10)
169,LabVantage Solutions,,,,,,,
170,LabVantage Solutions Inc.,First Lien Secured Debt,"9.38 (1M L+750, 1.00 Floor)",12/29/20,13688,13441,13551,
171,LabVantage Solutions Limited,First Lien Secured Debt,"8.50 (1M E+750, 1.00 Floor)",12/29/20,12539,13246,15267,(17)
172,LabVantage Solutions Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/20,3435,(63,(42,(8)(17)(21)(23)
173,"Omnitracs, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/23/23,3750,(336,(338,(8)(21)(23)
174,"Smokey Merger Sub, Inc.",Second Lien Secured Debt,"10.44 (3M L+850, 1.00 Floor)",05/24/24,30000,29208,29250,(9)
175,Telestream Holdings Corporation,First Lien Secured Debt,"7.61 (6M L+645, 1.00 Floor)",03/24/22,36748,36446,36014,(18)
176,Tibco Software Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/05/19,6000,(20,(840,(8)(21)(23)
177,"ZPower, LLC",First Lien Secured Debt,"9.63 (1M L+775, 1.00 Floor)",07/01/22,6667,6607,6593,(9)
178,"ZPower, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,07/01/22,1667,71,(18,(8)(9)(21)(23)
179,"ZPower, LLC",Common Equity/Interests - Warrants,N/A,N/A,"29,630 Warrants",48,78,(9)(13)
180,"Hotel, Gaming, Leisure, Restaurants",,,,,,,
181,GFRC Holdings LLC,First Lien Secured Debt,"9.77 (3M L+800 Cash (L+800 PIK Toggle), 1.50 Floor))",02/01/22,2500,2500,2500,
182,Insurance,,,,,,,
183,"Alliant Holdings Intermediate, LLC",First Lien Secured Debt - Revolver,7.25 (P+250),08/14/20,3375,3375,3278,(23)
184,"Alliant Holdings Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/14/20,11438,(810,(327,(8)(21)(23)
185,"Alliant Holdings Intermediate, LLC",First Lien Secured Debt - Letter of Credit,3.375,04/23/18,37,0,(1,(8)(23)
186,"Alliant Holdings Intermediate, LLC",First Lien Secured Debt - Letter of Credit,3.375,05/04/18,8,0,0,(8)(23)
187,"Alliant Holdings Intermediate, LLC",First Lien Secured Debt - Letter of Credit,3.375,07/30/18,97,0,(2,(8)(23)
188,"Alliant Holdings Intermediate, LLC",First Lien Secured Debt - Letter of Credit,3.375,11/30/18,37,0,(1,(8)(23)
189,"Alliant Holdings Intermediate, LLC",First Lien Secured Debt - Letter of Credit,3.375,05/31/19,8,0,0,(8)(23)
190,Confie Seguros Holding II Co.,Second Lien Secured Debt,"11.48 (3M L+950, 1.25 Floor)",05/08/19,21844,21807,21216,(10)
191,"Manufacturing, Capital Equipment",,,,,,,
192,MedPlast Holdings Inc.,Second Lien Secured Debt,"10.43 (2M L+875, 1.00 Floor)",06/06/23,8000,7832,7740,
193,"Power Products, LLC",Second Lien Secured Debt,"10.74 (3M L+900, 1.00 Floor)",12/20/23,32500,31568,32226,(9)
194,Media – Diversified & Production,,,,,,,
195,SESAC Holdco II LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/23/22,587,(41,(44,(8)(21)(23)
196,SESAC Holdco II LLC,Second Lien Secured Debt,"9.13 (1M L+725, 1.00 Floor)",02/24/25,3241,3213,3233,(10)
197,Metals & Mining,,,,,,,
198,"Magnetation, LLC",First Lien Secured Debt,10.31 (3M L+800 Cash (PIK Toggle)),12/31/19,1352,1273,451,(13)(14)
199,Telecommunications,,,,,,,
200,"Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"10.13 (1M L+825, 1.00 Floor)",11/01/25,12878,12755,13051,(10)
201,UniTek Global Services Inc.,First Lien Secured Debt,"10.81 (3M L+850, 1.00 Floor)",01/13/19,32367,32367,33014,
202,UniTek Global Services Inc.,First Lien Secured Debt,"10.81 (3M L+750 Cash plus 1.00 PIK, 1.00 Floor)",01/13/19,1951,1951,1951,
203,UniTek Global Services Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/13/19,5000,0,0,(21)(23)
204,UniTek Global Services Inc.,First Lien Secured Debt - Letter of Credit,7.50,01/13/19,5857,0,0,(23)
205,UniTek Global Services Inc.,Unsecured Debt,15.00 PIK,07/13/19,9918,9918,10117,
206,"Wave Holdco Merger Sub, Inc.",Second Lien Secured Debt,"11.13 (1M L+925, 1.00 Floor)",05/27/23,10000,9810,9890,
207,"Transportation – Cargo, Distribution",,,,,,,
208,American Tire,,,,,,,
209,Accelerate Parent Corp.,Common Equity/Interests - Common Stock,N/A,N/A,"1,664,046 Shares",1715,2310,(13)
210,"American Tire Distributors, Inc.",Unsecured Debt,10.25,03/01/22,12741,12798,13049,(10)(11)
211,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt,9.30 (3M L+700),06/30/23,42000,41790,42000,(17)
212,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25,09/20/18,2250,0,0,(17)(23)
213,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25,01/31/21,500,0,0,(17)(23)
214,"Dynamic Product Tankers, LLC (5)",Common Equity/Interests - Class A Units,N/A,N/A,N/A,48106,41479,(17)(24)
215,MSEA Tankers LLC (5),Common Equity/Interests - Class A Units,N/A,N/A,N/A,74450,72256,(17)(25)
216,"PT Intermediate Holdings III, LLC",Second Lien Secured Debt,"10.30 (3M L+800, 1.00 Floor)",12/08/25,9375,9284,9516,
217,Utilities – Electric,,,,,,,
218,Asset Repackaging Trust Six B.V.,Structured Products and Other,12.81,05/18/27,58411,26030,28860,(11)(17)(19)
