,Investment,Industry,Interest_Rate,Maturity_Date,Par,Cost,Fair_Value
26,"Novadaq Technologies Inc., Unfunded Delayed Draw (8)(9)(16)(17)(21)(23)",Healthcare & Pharmaceuticals,0.00 Unfunded,1/1/22,6666,(32,(18
27,"Oxford Immunotec, Inc. (9)(16)(17)",Healthcare & Pharmaceuticals,8.38 (1M L+760),10/1/21,9750,9752,9756
28,"PSI Services, LLC (9)(16)",Business Services,"6.00 (1M L+500, 1.00 Floor)",1/20/23,7698,7511,7508
29,"Saba Software, Inc. (18)",High Tech Industries,"9.00 (1M L+800, 1.00 Floor)",3/30/21,9825,9825,9825
30,"SCM Insurance Services, Inc. (17)",Business Services,9.250,8/22/19,39480,33387,25527
31,Telestream Holdings Corporation (18),High Tech Industries,"7.61 (3M L+645, 1.00 Floor)",1/15/20,37119,36745,36376
32,UniTek Global Services Inc. (16),Telecommunications,"9.65 (3M L+750 Cash plus 1.00 PIK, 1.00 Floor)",1/13/19,32367,32366,33013
33,UniTek Global Services Inc. (16),Telecommunications,11.50 (P+750),1/13/19,10000,10000,10000
34,UniTek Global Services Inc. (16),Telecommunications,"9.65 (3M L+750 Cash plus 1.00 PIK, 1.00 Floor)",1/13/19,1709,1709,1709
35,Westinghouse Electric Co LLC (9)(16),Energy – Electricity,"7.25 (1M L+625, 1.00 Floor)",3/31/18,17500,17064,17064
36,Westinghouse Electric Co LLC (9)(21),Energy – Electricity,0.50 Unfunded,3/31/18,22500,0,0
39,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,4/24/17,37,0,(2
40,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,5/4/17,8,0,0
41,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,6/30/17,17,0,(1
42,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,7/29/17,80,0,(4
43,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,10/3/17,8,0,0
44,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,11/30/17,38,0,(2
45,"Alliant Holdings Intermediate, LLC, Unfunded Revolver (8)(16)(21)(23)",Insurance,0.50 Unfunded,8/14/20,14812,"(1,152",(697
46,"American Media, Inc., Letter of Credit (16)(23)","Advertising, Printing & Publishing",7.500,8/24/20,154,0,0
47,"American Media, Inc., Revolver (16)(23)","Advertising, Printing & Publishing","8.56 (3M L+750, 1.00 Floor)",8/24/20,770,770,770
48,"American Media, Inc., Unfunded Revolver (16)(21)(23)","Advertising, Printing & Publishing",0.50 Unfunded,8/24/20,854,(45,0
49,"Avantor Performance Materials Holdings, LLC, Letter of Credit (16)(23)","Chemicals, Plastics & Rubber",4.00,3/10/18,72,1,0
50,"Avantor Performance Materials Holdings, LLC, Unfunded Revolver (8)(16)(21)(23)","Chemicals, Plastics & Rubber",0.50 Unfunded,3/10/22,4928,(617,(13
51,"Endologix, Inc., Unfunded Revolver (8)(9)(17)(21)(23)",Healthcare & Pharmaceuticals,0.50 Unfunded,7/29/20,5000,(21,(25
52,"Invuity, Inc., Unfunded Revolver (8)(9)(16)(21)(23)",Healthcare & Pharmaceuticals,0.50 Unfunded,3/1/22,2000,(9,(10
53,"LabVantage Solutions Limited, Unfunded Revolver (8)(16)(17)(21)(23)",High Tech Industries,0.50 Unfunded,12/29/20,3435,(90,(37
54,"My Alarm Center, LLC, Revolver (16)(23)",Business Services,11.00 (P+700),1/9/19,5083,5083,5083
55,"My Alarm Center, LLC, Unfunded Revolver (16)(21)(23)",Business Services,0.35 Unfunded,1/9/19,1167,0,0
56,"Novadaq Technologies Inc., Unfunded Revolver (8)(9)(16)(17)(21)(23)",Healthcare & Pharmaceuticals,0.50 Unfunded,1/1/22,3000,(14,(14
57,"Oxford Immunotec, Inc., Unfunded Revolver (8)(9)(16)(17)(21)(23)",Healthcare & Pharmaceuticals,0.50 Unfunded,10/1/21,1000,(5,(5
58,"PSI Services, LLC, Revolver (9)(16)(23)",Business Services,"6.00 (3M L+500, 1.00 Floor)",1/20/22,198,198,194
59,"PSI Services, LLC, Unfunded Revolver (9)(16)(21)(23)",Business Services,0.50 Unfunded,1/20/22,47,0,0
60,"PSI Services, LLC, Unfunded Revolver (9)(8)(16)(21)(23)",Business Services,0.50 Unfunded,1/20/22,198,(10,(5
61,"SESAC Holdco II LLC, Unfunded Revolver (8)(16)(21)(23)",Media – Diversified & Production,0.50 Unfunded,2/23/22,587,(52,(44
62,"Tibco Software Inc., Unfunded Revolver (8)(21)(23)",High Tech Industries,0.50 Unfunded,12/5/19,6000,(32,(839
63,"TricorBraun Holdings, Inc., Revolver (16)(23)","Containers, Packaging & Glass",6.25 (P+225),11/30/21,960,960,960
64,"TricorBraun Holdings, Inc., Unfunded Revolver (16)(21)(23)","Containers, Packaging & Glass",0.50 Unfunded,11/30/21,4665,(472,0
65,"UniTek Global Services Inc., Letter of Credit (16)(23)",Telecommunications,7.50,1/13/19,7762,0,0
66,"UniTek Global Services Inc., Unfunded Revolver (16)(21)(23)",Telecommunications,0.50 Unfunded,1/13/19,5000,0,0
67,"Wright Medical Group, Inc., Revolver (9)(16)(17)(23)",Healthcare & Pharmaceuticals,"5.03 (1M L+425, 0.75 Floor)",12/23/21,10000,10000,9900
68,"Wright Medical Group, Inc., Unfunded Revolver (8)(9)(16)(17)(21)(23)",Healthcare & Pharmaceuticals,0.50 Unfunded,12/23/21,40000,(302,(400
72,"Access CIG, LLC (16)",Business Services,"9.78 (3M L+875, 1.00 Floor)",10/17/22,50970,49054,51313
73,"Active Network, LLC",Business Services,"10.50 (1M L+950, 1.00 Floor)",11/15/21,17875,17712,17819
74,A-L Parent LLC,"Advertising, Printing & Publishing","8.25 (1M L+725, 1.00 Floor)",12/2/24,10048,9951,10023
75,"Appriss Holdings, Inc.",Business Services,"10.40 (3M L+925, 1.00 Floor)",5/21/21,23309,23057,23309
76,"Aptean, Inc.",Business Services,"10.50 (1M L+950, 1.00 Floor)",12/20/23,9548,9409,9571
77,Armor Holding II LLC,"Diversified Investment Vehicles, Banking, Finance, Real Estate","10.25 (3M L+900, 1.25 Floor)",12/26/20,8000,7906,8000
78,Asurion Corporation,Insurance,"8.50 (1M L+750, 1.00 Floor)",3/3/21,39590,39404,40167
79,"Avantor Performance Materials Holdings, LLC (16)","Chemicals, Plastics & Rubber","9.25 (1M L+825, 1.00 Floor)",3/10/25,737,730,742
80,"Avantor Performance Materials Holdings, LLC, Unfunded Delayed Draw (16)(21)(23)","Chemicals, Plastics & Rubber",0.00 Unfunded,3/10/25,892,(9,0
81,"BioClinica Holding I, LP",Healthcare & Pharmaceuticals,"9.25 (1M L+825, 1.00 Floor)",10/21/24,24612,24144,24474
82,Confie Seguros Holding II Co.,Insurance,"10.25 (1M L+900, 1.25 Floor)",5/8/19,22344,22276,22260
83,Electro Rent Corporation (9),Business Services,"10.00 (1M L+900, 1.00 Floor)",1/31/25,18333,17795,17967
84,"Elements Behavioral Health, Inc.",Healthcare & Pharmaceuticals,"13.04 (3M L+1200 PIK, 1.00 Floor)",2/11/20,11192,11141,9289
85,"GCA Services Group, Inc.",Business Services,"10.05 (3M L+900, 1.00 Floor)",3/1/24,16250,16022,16189
86,"Grocery Outlet, Inc.",Food & Grocery,"9.40 (3M L+825, 1.00 Floor)",10/21/22,25000,24713,25094
87,"Hare Bidco, Inc.","Chemicals, Plastics & Rubber","9.75 (3M L+875, 1.00 Floor)",8/1/24,13574,14381,14228
88,"Institutional Shareholder Services, Inc.",Business Services,"9.61 (3M L+850, 1.00 Floor)",4/30/22,8232,8162,8314
89,"K&N Parent, Inc.",Automotive,"9.75 (3M L+875, 1.00 Floor)",10/21/24,30000,29425,29849
90,"Lanai Holdings III, Inc.",Healthcare & Pharmaceuticals,"9.50 (1M L+850, 1.00 Floor)",8/28/23,17391,16907,17217
91,MedPlast Holdings Inc.,"Manufacturing, Capital Equipment","9.78 (3M L+875, 1.00 Floor)",6/6/23,8000,7800,7800
92,"Ministry Brands, LLC (16)(23)",Business Services,"10.25 (1M L+925, 1.00 Floor)",6/2/23,10000,9856,9851
93,MSC Software Corp. (17),High Tech Industries,"8.50 (1M L+750, 1.00 Floor)",5/31/21,13448,13359,13464
94,"MW Industries, Inc.","Manufacturing, Capital Equipment","10.40 (3M L+925, 1.00 Floor)",12/28/20,20000,19569,20100
95,PAE Holding Corporation,Aerospace & Defense,"10.50 (1M L+950, 1.00 Floor)",10/20/23,22026,21297,22246
96,"PetVet Care Centers, LLC",Healthcare & Pharmaceuticals,"9.65 (3M L+850, 1.00 Floor)",6/17/21,13500,13120,13298
97,"Poseidon Merger Sub, Inc.",Business Services,"9.56 (3M L+850, 1.00 Floor)",8/15/23,18000,17568,18000
98,"Power Products, LLC (9)","Manufacturing, Capital Equipment","10.34 (3M L+900, 1.00 Floor)",12/20/23,37500,36239,36847
99,"PSI Services, LLC (9)(16)",Business Services,"10.00 (1M L+900, 1.00 Floor)",1/20/24,25714,24964,24950
100,"Sequential Brands Group, Inc. (17)",Consumer Goods – Durable,9.83 (1M L+900),7/1/22,17512,17319,17252
101,SESAC Holdco II LLC (16),Media – Diversified & Production,"8.25 (3M L+725, 1.00 Floor)",2/24/25,3241,3209,3254
102,"SiTV, Inc. (11)",Broadcasting & Subscription,10.38,7/1/19,2219,2219,1340
103,SMG,"Hotel, Gaming, Leisure, Restaurants","9.40 (3M L+825, 1.00 Floor)",2/27/21,19649,19649,19625
104,"Sprint Industrial Holdings, LLC","Containers, Packaging & Glass",13.50 PIK,11/14/19,16707,16213,9297
105,"Sterling Holdings Ultimate Parent, Inc.",Business Services,"9.40 (3M L+825, 1.00 Floor)",6/19/23,20000,19824,19800
106,"STG-Fairway Acquisitions, Inc.",Business Services,"10.30 (3M L+925, 1.00 Floor)",6/30/23,15000,14685,14663
107,"TMK Hawk Parent, Corp.","Transportation – Cargo, Distribution","8.50 (1M L+750, 1.00 Floor)",10/1/22,34000,33745,33830
108,"Velocity Technology Solutions, Inc.",Business Services,"9.50 (3M L+825, 1.25 Floor)",9/28/20,16500,16298,16335
109,"Wave Holdco Merger Sub, Inc.",Telecommunications,"10.25 (1M L+925, 1.00 Floor)",5/27/23,10000,9768,9874
113,"American Tire Distributors, Inc. (11)","Transportation – Cargo, Distribution",10.25,3/1/22,14741,14808,15119
114,"Sorenson Holdings, LLC (11)",Consumer Goods – Durable,13.85 Cash (13.85 PIK Toggle),10/31/21,52,35,47
115,"U.S. Security Associates Holdings, Inc.",Business Services,11.00,7/28/18,135000,135000,135000
116,UniTek Global Services Inc. (16),Telecommunications,15.00 PIK,7/13/19,8547,8547,8717
120,Asset Repackaging Trust Six B.V. (11)(17)(19),Utilities – Electric,13.11,5/18/27,58411,25637,29615
121,"Craft 2013-1, Credit-Linked Note (11)(16)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",10.31 (3M L+925),4/17/22,25000,25013,25000
122,"Craft 2013-1, Credit-Linked Note (16)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",9.98 (3M L+925),4/17/22,7625,7694,7625
123,"Craft 2014-1A, Credit-Linked Note (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",10.89 (3M L+965),5/15/21,42500,42376,41820
124,"Craft 2015-2, Credit-Linked Note (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",10.31 (3M L+925),1/16/24,26000,25827,25389
128,"Delta Career Education Corporation, Super Senior Preferred Stock A (13)",Education,N/A,N/A,7812,7049,0
129,"Delta Career Education Corporation, Super Senior Preferred Stock B (13)",Education,N/A,N/A,10585,8788,0
130,"Delta Career Education Corporation, Super Senior Preferred Stock C (13)",Education,N/A,N/A,23769,20665,0
131,"Gryphon Colleges Corp., Preferred Stock (13)(14)",Education,12.50 PIK,N/A,332500,6863,0
132,"Gryphon Colleges Corp., Preferred Stock (13)(14)",Education,13.50 PIK,N/A,12360,27685,0
133,"Sungevity Inc., Series D Preferred Stock (13)",Energy – Electricity,N/A,N/A,114678899,4409,0
136,"Accelerate Parent Corp., Common Stock (13)","Transportation – Cargo, Distribution",N/A,N/A,1664046,1714,1730
137,"Clothesline Holdings, Inc., Common Stock (13)",Healthcare & Pharmaceuticals,N/A,N/A,6000,6000,0
138,"GFRC Holdings LLC (f/k/a Garden Fresh Restaurant Group. Inc.), Membership Interests (13)","Hotel, Gaming, Leisure, Restaurants",N/A,N/A,2500000,0,0
139,"Gryphon Colleges Corp., Common Stock (13)",Education,N/A,N/A,17500,175,0
140,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",Business Services,N/A,N/A,4500000,4500,4500
141,"Sorenson Holdings, LLC, Membership Interests (13)",Consumer Goods – Durable,N/A,N/A,587,0,231
144,"Gryphon Colleges Corp., Class A-1 Preferred Stock Warrants (13)",Education,N/A,N/A,45947,460,0
145,"Gryphon Colleges Corp., Class B-1 Preferred Stock Warrants (13)",Education,N/A,N/A,104314,1043,0
146,"Gryphon Colleges Corp., Common Stock Warrants (13)",Education,N/A,N/A,9820,98,0
147,"Invuity, Inc., Warrants (9)",Healthcare & Pharmaceuticals,N/A,N/A,16873,80,94
151,"AMP Solar Group, Inc., Class A Common Unit (13)(17)",Energy – Electricity,N/A,N/A,243646,10000,4687
152,"LVI Group Investments, LLC, Common Units (3)(13)",Environmental Industries,N/A,N/A,212460,17505,0
153,"Pelican Energy, LLC, Membership Interests (13)(17)",Energy – Oil & Gas,N/A,N/A,1228,1099,0
154,"Renew JV LLC, Membership Interests (13)(17)",Energy – Electricity,N/A,N/A,1959906,1960,4701
155,"Solarplicity Group Limited, Common Shares (2)(3)(13)(17)(26)",Energy – Electricity,N/A,N/A,2825,2472,0
156,"Solarplicity UK Holdings Limited, Ordinary Shares (2)(13)(17)",Energy – Electricity,N/A,N/A,2825,3,4952
157,"Venoco, Inc., LLC Units (13)",Energy – Oil & Gas,N/A,N/A,192177,40517,0
160,"Venoco, Inc., Series A Warrants (13)",Energy – Oil & Gas,N/A,N/A,23125,48170,0
165,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (16)",Energy – Oil & Gas,10.00 PIK Toggle (8.00 Cash),3/29/21,27617,27617,27617
171,"Dynamic Product Tankers, LLC, Class A Units (17)(24)","Transportation – Cargo, Distribution",N/A,N/A,N/A,48106,42644
172,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.), Common Stock (13)",Energy – Oil & Gas,N/A,N/A,5000,30078,18862
173,"Merx Aviation Finance, LLC, Membership Interests",Aviation and Consumer Transport,N/A,N/A,N/A,19204,48811
174,"MSEA Tankers LLC, Class A Units (17)(25)","Transportation – Cargo, Distribution",N/A,N/A,N/A,74450,72797
175,"SHD Oil & Gas, LLC (f/k/a Spotted Hawk Development LLC), Series A Units (13)",Energy – Oil & Gas,N/A,N/A,7600,1412,0
