,Industry / Company,Interest Rate (20),Maturity Date,Par/Shares (12),Fair Value (1)(27),
38,"Eagle Foods Family Group, LLC","8.43 (6M L+650, 1.00 Floor)",06/14/24,24562.0,23826,
39,"Florida Food Products, Inc.",,,,,
40,"Florida Food Products, Inc.","8.55 (1M L+675, 1.00 Floor)",09/08/25,22997,22767,
41,"Florida Food Products, LLC","8.55 (1M L+675, 1.00 Floor)",09/06/23,1473,1458,
42,"Orgain, Inc.",,,,,
43,"Butterfly Fighter Co-Invest, L.P.","1,000,000 Shares",1000,1000,,
44,TNT Crust LLC,,,,,
45,TNT Crust LLC,"7.05 (1M L+525, 1.00 Floor)",11/06/23,19366,18978,
46,Turkey Hill,,,,,
47,IC Holdings LLC,169 Shares,169,154,,
48,THLP CO. LLC,"7.30 (1M L+550, 1.00 Floor)",05/30/25,19562,19366,
49,"Total Beverage, Food & Tobacco",91478,91461.0,,,
50,Business Services,,,,,
51,Access Information,,,,,
52,"Access CIG, LLC",9.44 (1M L+775),02/27/26,15900.0,15860,
53,Aero Operating LLC,,,,,
54,Aero Operating LLC,"8.94 (1M L+725, 1.00 Floor)",12/29/22,36329,35966,
55,Ambrosia Buyer Corp.,,,,,
56,Ambrosia Buyer Corp.,"9.80 (1M L+800, 1.00 Floor)",08/28/25,21429,20670,
57,Claritas,,,,,
58,"Claritas, LLC","7.94 (3M L+600, 1.00 Floor)",12/21/23,3870,3831,
59,Continuum,,,,,
60,"Continuum Global Solutions, LLC","7.19 (1M L+550, 1.00 Floor)",02/15/22,8726,8552,
61,"CT Technologies Intermediate Holdings, Inc",,,,,
62,"CT Technologies Intermediate Holdings, Inc","10.80 (1M L+900, 1.00 Floor)",12/01/22,31253,28128,
63,Education Personnel,,,,,
64,Education Personnel,"5.54 (3M GBPL+475, 0.50 Floor)",08/31/24,£,5184,(9)(17)
65,Electro Rent Corporation,,,,,
66,Electro Rent Corporation,"10.92 (3M L+900, 1.00 Floor)",01/31/25,34235,33551,
67,Elo Touch,,,,,
68,TGG TS Acquisition Company,0.50 Unfunded,12/14/23,1750,(44,
69,Ensemble Health,,,,,
70,"EHL Merger Sub, LLC",0.25 Unfunded,10/01/24,4155,(374,
71,Jacent,,,,,
72,Jacent Strategic Merchandising,"7.67 (3M L+575, 1.00 Floor)",04/23/24,22636,22229,
73,Jones & Frank,,,,,
74,"JF Acquisition, LLC","7.43 (3M L+550, 1.00 Floor)",07/31/24,8139,7981,
75,MAKS,,,,,
76,Trident Bidco Limited,"8.05 (1M L+625, 1.00 Floor)",11/08/25,35000,33976,
77,McLarens,,,,,
78,Margaux Acquisition Inc.,"7.60 (3M L+550, 1.00 Floor)",12/19/24,17482,17281,
79,Margaux UK Finance Limited,"6.50 (3M GBPL+550, 1.00 Floor)",12/19/24,£,7345,(9)(17)
80,"Ministry Brands, LLC",,,,,
81,"Ministry Brands, LLC","11.08 (2M L+925, 1.00 Floor)",06/02/23,10000,9943,
82,"Newscycle Solutions, Inc.",,,,,
83,"Newscycle Solutions, Inc.","8.80 (1M L+700, 1.00 Floor)",12/29/22,14843,14695,
84,"PSI Services, LLC",,,,,
85,"Lifelong Learner Holdings, LLC","7.49 (1M L+575, 1.00 Floor)",10/19/26,28657,28098,
86,"RA Outdoors, LLC (Active Outdoors)",,,,,
87,"RA Outdoors, LLC","6.55 (1M L+475, 1.00 Floor)",09/11/24,6627,6494,
88,Soliant,,,,,
89,"Soliant Holdings, LLC","7.30 (1M L+550, 1.00 Floor)",12/31/26,18064,17702,
90,"Soliant Health, Inc.",300 Shares,300,300,,
91,"STG-Fairway Acquisitions, Inc.",,,,,
92,"STG-Fairway Acquisitions, Inc.","11.05 (1M L+925, 1.00 Floor)",06/30/23,15000,14850,
93,"Transplace Holdings, Inc.",,,,,
94,"Transplace Holdings, Inc.","10.55 (1M L+875, 1.00 Floor)",10/06/25,8599,8169,
95,US Legal Support,,,,,
96,"US Legal Support Investment Holdings, LLC","631,972 Shares",632,692,,
97,"USLS Acquisition, Inc.","7.69 (3M L+575, 1.00 Floor)",12/02/24,24560,24135,
98,Vertafore,,,,,
99,"Vertafore, Inc.",0.50 Unfunded,06/30/23,14576,"(1,676",
100,Total Business Services,420345,417027.0,,,
101,"Chemicals, Plastics & Rubber",,,,,
102,Carbonfree Chemicals,,,,,
103,Carbonfree Caustic SPE LLC (4),5.00,12/31/24,13111.0,13111,
104,Carbonfree Chemicals Holdings LLC (4),"1,381 Shares",30011,14982,,
105,Carbonfree Chemicals SA LLC (4),175 Shares,14266,10163,,
106,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC) (4),5.22 PIK,12/31/24,16900,16900,
107,Niacet Corporation,,,,,
108,"Hare Bidco, Inc.",9.75 (1M E+875),08/01/24,€,14496,
109,"Westfall Technik, Inc.",,,,,
110,"Westfall Technik, Inc.","7.67 (3M L+575, 1.00 Floor)",09/13/24,673,666,
111,"Total Chemicals, Plastics & Rubber",106107,87661.0,,,
112,Construction & Building,,,,,
113,Englert,,,,,
114,"Gutter Buyer, Inc.","8.05 (1M L+625, 1.00 Floor)",03/06/25,26983.0,26451,
115,"Gutter Holdings, LP",500 Shares,500,663,,
116,Total Construction & Building,26923,27021.0,,,
117,Consumer Goods – Durable,,,,,
118,Dan Dee,,,,,
119,"Project Comfort Buyer, Inc.","9.19 (6M L+700, 1.00 Floor)",02/03/25,23324.0,22624,
120,"Hayward Industries, Inc.",,,,,
121,"Hayward Industries, Inc.",10.05 (1M L+825),08/04/25,21919,21531,
122,KDC,,,,,
123,KDC US Holdings,0.25 Unfunded,12/21/23,5912,(450,
124,"KLO Holdings, LLC",,,,,
125,9357-5991 Quebec Inc.,11.82 (3M L+775 Cash plus 2.00 PIK),04/07/22,9290,2523,
126,KLO Acquisition LLC,11.82 (3M L+775 Cash plus 2.00 PIK),04/07/22,5677,1542,
127,"Sorenson Holdings, LLC",,,,,
128,"Sorenson Holdings, LLC",587 Shares,0,470,,
129,Total Consumer Goods – Durable,59404,49154.0,,,
130,Consumer Goods – Non-durable,,,,,
131,3D Protein,,,,,
132,"Protein For Pets Opco, LLC","6.80 (1M L+500, 1.00 Floor)",11/28/25,12749.0,12494,
133,"Authentic Brands Group, LLC",,,,,
134,"ABG Intermediate Holdings 2, LLC","9.55 (1M L+775, 1.00 Floor)",09/29/25,7230,7238,
135,Beauty Industry Group (BIG),,,,,
136,"BIG Buyer, LLC","8.30 (1M L+650, 1.00 Floor)",11/20/23,22424,22200,
137,DMC,,,,,
138,Lion Cashmere Midco Limited,"7.83 (6M L+575, 1.00 Floor)",03/21/25,13053,12715,
139,"Sequential Brands Group, Inc.",,,,,
140,"Sequential Brands Group, Inc.",10.55 (1M L+875),02/07/24,12965,12841,
141,Total Consumer Goods – Non-durable,67538,67648.0,,,
142,Consumer Services,,,,,
143,1A Smart Start LLC,,,,,
144,1A Smart Start LLC,"10.05 (1M L+825, 1.00 Floor)",08/22/22,25100.0,24708,
145,Clarus Commerce,,,,,
146,"Marlin DTC-LS Midco 2, LLC","7.80 (1M L+600, 1.00 Floor)",07/01/25,9268,9164,
147,First Heritage,,,,,
148,"First Heritage Credit, LLC",6.44 (1M L+475),04/02/22,16500,16360,
149,Only About Children,,,,,
150,Nemo (BC) Bidco Pty Ltd,"6.75 (1M BBSW+575, 1.00 Floor)",04/06/24,A$,4919,(17)
151,Paper Source,,,,,
152,"Paper Source, Inc.","8.93 (3M L+700, 1.00 Floor)",05/22/24,11769,11416,
153,"Pinstripe Holdings, LLC",,,,,
154,"Pinstripe Holdings, LLC","7.80 (1M L+600, 1.00 Floor)",01/17/25,6948,6843,
155,The Club Company,,,,,
156,Eldrickco Limited,"6.29 (3M GBPL+550, 0.50 Floor)",11/21/25,8965,11527,
157,"Tidewater Consumer Receivables, LLC",,,,,
158,"Tidewater Consumer Receivables, LLC",7.44 (1M L+575),12/28/23,11333,11220,
159,US Auto,,,,,
160,"U.S. Auto Finance, Inc.",6.66 (3M L+475),04/17/22,20000,19836,
161,Total Consumer Services,141129,140683.0,,,
162,"Containers, Packaging & Glass",,,,,
163,"TricorBraun Holdings, Inc.",,,,,
164,"TricorBraun Holdings, Inc.",0.50 Unfunded,11/30/21,5625.0,0,
165,"Total Containers, Packaging & Glass",(194,0.0,,,
166,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,
167,Alera Group Holdings,,,,,
168,Alera Group Intermediate Holdings,6.30 (1M L+450),08/01/25,2972.0,2972,
169,Celink,,,,,
170,Compu-Link Corporation,0.50 Unfunded,06/11/24,2273,(51,
171,"Peer Advisors, LLC","7.30 (1M L+550, 1.00 Floor)",06/11/24,22159,21660,
172,"Exeter Property Group, LLC",,,,,
173,"Exeter Property Group, LLC",6.19 (1M L+450),08/28/24,4784,4743,
174,"Flock Financial, LLC",,,,,
175,"Flock SPV I, LLC",8.19 (1M L+650),08/30/22,13067,12933,
176,Golden Bear,,,,,
177,"Golden Bear 2016-R, LLC (4)",09/20/42,16729,11820,,
178,Mayfield Agency Borrower Inc.,,,,,
179,Mayfield Agency Borrower Inc.,10.30 (1M L+850),03/02/26,5000,5047,
180,"Purchasing Power, LLC",,,,,
181,"Purchasing Power Funding I, LLC",6.50 (1M L+650),01/24/22,3547,3548,
182,"Taupo River II, LLC",,,,,
183,"Taupo River II, LLC","7.35 (3M L+525, 1.00 Floor)",06/08/20,14000,13983,
184,"Ten-X, LLC",,,,,
185,"Ten-X, LLC",0.50 Unfunded,09/29/22,4680,(254,
186,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate",82405,77530.0,,,
187,Education,,,,,
188,NFA Group,,,,,
189,SSCP Spring Bidco Limited,"7.06 (6M L+625, 0.50 Floor)",07/30/25,£,33231,(9)(17)
190,Total Education,33200,35859.0,,,
191,Energy – Electricity,,,,,
192,"AMP Solar Group, Inc.",,,,,
193,"AMP Solar Group, Inc. (4)","243,646 Shares",10000,8138.0,,
194,Renew Financial LLC,,,,,
195,"AIC SPV Holdings II, LLC (4)","534,375 Shares",534,576,,
196,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)","1,505,868 Shares",8343,8936,,
197,Renew JV LLC (4),"962,270 Shares",962,1062,,
198,Solarplicity Group,,,,,
199,Solarplicity UK Holdings Limited,4.00,03/08/23,£,7637,(17)
200,Total Energy – Electricity,38909,31229.0,,,
201,Energy – Oil & Gas,,,,,
202,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,
203,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",8.00 Cash (10.00 PIK Toggle),03/29/20,1000.0,1000,
204,Pelican,,,,,
205,"Pelican Energy, LLC (4)","1,444 Shares",16822,3010,,
206,Spotted Hawk,,,,,
207,"SHD Oil & Gas, LLC (5)",12.00,07/31/20,24000,24720,
208,Total Energy – Oil & Gas,199466,117491.0,,,
209,Environmental Industries,,,,,
210,Ortega National Parks,,,,,
211,"Ortega National Parks, LLC","7.18 (3M L+525, 1.00 Floor)",10/31/25,11257.0,11038,
212,Total Environmental Industries,11206,11136.0,,,
213,Food & Grocery,,,,,
214,Bumble Bee Foods S.À R.L.,,,,,
215,"Bumble Bee Holdings, Inc.",15.75 (P+900 Cash plus 2.00 PIK),08/15/23,16405.0,15420,
216,Connors Bros Clover Leaf Seafoods Company,15.75 (P+900 Cash plus 2.00 PIK),08/15/23,4648,4369,
217,Total Food & Grocery,23196,22177.0,,,
218,Healthcare & Pharmaceuticals,,,,,
219,"Altasciences, Inc.",,,,,
220,9360-1367 Quebec Inc.,"8.49 (3M L+625, 1.00 Floor)",06/09/23,C$,1737,(9)(17)
221,"Altasciences US Acquistion, Inc.","8.16 (3M L+625, 1.00 Floor)",06/09/23,5097,4906,
222,American Veterinary Group,,,,,
223,AVG Intermediate Holdings LLC,"9.80 (1M L+800, 1.00 Floor)",02/08/24,10675,10386,
224,AmeriVet,,,,,
225,"Amerivet Partners Management, Inc.","8.55 (1M L+675, 1.00 Floor)",06/05/24,26292,25756,
226,Analogic,,,,,
227,Analogic Corporation,"7.80 (1M L+600, 1.00 Floor)",06/22/24,26701,26434,
228,Aptevo Therapeutics Inc.,,,,,
229,Aptevo Therapeutics Inc.,"9.29 (1M L+760, 0.50 Floor)",02/01/23,8571,8546,
230,"BioClinica Holding I, LP",,,,,
231,"BioClinica Holding I, LP","10.06 (1M L+825, 1.00 Floor)",10/21/24,24612,23012,
232,CARE Fertility,,,,,
233,Royton Bidco Limited,"6.54 (3M L+575, 0.50 Floor)",05/09/25,£,19769,(9)(17)
234,Cerus,,,,,
235,Cerus Corporation,"7.25 (1M L+545, 1.80 Floor)",03/01/24,12000,12097,
236,Dohmen Life Science Services,,,,,
237,"LSCS Holdings, Inc",10.31 (3M L+825),03/16/26,19818,19719,
238,Emmes Corporation,,,,,
239,"Emmes Blocker, Inc.",306 Shares,306,348,,
240,"The Emmes Company, LLC","7.19 (1M L+550, 1.00 Floor)",03/03/25,12153,11910,
241,"Genesis Healthcare, Inc.",,,,,
242,"Genesis Healthcare, Inc.","7.91 (1M L+600, 0.50 Floor)",03/06/23,25000,24792,
243,Gossamer,,,,,
244,"GB001, Inc.","8.15 (1M L+615, 2.00 Floor)",05/01/24,6000,6031,
245,Health & Safety Institute,,,,,
246,"HSI Halo Acquisition, Inc.","7.55 (1M L+575, 1.00 Floor)",08/31/26,23384,23150,
247,IMA Group,,,,,
248,"IMA Group Management Company, LLC","7.56 (3M L+550, 1.00 Floor)",05/30/24,4675,4582,
249,KureSmart,,,,,
250,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",133 Shares,133,133,,
251,"Kure Pain Holdings, Inc.","7.30 (1M L+550, 1.00 Floor)",08/27/24,22158,21825,
252,"Lanai Holdings III, Inc. (Patterson Medical)",,,,,
253,"Lanai Holdings III, Inc.","10.43 (3M L+850, 1.00 Floor)",08/28/23,17391,15217,
254,Mannkind Corporation,,,,,
255,Mannkind Corporation,"8.75 (1M L+675, 2.00 Floor)",08/01/24,13867,13797,
256,"Maxor National Pharmacy Services, LLC",,,,,
257,"Maxor National Pharmacy Services, LLC","7.44 (3M L+550, 1.00 Floor)",11/22/23,24540,24133,
258,Medical Guardian,,,,,
259,"Medical Guardian, LLC","10.30 (1M L+850, 1.00 Floor)",12/31/24,34286,33600,
260,Orchard,,,,,
261,Orchard Therapeutics plc,"7.69 (1M L+600, 1.00 Floor)",05/24/24,8333,8306,
262,Ovation Fertility,,,,,
263,"FPG Services, LLC","7.44 (3M L+550, 1.00 Floor)",06/13/25,12568,12341,
264,"Partner Therapeutics, Inc",,,,,
265,"Partner Therapeutics, Inc","8.34 (1M L+665, 1.00 Floor)",01/01/23,10000,9945,
266,PHS,,,,,
267,"PHS Buyer, Inc.","7.19 (3M L+525, 1.00 Floor)",01/31/25,12902,12644,
268,ProPharma,,,,,
269,"ProPharma Group Intermediate, LLC","7.55 (1M L+575, 0.50 Floor)",07/12/23,€,7210,
270,"PTC Therapeutics, Inc",,,,,
271,"PTC Therapeutics, Inc","7.84 (1M L+615, 1.00 Floor)",05/01/21,8972,9062,
272,RHA Health Services,,,,,
273,"Pace Health Companies, LLC","6.44 (3M L+450, 1.00 Floor)",08/02/24,499,489,
274,Rigel Pharmaceuticals,,,,,
275,"Rigel Pharmaceuticals, Inc.","7.34 (1M L+565, 1.50 Floor)",09/01/24,3000,2993,
276,"RiteDose Holdings I, Inc.",,,,,
277,"RiteDose Holdings I, Inc.","8.60 (3M L+650, 1.00 Floor)",09/13/23,14700,14393,
278,"Teladoc, Inc.",,,,,
279,"Teladoc, Inc.",0.50 Unfunded,07/14/20,1306,(52,
280,"Wright Medical Group, Inc.",,,,,
281,"Wright Medical Group, Inc.","9.54 (1M L+785, 1.00 Floor)",12/23/21,6667,6733,
282,Total Healthcare & Pharmaceuticals,482147,479457.0,,,
283,High Tech Industries,,,,,
284,Acronis AG,,,,,
285,Acronis AG,"7.59 (1M L+585, 1.50 Floor)",12/18/24,21000.0,20896,
286,American Megatrends,,,,,
287,AMI US Holdings Inc.,"7.19 (1M L+550, 1.00 Floor)",04/01/25,21927,21708,
288,"Calero Holdings, Inc.",,,,,
289,"Telesoft Holdings, LLC","7.69 (3M L+575, 1.00 Floor)",12/16/25,22727,22219,
290,ChargePoint,,,,,
291,"ChargePoint, Inc.","8.24 (1M L+655, 1.25 Floor)",06/01/23,10500,10478,
292,ChyronHego Corporation,,,,,
293,ChyronHego Corporation,7.43 (P+468),03/09/20,3725,3725,
294,Digital Reasoning,,,,,
295,"Digital Reasoning Systems, Inc.","8.25 (1M L+625, 2.00 Floor)",08/01/24,3750,3701,
296,FiscalNote,,,,,
297,"FiscalNote, Inc.","9.80 (1M L+800, 1.00 Floor)",08/21/23,28125,27352,
298,GoHealth,,,,,
299,"Norvax, LLC","8.41 (3M L+650, 1.00 Floor)",09/15/25,31739,30945,
300,"International Cruise & Excursion Gallery, Inc.",,,,,
301,"International Cruise & Excursion Gallery, Inc.","7.05 (1M L+525, 1.00 Floor)",06/06/25,14775,14701,
302,LabVantage Solutions,,,,,
303,LabVantage Solutions Inc.,"9.30 (1M L+750, 1.00 Floor)",12/29/20,10699,10699,
304,LabVantage Solutions Limited,"8.50 (1M E+750, 1.00 Floor)",12/29/20,€,11611,(17)
305,Magnitude Software,,,,,
306,New Amsterdam Software BidCo LLC,"6.80 (1M L+500, 1.00 Floor)",05/01/26,6882,6744,
307,MYCOM,,,,,
308,Magnate Holding Corp.,"7.94 (3M L+600, 1.00 Floor)",12/16/24,16628,16244,
309,"Omnitracs, LLC",,,,,
310,"Omnitracs, LLC",0.50 Unfunded,03/23/23,3750,(338,
311,Sirsi Corporation,,,,,
312,Sirsi Corporation,"6.49 (1M L+475, 1.00 Floor)",03/15/24,6939,6835,
313,Springbrook,,,,,
314,"Springbrook Holding Company, LLC","7.54 (3M L+575, 1.00 Floor)",12/23/26,439,435,
315,Telestream Holdings Corporation,,,,,
316,Telestream Holdings Corporation,"7.61 (2M L +645, 1.00 Floor)",03/24/22,38185,37421,
317,"ZPower, LLC",,,,,
318,"ZPower, LLC","8.00 (1M L+600, 2.00 Floor)",07/01/22,7149,7114,
319,Total High Tech Industries,307081,304253.0,,,
320,"Hotel, Gaming, Leisure, Restaurants",,,,,
321,Garden Fresh,,,,,
322,GFRC Holdings LLC,"9.91 (1M L+800 Cash (L+800 PIK Toggle), 1.50 Floor)",02/01/22,2500.0,2500,
323,"Total Hotel, Gaming, Leisure, Restaurants",2500,2500.0,,,
324,Insurance,,,,,
325,PGM Holdings Corporation,,,,,
326,"Turbo Buyer, Inc.","7.69 (1M L+600, 1.00 Floor)",12/02/25,11972.0,11677,
327,PIB Group,,,,,
328,Ivy Finco Limited,5.70 (1M L+500),06/07/25,£,15087,(9)(17)
329,Relation Insurance,,,,,
330,"AQ Sunshine, Inc.","7.42 (6M L+550, 1.00 Floor)",04/15/25,17051,16736.0,
331,Risk Strategies,,,,,
332,"RSC Acquisition , Inc.","7.40 (3M L+550, 1.00 Floor)",11/02/26,2012,1992,
333,Total Insurance,66983,67744.0,,,
334,"Manufacturing, Capital Equipment",,,,,
335,"AVAD, LLC",,,,,
336,AVAD Canada Ltd.,"5.69 (1M L+400, 1.00 Floor)",10/02/23,652.0,642,
337,"AVAD, LLC","9.44 (1M L+775, 1.00 Floor)",10/02/23,8889,8708,
338,Kauffman,,,,,
339,"Kauffman Holdco, LLC","250,000 Shares",250,262,,
340,"Kauffman Intermediate, LLC","7.69 (3M L+575, 1.00 Floor)",05/08/25,16883,16687,
341,MedPlast Holdings Inc.,,,,,
342,MedPlast Holdings Inc.,9.69 (3M L+775),07/02/26,8000,7565,
343,"Total Manufacturing, Capital Equipment",49805,49453.0,,,
344,Media – Diversified & Production,,,,,
345,New Wave Entertainment,,,,,
346,"NW Entertainment, Inc.","8.80 (1M L+700, 1.00 Floor)",08/16/24,23700.0,23226,
347,Nitro World Entertainment,,,,,
348,NWE OPCO LP,"8.50 (1M L+650, 2.00 Floor)",12/19/22,5000,4975,
349,SESAC Holdco II LLC,,,,,
350,SESAC Holdco II LLC,0.50 Unfunded,02/23/22,587,(6,
351,Sonar Entertainment,,,,,
352,"Sonar Entertainment, Inc.","9.29 (1M L+760, 1.25 Floor)",11/15/21,8360,8214,
353,Total Media – Diversified & Production,43204,42971.0,,,
354,Metals & Mining,,,,,
355,"Magnetation, LLC",,,,,
356,"Magnetation, LLC",9.91 (6M L+800 Cash (PIK Toggle)),03/31/20,1213.0,0,
357,Total Metals & Mining,581,0.0,,,
358,Retail,,,,,
359,IPS,,,,,
360,"SI Holdings, Inc.","7.94 (3M L+600, 1.00 Floor)",07/25/25,31721.0,31086,
361,Rapid Displays,,,,,
362,Rapid Displays Acquisition Corporation,"6.80 (1M L+500, 1.00 Floor)",07/01/25,508,498,
363,Total Retail,42545,42483.0,,,
364,Telecommunications,,,,,
365,IPC Corporation,,,,,
366,IPC Corporation,"6.93 (3M L+500, 1.00 Floor)",08/06/21,10000.0,8957,
367,IPC Information Systems UK Holdings Limited,"8.39 (3M L+650, 1.50 Floor)",08/06/21,562,534,
368,"Securus Technologies Holdings, Inc.",,,,,
369,"Securus Technologies Holdings, Inc.","10.05 (1M L+825, 1.00 Floor)",11/01/25,12878,11590,
370,Total Telecommunications,24083,21882.0,,,
371,"Transportation – Cargo, Distribution",,,,,
372,"Dynamic Product Tankers (Prime), LLC",,,,,
373,"Dynamic Product Tankers, LLC (5)",9.10 (3M L+700),06/30/23,42000.0,42000,
374,Heniff and Superior,,,,,
375,"Heniff Holdco, LLC","7.45 (1M L+575, 1.00 Floor)",12/03/26,31075,30459,
376,MSEA Tankers LLC,,,,,
377,MSEA Tankers LLC (5),61950,61227.0,(17)(25),,
378,"Total Transportation – Cargo, Distribution",184326,170432.0,,,
379,Wholesale,,,,,
380,Banner Solutions,,,,,
381,"Banner Buyer, LLC","7.55 (1M L+575, 1.00 Floor)",10/31/25,12581.0,12367,
382,"Banner Parent Holdings, Inc","5,000 Shares",500,500,,
383,Total Wholesale,13432,13382.0,,,
384,Total Investments before Cash Equivalents,3075456,2967197,,,
